Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0202,217,189,406,1464,27.73%,13,383,396
"Judge, County Criminal Court No. 8",0203,107,68,175,960,18.23%,41,125,166
"Judge, County Criminal Court No. 8",0204,816,784,1600,3487,45.88%,879,598,1477
"Judge, County Criminal Court No. 8",0205,464,171,635,1664,38.16%,10,615,625
"Judge, County Criminal Court No. 8",0206,362,462,824,2779,29.65%,235,533,768
"Judge, County Criminal Court No. 8",0207,265,261,526,1188,44.28%,162,324,486
"Judge, County Criminal Court No. 8",0208,322,262,584,2195,26.61%,175,378,553
"Judge, County Criminal Court No. 8",0209,0,2,2,0,0.00%,2,0,2
"Judge, County Criminal Court No. 8",0210,502,467,969,2533,38.26%,107,828,935
"Judge, County Criminal Court No. 8",0211,307,386,693,2914,23.78%,258,394,652
"Judge, County Criminal Court No. 8",0212,96,155,251,1300,19.31%,49,193,242
"Judge, County Criminal Court No. 8",0213,826,913,1739,3350,51.91%,1381,238,1619
"Judge, County Criminal Court No. 8",0214,404,491,895,1854,48.27%,570,266,836
"Judge, County Criminal Court No. 8",0215,421,711,1132,2258,50.13%,674,373,1047
"Judge, County Criminal Court No. 8",0216,362,223,585,1945,30.08%,34,540,574
"Judge, County Criminal Court No. 8",0217,844,631,1475,2678,55.08%,979,380,1359
"Judge, County Criminal Court No. 8",0218,391,402,793,2292,34.60%,242,491,733
"Judge, County Criminal Court No. 8",0219,496,436,932,2767,33.68%,45,847,892
"Judge, County Criminal Court No. 8",0220,325,187,512,2310,22.16%,368,127,495
"Judge, County Criminal Court No. 8",0221,332,369,701,2529,27.72%,288,371,659
"Judge, County Criminal Court No. 8",0222,623,674,1297,2501,51.86%,623,564,1187
"Judge, County Criminal Court No. 8",0223,563,377,940,3582,26.24%,255,625,880
"Judge, County Criminal Court No. 8",0224,530,456,986,2238,44.06%,464,449,913
"Judge, County Criminal Court No. 8",0225,376,405,781,3305,23.63%,389,358,747
"Judge, County Criminal Court No. 8",0226,227,307,534,2436,21.92%,131,376,507
"Judge, County Criminal Court No. 8",0227,558,423,981,1785,54.96%,727,158,885
"Judge, County Criminal Court No. 8",0228,362,195,557,1050,53.05%,27,511,538
"Judge, County Criminal Court No. 8",0229,31,96,127,815,15.58%,57,63,120
"Judge, County Criminal Court No. 8",0230,185,116,301,1089,27.64%,6,285,291
"Judge, County Criminal Court No. 8",0231,233,264,497,2232,22.27%,119,349,468
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0232,361,474,835,1760,47.44%,468,302,770
"Judge, County Criminal Court No. 8",0233,890,801,1691,4445,38.04%,823,728,1551
"Judge, County Criminal Court No. 8",0234,1192,913,2105,3993,52.72%,1620,332,1952
"Judge, County Criminal Court No. 8",0235,240,158,398,1356,29.35%,11,377,388
"Judge, County Criminal Court No. 8",0236,354,235,589,2079,28.33%,11,562,573
"Judge, County Criminal Court No. 8",0237,416,253,669,2161,30.96%,10,642,652
"Judge, County Criminal Court No. 8",0238,339,245,584,1925,30.34%,14,557,571
"Judge, County Criminal Court No. 8",0239,383,236,619,1964,31.52%,21,585,606
"Judge, County Criminal Court No. 8",0240,585,243,828,2649,31.26%,17,792,809
"Judge, County Criminal Court No. 8",0241,222,229,451,2372,19.01%,183,246,429
"Judge, County Criminal Court No. 8",0242,173,162,335,1596,20.99%,192,127,319
"Judge, County Criminal Court No. 8",0243,138,43,181,457,39.61%,1,178,179
"Judge, County Criminal Court No. 8",0244,480,425,905,3117,29.03%,492,370,862
"Judge, County Criminal Court No. 8",0245,945,799,1745,5828,29.94%,1223,481,1704
"Judge, County Criminal Court No. 8",0246,584,513,1197,3315,36.11%,854,308,1162
"Judge, County Criminal Court No. 8",0247,173,254,427,1582,26.99%,15,404,419
"Judge, County Criminal Court No. 8",0248,161,167,328,2100,15.62%,88,223,311
"Judge, County Criminal Court No. 8",0249,461,348,809,2719,29.75%,561,222,783
