Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0647,1771,1020,2791,5593,49.90%,691,1844,20,39,2594
Railroad Commissioner,0648,1591,668,2259,3197,70.66%,1573,562,35,29,2199
Railroad Commissioner,0649,1390,854,2244,4426,50.70%,616,1463,28,34,2141
Railroad Commissioner,0650,1329,939,2268,3151,71.98%,1637,500,50,20,2207
Railroad Commissioner,0651,2087,1070,3157,4931,64.02%,1954,1023,56,35,3068
Railroad Commissioner,0652,1054,653,1707,2633,64.83%,278,1355,10,14,1657
Railroad Commissioner,0653,0,8,8,0,0.00%,2,6,0,0,8
Railroad Commissioner,0654,2106,1344,3450,5765,59.84%,1751,1479,38,50,3318
Railroad Commissioner,0655,2614,1451,4065,6304,64.48%,2498,1270,72,66,3906
Railroad Commissioner,0656,1199,421,1620,2622,61.78%,51,1512,3,15,1581
Railroad Commissioner,0657,491,268,759,1200,63.25%,283,419,13,13,728
Railroad Commissioner,0658,986,708,1694,2824,59.99%,1023,554,34,35,1646
Railroad Commissioner,0659,2143,1091,3234,4588,70.49%,2253,797,53,36,3139
Railroad Commissioner,0660,2461,932,3393,5048,67.21%,326,2931,20,24,3301
Railroad Commissioner,0661,1616,1012,2628,4179,62.89%,1381,1061,41,50,2533
Railroad Commissioner,0662,2477,999,3476,4807,72.31%,2762,538,42,36,3378
Railroad Commissioner,0663,1304,913,2217,3232,68.60%,1205,783,46,86,2120
Railroad Commissioner,0664,681,607,1288,2801,45.98%,279,914,8,26,1227
Railroad Commissioner,0665,951,394,1345,2007,67.02%,1068,190,19,18,1295
Railroad Commissioner,0666,0,1,1,0,0.00%,0,1,0,0,1
Railroad Commissioner,0667,990,547,1537,2181,70.47%,1187,266,25,13,1491
Railroad Commissioner,0668,928,655,1583,2458,64.40%,963,509,33,27,1532
Railroad Commissioner,0669,1609,823,2432,3243,74.99%,1727,577,35,18,2357
Railroad Commissioner,0670,1567,518,2085,2952,70.63%,1625,317,36,34,2012
Railroad Commissioner,0671,1091,773,1864,2942,63.36%,1040,662,53,29,1784
Railroad Commissioner,0672,2303,1078,3381,4710,71.78%,2192,1003,55,41,3291
Railroad Commissioner,0673,1377,643,2020,2988,67.60%,1549,341,30,25,1945
Railroad Commissioner,0674,2092,813,2905,4055,71.64%,2130,606,56,32,2824
Railroad Commissioner,0675,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0676,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0677,220,239,459,954,48.11%,119,305,5,7,436
Railroad Commissioner,0678,297,164,461,756,60.98%,320,106,7,8,441
Railroad Commissioner,0679,1469,661,2130,3331,63.94%,1556,437,30,20,2043
Railroad Commissioner,0680,57,22,79,181,43.65%,34,31,5,3,73
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0681,1,0,1,5,20.00%,0,1,0,0,1
Railroad Commissioner,0682,1674,912,2586,4134,62.55%,1822,599,37,35,2493
Railroad Commissioner,0683,48,50,98,261,37.55%,20,70,1,1,92
Railroad Commissioner,0684,73,24,97,187,51.87%,57,33,1,0,91
Railroad Commissioner,0685,167,29,196,326,60.12%,91,89,1,8,189
Railroad Commissioner,0686,46,34,80,196,40.82%,15,56,3,2,76
Railroad Commissioner,0687,1088,641,1729,2497,69.24%,1171,442,29,17,1659
Railroad Commissioner,0688,1818,673,2491,3266,76.27%,1979,372,34,37,2422
Railroad Commissioner,0689,506,651,1157,2276,50.83%,523,514,21,15,1073
Railroad Commissioner,0690,1959,1115,3085,4184,73.73%,2353,548,54,35,2990
Railroad Commissioner,0691,10,2,12,34,35.29%,4,7,0,1,12
Railroad Commissioner,0692,1001,717,1718,2626,65.42%,1232,349,43,36,1660
Railroad Commissioner,0693,303,116,419,651,64.36%,111,275,4,9,399
Railroad Commissioner,0694,420,137,557,817,68.18%,368,149,8,13,538
Railroad Commissioner,0695,455,320,775,1646,47.08%,468,247,12,18,745
Railroad Commissioner,0696,600,373,973,2098,46.38%,580,317,23,23,943
Railroad Commissioner,0697,1517,941,2458,4307,57.07%,533,1784,22,31,2370
Railroad Commissioner,0698,1137,659,1796,2948,60.92%,172,1531,12,20,1735
Railroad Commissioner,0699,1032,566,1598,2288,69.84%,1043,405,43,20,1511
Railroad Commissioner,0700,531,287,818,1313,62.30%,657,130,4,7,798
Railroad Commissioner,0701,142,115,257,554,46.39%,126,112,3,6,247
Railroad Commissioner,0702,150,123,273,549,49.73%,28,226,4,3,261
Railroad Commissioner,0703,743,616,1359,1845,73.66%,963,264,46,23,1296
Railroad Commissioner,0704,1336,701,2037,2882,70.68%,1608,307,26,29,1970
Railroad Commissioner,0705,358,238,596,1520,39.21%,60,509,2,3,574
Railroad Commissioner,0706,222,135,357,529,67.49%,169,170,9,4,352
Railroad Commissioner,0707,284,135,420,707,59.41%,245,132,10,13,400
Railroad Commissioner,0708,109,95,204,568,35.92%,91,93,7,6,197
Railroad Commissioner,0709,2997,1297,4294,6239,68.83%,2523,1524,78,44,4169
Railroad Commissioner,0710,881,602,1483,2023,73.31%,884,446,42,23,1395
Railroad Commissioner,0711,1493,701,2194,3351,65.47%,1307,703,50,40,2100
Railroad Commissioner,0712,1205,858,2063,3348,61.62%,821,1136,22,36,2015
Railroad Commissioner,0713,666,436,1102,1827,60.32%,572,465,23,9,1069
Railroad Commissioner,0714,77,3,80,304,26.32%,50,24,1,2,77
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0715,405,326,731,1380,52.97%,366,314,8,14,702
Railroad Commissioner,0716,977,522,1599,2670,59.89%,1098,397,25,27,1547
Railroad Commissioner,0717,826,362,1188,1927,61.65%,162,971,8,11,1152
Railroad Commissioner,0718,1844,1019,2863,4050,70.69%,1907,694,79,51,2731
Railroad Commissioner,0719,508,260,768,1617,47.50%,410,297,13,8,728
Railroad Commissioner,0720,1575,1044,2619,3903,67.10%,1867,610,47,32,2556
Railroad Commissioner,0721,1335,637,1972,2842,69.39%,1324,461,59,45,1889
Railroad Commissioner,0722,1895,542,2537,4357,58.23%,149,2259,14,29,2451
Railroad Commissioner,0723,749,329,1078,1760,61.25%,223,789,12,13,1037
Railroad Commissioner,0724,325,170,495,716,69.13%,340,121,17,3,481
Railroad Commissioner,0725,953,329,1282,2124,60.36%,513,690,12,15,1230
Railroad Commissioner,0726,1141,304,1445,1987,72.72%,1229,134,22,17,1402
Railroad Commissioner,0727,935,466,1401,2488,56.31%,348,964,20,28,1360
Railroad Commissioner,0728,343,208,551,881,62.54%,311,188,12,18,529
Railroad Commissioner,0729,208,93,301,446,67.49%,174,111,0,4,289
Railroad Commissioner,0730,808,437,1245,1630,76.38%,843,303,25,14,1185
Railroad Commissioner,0731,122,36,158,373,42.36%,33,113,2,2,150
Railroad Commissioner,0732,701,543,1244,1895,65.65%,721,398,41,33,1193
Railroad Commissioner,0733,25,62,87,172,50.58%,26,48,1,4,79
Railroad Commissioner,0734,3213,1114,4327,5952,72.70%,2852,1242,74,41,4209
Railroad Commissioner,0735,9,0,9,23,39.13%,7,0,2,0,9
Railroad Commissioner,0736,6,1,7,21,33.33%,0,6,0,1,7
Railroad Commissioner,0737,25,5,30,53,56.60%,24,6,0,0,30
Railroad Commissioner,0738,470,219,689,1294,53.25%,76,585,4,8,673
Railroad Commissioner,0739,1006,490,1496,2872,52.09%,643,765,25,19,1452
Railroad Commissioner,0740,233,205,438,935,46.84%,223,186,9,11,429
Railroad Commissioner,0741,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0742,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0743,27,4,31,199,15.58%,12,15,0,3,30
Railroad Commissioner,0744,848,509,1357,2024,67.05%,885,365,33,25,1308
Railroad Commissioner,0745,1068,542,1610,2396,67.20%,1018,445,38,39,1540
Railroad Commissioner,0746,230,151,381,707,53.89%,176,156,18,9,359
Railroad Commissioner,0747,1200,873,2073,3490,59.40%,937,983,37,52,2009
Railroad Commissioner,0748,421,307,728,1319,55.19%,318,335,30,16,699
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0749,99,57,156,359,43.45%,26,113,2,4,145
Railroad Commissioner,0750,264,147,411,720,57.08%,228,155,5,8,396
Railroad Commissioner,0751,1668,1254,2922,4451,65.65%,1904,799,68,59,2830
Railroad Commissioner,0752,572,277,849,1511,56.19%,595,190,15,12,812
Railroad Commissioner,0753,106,61,167,260,64.23%,105,52,4,2,163
Railroad Commissioner,0754,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0755,1050,896,1946,3569,54.53%,736,1075,29,39,1879
Railroad Commissioner,0756,582,300,882,1539,57.31%,292,522,14,15,843
Railroad Commissioner,0757,1417,690,2107,3498,60.23%,333,1670,14,29,2046
Railroad Commissioner,0758,1996,783,2779,3781,73.50%,2200,398,41,27,2666
Railroad Commissioner,0759,1112,590,1702,2625,64.84%,1015,558,36,22,1631
Railroad Commissioner,0760,2347,647,2994,4154,72.08%,2495,325,52,23,2895
Railroad Commissioner,0761,917,219,1136,1464,77.60%,827,230,19,23,1099
Railroad Commissioner,0762,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0763,255,308,564,1184,47.64%,186,333,9,12,540
Railroad Commissioner,0764,2274,1050,3324,4931,67.41%,2047,1073,61,46,3227
Railroad Commissioner,0765,1393,815,2208,3967,55.66%,769,1284,36,45,2134
Railroad Commissioner,0766,72,92,164,383,42.82%,34,101,5,6,146
Railroad Commissioner,0767,20,15,35,90,38.89%,23,10,0,1,34
Railroad Commissioner,0768,2855,1159,4014,5364,74.83%,3122,664,65,42,3893
Railroad Commissioner,0769,117,5,122,161,75.78%,7,111,0,1,119
Railroad Commissioner,0770,58,48,106,262,40.46%,42,55,2,2,101
Railroad Commissioner,0771,703,537,1240,2378,52.14%,609,531,22,26,1188
Railroad Commissioner,0772,2932,1002,3934,5617,70.04%,2960,764,71,36,3831
Railroad Commissioner,0773,892,550,1442,2648,54.46%,347,994,12,14,1367
Railroad Commissioner,0774,117,74,191,301,63.46%,42,143,1,1,187
Railroad Commissioner,0775,33,1,34,83,40.96%,1,32,0,0,33
Railroad Commissioner,0776,1115,741,1856,2855,65.01%,1067,675,23,38,1803
Railroad Commissioner,0777,83,123,206,642,32.09%,51,139,1,4,195
Railroad Commissioner,0778,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0779,295,221,516,1146,45.03%,160,316,0,10,486
Railroad Commissioner,0780,136,114,250,579,43.18%,105,126,2,3,236
Railroad Commissioner,0781,1152,655,1807,3716,48.63%,664,950,20,28,1662
Railroad Commissioner,0782,851,532,1383,2188,63.21%,831,447,23,19,1320
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0783,103,43,146,265,55.09%,76,61,1,2,140
Railroad Commissioner,0784,430,156,586,1071,54.72%,9,557,0,3,569
Railroad Commissioner,0785,66,55,121,310,39.03%,61,55,1,4,121
Railroad Commissioner,0786,193,277,470,1297,36.24%,134,296,3,17,450
Railroad Commissioner,0787,154,76,230,487,47.23%,76,140,0,2,218
Railroad Commissioner,0788,156,58,214,481,44.49%,68,127,6,4,205
Railroad Commissioner,0789,3,1,4,4,100.00%,0,2,0,1,3
Railroad Commissioner,0790,1,0,1,4,25.00%,0,1,0,0,1
Railroad Commissioner,0791,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0792,549,409,958,1834,52.24%,212,679,9,14,914
Railroad Commissioner,0793,890,338,1228,2437,50.39%,697,460,15,19,1191
Railroad Commissioner,0794,575,484,1059,2602,40.70%,69,936,5,13,1023
Railroad Commissioner,0795,265,255,520,1207,43.08%,149,316,5,16,486
Railroad Commissioner,0796,145,92,237,485,48.87%,112,106,7,2,227
Railroad Commissioner,0797,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0798,176,263,439,496,88.51%,136,254,7,13,410
Railroad Commissioner,0799,65,12,77,146,52.74%,13,56,3,0,72
Railroad Commissioner,0800,1188,795,1983,2817,70.39%,1310,526,34,48,1918
Railroad Commissioner,0801,68,55,123,253,48.62%,38,74,2,4,118
Railroad Commissioner,0802,98,58,156,299,52.17%,36,92,5,18,151
Railroad Commissioner,0803,1305,530,1935,2718,71.19%,1438,401,23,15,1877
Railroad Commissioner,0804,1810,960,2770,4348,63.71%,1664,932,46,34,2676
Railroad Commissioner,0805,1509,529,2038,2812,72.48%,1621,288,41,29,1979
Railroad Commissioner,0806,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0807,653,402,1055,2001,52.72%,156,824,15,23,1018
Railroad Commissioner,0808,42,26,68,84,80.95%,31,26,4,2,63
Railroad Commissioner,0809,21,e,27,86,31.40%,9,16,0,0,25
Railroad Commissioner,0810,30,48,78,215,36.28%,17,48,2,3,70
Railroad Commissioner,0811,39,106,145,271,53.51%,31,105,1,1,138
Railroad Commissioner,0812,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0813,1969,1258,3227,5423,59.51%,1489,1552,51,47,3139
Railroad Commissioner,0814,1774,955,2729,4503,60.60%,598,1964,38,30,2630
Railroad Commissioner,0815,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0816,20,13,33,76,43.42%,6,23,0,2,31
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0817,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0818,134,101,235,527,44.59%,46,179,2,3,230
Railroad Commissioner,0819,97,45,142,238,59.66%,92,31,1,2,126
Railroad Commissioner,0820,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0821,354,203,557,1206,46.19%,45,474,6,9,534
Railroad Commissioner,0822,584,282,866,1544,56.09%,31,809,4,2,846
Railroad Commissioner,0823,1854,1015,2869,4710,60.91%,1464,1221,44,41,2770
Railroad Commissioner,0824,985,471,1456,2729,53.35%,301,1054,15,29,1399
Railroad Commissioner,0825,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0826,153,89,242,342,70.76%,141,78,9,5,233
Railroad Commissioner,0827,169,186,355,997,35.61%,125,191,5,15,336
Railroad Commissioner,0828,1074,343,1417,1875,75.57%,1143,191,25,12,1371
Railroad Commissioner,0829,107,56,163,266,61.28%,36,121,2,3,162
Railroad Commissioner,0830,0,0,0,1,0.00%,0,0,0,0,0
Railroad Commissioner,0831,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0832,109,46,155,351,44.16%,44,99,1,4,148
Railroad Commissioner,0833,8,1,9,20,45.00%,0,9,0,0,9
Railroad Commissioner,0834,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0835,87,53,140,292,47.95%,40,92,1,2,135
Railroad Commissioner,0836,8,3,11,19,57.89%,0,10,0,0,10
Railroad Commissioner,0837,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0838,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0839,355,240,595,1122,53.03%,106,436,14,12,568
Railroad Commissioner,0840,712,251,963,1621,59.41%,315,602,14,6,937
Railroad Commissioner,0841,0,2,2,0,0.00%,0,2,0,0,2
Railroad Commissioner,0842,989,715,1704,3091,55.13%,745,852,26,23,1646
Railroad Commissioner,0843,0,2,2,0,0.00%,0,2,0,0,2
Railroad Commissioner,0844,2,4,6,1,3,46.1,5%,1,4,0,0,5
Railroad Commissioner,0845,86,10,96,100,96.00%,57,32,0,2,91
Railroad Commissioner,0846,70,29,99,210,47.14%,5,89,0,3,97
Railroad Commissioner,0847,797,321,1118,1804,61.97%,291,762,14,15,1082
Railroad Commissioner,0848,782,431,1213,1873,64.76%,383,763,8,20,1174
Railroad Commissioner,0849,553,514,1067,2073,51.47%,338,635,9,30,1012
Railroad Commissioner,0850,87,38,125,205,60.98%,50,66,2,3,121
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0851,2194,816,3010,4317,69.72%,1907,880,59,59,2905
Railroad Commissioner,0852,0,4,4,2,200.00%,0,4,0,0,4
Railroad Commissioner,0853,1414,605,2019,2773,72.81%,1542,364,38,21,1965
Railroad Commissioner,0854,41,30,71,175,40.57%,7,62,0,1,70
Railroad Commissioner,0855,4,13,17,18,94.44%,8,7,0,1,16
Railroad Commissioner,0856,0,4,4,0,0.00%,2,0,1,0,3
Railroad Commissioner,0857,0,0,0,1,0.00%,0,0,0,0,0
Railroad Commissioner,0858,132,18,150,372,40.32%,4,141,0,0,145
Railroad Commissioner,0859,309,201,510,860,59.30%,99,389,4,6,498
Railroad Commissioner,0860,0,1,1,0,0.00%,0,1,0,0,1
Railroad Commissioner,0861,705,319,1024,1786,57.33%,174,800,13,17,1004
Railroad Commissioner,0862,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0863,210,69,279,620,45.00%,12,262,0,0,274
Railroad Commissioner,0864,497,609,1106,2464,44.89%,267,769,8,16,1060
Railroad Commissioner,0865,9,2,11,23,47.83%,0,11,0,0,11
Railroad Commissioner,0866,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0867,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0868,573,586,1159,2292,50.57%,337,738,13,20,1108
Railroad Commissioner,0869,153,76,229,473,48.41%,33,184,2,1,220
Railroad Commissioner,0870,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0871,3,0,3,4,75.00%,0,2,0,1,3
Railroad Commissioner,0872,13,5,18,66,27.27%,9,7,0,0,16
Railroad Commissioner,0873,253,125,378,701,53.92%,92,267,5,6,370
Railroad Commissioner,0874,1535,748,2283,3107,73.48%,1728,426,30,31,2215
Railroad Commissioner,0875,1721,927,2648,4031,65.69%,1229,1267,32,30,2558
Railroad Commissioner,0876,1630,639,2269,3013,75.31%,1623,538,27,27,2215
Railroad Commissioner,0877,1032,542,1674,2480,67.50%,688,888,29,30,1635
Railroad Commissioner,0878,853,350,1203,1641,73.31%,994,140,20,18,1172
Railroad Commissioner,0879,890,527,1417,2334,60.71%,633,699,20,24,1376
Railroad Commissioner,0880,1070,472,1542,2007,76.83%,1156,281,29,21,1487
Railroad Commissioner,0881,1511,877,2388,3619,65.99%,743,1514,29,34,2320
Railroad Commissioner,0882,941,457,1398,2328,60.05%,760,539,27,29,1355
Railroad Commissioner,0883,1920,1042,2962,4651,63.69%,495,2317,29,39,2880
Railroad Commissioner,0884,119,37,156,330,47.27%,20,125,0,1,146
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0885,1222,541,1763,2466,71.49%,1035,635,25,19,1714
Railroad Commissioner,0886,301,154,455,713,63.81%,238,158,14,14,424
Railroad Commissioner,0887,142,83,225,313,71.88%,124,66,16,2,208
Railroad Commissioner,0888,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0889,22,0,22,61,36.07%,13,8,0,1,22
Railroad Commissioner,0890,325,118,443,994,44.57%,169,221,16,16,422
Railroad Commissioner,0891,540,392,932,1413,65.96%,393,456,22,14,885
Railroad Commissioner,0892,195,130,325,696,46.70%,91,193,11,11,306
Railroad Commissioner,0893,1,0,1,5,20.00%,0,1,0,0,1
Railroad Commissioner,0894,0,31,31,0,0.00%,6,14,5,3,28
Railroad Commissioner,0895,337,325,662,784,84.44%,312,257,13,35,617
Railroad Commissioner,0896,670,303,973,1437,67.71%,402,445,18,47,912
Railroad Commissioner,0897,742,375,1117,1624,68.78%,603,444,17,20,1084
Railroad Commissioner,0898,0,0,0,2,0.00%,0,0,0,0,0
Railroad Commissioner,0899,4,0,4,8,50.00%,1,3,0,0,4
Railroad Commissioner,0900,5,0,5,12,41.67%,1,3,0,0,4
Railroad Commissioner,0901,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0902,868,621,1489,2065,72.11%,851,476,52,36,1415
Railroad Commissioner,0903,10,1,11,41,26.83%,5,4,0,1,10
Railroad Commissioner,0904,0,1,1,1,100.00%,0,1,0,0,1
Railroad Commissioner,0905,290,158,458,908,50.44%,182,241,4,6,433
Railroad Commissioner,0906,12,6,18,26,69.23%,9,8,0,0,17
Railroad Commissioner,0907,61,43,104,134,77.61%,23,78,0,1,102
Railroad Commissioner,0908,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0909,5,7,12,19,63.16%,6,4,0,1,11
Railroad Commissioner,0910,55,34,89,226,39.38%,33,48,3,3,87
Railroad Commissioner,0911,227,79,306,570,53.68%,200,87,3,4,294
Railroad Commissioner,0912,677,221,898,1235,72.71%,541,281,16,16,854
Railroad Commissioner,0913,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0914,173,67,240,221,108.60%,186,39,4,1,230
Railroad Commissioner,0915,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0916,505,182,787,1045,75.31%,637,109,9,6,761
Railroad Commissioner,0917,282,137,419,481,87.11%,307,84,10,6,407
Railroad Commissioner,0918,489,135,624,883,70.67%,497,84,8,6,595
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0919,0,3,3,3,100.00%,2,1,0,0,3
Railroad Commissioner,0920,6,0,6,13,46.15%,6,0,0,0,6
Railroad Commissioner,0921,71,9,80,87,91.95%,62,16,1,0,79
Railroad Commissioner,0922,0,2,2,0,0.00%,1,1,0,0,2
Railroad Commissioner,0923,666,87,753,826,91.16%,573,146,8,4,731
Railroad Commissioner,0924,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0925,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0926,351,1,20,481,621,77.46%,366,88,4,7,465
Railroad Commissioner,0927,84,74,158,262,60.31%,77,70,3,3,153
Railroad Commissioner,0928,4,2,6,9,66.67%,0,6,0,0,6
Railroad Commissioner,0929,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0930,200,77,277,567,48.85%,6,256,0,4,266
Railroad Commissioner,0931,48,53,101,122,82.79%,55,33,1,1,90
Railroad Commissioner,0932,0,5,5,0,0.00%,1,4,0,0,5
Railroad Commissioner,0933,235,1,21,357,566,63.07%,94,234,11,6,345
Railroad Commissioner,0934,12,1,13,41,31.71%,5,7,1,0,13
Railroad Commissioner,0935,8,17,25,65,38.46%,13,9,1,1,24
Railroad Commissioner,0936,12,10,22,70,31.43%,7,13,0,0,20
Railroad Commissioner,0937,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0938,73,14,87,256,33.98%,28,53,2,1,84
Railroad Commissioner,0939,1,0,1,1,100.00%,0,1,0,0,1
Railroad Commissioner,0940,1,0,1,13,7.69%,0,1,0,0,1
Railroad Commissioner,0941,13,9,22,25,88.00%,21,0,0,1,22
Railroad Commissioner,0942,68,24,92,159,57.86%,76,12,0,0,88
Railroad Commissioner,0943,297,63,360,536,67.16%,266,72,1,4,343
Railroad Commissioner,0944,30,6,36,39,92.31%,31,3,0,0,34
Railroad Commissioner,0945,4,7,11,16,68.75%,1,9,0,0,10
Railroad Commissioner,0946,3,3,6,14,42.86%,1,3,0,0,4
Railroad Commissioner,0947,320,292,612,822,74.45%,318,215,12,22,567
Railroad Commissioner,0948,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0949,59,37,96,201,47.76%,45,42,2,3,92
Railroad Commissioner,0950,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0951,79,44,123,218,56.42%,25,94,0,0,119
Railroad Commissioner,0952,24,16,40,70,57.14%,22,15,1,1,39
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0953,59,52,111,420,26.43%,8,102,0,0,110
Railroad Commissioner,0954,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0955,5,20,25,18,138.89%,14,8,0,1,23
Railroad Commissioner,0956,5,2,7,12,58.33%,4,2,1,0,7
Railroad Commissioner,0957,261,115,376,551,68.24%,56,302,3,4,365
Railroad Commissioner,0958,289,266,555,989,56.12%,116,405,7,2,530
Railroad Commissioner,0959,0,4,4,0,0.00%,0,4,0,0,4
Railroad Commissioner,0960,364,143,507,586,86.52%,135,346,11,4,496
Railroad Commissioner,0961,23,11,34,53,64.15%,8,26,0,0,34
Railroad Commissioner,0962,24,13,37,73,50.68%,7,26,0,2,35
Railroad Commissioner,0963,130,69,199,353,56.37%,109,74,3,2,188
Railroad Commissioner,0964,950,447,1397,1571,88.92%,842,489,18,10,1359
Railroad Commissioner,0965,93,27,120,355,33.80%,77,35,2,0,114
Railroad Commissioner,0966,305,160,465,1073,43.34%,117,306,11,8,442
Railroad Commissioner,0967,48,15,63,98,64.29%,26,35,0,1,62
Railroad Commissioner,0968,243,83,326,517,63.06%,61,252,3,3,319
Railroad Commissioner,0969,335,82,417,584,71.40%,1,398,0,1,400
Railroad Commissioner,0970,212,76,288,704,40.91%,32,232,0,5,269
Railroad Commissioner,0971,27,21,48,129,37.21%,2,45,0,0,47
Railroad Commissioner,0972,10,7,17,29,58.62%,11,5,0,0,16
Railroad Commissioner,0973,49,24,73,107,68.22%,45,22,1,4,72
Railroad Commissioner,0974,101,71,172,299,57.53%,110,49,2,8,169
Railroad Commissioner,0975,72,41,113,170,66.47%,54,53,0,2,109
Railroad Commissioner,0976,159,131,290,684,42.40%,166,104,1,6,277
Railroad Commissioner,0977,105,83,188,535,35.14%,68,108,1,4,181
Railroad Commissioner,0978,201,102,303,506,59.88%,54,234,2,5,295
Railroad Commissioner,0979,5,e,11,26,42.31%,11,0,0,0,11
Railroad Commissioner,0980,596,356,952,1323,71.96%,694,198,15,7,914
Railroad Commissioner,0981,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0982,534,218,752,1021,73.65%,577,126,12,11,726
Railroad Commissioner,0983,41,28,69,165,41.82%,34,27,3,1,65
Railroad Commissioner,0984,43,49,92,198,46.46%,7,81,1,1,90
Railroad Commissioner,0985,172,67,239,336,71.13%,128,95,3,3,229
Railroad Commissioner,0986,129,86,215,404,53.22%,20,185,0,0,205
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0987,465,191,656,1138,57.64%,48,585,4,2,639
