Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0111,1869,848,2717,3638,74.68%,1970,536,46,38,2590
Railroad Commissioner,0112,1262,668,1930,2894,66.69%,1342,452,49,30,1873
Railroad Commissioner,0113,1125,590,1715,2537,67.60%,984,632,23,20,1659
Railroad Commissioner,0114,1457,546,2003,2650,75.58%,1533,362,18,28,1941
Railroad Commissioner,0115,598,305,903,1764,51.19%,98,760,7,12,877
Railroad Commissioner,0116,1628,747,2375,3014,78.80%,1846,392,37,25,2300
Railroad Commissioner,0117,398,452,860,1878,45.79%,350,431,16,26,823
Railroad Commissioner,0118,460,148,608,743,81.83%,489,82,6,8,585
Railroad Commissioner,0119,1924,1265,3189,4892,65.19%,2482,558,33,35,3108
Railroad Commissioner,0120,1200,632,1832,2986,61.35%,1123,592,28,15,1758
Railroad Commissioner,0121,193,244,437,679,64.36%,281,127,2,10,420
Railroad Commissioner,0122,895,349,1244,2199,56.57%,35,1143,5,14,1197
Railroad Commissioner,0123,441,350,791,1356,58.33%,237,448,26,38,749
Railroad Commissioner,0124,3523,1281,4804,5952,80.71%,3772,769,67,49,4657
Railroad Commissioner,0125,897,534,1431,2281,62.74%,805,518,36,30,1389
Railroad Commissioner,0126,1630,407,2037,2799,72.78%,1730,198,23,14,1965
Railroad Commissioner,0127,854,182,1036,1703,60.83%,712,269,12,11,1004
Railroad Commissioner,0128,936,736,1672,2257,74.08%,1078,405,29,44,1556
Railroad Commissioner,0129,2295,1449,3745,5495,68.15%,2326,1114,81,62,3583
Railroad Commissioner,0130,1204,523,1727,2240,77.10%,1306,317,25,14,1662
Railroad Commissioner,0131,607,374,981,1721,57.00%,238,685,7,15,945
Railroad Commissioner,0132,1121,397,1518,2449,61.98%,32,1417,5,16,1470
Railroad Commissioner,0133,1088,940,2028,2605,77.85%,1255,570,70,29,1924
Railroad Commissioner,0134,420,392,812,1444,56.23%,349,394,14,16,773
Railroad Commissioner,0135,1431,634,2065,2750,75.09%,1360,522,45,23,1950
Railroad Commissioner,0136,985,451,1436,2111,68.02%,54,1296,23,17,1390
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0137,305,193,498,740,87.30%,257,189,7,17,470
Railroad Commissioner,0138,881,259,920,1749,52.80%,17,858,8,8,887
Railroad Commissioner,0139,1297,747,2044,2748,74.44%,1031,773,59,48,1911
Railroad Commissioner,0140,1317,583,2000,3104,84.43%,291,1540,38,44,1913
Railroad Commissioner,0141,181,143,324,872,37.18%,197,101,1,7,308
Railroad Commissioner,0142,212,171,383,870,44.02%,102,249,2,10,383
Railroad Commissioner,0143,2999,880,3859,4598,79.58%,2547,924,55,28,3552
Railroad Commissioner,0144,477,204,881,1143,59.58%,8,847,1,9,883
Railroad Commissioner,0145,883,245,908,1580,57.47%,13,872,3,3,891
Railroad Commissioner,0148,759,814,1373,1953,70.30%,830,818,35,40,1321
Railroad Commissioner,0147,1258,485,1741,2813,81.89%,203,1479,9,17,1708
Railroad Commissioner,0148,911,924,1835,2487,74.38%,802,825,40,58,1725
Railroad Commissioner,0149,2888,1322,4188,8103,88.82%,1829,2093,71,85,4058
Railroad Commissioner,0150,539,207,748,1212,81.55%,18,707,0,5,728
Railroad Commissioner,0151,31,e,148,484,848,54.85%,22,417,1,2,442
Railroad Commissioner,0152,483,802,1085,2701,40.17%,220,773,12,29,1034
Railroad Commissioner,0153,328,437,785,1755,43.59%,177,518,12,18,723
Railroad Commissioner,0154,593,380,953,2133,44.88%,209,827,9,27,872
Railroad Commissioner,0155,1957,834,2791,4087,88.29%,1887,729,44,30,2890
Railroad Commissioner,0158,1428,457,1885,3134,80.15%,49,1747,13,13,1822
Railroad Commissioner,0157,881,382,1283,2311,54.85%,34,1188,3,9,1232
Railroad Commissioner,0158,1304,435,1739,3018,57.88%,25,1859,7,14,1705
Railroad Commissioner,0159,313,187,500,978,51.23%,83,403,8,8,478
Railroad Commissioner,0180,248,140,388,888,58.10%,9,380,0,1,370
Railroad Commissioner,0181,395,190,585,1030,58.80%,8,559,1,4,570
Railroad Commissioner,0182,232,282,494,1249,39.55%,134,297,8,11,450
Railroad Commissioner,0183,778,535,1413,3054,48.27%,397,834,12,42,1285
Railroad Commissioner,0184,505,304,809,1434,58.42%,11,789,3,7,790
Railroad Commissioner,0185,919,557,1478,2284,84.82%,929,412,38,39,1418
Railroad Commissioner,0188,281,311,592,1018,58.27%,188,325,21,28,582
Railroad Commissioner,0187,5,2,7,23,30.43%,0,7,0,0,7
Railroad Commissioner,0188,189,128,315,519,80.89%,8,291,2,1,300
Railroad Commissioner,0189,1080,433,1493,2531,58.99%,22,1429,5,12,1488
Railroad Commissioner,0170,481,353,834,1887,44.20%,382,378,10,24,792
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0171,514,294,808,1613,50.09%,25,744,5,4,778
Railroad Commissioner,0172,161,147,308,600,51.33%,97,180,2,7,286
Railroad Commissioner,0173,1799,619,2418,3105,77.87%,1831,448,35,27,2341
Railroad Commissioner,0174,1554,767,2321,3159,73.47%,1596,531,45,32,2204
Railroad Commissioner,0175,1066,867,1933,2506,77.13%,1044,697,43,42,1826
Railroad Commissioner,0176,627,530,1157,1581,73.18%,656,377,22,28,1083
Railroad Commissioner,0177,676,385,1061,1478,71.79%,635,330,30,13,1008
Railroad Commissioner,0178,914,368,1282,1718,74.62%,885,290,25,14,1214
Railroad Commissioner,0179,449,321,770,1508,51.06%,348,343,22,16,729
