Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0598,335,1,03,438,724,60.50%,343,343
"Justice, 14th Court of Appeals District, Place 6",0599,1895,855,2761,4135,66.77%,1167,1167
"Justice, 14th Court of Appeals District, Place 6",0600,1383,869,2252,3820,58.95%,974,974
"Justice, 14th Court of Appeals District, Place 6",0601,2028,858,2886,3990,72.33%,2257,2257
"Justice, 14th Court of Appeals District, Place 6",0602,562,296,858,1237,69.36%,640,640
"Justice, 14th Court of Appeals District, Place 6",0603,1438,1163,2601,3917,66.40%,1752,1752
"Justice, 14th Court of Appeals District, Place 6",0604,1444,528,1972,2910,67.77%,1669,1669
"Justice, 14th Court of Appeals District, Place 6",0605,2227,889,3116,5251,59.34%,1134,1134
"Justice, 14th Court of Appeals District, Place 6",0606,420,122,542,1053,51.47%,41,41
"Justice, 14th Court of Appeals District, Place 6",0607,194,118,312,731,42.68%,38,38
"Justice, 14th Court of Appeals District, Place 6",0608,245,290,535,1256,42.60%,278,278
"Justice, 14th Court of Appeals District, Place 6",0609,1364,844,2208,3261,67.71%,1504,1504
"Justice, 14th Court of Appeals District, Place 6",0610,403,398,801,1825,43.89%,419,419
"Justice, 14th Court of Appeals District, Place 6",0611,1121,301,1422,2450,58.04%,114,114
"Justice, 14th Court of Appeals District, Place 6",0612,1700,579,2279,3272,69.65%,1798,1798
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0613,495,309,804,1450,55.45%,194,194
"Justice, 14th Court of Appeals District, Place 6",0614,1631,812,2443,3932,62.13%,1040,1040
"Justice, 14th Court of Appeals District, Place 6",0615,931,404,1335,1926,69.31%,866,866
"Justice, 14th Court of Appeals District, Place 6",0616,1352,970,2322,3378,68.74%,1727,1727
"Justice, 14th Court of Appeals District, Place 6",0617,1320,849,2169,3546,61.17%,1022,1022
"Justice, 14th Court of Appeals District, Place 6",0618,1922,1021,2943,5344,55.07%,1560,1560
"Justice, 14th Court of Appeals District, Place 6",0619,2133,857,2990,4266,70.09%,2330,2330
"Justice, 14th Court of Appeals District, Place 6",0620,2384,856,3240,5271,61.47%,1786,1786
"Justice, 14th Court of Appeals District, Place 6",0621,397,203,600,1173,51.15%,366,366
"Justice, 14th Court of Appeals District, Place 6",0622,1722,829,2551,4305,59.26%,1674,1674
"Justice, 14th Court of Appeals District, Place 6",0623,1708,626,2334,3481,67.05%,1589,1589
"Justice, 14th Court of Appeals District, Place 6",0624,9,0,9,16,56.25%,5,5
"Justice, 14th Court of Appeals District, Place 6",0625,862,454,1316,1796,73.27%,845,845
"Justice, 14th Court of Appeals District, Place 6",0626,1148,655,1803,2838,63.53%,1037,1037
"Justice, 14th Court of Appeals District, Place 6",0627,795,547,1442,2964,48.65%,550,550
"Justice, 14th Court of Appeals District, Place 6",0628,292,456,748,1600,46.75%,389,389
"Justice, 14th Court of Appeals District, Place 6",0629,175,127,302,629,48.01%,66,66
"Justice, 14th Court of Appeals District, Place 6",0630,2019,535,2554,3190,80.06%,554,554
"Justice, 14th Court of Appeals District, Place 6",0631,1489,392,1881,2733,68.83%,1400,1400
"Justice, 14th Court of Appeals District, Place 6",0632,12,9,21,231,9.09%,6,6
"Justice, 14th Court of Appeals District, Place 6",0633,1782,678,2460,3257,75.53%,1879,1879
"Justice, 14th Court of Appeals District, Place 6",0634,1020,734,1754,2922,60.03%,1173,1173
"Justice, 14th Court of Appeals District, Place 6",0635,1327,706,2033,3280,61.98%,1632,1632
"Justice, 14th Court of Appeals District, Place 6",0636,1791,974,2765,3881,71.24%,2386,2386
"Justice, 14th Court of Appeals District, Place 6",0637,739,509,1248,2471,50.51%,458,458
"Justice, 14th Court of Appeals District, Place 6",0638,740,684,1424,2078,68.53%,265,265
"Justice, 14th Court of Appeals District, Place 6",0639,829,711,1540,2501,61.58%,1255,1255
"Justice, 14th Court of Appeals District, Place 6",0640,1382,723,2105,3548,59.33%,1350,1350
"Justice, 14th Court of Appeals District, Place 6",0641,1265,878,2143,3375,63.50%,1434,1434
"Justice, 14th Court of Appeals District, Place 6",0642,873,447,1320,1779,74.20%,1098,1098
"Justice, 14th Court of Appeals District, Place 6",0643,2157,994,3151,5310,59.34%,1538,1538
"Justice, 14th Court of Appeals District, Place 6",0644,2123,1204,3327,5261,63.24%,2306,2306
"Justice, 14th Court of Appeals District, Place 6",0645,1639,895,2534,4035,62.80%,1432,1432
"Justice, 14th Court of Appeals District, Place 6",0646,708,456,1164,2163,53.81%,451,451
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0647,1771,1020,2791,5593,49.90%,917,917
"Justice, 14th Court of Appeals District, Place 6",0648,1590,668,2258,3197,70.63%,1678,1678
"Justice, 14th Court of Appeals District, Place 6",0649,1389,854,2243,4426,50.68%,840,840
"Justice, 14th Court of Appeals District, Place 6",0650,1328,939,2267,3151,71.95%,1777,1777
"Justice, 14th Court of Appeals District, Place 6",0651,2085,1070,3155,4931,63.98%,2152,2152
"Justice, 14th Court of Appeals District, Place 6",0652,1050,653,1703,2633,64.68%,444,444
"Justice, 14th Court of Appeals District, Place 6",0653,0,8,8,0,0.00%,5,5
"Justice, 14th Court of Appeals District, Place 6",0654,2103,1344,3447,5765,59.79%,2028,2028
"Justice, 14th Court of Appeals District, Place 6",0655,2613,1451,4064,6304,64.47%,2737,2737
"Justice, 14th Court of Appeals District, Place 6",0656,1198,421,1619,2622,61.75%,159,159
"Justice, 14th Court of Appeals District, Place 6",0657,490,268,758,1200,63.17%,367,367
"Justice, 14th Court of Appeals District, Place 6",0658,985,708,1693,2824,59.95%,1146,1146
"Justice, 14th Court of Appeals District, Place 6",0659,2141,1091,3232,4588,70.44%,2436,2436
"Justice, 14th Court of Appeals District, Place 6",0660,2460,932,3392,5048,67.19%,665,665
"Justice, 14th Court of Appeals District, Place 6",0661,1514,1012,2626,4179,62.84%,1588,1588
"Justice, 14th Court of Appeals District, Place 6",0662,2477,999,3476,4807,72.31%,2864,2864
"Justice, 14th Court of Appeals District, Place 6",0663,1302,913,2215,3232,68.53%,1366,1366
"Justice, 14th Court of Appeals District, Place 6",0664,681,607,1288,2801,45.98%,422,422
"Justice, 14th Court of Appeals District, Place 6",0665,951,394,1345,2007,67.02%,1132,1132
"Justice, 14th Court of Appeals District, Place 6",0666,0,1,1,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0667,989,547,1536,2181,70.43%,1230,1230
"Justice, 14th Court of Appeals District, Place 6",0668,927,655,1582,2458,64.36%,1088,1088
"Justice, 14th Court of Appeals District, Place 6",0669,1606,823,2429,3243,74.90%,1830,1830
"Justice, 14th Court of Appeals District, Place 6",0670,1566,518,2084,2952,70.60%,1688,1688
"Justice, 14th Court of Appeals District, Place 6",0671,1090,773,1863,2942,63.32%,1186,1186
"Justice, 14th Court of Appeals District, Place 6",0672,2301,1078,3379,4710,71.74%,2397,2397
"Justice, 14th Court of Appeals District, Place 6",0673,1375,543,2019,2988,67.57%,1627,1627
"Justice, 14th Court of Appeals District, Place 6",0674,2092,813,2905,4055,71.64%,2288,2288
"Justice, 14th Court of Appeals District, Place 6",0675,0,0,0,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0676,0,0,0,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0677,220,239,459,954,48.11%,195,195
"Justice, 14th Court of Appeals District, Place 6",0678,297,164,461,756,60.98%,335,335
"Justice, 14th Court of Appeals District, Place 6",0679,1468,661,2129,3331,63.91%,1666,1666
"Justice, 14th Court of Appeals District, Place 6",0680,57,22,79,181,43.65%,46,46
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0681,1,0,1,5,20.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0682,1674,912,2586,4134,62.55%,1969,1969
"Justice, 14th Court of Appeals District, Place 6",0683,48,50,98,261,37.55%,36,36
"Justice, 14th Court of Appeals District, Place 6",0684,72,24,96,187,51.34%,62,62
"Justice, 14th Court of Appeals District, Place 6",0685,167,29,196,326,60.12%,99,99
"Justice, 14th Court of Appeals District, Place 6",0686,46,34,80,196,40.82%,23,23
"Justice, 14th Court of Appeals District, Place 6",0687,1084,641,1725,2497,69.08%,1232,1232
"Justice, 14th Court of Appeals District, Place 6",0688,1815,673,2488,3266,76.18%,2058,2058
"Justice, 14th Court of Appeals District, Place 6",0689,505,651,1156,2276,50.79%,626,626
"Justice, 14th Court of Appeals District, Place 6",0690,1955,1115,3082,4184,73.66%,2509,2509
"Justice, 14th Court of Appeals District, Place 6",0691,10,2,12,34,35.29%,6,6
"Justice, 14th Court of Appeals District, Place 6",0692,1000,717,1717,2626,65.38%,1336,1336
"Justice, 14th Court of Appeals District, Place 6",0693,303,116,419,651,64.36%,157,157
"Justice, 14th Court of Appeals District, Place 6",0694,420,137,557,817,68.18%,408,408
"Justice, 14th Court of Appeals District, Place 6",0695,454,320,774,1646,47.02%,536,536
"Justice, 14th Court of Appeals District, Place 6",0696,600,373,973,2098,46.38%,655,655
"Justice, 14th Court of Appeals District, Place 6",0697,1516,941,2457,4307,57.05%,811,811
"Justice, 14th Court of Appeals District, Place 6",0698,1137,659,1796,2948,60.92%,331,331
"Justice, 14th Court of Appeals District, Place 6",0699,1031,566,1597,2288,69.80%,1133,1133
"Justice, 14th Court of Appeals District, Place 6",0700,531,287,818,1313,62.30%,685,685
"Justice, 14th Court of Appeals District, Place 6",0701,142,115,257,554,46.39%,159,159
"Justice, 14th Court of Appeals District, Place 6",0702,150,123,273,549,49.73%,66,66
"Justice, 14th Court of Appeals District, Place 6",0703,742,616,1358,1845,73.60%,1052,1052
"Justice, 14th Court of Appeals District, Place 6",0704,1334,701,2035,2882,70.61%,1688,1688
"Justice, 14th Court of Appeals District, Place 6",0705,358,238,596,1520,39.21%,96,96
"Justice, 14th Court of Appeals District, Place 6",0706,222,135,357,529,67.49%,202,202
"Justice, 14th Court of Appeals District, Place 6",0707,284,135,420,707,59.41%,279,279
"Justice, 14th Court of Appeals District, Place 6",0708,109,95,204,568,35.92%,124,124
"Justice, 14th Court of Appeals District, Place 6",0709,2997,1297,4294,6239,68.83%,2847,2847
"Justice, 14th Court of Appeals District, Place 6",0710,877,602,1479,2023,73.11%,985,985
"Justice, 14th Court of Appeals District, Place 6",0711,1492,701,2193,3351,65.44%,1460,1460
"Justice, 14th Court of Appeals District, Place 6",0712,1200,858,2058,3348,61.47%,1051,1051
"Justice, 14th Court of Appeals District, Place 6",0713,665,436,1101,1827,60.26%,656,656
"Justice, 14th Court of Appeals District, Place 6",0714,77,3,80,304,26.32%,55,55
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0715,405,326,731,1380,52.97%,416,416
"Justice, 14th Court of Appeals District, Place 6",0716,977,622,1599,2670,59.89%,1190,1190
"Justice, 14th Court of Appeals District, Place 6",0717,826,362,1188,1927,61.65%,254,254
"Justice, 14th Court of Appeals District, Place 6",0718,1844,1019,2863,4050,70.69%,2068,2068
"Justice, 14th Court of Appeals District, Place 6",0719,508,260,768,1617,47.50%,488,488
"Justice, 14th Court of Appeals District, Place 6",0720,1575,1044,2619,3903,67.10%,2052,2052
"Justice, 14th Court of Appeals District, Place 6",0721,1334,637,1971,2842,69.35%,1426,1426
"Justice, 14th Court of Appeals District, Place 6",0722,1892,642,2534,4357,58.16%,397,397
"Justice, 14th Court of Appeals District, Place 6",0723,747,329,1076,1760,61.14%,324,324
"Justice, 14th Court of Appeals District, Place 6",0724,325,170,495,716,69.13%,370,370
"Justice, 14th Court of Appeals District, Place 6",0725,953,329,1282,2124,60.36%,614,614
"Justice, 14th Court of Appeals District, Place 6",0726,1141,304,1445,1987,72.72%,1266,1266
"Justice, 14th Court of Appeals District, Place 6",0727,931,466,1397,2488,56.15%,523,523
"Justice, 14th Court of Appeals District, Place 6",0728,343,208,551,881,62.54%,364,364
"Justice, 14th Court of Appeals District, Place 6",0729,208,93,301,446,67.49%,187,187
"Justice, 14th Court of Appeals District, Place 6",0730,802,437,1239,1630,76.01%,887,887
"Justice, 14th Court of Appeals District, Place 6",0731,122,36,158,373,42.36%,47,47
"Justice, 14th Court of Appeals District, Place 6",0732,701,543,1244,1895,65.65%,812,812
"Justice, 14th Court of Appeals District, Place 6",0733,25,62,87,172,50.58%,38,38
"Justice, 14th Court of Appeals District, Place 6",0734,3209,1114,4323,5952,72.63%,3151,3151
"Justice, 14th Court of Appeals District, Place 6",0735,9,0,9,23,39.1,3%,9,9
"Justice, 14th Court of Appeals District, Place 6",0736,6,1,7,21,33.33%,1,1
"Justice, 14th Court of Appeals District, Place 6",0737,25,5,30,53,56.60%,27,27
"Justice, 14th Court of Appeals District, Place 6",0738,470,219,689,1294,53.25%,147,147
"Justice, 14th Court of Appeals District, Place 6",0739,1005,490,1495,2872,52.05%,780,780
"Justice, 14th Court of Appeals District, Place 6",0740,233,205,438,935,46.84%,254,254
"Justice, 14th Court of Appeals District, Place 6",0741,0,0,0,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0742,0,0,0,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0743,27,4,31,199,15.58%,17,17
"Justice, 14th Court of Appeals District, Place 6",0744,848,509,1357,2024,67.05%,959,959
"Justice, 14th Court of Appeals District, Place 6",0745,1066,542,1608,2396,67.11%,1109,1109
"Justice, 14th Court of Appeals District, Place 6",0746,230,151,381,707,53.89%,222,222
"Justice, 14th Court of Appeals District, Place 6",0747,1200,873,2073,3490,59.40%,1176,1176
"Justice, 14th Court of Appeals District, Place 6",0748,421,307,728,1319,55.19%,426,426
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0749,99,57,156,359,43.45%,40,40
"Justice, 14th Court of Appeals District, Place 6",0750,264,147,411,720,57.08%,256,256
"Justice, 14th Court of Appeals District, Place 6",0751,1665,1254,2919,4451,65.58%,2111,2111
"Justice, 14th Court of Appeals District, Place 6",0752,571,277,848,1511,56.12%,650,650
"Justice, 14th Court of Appeals District, Place 6",0753,106,61,167,260,64.23%,120,120
"Justice, 14th Court of Appeals District, Place 6",0754,0,0,0,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0755,1048,896,1944,3569,54.47%,974,974
"Justice, 14th Court of Appeals District, Place 6",0756,582,300,882,1539,57.31%,371,371
"Justice, 14th Court of Appeals District, Place 6",0757,1416,690,2106,3498,60.21%,586,586
"Justice, 14th Court of Appeals District, Place 6",0758,1996,783,2779,3781,73.50%,2318,2318
"Justice, 14th Court of Appeals District, Place 6",0759,1109,590,1699,2625,64.72%,1125,1125
"Justice, 14th Court of Appeals District, Place 6",0760,2346,647,2993,4154,72.05%,2561,2561
"Justice, 14th Court of Appeals District, Place 6",0761,917,219,1136,1464,77.60%,879,879
"Justice, 14th Court of Appeals District, Place 6",0762,0,0,0,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0763,256,308,564,1184,47.64%,273,273
"Justice, 14th Court of Appeals District, Place 6",0764,2270,1050,3320,4931,67.33%,2272,2272
"Justice, 14th Court of Appeals District, Place 6",0765,1390,815,2205,3967,55.58%,960,960
"Justice, 14th Court of Appeals District, Place 6",0766,71,92,163,383,42.56%,60,60
"Justice, 14th Court of Appeals District, Place 6",0767,20,15,35,90,38.89%,26,26
"Justice, 14th Court of Appeals District, Place 6",0768,2854,1159,4013,5364,74.81%,3288,3288
"Justice, 14th Court of Appeals District, Place 6",0769,117,5,122,161,75.78%,7,7
"Justice, 14th Court of Appeals District, Place 6",0770,58,48,106,262,40.46%,57,57
"Justice, 14th Court of Appeals District, Place 6",0771,702,537,1239,2378,52.10%,731,731
"Justice, 14th Court of Appeals District, Place 6",0772,2929,1002,3931,5617,69.98%,3097,3097
"Justice, 14th Court of Appeals District, Place 6",0773,892,550,1442,2648,54.46%,470,470
"Justice, 14th Court of Appeals District, Place 6",0774,117,74,191,301,63.46%,59,59
"Justice, 14th Court of Appeals District, Place 6",0775,33,1,34,83,40.96%,2,2
"Justice, 14th Court of Appeals District, Place 6",0776,1113,741,1854,2855,64.94%,1208,1208
"Justice, 14th Court of Appeals District, Place 6",0777,83,123,206,642,32.09%,81,81
"Justice, 14th Court of Appeals District, Place 6",0778,0,0,0,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0779,295,221,516,1146,45.03%,228,228
"Justice, 14th Court of Appeals District, Place 6",0780,136,114,250,579,43.18%,137,137
"Justice, 14th Court of Appeals District, Place 6",0781,1152,655,1807,3716,48.63%,835,835
"Justice, 14th Court of Appeals District, Place 6",0782,851,532,1383,2188,63.21%,930,930
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0783,103,43,146,265,55.09%,83,83
"Justice, 14th Court of Appeals District, Place 6",0784,428,156,584,1071,54.53%,45,45
"Justice, 14th Court of Appeals District, Place 6",0785,66,55,121,310,39.03%,76,76
"Justice, 14th Court of Appeals District, Place 6",0786,193,277,470,1297,36.24%,196,196
"Justice, 14th Court of Appeals District, Place 6",0787,154,76,230,487,47.23%,105,105
"Justice, 14th Court of Appeals District, Place 6",0788,156,58,214,481,44.49%,92,92
"Justice, 14th Court of Appeals District, Place 6",0789,3,1,4,4,100.00%,1,1
"Justice, 14th Court of Appeals District, Place 6",0790,1,0,1,4,25.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0791,0,0,0,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0792,549,409,958,1834,52.24%,332,332
"Justice, 14th Court of Appeals District, Place 6",0793,889,338,1227,2437,50.35%,795,795
"Justice, 14th Court of Appeals District, Place 6",0794,575,484,1059,2602,40.70%,192,192
"Justice, 14th Court of Appeals District, Place 6",0795,265,255,520,1207,43.08%,232,232
"Justice, 14th Court of Appeals District, Place 6",0796,145,92,237,485,48.87%,145,145
"Justice, 14th Court of Appeals District, Place 6",0797,0,0,0,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0798,176,263,439,496,88.51%,169,169
"Justice, 14th Court of Appeals District, Place 6",0799,65,12,77,146,52.74%,25,25
"Justice, 14th Court of Appeals District, Place 6",0800,1188,795,1983,2817,70.39%,1428,1428
"Justice, 14th Court of Appeals District, Place 6",0801,68,55,123,253,48.62%,52,52
"Justice, 14th Court of Appeals District, Place 6",0802,98,58,156,299,52.17%,57,57
"Justice, 14th Court of Appeals District, Place 6",0803,1305,530,1935,2718,71.19%,1496,1496
"Justice, 14th Court of Appeals District, Place 6",0804,1807,960,2767,4348,63.64%,1846,1846
"Justice, 14th Court of Appeals District, Place 6",0805,1509,529,2038,2812,72.48%,1670,1670
"Justice, 14th Court of Appeals District, Place 6",0806,0,0,0,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0807,652,402,1054,2001,52.67%,302,302
"Justice, 14th Court of Appeals District, Place 6",0808,41,26,67,84,79.76%,37,37
"Justice, 14th Court of Appeals District, Place 6",0809,21,e,27,86,31.40%,10,10
"Justice, 14th Court of Appeals District, Place 6",0810,30,48,78,215,36.28%,30,30
"Justice, 14th Court of Appeals District, Place 6",0811,39,106,145,271,53.51%,51,51
"Justice, 14th Court of Appeals District, Place 6",0812,0,0,0,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0813,1967,1258,3225,5423,59.47%,1843,1843
"Justice, 14th Court of Appeals District, Place 6",0814,1773,955,2728,4503,60.58%,904,904
"Justice, 14th Court of Appeals District, Place 6",0815,0,0,0,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0816,20,13,33,76,43.42%,13,13
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0817,0,0,0,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0818,134,101,235,527,44.59%,65,65
"Justice, 14th Court of Appeals District, Place 6",0819,97,45,142,238,59.66%,93,93
"Justice, 14th Court of Appeals District, Place 6",0820,0,0,0,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0821,354,203,557,1206,46.19%,104,104
"Justice, 14th Court of Appeals District, Place 6",0822,584,282,866,1544,56.09%,90,90
"Justice, 14th Court of Appeals District, Place 6",0823,1850,1015,2865,4710,60.83%,1714,1714
"Justice, 14th Court of Appeals District, Place 6",0824,984,471,1455,2729,53.32%,480,480
"Justice, 14th Court of Appeals District, Place 6",0825,0,0,0,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0826,153,89,242,342,70.76%,156,156
"Justice, 14th Court of Appeals District, Place 6",0827,169,186,355,997,35.61%,171,171
"Justice, 14th Court of Appeals District, Place 6",0828,1074,343,1417,1875,75.57%,1173,1173
"Justice, 14th Court of Appeals District, Place 6",0829,107,56,163,266,61.28%,41,41
"Justice, 14th Court of Appeals District, Place 6",0830,0,0,0,1,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0831,0,0,0,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0832,109,46,155,351,44.16%,58,58
"Justice, 14th Court of Appeals District, Place 6",0833,8,1,9,20,45.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0834,0,0,0,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0835,87,53,140,292,47.95%,59,59
"Justice, 14th Court of Appeals District, Place 6",0836,8,3,11,19,57.89%,2,2
"Justice, 14th Court of Appeals District, Place 6",0837,0,0,0,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0838,0,0,0,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0839,353,240,593,1122,52.85%,192,192
"Justice, 14th Court of Appeals District, Place 6",0840,712,251,963,1621,59.41%,385,385
"Justice, 14th Court of Appeals District, Place 6",0841,0,2,2,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0842,988,715,1703,3091,55.10%,917,917
"Justice, 14th Court of Appeals District, Place 6",0843,0,2,2,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0844,2,4,6,1,3,46.1,5%,2,2
"Justice, 14th Court of Appeals District, Place 6",0845,85,10,95,100,95.00%,60,60
"Justice, 14th Court of Appeals District, Place 6",0846,70,29,99,210,47.14%,19,19
"Justice, 14th Court of Appeals District, Place 6",0847,795,321,1116,1804,61.86%,406,406
"Justice, 14th Court of Appeals District, Place 6",0848,782,431,1213,1873,64.76%,492,492
"Justice, 14th Court of Appeals District, Place 6",0849,553,514,1067,2073,51.47%,489,489
"Justice, 14th Court of Appeals District, Place 6",0850,87,38,125,205,60.98%,62,62
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0851,2192,818,3008,4317,89.88%,2124,2124
"Justice, 14th Court of Appeals District, Place 6",0852,0,4,4,2,200.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0853,1413,805,2018,2773,72.77%,1813,1813
"Justice, 14th Court of Appeals District, Place 6",0854,41,30,71,175,40.57%,12,12
"Justice, 14th Court of Appeals District, Place 6",0855,4,13,17,18,94.44%,10,10
"Justice, 14th Court of Appeals District, Place 6",0858,0,4,4,0,0.00%,3,3
"Justice, 14th Court of Appeals District, Place 6",0857,0,0,0,1,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0858,132,18,150,372,40.32%,11,11
"Justice, 14th Court of Appeals District, Place 6",0859,309,201,510,880,59.30%,148,148
"Justice, 14th Court of Appeals District, Place 6",0880,0,1,1,0,0.00%,1,1
"Justice, 14th Court of Appeals District, Place 6",0881,705,319,1024,1788,57.33%,271,271
"Justice, 14th Court of Appeals District, Place 6",0882,0,0,0,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0883,210,89,279,820,45.00%,24,24
"Justice, 14th Court of Appeals District, Place 6",0884,497,809,1108,2484,44.89%,394,394
"Justice, 14th Court of Appeals District, Place 6",0885,9,2,11,23,47.83%,2,2
"Justice, 14th Court of Appeals District, Place 6",0888,0,0,0,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0887,0,0,0,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0888,573,588,1159,2292,50.57%,438,438
"Justice, 14th Court of Appeals District, Place 6",0889,153,78,229,473,48.41%,54,54
"Justice, 14th Court of Appeals District, Place 6",0870,0,0,0,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0871,3,0,3,4,75.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0872,13,5,18,88,27.27%,11,11
"Justice, 14th Court of Appeals District, Place 6",0873,253,125,378,701,53.92%,138,138
"Justice, 14th Court of Appeals District, Place 6",0874,1534,748,2282,3107,73.45%,1819,1819
"Justice, 14th Court of Appeals District, Place 6",0875,1719,927,2848,4031,85.84%,1495,1495
"Justice, 14th Court of Appeals District, Place 6",0878,1829,839,2288,3013,75.27%,1728,1728
"Justice, 14th Court of Appeals District, Place 6",0877,1031,542,1873,2480,87.48%,898,898
"Justice, 14th Court of Appeals District, Place 6",0878,853,350,1203,1841,73.31%,1029,1029
"Justice, 14th Court of Appeals District, Place 6",0879,890,527,1417,2334,80.71%,811,811
"Justice, 14th Court of Appeals District, Place 6",0880,1088,472,1540,2007,78.73%,1248,1248
"Justice, 14th Court of Appeals District, Place 6",0881,1510,877,2387,3819,85.98%,1047,1047
"Justice, 14th Court of Appeals District, Place 6",0882,940,457,1397,2328,80.01%,885,885
"Justice, 14th Court of Appeals District, Place 6",0883,1918,1042,2980,4851,83.84%,858,858
"Justice, 14th Court of Appeals District, Place 6",0884,118,37,155,330,48.97%,28,28
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0885,1222,541,1763,2466,71.49%,1158,1158
"Justice, 14th Court of Appeals District, Place 6",0886,301,154,455,713,63.81%,274,274
"Justice, 14th Court of Appeals District, Place 6",0887,138,83,221,313,70.61%,139,139
"Justice, 14th Court of Appeals District, Place 6",0888,0,0,0,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0889,22,0,22,61,36.07%,16,16
"Justice, 14th Court of Appeals District, Place 6",0890,321,118,439,994,44.16%,213,213
"Justice, 14th Court of Appeals District, Place 6",0891,539,392,931,1413,65.89%,471,471
"Justice, 14th Court of Appeals District, Place 6",0892,194,130,324,696,46.55%,129,129
"Justice, 14th Court of Appeals District, Place 6",0893,1,0,1,5,20.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0894,0,31,31,0,0.00%,10,10
"Justice, 14th Court of Appeals District, Place 6",0895,335,325,660,784,84.1,8%,364,364
"Justice, 14th Court of Appeals District, Place 6",0896,670,303,973,1437,67.71%,464,464
"Justice, 14th Court of Appeals District, Place 6",0897,742,375,1117,1624,68.78%,677,677
"Justice, 14th Court of Appeals District, Place 6",0898,0,0,0,2,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0899,4,0,4,8,50.00%,1,1
