Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0202,488,332,820,1479,55.44%,77,77
"Justice, 14th Court of Appeals District, Place 6",0203,266,156,422,900,46.89%,137,137
"Justice, 14th Court of Appeals District, Place 6",0204,1491,914,2405,3462,69.47%,1572,1572
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0205,856,201,1057,1667,63.41%,93,93
"Justice, 14th Court of Appeals District, Place 6",0206,651,659,1310,2662,49.21%,582,582
"Justice, 14th Court of Appeals District, Place 6",0207,410,310,720,1144,62.94%,332,332
"Justice, 14th Court of Appeals District, Place 6",0208,806,364,1170,2201,53.16%,426,426
"Justice, 14th Court of Appeals District, Place 6",0209,0,4,4,0,0.00%,4,4
"Justice, 14th Court of Appeals District, Place 6",0210,1013,542,1555,2300,67.61%,331,331
"Justice, 14th Court of Appeals District, Place 6",0211,710,686,1396,2797,49.91%,661,661
"Justice, 14th Court of Appeals District, Place 6",0212,218,314,532,1266,42.02%,175,175
"Justice, 14th Court of Appeals District, Place 6",0213,1603,939,2542,3308,76.84%,2076,2076
"Justice, 14th Court of Appeals District, Place 6",0214,798,544,1342,1795,74.76%,927,927
"Justice, 14th Court of Appeals District, Place 6",0215,844,786,1630,2168,75.18%,1107,1107
"Justice, 14th Court of Appeals District, Place 6",0216,784,320,1104,1917,57.59%,171,171
"Justice, 14th Court of Appeals District, Place 6",0217,1396,651,2047,2637,77.63%,1469,1469
"Justice, 14th Court of Appeals District, Place 6",0218,690,608,1298,2274,57.08%,580,580
"Justice, 14th Court of Appeals District, Place 6",0219,1117,587,1704,2654,64.20%,281,281
"Justice, 14th Court of Appeals District, Place 6",0220,711,353,1064,2360,45.08%,794,794
"Justice, 14th Court of Appeals District, Place 6",0221,699,611,1310,2489,52.63%,710,710
"Justice, 14th Court of Appeals District, Place 6",0222,1000,792,1792,2384,75.17%,1006,1006
"Justice, 14th Court of Appeals District, Place 6",0223,1350,760,2110,3528,59.81%,981,981
"Justice, 14th Court of Appeals District, Place 6",0224,896,649,1545,2259,68.39%,855,855
"Justice, 14th Court of Appeals District, Place 6",0225,1111,720,1831,3155,58.03%,930,930
"Justice, 14th Court of Appeals District, Place 6",0226,529,545,1074,2393,44.88%,398,398
"Justice, 14th Court of Appeals District, Place 6",0227,947,451,1398,1767,79.12%,1110,1110
"Justice, 14th Court of Appeals District, Place 6",0228,583,165,748,1073,69.71%,117,117
"Justice, 14th Court of Appeals District, Place 6",0229,152,207,359,811,44.27%,149,149
"Justice, 14th Court of Appeals District, Place 6",0230,421,153,574,1096,52.37%,41,41
"Justice, 14th Court of Appeals District, Place 6",0231,562,471,1033,2219,46.55%,413,413
"Justice, 14th Court of Appeals District, Place 6",0232,685,546,1231,1696,72.58%,802,802
"Justice, 14th Court of Appeals District, Place 6",0233,1830,1063,2893,4132,70.01%,1758,1758
"Justice, 14th Court of Appeals District, Place 6",0234,2090,885,2975,3854,77.19%,2372,2372
"Justice, 14th Court of Appeals District, Place 6",0235,466,242,708,1305,54.25%,93,93
"Justice, 14th Court of Appeals District, Place 6",0236,779,342,1121,2144,52.29%,111,111
"Justice, 14th Court of Appeals District, Place 6",0237,793,441,1234,2181,56.58%,104,104
"Justice, 14th Court of Appeals District, Place 6",0238,640,422,1062,1901,55.87%,106,106
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0239,765,357,1122,1997,56.18%,127,127
"Justice, 14th Court of Appeals District, Place 6",0240,1157,402,1559,2688,58.00%,128,128
"Justice, 14th Court of Appeals District, Place 6",0241,494,479,973,2296,42.38%,480,480
"Justice, 14th Court of Appeals District, Place 6",0242,363,323,686,1570,43.69%,405,405
"Justice, 14th Court of Appeals District, Place 6",0243,254,50,304,452,67.26%,36,36
"Justice, 14th Court of Appeals District, Place 6",0244,1100,656,1756,2912,60.30%,1053,1053
"Justice, 14th Court of Appeals District, Place 6",0245,2340,1115,3455,5240,65.94%,2473,2473
"Justice, 14th Court of Appeals District, Place 6",0246,1584,624,2208,2999,73.62%,1595,1595
"Justice, 14th Court of Appeals District, Place 6",0247,421,403,824,1607,51.28%,79,79
"Justice, 14th Court of Appeals District, Place 6",0248,408,405,813,2122,38.31%,275,275
"Justice, 14th Court of Appeals District, Place 6",0249,1028,481,1509,2676,56.39%,1080,1080
"Justice, 14th Court of Appeals District, Place 6",0250,306,247,553,951,58.15%,41,41
"Justice, 14th Court of Appeals District, Place 6",0251,809,529,1338,2072,64.58%,150,150
"Justice, 14th Court of Appeals District, Place 6",0252,1111,356,1467,2350,62.43%,112,112
"Justice, 14th Court of Appeals District, Place 6",0253,923,325,1248,2252,55.42%,90,90
"Justice, 14th Court of Appeals District, Place 6",0254,220,282,502,1476,34.01%,173,173
"Justice, 14th Court of Appeals District, Place 6",0255,995,797,1792,2411,74.33%,1010,1010
"Justice, 14th Court of Appeals District, Place 6",0256,1059,766,1825,3226,56.57%,893,893
"Justice, 14th Court of Appeals District, Place 6",0257,553,571,1124,2403,46.77%,389,389
"Justice, 14th Court of Appeals District, Place 6",0258,1577,888,2465,3286,75.02%,1856,1856
"Justice, 14th Court of Appeals District, Place 6",0259,1,1210,460,1670,2408,69.35%,139,139
"Justice, 14th Court of Appeals District, Place 6",0260,420,290,710,1187,59.81%,440,440
"Justice, 14th Court of Appeals District, Place 6",0261,176,133,309,749,41.26%,138,138
"Justice, 14th Court of Appeals District, Place 6",0262,1470,906,2376,4232,56.14%,1537,1537
"Justice, 14th Court of Appeals District, Place 6",0263,1785,719,2504,3319,75.44%,1925,1925
"Justice, 14th Court of Appeals District, Place 6",0264,936,639,1575,2939,53.59%,944,944
"Justice, 14th Court of Appeals District, Place 6",0265,1936,674,2610,3617,72.16%,1995,1995
"Justice, 14th Court of Appeals District, Place 6",0266,552,542,1094,2119,51.63%,621,621
"Justice, 14th Court of Appeals District, Place 6",0267,294,305,599,1346,44.50%,322,322
"Justice, 14th Court of Appeals District, Place 6",0268,931,810,1741,2387,72.94%,1174,1174
"Justice, 14th Court of Appeals District, Place 6",0269,1143,444,1587,1981,80.11%,1271,1271
"Justice, 14th Court of Appeals District, Place 6",0270,1401,870,2271,3517,64.57%,1483,1483
"Justice, 14th Court of Appeals District, Place 6",0271,1303,371,1674,2469,67.80%,141,141
"Justice, 14th Court of Appeals District, Place 6",0272,610,484,1094,2112,51.80%,526,526
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0273,1141,634,1775,2426,73.17%,1468,1468
"Justice, 14th Court of Appeals District, Place 6",0274,1049,364,1413,2063,68.49%,1014,1014
"Justice, 14th Court of Appeals District, Place 6",0275,567,410,977,1730,56.47%,279,279
"Justice, 14th Court of Appeals District, Place 6",0276,1139,404,1543,2532,60.94%,133,133
"Justice, 14th Court of Appeals District, Place 6",0277,342,305,647,1473,43.92%,351,351
"Justice, 14th Court of Appeals District, Place 6",0278,756,607,1363,2405,56.67%,840,840
"Justice, 14th Court of Appeals District, Place 6",0279,548,383,931,1899,49.03%,633,633
"Justice, 14th Court of Appeals District, Place 6",0280,303,360,663,1515,43.76%,320,320
"Justice, 14th Court of Appeals District, Place 6",0281,1087,903,1990,2610,76.25%,1190,1190
"Justice, 14th Court of Appeals District, Place 6",0282,690,591,1281,1988,64.44%,833,833
"Justice, 14th Court of Appeals District, Place 6",0283,0,0,0,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0284,1136,595,1731,3262,53.07%,816,816
"Justice, 14th Court of Appeals District, Place 6",0285,988,509,1497,2505,59.76%,244,244
"Justice, 14th Court of Appeals District, Place 6",0286,2658,1053,3711,5719,64.89%,777,777
"Justice, 14th Court of Appeals District, Place 6",0287,647,542,1189,1616,73.58%,713,713
"Justice, 14th Court of Appeals District, Place 6",0288,1036,380,1416,2259,62.68%,91,91
"Justice, 14th Court of Appeals District, Place 6",0289,374,397,771,1510,51.06%,405,405
"Justice, 14th Court of Appeals District, Place 6",0290,577,429,1006,1567,64.20%,812,812
"Justice, 14th Court of Appeals District, Place 6",0291,541,298,839,1203,69.74%,459,459
"Justice, 14th Court of Appeals District, Place 6",0292,478,236,714,1272,56.13%,158,158
"Justice, 14th Court of Appeals District, Place 6",0293,620,557,1177,1733,67.92%,624,624
"Justice, 14th Court of Appeals District, Place 6",0294,989,298,1287,2107,61.08%,119,119
"Justice, 14th Court of Appeals District, Place 6",0295,314,189,503,862,58.35%,42,42
"Justice, 14th Court of Appeals District, Place 6",0296,602,432,1034,1693,61.08%,656,656
"Justice, 14th Court of Appeals District, Place 6",0297,579,445,1024,1978,51.77%,463,463
"Justice, 14th Court of Appeals District, Place 6",0298,848,475,1323,2083,63.51%,822,822
"Justice, 14th Court of Appeals District, Place 6",0299,328,213,541,1231,43.95%,225,225
