Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Walker,DEM John Whitmire,Totals
"State Senator, District 15",0710,877,802,1479,2023,73.11%,808,588,1394
"State Senator, District 15",0717,828,382,1188,1927,81.85%,147,1001,1148
"State Senator, District 15",0723,747,329,1078,1780,81.14%,210,831,1041
"State Senator, District 15",0725,953,329,1282,2124,80.38%,478,745,1223
"State Senator, District 15",0729,208,93,301,448,87.49%,189,121,290
"State Senator, District 15",0737,25,5,30,53,58.80%,24,8,30
"State Senator, District 15",0738,470,219,889,1294,53.25%,78,591,889
"State Senator, District 15",0739,1005,490,1495,2872,52.05%,825,822,1447
"State Senator, District 15",0741,0,0,0,0,0.00%,0,0,0
"State Senator, District 15",0753,108,81,187,280,84.23%,105,58,183
"State Senator, District 15",0758,582,300,882,1539,57.31%,291,555,848
"State Senator, District 15",0757,1418,890,2108,3498,80.21%,314,1728,2042
"State Senator, District 15",0784,2270,1050,3320,4931,87.33%,2029,1180,3209
"State Senator, District 15",0787,20,15,35,90,38.89%,23,11,34
"State Senator, District 15",0789,117,5,122,181,75.78%,5,113,118
"State Senator, District 15",0778,1113,741,1854,2855,84.94%,1044,742,1788
"State Senator, District 15",0789,3,1,4,4,100.00%,0,3,3
"State Senator, District 15",0799,85,12,77,148,52.74%,15,59,74
"State Senator, District 15",0802,98,58,158,299,52.17%,35,113,148
"State Senator, District 15",0808,41,25,87,84,79.78%,28,34,82
"State Senator, District 15",0809,21,8,27,88,31.40%,10,18,28
"State Senator, District 15",0818,134,101,235,527,44.59%,40,187,227
"State Senator, District 15",0834,0,0,0,0,0.00%,0,0,0
"State Senator, District 15",0840,712,251,983,1821,59.41%,302,828,930
"State Senator, District 15",0841,0,2,2,0,0.00%,0,2,2
"State Senator, District 15",0847,795,321,1118,1804,81.88%,285,793,1078
"State Senator, District 15",0848,782,431,1213,1873,84.78%,342,833,1175
"State Senator, District 15",0855,4,13,17,18,94.44%,8,9,17
"State Senator, District 15",0859,309,201,510,880,59.30%,100,401,501
"State Senator, District 15",0881,705,319,1024,1788,57.33%,172,828,1000
"State Senator, District 15",0888,573,588,1159,2292,50.57%,321,790,1111
"State Senator, District 15",0870,0,0,0,0,0.00%,0,0,0
"State Senator, District 15",0873,253,1,25,378,701,53.92%,85,288,373
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Walker,DEM John Whitmire,Totals
"State Senator, District 15",0883,1918,1042,2960,4651,63.64%,495,2396,2891
"State Senator, District 15",0884,118,37,155,330,46.97%,20,129,149
"State Senator, District 15",0885,1222,541,1763,2466,71.49%,1008,689,1697
"State Senator, District 15",0886,301,154,455,713,63.81%,221,199,420
"State Senator, District 15",0887,138,83,221,313,70.61%,122,81,203
"State Senator, District 15",0894,0,31,31,0,0.00%,7,21,28
"State Senator, District 15",0895,335,325,660,784,84.18%,256,356,612
"State Senator, District 15",0896,670,303,973,1437,67.71%,353,561,914
"State Senator, District 15",0902,865,621,1486,2065,71.96%,776,631,1407
"State Senator, District 15",0903,10,1,11,41,26.83%,5,5,10
"State Senator, District 15",0905,290,168,458,908,50.44%,156,272,428
"State Senator, District 15",0911,227,79,306,570,53.68%,194,97,291
"State Senator, District 15",0922,0,2,2,0,0.00%,1,1,2
"State Senator, District 15",0927,84,74,158,262,60.31%,71,82,153
"State Senator, District 15",0935,8,17,25,65,38.46%,10,14,24
"State Senator, District 15",0940,1,0,1,13,7.69%,0,1,1
"State Senator, District 15",0953,59,52,111,420,26.43%,8,102,110
"State Senator, District 15",0954,0,0,0,0,0.00%,0,0,0
"State Senator, District 15",0955,5,20,25,18,138.89%,14,9,23
"State Senator, District 15",0960,362,143,505,586,86.18%,134,358,492
