Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0136,985,451,1436,2111,68.02%,118,294,169,581
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0137,305,193,498,740,87.30%,282,58,77,415
"Railroad Commissioner, Unexpired Term",0138,881,259,920,1749,52.80%,49,102,42,193
"Railroad Commissioner, Unexpired Term",0139,1297,747,2044,2748,74.44%,1088,248,284,1598
"Railroad Commissioner, Unexpired Term",0140,1317,583,2000,3104,84.43%,391,397,247,1035
"Railroad Commissioner, Unexpired Term",0141,181,143,324,872,37.18%,198,34,14,248
"Railroad Commissioner, Unexpired Term",0142,212,171,383,870,44.02%,104,90,28,220
"Railroad Commissioner, Unexpired Term",0143,2999,880,3859,4598,79.58%,2818,338,134,3088
"Railroad Commissioner, Unexpired Term",0144,477,204,881,1143,59.58%,25,91,39,155
"Railroad Commissioner, Unexpired Term",0145,883,245,908,1580,57.47%,34,107,53,194
"Railroad Commissioner, Unexpired Term",0148,759,814,1373,1953,70.30%,851,225,202,1078
"Railroad Commissioner, Unexpired Term",0147,1258,485,1741,2813,81.89%,280,287,133,700
"Railroad Commissioner, Unexpired Term",0148,911,924,1835,2487,74.38%,880,202,373,1435
"Railroad Commissioner, Unexpired Term",0149,2888,1322,4188,8103,88.82%,1954,893,280,2907
"Railroad Commissioner, Unexpired Term",0150,539,207,748,1212,81.55%,38,114,50,202
"Railroad Commissioner, Unexpired Term",0151,31,e,148,484,848,54.85%,32,73,28,133
"Railroad Commissioner, Unexpired Term",0152,483,802,1085,2701,40.17%,287,239,74,580
"Railroad Commissioner, Unexpired Term",0153,328,437,785,1755,43.59%,211,187,34,432
"Railroad Commissioner, Unexpired Term",0154,593,380,953,2133,44.88%,229,249,82,540
"Railroad Commissioner, Unexpired Term",0155,1957,834,2791,4087,88.29%,1957,217,143,2317
"Railroad Commissioner, Unexpired Term",0158,1428,457,1885,3134,80.15%,134,302,144,580
"Railroad Commissioner, Unexpired Term",0157,881,382,1283,2311,54.85%,81,189,87,337
"Railroad Commissioner, Unexpired Term",0158,1304,435,1739,3018,57.88%,80,281,148,509
"Railroad Commissioner, Unexpired Term",0159,313,187,500,978,51.23%,80,85,42,207
"Railroad Commissioner, Unexpired Term",0180,248,140,388,888,58.10%,19,84,29,112
"Railroad Commissioner, Unexpired Term",0181,395,190,585,1030,58.80%,19,81,41,141
"Railroad Commissioner, Unexpired Term",0182,232,282,494,1249,39.55%,152,100,32,284
"Railroad Commissioner, Unexpired Term",0183,778,535,1413,3054,48.27%,443,241,84,748
"Railroad Commissioner, Unexpired Term",0184,505,304,809,1434,58.42%,33,94,52,179
"Railroad Commissioner, Unexpired Term",0185,919,557,1478,2284,84.82%,944,173,128,1245
"Railroad Commissioner, Unexpired Term",0188,281,311,592,1018,58.27%,213,140,88,441
"Railroad Commissioner, Unexpired Term",0187,5,2,7,23,30.43%,1,3,0,4
"Railroad Commissioner, Unexpired Term",0188,189,128,315,519,80.89%,17,31,10,58
"Railroad Commissioner, Unexpired Term",0189,1080,433,1493,2531,58.99%,84,172,104,340
"Railroad Commissioner, Unexpired Term",0170,481,353,834,1887,44.20%,408,125,45,578
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0171,514,294,808,1613,50.09%,40,115,39,194
"Railroad Commissioner, Unexpired Term",0172,161,147,308,600,51.33%,105,84,14,203
"Railroad Commissioner, Unexpired Term",0173,1799,619,2418,3105,77.87%,1866,160,87,2113
"Railroad Commissioner, Unexpired Term",0174,1554,767,2321,3159,73.47%,1629,178,126,1933
"Railroad Commissioner, Unexpired Term",0175,1066,867,1933,2506,77.13%,1086,220,225,1531
"Railroad Commissioner, Unexpired Term",0176,627,530,1157,1581,73.18%,670,107,140,917
"Railroad Commissioner, Unexpired Term",0177,676,385,1061,1478,71.79%,667,138,83,888
"Railroad Commissioner, Unexpired Term",0178,914,368,1282,1718,74.62%,905,111,75,1091
"Railroad Commissioner, Unexpired Term",0179,449,321,770,1508,51.06%,356,146,62,564
"Railroad Commissioner, Unexpired Term",0180,966,552,1518,2795,54.31%,79,229,83,391
"Railroad Commissioner, Unexpired Term",0181,418,514,932,1968,47.36%,299,224,44,567
"Railroad Commissioner, Unexpired Term",0182,1326,1081,2407,3289,73.18%,1580,207,230,2017
"Railroad Commissioner, Unexpired Term",0183,973,943,1916,2451,78.17%,1369,139,130,1638
"Railroad Commissioner, Unexpired Term",0184,214,256,470,969,48.50%,141,89,29,259
"Railroad Commissioner, Unexpired Term",0185,593,494,1087,1910,56.91%,369,189,53,611
"Railroad Commissioner, Unexpired Term",0186,204,170,374,795,47.04%,47,67,7,121
"Railroad Commissioner, Unexpired Term",0187,48,65,113,309,36.57%,26,26,8,60
"Railroad Commissioner, Unexpired Term",0188,307,378,685,1616,42.39%,256,121,28,405
"Railroad Commissioner, Unexpired Term",0189,493,473,966,1453,66.48%,538,117,119,774
"Railroad Commissioner, Unexpired Term",0190,275,401,676,1720,39.30%,230,143,37,410
"Railroad Commissioner, Unexpired Term",0191,197,313,510,1391,36.66%,172,97,26,295
"Railroad Commissioner, Unexpired Term",0192,746,332,1078,2045,52.71%,69,142,69,280
"Railroad Commissioner, Unexpired Term",0193,341,269,610,1050,58.10%,32,99,67,198
"Railroad Commissioner, Unexpired Term",0194,709,504,1213,1735,69.91%,395,199,237,831
"Railroad Commissioner, Unexpired Term",0195,539,419,958,1721,55.67%,59,114,70,243
"Railroad Commissioner, Unexpired Term",0196,121,55,176,323,54.49%,12,45,3,60
"Railroad Commissioner, Unexpired Term",0197,1109,497,1606,2895,55.47%,75,234,95,404
"Railroad Commissioner, Unexpired Term",0198,143,158,301,657,45.81%,5,35,21,61
"Railroad Commissioner, Unexpired Term",0199,1408,773,2181,3159,69.04%,1654,164,94,1912
"Railroad Commissioner, Unexpired Term",0200,1643,585,2228,3222,69.15%,1116,305,323,1744
"Railroad Commissioner, Unexpired Term",0201,229,125,354,728,48.63%,18,48,21,87
"Railroad Commissioner, Unexpired Term",0202,488,332,820,1479,55.44%,30,106,57,193
"Railroad Commissioner, Unexpired Term",0203,266,156,422,900,46.89%,93,89,27,209
"Railroad Commissioner, Unexpired Term",0204,1496,914,2410,3462,69.61%,1451,301,252,2004
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0205,656,201,1057,1667,63.41%,44,145,61,250
"Railroad Commissioner, Unexpired Term",0206,652,659,1311,2662,49.25%,436,312,171,921
"Railroad Commissioner, Unexpired Term",0207,410,310,720,1144,62.94%,266,162,63,511
"Railroad Commissioner, Unexpired Term",0206,606,364,1172,2201,53.25%,329,192,55,576
"Railroad Commissioner, Unexpired Term",0209,0,4,4,0,0.00%,4,0,0,4
"Railroad Commissioner, Unexpired Term",0210,1016,542,1560,2300,67.63%,217,292,220,729
"Railroad Commissioner, Unexpired Term",0211,710,666,1396,2797,49.91%,516,260,102,900
"Railroad Commissioner, Unexpired Term",0212,219,314,533,1266,42.10%,116,121,29,266
"Railroad Commissioner, Unexpired Term",0213,1603,939,2542,3306,76.64%,2061,126,94,2263
"Railroad Commissioner, Unexpired Term",0214,600,544,1344,1795,74.67%,661,139,120,1120
"Railroad Commissioner, Unexpired Term",0215,645,766,1631,2166,75.23%,1033,145,162,1340
