Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0646,708,456,1164,2163,53.81%,338,765,1103
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0647,1770,1020,2790,5593,49.88%,681,1888,2569
"District Judge, 165th Judicial District",0648,1590,668,2258,3197,70.63%,1566,581,2147
"District Judge, 165th Judicial District",0649,1389,854,2243,4426,50.68%,611,1503,2114
"District Judge, 165th Judicial District",0650,1328,939,2267,3151,71.95%,1650,506,2156
"District Judge, 165th Judicial District",0651,2085,1070,3155,4931,63.98%,1941,1051,2992
"District Judge, 165th Judicial District",0652,1049,653,1702,2633,64.64%,270,1369,1639
"District Judge, 165th Judicial District",0653,0,8,8,0,0.00%,2,6,8
"District Judge, 165th Judicial District",0654,2103,1344,3447,5765,59.79%,1685,1560,3245
"District Judge, 165th Judicial District",0655,2612,1451,4063,6304,64.45%,2501,1329,3830
"District Judge, 165th Judicial District",0656,1198,421,1619,2622,61.75%,54,1509,1563
"District Judge, 165th Judicial District",0657,490,268,758,1200,63.17%,288,427,715
"District Judge, 165th Judicial District",0658,985,708,1693,2824,59.95%,1033,586,1619
"District Judge, 165th Judicial District",0659,2141,1091,3232,4588,70.44%,2241,843,3084
"District Judge, 165th Judicial District",0660,2460,932,3392,5048,67.19%,324,2943,3267
"District Judge, 165th Judicial District",0661,1514,1012,2626,4179,62.84%,1380,1094,2474
"District Judge, 165th Judicial District",0662,2477,999,3476,4807,72.31%,2747,573,3320
"District Judge, 165th Judicial District",0663,1302,913,2215,3232,68.53%,1206,831,2037
"District Judge, 165th Judicial District",0664,681,607,1288,2801,45.98%,267,960,1227
"District Judge, 165th Judicial District",0665,951,394,1345,2007,67.02%,1086,184,1270
"District Judge, 165th Judicial District",0666,0,1,1,0,0.00%,0,1,1
"District Judge, 165th Judicial District",0667,989,547,1536,2181,70.43%,1161,289,1450
"District Judge, 165th Judicial District",0668,927,655,1582,2458,64.36%,971,529,1500
"District Judge, 165th Judicial District",0669,1606,823,2429,3243,74.90%,1696,595,2291
"District Judge, 165th Judicial District",0670,1566,518,2084,2952,70.60%,1611,337,1948
"District Judge, 165th Judicial District",0671,1090,773,1863,2942,63.32%,1067,681,1748
"District Judge, 165th Judicial District",0672,2301,1078,3379,4710,71.74%,2200,1040,3240
"District Judge, 165th Judicial District",0673,1375,543,2019,2988,67.57%,1560,344,1904
"District Judge, 165th Judicial District",0674,2092,813,2905,4055,71.64%,2141,643,2784
"District Judge, 165th Judicial District",0675,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0676,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0677,220,239,459,954,48.11%,125,310,435
"District Judge, 165th Judicial District",0678,297,164,461,756,60.98%,309,116,425
"District Judge, 165th Judicial District",0679,1466,661,2127,3331,63.85%,1535,457,1992
"District Judge, 165th Judicial District",0680,55,22,78,181,43.09%,35,36,71
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0681,1,0,1,5,20.00%,0,1,1
"District Judge, 165th Judicial District",0682,1673,912,2585,4134,62.53%,1814,641,2455
"District Judge, 165th Judicial District",0683,48,50,98,261,37.55%,24,69,93
"District Judge, 165th Judicial District",0684,72,24,96,187,51.34%,58,31,89
"District Judge, 165th Judicial District",0685,167,29,196,326,60.12%,89,93,182
"District Judge, 165th Judicial District",0686,46,34,80,196,40.82%,16,59,75
"District Judge, 165th Judicial District",0687,1084,641,1725,2497,69.08%,1141,456,1597
"District Judge, 165th Judicial District",0688,1815,673,2488,3266,76.18%,1979,380,2359
"District Judge, 165th Judicial District",0689,505,651,1156,2276,50.79%,522,537,1059
"District Judge, 165th Judicial District",0690,1965,1116,3081,4184,73.64%,2379,553,2932
"District Judge, 165th Judicial District",0691,10,2,12,34,35.29%,4,8,12
"District Judge, 165th Judicial District",0692,999,717,1716,2626,65.35%,1248,380,1628
"District Judge, 165th Judicial District",0693,303,116,419,651,64.36%,105,279,384
"District Judge, 165th Judicial District",0694,420,137,557,817,68.18%,361,165,526
"District Judge, 165th Judicial District",0695,454,320,774,1646,47.02%,472,263,735
"District Judge, 165th Judicial District",0696,600,373,973,2098,46.38%,580,345,925
"District Judge, 165th Judicial District",0697,1516,941,2457,4307,57.05%,537,1813,2350
"District Judge, 165th Judicial District",0698,1137,659,1796,2948,60.92%,160,1567,1727
"District Judge, 165th Judicial District",0699,1031,566,1597,2288,69.80%,1025,425,1450
"District Judge, 165th Judicial District",0700,531,287,818,1313,62.30%,638,140,778
"District Judge, 165th Judicial District",0701,142,115,257,554,46.39%,127,117,244
"District Judge, 165th Judicial District",0702,150,123,273,549,49.73%,28,235,263
"District Judge, 165th Judicial District",0703,742,616,1358,1845,73.60%,975,281,1256
"District Judge, 165th Judicial District",0704,1334,701,2035,2882,70.61%,1622,308,1930
"District Judge, 165th Judicial District",0705,358,238,596,1520,39.21%,56,520,576
"District Judge, 165th Judicial District",0706,222,135,357,529,67.49%,171,175,346
"District Judge, 165th Judicial District",0707,284,136,420,707,59.41%,247,148,395
"District Judge, 165th Judicial District",0708,109,95,204,568,35.92%,94,98,192
"District Judge, 165th Judicial District",0709,2996,1297,4293,6239,68.81%,2528,1580,4108
"District Judge, 165th Judicial District",0710,877,602,1479,2023,73.11%,880,477,1357
"District Judge, 165th Judicial District",0711,1492,701,2193,3351,65.44%,1309,743,2052
"District Judge, 165th Judicial District",0712,1200,858,2058,3348,61.47%,826,1162,1988
"District Judge, 165th Judicial District",0713,665,436,1101,1827,60.26%,570,474,1044
"District Judge, 165th Judicial District",0714,77,3,80,304,26.32%,51,25,76
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0715,405,326,731,1380,52.97%,350,341,691
"District Judge, 165th Judicial District",0716,977,522,1599,2670,59.89%,1110,410,1520
"District Judge, 165th Judicial District",0717,826,362,1188,1927,61.65%,147,989,1136
"District Judge, 165th Judicial District",0718,1844,1019,2863,4050,70.69%,1918,725,2643
"District Judge, 165th Judicial District",0719,508,260,768,1617,47.50%,404,315,719
"District Judge, 165th Judicial District",0720,1575,1044,2619,3903,67.10%,1891,620,2511
"District Judge, 165th Judicial District",0721,1334,637,1971,2842,69.35%,1324,508,1832
"District Judge, 165th Judicial District",0722,1892,542,2534,4357,58.16%,144,2286,2430
"District Judge, 165th Judicial District",0723,747,329,1076,1760,61.14%,227,795,1022
"District Judge, 165th Judicial District",0724,325,170,495,716,69.13%,338,129,467
"District Judge, 165th Judicial District",0725,953,329,1282,2124,60.36%,508,694,1202
"District Judge, 165th Judicial District",0726,1141,304,1445,1987,72.72%,1249,133,1382
"District Judge, 165th Judicial District",0727,931,466,1397,2488,56.15%,335,999,1334
"District Judge, 165th Judicial District",0728,343,208,551,881,62.54%,308,203,511
"District Judge, 165th Judicial District",0729,208,93,301,446,67.49%,175,109,284
"District Judge, 165th Judicial District",0730,800,437,1237,1630,75.89%,827,305,1132
"District Judge, 165th Judicial District",0731,121,36,157,373,42.09%,30,114,144
"District Judge, 165th Judicial District",0732,701,543,1244,1895,65.65%,747,407,1154
"District Judge, 165th Judicial District",0733,25,62,87,172,50.58%,29,50,79
"District Judge, 165th Judicial District",0734,3209,1114,4323,5952,72.63%,2882,1274,4156
"District Judge, 165th Judicial District",0735,9,0,9,23,39.13%,9,0,9
"District Judge, 165th Judicial District",0736,6,1,7,21,33.33%,1,5,6
"District Judge, 165th Judicial District",0737,25,5,30,53,56.60%,27,3,30
"District Judge, 165th Judicial District",0738,470,219,689,1294,53.25%,81,586,667
"District Judge, 165th Judicial District",0739,1005,490,1495,2872,52.05%,647,788,1435
"District Judge, 165th Judicial District",0740,233,205,438,935,46.84%,227,193,420
"District Judge, 165th Judicial District",0741,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0742,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0743,27,4,31,199,15.58%,13,16,29
"District Judge, 165th Judicial District",0744,848,509,1357,2024,67.05%,872,400,1272
"District Judge, 165th Judicial District",0745,1066,542,1608,2396,67.11%,1014,487,1501
"District Judge, 165th Judicial District",0746,230,151,381,707,53.89%,177,169,346
"District Judge, 165th Judicial District",0747,1200,873,2073,3490,59.40%,960,1030,1990
"District Judge, 165th Judicial District",0748,420,307,727,1319,55.12%,318,361,679
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0749,99,57,156,359,43.45%,29,114,143
"District Judge, 165th Judicial District",0750,264,147,411,720,57.08%,231,155,386
"District Judge, 165th Judicial District",0751,1664,1254,2918,4451,65.56%,1925,854,2779
"District Judge, 165th Judicial District",0752,571,277,848,1511,56.12%,594,205,799
"District Judge, 165th Judicial District",0753,106,61,167,260,64.23%,108,55,163
"District Judge, 165th Judicial District",0754,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0755,1048,896,1944,3569,54.47%,696,1150,1846
"District Judge, 165th Judicial District",0756,582,300,882,1539,57.31%,297,536,833
"District Judge, 165th Judicial District",0757,1416,690,2106,3498,60.21%,328,1709,2037
"District Judge, 165th Judicial District",0758,1996,783,2779,3781,73.50%,2208,400,2608
"District Judge, 165th Judicial District",0759,1109,590,1699,2625,64.72%,1008,582,1590
"District Judge, 165th Judicial District",0760,2346,647,2993,4154,72.05%,2471,356,2827
"District Judge, 165th Judicial District",0761,917,219,1136,1464,77.60%,830,224,1054
"District Judge, 165th Judicial District",0762,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0763,255,308,563,1184,47.55%,180,355,535
"District Judge, 165th Judicial District",0764,2270,1050,3320,4931,67.33%,2069,1103,3172
"District Judge, 165th Judicial District",0765,1390,815,2205,3967,55.58%,775,1334,2109
"District Judge, 165th Judicial District",0766,71,92,163,383,42.56%,33,112,145
"District Judge, 165th Judicial District",0767,20,15,35,90,38.89%,22,10,32
"District Judge, 165th Judicial District",0768,2854,1159,4013,5364,74.81%,3135,705,3840
"District Judge, 165th Judicial District",0769,117,5,122,161,75.78%,3,115,118
"District Judge, 165th Judicial District",0770,58,48,106,262,40.46%,44,58,102
"District Judge, 165th Judicial District",0771,701,537,1238,2378,52.06%,615,552,1167
"District Judge, 165th Judicial District",0772,2927,1002,3929,5617,69.95%,2929,815,3744
"District Judge, 165th Judicial District",0773,892,550,1442,2648,54.46%,341,1015,1356
"District Judge, 165th Judicial District",0774,116,74,190,301,63.12%,40,144,184
"District Judge, 165th Judicial District",0775,33,1,34,83,40.96%,2,31,33
"District Judge, 165th Judicial District",0776,1113,741,1854,2855,64.94%,1055,709,1764
"District Judge, 165th Judicial District",0777,83,123,206,642,32.09%,50,150,200
"District Judge, 165th Judicial District",0778,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0779,295,221,516,1146,45.03%,156,325,481
"District Judge, 165th Judicial District",0780,136,114,250,579,43.18%,106,128,234
"District Judge, 165th Judicial District",0781,1152,655,1807,3716,48.63%,665,966,1631
"District Judge, 165th Judicial District",0782,851,532,1383,2188,63.21%,829,460,1289
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0783,103,43,146,265,55.09%,78,56,134
"District Judge, 165th Judicial District",0784,428,156,584,1071,54.53%,7,558,565
"District Judge, 165th Judicial District",0785,66,55,121,310,39.03%,61,57,118
"District Judge, 165th Judicial District",0786,193,277,470,1297,36.24%,142,307,449
"District Judge, 165th Judicial District",0787,154,76,230,487,47.23%,75,140,215
"District Judge, 165th Judicial District",0788,156,58,214,481,44.49%,70,131,201
"District Judge, 165th Judicial District",0789,3,1,4,4,100.00%,1,2,3
"District Judge, 165th Judicial District",0790,1,0,1,4,25.00%,0,1,1
"District Judge, 165th Judicial District",0791,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0792,549,409,958,1834,52.24%,211,699,910
"District Judge, 165th Judicial District",0793,889,338,1227,2437,50.35%,683,488,1171
"District Judge, 165th Judicial District",0794,575,484,1059,2602,40.70%,71,949,1020
"District Judge, 165th Judicial District",0795,265,255,520,1207,43.08%,145,328,473
"District Judge, 165th Judicial District",0796,145,92,237,485,48.87%,115,109,224
"District Judge, 165th Judicial District",0797,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0798,176,263,439,496,88.51%,128,267,395
"District Judge, 165th Judicial District",0799,65,12,77,146,52.74%,17,56,73
"District Judge, 165th Judicial District",0800,1188,795,1983,2817,70.39%,1311,554,1865
"District Judge, 165th Judicial District",0801,68,55,123,253,48.62%,39,77,116
"District Judge, 165th Judicial District",0802,98,58,156,299,52.17%,34,108,142
"District Judge, 165th Judicial District",0803,1305,530,1935,2718,71.19%,1427,410,1837
"District Judge, 165th Judicial District",0804,1806,960,2766,4348,63.62%,1625,993,2618
"District Judge, 165th Judicial District",0805,1509,529,2038,2812,72.48%,1618,312,1930
"District Judge, 165th Judicial District",0806,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0807,652,402,1054,2001,52.67%,163,844,1007
"District Judge, 165th Judicial District",0808,41,26,67,84,79.76%,30,28,58
"District Judge, 165th Judicial District",0809,21,e,27,86,31.40%,8,16,24
"District Judge, 165th Judicial District",0810,30,48,78,215,36.28%,19,51,70
"District Judge, 165th Judicial District",0811,39,106,145,271,53.51%,28,107,135
"District Judge, 165th Judicial District",0812,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0813,1967,1258,3225,5423,59.47%,1512,1590,3102
"District Judge, 165th Judicial District",0814,1772,955,2727,4503,60.56%,598,2002,2600
"District Judge, 165th Judicial District",0815,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0816,20,13,33,76,43.42%,5,27,32
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0817,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0818,134,101,235,527,44.59%,46,181,227
"District Judge, 165th Judicial District",0819,97,45,142,238,59.66%,87,35,122
"District Judge, 165th Judicial District",0820,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0821,354,203,557,1206,46.19%,45,489,534
"District Judge, 165th Judicial District",0822,584,282,866,1544,56.09%,27,813,840
"District Judge, 165th Judicial District",0823,1849,1015,2864,4710,60.81%,1472,1248,2720
"District Judge, 165th Judicial District",0824,984,471,1455,2729,53.32%,316,1085,1401
"District Judge, 165th Judicial District",0825,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0826,153,89,242,342,70.76%,136,89,225
"District Judge, 165th Judicial District",0827,169,186,355,997,35.61%,126,211,337
"District Judge, 165th Judicial District",0828,1074,343,1417,1875,75.57%,1142,196,1338
"District Judge, 165th Judicial District",0829,107,56,163,266,61.28%,33,125,158
"District Judge, 165th Judicial District",0830,0,0,0,1,0.00%,0,0,0
"District Judge, 165th Judicial District",0831,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0832,109,46,155,351,44.16%,44,101,145
"District Judge, 165th Judicial District",0833,8,1,9,20,45.00%,0,9,9
"District Judge, 165th Judicial District",0834,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0835,87,53,140,292,47.95%,35,97,132
"District Judge, 165th Judicial District",0836,8,3,11,19,57.89%,0,10,10
"District Judge, 165th Judicial District",0837,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0838,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0839,353,240,593,1122,52.85%,107,445,552
"District Judge, 165th Judicial District",0840,712,251,963,1621,59.41%,310,615,925
"District Judge, 165th Judicial District",0841,0,2,2,0,0.00%,0,2,2
"District Judge, 165th Judicial District",0842,987,715,1702,3091,55.06%,728,893,1621
"District Judge, 165th Judicial District",0843,0,2,2,0,0.00%,0,2,2
"District Judge, 165th Judicial District",0844,2,4,6,1,3,46.1,5%,1,4,5
"District Judge, 165th Judicial District",0845,85,10,95,100,95.00%,56,32,88
"District Judge, 165th Judicial District",0846,70,29,99,210,47.14%,6,89,95
"District Judge, 165th Judicial District",0847,795,321,1116,1804,61.86%,287,778,1065
"District Judge, 165th Judicial District",0848,782,431,1213,1873,64.76%,373,781,1154
"District Judge, 165th Judicial District",0849,553,514,1067,2073,51.47%,312,686,998
"District Judge, 165th Judicial District",0850,87,38,125,205,60.98%,48,73,121
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0851,2192,816,3008,4317,69.68%,1936,918,2854
"District Judge, 165th Judicial District",0852,0,4,4,2,200.00%,0,4,4
"District Judge, 165th Judicial District",0853,1412,605,2017,2773,72.74%,1526,376,1902
"District Judge, 165th Judicial District",0854,41,30,71,175,40.57%,4,66,70
"District Judge, 165th Judicial District",0855,4,13,17,18,94.44%,9,8,17
"District Judge, 165th Judicial District",0856,0,4,4,0,0.00%,1,2,3
"District Judge, 165th Judicial District",0857,0,0,0,1,0.00%,0,0,0
"District Judge, 165th Judicial District",0858,132,18,150,372,40.32%,4,140,144
"District Judge, 165th Judicial District",0859,309,201,510,860,59.30%,101,396,497
"District Judge, 165th Judicial District",0860,0,1,1,0,0.00%,1,0,1
"District Judge, 165th Judicial District",0861,705,319,1024,1786,57.33%,178,816,994
"District Judge, 165th Judicial District",0862,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0863,210,69,279,620,45.00%,9,262,271
"District Judge, 165th Judicial District",0864,497,609,1106,2464,44.89%,255,794,1049
"District Judge, 165th Judicial District",0865,9,2,11,23,47.83%,0,11,11
"District Judge, 165th Judicial District",0866,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0867,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0868,573,586,1159,2292,50.57%,337,764,1101
"District Judge, 165th Judicial District",0869,153,76,229,473,48.41%,35,185,220
"District Judge, 165th Judicial District",0870,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0871,3,0,3,4,75.00%,0,3,3
"District Judge, 165th Judicial District",0872,13,5,18,66,27.27%,10,6,16
"District Judge, 165th Judicial District",0873,253,125,378,701,53.92%,90,282,372
"District Judge, 165th Judicial District",0874,1534,748,2282,3107,73.45%,1734,434,2168
"District Judge, 165th Judicial District",0875,1719,927,2646,4031,65.64%,1235,1294,2529
"District Judge, 165th Judicial District",0876,1629,639,2268,3013,75.27%,1617,548,2165
"District Judge, 165th Judicial District",0877,1030,542,1672,2480,67.42%,692,925,1617
"District Judge, 165th Judicial District",0878,853,350,1203,1641,73.31%,1000,138,1138
"District Judge, 165th Judicial District",0879,890,527,1417,2334,60.71%,650,707,1357
"District Judge, 165th Judicial District",0880,1068,472,1540,2007,76.73%,1158,299,1457
"District Judge, 165th Judicial District",0881,1510,877,2387,3619,65.96%,757,1539,2296
"District Judge, 165th Judicial District",0882,940,457,1397,2328,60.01%,777,555,1332
"District Judge, 165th Judicial District",0883,1918,1042,2960,4651,63.64%,499,2362,2861
"District Judge, 165th Judicial District",0884,118,37,155,330,46.97%,21,128,149
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0885,1222,541,1763,2466,71.49%,1024,652,1676
"District Judge, 165th Judicial District",0886,301,154,455,713,63.81%,241,170,411
"District Judge, 165th Judicial District",0887,138,83,221,313,70.61%,128,68,196
"District Judge, 165th Judicial District",0888,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0889,22,0,22,61,36.07%,13,8,21
"District Judge, 165th Judicial District",0890,319,118,437,994,43.96%,172,236,408
"District Judge, 165th Judicial District",0891,539,392,931,1413,65.89%,386,480,866
"District Judge, 165th Judicial District",0892,193,130,323,696,46.41%,92,207,299
"District Judge, 165th Judicial District",0893,1,0,1,5,20.00%,0,1,1
"District Judge, 165th Judicial District",0894,0,31,31,0,0.00%,7,21,28
"District Judge, 165th Judicial District",0895,335,325,660,784,84.18%,331,264,595
"District Judge, 165th Judicial District",0896,670,303,973,1437,67.71%,419,470,889
"District Judge, 165th Judicial District",0897,742,375,1117,1624,68.78%,611,454,1065
"District Judge, 165th Judicial District",0898,0,0,0,2,0.00%,0,0,0
"District Judge, 165th Judicial District",0899,4,0,4,8,50.00%,1,3,4
"District Judge, 165th Judicial District",0900,5,0,5,12,41.67%,1,3,4
"District Judge, 165th Judicial District",0901,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0902,865,621,1486,2065,71.96%,866,499,1365
"District Judge, 165th Judicial District",0903,10,1,11,41,26.83%,7,3,10
"District Judge, 165th Judicial District",0904,0,1,1,1,100.00%,0,1,1
"District Judge, 165th Judicial District",0905,290,158,458,908,50.44%,167,249,416
"District Judge, 165th Judicial District",0906,12,6,18,26,69.23%,9,8,17
"District Judge, 165th Judicial District",0907,60,43,103,134,76.87%,20,81,101
"District Judge, 165th Judicial District",0908,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0909,5,7,12,19,63.16%,6,4,10
"District Judge, 165th Judicial District",0910,55,34,89,226,39.38%,30,53,83
"District Judge, 165th Judicial District",0911,227,79,306,570,53.68%,198,89,287
"District Judge, 165th Judicial District",0912,675,221,896,1235,72.55%,547,281,828
"District Judge, 165th Judicial District",0913,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0914,169,67,236,221,106.79%,181,41,222
"District Judge, 165th Judicial District",0915,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0916,504,182,786,1045,75.22%,643,104,747
"District Judge, 165th Judicial District",0917,280,137,417,481,86.69%,297,87,384
"District Judge, 165th Judicial District",0918,489,135,624,883,70.67%,488,93,581
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0919,0,3,3,3,100.00%,1,2,3
"District Judge, 165th Judicial District",0920,6,0,6,13,46.15%,6,0,6
"District Judge, 165th Judicial District",0921,71,9,80,87,91.95%,62,17,79
"District Judge, 165th Judicial District",0922,0,2,2,0,0.00%,1,1,2
"District Judge, 165th Judicial District",0923,663,87,750,826,90.80%,565,156,721
"District Judge, 165th Judicial District",0924,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0925,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0926,351,1,20,481,621,77.46%,360,96,456
"District Judge, 165th Judicial District",0927,84,74,158,262,60.31%,78,69,147
"District Judge, 165th Judicial District",0928,4,2,6,9,66.67%,0,6,6
"District Judge, 165th Judicial District",0929,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0930,200,77,277,567,48.85%,3,265,268
"District Judge, 165th Judicial District",0931,48,53,101,122,82.79%,52,34,86
"District Judge, 165th Judicial District",0932,0,5,5,0,0.00%,1,4,5
"District Judge, 165th Judicial District",0933,233,1,21,354,566,62.54%,94,245,339
"District Judge, 165th Judicial District",0934,12,1,13,41,31.71%,6,7,13
"District Judge, 165th Judicial District",0935,8,17,25,65,38.46%,11,12,23
"District Judge, 165th Judicial District",0936,12,10,22,70,31.43%,6,13,19
"District Judge, 165th Judicial District",0937,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0938,73,14,87,256,33.98%,28,55,83
"District Judge, 165th Judicial District",0939,1,0,1,1,100.00%,0,1,1
"District Judge, 165th Judicial District",0940,1,0,1,13,7.69%,0,1,1
"District Judge, 165th Judicial District",0941,13,9,22,25,88.00%,21,1,22
"District Judge, 165th Judicial District",0942,68,24,92,159,57.86%,73,12,85
"District Judge, 165th Judicial District",0943,296,63,359,536,66.98%,256,73,329
"District Judge, 165th Judicial District",0944,30,6,36,39,92.31%,30,3,33
"District Judge, 165th Judicial District",0945,4,7,11,16,68.75%,0,8,8
"District Judge, 165th Judicial District",0946,3,3,6,14,42.86%,0,4,4
"District Judge, 165th Judicial District",0947,320,292,612,822,74.45%,324,227,551
"District Judge, 165th Judicial District",0948,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0949,59,37,96,201,47.76%,44,47,91
"District Judge, 165th Judicial District",0950,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0951,79,44,123,218,56.42%,23,96,119
"District Judge, 165th Judicial District",0952,24,16,40,70,57.14%,20,16,36
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0953,59,52,111,420,26.43%,6,104,110
"District Judge, 165th Judicial District",0954,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0955,5,20,25,18,138.89%,15,9,24
"District Judge, 165th Judicial District",0956,5,2,7,12,58.33%,4,3,7
"District Judge, 165th Judicial District",0957,261,115,376,551,68.24%,58,306,364
"District Judge, 165th Judicial District",0958,289,266,555,989,56.12%,114,412,526
"District Judge, 165th Judicial District",0959,0,4,4,0,0.00%,0,4,4
"District Judge, 165th Judicial District",0960,362,143,505,586,86.18%,136,354,490
"District Judge, 165th Judicial District",0961,23,11,34,53,64.15%,7,27,34
"District Judge, 165th Judicial District",0962,24,13,37,73,50.68%,8,25,33
"District Judge, 165th Judicial District",0963,129,69,198,353,56.09%,104,78,182
"District Judge, 165th Judicial District",0964,945,447,1392,1571,88.61%,840,497,1337
"District Judge, 165th Judicial District",0965,93,27,120,355,33.80%,78,35,113
"District Judge, 165th Judicial District",0966,305,160,465,1073,43.34%,128,312,440
"District Judge, 165th Judicial District",0967,48,15,63,98,64.29%,27,35,62
"District Judge, 165th Judicial District",0968,243,83,326,517,63.06%,62,255,317
"District Judge, 165th Judicial District",0969,335,82,417,584,71.40%,3,401,404
"District Judge, 165th Judicial District",0970,212,76,288,704,40.91%,29,239,268
"District Judge, 165th Judicial District",0971,27,21,48,129,37.21%,1,47,48
"District Judge, 165th Judicial District",0972,10,7,17,29,58.62%,11,5,16
"District Judge, 165th Judicial District",0973,49,24,73,107,68.22%,42,27,69
"District Judge, 165th Judicial District",0974,100,71,171,299,57.19%,107,56,163
"District Judge, 165th Judicial District",0975,72,41,113,170,66.47%,52,49,101
"District Judge, 165th Judicial District",0976,159,131,290,684,42.40%,167,101,268
"District Judge, 165th Judicial District",0977,104,83,187,535,34.95%,67,108,175
"District Judge, 165th Judicial District",0978,201,102,303,506,59.88%,49,245,294
"District Judge, 165th Judicial District",0979,5,e,11,26,42.31%,11,0,11
"District Judge, 165th Judicial District",0980,595,356,951,1323,71.88%,691,202,893
"District Judge, 165th Judicial District",0981,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0982,534,218,752,1021,73.65%,586,128,714
"District Judge, 165th Judicial District",0983,41,28,69,165,41.82%,38,27,65
"District Judge, 165th Judicial District",0984,43,49,92,198,46.46%,6,82,88
