Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0135,1424,634,2058,2750,74.84%,1356,533,1889
"District Judge, 165th Judicial District",0136,981,451,1432,2111,67.84%,64,1310,1374
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0137,305,193,498,740,67.30%,258,193,451
"District Judge, 165th Judicial District",0138,661,259,920,1749,52.60%,21,862,883
"District Judge, 165th Judicial District",0139,1290,747,2037,2746,74.18%,1028,821,1849
"District Judge, 165th Judicial District",0140,1311,683,1994,3104,64.24%,291,1580,1871
"District Judge, 165th Judicial District",0141,181,143,324,872,37.16%,195,107,302
"District Judge, 165th Judicial District",0142,212,171,383,870,44.02%,83,275,358
"District Judge, 165th Judicial District",0143,2993,660,3653,4598,79.45%,2533,964,3497
"District Judge, 165th Judicial District",0144,476,204,680,1143,59.49%,11,650,661
"District Judge, 165th Judicial District",0145,663,245,908,1580,57.47%,14,874,888
"District Judge, 165th Judicial District",0146,759,614,1373,1953,70.30%,612,645,1257
"District Judge, 165th Judicial District",0147,1255,485,1740,2813,61.86%,200,1494,1694
"District Judge, 165th Judicial District",0148,908,924,1832,2467,74.26%,823,845,1668
"District Judge, 165th Judicial District",0149,2859,1322,4181,6103,68.51%,1847,2158,4005
"District Judge, 165th Judicial District",0150,539,207,746,1212,61.55%,16,708,724
"District Judge, 165th Judicial District",0151,316,148,464,846,54.85%,18,420,438
"District Judge, 165th Judicial District",0152,483,602,1085,2701,40.17%,223,804,1027
"District Judge, 165th Judicial District",0153,328,437,765,1755,43.59%,185,533,718
"District Judge, 165th Judicial District",0154,593,360,953,2133,44.68%,185,670,855
"District Judge, 165th Judicial District",0155,1957,834,2791,4087,68.29%,1876,760,2636
"District Judge, 165th Judicial District",0156,1427,457,1884,3134,60.11%,47,1758,1805
"District Judge, 165th Judicial District",0157,881,382,1263,2311,54.65%,43,1182,1225
"District Judge, 165th Judicial District",0158,1304,435,1739,3016,57.66%,29,1666,1695
"District Judge, 165th Judicial District",0159,313,187,500,976,51.23%,61,416,477
"District Judge, 165th Judicial District",0160,246,140,386,688,56.10%,11,360,371
"District Judge, 165th Judicial District",0161,395,190,585,1030,56.80%,6,558,564
