Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russ Ridgway,Totals
"Justice of the Peace, Precinct No. 5, Place 1",0490,876,439,1315,1944,67.64%,594,594
"Justice of the Peace, Precinct No. 5, Place 1",0491,667,489,1156,1782,64.87%,758,758
"Justice of the Peace, Precinct No. 5, Place 1",0492,1069,504,1573,2351,66.91%,956,956
"Justice of the Peace, Precinct No. 5, Place 1",0493,858,400,1258,1804,69.73%,886,886
"Justice of the Peace, Precinct No. 5, Place 1",0499,1301,517,1818,2304,78.91%,1402,1402
"Justice of the Peace, Precinct No. 5, Place 1",0503,359,273,632,1363,46.37%,254,254
"Justice of the Peace, Precinct No. 5, Place 1",0504,1129,538,1667,2197,75.88%,1208,1208
"Justice of the Peace, Precinct No. 5, Place 1",0507,582,385,967,2435,39.71%,252,252
"Justice of the Peace, Precinct No. 5, Place 1",0508,946,760,1706,3248,52.52%,752,752
"Justice of the Peace, Precinct No. 5, Place 1",0509,1340,864,2204,3536,62.33%,1674,1674
"Justice of the Peace, Precinct No. 5, Place 1",0510,1492,682,2174,3511,61.92%,1197,1197
"Justice of the Peace, Precinct No. 5, Place 1",0512,1558,1127,2685,4582,58.60%,1488,1488
"Justice of the Peace, Precinct No. 5, Place 1",0517,1208,653,1861,3320,56.05%,1135,1135
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russ Ridgway,Totals
"Justice of the Peace, Precinct No. 5, Place 1",0521,1011,694,1705,2725,62.57%,1021,1021
"Justice of the Peace, Precinct No. 5, Place 1",0522,1171,658,1829,2682,68.20%,1455,1455
"Justice of the Peace, Precinct No. 5, Place 1",0523,1338,689,2027,3060,66.24%,1450,1450
"Justice of the Peace, Precinct No. 5, Place 1",0524,1237,675,1912,3292,58.08%,771,771
"Justice of the Peace, Precinct No. 5, Place 1",0539,26,209,235,71,330.99%,87,87
"Justice of the Peace, Precinct No. 5, Place 1",0546,4,4,8,30,26.67%,4,4
"Justice of the Peace, Precinct No. 5, Place 1",0547,877,647,1524,2408,63.29%,1121,1121
"Justice of the Peace, Precinct No. 5, Place 1",0553,1465,951,2416,4355,55.48%,1310,1310
"Justice of the Peace, Precinct No. 5, Place 1",0556,584,421,1005,2249,44.69%,352,352
