Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM Mack Mclnnis,Totals
"District Judge, 351st Judicial District",0687,1084,641,1725,2497,69.08%,1164,443,1607
"District Judge, 351st Judicial District",0688,1815,673,2488,3266,76.18%,1971,381,2352
"District Judge, 351st Judicial District",0689,505,651,1156,2276,50.79%,521,537,1058
"District Judge, 351st Judicial District",0690,1955,1115,3081,4184,73.64%,2374,550,2924
"District Judge, 351st Judicial District",0691,10,2,12,34,35.29%,3,9,12
"District Judge, 351st Judicial District",0692,999,717,1716,2626,65.35%,1242,379,1621
"District Judge, 351st Judicial District",0693,303,116,419,651,64.36%,107,275,382
"District Judge, 351st Judicial District",0694,420,137,557,817,68.18%,372,154,526
"District Judge, 351st Judicial District",0695,454,320,774,1646,47.02%,468,262,730
"District Judge, 351st Judicial District",0696,600,373,973,2098,46.38%,587,335,922
"District Judge, 351st Judicial District",0697,1516,941,2457,4307,57.05%,558,1797,2355
"District Judge, 351st Judicial District",0698,1137,659,1796,2948,60.92%,182,1547,1729
"District Judge, 351st Judicial District",0699,1031,566,1597,2288,69.80%,1019,429,1448
"District Judge, 351st Judicial District",0700,531,287,818,1313,62.30%,637,139,776
"District Judge, 351st Judicial District",0701,142,115,257,554,46.39%,126,117,243
"District Judge, 351st Judicial District",0702,150,123,273,549,49.73%,30,229,259
"District Judge, 351st Judicial District",0703,742,616,1358,1845,73.60%,966,283,1249
"District Judge, 351st Judicial District",0704,1334,701,2035,2882,70.61%,1629,301,1930
"District Judge, 351st Judicial District",0705,358,238,596,1520,39.21%,57,517,574
"District Judge, 351st Judicial District",0706,222,135,357,529,67.49%,175,171,346
"District Judge, 351st Judicial District",0707,284,135,420,707,59.41%,245,145,390
"District Judge, 351st Judicial District",0708,109,95,204,568,35.92%,96,97,193
"District Judge, 351st Judicial District",0709,2996,1297,4293,6239,68.81%,2532,1575,4107
"District Judge, 351st Judicial District",0710,877,602,1479,2023,73.11%,863,484,1347
"District Judge, 351st Judicial District",0711,1492,701,2193,3351,65.44%,1293,744,2037
"District Judge, 351st Judicial District",0712,1200,858,2058,3348,61.47%,829,1163,1992
"District Judge, 351st Judicial District",0713,665,436,1101,1827,60.26%,567,478,1045
"District Judge, 351st Judicial District",0714,77,3,80,304,26.32%,51,22,73
"District Judge, 351st Judicial District",0715,405,326,731,1380,52.97%,356,327,683
"District Judge, 351st Judicial District",0716,977,522,1599,2670,59.89%,1101,417,1518
"District Judge, 351st Judicial District",0717,826,362,1188,1927,61.65%,154,984,1138
"District Judge, 351st Judicial District",0718,1844,1019,2863,4050,70.69%,1907,731,2638
"District Judge, 351st Judicial District",0719,508,260,768,1617,47.50%,411,301,712
"District Judge, 351st Judicial District",0720,1575,1044,2619,3903,67.10%,1881,626,2507
"District Judge, 351st Judicial District",0721,1334,637,1971,2842,69.35%,1314,519,1833
"District Judge, 351st Judicial District",0722,1892,542,2534,4357,58.16%,162,2270,2432
"District Judge, 351st Judicial District",0723,747,329,1076,1760,61.14%,228,796,1024
"District Judge, 351st Judicial District",0724,325,170,495,716,69.13%,336,133,469
"District Judge, 351st Judicial District",0725,953,329,1282,2124,60.36%,528,683,1211
"District Judge, 351st Judicial District",0726,1141,304,1445,1987,72.72%,1245,135,1380
"District Judge, 351st Judicial District",0727,931,466,1397,2488,56.15%,333,999,1332
"District Judge, 351st Judicial District",0728,343,208,551,881,62.54%,309,202,511
"District Judge, 351st Judicial District",0729,208,93,301,446,67.49%,176,109,285
"District Judge, 351st Judicial District",0730,800,437,1237,1630,75.89%,825,309,1134
"District Judge, 351st Judicial District",0731,121,36,157,373,42.09%,32,113,145
"District Judge, 351st Judicial District",0732,701,543,1244,1895,65.65%,734,420,1154
"District Judge, 351st Judicial District",0733,25,62,87,172,50.58%,29,51,80
"District Judge, 351st Judicial District",0734,3209,1114,4323,5952,72.63%,2903,1244,4147
"District Judge, 351st Judicial District",0735,9,0,9,23,39.13%,9,0,9
"District Judge, 351st Judicial District",0736,6,1,7,21,33.33%,1,5,6
"District Judge, 351st Judicial District",0737,25,5,30,53,56.60%,25,5,30
"District Judge, 351st Judicial District",0738,470,219,689,1294,53.25%,85,580,665
"District Judge, 351st Judicial District",0739,1005,490,1495,2872,52.05%,647,781,1428
"District Judge, 351st Judicial District",0740,233,205,438,935,46.84%,229,188,417
"District Judge, 351st Judicial District",0741,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0742,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0743,27,4,31,199,15.58%,14,15,29
"District Judge, 351st Judicial District",0744,848,509,1357,2024,67.05%,881,391,1272
"District Judge, 351st Judicial District",0745,1066,542,1608,2396,67.11%,1025,474,1499
"District Judge, 351st Judicial District",0746,230,151,381,707,53.89%,180,166,346
"District Judge, 351st Judicial District",0747,1200,873,2073,3490,59.40%,966,1027,1993
"District Judge, 351st Judicial District",0748,420,307,727,1319,55.12%,318,359,677
"District Judge, 351st Judicial District",0749,99,57,156,359,43.45%,29,112,141
"District Judge, 351st Judicial District",0750,264,147,411,720,57.08%,228,159,387
"District Judge, 351st Judicial District",0751,1664,1254,2918,4451,65.56%,1918,849,2767
"District Judge, 351st Judicial District",0752,571,277,848,1511,56.12%,591,207,798
"District Judge, 351st Judicial District",0753,106,61,167,260,64.23%,114,50,164
"District Judge, 351st Judicial District",0754,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0755,1048,896,1944,3569,54.47%,723,1111,1834
"District Judge, 351st Judicial District",0756,582,300,882,1539,57.31%,298,538,836
"District Judge, 351st Judicial District",0757,1416,690,2106,3498,60.21%,337,1701,2038
"District Judge, 351st Judicial District",0758,1996,783,2779,3781,73.50%,2185,411,2596
"District Judge, 351st Judicial District",0759,1109,590,1699,2625,64.72%,1013,577,1590
"District Judge, 351st Judicial District",0760,2346,647,2993,4154,72.05%,2470,352,2822
"District Judge, 351st Judicial District",0761,917,219,1136,1464,77.60%,825,230,1055
"District Judge, 351st Judicial District",0762,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0763,255,308,563,1184,47.55%,192,336,528
"District Judge, 351st Judicial District",0764,2270,1050,3320,4931,67.33%,2064,1100,3164
"District Judge, 351st Judicial District",0765,1390,815,2205,3967,55.58%,778,1320,2098
"District Judge, 351st Judicial District",0766,71,92,163,383,42.56%,38,104,142
"District Judge, 351st Judicial District",0767,20,15,35,90,38.89%,24,8,32
"District Judge, 351st Judicial District",0768,2854,1159,4013,5364,74.81%,3130,710,3840
"District Judge, 351st Judicial District",0769,117,5,122,161,75.78%,6,111,117
"District Judge, 351st Judicial District",0770,58,48,106,262,40.46%,46,54,100
"District Judge, 351st Judicial District",0771,701,537,1238,2378,52.06%,617,548,1165
"District Judge, 351st Judicial District",0772,2927,1002,3929,5617,69.95%,2920,816,3736
"District Judge, 351st Judicial District",0773,892,550,1442,2648,54.46%,350,1012,1362
"District Judge, 351st Judicial District",0774,116,74,190,301,63.12%,41,143,184
"District Judge, 351st Judicial District",0775,33,1,34,83,40.96%,0,33,33
"District Judge, 351st Judicial District",0776,1113,741,1854,2855,64.94%,1064,699,1763
"District Judge, 351st Judicial District",0777,83,123,206,642,32.09%,53,145,198
"District Judge, 351st Judicial District",0778,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0779,295,221,516,1146,45.03%,162,317,479
"District Judge, 351st Judicial District",0780,136,114,250,579,43.18%,107,127,234
"District Judge, 351st Judicial District",0781,1152,655,1807,3716,48.63%,668,959,1627
"District Judge, 351st Judicial District",0782,851,532,1383,2188,63.21%,826,468,1294
"District Judge, 351st Judicial District",0783,103,43,146,265,55.09%,78,57,135
"District Judge, 351st Judicial District",0784,428,156,584,1071,54.53%,11,553,564
"District Judge, 351st Judicial District",0785,66,55,121,310,39.03%,65,54,119
"District Judge, 351st Judicial District",0786,193,277,470,1297,36.24%,144,302,446
"District Judge, 351st Judicial District",0787,154,76,230,487,47.23%,74,138,212
"District Judge, 351st Judicial District",0788,156,58,214,481,44.49%,69,132,201
"District Judge, 351st Judicial District",0789,3,1,4,4,100.00%,1,2,3
"District Judge, 351st Judicial District",0790,1,0,1,4,25.00%,0,1,1
"District Judge, 351st Judicial District",0791,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0792,549,409,958,1834,52.24%,222,683,905
"District Judge, 351st Judicial District",0793,889,338,1227,2437,50.35%,691,478,1169
"District Judge, 351st Judicial District",0794,575,484,1059,2602,40.70%,78,940,1018
"District Judge, 351st Judicial District",0795,265,255,520,1207,43.08%,151,317,468
"District Judge, 351st Judicial District",0796,145,92,237,485,48.87%,117,105,222
"District Judge, 351st Judicial District",0797,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0798,176,263,439,496,88.51%,130,266,396
"District Judge, 351st Judicial District",0799,65,12,77,146,52.74%,16,58,74
"District Judge, 351st Judicial District",0800,1188,795,1983,2817,70.39%,1311,552,1863
"District Judge, 351st Judicial District",0801,68,55,123,253,48.62%,41,75,116
"District Judge, 351st Judicial District",0802,98,58,156,299,52.17%,35,108,143
"District Judge, 351st Judicial District",0803,1305,530,1935,2718,71.19%,1416,420,1836
"District Judge, 351st Judicial District",0804,1806,960,2766,4348,63.62%,1641,970,2611
"District Judge, 351st Judicial District",0805,1509,529,2038,2812,72.48%,1602,319,1921
"District Judge, 351st Judicial District",0806,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0807,652,402,1054,2001,52.67%,158,844,1002
"District Judge, 351st Judicial District",0808,41,26,67,84,79.76%,29,29,58
"District Judge, 351st Judicial District",0809,216,27,86,31.40%,8,16,24
"District Judge, 351st Judicial District",0810,30,48,78,215,36.28%,18,53,71
"District Judge, 351st Judicial District",0811,39,106,145,271,53.51%,30,104,134
"District Judge, 351st Judicial District",0812,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0813,1967,1258,3225,5423,59.47%,1522,1576,3098
"District Judge, 351st Judicial District",0814,1772,955,2727,4503,60.56%,606,1996,2602
"District Judge, 351st Judicial District",0815,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0816,20,13,33,76,43.42%,6,26,32
"District Judge, 351st Judicial District",0817,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0818,134,101,235,527,44.59%,46,180,226
"District Judge, 351st Judicial District",0819,97,45,142,238,59.66%,90,33,123
"District Judge, 351st Judicial District",0820,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0821,354,203,557,1206,46.19%,44,487,531
"District Judge, 351st Judicial District",0822,584,282,866,1544,56.09%,26,811,837
"District Judge, 351st Judicial District",0823,1849,1015,2864,4710,60.81%,1475,1237,2712
"District Judge, 351st Judicial District",0824,984,471,1455,2729,53.32%,327,1072,1399
"District Judge, 351st Judicial District",0825,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0826,153,89,242,342,70.76%,133,89,222
"District Judge, 351st Judicial District",0827,169,186,355,997,35.61%,135,201,336
"District Judge, 351st Judicial District",0828,1074,343,1417,1875,75.57%,1138,201,1339
"District Judge, 351st Judicial District",0829,107,56,163,266,61.28%,35,124,159
"District Judge, 351st Judicial District",0830,0,0,0,1,0.00%,0,0,0
"District Judge, 351st Judicial District",0831,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0832,109,46,155,351,44.16%,44,101,145
"District Judge, 351st Judicial District",0833,8,1,9,20,45.00%,0,9,9
"District Judge, 351st Judicial District",0834,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0835,87,53,140,292,47.95%,39,94,133
"District Judge, 351st Judicial District",0836,8,3,11,19,57.89%,1,8,9
"District Judge, 351st Judicial District",0837,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0838,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0839,353,240,593,1122,52.85%,113,441,554
"District Judge, 351st Judicial District",0840,712,251,963,1621,59.41%,319,604,923
"District Judge, 351st Judicial District",0841,0,2,2,0,0.00%,0,2,2
"District Judge, 351st Judicial District",0842,987,715,1702,3091,55.06%,741,873,1614
"District Judge, 351st Judicial District",0843,0,2,2,0,0.00%,0,2,2
"District Judge, 351st Judicial District",0844,2,4,6,1,3,46.1,5%,1,4,5
"District Judge, 351st Judicial District",0845,85,10,95,100,95.00%,56,32,88
"District Judge, 351st Judicial District",0846,70,29,99,210,47.14%,6,90,96
"District Judge, 351st Judicial District",0847,795,321,1116,1804,61.86%,299,765,1064
"District Judge, 351st Judicial District",0848,782,431,1213,1873,64.76%,376,776,1152
"District Judge, 351st Judicial District",0849,553,514,1067,2073,51.47%,339,652,991
"District Judge, 351st Judicial District",0850,87,38,125,205,60.98%,53,67,120
"District Judge, 351st Judicial District",0851,2192,816,3008,4317,69.68%,1933,915,2848
"District Judge, 351st Judicial District",0852,0,4,4,2,200.00%,0,4,4
"District Judge, 351st Judicial District",0853,1412,605,2017,2773,72.74%,1525,375,1900
"District Judge, 351st Judicial District",0854,41,30,71,175,40.57%,5,64,69
"District Judge, 351st Judicial District",0855,4,13,17,18,94.44%,9,8,17
"District Judge, 351st Judicial District",0856,0,4,4,0,0.00%,1,2,3
"District Judge, 351st Judicial District",0857,0,0,0,1,0.00%,0,0,0
"District Judge, 351st Judicial District",0858,132,18,150,372,40.32%,4,141,145
"District Judge, 351st Judicial District",0859,309,201,510,860,59.30%,104,393,497
"District Judge, 351st Judicial District",0860,0,1,1,0,0.00%,1,0,1
"District Judge, 351st Judicial District",0861,705,319,1024,1786,57.33%,176,816,992
"District Judge, 351st Judicial District",0862,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0863,210,69,279,620,45.00%,11,260,271
"District Judge, 351st Judicial District",0864,497,609,1106,2464,44.89%,267,779,1046
"District Judge, 351st Judicial District",0865,9,2,11,23,47.83%,1,10,11
"District Judge, 351st Judicial District",0866,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0867,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0868,573,586,1159,2292,50.57%,350,746,1096
"District Judge, 351st Judicial District",0869,153,76,229,473,48.41%,36,184,220
"District Judge, 351st Judicial District",0870,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0871,3,0,3,4,75.00%,0,3,3
"District Judge, 351st Judicial District",0872,13,5,18,66,27.27%,8,8,16
"District Judge, 351st Judicial District",0873,253,125,378,701,53.92%,92,277,369
"District Judge, 351st Judicial District",0874,1534,748,2282,3107,73.45%,1723,439,2162
"District Judge, 351st Judicial District",0875,1719,927,2646,4031,65.64%,1245,1283,2528
"District Judge, 351st Judicial District",0876,1629,639,2268,3013,75.27%,1625,540,2165
"District Judge, 351st Judicial District",0877,1030,542,1672,2480,67.42%,693,914,1607
"District Judge, 351st Judicial District",0878,853,350,1203,1641,73.31%,1000,144,1144
"District Judge, 351st Judicial District",0879,890,527,1417,2334,60.71%,663,693,1356
"District Judge, 351st Judicial District",0880,1068,472,1540,2007,76.73%,1158,298,1456
"District Judge, 351st Judicial District",0881,1510,877,2387,3619,65.96%,754,1544,2298
"District Judge, 351st Judicial District",0882,940,457,1397,2328,60.01%,773,558,1331
"District Judge, 351st Judicial District",0883,1918,1042,2960,4651,63.64%,524,2334,2858
"District Judge, 351st Judicial District",0884,118,37,155,330,46.97%,22,126,148
"District Judge, 351st Judicial District",0885,1222,541,1763,2466,71.49%,1039,636,1675
"District Judge, 351st Judicial District",0886,301,154,455,713,63.81%,242,166,408
"District Judge, 351st Judicial District",0887,138,83,221,313,70.61%,119,72,191
"District Judge, 351st Judicial District",0888,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0889,22,0,22,61,36.07%,14,8,22
"District Judge, 351st Judicial District",0890,319,118,437,994,43.96%,170,238,408
"District Judge, 351st Judicial District",0891,539,392,931,1413,65.89%,383,478,861
"District Judge, 351st Judicial District",0892,193,130,323,696,46.41%,97,198,295
"District Judge, 351st Judicial District",0893,1,0,1,5,20.00%,0,1,1
"District Judge, 351st Judicial District",0894,0,31,31,0,0.00%,7,21,28
"District Judge, 351st Judicial District",0895,335,325,660,784,84.18%,323,265,588
"District Judge, 351st Judicial District",0896,670,303,973,1437,67.71%,405,476,881
"District Judge, 351st Judicial District",0897,742,375,1117,1624,68.78%,607,451,1058
"District Judge, 351st Judicial District",0898,0,0,0,2,0.00%,0,0,0
"District Judge, 351st Judicial District",0899,4,0,4,8,50.00%,1,3,4
"District Judge, 351st Judicial District",0900,5,0,5,12,41.67%,1,3,4
"District Judge, 351st Judicial District",0901,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0902,865,621,1486,2065,71.96%,864,494,1358
"District Judge, 351st Judicial District",0903,10,1,11,41,26.83%,7,3,10
"District Judge, 351st Judicial District",0904,0,1,1,1,100.00%,0,1,1
"District Judge, 351st Judicial District",0905,290,168,458,908,50.44%,177,237,414
"District Judge, 351st Judicial District",0906,12,6,18,26,69.23%,9,8,17
"District Judge, 351st Judicial District",0907,60,43,103,134,76.87%,20,81,101
"District Judge, 351st Judicial District",0908,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0909,5,7,12,19,63.16%,4,6,10
"District Judge, 351st Judicial District",0910,55,34,89,226,39.38%,33,48,81
"District Judge, 351st Judicial District",0911,227,79,306,570,53.68%,199,86,285
"District Judge, 351st Judicial District",0912,675,221,896,1235,72.55%,540,288,828
"District Judge, 351st Judicial District",0913,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0914,169,67,236,221,106.79%,182,38,220
"District Judge, 351st Judicial District",0915,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0916,604,182,786,1045,75.22%,639,109,748
"District Judge, 351st Judicial District",0917,280,137,417,481,86.69%,294,86,380
"District Judge, 351st Judicial District",0918,489,135,624,883,70.67%,488,94,582
"District Judge, 351st Judicial District",0919,0,3,3,3,100.00%,1,2,3
"District Judge, 351st Judicial District",0920,6,0,6,13,46.15%,5,1,6
"District Judge, 351st Judicial District",0921,71,9,80,87,91.95%,63,16,79
"District Judge, 351st Judicial District",0922,0,2,2,0,0.00%,1,1,2
"District Judge, 351st Judicial District",0923,663,87,750,826,90.80%,566,153,719
"District Judge, 351st Judicial District",0924,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0925,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0926,351,1,20,481,621,77.46%,357,97,454
"District Judge, 351st Judicial District",0927,84,74,158,262,60.31%,81,67,148
"District Judge, 351st Judicial District",0928,4,2,6,9,66.67%,0,6,6
"District Judge, 351st Judicial District",0929,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0930,200,77,277,567,48.85%,5,265,270
"District Judge, 351st Judicial District",0931,48,53,101,122,82.79%,52,34,86
"District Judge, 351st Judicial District",0932,0,5,5,0,0.00%,1,4,5
"District Judge, 351st Judicial District",0933,233,1,21,354,566,62.54%,93,243,336
"District Judge, 351st Judicial District",0934,12,1,13,41,31.71%,6,7,13
"District Judge, 351st Judicial District",0935,8,17,25,65,38.46%,13,10,23
"District Judge, 351st Judicial District",0936,12,10,22,70,31.43%,7,12,19
"District Judge, 351st Judicial District",0937,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0938,73,14,87,256,33.98%,31,53,84
"District Judge, 351st Judicial District",0939,1,0,1,1,100.00%,0,1,1
"District Judge, 351st Judicial District",0940,1,0,1,13,7.69%,0,1,1
"District Judge, 351st Judicial District",0941,13,9,22,25,88.00%,20,2,22
"District Judge, 351st Judicial District",0942,68,24,92,159,57.86%,72,13,85
"District Judge, 351st Judicial District",0943,296,63,359,536,66.98%,250,73,323
"District Judge, 351st Judicial District",0944,30,6,36,39,92.31%,30,3,33
"District Judge, 351st Judicial District",0945,4,7,11,16,68.75%,0,8,8
"District Judge, 351st Judicial District",0946,3,3,6,14,42.86%,0,4,4
"District Judge, 351st Judicial District",0947,320,292,612,822,74.45%,323,221,544
"District Judge, 351st Judicial District",0948,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0949,59,37,96,201,47.76%,43,48,91
"District Judge, 351st Judicial District",0950,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0951,79,44,123,218,56.42%,26,94,120
"District Judge, 351st Judicial District",0952,24,16,40,70,57.14%,21,16,37
"District Judge, 351st Judicial District",0953,59,52,111,420,26.43%,8,102,110
"District Judge, 351st Judicial District",0954,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0955,5,20,25,18,138.89%,14,9,23
"District Judge, 351st Judicial District",0956,5,2,7,12,58.33%,5,2,7
"District Judge, 351st Judicial District",0957,261,115,376,551,68.24%,59,301,360
"District Judge, 351st Judicial District",0958,289,266,555,989,56.12%,120,405,525
"District Judge, 351st Judicial District",0959,0,4,4,0,0.00%,0,4,4
"District Judge, 351st Judicial District",0960,362,143,505,586,86.18%,137,352,489
"District Judge, 351st Judicial District",0961,23,11,34,53,64.15%,8,26,34
"District Judge, 351st Judicial District",0962,24,13,37,73,50.68%,9,25,34
"District Judge, 351st Judicial District",0963,129,69,198,353,56.09%,107,77,184
"District Judge, 351st Judicial District",0964,945,447,1392,1571,88.61%,833,497,1330
"District Judge, 351st Judicial District",0965,93,27,120,355,33.80%,75,37,112
"District Judge, 351st Judicial District",0966,305,160,465,1073,43.34%,128,310,438
"District Judge, 351st Judicial District",0967,48,15,63,98,64.29%,26,35,61
"District Judge, 351st Judicial District",0968,243,83,326,517,63.06%,65,253,318
"District Judge, 351st Judicial District",0969,335,82,417,584,71.40%,2,402,404
"District Judge, 351st Judicial District",0970,212,76,288,704,40.91%,28,240,268
"District Judge, 351st Judicial District",0971,27,21,48,129,37.21%,1,47,48
"District Judge, 351st Judicial District",0972,10,7,17,29,58.62%,11,5,16
"District Judge, 351st Judicial District",0973,49,24,73,107,68.22%,40,28,68
"District Judge, 351st Judicial District",0974,100,71,171,299,57.19%,106,56,162
"District Judge, 351st Judicial District",0975,72,41,113,170,66.47%,54,48,102
"District Judge, 351st Judicial District",0976,159,131,290,684,42.40%,165,105,270
"District Judge, 351st Judicial District",0977,104,83,187,535,34.95%,69,108,177
"District Judge, 351st Judicial District",0978,201,102,303,506,59.88%,51,239,290
"District Judge, 351st Judicial District",0979,56,11,26,42.31%,11,0,11
"District Judge, 351st Judicial District",0980,595,356,951,1323,71.88%,688,205,893
"District Judge, 351st Judicial District",0981,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0982,534,218,752,1021,73.65%,583,128,711
"District Judge, 351st Judicial District",0983,41,28,69,165,41.82%,38,27,65
"District Judge, 351st Judicial District",0984,43,49,92,198,46.46%,6,82,88
"District Judge, 351st Judicial District",0985,172,67,239,336,71.13%,131,94,225
"District Judge, 351st Judicial District",0986,129,86,215,404,53.22%,20,182,202
"District Judge, 351st Judicial District",0987,465,191,656,1138,57.64%,50,584,634
"District Judge, 351st Judicial District",0988,44,21,65,111,58.56%,51,10,61
"District Judge, 351st Judicial District",0989,18,8,26,36,72.22%,11,14,25
"District Judge, 351st Judicial District",0990,37,15,52,154,33.77%,17,29,46
"District Judge, 351st Judicial District",0991,0,0,0,1,0.00%,0,0,0
"District Judge, 351st Judicial District",0992,309,202,511,1015,50.34%,287,200,487
"District Judge, 351st Judicial District",0993,272,91,363,551,65.88%,286,53,339
"District Judge, 351st Judicial District",0994,6,5,11,8,137.50%,2,8,10
"District Judge, 351st Judicial District",0995,596,190,786,1269,61.94%,31,722,753
"District Judge, 351st Judicial District",0996,297,125,422,699,60.37%,238,157,395
"District Judge, 351st Judicial District",0997,429,328,757,1439,52.61%,127,603,730
"District Judge, 351st Judicial District",0998,15,9,24,35,68.57%,16,7,23
"District Judge, 351st Judicial District",0999,30,16,46,65,70.77%,36,7,43
"District Judge, 351st Judicial District",1000,105,0,105,458,22.93%,17,81,98
"District Judge, 351st Judicial District",1001,496,294,790,1566,50.45%,157,586,743
"District Judge, 351st Judicial District",1002,464,314,778,1738,44.76%,89,653,742
"District Judge, 351st Judicial District",1003,0,0,0,1,0.00%,0,0,0
"District Judge, 351st Judicial District",1004,224,153,377,656,57.47%,190,135,325
"District Judge, 351st Judicial District",1005,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",1006,3,0,3,5,60.00%,3,0,3
"District Judge, 351st Judicial District",1007,555,295,850,1371,62.00%,206,614,820
"District Judge, 351st Judicial District",1008,86,21,107,150,71.33%,83,18,101
"District Judge, 351st Judicial District",1009,3,1,4,8,50.00%,2,1,3
"District Judge, 351st Judicial District",1010,124,74,198,317,62.46%,30,161,191
"District Judge, 351st Judicial District",1011,12,3,15,29,51.72%,5,7,12
"District Judge, 351st Judicial District",1012,395,318,713,1235,57.73%,190,492,682
"District Judge, 351st Judicial District",1013,8,14,22,60,36.67%,16,6,22
"District Judge, 351st Judicial District",1014,9,7,16,36,44.44%,3,13,16
"District Judge, 351st Judicial District",1015,11,7,18,29,62.07%,4,13,17
"District Judge, 351st Judicial District",1016,591,364,955,1626,58.73%,425,483,908
"District Judge, 351st Judicial District",1017,127,50,177,232,76.29%,50,120,170
"District Judge, 351st Judicial District",1018,209,92,301,468,64.32%,143,148,291
"District Judge, 351st Judicial District",1019,426,4,430,1518,28.33%,17,394,411
"District Judge, 351st Judicial District",1020,0,0,0,1,0.00%,0,0,0
"District Judge, 351st Judicial District",1021,1,0,1,2,50.00%,0,1,1
"District Judge, 351st Judicial District",1022,190,30,220,426,51.64%,172,36,208
"District Judge, 351st Judicial District",1023,894,401,1295,1964,65.94%,837,384,1221
"District Judge, 351st Judicial District",1024,113,77,190,259,73.36%,105,68,173
"District Judge, 351st Judicial District",1025,4,0,4,18,22.22%,1,3,4
"District Judge, 351st Judicial District",1026,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",1027,0,1,1,1,100.00%,0,0,0
"District Judge, 351st Judicial District",1028,0,1,1,0,0.00%,1,0,1
"District Judge, 351st Judicial District",1029,1021,641,1662,1802,92.23%,1279,284,1563
"District Judge, 351st Judicial District",1030,397,105,502,655,76.64%,434,49,483
"District Judge, 351st Judicial District",1031,3,3,6,6,100.00%,5,1,6
"District Judge, 351st Judicial District",1032,59,80,139,241,57.68%,101,32,133
"District Judge, 351st Judicial District",1033,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",1034,0,0,0,1,0.00%,0,0,0
"District Judge, 351st Judicial District",1035,24,13,37,139,26.62%,3,33,36
"District Judge, 351st Judicial District",1036,144,46,190,433,43.88%,144,36,180
"District Judge, 351st Judicial District",1037,27,16,43,73,58.90%,22,14,36
"District Judge, 351st Judicial District",1038,133,43,176,266,66.17%,10,162,172
"District Judge, 351st Judicial District",1039,3,5,8,20,40.00%,2,6,8
"District Judge, 351st Judicial District",1040,192,146,338,607,55.68%,182,134,316
"District Judge, 351st Judicial District",1041,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",1042,227,50,277,498,55.62%,84,188,272
"District Judge, 351st Judicial District",1043,12,2,14,31,45.16%,3,11,14
"District Judge, 351st Judicial District",1044,29,5,34,59,57.63%,8,25,33
"District Judge, 351st Judicial District",1045,611,321,932,1439,64.77%,128,772,900
"District Judge, 351st Judicial District",1046,19,18,37,54,68.52%,4,32,36
"District Judge, 351st Judicial District",1047,553,288,851,1242,68.52%,259,557,816
"District Judge, 351st Judicial District",1048,3,1,4,18,22.22%,2,2,4
"District Judge, 351st Judicial District",1049,57,71,128,266,48.12%,41,80,121
"District Judge, 351st Judicial District",1050,148,153,301,506,59.49%,64,223,287
