Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM Mack Mclnnis,Totals
"District Judge, 351st Judicial District",0188,281,311,592,1018,58.27%,198,348,548
"District Judge, 351st Judicial District",0187,5,2,7,23,30.43%,0,7,7
"District Judge, 351st Judicial District",0188,188,128,314,519,80.50%,7,295,302
"District Judge, 351st Judicial District",0189,1059,433,1492,2531,58.95%,20,1433,1453
"District Judge, 351st Judicial District",0170,481,353,834,1887,44.20%,401,371,772
"District Judge, 351st Judicial District",0171,514,294,808,1813,50.09%,27,744,771
"District Judge, 351st Judicial District",0172,181,147,308,800,51.33%,94,184,278
"District Judge, 351st Judicial District",0173,1798,819,2417,3105,77.84%,1837,458,2293
"District Judge, 351st Judicial District",0174,1554,787,2321,3159,73.47%,1582,581,2143
"District Judge, 351st Judicial District",0175,1084,887,1931,2508,77.08%,1028,707,1733
"District Judge, 351st Judicial District",0178,828,530,1158,1581,73.12%,833,401,1034
"District Judge, 351st Judicial District",0177,872,385,1057,1478,71.52%,843,337,980
"District Judge, 351st Judicial District",0178,913,388,1281,1718,74.58%,883,308,1189
"District Judge, 351st Judicial District",0179,449,321,770,1508,51.08%,350,382,712
"District Judge, 351st Judicial District",0180,966,552,1518,2795,54.31%,38,1413,1449
"District Judge, 351st Judicial District",0181,418,514,930,1988,47.28%,258,808,888
"District Judge, 351st Judicial District",0182,1321,1081,2402,3289,73.03%,1470,878,2148
"District Judge, 351st Judicial District",0183,970,943,1913,2451,78.05%,1290,445,1735
"District Judge, 351st Judicial District",0184,214,258,470,989,48.50%,133,299,432
"District Judge, 351st Judicial District",0185,592,494,1088,1910,58.88%,347,887,1014
"District Judge, 351st Judicial District",0188,204,170,374,795,47.04%,43,303,348
"District Judge, 351st Judicial District",0187,48,85,113,309,38.57%,28,80,108
"District Judge, 351st Judicial District",0188,307,378,885,1818,42.39%,242,408,850
"District Judge, 351st Judicial District",0189,492,473,985,1453,88.41%,521,354,875
"District Judge, 351st Judicial District",0190,275,401,878,1720,39.30%,227,405,832
"District Judge, 351st Judicial District",0191,195,313,509,1391,38.59%,177,307,484
"District Judge, 351st Judicial District",0192,748,332,1078,2045,52.71%,40,1000,1040
"District Judge, 351st Judicial District",0193,341,289,810,1050,58.10%,12,574,588
"District Judge, 351st Judicial District",0194,704,504,1208,1735,89.83%,380,738,1118
"District Judge, 351st Judicial District",0195,539,419,958,1721,55.87%,35,888,923
"District Judge, 351st Judicial District",0198,121,55,178,323,54.49%,9,158,187
"District Judge, 351st Judicial District",0197,1109,497,1808,2895,55.47%,35,1519,1554
"District Judge, 351st Judicial District",0198,143,158,301,857,45.81%,8,278,288
"District Judge, 351st Judicial District",0199,1407,773,2180,3159,89.01%,1832,429,2081
"District Judge, 351st Judicial District",0200,1838,585,2223,3222,88.99%,1050,980,2010
"District Judge, 351st Judicial District",0201,229,125,354,728,48.83%,9,334,343
"District Judge, 351st Judicial District",0202,488,332,820,1479,55.44%,17,788,785
"District Judge, 351st Judicial District",0203,288,158,422,900,48.89%,83,311,394
"District Judge, 351st Judicial District",0204,1489,914,2403,3482,89.41%,1372,848,2218
"District Judge, 351st Judicial District",0205,856,201,1057,1667,63.41%,23,1003,1026
"District Judge, 351st Judicial District",0206,651,659,1310,2662,49.21%,403,813,1216
"District Judge, 351st Judicial District",0207,409,310,719,1144,62.85%,259,392,651
"District Judge, 351st Judicial District",0208,806,364,1170,2201,53.16%,297,796,1093
"District Judge, 351st Judicial District",0209,0,4,4,0,0.00%,4,0,4
"District Judge, 351st Judicial District",0210,1013,542,1555,2300,67.61%,172,1295,1467
"District Judge, 351st Judicial District",0211,710,686,1396,2797,49.91%,485,798,1283
"District Judge, 351st Judicial District",0212,218,314,532,1266,42.02%,99,406,505
"District Judge, 351st Judicial District",0213,1603,939,2542,3308,76.84%,1974,386,2360
"District Judge, 351st Judicial District",0214,798,544,1342,1795,74.76%,850,365,1215
"District Judge, 351st Judicial District",0215,844,786,1630,2168,75.18%,1017,470,1487
"District Judge, 351st Judicial District",0216,784,320,1104,1917,57.59%,75,984,1059
"District Judge, 351st Judicial District",0217,1396,651,2047,2637,77.63%,1372,489,1861
"District Judge, 351st Judicial District",0218,690,608,1298,2274,57.08%,400,782,1182
"District Judge, 351st Judicial District",0219,1117,587,1704,2654,64.20%,133,1473,1606
"District Judge, 351st Judicial District",0220,711,353,1064,2360,45.08%,711,289,1000
"District Judge, 351st Judicial District",0221,699,611,1310,2489,52.63%,540,662,1202
"District Judge, 351st Judicial District",0222,1000,792,1792,2384,75.17%,914,683,1597
"District Judge, 351st Judicial District",0223,1350,760,2110,3528,59.81%,614,1304,1918
"District Judge, 351st Judicial District",0224,894,649,1543,2259,68.30%,744,661,1405
"District Judge, 351st Judicial District",0225,1109,720,1829,3155,57.97%,773,964,1737
"District Judge, 351st Judicial District",0226,529,545,1074,2393,44.88%,219,753,972
"District Judge, 351st Judicial District",0227,947,451,1398,1767,79.12%,1067,214,1281
"District Judge, 351st Judicial District",0228,583,165,748,1073,69.71%,38,687,725
"District Judge, 351st Judicial District",0229,152,207,359,811,44.27%,101,236,337
"District Judge, 351st Judicial District",0230,421,153,574,1096,52.37%,10,538,548
"District Judge, 351st Judicial District",0231,562,471,1033,2219,46.55%,257,718,975
"District Judge, 351st Judicial District",0232,685,546,1231,1696,72.58%,732,390,1122
"District Judge, 351st Judicial District",0233,1826,1063,2889,4132,69.92%,1491,1148,2639
"District Judge, 351st Judicial District",0234,2088,885,2973,3854,77.14%,2270,487,2757
"District Judge, 351st Judicial District",0235,466,242,708,1305,54.25%,22,667,689
"District Judge, 351st Judicial District",0236,779,342,1121,2144,52.29%,26,1043,1069
"District Judge, 351st Judicial District",0237,793,441,1234,2181,56.58%,20,1183,1203
"District Judge, 351st Judicial District",0238,640,422,1062,1901,55.87%,17,1005,1022
"District Judge, 351st Judicial District",0239,765,357,1122,1997,56.18%,31,1054,1085
"District Judge, 351st Judicial District",0240,1157,402,1559,2688,58.00%,23,1481,1504
"District Judge, 351st Judicial District",0241,494,479,973,2296,42.38%,381,539,920
"District Judge, 351st Judicial District",0242,363,323,686,1570,43.69%,351,301,652
"District Judge, 351st Judicial District",0243,254,50,304,452,67.26%,4,292,296
"District Judge, 351st Judicial District",0244,1100,656,1756,2912,60.30%,910,763,1673
"District Judge, 351st Judicial District",0245,2340,1115,3455,5240,65.94%,2283,1020,3303
"District Judge, 351st Judicial District",0246,1584,624,2208,2999,73.62%,1466,633,2099
"District Judge, 351st Judicial District",0247,421,403,824,1607,51.28%,14,788,802
"District Judge, 351st Judicial District",0248,408,405,813,2122,38.31%,191,577,768
