Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM R. K. Sandill,Totals
"District Judge, 127th Judicial District",0142,212,171,383,870,44.02%,100,256,356
"District Judge, 127th Judicial District",0143,2993,660,3653,4598,79.45%,2523,977,3500
"District Judge, 127th Judicial District",0144,476,204,680,1143,59.49%,9,649,658
"District Judge, 127th Judicial District",0145,663,245,908,1580,57.47%,14,874,888
"District Judge, 127th Judicial District",0146,759,614,1373,1953,70.30%,587,683,1270
"District Judge, 127th Judicial District",0147,1255,485,1740,2813,61.86%,203,1493,1696
"District Judge, 127th Judicial District",0148,908,924,1832,2467,74.26%,702,978,1680
"District Judge, 127th Judicial District",0149,2859,1322,4181,6103,68.51%,1849,2150,3999
"District Judge, 127th Judicial District",0150,539,207,746,1212,61.55%,17,710,727
"District Judge, 127th Judicial District",0151,316,148,464,846,54.85%,19,419,438
"District Judge, 127th Judicial District",0152,483,602,1085,2701,40.17%,235,791,1026
"District Judge, 127th Judicial District",0153,328,437,765,1755,43.59%,192,516,708
"District Judge, 127th Judicial District",0154,593,360,953,2133,44.68%,210,640,850
"District Judge, 127th Judicial District",0155,1957,834,2791,4087,68.29%,1843,804,2647
"District Judge, 127th Judicial District",0156,1427,457,1884,3134,60.11%,52,1751,1803
"District Judge, 127th Judicial District",0157,881,382,1263,2311,54.65%,40,1186,1226
"District Judge, 127th Judicial District",0158,1304,435,1739,3016,57.66%,31,1663,1694
"District Judge, 127th Judicial District",0159,313,187,500,976,51.23%,60,418,478
"District Judge, 127th Judicial District",0160,246,140,386,688,56.10%,13,357,370
"District Judge, 127th Judicial District",0161,395,190,585,1030,56.80%,9,555,564
"District Judge, 127th Judicial District",0162,232,262,494,1249,39.55%,141,303,444
"District Judge, 127th Judicial District",0163,778,635,1413,3054,46.27%,403,838,1241
"District Judge, 127th Judicial District",0164,505,304,809,1434,56.42%,10,778,788
"District Judge, 127th Judicial District",0165,918,557,1475,2284,64.58%,915,474,1389
"District Judge, 127th Judicial District",0166,281,311,592,1016,58.27%,191,355,546
"District Judge, 127th Judicial District",0167,5,2,7,23,30.43%,0,7,7
"District Judge, 127th Judicial District",0168,188,126,314,519,60.50%,6,293,299
"District Judge, 127th Judicial District",0169,1059,433,1492,2531,58.95%,27,1429,1456
"District Judge, 127th Judicial District",0170,481,353,834,1887,44.20%,396,375,771
"District Judge, 127th Judicial District",0171,514,294,808,1613,50.09%,29,748,777
"District Judge, 127th Judicial District",0172,161,147,308,600,51.33%,100,179,279
"District Judge, 127th Judicial District",0173,1798,619,2417,3105,77.84%,1831,466,2297
"District Judge, 127th Judicial District",0174,1554,767,2321,3159,73.47%,1530,623,2153
"District Judge, 127th Judicial District",0175,1064,867,1931,2506,77.06%,942,817,1759
"District Judge, 127th Judicial District",0176,626,530,1156,1581,73.12%,580,467,1047
"District Judge, 127th Judicial District",0177,672,385,1057,1478,71.52%,611,378,989
"District Judge, 127th Judicial District",0178,913,368,1281,1718,74.56%,800,378,1178
"District Judge, 127th Judicial District",0179,449,321,770,1508,51.06%,346,371,717
"District Judge, 127th Judicial District",0180,966,552,1518,2795,54.31%,34,1415,1449
"District Judge, 127th Judicial District",0181,416,514,930,1968,47.26%,251,610,861
"District Judge, 127th Judicial District",0182,1321,1081,2402,3289,73.03%,1368,793,2161
"District Judge, 127th Judicial District",0183,970,943,1913,2451,78.05%,1179,573,1752
"District Judge, 127th Judicial District",0184,214,256,470,969,48.50%,126,304,430
"District Judge, 127th Judicial District",0185,592,494,1086,1910,56.86%,342,667,1009
"District Judge, 127th Judicial District",0186,204,1,70,374,795,47.04%,44,303,347
"District Judge, 127th Judicial District",0187,48,65,113,309,36.57%,25,82,107
"District Judge, 127th Judicial District",0188,307,378,685,1616,42.39%,243,403,646
"District Judge, 127th Judicial District",0189,492,473,965,1453,66.41%,503,376,879
"District Judge, 127th Judicial District",0190,275,401,676,1720,39.30%,230,403,633
"District Judge, 127th Judicial District",0191,196,313,509,1391,36.59%,172,312,484
"District Judge, 127th Judicial District",0192,746,332,1078,2045,52.71%,38,1003,1041
"District Judge, 127th Judicial District",0193,341,269,610,1050,58.10%,10,575,585
"District Judge, 127th Judicial District",0194,704,504,1208,1735,69.63%,328,791,1119
"District Judge, 127th Judicial District",0195,539,419,958,1721,55.67%,27,895,922
"District Judge, 127th Judicial District",0196,121,55,176,323,54.49%,9,160,169
"District Judge, 127th Judicial District",0197,1109,497,1606,2895,55.47%,34,1521,1555
"District Judge, 127th Judicial District",0198,143,158,301,657,45.81%,7,282,289
"District Judge, 127th Judicial District",0199,1407,773,2180,3159,69.01%,1609,458,2067
"District Judge, 127th Judicial District",0200,1638,585,2223,3222,68.99%,983,1049,2032
"District Judge, 127th Judicial District",0201,229,125,354,728,48.63%,12,333,345
"District Judge, 127th Judicial District",0202,488,332,820,1479,55.44%,15,771,786
"District Judge, 127th Judicial District",0203,266,156,422,900,46.89%,86,310,396
"District Judge, 127th Judicial District",0204,1489,914,2403,3462,69.41%,1341,889,2230
"District Judge, 127th Judicial District",0205,856,201,1057,1667,63.41%,21,1004,1025
"District Judge, 127th Judicial District",0206,651,659,1310,2662,49.21%,396,825,1221
"District Judge, 127th Judicial District",0207,409,310,719,1144,62.85%,244,409,653
"District Judge, 127th Judicial District",0208,806,364,1170,2201,53.16%,297,794,1091
"District Judge, 127th Judicial District",0209,0,4,4,0,0.00%,4,0,4
