Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0553,1465,951,2416,4355,55.48%,1007,1304,2311
"Justice, 1st Court of Appeals District, Place 2",0554,562,340,902,1731,52.11%,139,704,843
"Justice, 1st Court of Appeals District, Place 2",0555,598,447,1045,2119,49.32%,180,816,996
"Justice, 1st Court of Appeals District, Place 2",0556,584,421,1005,2249,44.69%,206,750,956
"Justice, 1st Court of Appeals District, Place 2",0557,822,556,1378,2726,50.55%,428,833,1261
"Justice, 1st Court of Appeals District, Place 2",0558,1589,824,2413,4084,59.08%,743,1549,2292
"Justice, 1st Court of Appeals District, Place 2",0559,1787,899,2686,4633,57.98%,623,1923,2546
"Justice, 1st Court of Appeals District, Place 2",0560,172,289,461,1176,39.20%,84,342,426
"Justice, 1st Court of Appeals District, Place 2",0561,837,759,1596,3033,52.62%,863,657,1520
"Justice, 1st Court of Appeals District, Place 2",0562,201,146,347,645,53.80%,25,308,333
"Justice, 1st Court of Appeals District, Place 2",0563,1699,415,2114,2969,71.20%,1612,394,2006
"Justice, 1st Court of Appeals District, Place 2",0564,1150,713,1863,3096,60.17%,519,1220,1739
"Justice, 1st Court of Appeals District, Place 2",0565,315,194,509,1373,37.07%,91,383,474
"Justice, 1st Court of Appeals District, Place 2",0566,1123,478,1601,2950,54.27%,417,1125,1542
"Justice, 1st Court of Appeals District, Place 2",0567,672,394,1066,2198,48.50%,280,690,970
"Justice, 1st Court of Appeals District, Place 2",0568,1628,837,2465,3487,70.69%,1588,703,2291
"Justice, 1st Court of Appeals District, Place 2",0569,1294,865,2159,3249,66.45%,1155,854,2009
"Justice, 1st Court of Appeals District, Place 2",0570,527,409,936,1473,63.54%,413,435,848
"Justice, 1st Court of Appeals District, Place 2",0571,333,312,645,1758,36.69%,192,410,602
"Justice, 1st Court of Appeals District, Place 2",0572,1283,574,1857,2998,61.94%,859,907,1766
"Justice, 1st Court of Appeals District, Place 2",0573,578,368,946,1618,58.47%,9,920,929
"Justice, 1st Court of Appeals District, Place 2",0574,98,79,177,391,45.27%,17,147,164
"Justice, 1st Court of Appeals District, Place 2",0575,27,9,36,79,45.57%,31,4,35
"Justice, 1st Court of Appeals District, Place 2",0576,1051,552,1603,2671,60.01%,50,1500,1550
"Justice, 1st Court of Appeals District, Place 2",0577,231,113,344,573,60.03%,188,136,324
"Justice, 1st Court of Appeals District, Place 2",0578,745,553,1298,1689,76.85%,806,388,1194
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0579,488,351,839,1806,46.46%,182,601,783
"Justice, 1st Court of Appeals District, Place 2",0580,429,146,575,1027,55.99%,13,550,563
"Justice, 1st Court of Appeals District, Place 2",0581,510,162,672,1041,64.55%,17,631,648
"Justice, 1st Court of Appeals District, Place 2",0582,615,256,871,1613,54.00%,45,798,843
"Justice, 1st Court of Appeals District, Place 2",0583,544,127,671,1248,53.77%,13,648,661
"Justice, 1st Court of Appeals District, Place 2",0584,392,139,531,971,54.69%,33,491,524
"Justice, 1st Court of Appeals District, Place 2",0585,934,304,1238,2403,51.52%,32,1170,1202
"Justice, 1st Court of Appeals District, Place 2",0585,1306,1189,2495,4230,58.98%,1473,925,2398
"Justice, 1st Court of Appeals District, Place 2",0587,933,465,1398,2174,64.31%,479,868,1347
"Justice, 1st Court of Appeals District, Place 2",0588,1536,871,2407,3468,69.41%,1663,644,2307
"Justice, 1st Court of Appeals District, Place 2",0589,1033,738,1771,3130,56.58%,907,785,1692
"Justice, 1st Court of Appeals District, Place 2",0590,1158,463,1621,2136,75.89%,1227,314,1541
"Justice, 1st Court of Appeals District, Place 2",0591,420,449,869,2114,41.11%,227,589,816
"Justice, 1st Court of Appeals District, Place 2",0592,370,288,658,1258,52.31%,149,485,634
"Justice, 1st Court of Appeals District, Place 2",0593,1149,999,2148,4059,52.92%,939,1097,2036
"Justice, 1st Court of Appeals District, Place 2",0594,1031,535,1566,2361,66.33%,444,1077,1521
"Justice, 1st Court of Appeals District, Place 2",0595,497,380,877,1647,53.25%,141,703,844
"Justice, 1st Court of Appeals District, Place 2",0596,946,690,1636,2848,57.44%,826,744,1570
"Justice, 1st Court of Appeals District, Place 2",0597,1067,719,1786,3267,54.67%,595,1115,1710
"Justice, 1st Court of Appeals District, Place 2",0598,335,103,438,724,60.50%,326,84,410
"Justice, 1st Court of Appeals District, Place 2",0599,1895,866,2761,4135,66.77%,914,1745,2659
"Justice, 1st Court of Appeals District, Place 2",0600,1383,869,2252,3820,58.95%,770,1373,2143
"Justice, 1st Court of Appeals District, Place 2",0601,2028,858,2886,3990,72.33%,2138,642,2780
"Justice, 1st Court of Appeals District, Place 2",0602,562,296,858,1237,69.36%,588,240,828
"Justice, 1st Court of Appeals District, Place 2",0603,1438,1163,2601,3917,66.40%,1546,966,2512
"Justice, 1st Court of Appeals District, Place 2",0604,1444,528,1972,2910,67.77%,1591,302,1893
"Justice, 1st Court of Appeals District, Place 2",0605,2227,889,3116,5251,59.34%,715,2279,2994
"Justice, 1st Court of Appeals District, Place 2",0606,420,122,542,1053,51.47%,5,520,525
"Justice, 1st Court of Appeals District, Place 2",0607,194,118,312,731,42.68%,21,277,298
"Justice, 1st Court of Appeals District, Place 2",0608,245,290,535,1256,42.60%,205,294,499
"Justice, 1st Court of Appeals District, Place 2",0609,1364,844,2208,3261,67.71%,1354,728,2082
"Justice, 1st Court of Appeals District, Place 2",0610,403,398,801,1825,43.89%,337,418,755
"Justice, 1st Court of Appeals District, Place 2",0611,1121,301,1422,2450,58.04%,36,1353,1389
"Justice, 1st Court of Appeals District, Place 2",0612,1700,579,2279,3272,69.65%,1688,461,2149
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0613,495,309,804,1450,55.45%,118,658,776
"Justice, 1st Court of Appeals District, Place 2",0614,1631,812,2443,3932,62.13%,803,1542,2345
"Justice, 1st Court of Appeals District, Place 2",0615,931,404,1335,1926,69.31%,780,500,1280
"Justice, 1st Court of Appeals District, Place 2",0616,1352,970,2322,3378,68.74%,1566,640,2206
"Justice, 1st Court of Appeals District, Place 2",0617,1320,849,2169,3546,61.17%,742,1339,2081
"Justice, 1st Court of Appeals District, Place 2",0618,1922,1021,2943,5344,55.07%,1250,1572,2822
"Justice, 1st Court of Appeals District, Place 2",0619,2133,857,2990,4266,70.09%,2182,677,2859
"Justice, 1st Court of Appeals District, Place 2",0620,2384,856,3240,5271,61.47%,1548,1499,3047
"Justice, 1st Court of Appeals District, Place 2",0621,397,203,600,1173,51.15%,287,285,572
"Justice, 1st Court of Appeals District, Place 2",0622,1722,829,2551,4305,59.26%,1455,973,2428
"Justice, 1st Court of Appeals District, Place 2",0623,1708,626,2334,3481,67.05%,1446,757,2203
"Justice, 1st Court of Appeals District, Place 2",0624,9,0,9,16,56.25%,4,5,9
"Justice, 1st Court of Appeals District, Place 2",0625,862,454,1316,1796,73.27%,730,492,1222
"Justice, 1st Court of Appeals District, Place 2",0626,1148,655,1803,2838,63.53%,887,820,1707
"Justice, 1st Court of Appeals District, Place 2",0627,795,647,1442,2964,48.65%,411,945,1356
"Justice, 1st Court of Appeals District, Place 2",0628,292,456,748,1600,46.75%,305,403,708
"Justice, 1st Court of Appeals District, Place 2",0629,175,127,302,629,48.01%,20,276,296
"Justice, 1st Court of Appeals District, Place 2",0630,2019,535,2554,3190,80.06%,215,2256,2471
"Justice, 1st Court of Appeals District, Place 2",0631,1489,392,1881,2733,68.83%,1325,472,1797
"Justice, 1st Court of Appeals District, Place 2",0632,12,9,21,231,9.09%,5,12,17
"Justice, 1st Court of Appeals District, Place 2",0633,1782,678,2460,3257,75.53%,1739,613,2352
"Justice, 1st Court of Appeals District, Place 2",0634,1020,734,1754,2922,60.03%,1065,616,1681
"Justice, 1st Court of Appeals District, Place 2",0635,1327,706,2033,3280,61.98%,1525,420,1945
"Justice, 1st Court of Appeals District, Place 2",0636,1791,974,2765,3881,71.24%,2312,351,2663
"Justice, 1st Court of Appeals District, Place 2",0637,739,509,1248,2471,50.51%,279,871,1150
"Justice, 1st Court of Appeals District, Place 2",0638,740,684,1424,2078,68.53%,91,1266,1357
"Justice, 1st Court of Appeals District, Place 2",0639,829,711,1540,2501,61.58%,1181,299,1480
"Justice, 1st Court of Appeals District, Place 2",0640,1382,723,2105,3548,59.33%,1175,838,2013
"Justice, 1st Court of Appeals District, Place 2",0641,1265,878,2143,3375,63.50%,1287,762,2049
"Justice, 1st Court of Appeals District, Place 2",0642,873,447,1320,1779,74.20%,1061,201,1262
"Justice, 1st Court of Appeals District, Place 2",0643,2157,994,3151,5310,59.34%,1188,1813,3001
"Justice, 1st Court of Appeals District, Place 2",0644,2123,1204,3327,5261,63.24%,2041,1122,3163
"Justice, 1st Court of Appeals District, Place 2",0645,1639,895,2534,4035,62.80%,1156,1240,2396
"Justice, 1st Court of Appeals District, Place 2",0646,708,456,1164,2163,53.81%,337,768,1105
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0647,1771,1020,2791,5593,49.90%,672,1900,2572
"Justice, 1st Court of Appeals District, Place 2",0648,1590,668,2258,3197,70.63%,1551,608,2159
"Justice, 1st Court of Appeals District, Place 2",0649,1389,854,2243,4426,50.68%,615,1498,2113
"Justice, 1st Court of Appeals District, Place 2",0650,1328,939,2267,3151,71.95%,1648,519,2167
"Justice, 1st Court of Appeals District, Place 2",0651,2085,1070,3155,4931,63.98%,1920,1087,3007
"Justice, 1st Court of Appeals District, Place 2",0652,1050,653,1703,2633,64.68%,288,1351,1639
"Justice, 1st Court of Appeals District, Place 2",0653,0,8,8,0,0.00%,2,6,8
"Justice, 1st Court of Appeals District, Place 2",0654,2103,1344,3447,5765,59.79%,1691,1559,3250
"Justice, 1st Court of Appeals District, Place 2",0655,2613,1451,4064,6304,64.47%,2473,1383,3856
"Justice, 1st Court of Appeals District, Place 2",0656,1198,421,1619,2622,61.75%,49,1525,1574
"Justice, 1st Court of Appeals District, Place 2",0657,490,268,758,1200,63.17%,287,434,721
"Justice, 1st Court of Appeals District, Place 2",0658,985,708,1693,2824,59.95%,1029,605,1634
"Justice, 1st Court of Appeals District, Place 2",0659,2141,1091,3232,4588,70.44%,2250,845,3095
"Justice, 1st Court of Appeals District, Place 2",0660,2460,932,3392,5048,67.19%,327,2965,3292
"Justice, 1st Court of Appeals District, Place 2",0661,1614,1012,2626,4179,62.84%,1381,1113,2494
"Justice, 1st Court of Appeals District, Place 2",0662,2477,999,3476,4807,72.31%,2735,614,3349
"Justice, 1st Court of Appeals District, Place 2",0663,1302,913,2215,3232,68.53%,1200,870,2070
"Justice, 1st Court of Appeals District, Place 2",0664,681,607,1288,2801,45.98%,274,947,1221
"Justice, 1st Court of Appeals District, Place 2",0665,951,394,1345,2007,67.02%,1058,227,1285
"Justice, 1st Court of Appeals District, Place 2",0666,0,1,1,0,0.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 2",0657,989,547,1536,2181,70.43%,1158,298,1456
"Justice, 1st Court of Appeals District, Place 2",0668,927,655,1582,2458,64.36%,960,549,1509
"Justice, 1st Court of Appeals District, Place 2",0669,1606,823,2429,3243,74.90%,1687,622,2309
"Justice, 1st Court of Appeals District, Place 2",0670,1566,518,2084,2952,70.60%,1621,349,1970
"Justice, 1st Court of Appeals District, Place 2",0671,1090,773,1863,2942,63.32%,1053,705,1758
"Justice, 1st Court of Appeals District, Place 2",0672,2301,1078,3379,4710,71.74%,2184,1069,3253
"Justice, 1st Court of Appeals District, Place 2",0673,1376,643,2019,2988,67.57%,1533,390,1923
"Justice, 1st Court of Appeals District, Place 2",0674,2092,813,2905,4055,71.64%,2135,662,2797
"Justice, 1st Court of Appeals District, Place 2",0675,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0676,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0677,220,239,459,954,48.11%,122,308,430
"Justice, 1st Court of Appeals District, Place 2",0678,297,164,461,756,60.98%,303,123,426
"Justice, 1st Court of Appeals District, Place 2",0679,1468,661,2129,3331,63.91%,1545,470,2015
"Justice, 1st Court of Appeals District, Place 2",0680,57,22,79,181,43.65%,34,38,72
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0681,1,0,1,5,20.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 2",0682,1674,912,2586,4134,62.55%,1810,662,2472
"Justice, 1st Court of Appeals District, Place 2",0683,48,50,98,261,37.55%,19,70,89
"Justice, 1st Court of Appeals District, Place 2",0684,72,24,96,187,51.34%,56,34,90
"Justice, 1st Court of Appeals District, Place 2",0685,167,29,196,326,60.12%,87,96,183
"Justice, 1st Court of Appeals District, Place 2",0686,46,34,80,196,40.82%,15,59,74
"Justice, 1st Court of Appeals District, Place 2",0687,1084,641,1725,2497,69.08%,1139,475,1614
"Justice, 1st Court of Appeals District, Place 2",0688,1815,673,2488,3266,76.18%,1964,410,2374
"Justice, 1st Court of Appeals District, Place 2",0689,505,651,1156,2276,50.79%,518,540,1058
"Justice, 1st Court of Appeals District, Place 2",0690,1955,1115,3082,4184,73.66%,2375,585,2960
"Justice, 1st Court of Appeals District, Place 2",0691,10,2,12,34,35.29%,3,9,12
"Justice, 1st Court of Appeals District, Place 2",0692,1000,717,1717,2626,65.38%,1239,404,1643
"Justice, 1st Court of Appeals District, Place 2",0693,303,116,419,651,64.36%,110,276,386
"Justice, 1st Court of Appeals District, Place 2",0694,420,137,557,817,68.18%,366,163,529
"Justice, 1st Court of Appeals District, Place 2",0695,454,320,774,1646,47.02%,473,268,741
"Justice, 1st Court of Appeals District, Place 2",0696,600,373,973,2098,46.38%,576,360,936
"Justice, 1st Court of Appeals District, Place 2",0697,1516,941,2457,4307,57.05%,534,1833,2367
"Justice, 1st Court of Appeals District, Place 2",0698,1137,659,1796,2948,60.92%,169,1563,1732
"Justice, 1st Court of Appeals District, Place 2",0699,1031,566,1597,2288,69.80%,1028,448,1476
"Justice, 1st Court of Appeals District, Place 2",0700,531,287,818,1313,62.30%,636,142,778
"Justice, 1st Court of Appeals District, Place 2",0701,142,115,257,554,46.39%,129,113,242
"Justice, 1st Court of Appeals District, Place 2",0702,150,123,273,549,49.73%,26,234,260
"Justice, 1st Court of Appeals District, Place 2",0703,742,616,1358,1845,73.60%,974,294,1268
"Justice, 1st Court of Appeals District, Place 2",0704,1334,701,2035,2882,70.61%,1601,340,1941
"Justice, 1st Court of Appeals District, Place 2",0705,358,238,596,1520,39.21%,55,520,575
"Justice, 1st Court of Appeals District, Place 2",0706,222,135,357,529,67.49%,174,176,350
"Justice, 1st Court of Appeals District, Place 2",0707,284,135,420,707,59.41%,237,156,393
"Justice, 1st Court of Appeals District, Place 2",0708,109,95,204,568,35.92%,96,95,191
"Justice, 1st Court of Appeals District, Place 2",0709,2997,1297,4294,6239,68.83%,2509,1622,4131
"Justice, 1st Court of Appeals District, Place 2",0710,877,602,1479,2023,73.11%,865,504,1369
"Justice, 1st Court of Appeals District, Place 2",0711,1492,701,2193,3351,65.44%,1303,767,2070
"Justice, 1st Court of Appeals District, Place 2",0712,1200,858,2058,3348,61.47%,810,1181,1991
"Justice, 1st Court of Appeals District, Place 2",0713,665,436,1101,1827,60.26%,567,489,1056
"Justice, 1st Court of Appeals District, Place 2",0714,77,3,80,304,26.32%,55,20,75
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0715,405,326,731,1380,52.97%,353,336,689
"Justice, 1st Court of Appeals District, Place 2",0716,977,522,1599,2670,59.89%,1087,444,1531
"Justice, 1st Court of Appeals District, Place 2",0717,826,362,1188,1927,61.65%,151,990,1141
"Justice, 1st Court of Appeals District, Place 2",0718,1844,1019,2863,4050,70.69%,1912,754,2666
"Justice, 1st Court of Appeals District, Place 2",0719,508,260,768,1617,47.50%,408,312,720
"Justice, 1st Court of Appeals District, Place 2",0720,1575,1044,2619,3903,67.10%,1874,646,2520
"Justice, 1st Court of Appeals District, Place 2",0721,1334,637,1971,2842,69.35%,1323,532,1855
"Justice, 1st Court of Appeals District, Place 2",0722,1892,542,2534,4357,58.16%,146,2287,2433
"Justice, 1st Court of Appeals District, Place 2",0723,747,329,1076,1760,61.14%,228,803,1031
"Justice, 1st Court of Appeals District, Place 2",0724,325,170,495,716,69.13%,335,135,470
"Justice, 1st Court of Appeals District, Place 2",0725,953,329,1282,2124,60.36%,512,707,1219
"Justice, 1st Court of Appeals District, Place 2",0726,1141,304,1445,1987,72.72%,1239,145,1384
"Justice, 1st Court of Appeals District, Place 2",0727,931,466,1397,2488,56.15%,342,997,1339
"Justice, 1st Court of Appeals District, Place 2",0728,343,208,551,881,62.54%,311,204,515
"Justice, 1st Court of Appeals District, Place 2",0729,208,93,301,446,67.49%,174,114,288
"Justice, 1st Court of Appeals District, Place 2",0730,802,437,1239,1630,76.01%,835,323,1158
"Justice, 1st Court of Appeals District, Place 2",0731,122,36,158,373,42.36%,33,114,147
"Justice, 1st Court of Appeals District, Place 2",0732,701,543,1244,1895,65.65%,720,443,1163
"Justice, 1st Court of Appeals District, Place 2",0733,25,62,87,172,50.58%,30,50,80
"Justice, 1st Court of Appeals District, Place 2",0734,3209,1114,4323,5952,72.63%,2855,1317,4172
"Justice, 1st Court of Appeals District, Place 2",0735,9,0,9,23,39.13%,9,0,9
"Justice, 1st Court of Appeals District, Place 2",0736,6,1,7,21,33.33%,0,6,6
"Justice, 1st Court of Appeals District, Place 2",0737,25,5,30,53,56.60%,24,6,30
"Justice, 1st Court of Appeals District, Place 2",0738,470,219,689,1294,53.25%,79,591,670
"Justice, 1st Court of Appeals District, Place 2",0739,1005,490,1495,2872,52.05%,644,795,1439
"Justice, 1st Court of Appeals District, Place 2",0740,233,205,438,935,46.84%,226,195,421
"Justice, 1st Court of Appeals District, Place 2",0741,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0742,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0743,27,4,31,199,15.58%,13,16,29
"Justice, 1st Court of Appeals District, Place 2",0744,848,509,1357,2024,67.05%,880,402,1282
"Justice, 1st Court of Appeals District, Place 2",0745,1066,542,1608,2396,67.11%,1012,503,1515
"Justice, 1st Court of Appeals District, Place 2",0746,230,151,381,707,53.89%,182,168,350
"Justice, 1st Court of Appeals District, Place 2",0747,1200,873,2073,3490,59.40%,952,1043,1995
"Justice, 1st Court of Appeals District, Place 2",0748,421,307,728,1319,55.19%,324,364,688
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0749,99,57,156,359,43.45%,30,111,141
"Justice, 1st Court of Appeals District, Place 2",0750,264,147,411,720,57.08%,228,159,387
"Justice, 1st Court of Appeals District, Place 2",0751,1665,1254,2919,4451,65.58%,1891,905,2796
"Justice, 1st Court of Appeals District, Place 2",0752,571,277,848,1511,56.12%,583,225,808
"Justice, 1st Court of Appeals District, Place 2",0753,106,61,167,260,64.23%,108,55,163
"Justice, 1st Court of Appeals District, Place 2",0754,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0755,1048,896,1944,3569,54.47%,708,1145,1853
"Justice, 1st Court of Appeals District, Place 2",0756,582,300,882,1539,57.31%,296,544,840
"Justice, 1st Court of Appeals District, Place 2",0757,1416,690,2106,3498,60.21%,324,1715,2039
"Justice, 1st Court of Appeals District, Place 2",0758,1996,783,2779,3781,73.50%,2183,440,2623
"Justice, 1st Court of Appeals District, Place 2",0759,1109,590,1699,2625,64.72%,1005,596,1601
"Justice, 1st Court of Appeals District, Place 2",0760,2346,647,2993,4154,72.05%,2486,368,2854
"Justice, 1st Court of Appeals District, Place 2",0761,917,219,1136,1464,77.60%,826,247,1073
"Justice, 1st Court of Appeals District, Place 2",0762,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0763,256,308,564,1184,47.64%,188,344,532
"Justice, 1st Court of Appeals District, Place 2",0764,2270,1050,3320,4931,67.33%,2061,1123,3184
"Justice, 1st Court of Appeals District, Place 2",0765,1390,815,2205,3967,55.58%,761,1342,2103
"Justice, 1st Court of Appeals District, Place 2",0766,71,92,163,383,42.56%,33,111,144
"Justice, 1st Court of Appeals District, Place 2",0767,20,15,35,90,38.89%,22,11,33
"Justice, 1st Court of Appeals District, Place 2",0768,2854,1159,4013,5364,74.81%,3118,733,3851
"Justice, 1st Court of Appeals District, Place 2",0769,117,5,122,161,75.78%,4,113,117
"Justice, 1st Court of Appeals District, Place 2",0770,58,48,106,262,40.46%,46,54,100
"Justice, 1st Court of Appeals District, Place 2",0771,702,537,1239,2378,52.10%,612,562,1174
"Justice, 1st Court of Appeals District, Place 2",0772,2929,1002,3931,5617,69.98%,2930,835,3765
"Justice, 1st Court of Appeals District, Place 2",0773,892,550,1442,2648,54.46%,336,1021,1357
"Justice, 1st Court of Appeals District, Place 2",0774,117,74,191,301,63.46%,41,142,183
"Justice, 1st Court of Appeals District, Place 2",0775,33,1,34,83,40.96%,0,33,33
"Justice, 1st Court of Appeals District, Place 2",0776,1113,741,1854,2855,64.94%,1052,721,1773
"Justice, 1st Court of Appeals District, Place 2",0777,83,123,206,642,32.09%,58,140,198
"Justice, 1st Court of Appeals District, Place 2",0778,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0779,295,221,516,1146,45.03%,160,326,486
"Justice, 1st Court of Appeals District, Place 2",0780,136,114,250,579,43.18%,108,128,236
"Justice, 1st Court of Appeals District, Place 2",0781,1152,655,1807,3716,48.63%,658,968,1626
"Justice, 1st Court of Appeals District, Place 2",0782,851,532,1383,2188,63.21%,824,471,1295
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0783,103,43,146,265,55.09%,74,62,136
"Justice, 1st Court of Appeals District, Place 2",0784,428,156,584,1071,54.53%,6,560,566
"Justice, 1st Court of Appeals District, Place 2",0785,66,55,121,310,39.03%,62,59,121
"Justice, 1st Court of Appeals District, Place 2",0786,193,277,470,1297,36.24%,134,311,445
"Justice, 1st Court of Appeals District, Place 2",0787,154,76,230,487,47.23%,73,143,216
"Justice, 1st Court of Appeals District, Place 2",0788,156,58,214,481,44.49%,69,133,202
"Justice, 1st Court of Appeals District, Place 2",0789,3,1,4,4,100.00%,1,2,3
"Justice, 1st Court of Appeals District, Place 2",0790,1,0,1,4,25.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 2",0791,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0792,549,409,958,1834,52.24%,215,696,911
"Justice, 1st Court of Appeals District, Place 2",0793,889,338,1227,2437,50.35%,683,496,1179
"Justice, 1st Court of Appeals District, Place 2",0794,575,484,1059,2602,40.70%,71,950,1021
"Justice, 1st Court of Appeals District, Place 2",0795,265,255,520,1207,43.08%,146,327,473
"Justice, 1st Court of Appeals District, Place 2",0796,145,92,237,485,48.87%,121,104,225
"Justice, 1st Court of Appeals District, Place 2",0797,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0798,176,263,439,496,88.51%,132,268,400
"Justice, 1st Court of Appeals District, Place 2",0799,65,12,77,146,52.74%,16,56,72
"Justice, 1st Court of Appeals District, Place 2",0800,1188,795,1983,2817,70.39%,1307,577,1884
"Justice, 1st Court of Appeals District, Place 2",0801,68,55,123,253,48.62%,38,78,116
"Justice, 1st Court of Appeals District, Place 2",0802,98,58,156,299,52.17%,32,112,144
"Justice, 1st Court of Appeals District, Place 2",0803,1305,530,1935,2718,71.19%,1403,437,1840
"Justice, 1st Court of Appeals District, Place 2",0804,1807,960,2767,4348,63.64%,1624,1006,2630
"Justice, 1st Court of Appeals District, Place 2",0805,1509,529,2038,2812,72.48%,1615,330,1945
"Justice, 1st Court of Appeals District, Place 2",0806,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0807,652,402,1054,2001,52.67%,158,851,1009
"Justice, 1st Court of Appeals District, Place 2",0808,41,26,67,84,79.76%,31,27,58
"Justice, 1st Court of Appeals District, Place 2",0809,21,e,27,86,31.40%,8,16,24
"Justice, 1st Court of Appeals District, Place 2",0810,30,48,78,215,36.28%,16,55,71
"Justice, 1st Court of Appeals District, Place 2",0811,39,106,145,271,53.51%,30,107,137
"Justice, 1st Court of Appeals District, Place 2",0812,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0813,1967,1258,3225,5423,59.47%,1519,1588,3107
"Justice, 1st Court of Appeals District, Place 2",0814,1773,955,2728,4503,60.58%,595,2016,2611
"Justice, 1st Court of Appeals District, Place 2",0815,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0816,20,13,33,76,43.42%,6,26,32
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0817,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0818,134,101,235,527,44.59%,47,180,227
"Justice, 1st Court of Appeals District, Place 2",0819,97,45,142,238,59.66%,86,38,124
"Justice, 1st Court of Appeals District, Place 2",0820,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0821,354,203,557,1206,46.19%,53,477,530
"Justice, 1st Court of Appeals District, Place 2",0822,584,282,866,1544,56.09%,25,817,842
"Justice, 1st Court of Appeals District, Place 2",0823,1850,1015,2865,4710,60.83%,1447,1283,2730
"Justice, 1st Court of Appeals District, Place 2",0824,984,471,1455,2729,53.32%,316,1087,1403
"Justice, 1st Court of Appeals District, Place 2",0825,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0826,153,89,242,342,70.76%,142,86,228
"Justice, 1st Court of Appeals District, Place 2",0827,169,186,355,997,35.61%,130,204,334
"Justice, 1st Court of Appeals District, Place 2",0828,1074,343,1417,1875,75.57%,1140,204,1344
"Justice, 1st Court of Appeals District, Place 2",0829,107,56,163,266,61.28%,32,129,161
"Justice, 1st Court of Appeals District, Place 2",0830,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0831,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0832,109,46,155,351,44.16%,43,102,145
"Justice, 1st Court of Appeals District, Place 2",0833,8,1,9,20,45.00%,0,9,9
"Justice, 1st Court of Appeals District, Place 2",0834,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0835,87,53,140,292,47.95%,35,98,133
"Justice, 1st Court of Appeals District, Place 2",0836,8,3,11,19,57.89%,0,9,9
"Justice, 1st Court of Appeals District, Place 2",0837,0,0,0,0,0.00%,0,0,0
