Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0151,316,148,464,846,54.85%,18,421,439
"Justice, 1st Court of Appeals District, Place 2",0152,483,602,1085,2701,40.17%,224,804,1028
"Justice, 1st Court of Appeals District, Place 2",0153,328,437,765,1755,43.59%,190,520,710
"Justice, 1st Court of Appeals District, Place 2",0154,593,360,953,2133,44.68%,206,653,859
"Justice, 1st Court of Appeals District, Place 2",0155,1957,834,2791,4087,68.29%,1894,757,2651
"Justice, 1st Court of Appeals District, Place 2",0156,1427,457,1884,3134,60.11%,47,1763,1810
"Justice, 1st Court of Appeals District, Place 2",0157,881,382,1263,2311,54.65%,37,1194,1231
"Justice, 1st Court of Appeals District, Place 2",0158,1304,435,1739,3016,57.66%,27,1675,1702
"Justice, 1st Court of Appeals District, Place 2",0159,313,187,500,976,51.23%,63,411,474
"Justice, 1st Court of Appeals District, Place 2",0160,246,140,386,688,56.10%,9,362,371
"Justice, 1st Court of Appeals District, Place 2",0161,395,190,585,1030,56.80%,9,556,565
"Justice, 1st Court of Appeals District, Place 2",0162,232,262,494,1249,39.55%,132,314,446
"Justice, 1st Court of Appeals District, Place 2",0163,778,635,1413,3054,46.27%,394,861,1255
"Justice, 1st Court of Appeals District, Place 2",0164,505,304,809,1434,56.42%,10,777,787
"Justice, 1st Court of Appeals District, Place 2",0165,918,557,1475,2284,64.58%,928,462,1390
"Justice, 1st Court of Appeals District, Place 2",0166,281,311,592,1016,58.27%,190,365,555
"Justice, 1st Court of Appeals District, Place 2",0167,5,2,7,23,30.43%,0,7,7
"Justice, 1st Court of Appeals District, Place 2",0168,188,126,314,519,60.50%,5,293,298
"Justice, 1st Court of Appeals District, Place 2",0169,1060,433,1493,2531,58.99%,17,1443,1460
"Justice, 1st Court of Appeals District, Place 2",0170,481,353,834,1887,44.20%,393,384,777
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0171,514,294,808,1613,50.09%,30,749,779
"Justice, 1st Court of Appeals District, Place 2",0172,161,147,308,600,51.33%,96,182,278
"Justice, 1st Court of Appeals District, Place 2",0173,1798,619,2417,3105,77.84%,1835,472,2307
"Justice, 1st Court of Appeals District, Place 2",0174,1554,767,2321,3159,73.47%,1588,577,2165
"Justice, 1st Court of Appeals District, Place 2",0175,1065,867,1932,2506,77.09%,1048,735,1783
"Justice, 1st Court of Appeals District, Place 2",0176,627,530,1157,1581,73.18%,635,428,1063
"Justice, 1st Court of Appeals District, Place 2",0177,672,385,1057,1478,71.52%,648,357,1005
"Justice, 1st Court of Appeals District, Place 2",0178,914,368,1282,1718,74.62%,876,311,1187
"Justice, 1st Court of Appeals District, Place 2",0179,449,321,770,1508,51.06%,343,375,718
"Justice, 1st Court of Appeals District, Place 2",0180,966,552,1518,2795,54.31%,32,1417,1449
"Justice, 1st Court of Appeals District, Place 2",0181,416,514,930,1968,47.26%,262,613,875
"Justice, 1st Court of Appeals District, Place 2",0182,1321,1081,2402,3289,73.03%,1489,712,2201
"Justice, 1st Court of Appeals District, Place 2",0183,970,943,1913,2451,78.05%,1332,454,1786
"Justice, 1st Court of Appeals District, Place 2",0184,214,256,470,969,48.50%,119,312,431
