Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0157,881,382,1263,2311,54.65%,40,1190,1230
"District Judge, 125th Judicial District",0158,1304,435,1739,3016,57.66%,25,1671,1696
"District Judge, 125th Judicial District",0159,313,187,500,976,51.23%,58,417,475
"District Judge, 125th Judicial District",0160,246,140,386,688,56.10%,12,359,371
"District Judge, 125th Judicial District",0161,395,190,585,1030,56.80%,8,559,567
"District Judge, 125th Judicial District",0162,232,262,494,1249,39.55%,134,311,445
"District Judge, 125th Judicial District",0163,778,635,1413,3054,46.27%,382,865,1247
"District Judge, 125th Judicial District",0164,505,304,809,1434,56.42%,11,776,787
"District Judge, 125th Judicial District",0165,918,557,1475,2284,64.58%,918,470,1388
"District Judge, 125th Judicial District",0166,281,311,592,1016,58.27%,184,362,546
"District Judge, 125th Judicial District",0167,5,2,7,23,30.43%,0,7,7
"District Judge, 125th Judicial District",0168,188,126,314,519,60.50%,6,293,299
"District Judge, 125th Judicial District",0169,1059,433,1492,2531,58.95%,19,1435,1454
"District Judge, 125th Judicial District",0170,481,353,834,1887,44.20%,389,382,771
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0171,514,294,808,1813,50.09%,28,753,779
"District Judge, 125th Judicial District",0172,181,147,308,800,51.33%,94,185,279
"District Judge, 125th Judicial District",0173,1798,819,2417,3105,77.84%,1825,474,2299
"District Judge, 125th Judicial District",0174,1554,787,2321,3159,73.47%,1552,801,2153
"District Judge, 125th Judicial District",0175,1084,887,1931,2508,77.08%,1013,752,1785
"District Judge, 125th Judicial District",0178,828,530,1158,1581,73.12%,821,428,1049
"District Judge, 125th Judicial District",0177,872,385,1057,1478,71.52%,831,358,989
"District Judge, 125th Judicial District",0178,913,388,1281,1718,74.58%,882,312,1174
"District Judge, 125th Judicial District",0179,449,321,770,1508,51.08%,338,383,719
"District Judge, 125th Judicial District",0180,966,552,1518,2795,54.31%,29,1422,1451
"District Judge, 125th Judicial District",0181,418,514,930,1988,47.28%,247,814,881
"District Judge, 125th Judicial District",0182,1321,1081,2402,3289,73.03%,1444,717,2181
"District Judge, 125th Judicial District",0183,970,943,1913,2451,78.05%,1288,470,1758
"District Judge, 125th Judicial District",0184,214,258,470,989,48.50%,128,303,429
"District Judge, 125th Judicial District",0185,592,494,1088,1910,58.88%,341,888,1009
