Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0655,2612,1451,4063,6304,64.45%,2458,1375,3833
"District Judge, 125th Judicial District",0656,1198,421,1619,2622,61.75%,47,1519,1566
"District Judge, 125th Judicial District",0657,490,268,758,1200,63.17%,290,425,715
"District Judge, 125th Judicial District",0658,985,708,1693,2824,59.95%,1018,599,1617
"District Judge, 125th Judicial District",0659,2141,1091,3232,4588,70.44%,2233,853,3086
"District Judge, 125th Judicial District",0660,2460,932,3392,5048,67.19%,308,2962,3270
"District Judge, 125th Judicial District",0661,1614,1012,2626,4179,62.84%,1363,1111,2474
"District Judge, 125th Judicial District",0662,2477,999,3476,4807,72.31%,2717,608,3325
"District Judge, 125th Judicial District",0663,1302,913,2215,3232,68.53%,1190,851,2041
"District Judge, 125th Judicial District",0664,681,607,1288,2801,45.98%,271,947,1218
"District Judge, 125th Judicial District",0665,951,394,1345,2007,67.02%,1062,208,1270
"District Judge, 125th Judicial District",0666,0,1,1,0,0.00%,0,1,1
"District Judge, 125th Judicial District",0657,989,547,1536,2181,70.43%,1144,304,1448
"District Judge, 125th Judicial District",0668,927,655,1582,2458,64.36%,962,539,1501
"District Judge, 125th Judicial District",0669,1606,823,2429,3243,74.90%,1676,620,2296
"District Judge, 125th Judicial District",0670,1566,518,2084,2952,70.60%,1602,348,1950
"District Judge, 125th Judicial District",0671,1090,773,1863,2942,63.32%,1061,681,1742
"District Judge, 125th Judicial District",0672,2301,1078,3379,4710,71.74%,2169,1065,3234
"District Judge, 125th Judicial District",0673,1376,643,2019,2988,67.57%,1518,389,1907
"District Judge, 125th Judicial District",0674,2092,813,2905,4055,71.64%,2119,669,2788
"District Judge, 125th Judicial District",0675,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0676,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0677,220,239,459,954,48.11%,124,309,433
"District Judge, 125th Judicial District",0678,297,164,461,756,60.98%,304,119,423
"District Judge, 125th Judicial District",0679,1466,661,2127,3331,63.85%,1517,475,1992
"District Judge, 125th Judicial District",0680,56,22,78,181,43.09%,33,38,71
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0681,1,0,1,5,20.00%,0,1,1
"District Judge, 125th Judicial District",0682,1673,912,2585,4134,62.53%,1799,650,2449
"District Judge, 125th Judicial District",0683,48,50,98,261,37.55%,23,69,92
"District Judge, 125th Judicial District",0684,72,24,96,187,51.34%,58,30,88
"District Judge, 125th Judicial District",0685,167,29,196,326,60.12%,87,94,181
"District Judge, 125th Judicial District",0686,46,34,80,196,40.82%,17,58,75
"District Judge, 125th Judicial District",0687,1084,641,1725,2497,69.08%,1135,471,1606
"District Judge, 125th Judicial District",0688,1815,673,2488,3266,76.18%,1947,411,2358
"District Judge, 125th Judicial District",0689,505,651,1156,2276,50.79%,521,538,1059
"District Judge, 125th Judicial District",0690,1965,1116,3081,4184,73.64%,2351,586,2937
"District Judge, 125th Judicial District",0691,10,2,12,34,35.29%,3,9,12
"District Judge, 125th Judicial District",0692,999,717,1716,2626,65.35%,1237,392,1629
"District Judge, 125th Judicial District",0693,303,116,419,651,64.36%,102,281,383
"District Judge, 125th Judicial District",0694,420,137,557,817,68.18%,367,161,528
"District Judge, 125th Judicial District",0695,454,320,774,1646,47.02%,464,270,734
"District Judge, 125th Judicial District",0696,600,373,973,2098,46.38%,568,359,927
"District Judge, 125th Judicial District",0697,1516,941,2457,4307,57.05%,542,1823,2365
"District Judge, 125th Judicial District",0698,1137,659,1796,2948,60.92%,172,1554,1726
"District Judge, 125th Judicial District",0699,1031,566,1597,2288,69.80%,1004,448,1452
"District Judge, 125th Judicial District",0700,531,287,818,1313,62.30%,633,142,775
"District Judge, 125th Judicial District",0701,142,115,257,554,46.39%,126,119,245
"District Judge, 125th Judicial District",0702,150,123,273,549,49.73%,28,231,259
"District Judge, 125th Judicial District",0703,742,616,1358,1845,73.60%,961,296,1257
"District Judge, 125th Judicial District",0704,1334,701,2035,2882,70.61%,1600,331,1931
"District Judge, 125th Judicial District",0705,358,238,596,1520,39.21%,56,518,574
"District Judge, 125th Judicial District",0706,222,135,357,529,67.49%,169,178,347
"District Judge, 125th Judicial District",0707,284,136,420,707,59.41%,240,155,395
"District Judge, 125th Judicial District",0708,109,95,204,568,35.92%,93,99,192
"District Judge, 125th Judicial District",0709,2996,1297,4293,6239,68.81%,2487,1621,4108
"District Judge, 125th Judicial District",0710,877,602,1479,2023,73.11%,860,498,1358
"District Judge, 125th Judicial District",0711,1492,701,2193,3351,65.44%,1288,767,2055
"District Judge, 125th Judicial District",0712,1200,858,2058,3348,61.47%,817,1175,1992
"District Judge, 125th Judicial District",0713,665,436,1101,1827,60.26%,566,482,1048
"District Judge, 125th Judicial District",0714,77,3,80,304,26.32%,53,21,74
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0715,405,326,731,1380,52.97%,347,338,685
"District Judge, 125th Judicial District",0716,977,522,1599,2670,59.89%,1084,442,1526
"District Judge, 125th Judicial District",0717,826,362,1188,1927,61.65%,145,995,1140
"District Judge, 125th Judicial District",0718,1844,1019,2863,4050,70.69%,1898,747,2645
"District Judge, 125th Judicial District",0719,508,260,768,1617,47.50%,404,311,715
"District Judge, 125th Judicial District",0720,1575,1044,2619,3903,67.10%,1860,649,2509
"District Judge, 125th Judicial District",0721,1334,637,1971,2842,69.35%,1289,544,1833
"District Judge, 125th Judicial District",0722,1892,542,2534,4357,58.16%,154,2280,2434
"District Judge, 125th Judicial District",0723,747,329,1076,1760,61.14%,214,810,1024
"District Judge, 125th Judicial District",0724,325,170,495,716,69.13%,329,138,467
"District Judge, 125th Judicial District",0725,953,329,1282,2124,60.36%,504,699,1203
"District Judge, 125th Judicial District",0726,1141,304,1445,1987,72.72%,1233,149,1382
"District Judge, 125th Judicial District",0727,931,466,1397,2488,56.15%,335,1003,1338
"District Judge, 125th Judicial District",0728,343,208,551,881,62.54%,298,215,513
"District Judge, 125th Judicial District",0729,208,93,301,446,67.49%,169,115,284
"District Judge, 125th Judicial District",0730,800,437,1237,1630,75.89%,823,316,1139
"District Judge, 125th Judicial District",0731,121,36,157,373,42.09%,29,115,144
"District Judge, 125th Judicial District",0732,701,543,1244,1895,65.65%,720,440,1160
"District Judge, 125th Judicial District",0733,25,62,87,172,50.58%,30,49,79
"District Judge, 125th Judicial District",0734,3209,1114,4323,5952,72.63%,2840,1315,4155
"District Judge, 125th Judicial District",0735,9,0,9,23,39.13%,9,0,9
"District Judge, 125th Judicial District",0736,6,1,7,21,33.33%,1,5,6
"District Judge, 125th Judicial District",0737,25,5,30,53,56.60%,24,6,30
"District Judge, 125th Judicial District",0738,470,219,689,1294,53.25%,79,590,669
"District Judge, 125th Judicial District",0739,1005,490,1495,2872,52.05%,634,800,1434
"District Judge, 125th Judicial District",0740,233,205,438,935,46.84%,228,191,419
"District Judge, 125th Judicial District",0741,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0742,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0743,27,4,31,199,15.58%,15,14,29
"District Judge, 125th Judicial District",0744,848,509,1357,2024,67.05%,851,421,1272
"District Judge, 125th Judicial District",0745,1066,542,1608,2396,67.11%,1000,504,1504
"District Judge, 125th Judicial District",0746,230,151,381,707,53.89%,177,170,347
"District Judge, 125th Judicial District",0747,1200,873,2073,3490,59.40%,938,1049,1987
"District Judge, 125th Judicial District",0748,420,307,727,1319,55.12%,319,363,682
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0749,99,57,156,359,43.45%,26,116,142
"District Judge, 125th Judicial District",0750,264,147,411,720,57.08%,232,156,388
"District Judge, 125th Judicial District",0751,1664,1254,2918,4451,65.56%,1899,879,2778
"District Judge, 125th Judicial District",0752,571,277,848,1511,56.12%,578,220,798
"District Judge, 125th Judicial District",0753,106,61,167,260,64.23%,109,54,163
"District Judge, 125th Judicial District",0754,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0755,1048,896,1944,3569,54.47%,706,1131,1837
"District Judge, 125th Judicial District",0756,582,300,882,1539,57.31%,292,545,837
"District Judge, 125th Judicial District",0757,1416,690,2106,3498,60.21%,322,1714,2036
"District Judge, 125th Judicial District",0758,1996,783,2779,3781,73.50%,2172,435,2607
"District Judge, 125th Judicial District",0759,1109,590,1699,2625,64.72%,986,605,1591
"District Judge, 125th Judicial District",0760,2346,647,2993,4154,72.05%,2454,374,2828
"District Judge, 125th Judicial District",0761,917,219,1136,1464,77.60%,815,247,1062
"District Judge, 125th Judicial District",0762,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0763,255,308,563,1184,47.55%,187,343,530
"District Judge, 125th Judicial District",0764,2270,1050,3320,4931,67.33%,2037,1133,3170
"District Judge, 125th Judicial District",0765,1390,815,2205,3967,55.58%,758,1346,2104
"District Judge, 125th Judicial District",0766,71,92,163,383,42.56%,37,108,145
"District Judge, 125th Judicial District",0767,20,15,35,90,38.89%,22,10,32
"District Judge, 125th Judicial District",0768,2854,1159,4013,5364,74.81%,3099,744,3843
"District Judge, 125th Judicial District",0769,117,5,122,161,75.78%,5,112,117
"District Judge, 125th Judicial District",0770,58,48,106,262,40.46%,42,58,100
"District Judge, 125th Judicial District",0771,701,537,1238,2378,52.06%,600,569,1169
"District Judge, 125th Judicial District",0772,2927,1002,3929,5617,69.95%,2903,848,3751
"District Judge, 125th Judicial District",0773,892,550,1442,2648,54.46%,339,1015,1354
"District Judge, 125th Judicial District",0774,116,74,190,301,63.12%,42,142,184
"District Judge, 125th Judicial District",0775,33,1,34,83,40.96%,0,33,33
"District Judge, 125th Judicial District",0776,1113,741,1854,2855,64.94%,1038,727,1765
"District Judge, 125th Judicial District",0777,83,123,206,642,32.09%,53,144,197
"District Judge, 125th Judicial District",0778,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0779,295,221,516,1146,45.03%,156,323,479
"District Judge, 125th Judicial District",0780,136,114,250,579,43.18%,105,127,232
"District Judge, 125th Judicial District",0781,1152,655,1807,3716,48.63%,645,971,1616
"District Judge, 125th Judicial District",0782,851,532,1383,2188,63.21%,815,479,1294
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0783,103,43,146,265,55.09%,77,58,135
"District Judge, 125th Judicial District",0784,428,156,584,1071,54.53%,7,558,565
"District Judge, 125th Judicial District",0785,66,55,121,310,39.03%,62,57,119
"District Judge, 125th Judicial District",0786,193,277,470,1297,36.24%,133,313,446
"District Judge, 125th Judicial District",0787,154,76,230,487,47.23%,74,140,214
"District Judge, 125th Judicial District",0788,156,58,214,481,44.49%,70,133,203
"District Judge, 125th Judicial District",0789,3,1,4,4,100.00%,1,2,3
"District Judge, 125th Judicial District",0790,1,0,1,4,25.00%,0,1,1
"District Judge, 125th Judicial District",0791,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0792,549,409,958,1834,52.24%,212,694,906
"District Judge, 125th Judicial District",0793,889,338,1227,2437,50.35%,678,491,1169
"District Judge, 125th Judicial District",0794,575,484,1059,2602,40.70%,73,945,1018
"District Judge, 125th Judicial District",0795,265,255,520,1207,43.08%,147,324,471
"District Judge, 125th Judicial District",0796,145,92,237,485,48.87%,111,112,223
"District Judge, 125th Judicial District",0797,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0798,176,263,439,496,88.51%,125,273,398
"District Judge, 125th Judicial District",0799,65,12,77,146,52.74%,16,58,74
"District Judge, 125th Judicial District",0800,1188,795,1983,2817,70.39%,1296,572,1868
"District Judge, 125th Judicial District",0801,68,55,123,253,48.62%,38,74,112
"District Judge, 125th Judicial District",0802,98,58,156,299,52.17%,34,108,142
"District Judge, 125th Judicial District",0803,1305,530,1935,2718,71.19%,1416,423,1839
"District Judge, 125th Judicial District",0804,1806,960,2766,4348,63.62%,1637,982,2619
"District Judge, 125th Judicial District",0805,1509,529,2038,2812,72.48%,1585,336,1921
"District Judge, 125th Judicial District",0806,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0807,652,402,1054,2001,52.67%,154,857,1011
"District Judge, 125th Judicial District",0808,41,26,67,84,79.76%,28,30,58
"District Judge, 125th Judicial District",0809,21,e,27,86,31.40%,8,16,24
"District Judge, 125th Judicial District",0810,30,48,78,215,36.28%,18,52,70
"District Judge, 125th Judicial District",0811,39,106,145,271,53.51%,28,109,137
"District Judge, 125th Judicial District",0812,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0813,1967,1258,3225,5423,59.47%,1509,1594,3103
"District Judge, 125th Judicial District",0814,1772,955,2727,4503,60.56%,600,2003,2603
"District Judge, 125th Judicial District",0815,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0816,20,13,33,76,43.42%,6,26,32
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0817,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0818,134,101,235,527,44.59%,47,180,227
"District Judge, 125th Judicial District",0819,97,45,142,238,59.66%,89,35,124
"District Judge, 125th Judicial District",0820,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0821,354,203,557,1206,46.19%,46,489,535
"District Judge, 125th Judicial District",0822,584,282,866,1544,56.09%,23,818,841
"District Judge, 125th Judicial District",0823,1849,1015,2864,4710,60.81%,1448,1269,2717
"District Judge, 125th Judicial District",0824,984,471,1455,2729,53.32%,306,1098,1404
"District Judge, 125th Judicial District",0825,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0826,153,89,242,342,70.76%,133,94,227
"District Judge, 125th Judicial District",0827,169,186,355,997,35.61%,125,211,336
"District Judge, 125th Judicial District",0828,1074,343,1417,1875,75.57%,1120,214,1334
"District Judge, 125th Judicial District",0829,107,56,163,266,61.28%,37,123,160
"District Judge, 125th Judicial District",0830,0,0,0,1,0.00%,0,0,0
"District Judge, 125th Judicial District",0831,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0832,109,46,155,351,44.16%,45,100,145
"District Judge, 125th Judicial District",0833,8,1,9,20,45.00%,0,9,9
"District Judge, 125th Judicial District",0834,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0835,87,53,140,292,47.95%,37,96,133
"District Judge, 125th Judicial District",0836,8,3,11,19,57.89%,1,8,9
"District Judge, 125th Judicial District",0837,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0838,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0839,353,240,593,1122,52.85%,105,449,554
"District Judge, 125th Judicial District",0840,712,251,963,1621,59.41%,312,611,923
"District Judge, 125th Judicial District",0841,0,2,2,0,0.00%,0,2,2
"District Judge, 125th Judicial District",0842,987,715,1702,3091,55.06%,729,887,1616
"District Judge, 125th Judicial District",0843,0,2,2,0,0.00%,0,2,2
"District Judge, 125th Judicial District",0844,2,4,6,1,3,46.1,5%,1,4,5
"District Judge, 125th Judicial District",0845,85,10,95,100,95.00%,53,35,88
"District Judge, 125th Judicial District",0846,70,29,99,210,47.14%,6,90,96
"District Judge, 125th Judicial District",0847,795,321,1116,1804,61.86%,293,772,1065
"District Judge, 125th Judicial District",0848,782,431,1213,1873,64.76%,376,777,1153
"District Judge, 125th Judicial District",0849,553,514,1067,2073,51.47%,334,661,995
"District Judge, 125th Judicial District",0850,87,38,125,205,60.98%,51,71,122
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0851,2192,816,3008,4317,69.68%,1905,949,2854
"District Judge, 125th Judicial District",0852,0,4,4,2,200.00%,0,4,4
"District Judge, 125th Judicial District",0853,1412,605,2017,2773,72.74%,1513,395,1908
"District Judge, 125th Judicial District",0854,41,30,71,175,40.57%,5,64,69
"District Judge, 125th Judicial District",0855,4,13,17,18,94.44%,9,8,17
"District Judge, 125th Judicial District",0856,0,4,4,0,0.00%,1,2,3
"District Judge, 125th Judicial District",0857,0,0,0,1,0.00%,0,0,0
"District Judge, 125th Judicial District",0858,132,18,150,372,40.32%,4,141,145
"District Judge, 125th Judicial District",0859,309,201,510,860,59.30%,103,394,497
"District Judge, 125th Judicial District",0860,0,1,1,0,0.00%,1,0,1
"District Judge, 125th Judicial District",0861,705,319,1024,1786,57.33%,176,819,995
"District Judge, 125th Judicial District",0862,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0863,210,69,279,620,45.00%,10,262,272
"District Judge, 125th Judicial District",0864,497,609,1106,2464,44.89%,257,785,1042
"District Judge, 125th Judicial District",0865,9,2,11,23,47.83%,0,11,11
"District Judge, 125th Judicial District",0866,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0867,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0868,573,586,1159,2292,50.57%,340,761,1101
"District Judge, 125th Judicial District",0869,153,76,229,473,48.41%,32,186,218
"District Judge, 125th Judicial District",0870,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0871,3,0,3,4,75.00%,0,3,3
"District Judge, 125th Judicial District",0872,13,5,18,66,27.27%,9,7,16
"District Judge, 125th Judicial District",0873,253,125,378,701,53.92%,90,282,372
"District Judge, 125th Judicial District",0874,1534,748,2282,3107,73.45%,1700,468,2168
"District Judge, 125th Judicial District",0875,1719,927,2646,4031,65.64%,1233,1304,2537
"District Judge, 125th Judicial District",0876,1629,639,2268,3013,75.27%,1609,561,2170
"District Judge, 125th Judicial District",0877,1030,542,1672,2480,67.42%,686,936,1622
"District Judge, 125th Judicial District",0878,853,350,1203,1641,73.31%,995,149,1144
"District Judge, 125th Judicial District",0879,890,527,1417,2334,60.71%,644,714,1358
"District Judge, 125th Judicial District",0880,1068,472,1540,2007,76.73%,1154,305,1459
"District Judge, 125th Judicial District",0881,1510,877,2387,3619,65.96%,736,1565,2301
"District Judge, 125th Judicial District",0882,940,457,1397,2328,60.01%,753,583,1336
"District Judge, 125th Judicial District",0883,1918,1042,2960,4651,63.64%,503,2365,2868
"District Judge, 125th Judicial District",0884,118,37,155,330,46.97%,19,131,150
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0885,1222,541,1763,2466,71.49%,1023,652,1675
"District Judge, 125th Judicial District",0886,301,154,455,713,63.81%,233,176,409
"District Judge, 125th Judicial District",0887,138,83,221,313,70.61%,123,72,195
"District Judge, 125th Judicial District",0888,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0889,22,0,22,61,36.07%,13,8,21
"District Judge, 125th Judicial District",0890,319,118,437,994,43.96%,164,244,408
"District Judge, 125th Judicial District",0891,539,392,931,1413,65.89%,375,487,862
"District Judge, 125th Judicial District",0892,193,130,323,696,46.41%,93,205,298
"District Judge, 125th Judicial District",0893,1,0,1,5,20.00%,0,1,1
"District Judge, 125th Judicial District",0894,0,31,31,0,0.00%,7,21,28
"District Judge, 125th Judicial District",0895,335,325,660,784,84.18%,309,284,593
"District Judge, 125th Judicial District",0896,670,303,973,1437,67.71%,396,493,889
"District Judge, 125th Judicial District",0897,742,375,1117,1624,68.78%,602,462,1064
"District Judge, 125th Judicial District",0898,0,0,0,2,0.00%,0,0,0
"District Judge, 125th Judicial District",0899,4,0,4,8,50.00%,1,3,4
"District Judge, 125th Judicial District",0900,5,0,5,12,41.67%,1,3,4
"District Judge, 125th Judicial District",0901,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0902,865,621,1486,2065,71.96%,855,518,1373
"District Judge, 125th Judicial District",0903,10,1,11,41,26.83%,5,5,10
"District Judge, 125th Judicial District",0904,0,1,1,1,100.00%,0,1,1
"District Judge, 125th Judicial District",0905,290,168,458,908,50.44%,164,253,417
"District Judge, 125th Judicial District",0906,12,6,18,26,69.23%,9,8,17
"District Judge, 125th Judicial District",0907,60,43,103,134,76.87%,21,81,102
"District Judge, 125th Judicial District",0908,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0909,5,7,12,19,63.16%,5,6,11
"District Judge, 125th Judicial District",0910,55,34,89,226,39.38%,33,49,82
"District Judge, 125th Judicial District",0911,227,79,306,570,53.68%,191,95,286
"District Judge, 125th Judicial District",0912,675,221,896,1235,72.55%,536,295,831
"District Judge, 125th Judicial District",0913,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0914,169,67,236,221,106.79%,178,44,222
"District Judge, 125th Judicial District",0915,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0916,604,182,786,1045,75.22%,633,116,749
"District Judge, 125th Judicial District",0917,280,137,417,481,86.69%,293,91,384
"District Judge, 125th Judicial District",0918,489,135,624,883,70.67%,484,99,583
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0919,0,3,3,3,100.00%,1,2,3
"District Judge, 125th Judicial District",0920,6,0,6,13,46.15%,6,0,6
"District Judge, 125th Judicial District",0921,71,9,80,87,91.95%,62,17,79
"District Judge, 125th Judicial District",0922,0,2,2,0,0.00%,1,1,2
"District Judge, 125th Judicial District",0923,663,87,750,826,90.80%,569,150,719
"District Judge, 125th Judicial District",0924,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0925,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0926,351,1,20,481,621,77.46%,358,97,455
"District Judge, 125th Judicial District",0927,84,74,158,262,60.31%,75,73,148
"District Judge, 125th Judicial District",0928,4,2,6,9,66.67%,0,6,6
"District Judge, 125th Judicial District",0929,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0930,200,77,277,567,48.85%,3,266,269
"District Judge, 125th Judicial District",0931,48,53,101,122,82.79%,48,39,87
"District Judge, 125th Judicial District",0932,0,5,5,0,0.00%,1,4,5
"District Judge, 125th Judicial District",0933,233,1,21,354,566,62.54%,90,246,336
"District Judge, 125th Judicial District",0934,12,1,13,41,31.71%,5,8,13
"District Judge, 125th Judicial District",0935,8,17,25,65,38.46%,10,14,24
"District Judge, 125th Judicial District",0936,12,10,22,70,31.43%,7,12,19
"District Judge, 125th Judicial District",0937,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0938,73,14,87,256,33.98%,28,55,83
"District Judge, 125th Judicial District",0939,1,0,1,1,100.00%,0,1,1
"District Judge, 125th Judicial District",0940,1,0,1,13,7.69%,0,1,1
"District Judge, 125th Judicial District",0941,13,9,22,25,88.00%,19,2,21
"District Judge, 125th Judicial District",0942,68,24,92,159,57.86%,71,14,85
"District Judge, 125th Judicial District",0943,296,63,359,536,66.98%,251,76,327
"District Judge, 125th Judicial District",0944,30,6,36,39,92.31%,31,3,34
"District Judge, 125th Judicial District",0945,4,7,11,16,68.75%,1,8,9
"District Judge, 125th Judicial District",0946,3,3,6,14,42.86%,0,4,4
"District Judge, 125th Judicial District",0947,320,292,612,822,74.45%,321,228,549
"District Judge, 125th Judicial District",0948,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0949,59,37,96,201,47.76%,40,50,90
"District Judge, 125th Judicial District",0950,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0951,79,44,123,218,56.42%,24,95,119
"District Judge, 125th Judicial District",0952,24,16,40,70,57.14%,21,15,36
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0953,59,52,111,420,26.43%,7,103,110
"District Judge, 125th Judicial District",0954,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0955,5,20,25,18,138.89%,15,8,23
"District Judge, 125th Judicial District",0956,5,2,7,12,58.33%,4,3,7
"District Judge, 125th Judicial District",0957,261,115,376,551,68.24%,54,310,364
"District Judge, 125th Judicial District",0958,289,266,555,989,56.12%,117,406,523
"District Judge, 125th Judicial District",0959,0,4,4,0,0.00%,0,4,4
"District Judge, 125th Judicial District",0960,362,143,505,586,86.18%,134,353,487
"District Judge, 125th Judicial District",0961,23,11,34,53,64.15%,7,27,34
"District Judge, 125th Judicial District",0962,24,13,37,73,50.68%,8,25,33
"District Judge, 125th Judicial District",0963,129,69,198,353,56.09%,102,81,183
"District Judge, 125th Judicial District",0964,945,447,1392,1571,88.61%,825,511,1336
"District Judge, 125th Judicial District",0965,93,27,120,355,33.80%,78,35,113
"District Judge, 125th Judicial District",0966,305,160,465,1073,43.34%,125,315,440
"District Judge, 125th Judicial District",0967,48,15,63,98,64.29%,25,37,62
"District Judge, 125th Judicial District",0968,243,83,326,517,63.06%,61,255,316
"District Judge, 125th Judicial District",0969,335,82,417,584,71.40%,3,401,404
"District Judge, 125th Judicial District",0970,212,76,288,704,40.91%,27,241,268
"District Judge, 125th Judicial District",0971,27,21,48,129,37.21%,1,46,47
"District Judge, 125th Judicial District",0972,10,7,17,29,58.62%,11,6,17
"District Judge, 125th Judicial District",0973,49,24,73,107,68.22%,39,30,69
"District Judge, 125th Judicial District",0974,100,71,171,299,57.19%,107,56,163
"District Judge, 125th Judicial District",0975,72,41,113,170,66.47%,52,51,103
"District Judge, 125th Judicial District",0976,159,131,290,684,42.40%,159,110,269
"District Judge, 125th Judicial District",0977,104,83,187,535,34.95%,68,108,176
"District Judge, 125th Judicial District",0978,201,102,303,506,59.88%,50,243,293
"District Judge, 125th Judicial District",0979,5,e,11,26,42.31%,10,1,11
"District Judge, 125th Judicial District",0980,595,356,951,1323,71.88%,675,218,893
"District Judge, 125th Judicial District",0981,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0982,534,218,752,1021,73.65%,572,139,711
"District Judge, 125th Judicial District",0983,41,28,69,165,41.82%,39,26,65
"District Judge, 125th Judicial District",0984,43,49,92,198,46.46%,7,83,90
"District Judge, 125th Judicial District",0985,172,67,239,336,71.13%,121,99,220
"District Judge, 125th Judicial District",0986,129,86,215,404,53.22%,19,182,201
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0987,465,191,656,1138,57.64%,49,585,634
"District Judge, 125th Judicial District",0988,44,21,65,111,58.56%,50,11,61
"District Judge, 125th Judicial District",0989,18,8,26,36,72.22%,11,14,25
"District Judge, 125th Judicial District",0990,37,15,52,154,33.77%,15,29,44
"District Judge, 125th Judicial District",0991,0,0,0,1,0.00%,0,0,0
"District Judge, 125th Judicial District",0992,309,202,511,1015,50.34%,280,209,489
"District Judge, 125th Judicial District",0993,272,91,363,551,65.88%,286,54,340
"District Judge, 125th Judicial District",0994,6,5,11,8,137.50%,2,8,10
"District Judge, 125th Judicial District",0995,596,190,786,1269,61.94%,30,722,752
"District Judge, 125th Judicial District",0996,297,125,422,699,60.37%,227,166,393
