Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",0979,5,e,11,26,42.31%,11,0,11
"District Judge, 164th Judicial District",0980,595,356,951,1323,71.88%,656,232,888
"District Judge, 164th Judicial District",0981,0,0,0,0,0.00%,0,0,0
"District Judge, 164th Judicial District",0982,534,218,752,1021,73.65%,574,137,711
"District Judge, 164th Judicial District",0983,41,28,69,165,41.82%,39,26,65
"District Judge, 164th Judicial District",0984,43,49,92,198,46.46%,6,82,88
"District Judge, 164th Judicial District",0985,172,67,239,336,71.13%,112,107,219
"District Judge, 164th Judicial District",0986,129,86,215,404,53.22%,19,182,201
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",0987,465,191,656,1138,57.64%,52,584,636
"District Judge, 164th Judicial District",0988,44,21,65,111,58.56%,50,11,61
"District Judge, 164th Judicial District",0989,18,8,26,36,72.22%,11,14,25
"District Judge, 164th Judicial District",0990,37,15,52,154,33.77%,14,31,45
"District Judge, 164th Judicial District",0991,0,0,0,1,0.00%,0,0,0
"District Judge, 164th Judicial District",0992,309,202,511,1015,50.34%,282,204,486
"District Judge, 164th Judicial District",0993,272,91,363,551,65.88%,282,58,340
"District Judge, 164th Judicial District",0994,6,5,11,8,137.50%,2,8,10
"District Judge, 164th Judicial District",0995,596,190,786,1269,61.94%,33,721,754
"District Judge, 164th Judicial District",0996,297,125,422,699,60.37%,223,171,394
"District Judge, 164th Judicial District",0997,429,328,757,1439,52.61%,117,615,732
"District Judge, 164th Judicial District",0998,15,9,24,35,68.57%,16,7,23
"District Judge, 164th Judicial District",0999,30,16,46,65,70.77%,35,8,43
"District Judge, 164th Judicial District",1000,105,0,105,458,22.93%,17,81,98
"District Judge, 164th Judicial District",1001,496,294,790,1566,50.45%,142,602,744
"District Judge, 164th Judicial District",1002,464,314,778,1738,44.76%,82,664,746
"District Judge, 164th Judicial District",1003,0,0,0,1,0.00%,0,0,0
"District Judge, 164th Judicial District",1,004,224,1,53,377,656,57.47%,184,144,328
"District Judge, 164th Judicial District",1005,0,0,0,0,0.00%,0,0,0
"District Judge, 164th Judicial District",1006,3,0,3,5,60.00%,3,0,3
"District Judge, 164th Judicial District",1007,555,295,850,1371,62.00%,192,628,820
"District Judge, 164th Judicial District",1008,86,21,107,150,71.33%,79,22,101
"District Judge, 164th Judicial District",1009,3,1,4,8,50.00%,2,1,3
"District Judge, 164th Judicial District",1010,124,74,198,317,62.46%,28,162,190
"District Judge, 164th Judicial District",1011,12,3,15,29,51.72%,3,9,12
"District Judge, 164th Judicial District",1012,395,318,713,1235,57.73%,185,501,686
"District Judge, 164th Judicial District",1013,8,14,22,60,36.67%,15,7,22
"District Judge, 164th Judicial District",1014,9,7,16,36,44.44%,3,13,16
"District Judge, 164th Judicial District",1015,11,7,18,29,62.07%,4,13,17
"District Judge, 164th Judicial District",1016,591,364,955,1626,58.73%,412,498,910
"District Judge, 164th Judicial District",1017,127,50,177,232,76.29%,46,122,168
"District Judge, 164th Judicial District",1018,209,92,301,468,64.32%,138,153,291
"District Judge, 164th Judicial District",1019,426,4,430,1518,28.33%,12,399,411
"District Judge, 164th Judicial District",1020,0,0,0,1,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",1021,1,0,1,2,50.00%,0,1,1
"District Judge, 164th Judicial District",1022,190,30,220,426,51.64%,168,41,209
"District Judge, 164th Judicial District",1023,894,401,1295,1964,65.94%,807,417,1224
"District Judge, 164th Judicial District",1024,113,77,190,259,73.36%,96,75,171
"District Judge, 164th Judicial District",1025,4,0,4,18,22.22%,1,3,4
"District Judge, 164th Judicial District",1026,0,0,0,0,0.00%,0,0,0
"District Judge, 164th Judicial District",1027,0,1,1,1,100.00%,0,0,0
"District Judge, 164th Judicial District",1028,0,1,1,0,0.00%,1,0,1
"District Judge, 164th Judicial District",1029,1021,641,1662,1802,92.23%,1255,309,1564
"District Judge, 164th Judicial District",1030,397,105,502,655,76.64%,425,56,481
"District Judge, 164th Judicial District",1031,3,3,6,6,100.00%,5,1,6
"District Judge, 164th Judicial District",1032,59,80,139,241,57.68%,95,33,128
"District Judge, 164th Judicial District",1033,0,0,0,0,0.00%,0,0,0
"District Judge, 164th Judicial District",1034,0,0,0,1,0.00%,0,0,0
"District Judge, 164th Judicial District",1035,24,13,37,139,26.62%,4,32,36
"District Judge, 164th Judicial District",1036,144,46,190,433,43.88%,144,36,180
"District Judge, 164th Judicial District",1037,27,16,43,73,58.90%,21,15,36
"District Judge, 164th Judicial District",1038,133,43,176,266,66.17%,10,163,173
"District Judge, 164th Judicial District",1039,3,5,8,20,40.00%,1,7,8
"District Judge, 164th Judicial District",1040,192,146,338,607,55.68%,174,140,314
"District Judge, 164th Judicial District",1041,0,0,0,0,0.00%,0,0,0
"District Judge, 164th Judicial District",1042,227,50,277,498,55.62%,79,192,271
"District Judge, 164th Judicial District",1043,12,2,14,31,45.16%,3,11,14
"District Judge, 164th Judicial District",1044,29,5,34,59,57.63%,7,26,33
"District Judge, 164th Judicial District",1045,611,321,932,1439,64.77%,115,788,903
"District Judge, 164th Judicial District",1046,19,18,37,54,68.52%,4,32,36
"District Judge, 164th Judicial District",1047,553,288,851,1242,68.52%,256,556,812
"District Judge, 164th Judicial District",1048,3,1,4,18,22.22%,2,2,4
"District Judge, 164th Judicial District",1049,57,71,128,266,48.12%,37,86,123
"District Judge, 164th Judicial District",1050,148,153,301,506,59.49%,60,226,286
"District Judge, 164th Judicial District",1,051,0,1,2,1,2,0,0.00%,9,2,1,1
"District Judge, 164th Judicial District",1052,0,2,2,0,0.00%,1,0,1
"District Judge, 164th Judicial District",1053,0,0,0,0,0.00%,0,0,0
"District Judge, 164th Judicial District",1054,0,0,0,1,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",1055,0,0,0,0,0.00%,0,0,0
"District Judge, 164th Judicial District",1056,4,0,4,6,66.67%,0,4,4
"District Judge, 164th Judicial District",1057,34,7,41,115,35.65%,2,35,37
"District Judge, 164th Judicial District",1058,540,246,786,1190,66.05%,114,638,752
"District Judge, 164th Judicial District",1059,7,3,10,23,43.48%,1,9,10
"District Judge, 164th Judicial District",1060,13,4,17,49,34.69%,9,8,17
"District Judge, 164th Judicial District",1061,665,300,965,1613,59.83%,498,424,922
"District Judge, 164th Judicial District",1062,59,25,85,168,50.60%,20,61,81
"District Judge, 164th Judicial District",1063,226,63,289,792,36.49%,31,248,279
"District Judge, 164th Judicial District",1064,45,1,46,120,38.33%,33,11,44
"District Judge, 164th Judicial District",Totals:,774640,427100,1201740,1942566,550095,581309,1131404
