Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",0150,539,207,748,1212,81.55%,15,713,728
"District Judge, 164th Judicial District",0151,318,148,484,848,54.85%,17,423,440
"District Judge, 164th Judicial District",0152,483,802,1085,2701,40.17%,218,808,1022
"District Judge, 164th Judicial District",0153,328,437,785,1755,43.59%,170,538,708
"District Judge, 164th Judicial District",0154,593,380,953,2133,44.88%,184,885,849
"District Judge, 164th Judicial District",0155,1957,834,2791,4087,88.29%,1794,833,2827
"District Judge, 164th Judicial District",0158,1427,457,1884,3134,80.11%,40,1759,1799
"District Judge, 164th Judicial District",0157,881,382,1283,2311,54.85%,38,1188,1224
"District Judge, 164th Judicial District",0158,1304,435,1739,3018,57.88%,23,1873,1898
"District Judge, 164th Judicial District",0159,313,187,500,978,51.23%,58,419,477
"District Judge, 164th Judicial District",0180,248,140,388,888,58.10%,10,359,389
"District Judge, 164th Judicial District",0181,395,190,585,1030,58.80%,8,555,583
"District Judge, 164th Judicial District",0182,232,282,494,1249,39.55%,127,315,442
"District Judge, 164th Judicial District",0183,778,835,1413,3054,48.27%,370,888,1238
"District Judge, 164th Judicial District",0184,505,304,809,1434,58.42%,12,774,788
"District Judge, 164th Judicial District",0185,918,557,1475,2284,84.58%,891,498,1387
"District Judge, 164th Judicial District",0188,281,311,592,1018,58.27%,183,359,542
"District Judge, 164th Judicial District",0187,5,2,7,23,30.43%,0,7,7
"District Judge, 164th Judicial District",0188,188,128,314,519,80.50%,3,298,299
"District Judge, 164th Judicial District",0189,1059,433,1492,2531,58.95%,19,1433,1452
"District Judge, 164th Judicial District",0170,481,353,834,1887,44.20%,388,381,789
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",0171,514,294,808,1613,50.09%,28,749,777
"District Judge, 164th Judicial District",0172,161,147,308,600,51.33%,90,186,276
"District Judge, 164th Judicial District",0173,1798,619,2417,3105,77.84%,1803,493,2296
"District Judge, 164th Judicial District",0174,1554,767,2321,3159,73.47%,1481,658,2139
"District Judge, 164th Judicial District",0175,1064,867,1931,2506,77.06%,916,829,1745
"District Judge, 164th Judicial District",0176,626,530,1156,1581,73.12%,548,482,1030
