Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Harvey Brown,DEM Chuck Silverman,Totals
"Justice, 1st Court of Appeals District, Place 6",0590,1158,463,1621,2136,75.89%,1232,309,1541
"Justice, 1st Court of Appeals District, Place 6",0591,420,449,869,2114,41.11%,214,598,812
"Justice, 1st Court of Appeals District, Place 6",0592,370,288,658,1258,52.31%,154,478,632
"Justice, 1st Court of Appeals District, Place 6",0593,1149,999,2148,4059,52.92%,945,1089,2034
"Justice, 1st Court of Appeals District, Place 6",0594,1031,535,1566,2361,66.33%,443,1067,1510
"Justice, 1st Court of Appeals District, Place 6",0595,497,380,877,1647,53.25%,142,708,850
"Justice, 1st Court of Appeals District, Place 6",0596,946,690,1636,2848,57.44%,831,736,1567
"Justice, 1st Court of Appeals District, Place 6",0597,1067,719,1786,3267,54.67%,595,1119,1714
"Justice, 1st Court of Appeals District, Place 6",0598,335,103,438,724,60.50%,325,85,410
"Justice, 1st Court of Appeals District, Place 6",0599,1895,866,2761,4135,66.77%,909,1744,2653
"Justice, 1st Court of Appeals District, Place 6",0600,1383,869,2252,3820,58.95%,769,1373,2142
"Justice, 1st Court of Appeals District, Place 6",0601,2028,858,2886,3990,72.33%,2148,624,2772
"Justice, 1st Court of Appeals District, Place 6",0602,562,296,858,1237,69.36%,588,241,829
"Justice, 1st Court of Appeals District, Place 6",0603,1438,1163,2601,3917,66.40%,1528,972,2500
"Justice, 1st Court of Appeals District, Place 6",0604,1444,528,1972,2910,67.77%,1593,300,1893
"Justice, 1st Court of Appeals District, Place 6",0605,2227,889,3116,5251,59.34%,767,2226,2993
"Justice, 1st Court of Appeals District, Place 6",0606,420,122,542,1053,51.47%,6,520,526
"Justice, 1st Court of Appeals District, Place 6",0607,194,118,312,731,42.68%,20,276,296
"Justice, 1st Court of Appeals District, Place 6",0608,245,290,535,1256,42.60%,201,300,501
"Justice, 1st Court of Appeals District, Place 6",0609,1364,844,2208,3261,67.71%,1352,726,2078
"Justice, 1st Court of Appeals District, Place 6",0610,403,398,801,1825,43.89%,336,415,751
"Justice, 1st Court of Appeals District, Place 6",0611,1121,301,1422,2450,58.04%,39,1347,1386
"Justice, 1st Court of Appeals District, Place 6",0612,1700,579,2279,3272,69.65%,1694,460,2154
"Justice, 1st Court of Appeals District, Place 6",0613,495,309,804,1450,55.45%,119,655,774
"Justice, 1st Court of Appeals District, Place 6",0614,1631,812,2443,3932,62.13%,804,1532,2336
"Justice, 1st Court of Appeals District, Place 6",0615,931,404,1335,1926,69.31%,783,494,1277
"Justice, 1st Court of Appeals District, Place 6",0616,1352,970,2322,3378,68.74%,1563,640,2203
"Justice, 1st Court of Appeals District, Place 6",0617,1320,849,2169,3546,61.17%,751,1324,2075
"Justice, 1st Court of Appeals District, Place 6",0618,1922,1021,2943,5344,55.07%,1270,1554,2824
"Justice, 1st Court of Appeals District, Place 6",0619,2133,857,2990,4266,70.09%,2197,664,2861
"Justice, 1st Court of Appeals District, Place 6",0620,2384,856,3240,5271,61.47%,1541,1502,3043
"Justice, 1st Court of Appeals District, Place 6",0621,397,203,600,1173,51.15%,290,281,571
"Justice, 1st Court of Appeals District, Place 6",0622,1722,829,2551,4305,59.26%,1466,963,2429
"Justice, 1st Court of Appeals District, Place 6",0623,1708,626,2334,3481,67.05%,1457,742,2199
"Justice, 1st Court of Appeals District, Place 6",0624,9,0,9,16,56.25%,5,4,9
"Justice, 1st Court of Appeals District, Place 6",0625,862,454,1316,1796,73.27%,729,489,1218
"Justice, 1st Court of Appeals District, Place 6",0626,1148,655,1803,2838,63.53%,886,814,1700
"Justice, 1st Court of Appeals District, Place 6",0627,795,647,1442,2964,48.65%,412,944,1356
"Justice, 1st Court of Appeals District, Place 6",0628,292,456,748,1600,46.75%,305,401,706
"Justice, 1st Court of Appeals District, Place 6",0629,175,127,302,629,48.01%,20,277,297
"Justice, 1st Court of Appeals District, Place 6",0630,2019,535,2554,3190,80.06%,226,2238,2464
"Justice, 1st Court of Appeals District, Place 6",0631,1489,392,1881,2733,68.83%,1328,465,1793
"Justice, 1st Court of Appeals District, Place 6",0632,12,9,21,231,9.09%,4,14,18
"Justice, 1st Court of Appeals District, Place 6",0633,1782,678,2460,3257,75.53%,1775,577,2352
"Justice, 1st Court of Appeals District, Place 6",0634,1020,734,1754,2922,60.03%,1072,604,1676
"Justice, 1st Court of Appeals District, Place 6",0635,1327,706,2033,3280,61.98%,1526,420,1946
"Justice, 1st Court of Appeals District, Place 6",0636,1791,974,2765,3881,71.24%,2310,348,2658
"Justice, 1st Court of Appeals District, Place 6",0637,739,509,1248,2471,50.51%,291,857,1148
"Justice, 1st Court of Appeals District, Place 6",0638,740,684,1424,2078,68.53%,95,1271,1366
"Justice, 1st Court of Appeals District, Place 6",0639,829,711,1540,2501,61.58%,1193,289,1482
"Justice, 1st Court of Appeals District, Place 6",0640,1382,723,2105,3548,59.33%,1176,834,2010
"Justice, 1st Court of Appeals District, Place 6",0641,1265,878,2143,3375,63.50%,1288,760,2048
"Justice, 1st Court of Appeals District, Place 6",0642,873,447,1320,1779,74.20%,1063,198,1261
"Justice, 1st Court of Appeals District, Place 6",0643,2157,994,3151,5310,59.34%,1194,1803,2997
"Justice, 1st Court of Appeals District, Place 6",0644,2123,1204,3327,5261,63.24%,2047,1117,3164
"Justice, 1st Court of Appeals District, Place 6",0645,1639,895,2534,4035,62.80%,1150,1243,2393
"Justice, 1st Court of Appeals District, Place 6",0646,708,456,1164,2163,53.81%,329,769,1098
"Justice, 1st Court of Appeals District, Place 6",0647,1771,1020,2791,5593,49.90%,680,1892,2572
"Justice, 1st Court of Appeals District, Place 6",0648,1590,668,2258,3197,70.63%,1559,599,2158
"Justice, 1st Court of Appeals District, Place 6",0649,1389,854,2243,4426,50.68%,612,1499,2111
"Justice, 1st Court of Appeals District, Place 6",0650,1328,939,2267,3151,71.95%,1666,497,2163
"Justice, 1st Court of Appeals District, Place 6",0651,2085,1070,3155,4931,63.98%,1922,1077,2999
"Justice, 1st Court of Appeals District, Place 6",0652,1050,653,1703,2633,64.68%,270,1369,1639
"Justice, 1st Court of Appeals District, Place 6",0653,0,8,8,0,0.00%,1,7,8
"Justice, 1st Court of Appeals District, Place 6",0654,2103,1344,3447,5765,59.79%,1706,1543,3249
"Justice, 1st Court of Appeals District, Place 6",0655,2613,1451,4064,6304,64.47%,2485,1366,3851
"Justice, 1st Court of Appeals District, Place 6",0656,1198,421,1619,2622,61.75%,53,1519,1572
"Justice, 1st Court of Appeals District, Place 6",0657,490,268,758,1200,63.17%,287,429,716
"Justice, 1st Court of Appeals District, Place 6",0658,985,708,1693,2824,59.95%,1030,600,1630
"Justice, 1st Court of Appeals District, Place 6",0659,2141,1091,3232,4588,70.44%,2265,828,3093
"Justice, 1st Court of Appeals District, Place 6",0660,2460,932,3392,5048,67.19%,323,2956,3279
"Justice, 1st Court of Appeals District, Place 6",0661,1614,1012,2626,4179,62.84%,1383,1105,2488
"Justice, 1st Court of Appeals District, Place 6",0662,2477,999,3476,4807,72.31%,2741,592,3333
"Justice, 1st Court of Appeals District, Place 6",0663,1302,913,2215,3232,68.53%,1204,859,2063
"Justice, 1st Court of Appeals District, Place 6",0664,681,607,1288,2801,45.98%,282,936,1218
"Justice, 1st Court of Appeals District, Place 6",0665,951,394,1345,2007,67.02%,1069,205,1274
"Justice, 1st Court of Appeals District, Place 6",0666,0,1,1,0,0.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 6",0667,989,547,1536,2181,70.43%,1159,295,1454
"Justice, 1st Court of Appeals District, Place 6",0668,927,655,1582,2458,64.36%,966,534,1500
"Justice, 1st Court of Appeals District, Place 6",0669,1606,823,2429,3243,74.90%,1684,622,2306
"Justice, 1st Court of Appeals District, Place 6",0670,1566,518,2084,2952,70.60%,1620,348,1968
"Justice, 1st Court of Appeals District, Place 6",0671,1090,773,1863,2942,63.32%,1057,695,1752
"Justice, 1st Court of Appeals District, Place 6",0672,2301,1078,3379,4710,71.74%,2195,1051,3246
"Justice, 1st Court of Appeals District, Place 6",0673,1376,643,2019,2988,67.57%,1532,376,1908
"Justice, 1st Court of Appeals District, Place 6",0674,2092,813,2905,4055,71.64%,2130,665,2795
"Justice, 1st Court of Appeals District, Place 6",0675,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0676,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0677,220,239,459,954,48.11%,127,306,433
"Justice, 1st Court of Appeals District, Place 6",0678,297,164,461,756,60.98%,303,120,423
"Justice, 1st Court of Appeals District, Place 6",0679,1468,661,2129,3331,63.91%,1539,472,2011
"Justice, 1st Court of Appeals District, Place 6",0680,57,22,79,181,43.65%,33,39,72
"Justice, 1st Court of Appeals District, Place 6",0681,1,0,1,5,20.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 6",0682,1674,912,2586,4134,62.55%,1815,652,2467
"Justice, 1st Court of Appeals District, Place 6",0683,48,50,98,261,37.55%,22,69,91
"Justice, 1st Court of Appeals District, Place 6",0684,72,24,96,187,51.34%,59,30,89
"Justice, 1st Court of Appeals District, Place 6",0685,167,29,196,326,60.12%,86,97,183
"Justice, 1st Court of Appeals District, Place 6",0686,46,34,80,196,40.82%,16,58,74
"Justice, 1st Court of Appeals District, Place 6",0687,1084,641,1725,2497,69.08%,1135,478,1613
"Justice, 1st Court of Appeals District, Place 6",0688,1815,673,2488,3266,76.18%,1962,408,2370
"Justice, 1st Court of Appeals District, Place 6",0689,505,651,1156,2276,50.79%,523,539,1062
"Justice, 1st Court of Appeals District, Place 6",0690,1955,1115,3082,4184,73.66%,2372,577,2949
"Justice, 1st Court of Appeals District, Place 6",0691,10,2,12,34,35.29%,3,9,12
"Justice, 1st Court of Appeals District, Place 6",0692,1000,717,1717,2626,65.38%,1237,401,1638
"Justice, 1st Court of Appeals District, Place 6",0693,303,116,419,651,64.36%,109,280,389
"Justice, 1st Court of Appeals District, Place 6",0694,420,137,557,817,68.18%,368,159,527
"Justice, 1st Court of Appeals District, Place 6",0695,454,320,774,1646,47.02%,467,272,739
"Justice, 1st Court of Appeals District, Place 6",0696,600,373,973,2098,46.38%,581,353,934
"Justice, 1st Court of Appeals District, Place 6",0697,1516,941,2457,4307,57.05%,551,1808,2359
"Justice, 1st Court of Appeals District, Place 6",0698,1137,659,1796,2948,60.92%,171,1560,1731
"Justice, 1st Court of Appeals District, Place 6",0699,1031,566,1597,2288,69.80%,1017,451,1468
"Justice, 1st Court of Appeals District, Place 6",0700,531,287,818,1313,62.30%,639,138,777
"Justice, 1st Court of Appeals District, Place 6",0701,142,115,257,554,46.39%,128,115,243
"Justice, 1st Court of Appeals District, Place 6",0702,150,123,273,549,49.73%,30,230,260
"Justice, 1st Court of Appeals District, Place 6",0703,742,616,1358,1845,73.60%,965,295,1260
"Justice, 1st Court of Appeals District, Place 6",0704,1334,701,2035,2882,70.61%,1616,323,1939
"Justice, 1st Court of Appeals District, Place 6",0705,358,238,596,1520,39.21%,58,519,577
"Justice, 1st Court of Appeals District, Place 6",0706,222,135,357,529,67.49%,169,180,349
"Justice, 1st Court of Appeals District, Place 6",0707,284,135,420,707,59.41%,239,156,395
"Justice, 1st Court of Appeals District, Place 6",0708,109,95,204,568,35.92%,97,93,190
"Justice, 1st Court of Appeals District, Place 6",0709,2997,1297,4294,6239,68.83%,2505,1619,4124
"Justice, 1st Court of Appeals District, Place 6",0710,877,602,1479,2023,73.11%,856,508,1364
"Justice, 1st Court of Appeals District, Place 6",0711,1492,701,2193,3351,65.44%,1287,782,2069
"Justice, 1st Court of Appeals District, Place 6",0712,1200,858,2058,3348,61.47%,813,1183,1996
"Justice, 1st Court of Appeals District, Place 6",0713,665,436,1101,1827,60.26%,567,485,1052
"Justice, 1st Court of Appeals District, Place 6",0714,77,3,80,304,26.32%,53,22,75
"Justice, 1st Court of Appeals District, Place 6",0715,405,328,731,1380,52.97%,352,338,890
"Justice, 1st Court of Appeals District, Place 6",0718,977,522,1599,2870,59.89%,1097,431,1528
"Justice, 1st Court of Appeals District, Place 6",0717,828,382,1188,1927,81.85%,180,982,1142
"Justice, 1st Court of Appeals District, Place 6",0718,1844,1019,2883,4050,70.89%,1909,751,2880
"Justice, 1st Court of Appeals District, Place 6",0719,508,280,788,1817,47.50%,418,307,725
"Justice, 1st Court of Appeals District, Place 6",0720,1575,1044,2819,3903,87.10%,1888,853,2521
"Justice, 1st Court of Appeals District, Place 6",0721,1334,837,1971,2842,89.35%,1312,532,1844
"Justice, 1st Court of Appeals District, Place 6",0722,1892,542,2534,4357,58.18%,153,2279,2432
"Justice, 1st Court of Appeals District, Place 6",0723,747,329,1078,1780,81.14%,224,805,1029
"Justice, 1st Court of Appeals District, Place 6",0724,325,170,495,718,89.13%,338,132,470
"Justice, 1st Court of Appeals District, Place 6",0725,953,329,1282,2124,80.38%,521,892,1213
"Justice, 1st Court of Appeals District, Place 6",0728,1141,304,1445,1987,72.72%,1238,145,1381
"Justice, 1st Court of Appeals District, Place 6",0727,931,488,1397,2488,58.15%,337,1003,1340
"Justice, 1st Court of Appeals District, Place 6",0728,343,208,551,881,82.54%,312,203,515
"Justice, 1st Court of Appeals District, Place 6",0729,208,93,301,448,87.49%,178,111,287
"Justice, 1st Court of Appeals District, Place 6",0730,802,437,1239,1830,78.01%,832,321,1153
"Justice, 1st Court of Appeals District, Place 6",0731,122,38,158,373,42.38%,32,115,147
"Justice, 1st Court of Appeals District, Place 6",0732,701,543,1244,1895,85.85%,731,433,1184
"Justice, 1st Court of Appeals District, Place 6",0733,25,82,87,172,50.58%,28,51,79
"Justice, 1st Court of Appeals District, Place 6",0734,3209,1114,4323,5952,72.83%,2888,1300,4188
"Justice, 1st Court of Appeals District, Place 6",0735,9,0,9,23,39.13%,9,0,9
"Justice, 1st Court of Appeals District, Place 6",0738,8,1,7,21,33.33%,0,8,8
"Justice, 1st Court of Appeals District, Place 6",0737,25,5,30,53,58.80%,24,8,30
"Justice, 1st Court of Appeals District, Place 6",0738,470,219,889,1294,53.25%,77,590,887
"Justice, 1st Court of Appeals District, Place 6",0739,1005,490,1495,2872,52.05%,842,795,1437
"Justice, 1st Court of Appeals District, Place 6",0740,233,205,438,935,48.84%,227,195,422
"Justice, 1st Court of Appeals District, Place 6",0741,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0742,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0743,27,4,31,199,15.58%,14,15,29
"Justice, 1st Court of Appeals District, Place 6",0744,848,509,1357,2024,87.05%,872,405,1277
"Justice, 1st Court of Appeals District, Place 6",0745,1088,542,1808,2398,87.11%,1010,502,1512
"Justice, 1st Court of Appeals District, Place 6",0748,230,151,381,707,53.89%,179,188,347
"Justice, 1st Court of Appeals District, Place 6",0747,1200,873,2073,3490,59.40%,959,1029,1988
"Justice, 1st Court of Appeals District, Place 6",0748,421,307,728,1319,55.19%,315,372,887
"Justice, 1st Court of Appeals District, Place 6",0749,99,57,156,359,43.45%,27,115,142
"Justice, 1st Court of Appeals District, Place 6",0750,264,147,411,720,57.08%,229,159,388
"Justice, 1st Court of Appeals District, Place 6",0751,1665,1254,2919,4451,65.58%,1913,878,2791
"Justice, 1st Court of Appeals District, Place 6",0752,571,277,848,1511,56.12%,586,212,798
"Justice, 1st Court of Appeals District, Place 6",0753,106,61,167,260,64.23%,108,55,163
"Justice, 1st Court of Appeals District, Place 6",0754,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0755,1048,896,1944,3569,54.47%,703,1135,1838
"Justice, 1st Court of Appeals District, Place 6",0756,582,300,882,1539,57.31%,296,539,835
"Justice, 1st Court of Appeals District, Place 6",0757,1416,690,2106,3498,60.21%,330,1709,2039
"Justice, 1st Court of Appeals District, Place 6",0758,1996,783,2779,3781,73.50%,2185,438,2623
"Justice, 1st Court of Appeals District, Place 6",0759,1109,590,1699,2625,64.72%,1007,594,1601
"Justice, 1st Court of Appeals District, Place 6",0760,2346,647,2993,4154,72.05%,2480,366,2846
"Justice, 1st Court of Appeals District, Place 6",0761,917,219,1136,1464,77.60%,832,234,1066
"Justice, 1st Court of Appeals District, Place 6",0762,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0763,256,308,564,11,84,47.64%,191,343,534
"Justice, 1st Court of Appeals District, Place 6",0764,2270,1050,3320,4931,67.33%,2067,1114,3181
"Justice, 1st Court of Appeals District, Place 6",0765,1390,815,2205,3967,55.58%,763,1344,2107
"Justice, 1st Court of Appeals District, Place 6",0766,71,92,163,383,42.56%,36,110,146
"Justice, 1st Court of Appeals District, Place 6",0767,20,15,35,90,38.89%,22,11,33
"Justice, 1st Court of Appeals District, Place 6",0768,2854,1159,4013,5364,74.81%,3128,724,3852
"Justice, 1st Court of Appeals District, Place 6",0769,117,5,122,161,75.78%,6,112,118
"Justice, 1st Court of Appeals District, Place 6",0770,58,48,106,262,40.46%,44,56,100
"Justice, 1st Court of Appeals District, Place 6",0771,702,537,1239,2378,52.10%,597,574,1171
"Justice, 1st Court of Appeals District, Place 6",0772,2929,1002,3931,5617,69.98%,2932,831,3763
"Justice, 1st Court of Appeals District, Place 6",0773,892,550,1442,2648,54.46%,347,1015,1362
"Justice, 1st Court of Appeals District, Place 6",0774,117,74,191,301,63.46%,40,145,185
"Justice, 1st Court of Appeals District, Place 6",0775,33,1,34,83,40.96%,0,33,33
"Justice, 1st Court of Appeals District, Place 6",0776,1113,741,1854,2855,64.94%,1060,713,1773
"Justice, 1st Court of Appeals District, Place 6",0777,83,123,206,642,32.09%,54,143,197
"Justice, 1st Court of Appeals District, Place 6",0778,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0779,295,221,516,1146,45.03%,164,319,483
"Justice, 1st Court of Appeals District, Place 6",0780,136,114,250,579,43.18%,103,131,234
"Justice, 1st Court of Appeals District, Place 6",0781,1152,655,1807,3716,48.63%,654,973,1627
"Justice, 1st Court of Appeals District, Place 6",0782,851,532,1383,2188,63.21%,818,482,1300
"Justice, 1st Court of Appeals District, Place 6",0783,103,43,146,265,55.09%,76,59,135
"Justice, 1st Court of Appeals District, Place 6",0784,428,156,584,1071,54.53%,7,557,564
"Justice, 1st Court of Appeals District, Place 6",0785,66,55,121,310,39.03%,61,58,119
"Justice, 1st Court of Appeals District, Place 6",0786,193,277,470,1297,36.24%,138,307,445
"Justice, 1st Court of Appeals District, Place 6",0787,154,76,230,487,47.23%,76,140,216
"Justice, 1st Court of Appeals District, Place 6",0788,156,58,214,481,44.49%,70,131,201
"Justice, 1st Court of Appeals District, Place 6",0789,3,1,4,4,100.00%,1,2,3
"Justice, 1st Court of Appeals District, Place 6",0790,1,0,1,4,25.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 6",0791,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0792,549,409,958,1834,52.24%,220,682,902
"Justice, 1st Court of Appeals District, Place 6",0793,889,338,1227,2437,50.35%,689,481,1170
"Justice, 1st Court of Appeals District, Place 6",0794,575,484,1059,2602,40.70%,72,952,1024
"Justice, 1st Court of Appeals District, Place 6",0795,265,255,520,1207,43.08%,151,325,476
"Justice, 1st Court of Appeals District, Place 6",0796,145,92,237,485,48.87%,116,107,223
"Justice, 1st Court of Appeals District, Place 6",0797,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0798,176,263,439,496,88.51%,130,267,397
"Justice, 1st Court of Appeals District, Place 6",0799,65,12,77,146,52.74%,17,57,74
"Justice, 1st Court of Appeals District, Place 6",0800,1188,795,1983,2817,70.39%,1308,575,1883
"Justice, 1st Court of Appeals District, Place 6",0801,68,55,123,253,48.62%,41,74,115
"Justice, 1st Court of Appeals District, Place 6",0802,98,58,156,299,52.17%,33,111,144
"Justice, 1st Court of Appeals District, Place 6",0803,1305,530,1935,2718,71.19%,1409,433,1842
"Justice, 1st Court of Appeals District, Place 6",0804,1807,960,2767,4348,63.64%,1632,996,2628
"Justice, 1st Court of Appeals District, Place 6",0805,1509,529,2038,2812,72.48%,1596,337,1933
"Justice, 1st Court of Appeals District, Place 6",0806,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0807,652,402,1054,2001,52.67%,163,846,1009
"Justice, 1st Court of Appeals District, Place 6",0808,41,26,67,84,79.76%,30,28,58
"Justice, 1st Court of Appeals District, Place 6",0809,216,27,86,31.40%,8,16,24
"Justice, 1st Court of Appeals District, Place 6",0810,30,48,78,215,36.28%,18,52,70
"Justice, 1st Court of Appeals District, Place 6",0811,39,106,145,271,53.51%,31,106,137
"Justice, 1st Court of Appeals District, Place 6",0812,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0813,1967,1258,3225,5423,59.47%,1517,1594,3111
"Justice, 1st Court of Appeals District, Place 6",0814,1773,955,2728,4503,60.58%,596,2017,2613
"Justice, 1st Court of Appeals District, Place 6",0815,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0816,20,13,33,76,43.42%,5,27,32
"Justice, 1st Court of Appeals District, Place 6",0817,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0818,134,101,235,527,44.59%,48,179,227
"Justice, 1st Court of Appeals District, Place 6",0819,97,45,142,238,59.66%,80,45,125
"Justice, 1st Court of Appeals District, Place 6",0820,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0821,354,203,557,1206,46.19%,50,483,533
"Justice, 1st Court of Appeals District, Place 6",0822,584,282,866,1544,56.09%,24,818,842
"Justice, 1st Court of Appeals District, Place 6",0823,1850,1015,2865,4710,60.83%,1457,1269,2726
"Justice, 1st Court of Appeals District, Place 6",0824,984,471,1455,2729,53.32%,319,1077,1396
"Justice, 1st Court of Appeals District, Place 6",0825,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0826,153,89,242,342,70.76%,131,94,225
"Justice, 1st Court of Appeals District, Place 6",0827,169,186,355,997,35.61%,128,207,335
"Justice, 1st Court of Appeals District, Place 6",0828,1074,343,1417,1875,75.57%,1128,210,1338
"Justice, 1st Court of Appeals District, Place 6",0829,107,56,163,266,61.28%,36,123,159
"Justice, 1st Court of Appeals District, Place 6",0830,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0831,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0832,109,46,155,351,44.16%,46,99,145
"Justice, 1st Court of Appeals District, Place 6",0833,8,1,9,20,45.00%,0,9,9
"Justice, 1st Court of Appeals District, Place 6",0834,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0835,87,53,140,292,47.95%,35,96,131
"Justice, 1st Court of Appeals District, Place 6",0836,8,3,11,19,57.89%,1,8,9
"Justice, 1st Court of Appeals District, Place 6",0837,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0838,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0839,353,240,593,1122,52.85%,107,450,557
"Justice, 1st Court of Appeals District, Place 6",0840,712,251,963,1621,59.41%,308,617,925
"Justice, 1st Court of Appeals District, Place 6",0841,0,2,2,0,0.00%,0,2,2
"Justice, 1st Court of Appeals District, Place 6",0842,988,715,1703,3091,55.10%,726,897,1623
"Justice, 1st Court of Appeals District, Place 6",0843,0,2,2,0,0.00%,0,2,2
"Justice, 1st Court of Appeals District, Place 6",0844,2,4,6,1,3,46.1,5%,1,4,5
"Justice, 1st Court of Appeals District, Place 6",0845,85,10,95,100,95.00%,53,35,88
"Justice, 1st Court of Appeals District, Place 6",0846,70,29,99,210,47.14%,5,91,96
"Justice, 1st Court of Appeals District, Place 6",0847,795,321,1116,1804,61.86%,291,779,1070
"Justice, 1st Court of Appeals District, Place 6",0848,782,431,1213,1873,64.76%,372,785,1157
"Justice, 1st Court of Appeals District, Place 6",0849,553,514,1067,2073,51.47%,340,656,996
"Justice, 1st Court of Appeals District, Place 6",0850,87,38,125,205,60.98%,52,68,120
"Justice, 1st Court of Appeals District, Place 6",0851,2192,816,3008,4317,69.68%,1915,948,2863
"Justice, 1st Court of Appeals District, Place 6",0852,0,4,4,2,200.00%,0,4,4
"Justice, 1st Court of Appeals District, Place 6",0853,1413,605,2018,2773,72.77%,1538,382,1920
"Justice, 1st Court of Appeals District, Place 6",0854,41,30,71,175,40.57%,5,64,69
"Justice, 1st Court of Appeals District, Place 6",0855,4,13,17,18,94.44%,9,8,17
"Justice, 1st Court of Appeals District, Place 6",0856,0,4,4,0,0.00%,1,2,3
"Justice, 1st Court of Appeals District, Place 6",0857,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0858,132,18,150,372,40.32%,4,141,145
"Justice, 1st Court of Appeals District, Place 6",0859,309,201,510,860,59.30%,103,397,500
"Justice, 1st Court of Appeals District, Place 6",0860,0,1,1,0,0.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 6",0861,705,319,1024,1786,57.33%,179,819,998
"Justice, 1st Court of Appeals District, Place 6",0862,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0863,210,69,279,620,45.00%,13,260,273
"Justice, 1st Court of Appeals District, Place 6",0864,497,609,1106,2464,44.89%,275,771,1046
"Justice, 1st Court of Appeals District, Place 6",0865,9,2,11,23,47.83%,0,11,11
"Justice, 1st Court of Appeals District, Place 6",0866,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0867,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0868,573,586,1159,2292,50.57%,343,754,1097
"Justice, 1st Court of Appeals District, Place 6",0869,153,76,229,473,48.41%,33,186,219
"Justice, 1st Court of Appeals District, Place 6",0870,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0871,3,0,3,4,75.00%,0,3,3
"Justice, 1st Court of Appeals District, Place 6",0872,13,5,18,66,27.27%,7,9,16
"Justice, 1st Court of Appeals District, Place 6",0873,253,125,378,701,53.92%,90,281,371
"Justice, 1st Court of Appeals District, Place 6",0874,1534,748,2282,3107,73.45%,1719,462,2181
"Justice, 1st Court of Appeals District, Place 6",0875,1719,927,2646,4031,65.64%,1246,1294,2540
"Justice, 1st Court of Appeals District, Place 6",0876,1629,639,2268,3013,75.27%,1625,557,2182
"Justice, 1st Court of Appeals District, Place 6",0877,1031,542,1673,2480,67.46%,699,926,1625
"Justice, 1st Court of Appeals District, Place 6",0878,853,350,1203,1641,73.31%,986,157,1143
"Justice, 1st Court of Appeals District, Place 6",0879,890,527,1417,2334,60.71%,636,727,1363
"Justice, 1st Court of Appeals District, Place 6",0880,1068,472,1540,2007,76.73%,1166,299,1465
"Justice, 1st Court of Appeals District, Place 6",0881,1510,877,2387,3619,65.96%,743,1558,2301
"Justice, 1st Court of Appeals District, Place 6",0882,940,457,1397,2328,60.01%,765,571,1336
"Justice, 1st Court of Appeals District, Place 6",0883,1918,1042,2960,4651,63.64%,517,2356,2873
"Justice, 1st Court of Appeals District, Place 6",0884,118,37,155,330,46.97%,20,130,150
"Justice, 1st Court of Appeals District, Place 6",0885,1222,541,1763,2466,71.49%,1028,648,1676
"Justice, 1st Court of Appeals District, Place 6",0886,301,154,455,713,63.81%,239,170,409
"Justice, 1st Court of Appeals District, Place 6",0887,138,83,221,313,70.61%,123,75,198
"Justice, 1st Court of Appeals District, Place 6",0888,0,0,0,0,0.00%,0,0,0
