Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Harvey Brown,DEM Chuck Silverman,Totals
"Justice, 1st Court of Appeals District, Place 6",0276,1139,404,1543,2532,60.94%,13,1492,1505
"Justice, 1st Court of Appeals District, Place 6",0277,342,305,647,1473,43.92%,277,348,625
"Justice, 1st Court of Appeals District, Place 6",0278,756,607,1363,2405,56.67%,705,577,1282
"Justice, 1st Court of Appeals District, Place 6",0279,548,383,931,1899,49.03%,544,338,882
"Justice, 1st Court of Appeals District, Place 6",0280,303,360,663,1515,43.76%,223,396,619
"Justice, 1st Court of Appeals District, Place 6",0281,1087,903,1990,2610,76.25%,989,805,1794
"Justice, 1st Court of Appeals District, Place 6",0282,690,591,1281,1988,64.44%,748,463,1211
"Justice, 1st Court of Appeals District, Place 6",0283,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0284,1136,595,1731,3262,53.07%,648,995,1643
"Justice, 1st Court of Appeals District, Place 6",0285,988,509,1497,2505,59.76%,106,1335,1441
"Justice, 1st Court of Appeals District, Place 6",0286,2658,1053,3711,5719,64.89%,319,3237,3556
"Justice, 1st Court of Appeals District, Place 6",0287,647,542,1189,1616,73.58%,618,490,1108
"Justice, 1st Court of Appeals District, Place 6",0288,1036,380,1416,2259,62.68%,26,1344,1370
"Justice, 1st Court of Appeals District, Place 6",0289,374,397,771,1510,51.06%,303,413,716
"Justice, 1st Court of Appeals District, Place 6",0290,577,429,1006,1567,64.20%,754,217,971
"Justice, 1st Court of Appeals District, Place 6",0291,541,298,839,1203,69.74%,397,386,783
"Justice, 1st Court of Appeals District, Place 6",0292,478,236,714,1272,56.13%,91,596,687
"Justice, 1st Court of Appeals District, Place 6",0293,620,557,1177,1733,67.92%,526,561,1087
"Justice, 1st Court of Appeals District, Place 6",0294,989,298,1287,2107,61.08%,10,1235,1245
