Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bruce Bain,DEM Mike Miller,Totals
"District Judge, 11th Judicial District",0683,48,50,98,261,37.55%,23,68,91
"District Judge, 11th Judicial District",0684,72,24,96,187,51.34%,57,32,89
"District Judge, 11th Judicial District",0685,167,29,196,326,60.12%,85,97,182
"District Judge, 11th Judicial District",0686,46,34,80,196,40.82%,17,58,75
"District Judge, 11th Judicial District",0687,1084,641,1725,2497,69.08%,1116,491,1607
"District Judge, 11th Judicial District",0688,1815,673,2488,3266,76.18%,1930,431,2361
"District Judge, 11th Judicial District",0689,505,651,1156,2276,50.79%,513,546,1059
"District Judge, 11th Judicial District",0690,1965,1116,3081,4184,73.64%,2355,587,2942
"District Judge, 11th Judicial District",0691,10,2,12,34,35.29%,5,7,12
"District Judge, 11th Judicial District",0692,999,717,1716,2626,65.35%,1213,417,1630
"District Judge, 11th Judicial District",0693,303,116,419,651,64.36%,99,283,382
"District Judge, 11th Judicial District",0694,420,137,557,817,68.18%,349,179,528
"District Judge, 11th Judicial District",0695,454,320,774,1646,47.02%,467,267,734
"District Judge, 11th Judicial District",0696,600,373,973,2098,46.38%,566,361,927
"District Judge, 11th Judicial District",0697,1516,941,2457,4307,57.05%,536,1824,2360
"District Judge, 11th Judicial District",0698,1137,659,1796,2948,60.92%,165,1562,1727
"District Judge, 11th Judicial District",0699,1031,566,1597,2288,69.80%,984,471,1455
"District Judge, 11th Judicial District",0700,531,287,818,1313,62.30%,631,142,773
"District Judge, 11th Judicial District",0701,142,115,257,554,46.39%,124,119,243
"District Judge, 11th Judicial District",0702,150,123,273,549,49.73%,28,231,259
"District Judge, 11th Judicial District",0703,742,616,1358,1845,73.60%,930,326,1256
"District Judge, 11th Judicial District",0704,1334,701,2035,2882,70.61%,1591,337,1928
"District Judge, 11th Judicial District",0705,358,238,596,1520,39.21%,56,518,574
"District Judge, 11th Judicial District",0706,222,135,357,529,67.49%,167,181,348
"District Judge, 11th Judicial District",0707,284,1,36,420,707,59.41%,234,1,60,394
"District Judge, 11th Judicial District",0708,109,95,204,568,35.92%,97,96,193
"District Judge, 11th Judicial District",0709,2996,1297,4293,6239,68.81%,2487,1623,4110
"District Judge, 11th Judicial District",0710,877,602,1479,2023,73.11%,807,553,1360
"District Judge, 11th Judicial District",0711,1492,701,2193,3351,65.44%,1244,806,2050
"District Judge, 11th Judicial District",0712,1200,858,2058,3348,61.47%,810,1182,1992
"District Judge, 11th Judicial District",0713,665,436,1101,1827,60.26%,558,489,1047
"District Judge, 11th Judicial District",0714,77,3,80,304,26.32%,51,23,74
"District Judge, 11th Judicial District",0715,405,326,731,1380,52.97%,350,340,690
"District Judge, 11th Judicial District",0716,977,522,1599,2670,59.89%,1085,443,1528
"District Judge, 11th Judicial District",0717,826,362,1188,1927,61.65%,147,989,1136
"District Judge, 11th Judicial District",0718,1844,1019,2863,4050,70.69%,1822,824,2646
"District Judge, 11th Judicial District",0719,508,260,768,1617,47.50%,406,311,717
"District Judge, 11th Judicial District",0720,1575,1044,2619,3903,67.10%,1832,680,2512
"District Judge, 11th Judicial District",0721,1334,637,1971,2842,69.35%,1264,571,1835
"District Judge, 11th Judicial District",0722,1892,542,2534,4357,58.16%,142,2287,2429
"District Judge, 11th Judicial District",0723,747,329,1076,1760,61.14%,219,806,1025
"District Judge, 11th Judicial District",0724,325,170,495,716,69.13%,325,144,469
"District Judge, 11th Judicial District",0725,953,329,1282,2124,60.36%,501,707,1208
"District Judge, 11th Judicial District",0726,1141,304,1445,1987,72.72%,1228,155,1383
"District Judge, 11th Judicial District",0727,931,466,1397,2488,56.15%,333,1006,1339
"District Judge, 11th Judicial District",0728,343,208,551,881,62.54%,292,219,511
"District Judge, 11th Judicial District",0729,208,93,301,446,67.49%,171,114,285
"District Judge, 11th Judicial District",0730,800,437,1237,1630,75.89%,786,360,1146
"District Judge, 11th Judicial District",0731,121,36,157,373,42.09%,27,117,144
"District Judge, 11th Judicial District",0732,701,543,1244,1895,65.65%,719,441,1160
"District Judge, 11th Judicial District",0733,25,62,87,172,50.58%,27,52,79
"District Judge, 11th Judicial District",0734,3209,1114,4323,5952,72.63%,2837,1329,4166
"District Judge, 11th Judicial District",0735,9,0,9,23,39.13%,9,0,9
"District Judge, 11th Judicial District",0736,6,1,7,21,33.33%,0,6,6
"District Judge, 11th Judicial District",0737,25,5,30,53,56.60%,24,6,30
"District Judge, 11th Judicial District",0738,470,219,689,1294,53.25%,76,595,671
"District Judge, 11th Judicial District",0739,1005,490,1495,2872,52.05%,641,797,1438
"District Judge, 11th Judicial District",0740,233,205,438,935,46.84%,225,195,420
"District Judge, 11th Judicial District",0741,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0742,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0743,27,4,31,199,15.58%,14,15,29
"District Judge, 11th Judicial District",0744,848,509,1357,2024,67.05%,847,428,1275
"District Judge, 11th Judicial District",0745,1066,542,1608,2396,67.11%,988,521,1509
"District Judge, 11th Judicial District",0746,230,151,381,707,53.89%,174,173,347
"District Judge, 11th Judicial District",0747,1200,873,2073,3490,59.40%,939,1045,1984
"District Judge, 11th Judicial District",0748,420,307,727,1319,55.12%,312,373,685
"District Judge, 11th Judicial District",0749,99,57,156,359,43.45%,28,115,143
"District Judge, 11th Judicial District",0750,264,147,411,720,57.08%,226,163,389
"District Judge, 11th Judicial District",0751,1664,1254,2918,4451,65.56%,1892,885,2777
"District Judge, 11th Judicial District",0752,571,277,848,1511,56.12%,574,224,798
"District Judge, 11th Judicial District",0753,106,61,167,260,64.23%,108,55,163
"District Judge, 11th Judicial District",0754,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0755,1048,896,1944,3569,54.47%,700,1138,1838
"District Judge, 11th Judicial District",0756,582,300,882,1539,57.31%,290,548,838
"District Judge, 11th Judicial District",0757,1416,690,2106,3498,60.21%,319,1714,2033
"District Judge, 11th Judicial District",0758,1996,783,2779,3781,73.50%,2153,454,2607
"District Judge, 11th Judicial District",0759,1109,590,1699,2625,64.72%,988,605,1593
"District Judge, 11th Judicial District",0760,2346,647,2993,4154,72.05%,2407,422,2829
"District Judge, 11th Judicial District",0761,917,219,1136,1464,77.60%,778,277,1055
"District Judge, 11th Judicial District",0762,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0763,255,308,563,1184,47.55%,185,345,530
"District Judge, 11th Judicial District",0764,2270,1050,3320,4931,67.33%,2031,1138,3169
"District Judge, 11th Judicial District",0765,1390,815,2205,3967,55.58%,735,1366,2101
"District Judge, 11th Judicial District",0766,71,92,163,383,42.56%,36,110,146
"District Judge, 11th Judicial District",0767,20,15,35,90,38.89%,22,10,32
"District Judge, 11th Judicial District",0768,2854,1159,4013,5364,74.81%,3090,750,3840
"District Judge, 11th Judicial District",0769,117,5,122,161,75.78%,4,114,118
"District Judge, 11th Judicial District",0770,58,48,106,262,40.46%,43,58,101
"District Judge, 11th Judicial District",0771,701,537,1238,2378,52.06%,595,573,1168
"District Judge, 11th Judicial District",0772,2927,1002,3929,5617,69.95%,2854,896,3750
"District Judge, 11th Judicial District",0773,892,550,1442,2648,54.46%,338,1019,1357
"District Judge, 11th Judicial District",0774,116,74,190,301,63.12%,41,143,184
"District Judge, 11th Judicial District",0775,33,1,34,83,40.96%,0,33,33
"District Judge, 11th Judicial District",0776,1113,741,1854,2855,64.94%,1040,727,1767
"District Judge, 11th Judicial District",0777,83,123,206,642,32.09%,54,144,198
"District Judge, 11th Judicial District",0778,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0779,295,221,516,1146,45.03%,153,324,477
"District Judge, 11th Judicial District",0780,136,114,250,579,43.18%,105,127,232
"District Judge, 11th Judicial District",0781,1152,655,1807,3716,48.63%,636,992,1628
"District Judge, 11th Judicial District",0782,851,532,1383,2188,63.21%,807,489,1296
"District Judge, 11th Judicial District",0783,103,43,146,265,55.09%,76,59,135
"District Judge, 11th Judicial District",0784,428,156,584,1071,54.53%,6,560,566
"District Judge, 11th Judicial District",0785,66,55,121,310,39.03%,61,58,119
"District Judge, 11th Judicial District",0786,193,277,470,1297,36.24%,135,311,446
"District Judge, 11th Judicial District",0787,154,76,230,487,47.23%,71,141,212
"District Judge, 11th Judicial District",0788,156,58,214,481,44.49%,67,136,203
"District Judge, 11th Judicial District",0789,3,1,4,4,100.00%,0,3,3
"District Judge, 11th Judicial District",0790,1,0,1,4,25.00%,0,1,1
"District Judge, 11th Judicial District",0791,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0792,549,409,958,1834,52.24%,206,698,904
"District Judge, 11th Judicial District",0793,889,338,1227,2437,50.35%,668,503,1171
"District Judge, 11th Judicial District",0794,575,484,1059,2602,40.70%,71,951,1022
"District Judge, 11th Judicial District",0795,265,255,520,1207,43.08%,151,320,471
"District Judge, 11th Judicial District",0796,145,92,237,485,48.87%,113,110,223
"District Judge, 11th Judicial District",0797,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0798,176,263,439,496,88.51%,124,272,396
"District Judge, 11th Judicial District",0799,65,12,77,146,52.74%,16,58,74
"District Judge, 11th Judicial District",0800,1188,795,1983,2817,70.39%,1291,587,1878
"District Judge, 11th Judicial District",0801,68,55,123,253,48.62%,39,75,114
"District Judge, 11th Judicial District",0802,98,58,156,299,52.17%,30,113,143
"District Judge, 11th Judicial District",0803,1305,530,1935,2718,71.19%,1391,450,1841
"District Judge, 11th Judicial District",0804,1806,960,2766,4348,63.62%,1614,1009,2623
"District Judge, 11th Judicial District",0805,1509,529,2038,2812,72.48%,1583,347,1930
"District Judge, 11th Judicial District",0806,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0807,652,402,1054,2001,52.67%,157,851,1008
"District Judge, 11th Judicial District",0808,41,26,67,84,79.76%,28,30,58
"District Judge, 11th Judicial District",0809,216,27,86,31.40%,8,16,24
"District Judge, 11th Judicial District",0810,30,48,78,215,36.28%,17,53,70
"District Judge, 11th Judicial District",0811,39,106,145,271,53.51%,31,106,137
"District Judge, 11th Judicial District",0812,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0813,1967,1258,3225,5423,59.47%,1511,1591,3102
"District Judge, 11th Judicial District",0814,1772,955,2727,4503,60.56%,589,2018,2607
"District Judge, 11th Judicial District",0815,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0816,20,13,33,76,43.42%,6,26,32
"District Judge, 11th Judicial District",0817,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0818,134,101,235,527,44.59%,44,185,229
"District Judge, 11th Judicial District",0819,97,45,142,238,59.66%,79,45,124
"District Judge, 11th Judicial District",0820,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0821,354,203,557,1206,46.19%,46,487,533
"District Judge, 11th Judicial District",0822,584,282,866,1544,56.09%,22,821,843
"District Judge, 11th Judicial District",0823,1849,1015,2864,4710,60.81%,1446,1275,2721
"District Judge, 11th Judicial District",0824,984,471,1455,2729,53.32%,308,1091,1399
"District Judge, 11th Judicial District",0825,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0826,153,89,242,342,70.76%,129,98,227
"District Judge, 11th Judicial District",0827,169,186,355,997,35.61%,120,217,337
"District Judge, 11th Judicial District",0828,1074,343,1417,1875,75.57%,1105,228,1333
"District Judge, 11th Judicial District",0829,107,56,163,266,61.28%,34,126,160
"District Judge, 11th Judicial District",0830,0,0,0,1,0.00%,0,0,0
"District Judge, 11th Judicial District",0831,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0832,109,46,155,351,44.16%,42,104,146
"District Judge, 11th Judicial District",0833,8,1,9,20,45.00%,0,9,9
"District Judge, 11th Judicial District",0834,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0835,87,53,140,292,47.95%,37,97,134
"District Judge, 11th Judicial District",0836,8,3,11,19,57.89%,1,8,9
"District Judge, 11th Judicial District",0837,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0838,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0839,353,240,593,1122,52.85%,108,448,556
"District Judge, 11th Judicial District",0840,712,251,963,1621,59.41%,303,621,924
"District Judge, 11th Judicial District",0841,0,2,2,0,0.00%,0,2,2
"District Judge, 11th Judicial District",0842,987,715,1702,3091,55.06%,721,900,1621
"District Judge, 11th Judicial District",0843,0,2,2,0,0.00%,0,2,2
"District Judge, 11th Judicial District",0844,2,4,6,1,3,46.1,5%,1,4,5
"District Judge, 11th Judicial District",0845,85,10,95,100,95.00%,53,35,88
"District Judge, 11th Judicial District",0846,70,29,99,210,47.14%,6,91,97
"District Judge, 11th Judicial District",0847,795,321,1116,1804,61.86%,286,780,1066
"District Judge, 11th Judicial District",0848,782,431,1213,1873,64.76%,367,789,1156
"District Judge, 11th Judicial District",0849,553,514,1067,2073,51.47%,332,664,996
"District Judge, 11th Judicial District",0850,87,38,125,205,60.98%,49,71,120
"District Judge, 11th Judicial District",0851,2192,816,3008,4317,69.68%,1898,962,2860
"District Judge, 11th Judicial District",0852,0,4,4,2,200.00%,0,4,4
"District Judge, 11th Judicial District",0853,1412,605,2017,2773,72.74%,1499,411,1910
"District Judge, 11th Judicial District",0854,41,30,71,175,40.57%,4,65,69
"District Judge, 11th Judicial District",0855,4,13,17,18,94.44%,9,8,17
"District Judge, 11th Judicial District",0856,0,4,4,0,0.00%,1,2,3
"District Judge, 11th Judicial District",0857,0,0,0,1,0.00%,0,0,0
"District Judge, 11th Judicial District",0858,132,18,150,372,40.32%,4,141,145
"District Judge, 11th Judicial District",0859,309,201,510,860,59.30%,99,398,497
"District Judge, 11th Judicial District",0860,0,1,1,0,0.00%,1,0,1
"District Judge, 11th Judicial District",0861,705,319,1024,1786,57.33%,176,819,995
"District Judge, 11th Judicial District",0862,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0863,210,69,279,620,45.00%,9,262,271
"District Judge, 11th Judicial District",0864,497,609,1106,2464,44.89%,255,784,1039
"District Judge, 11th Judicial District",0865,9,2,11,23,47.83%,0,11,11
"District Judge, 11th Judicial District",0866,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0867,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0868,573,586,1159,2292,50.57%,334,764,1098
"District Judge, 11th Judicial District",0869,153,76,229,473,48.41%,30,188,218
"District Judge, 11th Judicial District",0870,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0871,3,0,3,4,75.00%,0,3,3
"District Judge, 11th Judicial District",0872,13,5,18,66,27.27%,8,8,16
"District Judge, 11th Judicial District",0873,253,125,378,701,53.92%,88,284,372
"District Judge, 11th Judicial District",0874,1534,748,2282,3107,73.45%,1690,480,2170
"District Judge, 11th Judicial District",0875,1719,927,2646,4031,65.64%,1233,1300,2533
"District Judge, 11th Judicial District",0876,1629,639,2268,3013,75.27%,1611,560,2171
"District Judge, 11th Judicial District",0877,1030,642,1672,2480,67.42%,682,940,1622
"District Judge, 11th Judicial District",0878,853,350,1203,1641,73.31%,979,166,1145
"District Judge, 11th Judicial District",0879,890,527,1417,2334,60.71%,640,718,1358
"District Judge, 11th Judicial District",0880,1068,472,1540,2007,76.73%,1141,318,1459
"District Judge, 11th Judicial District",0881,1510,877,2387,3619,65.96%,748,1554,2302
"District Judge, 11th Judicial District",0882,940,457,1397,2328,60.01%,751,583,1334
"District Judge, 11th Judicial District",0883,1918,1042,2960,4651,63.64%,501,2370,2871
"District Judge, 11th Judicial District",0884,118,37,155,330,46.97%,21,128,149
"District Judge, 11th Judicial District",0885,1222,541,1763,2466,71.49%,1011,664,1675
"District Judge, 11th Judicial District",0886,301,154,455,713,63.81%,223,188,411
"District Judge, 11th Judicial District",0887,138,83,221,313,70.61%,122,73,195
"District Judge, 11th Judicial District",0888,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0889,22,0,22,61,36.07%,12,9,21
"District Judge, 11th Judicial District",0890,319,118,437,994,43.96%,153,257,410
"District Judge, 11th Judicial District",0891,539,392,931,1413,65.89%,346,516,862
"District Judge, 11th Judicial District",0892,193,130,323,696,46.41%,89,211,300
"District Judge, 11th Judicial District",0893,1,0,1,5,20.00%,0,1,1
"District Judge, 11th Judicial District",0894,0,31,31,0,0.00%,8,20,28
"District Judge, 11th Judicial District",0895,335,325,660,784,84.1,8%,256,340,596
"District Judge, 11th Judicial District",0896,670,303,973,1437,67.71%,365,527,892
"District Judge, 11th Judicial District",0897,742,375,1117,1624,68.78%,601,465,1066
"District Judge, 11th Judicial District",0898,0,0,0,2,0.00%,0,0,0
"District Judge, 11th Judicial District",0899,4,0,4,8,50.00%,1,3,4
"District Judge, 11th Judicial District",0900,5,0,5,12,41.67%,1,3,4
"District Judge, 11th Judicial District",0901,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0902,865,621,1486,2065,71.96%,821,547,1368
"District Judge, 11th Judicial District",0903,10,1,11,41,26.83%,6,4,10
"District Judge, 11th Judicial District",0904,0,1,1,1,100.00%,0,1,1
"District Judge, 11th Judicial District",0905,290,158,458,908,50.44%,162,257,419
"District Judge, 11th Judicial District",0906,12,6,18,26,69.23%,9,8,17
"District Judge, 11th Judicial District",0907,60,43,103,134,76.87%,21,80,101
"District Judge, 11th Judicial District",0908,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0909,5,7,12,19,63.16%,5,6,11
"District Judge, 11th Judicial District",0910,55,34,89,226,39.38%,32,51,83
"District Judge, 11th Judicial District",0911,227,79,306,570,53.68%,192,92,284
"District Judge, 11th Judicial District",0912,675,221,896,1235,72.55%,533,301,834
"District Judge, 11th Judicial District",0913,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0914,169,67,236,221,106.79%,178,44,222
"District Judge, 11th Judicial District",0915,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0916,504,182,786,1045,75.22%,631,120,751
"District Judge, 11th Judicial District",0917,280,137,417,481,86.69%,281,103,384
"District Judge, 11th Judicial District",0918,489,135,624,883,70.67%,462,122,584
"District Judge, 11th Judicial District",0919,0,3,3,3,100.00%,1,2,3
"District Judge, 11th Judicial District",0920,6,0,6,13,46.15%,6,0,6
"District Judge, 11th Judicial District",0921,71,9,80,87,91.95%,61,18,79
"District Judge, 11th Judicial District",0922,0,2,2,0,0.00%,1,1,2
"District Judge, 11th Judicial District",0923,663,87,750,826,90.80%,559,162,721
"District Judge, 11th Judicial District",0924,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0925,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0926,351,1,20,481,621,77.46%,355,100,455
"District Judge, 11th Judicial District",0927,84,74,158,262,60.31%,79,70,149
"District Judge, 11th Judicial District",0928,4,2,6,9,66.67%,0,6,6
"District Judge, 11th Judicial District",0929,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0930,200,77,277,567,48.85%,4,265,269
"District Judge, 11th Judicial District",0931,48,53,101,122,82.79%,46,39,85
"District Judge, 11th Judicial District",0932,0,5,5,0,0.00%,1,4,5
"District Judge, 11th Judicial District",0933,233,1,21,354,566,62.54%,90,248,338
"District Judge, 11th Judicial District",0934,12,1,13,41,31.71%,5,8,13
"District Judge, 11th Judicial District",0935,8,17,25,65,38.46%,11,13,24
"District Judge, 11th Judicial District",0936,12,10,22,70,31.43%,6,13,19
"District Judge, 11th Judicial District",0937,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0938,73,14,87,256,33.98%,24,59,83
"District Judge, 11th Judicial District",0939,1,0,1,1,100.00%,0,1,1
"District Judge, 11th Judicial District",0940,1,0,1,13,7.69%,0,1,1
"District Judge, 11th Judicial District",0941,13,9,22,25,88.00%,20,2,22
"District Judge, 11th Judicial District",0942,68,24,92,159,57.86%,71,15,86
"District Judge, 11th Judicial District",0943,296,63,359,536,66.98%,239,90,329
"District Judge, 11th Judicial District",0944,30,6,36,39,92.31%,28,6,34
"District Judge, 11th Judicial District",0945,4,7,11,16,68.75%,0,9,9
"District Judge, 11th Judicial District",0946,3,3,6,14,42.86%,0,4,4
"District Judge, 11th Judicial District",0947,320,292,612,822,74.45%,300,247,547
"District Judge, 11th Judicial District",0948,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0949,59,37,96,201,47.76%,44,47,91
"District Judge, 11th Judicial District",0950,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0951,79,44,123,218,56.42%,23,95,118
"District Judge, 11th Judicial District",0952,24,16,40,70,57.14%,18,17,35
"District Judge, 11th Judicial District",0953,59,52,111,420,26.43%,8,102,110
"District Judge, 11th Judicial District",0954,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0955,5,20,25,18,138.89%,14,10,24
"District Judge, 11th Judicial District",0956,5,2,7,12,58.33%,4,3,7
"District Judge, 11th Judicial District",0957,261,115,376,551,68.24%,55,308,363
"District Judge, 11th Judicial District",0958,289,266,555,989,56.12%,116,408,524
"District Judge, 11th Judicial District",0959,0,4,4,0,0.00%,0,4,4
"District Judge, 11th Judicial District",0960,362,143,505,586,86.18%,133,356,489
"District Judge, 11th Judicial District",0961,23,11,34,53,64.15%,8,26,34
"District Judge, 11th Judicial District",0962,24,13,37,73,50.68%,7,27,34
"District Judge, 11th Judicial District",0963,129,69,198,353,56.09%,101,83,184
"District Judge, 11th Judicial District",0964,945,447,1392,1571,88.61%,825,511,1336
"District Judge, 11th Judicial District",0965,93,27,120,355,33.80%,76,37,113
"District Judge, 11th Judicial District",0966,305,160,465,1073,43.34%,126,314,440
"District Judge, 11th Judicial District",0967,48,15,63,98,64.29%,26,36,62
"District Judge, 11th Judicial District",0968,243,83,326,517,63.06%,62,254,316
"District Judge, 11th Judicial District",0969,335,82,417,584,71.40%,1,402,403
"District Judge, 11th Judicial District",0970,212,76,288,704,40.91%,29,239,268
"District Judge, 11th Judicial District",0971,27,21,48,129,37.21%,1,47,48
"District Judge, 11th Judicial District",0972,10,7,17,29,58.62%,11,5,16
"District Judge, 11th Judicial District",0973,49,24,73,107,68.22%,39,30,69
"District Judge, 11th Judicial District",0974,100,71,171,299,57.19%,108,55,163
"District Judge, 11th Judicial District",0975,72,41,113,170,66.47%,51,53,104
"District Judge, 11th Judicial District",0976,159,131,290,684,42.40%,161,107,268
"District Judge, 11th Judicial District",0977,104,83,187,535,34.95%,67,109,176
"District Judge, 11th Judicial District",0978,201,102,303,506,59.88%,55,238,293
"District Judge, 11th Judicial District",0979,56,11,26,42.31%,9,2,11
"District Judge, 11th Judicial District",0980,595,356,951,1323,71.88%,672,221,893
"District Judge, 11th Judicial District",0981,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0982,534,218,752,1021,73.65%,576,135,711
"District Judge, 11th Judicial District",0983,41,28,69,165,41.82%,38,27,65
"District Judge, 11th Judicial District",0984,43,49,92,198,46.46%,6,84,90
"District Judge, 11th Judicial District",0985,172,67,239,336,71.13%,110,115,225
"District Judge, 11th Judicial District",0986,129,86,215,404,53.22%,20,181,201
"District Judge, 11th Judicial District",0987,465,191,656,1138,57.64%,45,588,633
"District Judge, 11th Judicial District",0988,44,21,65,111,58.56%,53,9,62
"District Judge, 11th Judicial District",0989,18,8,26,36,72.22%,12,13,25
"District Judge, 11th Judicial District",0990,37,15,52,154,33.77%,14,30,44
"District Judge, 11th Judicial District",0991,0,0,0,1,0.00%,0,0,0
"District Judge, 11th Judicial District",0992,309,202,511,1015,50.34%,278,210,488
"District Judge, 11th Judicial District",0993,272,91,363,551,65.88%,283,57,340
"District Judge, 11th Judicial District",0994,6,5,11,8,137.50%,2,8,10
"District Judge, 11th Judicial District",0995,596,190,786,1269,61.94%,32,724,756
"District Judge, 11th Judicial District",0996,297,125,422,699,60.37%,228,164,392
"District Judge, 11th Judicial District",0997,429,328,757,1439,52.61%,120,614,734
"District Judge, 11th Judicial District",0998,15,9,24,35,68.57%,16,7,23
"District Judge, 11th Judicial District",0999,30,16,46,65,70.77%,36,7,43
"District Judge, 11th Judicial District",1000,105,0,105,458,22.93%,17,81,98
"District Judge, 11th Judicial District",1001,496,294,790,1566,50.45%,149,596,745
"District Judge, 11th Judicial District",1002,464,314,778,1738,44.76%,86,659,745
"District Judge, 11th Judicial District",1003,0,0,0,1,0.00%,0,0,0
"District Judge, 11th Judicial District",1004,224,153,377,656,57.47%,187,143,330
"District Judge, 11th Judicial District",1005,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",1006,3,0,3,5,60.00%,3,0,3
"District Judge, 11th Judicial District",1007,555,295,850,1371,62.00%,199,623,822
"District Judge, 11th Judicial District",1008,86,21,107,150,71.33%,81,20,101
"District Judge, 11th Judicial District",1009,3,1,4,8,50.00%,4,0,4
"District Judge, 11th Judicial District",1010,124,74,198,317,62.46%,28,162,190
"District Judge, 11th Judicial District",1011,12,3,15,29,51.72%,3,9,12
"District Judge, 11th Judicial District",1012,395,318,713,1235,57.73%,188,498,686
"District Judge, 11th Judicial District",1013,8,14,22,60,36.67%,15,7,22
"District Judge, 11th Judicial District",1014,9,7,16,36,44.44%,3,13,16
"District Judge, 11th Judicial District",1015,11,7,18,29,62.07%,4,13,17
"District Judge, 11th Judicial District",1016,591,364,955,1626,58.73%,409,502,911
"District Judge, 11th Judicial District",1017,127,50,177,232,76.29%,44,124,168
"District Judge, 11th Judicial District",1018,209,92,301,468,64.32%,138,152,290
"District Judge, 11th Judicial District",1019,426,4,430,1518,28.33%,14,400,414
"District Judge, 11th Judicial District",1020,0,0,0,1,0.00%,0,0,0
"District Judge, 11th Judicial District",1021,1,0,1,2,50.00%,0,1,1
"District Judge, 11th Judicial District",1022,190,30,220,426,51.64%,169,41,210
"District Judge, 11th Judicial District",1023,894,401,1295,1964,65.94%,821,403,1224
"District Judge, 11th Judicial District",1024,113,77,190,259,73.36%,93,78,171
"District Judge, 11th Judicial District",1025,4,0,4,18,22.22%,1,3,4
"District Judge, 11th Judicial District",1026,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",1027,0,1,1,1,100.00%,0,0,0
"District Judge, 11th Judicial District",1028,0,1,1,0,0.00%,1,0,1
"District Judge, 11th Judicial District",1029,1021,641,1662,1802,92.23%,1262,303,1565
"District Judge, 11th Judicial District",1030,397,105,502,655,76.64%,428,56,484
"District Judge, 11th Judicial District",1031,3,3,6,6,100.00%,5,1,6
"District Judge, 11th Judicial District",1032,59,80,139,241,57.68%,98,33,131
"District Judge, 11th Judicial District",1033,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",1034,0,0,0,1,0.00%,0,0,0
"District Judge, 11th Judicial District",1035,24,13,37,139,26.62%,3,33,36
"District Judge, 11th Judicial District",1036,144,46,190,433,43.88%,144,36,180
"District Judge, 11th Judicial District",1037,27,16,43,73,58.90%,22,14,36
"District Judge, 11th Judicial District",1038,133,43,176,266,66.17%,11,162,173
"District Judge, 11th Judicial District",1039,3,5,8,20,40.00%,2,6,8
"District Judge, 11th Judicial District",1040,192,146,338,607,55.68%,173,144,317
"District Judge, 11th Judicial District",1041,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",1042,227,50,277,498,55.62%,79,193,272
"District Judge, 11th Judicial District",1043,12,2,14,31,45.16%,3,11,14
"District Judge, 11th Judicial District",1044,29,5,34,59,57.63%,8,25,33
"District Judge, 11th Judicial District",1045,611,321,932,1439,64.77%,121,782,903
"District Judge, 11th Judicial District",1046,19,18,37,54,68.52%,5,31,36
