Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bruce Bain,DEM Mike Miller,Totals
"District Judge, 11th Judicial District",0107,412,441,853,1905,44.78%,129,687,816
"District Judge, 11th Judicial District",0108,1193,514,1707,3229,52.86%,865,754,1619
"District Judge, 11th Judicial District",0109,1160,430,1590,2884,55.13%,23,1522,1545
"District Judge, 11th Judicial District",0110,1465,589,2054,2853,71.99%,1207,734,1941
"District Judge, 11th Judicial District",0111,1868,848,2716,3638,74.66%,1952,607,2559
"District Judge, 11th Judicial District",0112,1262,668,1930,2894,66.69%,1320,519,1839
"District Judge, 11th Judicial District",0113,1125,590,1715,2537,67.60%,940,681,1621
"District Judge, 11th Judicial District",0114,1454,546,2000,2650,75.47%,1532,387,1919
"District Judge, 11th Judicial District",0115,598,305,903,1764,51.19%,93,781,874
"District Judge, 11th Judicial District",0116,1626,747,2373,3014,78.73%,1740,502,2242
"District Judge, 11th Judicial District",0117,398,462,860,1878,45.79%,340,467,807
"District Judge, 11th Judicial District",0118,460,148,608,743,81.83%,462,114,576
"District Judge, 11th Judicial District",0119,1924,1265,3189,4892,65.19%,2452,622,3074
"District Judge, 11th Judicial District",0120,1197,632,1829,2986,61.25%,1061,646,1707
"District Judge, 11th Judicial District",0121,193,244,437,679,64.36%,276,139,415
"District Judge, 11th Judicial District",0122,895,349,1244,2199,56.57%,36,1156,1192
"District Judge, 11th Judicial District",0123,440,350,790,1356,58.26%,207,524,731
"District Judge, 11th Judicial District",0124,3522,1281,4803,5952,80.70%,3722,851,4573
"District Judge, 11th Judicial District",0125,896,534,1430,2281,62.69%,804,562,1366
"District Judge, 11th Judicial District",0126,1630,407,2037,2799,72.78%,1709,229,1938
"District Judge, 11th Judicial District",0127,854,182,1036,1703,60.83%,707,283,990
"District Judge, 11th Judicial District",0128,936,736,1672,2257,74.08%,968,536,1504
"District Judge, 11th Judicial District",0129,2294,1449,3743,5495,68.12%,2196,1320,3516
"District Judge, 11th Judicial District",0130,1201,523,1724,2240,76.96%,1216,398,1614
"District Judge, 11th Judicial District",0131,604,374,978,1721,56.83%,218,716,934
"District Judge, 11th Judicial District",0132,1119,397,1516,2449,61.90%,24,1441,1465
"District Judge, 11th Judicial District",0133,1083,940,2023,2605,77.66%,1129,715,1844
"District Judge, 11th Judicial District",0134,419,392,811,1444,56.16%,340,419,759
"District Judge, 11th Judicial District",0135,1424,634,2058,2750,74.84%,1194,699,1893
"District Judge, 11th Judicial District",0136,981,451,1432,2111,67.84%,47,1330,1377
"District Judge, 11th Judicial District",0137,305,193,498,740,67.30%,229,224,453
"District Judge, 11th Judicial District",0138,661,259,920,1749,52.60%,19,863,882
"District Judge, 11th Judicial District",0139,1290,747,2037,2746,74.18%,920,934,1854
"District Judge, 11th Judicial District",0140,1311,683,1994,3104,64.24%,279,1587,1866
"District Judge, 11th Judicial District",0141,181,143,324,872,37.16%,190,112,302
"District Judge, 11th Judicial District",0142,212,171,383,870,44.02%,90,268,358
"District Judge, 11th Judicial District",0143,2993,660,3653,4598,79.45%,2508,992,3500
"District Judge, 11th Judicial District",0144,476,204,680,1143,59.49%,8,652,660
"District Judge, 11th Judicial District",0145,663,245,908,1580,57.47%,14,876,890
"District Judge, 11th Judicial District",0146,759,614,1373,1953,70.30%,568,701,1269
"District Judge, 11th Judicial District",0147,1255,485,1740,2813,61.86%,194,1501,1695
"District Judge, 11th Judicial District",0148,908,924,1832,2467,74.26%,694,974,1668
"District Judge, 11th Judicial District",0149,2859,1322,4181,6103,68.51%,1816,2185,4001
"District Judge, 11th Judicial District",0150,539,207,746,1212,61.55%,17,711,728
"District Judge, 11th Judicial District",0151,316,148,464,846,54.85%,19,421,440
"District Judge, 11th Judicial District",0152,483,602,1085,2701,40.17%,222,803,1025
"District Judge, 11th Judicial District",0153,328,437,765,1755,43.59%,183,527,710
"District Judge, 11th Judicial District",0154,593,360,953,2133,44.68%,197,656,853
"District Judge, 11th Judicial District",0155,1957,834,2791,4087,68.29%,1840,802,2642
"District Judge, 11th Judicial District",0156,1427,457,1884,3134,60.11%,42,1764,1806
"District Judge, 11th Judicial District",0157,881,382,1263,2311,54.65%,37,1192,1229
"District Judge, 11th Judicial District",0158,1304,435,1739,3016,57.66%,23,1675,1698
"District Judge, 11th Judicial District",0159,313,187,500,976,51.23%,61,416,477
"District Judge, 11th Judicial District",0160,246,140,386,688,56.10%,11,360,371
"District Judge, 11th Judicial District",0161,395,190,585,1030,56.80%,7,559,566
"District Judge, 11th Judicial District",0162,232,262,494,1249,39.55%,129,316,445
"District Judge, 11th Judicial District",0163,778,635,1413,3054,46.27%,371,878,1249
"District Judge, 11th Judicial District",0164,505,304,809,1434,56.42%,8,780,788
"District Judge, 11th Judicial District",0165,918,557,1475,2284,64.58%,898,489,1387
"District Judge, 11th Judicial District",0166,281,311,592,1016,58.27%,179,370,549
"District Judge, 11th Judicial District",0167,5,2,7,23,30.43%,0,7,7
"District Judge, 11th Judicial District",0168,188,126,314,519,60.50%,5,295,300
"District Judge, 11th Judicial District",0169,1059,433,1492,2531,58.95%,19,1438,1457
"District Judge, 11th Judicial District",0170,481,353,834,1887,44.20%,394,377,771
"District Judge, 11th Judicial District",0171,514,294,808,1613,50.09%,28,749,777
"District Judge, 11th Judicial District",0172,161,147,308,600,51.33%,95,185,280
"District Judge, 11th Judicial District",0173,1798,619,2417,3105,77.84%,1826,477,2303
"District Judge, 11th Judicial District",0174,1554,767,2321,3159,73.47%,1508,642,2150
"District Judge, 11th Judicial District",0175,1064,867,1931,2506,77.06%,929,834,1763
"District Judge, 11th Judicial District",0176,626,530,1156,1581,73.12%,561,488,1049
"District Judge, 11th Judicial District",0177,672,385,1057,1478,71.52%,600,388,988
"District Judge, 11th Judicial District",0178,913,368,1281,1718,74.56%,775,397,1172
"District Judge, 11th Judicial District",0179,449,321,770,1508,51.06%,337,384,721
"District Judge, 11th Judicial District",0180,966,552,1518,2795,54.31%,31,1416,1447
"District Judge, 11th Judicial District",0181,416,514,930,1968,47.26%,259,609,868
"District Judge, 11th Judicial District",0182,1321,1081,2402,3289,73.03%,1348,813,2161
"District Judge, 11th Judicial District",0183,970,943,1913,2451,78.05%,1160,592,1752
"District Judge, 11th Judicial District",0184,214,256,470,969,48.50%,127,304,431
"District Judge, 11th Judicial District",0185,592,494,1086,1910,56.86%,333,680,1013
"District Judge, 11th Judicial District",0186,204,1,70,374,795,47.04%,44,303,347
"District Judge, 11th Judicial District",0187,48,65,113,309,36.57%,26,82,108
"District Judge, 11th Judicial District",0188,307,378,685,1616,42.39%,234,416,650
"District Judge, 11th Judicial District",0189,492,473,965,1453,66.41%,492,381,873
"District Judge, 11th Judicial District",0190,275,401,676,1720,39.30%,226,405,631
"District Judge, 11th Judicial District",0191,196,313,509,1391,36.59%,158,325,483
"District Judge, 11th Judicial District",0192,746,332,1078,2045,52.71%,33,1007,1040
"District Judge, 11th Judicial District",0193,341,269,610,1050,58.10%,10,580,590
"District Judge, 11th Judicial District",0194,704,504,1208,1735,69.63%,337,782,1119
"District Judge, 11th Judicial District",0195,539,419,958,1721,55.67%,24,899,923
"District Judge, 11th Judicial District",0196,121,55,176,323,54.49%,7,162,169
"District Judge, 11th Judicial District",0197,1109,497,1606,2895,55.47%,29,1526,1555
"District Judge, 11th Judicial District",0198,143,158,301,657,45.81%,6,284,290
"District Judge, 11th Judicial District",0199,1407,773,2180,3159,69.01%,1582,486,2068
"District Judge, 11th Judicial District",0200,1638,585,2223,3222,68.99%,966,1068,2034
"District Judge, 11th Judicial District",0201,229,125,354,728,48.63%,12,333,345
"District Judge, 11th Judicial District",0202,488,332,820,1479,55.44%,13,771,784
"District Judge, 11th Judicial District",0203,266,156,422,900,46.89%,81,317,398
"District Judge, 11th Judicial District",0204,1489,914,2403,3462,69.41%,1310,919,2229
"District Judge, 11th Judicial District",0205,856,201,1057,1667,63.41%,22,1006,1028
"District Judge, 11th Judicial District",0206,651,659,1310,2662,49.21%,381,838,1219
"District Judge, 11th Judicial District",0207,409,310,719,1144,62.85%,230,421,651
"District Judge, 11th Judicial District",0208,806,364,1170,2201,53.16%,277,815,1092
"District Judge, 11th Judicial District",0209,0,4,4,0,0.00%,4,0,4
"District Judge, 11th Judicial District",0210,1013,542,1555,2300,67.61%,164,1310,1474
"District Judge, 11th Judicial District",0211,710,686,1396,2797,49.91%,449,838,1287
"District Judge, 11th Judicial District",0212,218,314,532,1266,42.02%,89,413,502
"District Judge, 11th Judicial District",0213,1603,939,2542,3308,76.84%,1835,540,2375
"District Judge, 11th Judicial District",0214,798,544,1342,1795,74.76%,787,439,1226
"District Judge, 11th Judicial District",0215,844,786,1630,2168,75.18%,917,585,1502
"District Judge, 11th Judicial District",0216,784,320,1104,1917,57.59%,72,989,1061
"District Judge, 11th Judicial District",0217,1396,651,2047,2637,77.63%,1192,700,1892
"District Judge, 11th Judicial District",0218,690,608,1298,2274,57.08%,356,835,1191
"District Judge, 11th Judicial District",0219,1117,587,1704,2654,64.20%,125,1485,1610
"District Judge, 11th Judicial District",0220,711,353,1064,2360,45.08%,704,300,1004
"District Judge, 11th Judicial District",0221,699,611,1310,2489,52.63%,506,695,1201
"District Judge, 11th Judicial District",0222,1000,792,1792,2384,75.17%,737,861,1598
"District Judge, 11th Judicial District",0223,1350,760,2110,3528,59.81%,564,1372,1936
"District Judge, 11th Judicial District",0224,894,649,1543,2259,68.30%,679,732,1411
"District Judge, 11th Judicial District",0225,1109,720,1829,3155,57.97%,763,980,1743
"District Judge, 11th Judicial District",0226,529,545,1074,2393,44.88%,206,774,980
"District Judge, 11th Judicial District",0227,947,451,1398,1767,79.12%,931,363,1294
"District Judge, 11th Judicial District",0228,583,165,748,1073,69.71%,26,698,724
"District Judge, 11th Judicial District",0229,152,207,359,811,44.27%,98,241,339
"District Judge, 11th Judicial District",0230,421,153,574,1096,52.37%,10,540,550
"District Judge, 11th Judicial District",0231,562,471,1033,2219,46.55%,235,739,974
"District Judge, 11th Judicial District",0232,685,546,1231,1696,72.58%,644,483,1127
"District Judge, 11th Judicial District",0233,1826,1063,2889,4132,69.92%,1411,1252,2663
"District Judge, 11th Judicial District",0234,2088,885,2973,3854,77.14%,2098,668,2766
"District Judge, 11th Judicial District",0235,466,242,708,1305,54.25%,19,668,687
"District Judge, 11th Judicial District",0236,779,342,1121,2144,52.29%,24,1048,1072
"District Judge, 11th Judicial District",0237,793,441,1234,2181,56.58%,16,1189,1205
"District Judge, 11th Judicial District",0238,640,422,1062,1901,55.87%,19,1004,1023
"District Judge, 11th Judicial District",0239,765,357,1122,1997,56.18%,26,1063,1089
"District Judge, 11th Judicial District",0240,1157,402,1559,2688,58.00%,18,1492,1510
"District Judge, 11th Judicial District",0241,494,479,973,2296,42.38%,360,557,917
"District Judge, 11th Judicial District",0242,363,323,686,1570,43.69%,345,308,653
"District Judge, 11th Judicial District",0243,254,50,304,452,67.26%,2,293,295
"District Judge, 11th Judicial District",0244,1100,656,1756,2912,60.30%,889,786,1675
"District Judge, 11th Judicial District",0245,2340,1115,3455,5240,65.94%,2255,1061,3316
"District Judge, 11th Judicial District",0246,1584,624,2208,2999,73.62%,1449,650,2099
"District Judge, 11th Judicial District",0247,421,403,824,1607,51.28%,13,789,802
"District Judge, 11th Judicial District",0248,408,405,813,2122,38.31%,178,589,767
"District Judge, 11th Judicial District",0249,1028,481,1509,2676,56.39%,959,474,1433
"District Judge, 11th Judicial District",0250,306,247,553,951,58.15%,10,535,545
"District Judge, 11th Judicial District",0251,809,529,1338,2072,64.58%,53,1234,1287
"District Judge, 11th Judicial District",0252,1111,356,1467,2350,62.43%,17,1408,1425
"District Judge, 11th Judicial District",0253,923,325,1248,2252,55.42%,13,1213,1226
"District Judge, 11th Judicial District",0254,220,282,502,1476,34.01%,118,350,468
"District Judge, 11th Judicial District",0255,995,797,1792,2411,74.33%,769,891,1660
"District Judge, 11th Judicial District",0256,1059,766,1825,3226,56.57%,671,1013,1684
"District Judge, 11th Judicial District",0257,553,571,1124,2403,46.77%,258,814,1072
"District Judge, 11th Judicial District",0258,1577,888,2465,3286,75.02%,1693,570,2263
"District Judge, 11th Judicial District",0259,1210,460,1670,2408,69.35%,25,1606,1631
"District Judge, 11th Judicial District",0260,420,290,710,1187,59.81%,367,304,671
"District Judge, 11th Judicial District",0261,176,133,309,749,41.26%,85,207,292
"District Judge, 11th Judicial District",0262,1470,906,2376,4232,56.14%,1309,893,2202
"District Judge, 11th Judicial District",0263,1785,719,2504,3319,75.44%,1810,577,2387
"District Judge, 11th Judicial District",0264,936,639,1575,2939,53.59%,809,641,1450
"District Judge, 11th Judicial District",0265,1936,674,2610,3617,72.16%,1828,615,2443
"District Judge, 11th Judicial District",0266,552,542,1094,2119,51.63%,473,558,1031
"District Judge, 11th Judicial District",0267,294,305,599,1346,44.50%,254,297,551
"District Judge, 11th Judicial District",0268,931,810,1741,2387,72.94%,988,587,1575
"District Judge, 11th Judicial District",0269,1143,444,1587,1981,80.11%,1145,337,1482
"District Judge, 11th Judicial District",0270,1401,870,2271,3517,64.57%,1207,888,2095
"District Judge, 11th Judicial District",0271,1303,371,1674,2469,67.80%,11,1618,1629
"District Judge, 11th Judicial District",0272,610,484,1094,2112,51.80%,393,641,1034
"District Judge, 11th Judicial District",0273,1139,634,1773,2426,73.08%,1355,319,1674
"District Judge, 11th Judicial District",0274,1049,364,1413,2063,68.49%,878,453,1331
"District Judge, 11th Judicial District",0275,567,410,977,1730,56.47%,155,780,935
"District Judge, 11th Judicial District",0276,1139,404,1543,2532,60.94%,13,1493,1506
"District Judge, 11th Judicial District",0277,342,305,647,1473,43.92%,266,360,626
"District Judge, 11th Judicial District",0278,756,607,1363,2405,56.67%,675,609,1284
"District Judge, 11th Judicial District",0279,548,383,931,1899,49.03%,544,334,878
"District Judge, 11th Judicial District",0280,303,360,663,1515,43.76%,215,402,617
"District Judge, 11th Judicial District",0281,1087,903,1990,2610,76.25%,879,883,1762
"District Judge, 11th Judicial District",0282,690,591,1281,1988,64.44%,710,498,1208
"District Judge, 11th Judicial District",0283,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0284,1135,595,1730,3262,53.03%,622,1023,1645
"District Judge, 11th Judicial District",0285,988,509,1497,2505,59.76%,100,1340,1440
"District Judge, 11th Judicial District",0286,2657,1053,3710,5719,64.87%,303,3240,3543
"District Judge, 11th Judicial District",0287,647,542,1189,1616,73.58%,589,518,1107
"District Judge, 11th Judicial District",0288,1036,380,1416,2259,62.68%,16,1351,1367
"District Judge, 11th Judicial District",0289,374,397,771,1510,51.06%,290,422,712
"District Judge, 11th Judicial District",0290,577,429,1006,1567,64.20%,753,215,968
"District Judge, 11th Judicial District",0291,541,298,839,1203,69.74%,372,412,784
"District Judge, 11th Judicial District",0292,477,236,713,1272,56.05%,86,598,684
"District Judge, 11th Judicial District",0293,620,557,1177,1733,67.92%,505,582,1087
"District Judge, 11th Judicial District",0294,989,298,1287,2107,61.08%,8,1239,1247
"District Judge, 11th Judicial District",0295,314,189,503,862,58.35%,4,486,490
"District Judge, 11th Judicial District",0296,602,432,1034,1693,61.08%,558,380,938
"District Judge, 11th Judicial District",0297,576,445,1021,1978,51.62%,358,587,945
