Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0131,604,374,978,1721,56.83%,240,694,934
District Attorney,0132,1119,397,1516,2449,61.90%,33,1428,1461
District Attorney,0133,1083,940,2023,2605,77.66%,1340,513,1853
District Attorney,0134,419,392,811,1444,56.16%,383,384,767
District Attorney,0135,1424,634,2058,2750,74.84%,1413,504,1917
District Attorney,0136,981,451,1432,2111,67.84%,85,1285,1370
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0137,305,193,498,740,87.30%,292,183,455
District Attorney,0138,881,259,920,1749,52.80%,22,880,882
District Attorney,0139,1290,747,2037,2748,74.18%,1120,738,1858
District Attorney,0140,1311,883,1994,3104,84.24%,328,1541,1889
District Attorney,0141,181,143,324,872,37.18%,202,101,303
District Attorney,0142,212,171,383,870,44.02%,105,252,357
District Attorney,0143,2993,880,3853,4598,79.45%,2599,929,3528
District Attorney,0144,475,204,880,1143,59.49%,11,850,881
District Attorney,0145,883,245,908,1580,57.47%,14,873,887
District Attorney,0148,759,814,1373,1953,70.30%,888,598,1284
District Attorney,0147,1255,485,1740,2813,81.88%,210,1477,1887
District Attorney,0148,908,924,1832,2487,74.28%,975,887,1882
District Attorney,0149,2859,1322,4181,8103,88.51%,1893,2125,4018
District Attorney,0150,539,207,748,1212,81.55%,17,712,729
District Attorney,0151,31,e,148,484,848,54.85%,20,419,439
District Attorney,0152,483,802,1085,2701,40.17%,234,789,1023
District Attorney,0153,328,437,785,1755,43.59%,201,510,711
District Attorney,0154,593,380,953,2133,44.88%,220,839,859
District Attorney,0155,1957,834,2791,4087,88.29%,1928,724,2850
District Attorney,0158,1427,457,1884,3134,80.11%,88,1743,1809
District Attorney,0157,881,382,1283,2311,54.85%,45,1184,1229
District Attorney,0158,1304,435,1739,3018,57.88%,31,1885,1898
District Attorney,0159,313,187,500,978,51.23%,70,410,480
District Attorney,0180,248,140,388,888,58.10%,13,357,370
District Attorney,0181,395,190,585,1030,58.80%,11,553,584
District Attorney,0182,232,282,494,1249,39.55%,141,302,443
District Attorney,0183,778,535,1413,3054,48.27%,411,839,1250
District Attorney,0184,505,304,809,1434,58.42%,14,771,785
District Attorney,0185,918,557,1475,2284,84.58%,975,422,1397
District Attorney,0188,281,311,592,1018,58.27%,210,337,547
District Attorney,0187,5,2,7,23,30.43%,0,7,7
District Attorney,0188,188,128,314,519,80.50%,8,292,298
District Attorney,0189,1059,433,1492,2531,58.95%,28,1432,1458
District Attorney,0170,481,353,834,1887,44.20%,418,382,778
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0171,514,294,808,1613,50.09%,32,744,776
District Attorney,0172,161,147,308,600,51.33%,108,173,281
District Attorney,0173,1798,619,2417,3105,77.84%,1859,442,2301
District Attorney,0174,1554,767,2321,3159,73.47%,1654,539,2193
District Attorney,0175,1064,867,1931,2506,77.06%,1134,640,1774
District Attorney,0176,626,530,1156,1581,73.12%,702,356,1058
District Attorney,0177,672,385,1057,1478,71.52%,675,317,992
District Attorney,0178,913,368,1281,1718,74.56%,922,269,1191
District Attorney,0179,449,321,770,1508,51.06%,366,356,722
District Attorney,0180,966,552,1518,2795,54.31%,47,1402,1449
District Attorney,0181,416,514,930,1968,47.26%,278,591,869
District Attorney,0182,1321,1081,2402,3289,73.03%,1598,598,2196
District Attorney,0183,970,943,1913,2451,78.05%,1398,379,1777
District Attorney,0184,214,256,470,969,48.50%,136,300,436
District Attorney,0185,592,494,1086,1910,56.86%,365,656,1021
District Attorney,0186,204,170,374,795,47.04%,46,302,348
District Attorney,0187,48,65,113,309,36.57%,25,83,108
District Attorney,0188,307,378,685,1616,42.39%,256,401,657
District Attorney,0189,492,473,965,1453,66.41%,560,327,887
District Attorney,0190,275,401,676,1720,39.30%,240,398,638
District Attorney,0191,196,313,509,1391,36.59%,178,307,485
District Attorney,0192,746,332,1078,2045,52.71%,40,1001,1041
District Attorney,0193,341,269,610,1050,58.10%,14,575,589
District Attorney,0194,704,504,1208,1735,69.63%,435,689,1124
District Attorney,0195,539,419,958,1721,55.67%,32,888,920
District Attorney,0196,121,55,176,323,54.49%,9,160,169
District Attorney,0197,1109,497,1606,2895,55.47%,35,1521,1556
District Attorney,0198,143,158,301,657,45.81%,8,281,289
District Attorney,0199,1407,773,2180,3159,69.01%,1669,413,2082
District Attorney,0200,1638,585,2223,3222,68.99%,1151,866,2017
District Attorney,0201,229,125,354,728,48.63%,12,332,344
District Attorney,0202,488,332,820,1479,55.44%,20,766,786
District Attorney,0203,266,156,422,900,46.89%,89,309,398
District Attorney,0204,1489,914,2403,3462,69.41%,1459,775,2234
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0205,856,201,1057,1667,63.41%,26,1004,1030
District Attorney,0206,651,659,1310,2662,49.21%,452,768,1220
District Attorney,0207,409,310,719,1144,62.85%,289,361,650
District Attorney,0208,806,364,1170,2201,53.16%,308,790,1098
District Attorney,0209,0,4,4,0,0.00%,4,0,4
District Attorney,0210,1013,542,1555,2300,67.61%,203,1271,1474
District Attorney,0211,710,686,1396,2797,49.91%,505,796,1301
