Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0825,0,0,0,0,0.00%,0,0,0
District Attorney,0826,153,89,242,342,70.76%,159,67,226
District Attorney,0827,169,186,355,997,35.61%,138,200,338
District Attorney,0828,1074,343,1417,1875,75.57%,1159,191,1350
District Attorney,0829,107,56,163,266,61.28%,39,119,158
District Attorney,0830,0,0,0,1,0.00%,0,0,0
District Attorney,0831,0,0,0,0,0.00%,0,0,0
District Attorney,0832,109,46,155,351,44.16%,46,99,145
District Attorney,0833,8,1,9,20,45.00%,0,9,9
District Attorney,0834,0,0,0,0,0.00%,0,0,0
District Attorney,0835,87,53,140,292,47.95%,39,94,133
District Attorney,0836,8,3,11,19,57.89%,1,8,9
District Attorney,0837,0,0,0,0,0.00%,0,0,0
District Attorney,0838,0,0,0,0,0.00%,0,0,0
District Attorney,0839,353,240,593,1122,52.85%,125,432,557
District Attorney,0840,712,251,963,1621,59.41%,327,603,930
District Attorney,0841,0,2,2,0,0.00%,0,2,2
District Attorney,0842,987,715,1702,3091,55.06%,749,874,1623
District Attorney,0843,0,2,2,0,0.00%,0,2,2
District Attorney,0844,2,4,6,1,3,46.1,5%,1,4,5
District Attorney,0845,85,10,95,100,95.00%,57,32,89
District Attorney,0846,70,29,99,210,47.14%,8,88,96
District Attorney,0847,795,321,1116,1804,61.86%,305,765,1070
District Attorney,0848,782,431,1213,1873,64.76%,390,769,1159
District Attorney,0849,553,514,1067,2073,51.47%,353,647,1000
District Attorney,0850,87,38,125,205,60.98%,57,66,123
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0851,2192,816,3008,4317,69.68%,1970,900,2870
District Attorney,0852,0,4,4,2,200.00%,0,4,4
District Attorney,0853,1412,605,2017,2773,72.74%,1550,364,1914
District Attorney,0854,41,30,71,175,40.57%,6,63,69
District Attorney,0855,4,13,17,18,94.44%,9,8,17
District Attorney,0856,0,4,4,0,0.00%,2,1,3
District Attorney,0857,0,0,0,1,0.00%,0,0,0
District Attorney,0858,132,18,150,372,40.32%,4,141,145
District Attorney,0859,309,201,510,860,59.30%,111,391,502
District Attorney,0860,0,1,1,0,0.00%,1,0,1
District Attorney,0861,705,319,1024,1786,57.33%,184,810,994
District Attorney,0862,0,0,0,0,0.00%,0,0,0
District Attorney,0863,210,69,279,620,45.00%,11,261,272
District Attorney,0864,497,609,1106,2464,44.89%,280,765,1045
District Attorney,0865,9,2,11,23,47.83%,0,11,11
District Attorney,0866,0,0,0,0,0.00%,0,0,0
District Attorney,0867,0,0,0,0,0.00%,0,0,0
District Attorney,0868,573,586,1159,2292,50.57%,353,744,1097
District Attorney,0869,153,76,229,473,48.41%,37,185,222
District Attorney,0870,0,0,0,0,0.00%,0,0,0
District Attorney,0871,3,0,3,4,75.00%,0,3,3
District Attorney,0872,13,5,18,66,27.27%,9,8,17
District Attorney,0873,253,125,378,701,53.92%,97,272,369
District Attorney,0874,1534,748,2282,3107,73.45%,1769,419,2188
District Attorney,0875,1719,927,2646,4031,65.64%,1253,1287,2540
District Attorney,0876,1629,639,2268,3013,75.27%,1653,526,2179
District Attorney,0877,1030,542,1672,2480,67.42%,700,918,1618
District Attorney,0878,853,350,1203,1641,73.31%,1007,142,1149
District Attorney,0879,890,527,1417,2334,60.71%,667,692,1359
District Attorney,0880,1068,472,1540,2007,76.73%,1175,286,1461
District Attorney,0881,1510,877,2387,3619,65.96%,759,1539,2298
District Attorney,0882,940,457,1397,2328,60.01%,779,561,1340
District Attorney,0883,1918,1042,2960,4651,63.64%,543,2332,2875
District Attorney,0884,118,37,155,330,46.97%,20,130,150
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0885,1222,541,1763,2466,71.49%,1061,632,1693
District Attorney,0886,301,154,455,713,63.81%,248,164,412
District Attorney,0887,138,83,221,313,70.61%,127,67,194
District Attorney,0888,0,0,0,0,0.00%,0,0,0
District Attorney,0889,22,0,22,61,36.07%,13,8,21
District Attorney,0890,319,118,437,994,43.96%,186,222,408
District Attorney,0891,539,392,931,1413,65.89%,407,458,865
District Attorney,0892,193,130,323,696,46.41%,101,196,297
District Attorney,0893,1,0,1,5,20.00%,0,1,1
District Attorney,0894,0,31,31,0,0.00%,9,19,28
District Attorney,0895,335,325,660,784,84.1,8%,354,238,592
District Attorney,0896,670,303,973,1437,67.71%,482,409,891
District Attorney,0897,742,375,1117,1624,68.78%,612,454,1066
District Attorney,0898,0,0,0,2,0.00%,0,0,0
District Attorney,0899,4,0,4,8,50.00%,1,3,4
District Attorney,0900,5,0,5,12,41.67%,1,3,4
District Attorney,0901,0,0,0,0,0.00%,0,0,0
District Attorney,0902,865,621,1486,2065,71.96%,923,465,1388
District Attorney,0903,10,1,11,41,26.83%,7,3,10
District Attorney,0904,0,1,1,1,100.00%,0,1,1
District Attorney,0905,290,158,458,908,50.44%,185,236,421
District Attorney,0906,12,6,18,26,69.23%,14,4,18
District Attorney,0907,60,43,103,134,76.87%,20,81,101
District Attorney,0908,0,0,0,0,0.00%,0,0,0
District Attorney,0909,5,7,12,19,63.16%,8,3,11
District Attorney,0910,55,34,89,226,39.38%,33,49,82
District Attorney,0911,227,79,306,570,53.68%,204,84,288
District Attorney,0912,675,221,896,1235,72.55%,562,274,836
District Attorney,0913,0,0,0,0,0.00%,0,0,0
District Attorney,0914,169,67,236,221,106.79%,186,36,222
District Attorney,0915,0,0,0,0,0.00%,0,0,0
District Attorney,0916,504,182,786,1045,75.22%,650,104,754
District Attorney,0917,280,137,417,481,86.69%,304,92,396
District Attorney,0918,489,135,624,883,70.67%,505,83,588
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0919,0,3,3,3,100.00%,1,2,3
District Attorney,0920,6,0,6,13,46.15%,6,0,6
District Attorney,0921,71,9,80,87,91.95%,64,15,79
District Attorney,0922,0,2,2,0,0.00%,1,0,1
District Attorney,0923,663,87,750,826,90.80%,576,150,726
District Attorney,0924,0,0,0,0,0.00%,0,0,0
District Attorney,0925,0,0,0,0,0.00%,0,0,0
District Attorney,0926,351,1,20,481,621,77.46%,365,95,460
District Attorney,0927,84,74,158,262,60.31%,79,71,150
District Attorney,0928,4,2,6,9,66.67%,0,6,6
District Attorney,0929,0,0,0,0,0.00%,0,0,0
District Attorney,0930,200,77,277,567,48.85%,4,267,271
District Attorney,0931,48,53,101,122,82.79%,67,23,90
District Attorney,0932,0,5,5,0,0.00%,1,4,5
District Attorney,0933,233,1,21,354,566,62.54%,92,245,337
District Attorney,0934,12,1,13,41,31.71%,6,7,13
District Attorney,0935,8,17,25,65,38.46%,14,10,24
District Attorney,0936,12,10,22,70,31.43%,7,12,19
District Attorney,0937,0,0,0,0,0.00%,0,0,0
District Attorney,0938,73,14,87,256,33.98%,31,54,85
District Attorney,0939,1,0,1,1,100.00%,0,1,1
District Attorney,0940,1,0,1,13,7.69%,0,1,1
District Attorney,0941,13,9,22,25,88.00%,21,1,22
District Attorney,0942,68,24,92,159,57.86%,79,9,88
District Attorney,0943,296,63,359,536,66.98%,267,67,334
District Attorney,0944,30,6,36,39,92.31%,30,3,33
District Attorney,0945,4,7,11,16,68.75%,0,8,8
District Attorney,0946,3,3,6,14,42.86%,0,4,4
District Attorney,0947,320,292,612,822,74.45%,362,184,546
District Attorney,0948,0,0,0,0,0.00%,0,0,0
District Attorney,0949,59,37,96,201,47.76%,45,45,90
District Attorney,0950,0,0,0,0,0.00%,0,0,0
District Attorney,0951,79,44,123,218,56.42%,24,97,121
District Attorney,0952,24,16,40,70,57.14%,23,13,36
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0953,59,52,111,420,28.43%,7,102,109
District Attorney,0954,0,0,0,0,0.00%,0,0,0
District Attorney,0955,5,20,25,18,138.89%,14,10,24
District Attorney,0958,5,2,7,12,58.33%,5,2,7
District Attorney,0957,281,115,378,551,88.24%,81,302,383
District Attorney,0958,289,288,555,989,58.12%,123,403,528
District Attorney,0959,0,4,4,0,0.00%,0,4,4
District Attorney,0980,382,143,505,588,88.18%,142,348,490
District Attorney,0981,23,11,34,53,84.15%,7,27,34
District Attorney,0982,24,13,37,73,50.88%,12,21,33
District Attorney,0983,129,89,198,353,58.09%,111,74,185
District Attorney,0984,945,447,1392,1571,88.81%,852,490,1342
District Attorney,0985,93,27,120,355,33.80%,81,34,115
District Attorney,0988,305,180,485,1073,43.34%,132,307,439
District Attorney,0987,48,15,83,98,84.29%,27,35,82
District Attorney,0988,243,83,328,517,83.08%,88,251,319
District Attorney,0989,335,82,417,584,71.40%,7,395,402
District Attorney,0970,212,78,288,704,40.91%,30,241,271
District Attorney,0971,27,21,48,129,37.21%,1,47,48
District Attorney,0972,10,7,17,29,58.82%,11,5,18
District Attorney,0973,49,24,73,107,88.22%,43,27,70
District Attorney,0974,100,71,171,299,57.19%,118,49,185
District Attorney,0975,72,41,113,170,88.47%,57,48,105
District Attorney,0978,159,131,290,884,42.40%,188,105,273
District Attorney,0977,104,83,187,535,34.95%,71,108,177
District Attorney,0978,201,102,303,508,59.88%,57,238,293
District Attorney,0979,5,e,11,28,42.31%,11,0,11
District Attorney,0980,595,358,951,1323,71.88%,701,199,900
District Attorney,0981,0,0,0,0,0.00%,0,0,0
District Attorney,0982,534,218,752,1021,73.85%,587,129,718
District Attorney,0983,41,28,89,185,41.82%,38,27,85
District Attorney,0984,43,49,92,198,48.48%,8,82,88
District Attorney,0985,172,87,239,338,71.13%,142,85,227
District Attorney,0988,129,88,215,404,53.22%,20,182,202
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0987,465,191,656,1138,57.64%,51,586,637
District Attorney,0988,44,21,65,111,58.56%,53,10,63
District Attorney,0989,18,8,26,36,72.22%,11,14,25
District Attorney,0990,37,15,52,154,33.77%,15,29,44
District Attorney,0991,0,0,0,1,0.00%,0,0,0
District Attorney,0992,309,202,511,1015,50.34%,287,202,489
District Attorney,0993,272,91,363,551,65.88%,289,52,341
District Attorney,0994,6,5,11,8,137.50%,2,8,10
District Attorney,0995,596,190,786,1269,61.94%,39,714,753
District Attorney,0996,297,125,422,699,60.37%,246,154,400
District Attorney,0997,429,328,757,1439,52.61%,126,611,737
District Attorney,0998,15,9,24,35,68.57%,17,6,23
District Attorney,0999,30,16,46,65,70.77%,36,7,43
District Attorney,1000,105,0,105,458,22.93%,17,82,99
District Attorney,1001,496,294,790,1566,50.45%,152,592,744
District Attorney,1002,464,314,778,1738,44.76%,94,648,742
District Attorney,1003,0,0,0,1,0.00%,0,0,0
District Attorney,1,004,224,1,53,377,656,57.47%,206,1,36,342
District Attorney,1005,0,0,0,0,0.00%,0,0,0
District Attorney,1006,3,0,3,5,60.00%,3,0,3
District Attorney,1007,555,295,850,1371,62.00%,209,614,823
District Attorney,1008,86,21,107,150,71.33%,83,18,101
District Attorney,1009,3,1,4,8,50.00%,4,0,4
District Attorney,1010,124,74,198,317,62.46%,30,161,191
District Attorney,1011,12,3,15,29,51.72%,7,6,13
District Attorney,1012,395,318,713,1235,57.73%,201,485,686
District Attorney,1013,8,14,22,60,36.67%,16,6,22
District Attorney,1014,9,7,16,36,44.44%,3,13,16
District Attorney,1015,11,7,18,29,62.07%,4,13,17
District Attorney,1016,591,364,955,1626,58.73%,427,482,909
District Attorney,1017,127,50,177,232,76.29%,50,120,170
District Attorney,1018,209,92,301,468,64.32%,148,144,292
District Attorney,1019,426,4,430,1518,28.33%,17,394,411
District Attorney,1020,0,0,0,1,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,1021,1,0,1,2,50.00%,0,1,1
District Attorney,1022,190,30,220,428,51.84%,175,38,211
District Attorney,1023,894,401,1295,1984,85.94%,848,379,1227
District Attorney,1024,113,77,190,259,73.38%,113,81,174
District Attorney,1025,4,0,4,18,22.22%,1,3,4
District Attorney,1028,0,0,0,0,0.00%,0,0,0
District Attorney,1027,0,1,1,1,100.00%,1,0,1
District Attorney,1028,0,1,1,0,0.00%,1,0,1
District Attorney,1029,1021,841,1882,1802,92.23%,1295,288,1583
District Attorney,1030,397,105,502,855,78.84%,442,43,485
District Attorney,1031,3,3,8,8,100.00%,5,1,8
District Attorney,1032,59,80,139,241,57.88%,104,29,133
District Attorney,1033,0,0,0,0,0.00%,0,0,0
District Attorney,1034,0,0,0,1,0.00%,0,0,0
District Attorney,1035,24,13,37,139,28.82%,4,32,38
District Attorney,1038,144,48,190,433,43.88%,145,38,181
District Attorney,1037,27,18,43,73,58.90%,28,13,39
District Attorney,1038,133,43,178,288,88.17%,12,180,172
District Attorney,1039,3,5,8,20,40.00%,2,8,8
District Attorney,1040,192,148,338,807,55.88%,183,134,317
District Attorney,1041,0,0,0,0,0.00%,0,0,0
District Attorney,1042,227,50,277,498,55.82%,82,189,271
District Attorney,1043,12,2,14,31,45.18%,3,11,14
District Attorney,1044,29,5,34,59,57.83%,10,23,33
District Attorney,1045,811,321,932,1439,84.77%,128,779,905
District Attorney,1048,19,18,37,54,88.52%,5,31,38
District Attorney,1047,583,288,851,1242,88.52%,288,553,819
District Attorney,1048,3,1,4,18,22.22%,2,2,4
District Attorney,1049,57,71,128,288,48.12%,39,84,123
District Attorney,1050,148,153,301,508,59.49%,89,220,289
District Attorney,1051,0,12,12,0,0.00%,10,2,12
District Attorney,1052,0,2,2,0,0.00%,1,0,1
District Attorney,1053,0,0,0,0,0.00%,0,0,0
District Attorney,1054,0,0,0,1,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,1055,0,0,0,0,0.00%,0,0,0
District Attorney,1056,4,0,4,6,66.67%,0,4,4
District Attorney,1057,34,7,41,115,35.65%,1,37,38
District Attorney,1058,540,246,786,1190,66.05%,135,617,752
District Attorney,1059,7,3,10,23,43.48%,0,10,10
District Attorney,1060,13,4,17,49,34.69%,9,8,17
District Attorney,1061,665,300,965,1613,59.83%,535,392,927
District Attorney,1062,59,25,85,168,50.60%,20,61,81
District Attorney,1063,226,63,289,792,36.49%,30,250,280
District Attorney,1064,45,1,46,120,38.33%,34,10,44
District Attorney,Totals:,774640,427100,1201740,1942566,,596502,543239,1139741
