Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra lbarra Mayfield,DEM Erica M. Graham,Totals
"Judge, County Court at Law No. 1, Unexpired Term",0560,172,289,461,1176,39.20%,95,331,426
"Judge, County Court at Law No. 1, Unexpired Term",0561,837,759,1596,3033,52.62%,863,647,1510
"Judge, County Court at Law No. 1, Unexpired Term",0562,201,146,347,645,53.80%,32,300,332
"Judge, County Court at Law No. 1, Unexpired Term",0563,1699,415,2114,2969,71.20%,1599,381,1980
"Judge, County Court at Law No. 1, Unexpired Term",0564,1150,713,1863,3096,60.17%,481,1239,1720
"Judge, County Court at Law No. 1, Unexpired Term",0565,315,194,509,1373,37.07%,89,389,478
"Judge, County Court at Law No. 1, Unexpired Term",0566,1122,478,1600,2950,54.24%,422,1109,1531
"Judge, County Court at Law No. 1, Unexpired Term",0567,672,394,1066,2198,48.50%,278,690,968
"Judge, County Court at Law No. 1, Unexpired Term",0568,1628,837,2465,3487,70.69%,1568,712,2280
"Judge, County Court at Law No. 1, Unexpired Term",0569,1294,865,2159,3249,66.45%,1144,838,1982
"Judge, County Court at Law No. 1, Unexpired Term",0570,525,409,934,1473,63.41%,394,450,844
"Judge, County Court at Law No. 1, Unexpired Term",0571,333,312,645,1758,36.69%,196,400,596
"Judge, County Court at Law No. 1, Unexpired Term",0572,1283,574,1857,2998,61.94%,846,902,1748
"Judge, County Court at Law No. 1, Unexpired Term",0573,577,368,945,1618,58.41%,10,911,921
"Judge, County Court at Law No. 1, Unexpired Term",0574,98,79,177,391,45.27%,19,145,164
"Judge, County Court at Law No. 1, Unexpired Term",0575,27,9,36,79,45.57%,32,3,35
"Judge, County Court at Law No. 1, Unexpired Term",0576,1050,552,1602,2671,59.98%,44,1508,1552
"Judge, County Court at Law No. 1, Unexpired Term",0577,231,113,344,573,60.03%,184,140,324
"Judge, County Court at Law No. 1, Unexpired Term",0578,745,553,1298,1689,76.85%,783,396,1179
"Judge, County Court at Law No. 1, Unexpired Term",0579,487,351,838,1806,46.40%,179,607,786
"Judge, County Court at Law No. 1, Unexpired Term",0580,429,146,575,1027,55.99%,13,549,562
"Judge, County Court at Law No. 1, Unexpired Term",0581,510,162,672,1041,64.55%,18,627,645
"Judge, County Court at Law No. 1, Unexpired Term",0582,614,256,870,1613,53.94%,49,793,842
"Judge, County Court at Law No. 1, Unexpired Term",0583,544,127,671,1248,53.77%,12,643,655
"Judge, County Court at Law No. 1, Unexpired Term",0584,392,139,531,971,54.69%,34,492,526
"Judge, County Court at Law No. 1, Unexpired Term",0585,934,304,1238,2403,51.52%,35,1170,1205
"Judge, County Court at Law No. 1, Unexpired Term",0585,1306,1189,2495,4230,58.98%,1487,898,2385
"Judge, County Court at Law No. 1, Unexpired Term",0587,933,465,1398,2174,64.31%,481,862,1343
"Judge, County Court at Law No. 1, Unexpired Term",0588,1536,871,2407,3468,69.41%,1663,636,2299
"Judge, County Court at Law No. 1, Unexpired Term",0589,1033,738,1771,3130,56.58%,904,785,1689
"Judge, County Court at Law No. 1, Unexpired Term",0590,1158,463,1621,2136,75.89%,1218,313,1531
"Judge, County Court at Law No. 1, Unexpired Term",0591,420,449,869,2114,41.11%,230,581,811
"Judge, County Court at Law No. 1, Unexpired Term",0592,370,288,658,1258,52.31%,154,476,630
"Judge, County Court at Law No. 1, Unexpired Term",0593,1148,999,2147,4059,52.89%,942,1090,2032
"Judge, County Court at Law No. 1, Unexpired Term",0594,1031,535,1566,2361,66.33%,435,1072,1507
"Judge, County Court at Law No. 1, Unexpired Term",0595,497,380,877,1647,53.25%,140,706,846
"Judge, County Court at Law No. 1, Unexpired Term",0596,945,690,1635,2848,57.41%,817,744,1561
"Judge, County Court at Law No. 1, Unexpired Term",0597,1067,719,1786,3267,54.67%,594,1115,1709
"Judge, County Court at Law No. 1, Unexpired Term",0598,335,103,438,724,60.50%,327,84,411
"Judge, County Court at Law No. 1, Unexpired Term",0599,1895,866,2761,4135,66.77%,915,1740,2655
"Judge, County Court at Law No. 1, Unexpired Term",0600,1383,869,2252,3820,58.95%,755,1375,2130
"Judge, County Court at Law No. 1, Unexpired Term",0601,2028,858,2886,3990,72.33%,2126,636,2762
"Judge, County Court at Law No. 1, Unexpired Term",0602,562,296,858,1237,69.36%,576,247,823
"Judge, County Court at Law No. 1, Unexpired Term",0603,1437,1163,2600,3917,66.38%,1523,974,2497
"Judge, County Court at Law No. 1, Unexpired Term",0604,1444,528,1972,2910,67.77%,1581,298,1879
"Judge, County Court at Law No. 1, Unexpired Term",0605,2227,889,3116,5251,59.34%,718,2258,2976
"Judge, County Court at Law No. 1, Unexpired Term",0606,420,122,542,1053,51.47%,5,520,525
"Judge, County Court at Law No. 1, Unexpired Term",0607,194,118,312,731,42.68%,19,277,296
"Judge, County Court at Law No. 1, Unexpired Term",0608,245,290,535,1256,42.60%,197,300,497
"Judge, County Court at Law No. 1, Unexpired Term",0609,1364,844,2208,3261,67.71%,1329,735,2064
"Judge, County Court at Law No. 1, Unexpired Term",0610,403,398,801,1825,43.89%,339,409,748
"Judge, County Court at Law No. 1, Unexpired Term",0611,1120,301,1421,2450,58.00%,38,1348,1386
"Judge, County Court at Law No. 1, Unexpired Term",0612,1700,579,2279,3272,69.65%,1682,449,2131
"Judge, County Court at Law No. 1, Unexpired Term",0613,495,309,804,1450,55.45%,120,651,771
"Judge, County Court at Law No. 1, Unexpired Term",0614,1631,812,2443,3932,62.13%,798,1534,2332
"Judge, County Court at Law No. 1, Unexpired Term",0615,931,404,1335,1926,69.31%,776,499,1275
"Judge, County Court at Law No. 1, Unexpired Term",0616,1352,970,2322,3378,68.74%,1570,622,2192
"Judge, County Court at Law No. 1, Unexpired Term",0617,1318,849,2167,3546,61.11%,750,1322,2072
"Judge, County Court at Law No. 1, Unexpired Term",0618,1920,1021,2941,5344,55.03%,1247,1566,2813
"Judge, County Court at Law No. 1, Unexpired Term",0619,2133,857,2990,4266,70.09%,2171,666,2837
"Judge, County Court at Law No. 1, Unexpired Term",0620,2382,856,3238,5271,61.43%,1533,1493,3026
"Judge, County Court at Law No. 1, Unexpired Term",0621,397,203,600,1173,51.15%,294,272,566
"Judge, County Court at Law No. 1, Unexpired Term",0622,1722,829,2551,4305,59.26%,1446,971,2417
"Judge, County Court at Law No. 1, Unexpired Term",0623,1708,626,2334,3481,67.05%,1442,743,2185
"Judge, County Court at Law No. 1, Unexpired Term",0624,9,0,9,16,56.25%,4,5,9
"Judge, County Court at Law No. 1, Unexpired Term",0625,862,454,1316,1796,73.27%,722,478,1200
"Judge, County Court at Law No. 1, Unexpired Term",0626,1148,655,1803,2838,63.53%,875,814,1689
"Judge, County Court at Law No. 1, Unexpired Term",0627,795,647,1442,2964,48.65%,418,935,1353
"Judge, County Court at Law No. 1, Unexpired Term",0628,292,456,748,1600,46.75%,316,391,707
"Judge, County Court at Law No. 1, Unexpired Term",0629,175,127,302,629,48.01%,22,273,295
"Judge, County Court at Law No. 1, Unexpired Term",0630,2018,535,2553,3190,80.03%,217,2241,2458
"Judge, County Court at Law No. 1, Unexpired Term",0631,1489,392,1881,2733,68.83%,1305,470,1775
"Judge, County Court at Law No. 1, Unexpired Term",0632,12,9,21,231,9.09%,6,12,18
"Judge, County Court at Law No. 1, Unexpired Term",0633,1782,678,2460,3257,75.53%,1738,598,2336
"Judge, County Court at Law No. 1, Unexpired Term",0634,1020,734,1754,2922,60.03%,1069,598,1667
"Judge, County Court at Law No. 1, Unexpired Term",0635,1326,706,2032,3280,61.95%,1513,421,1934
"Judge, County Court at Law No. 1, Unexpired Term",0636,1791,974,2765,3881,71.24%,2300,348,2648
"Judge, County Court at Law No. 1, Unexpired Term",0637,739,509,1248,2471,50.51%,302,839,1141
"Judge, County Court at Law No. 1, Unexpired Term",0638,740,684,1424,2078,68.53%,87,1276,1363
"Judge, County Court at Law No. 1, Unexpired Term",0639,828,711,1539,2501,61.54%,1186,283,1469
"Judge, County Court at Law No. 1, Unexpired Term",0640,1382,723,2105,3548,59.33%,1169,830,1999
"Judge, County Court at Law No. 1, Unexpired Term",0641,1265,878,2143,3375,63.50%,1288,753,2041
"Judge, County Court at Law No. 1, Unexpired Term",0642,871,447,1318,1779,74.09%,1060,190,1250
"Judge, County Court at Law No. 1, Unexpired Term",0643,2157,994,3151,5310,59.34%,1167,1831,2998
"Judge, County Court at Law No. 1, Unexpired Term",0644,2123,1204,3327,5261,63.24%,2053,1087,3140
"Judge, County Court at Law No. 1, Unexpired Term",0645,1639,895,2534,4035,62.80%,1151,1234,2385
"Judge, County Court at Law No. 1, Unexpired Term",0646,708,456,1164,2163,53.81%,340,761,1101
"Judge, County Court at Law No. 1, Unexpired Term",0647,1770,1020,2790,5593,49.88%,676,1896,2572
"Judge, County Court at Law No. 1, Unexpired Term",0648,1590,668,2258,3197,70.63%,1562,589,2151
"Judge, County Court at Law No. 1, Unexpired Term",0649,1389,854,2243,4426,50.68%,605,1517,2122
"Judge, County Court at Law No. 1, Unexpired Term",0650,1328,939,2267,3151,71.95%,1641,509,2150
"Judge, County Court at Law No. 1, Unexpired Term",0651,2085,1070,3155,4931,63.98%,1929,1060,2989
"Judge, County Court at Law No. 1, Unexpired Term",0652,1049,653,1702,2633,64.64%,261,1377,1638
"Judge, County Court at Law No. 1, Unexpired Term",0653,0,8,8,0,0.00%,2,6,8
"Judge, County Court at Law No. 1, Unexpired Term",0654,2103,1344,3447,5765,59.79%,1713,1528,3241
"Judge, County Court at Law No. 1, Unexpired Term",0655,2612,1451,4063,6304,64.45%,2472,1353,3825
"Judge, County Court at Law No. 1, Unexpired Term",0656,1198,421,1619,2622,61.75%,47,1517,1564
"Judge, County Court at Law No. 1, Unexpired Term",0657,490,268,758,1200,63.17%,289,428,717
"Judge, County Court at Law No. 1, Unexpired Term",0658,985,708,1693,2824,59.95%,1025,591,1616
"Judge, County Court at Law No. 1, Unexpired Term",0659,2141,1091,3232,4588,70.44%,2239,840,3079
"Judge, County Court at Law No. 1, Unexpired Term",0660,2460,932,3392,5048,67.19%,319,2952,3271
"Judge, County Court at Law No. 1, Unexpired Term",0661,1614,1012,2626,4179,62.84%,1379,1091,2470
"Judge, County Court at Law No. 1, Unexpired Term",0662,2477,999,3476,4807,72.31%,2731,595,3326
"Judge, County Court at Law No. 1, Unexpired Term",0663,1302,913,2215,3232,68.53%,1188,848,2036
"Judge, County Court at Law No. 1, Unexpired Term",0664,681,607,1288,2801,45.98%,292,933,1225
"Judge, County Court at Law No. 1, Unexpired Term",0665,951,394,1345,2007,67.02%,1063,210,1273
"Judge, County Court at Law No. 1, Unexpired Term",0666,0,1,1,0,0.00%,0,1,1
"Judge, County Court at Law No. 1, Unexpired Term",0657,989,547,1536,2181,70.43%,1150,293,1443
"Judge, County Court at Law No. 1, Unexpired Term",0668,927,655,1582,2458,64.36%,962,540,1502
"Judge, County Court at Law No. 1, Unexpired Term",0669,1606,823,2429,3243,74.90%,1668,617,2285
"Judge, County Court at Law No. 1, Unexpired Term",0670,1566,518,2084,2952,70.60%,1607,345,1952
"Judge, County Court at Law No. 1, Unexpired Term",0671,1090,773,1863,2942,63.32%,1061,680,1741
"Judge, County Court at Law No. 1, Unexpired Term",0672,2301,1078,3379,4710,71.74%,2183,1062,3245
"Judge, County Court at Law No. 1, Unexpired Term",0673,1376,643,2019,2988,67.57%,1525,376,1901
"Judge, County Court at Law No. 1, Unexpired Term",0674,2092,813,2905,4055,71.64%,2132,647,2779
"Judge, County Court at Law No. 1, Unexpired Term",0675,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0676,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0677,220,239,459,954,48.11%,125,307,432
"Judge, County Court at Law No. 1, Unexpired Term",0678,297,164,461,756,60.98%,307,117,424
"Judge, County Court at Law No. 1, Unexpired Term",0679,1466,661,2127,3331,63.85%,1538,462,2000
"Judge, County Court at Law No. 1, Unexpired Term",0680,56,22,78,181,43.09%,34,37,71
"Judge, County Court at Law No. 1, Unexpired Term",0681,1,0,1,5,20.00%,0,1,1
"Judge, County Court at Law No. 1, Unexpired Term",0682,1673,912,2585,4134,62.53%,1798,653,2451
"Judge, County Court at Law No. 1, Unexpired Term",0683,48,50,98,261,37.55%,26,66,92
"Judge, County Court at Law No. 1, Unexpired Term",0684,72,24,96,187,51.34%,57,31,88
"Judge, County Court at Law No. 1, Unexpired Term",0685,167,29,196,326,60.12%,89,93,182
"Judge, County Court at Law No. 1, Unexpired Term",0686,46,34,80,196,40.82%,17,58,75
"Judge, County Court at Law No. 1, Unexpired Term",0687,1084,641,1725,2497,69.08%,1133,467,1600
"Judge, County Court at Law No. 1, Unexpired Term",0688,1815,673,2488,3266,76.18%,1958,390,2348
"Judge, County Court at Law No. 1, Unexpired Term",0689,505,651,1156,2276,50.79%,523,535,1058
"Judge, County Court at Law No. 1, Unexpired Term",0690,1955,1115,3081,4184,73.64%,2350,573,2923
"Judge, County Court at Law No. 1, Unexpired Term",0691,10,2,12,34,35.29%,4,8,12
"Judge, County Court at Law No. 1, Unexpired Term",0692,999,717,1716,2626,65.35%,1233,393,1626
"Judge, County Court at Law No. 1, Unexpired Term",0693,303,116,419,651,64.36%,101,281,382
"Judge, County Court at Law No. 1, Unexpired Term",0694,420,137,557,817,68.18%,369,159,528
"Judge, County Court at Law No. 1, Unexpired Term",0695,454,320,774,1646,47.02%,460,277,737
"Judge, County Court at Law No. 1, Unexpired Term",0696,600,373,973,2098,46.38%,576,348,924
"Judge, County Court at Law No. 1, Unexpired Term",0697,1516,941,2457,4307,57.05%,541,1814,2355
"Judge, County Court at Law No. 1, Unexpired Term",0698,1137,659,1796,2948,60.92%,170,1560,1730
"Judge, County Court at Law No. 1, Unexpired Term",0699,1031,566,1597,2288,69.80%,1017,441,1458
"Judge, County Court at Law No. 1, Unexpired Term",0700,531,287,818,1313,62.30%,636,137,773
"Judge, County Court at Law No. 1, Unexpired Term",0701,142,115,257,554,46.39%,122,123,245
"Judge, County Court at Law No. 1, Unexpired Term",0702,150,123,273,549,49.73%,27,232,259
"Judge, County Court at Law No. 1, Unexpired Term",0703,742,616,1358,1845,73.60%,963,295,1258
"Judge, County Court at Law No. 1, Unexpired Term",0704,1334,701,2035,2882,70.61%,1591,337,1928
"Judge, County Court at Law No. 1, Unexpired Term",0705,358,238,596,1520,39.21%,53,520,573
"Judge, County Court at Law No. 1, Unexpired Term",0706,222,135,357,529,67.49%,169,177,346
"Judge, County Court at Law No. 1, Unexpired Term",0707,284,135,420,707,59.41%,240,153,393
"Judge, County Court at Law No. 1, Unexpired Term",0708,109,95,204,568,35.92%,96,96,192
"Judge, County Court at Law No. 1, Unexpired Term",0709,2996,1297,4293,6239,68.81%,2498,1613,4111
"Judge, County Court at Law No. 1, Unexpired Term",0710,877,602,1479,2023,73.11%,850,498,1348
"Judge, County Court at Law No. 1, Unexpired Term",0711,1492,701,2193,3351,65.44%,1302,744,2046
"Judge, County Court at Law No. 1, Unexpired Term",0712,1200,858,2058,3348,61.47%,814,1177,1991
"Judge, County Court at Law No. 1, Unexpired Term",0713,665,436,1101,1827,60.26%,557,489,1046
"Judge, County Court at Law No. 1, Unexpired Term",0714,77,3,80,304,26.32%,55,20,75
"Judge, County Court at Law No. 1, Unexpired Term",0715,405,326,731,1380,52.97%,351,337,688
"Judge, County Court at Law No. 1, Unexpired Term",0716,977,622,1599,2670,59.89%,1090,433,1523
"Judge, County Court at Law No. 1, Unexpired Term",0717,826,362,1188,1927,61.65%,156,978,1134
"Judge, County Court at Law No. 1, Unexpired Term",0718,1844,1019,2863,4050,70.69%,1892,752,2644
"Judge, County Court at Law No. 1, Unexpired Term",0719,508,260,768,1617,47.50%,404,314,718
"Judge, County Court at Law No. 1, Unexpired Term",0720,1575,1044,2619,3903,67.10%,1869,639,2508
"Judge, County Court at Law No. 1, Unexpired Term",0721,1334,637,1971,2842,69.35%,1294,531,1825
"Judge, County Court at Law No. 1, Unexpired Term",0722,1892,642,2534,4357,58.16%,154,2281,2435
"Judge, County Court at Law No. 1, Unexpired Term",0723,747,329,1076,1760,61.14%,228,798,1026
"Judge, County Court at Law No. 1, Unexpired Term",0724,325,170,495,716,69.13%,341,129,470
"Judge, County Court at Law No. 1, Unexpired Term",0725,953,329,1282,2124,60.36%,508,700,1208
"Judge, County Court at Law No. 1, Unexpired Term",0726,1141,304,1445,1987,72.72%,1233,149,1382
"Judge, County Court at Law No. 1, Unexpired Term",0727,931,466,1397,2488,56.15%,336,997,1333
"Judge, County Court at Law No. 1, Unexpired Term",0728,343,208,551,881,62.54%,302,214,516
"Judge, County Court at Law No. 1, Unexpired Term",0729,208,93,301,446,67.49%,175,111,286
"Judge, County Court at Law No. 1, Unexpired Term",0730,800,437,1237,1630,75.89%,812,321,1133
"Judge, County Court at Law No. 1, Unexpired Term",0731,121,36,157,373,42.09%,31,116,147
"Judge, County Court at Law No. 1, Unexpired Term",0732,701,543,1244,1895,65.65%,720,434,1154
"Judge, County Court at Law No. 1, Unexpired Term",0733,25,62,87,172,50.58%,28,51,79
"Judge, County Court at Law No. 1, Unexpired Term",0734,3209,1114,4323,5952,72.63%,2850,1298,4148
"Judge, County Court at Law No. 1, Unexpired Term",0735,9,0,9,23,39.1,3%,9,0,9
"Judge, County Court at Law No. 1, Unexpired Term",0736,6,1,7,21,33.33%,1,5,6
"Judge, County Court at Law No. 1, Unexpired Term",0737,25,5,30,53,56.60%,24,6,30
"Judge, County Court at Law No. 1, Unexpired Term",0738,470,219,689,1294,53.25%,81,588,669
"Judge, County Court at Law No. 1, Unexpired Term",0739,1005,490,1495,2872,52.05%,643,792,1435
"Judge, County Court at Law No. 1, Unexpired Term",0740,233,205,438,935,46.84%,225,193,418
"Judge, County Court at Law No. 1, Unexpired Term",0741,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0742,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0743,27,4,31,199,15.58%,13,16,29
"Judge, County Court at Law No. 1, Unexpired Term",0744,848,509,1357,2024,67.05%,868,403,1271
"Judge, County Court at Law No. 1, Unexpired Term",0745,1066,542,1608,2396,67.11%,1002,499,1501
"Judge, County Court at Law No. 1, Unexpired Term",0746,230,151,381,707,53.89%,172,172,344
"Judge, County Court at Law No. 1, Unexpired Term",0747,1200,873,2073,3490,59.40%,952,1037,1989
"Judge, County Court at Law No. 1, Unexpired Term",0748,420,307,727,1319,55.12%,316,362,678
"Judge, County Court at Law No. 1, Unexpired Term",0749,99,57,156,359,43.45%,26,116,142
"Judge, County Court at Law No. 1, Unexpired Term",0750,264,147,411,720,57.08%,231,156,387
"Judge, County Court at Law No. 1, Unexpired Term",0751,1664,1254,2918,4451,65.56%,1904,864,2768
"Judge, County Court at Law No. 1, Unexpired Term",0752,571,277,848,1511,56.12%,587,214,801
"Judge, County Court at Law No. 1, Unexpired Term",0753,106,61,167,260,64.23%,113,50,163
"Judge, County Court at Law No. 1, Unexpired Term",0754,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0755,1048,896,1944,3569,54.47%,720,1122,1842
"Judge, County Court at Law No. 1, Unexpired Term",0756,582,300,882,1539,57.31%,290,545,835
"Judge, County Court at Law No. 1, Unexpired Term",0757,1416,690,2106,3498,60.21%,327,1709,2036
"Judge, County Court at Law No. 1, Unexpired Term",0758,1996,783,2779,3781,73.50%,2176,422,2598
"Judge, County Court at Law No. 1, Unexpired Term",0759,1109,590,1699,2625,64.72%,994,597,1591
"Judge, County Court at Law No. 1, Unexpired Term",0760,2346,647,2993,4154,72.05%,2453,367,2820
"Judge, County Court at Law No. 1, Unexpired Term",0761,917,219,1136,1464,77.60%,815,233,1048
"Judge, County Court at Law No. 1, Unexpired Term",0762,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0763,255,308,563,1184,47.55%,193,336,529
"Judge, County Court at Law No. 1, Unexpired Term",0764,2270,1050,3320,4931,67.33%,2047,1116,3163
"Judge, County Court at Law No. 1, Unexpired Term",0765,1390,815,2205,3967,55.58%,759,1344,2103
"Judge, County Court at Law No. 1, Unexpired Term",0766,71,92,163,383,42.56%,38,107,145
"Judge, County Court at Law No. 1, Unexpired Term",0767,20,15,35,90,38.89%,22,10,32
"Judge, County Court at Law No. 1, Unexpired Term",0768,2854,1159,4013,5364,74.81%,3108,734,3842
"Judge, County Court at Law No. 1, Unexpired Term",0769,117,5,122,161,75.78%,5,112,117
"Judge, County Court at Law No. 1, Unexpired Term",0770,58,48,106,262,40.46%,43,57,100
"Judge, County Court at Law No. 1, Unexpired Term",0771,701,537,1238,2378,52.06%,610,559,1169
"Judge, County Court at Law No. 1, Unexpired Term",0772,2927,1002,3929,5617,69.95%,2902,834,3736
"Judge, County Court at Law No. 1, Unexpired Term",0773,892,550,1442,2648,54.46%,341,1022,1363
"Judge, County Court at Law No. 1, Unexpired Term",0774,116,74,190,301,63.12%,40,144,184
"Judge, County Court at Law No. 1, Unexpired Term",0775,33,1,34,83,40.96%,0,33,33
"Judge, County Court at Law No. 1, Unexpired Term",0776,1113,741,1854,2855,64.94%,1057,713,1770
"Judge, County Court at Law No. 1, Unexpired Term",0777,83,123,206,642,32.09%,54,145,199
"Judge, County Court at Law No. 1, Unexpired Term",0778,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0779,295,221,516,1146,45.03%,163,318,481
"Judge, County Court at Law No. 1, Unexpired Term",0780,136,114,250,579,43.18%,106,127,233
"Judge, County Court at Law No. 1, Unexpired Term",0781,1152,655,1807,3716,48.63%,653,972,1625
"Judge, County Court at Law No. 1, Unexpired Term",0782,851,532,1383,2188,63.21%,812,482,1294
"Judge, County Court at Law No. 1, Unexpired Term",0783,103,43,146,265,55.09%,75,60,135
"Judge, County Court at Law No. 1, Unexpired Term",0784,428,156,584,1071,54.53%,5,558,563
"Judge, County Court at Law No. 1, Unexpired Term",0785,66,55,121,310,39.03%,64,55,119
"Judge, County Court at Law No. 1, Unexpired Term",0786,193,277,470,1297,36.24%,140,307,447
"Judge, County Court at Law No. 1, Unexpired Term",0787,154,76,230,487,47.23%,75,137,212
"Judge, County Court at Law No. 1, Unexpired Term",0788,156,58,214,481,44.49%,70,132,202
"Judge, County Court at Law No. 1, Unexpired Term",0789,3,1,4,4,100.00%,1,2,3
"Judge, County Court at Law No. 1, Unexpired Term",0790,1,0,1,4,25.00%,0,1,1
"Judge, County Court at Law No. 1, Unexpired Term",0791,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0792,549,409,958,1834,52.24%,220,687,907
"Judge, County Court at Law No. 1, Unexpired Term",0793,889,338,1227,2437,50.35%,686,485,1171
"Judge, County Court at Law No. 1, Unexpired Term",0794,575,484,1059,2602,40.70%,73,943,1016
"Judge, County Court at Law No. 1, Unexpired Term",0795,265,255,520,1207,43.08%,152,317,469
"Judge, County Court at Law No. 1, Unexpired Term",0796,145,92,237,485,48.87%,111,113,224
"Judge, County Court at Law No. 1, Unexpired Term",0797,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0798,176,263,439,496,88.51%,128,268,396
"Judge, County Court at Law No. 1, Unexpired Term",0799,65,12,77,146,52.74%,16,58,74
"Judge, County Court at Law No. 1, Unexpired Term",0800,1188,795,1983,2817,70.39%,1300,563,1863
"Judge, County Court at Law No. 1, Unexpired Term",0801,68,55,123,253,48.62%,42,73,115
"Judge, County Court at Law No. 1, Unexpired Term",0802,98,58,156,299,52.17%,31,113,144
"Judge, County Court at Law No. 1, Unexpired Term",0803,1305,530,1935,2718,71.19%,1402,431,1833
"Judge, County Court at Law No. 1, Unexpired Term",0804,1806,960,2766,4348,63.62%,1609,1002,2611
"Judge, County Court at Law No. 1, Unexpired Term",0805,1509,529,2038,2812,72.48%,1595,334,1929
"Judge, County Court at Law No. 1, Unexpired Term",0806,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0807,652,402,1054,2001,52.67%,152,850,1002
"Judge, County Court at Law No. 1, Unexpired Term",0808,41,26,67,84,79.76%,28,30,58
"Judge, County Court at Law No. 1, Unexpired Term",0809,216,27,86,31.40%,8,17,25
"Judge, County Court at Law No. 1, Unexpired Term",0810,30,48,78,215,36.28%,20,50,70
"Judge, County Court at Law No. 1, Unexpired Term",0811,39,106,145,271,53.51%,32,104,136
"Judge, County Court at Law No. 1, Unexpired Term",0812,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0813,1967,1258,3225,5423,59.47%,1504,1598,3102
"Judge, County Court at Law No. 1, Unexpired Term",0814,1772,955,2727,4503,60.56%,596,2002,2598
"Judge, County Court at Law No. 1, Unexpired Term",0815,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0816,20,13,33,76,43.42%,6,26,32
"Judge, County Court at Law No. 1, Unexpired Term",0817,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0818,134,101,235,527,44.59%,46,181,227
"Judge, County Court at Law No. 1, Unexpired Term",0819,97,45,142,238,59.66%,89,33,122
"Judge, County Court at Law No. 1, Unexpired Term",0820,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0821,354,203,557,1206,46.19%,45,491,536
"Judge, County Court at Law No. 1, Unexpired Term",0822,584,282,866,1544,56.09%,23,813,836
"Judge, County Court at Law No. 1, Unexpired Term",0823,1849,1015,2864,4710,60.81%,1441,1273,2714
"Judge, County Court at Law No. 1, Unexpired Term",0824,984,471,1455,2729,53.32%,311,1089,1400
"Judge, County Court at Law No. 1, Unexpired Term",0825,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0826,153,89,242,342,70.76%,129,93,222
"Judge, County Court at Law No. 1, Unexpired Term",0827,169,186,355,997,35.61%,127,209,336
"Judge, County Court at Law No. 1, Unexpired Term",0828,1074,343,1417,1875,75.57%,1127,202,1329
"Judge, County Court at Law No. 1, Unexpired Term",0829,107,56,163,266,61.28%,35,123,158
"Judge, County Court at Law No. 1, Unexpired Term",0830,0,0,0,1,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0831,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0832,109,46,155,351,44.16%,43,103,146
"Judge, County Court at Law No. 1, Unexpired Term",0833,8,1,9,20,45.00%,0,9,9
"Judge, County Court at Law No. 1, Unexpired Term",0834,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0835,87,53,140,292,47.95%,38,95,133
"Judge, County Court at Law No. 1, Unexpired Term",0836,8,3,11,19,57.89%,0,9,9
"Judge, County Court at Law No. 1, Unexpired Term",0837,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0838,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0839,353,240,593,1122,52.85%,108,446,554
"Judge, County Court at Law No. 1, Unexpired Term",0840,712,251,963,1621,59.41%,305,619,924
"Judge, County Court at Law No. 1, Unexpired Term",0841,0,2,2,0,0.00%,0,2,2
"Judge, County Court at Law No. 1, Unexpired Term",0842,987,715,1702,3091,55.06%,736,879,1615
"Judge, County Court at Law No. 1, Unexpired Term",0843,0,2,2,0,0.00%,0,2,2
"Judge, County Court at Law No. 1, Unexpired Term",0844,2,4,6,1,3,46.1,5%,1,4,5
"Judge, County Court at Law No. 1, Unexpired Term",0845,85,10,95,100,95.00%,55,33,88
