Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Wittenmyer,DEM Mike Engelhart,Totals
"District Judge, 151st Judicial District",0690,1965,1116,3081,4184,73.64%,2344,592,2936
"District Judge, 151st Judicial District",0691,10,2,12,34,35.29%,5,7,12
"District Judge, 151st Judicial District",0692,999,717,1716,2626,65.35%,1225,402,1627
"District Judge, 151st Judicial District",0693,303,116,419,651,64.36%,101,285,386
"District Judge, 151st Judicial District",0694,420,137,557,817,68.18%,353,172,525
"District Judge, 151st Judicial District",0695,454,320,774,1646,47.02%,465,271,736
"District Judge, 151st Judicial District",0696,600,373,973,2098,46.38%,572,354,926
"District Judge, 151st Judicial District",0697,1516,941,2457,4307,57.05%,548,1813,2361
"District Judge, 151st Judicial District",0698,1137,659,1796,2948,60.92%,171,1554,1725
"District Judge, 151st Judicial District",0699,1031,566,1597,2288,69.80%,985,469,1454
"District Judge, 151st Judicial District",0700,531,287,818,1313,62.30%,630,147,777
"District Judge, 151st Judicial District",0701,142,115,257,554,46.39%,126,116,242
"District Judge, 151st Judicial District",0702,150,123,273,549,49.73%,29,230,259
"District Judge, 151st Judicial District",0703,742,616,1358,1845,73.60%,922,331,1253
"District Judge, 151st Judicial District",0704,1334,701,2035,2882,70.61%,1592,337,1929
"District Judge, 151st Judicial District",0705,358,238,596,1520,39.21%,57,520,577
"District Judge, 151st Judicial District",0706,222,135,357,529,67.49%,169,178,347
"District Judge, 151st Judicial District",0707,284,136,420,707,59.41%,235,161,396
"District Judge, 151st Judicial District",0708,109,95,204,568,35.92%,99,94,193
"District Judge, 151st Judicial District",0709,2996,1297,4293,6239,68.81%,2497,1614,4111
"District Judge, 151st Judicial District",0710,877,602,1479,2023,73.11%,793,561,1354
"District Judge, 151st Judicial District",0711,1492,701,2193,3351,65.44%,1246,801,2047
"District Judge, 151st Judicial District",0712,1200,858,2058,3348,61.47%,800,1188,1988
"District Judge, 151st Judicial District",0713,665,436,1101,1827,60.26%,560,485,1045
"District Judge, 151st Judicial District",0714,77,3,80,304,26.32%,50,24,74
"District Judge, 151st Judicial District",0715,405,326,731,1380,52.97%,343,344,687
"District Judge, 151st Judicial District",0716,977,622,1599,2670,59.89%,1086,432,1518
"District Judge, 151st Judicial District",0717,826,362,1188,1927,61.65%,155,985,1140
"District Judge, 151st Judicial District",0718,1844,1019,2863,4050,70.69%,1805,834,2639
"District Judge, 151st Judicial District",0719,508,260,768,1617,47.50%,408,312,720
"District Judge, 151st Judicial District",0720,1575,1044,2619,3903,67.10%,1829,677,2506
"District Judge, 151st Judicial District",0721,1334,637,1971,2842,69.35%,1254,577,1831
"District Judge, 151st Judicial District",0722,1892,642,2534,4357,58.16%,150,2282,2432
"District Judge, 151st Judicial District",0723,747,329,1076,1760,61.14%,217,807,1024
"District Judge, 151st Judicial District",0724,325,170,495,716,69.13%,321,147,468
"District Judge, 151st Judicial District",0725,953,329,1282,2124,60.36%,512,700,1212
"District Judge, 151st Judicial District",0726,1141,304,1445,1987,72.72%,1232,149,1381
"District Judge, 151st Judicial District",0727,931,466,1397,2488,56.15%,330,1010,1340
"District Judge, 151st Judicial District",0728,343,208,551,881,62.54%,288,226,514
"District Judge, 151st Judicial District",0729,208,93,301,446,67.49%,172,114,286
"District Judge, 151st Judicial District",0730,800,437,1237,1630,75.89%,773,369,1142
"District Judge, 151st Judicial District",0731,121,36,157,373,42.09%,24,121,145
"District Judge, 151st Judicial District",0732,701,543,1244,1895,65.65%,712,447,1159
"District Judge, 151st Judicial District",0733,25,62,87,172,50.58%,27,52,79
"District Judge, 151st Judicial District",0734,3209,1114,4323,5952,72.63%,2844,1312,4156
"District Judge, 151st Judicial District",0735,9,0,9,23,39.1,3%,9,0,9
"District Judge, 151st Judicial District",0736,6,1,7,21,33.33%,0,6,6
"District Judge, 151st Judicial District",0737,25,5,30,53,56.60%,25,5,30
"District Judge, 151st Judicial District",0738,470,219,689,1294,53.25%,82,586,668
"District Judge, 151st Judicial District",0739,1005,490,1495,2872,52.05%,646,792,1438
"District Judge, 151st Judicial District",0740,233,205,438,935,46.84%,228,191,419
"District Judge, 151st Judicial District",0741,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0742,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0743,27,4,31,199,15.58%,12,17,29
"District Judge, 151st Judicial District",0744,848,509,1357,2024,67.05%,839,429,1268
"District Judge, 151st Judicial District",0745,1066,542,1608,2396,67.11%,967,538,1505
"District Judge, 151st Judicial District",0746,230,151,381,707,53.89%,173,173,346
"District Judge, 151st Judicial District",0747,1200,873,2073,3490,59.40%,936,1047,1983
"District Judge, 151st Judicial District",0748,420,307,727,1319,55.12%,309,370,679
"District Judge, 151st Judicial District",0749,99,57,156,359,43.45%,30,113,143
"District Judge, 151st Judicial District",0750,264,147,411,720,57.08%,224,161,385
"District Judge, 151st Judicial District",0751,1664,1254,2918,4451,65.56%,1885,886,2771
"District Judge, 151st Judicial District",0752,571,277,848,1511,56.12%,577,225,802
"District Judge, 151st Judicial District",0753,106,61,167,260,64.23%,107,56,163
"District Judge, 151st Judicial District",0754,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0755,1048,896,1944,3569,54.47%,704,1133,1837
"District Judge, 151st Judicial District",0756,582,300,882,1539,57.31%,295,543,838
"District Judge, 151st Judicial District",0757,1416,690,2106,3498,60.21%,323,1715,2038
"District Judge, 151st Judicial District",0758,1996,783,2779,3781,73.50%,2148,459,2607
"District Judge, 151st Judicial District",0759,1109,590,1699,2625,64.72%,982,609,1591
"District Judge, 151st Judicial District",0760,2346,647,2993,4154,72.05%,2395,429,2824
"District Judge, 151st Judicial District",0761,917,219,1136,1464,77.60%,773,276,1049
"District Judge, 151st Judicial District",0762,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0763,255,308,563,1184,47.55%,187,345,532
"District Judge, 151st Judicial District",0764,2270,1050,3320,4931,67.33%,2030,1138,3168
"District Judge, 151st Judicial District",0765,1390,815,2205,3967,55.58%,743,1358,2101
"District Judge, 151st Judicial District",0766,71,92,163,383,42.56%,37,107,144
"District Judge, 151st Judicial District",0767,20,15,35,90,38.89%,22,10,32
"District Judge, 151st Judicial District",0768,2854,1159,4013,5364,74.81%,3079,758,3837
"District Judge, 151st Judicial District",0769,117,5,122,161,75.78%,6,112,118
"District Judge, 151st Judicial District",0770,58,48,106,262,40.46%,42,58,100
"District Judge, 151st Judicial District",0771,701,537,1238,2378,52.06%,596,573,1169
"District Judge, 151st Judicial District",0772,2927,1002,3929,5617,69.95%,2843,903,3746
"District Judge, 151st Judicial District",0773,892,550,1442,2648,54.46%,351,1011,1362
"District Judge, 151st Judicial District",0774,116,74,190,301,63.12%,40,144,184
"District Judge, 151st Judicial District",0775,33,1,34,83,40.96%,1,32,33
"District Judge, 151st Judicial District",0776,1113,741,1854,2855,64.94%,1045,718,1763
"District Judge, 151st Judicial District",0777,83,123,206,642,32.09%,55,142,197
"District Judge, 151st Judicial District",0778,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0779,295,221,516,1146,45.03%,161,319,480
"District Judge, 151st Judicial District",0780,136,114,250,579,43.18%,103,130,233
"District Judge, 151st Judicial District",0781,1152,655,1807,3716,48.63%,641,983,1624
"District Judge, 151st Judicial District",0782,851,532,1383,2188,63.21%,807,484,1291
"District Judge, 151st Judicial District",0783,103,43,146,265,55.09%,77,58,135
"District Judge, 151st Judicial District",0784,428,156,584,1071,54.53%,7,558,565
"District Judge, 151st Judicial District",0785,66,55,121,310,39.03%,62,57,119
"District Judge, 151st Judicial District",0786,193,277,470,1297,36.24%,139,308,447
"District Judge, 151st Judicial District",0787,154,76,230,487,47.23%,73,143,216
"District Judge, 151st Judicial District",0788,156,58,214,481,44.49%,67,135,202
"District Judge, 151st Judicial District",0789,3,1,4,4,100.00%,0,3,3
"District Judge, 151st Judicial District",0790,1,0,1,4,25.00%,0,1,1
"District Judge, 151st Judicial District",0791,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0792,549,409,958,1834,52.24%,215,692,907
"District Judge, 151st Judicial District",0793,889,338,1227,2437,50.35%,670,496,1166
"District Judge, 151st Judicial District",0794,575,484,1059,2602,40.70%,75,942,1017
"District Judge, 151st Judicial District",0795,265,255,520,1207,43.08%,143,328,471
"District Judge, 151st Judicial District",0796,145,92,237,485,48.87%,110,114,224
"District Judge, 151st Judicial District",0797,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0798,176,263,439,496,88.51%,127,269,396
"District Judge, 151st Judicial District",0799,65,12,77,146,52.74%,17,56,73
"District Judge, 151st Judicial District",0800,1188,795,1983,2817,70.39%,1279,589,1868
"District Judge, 151st Judicial District",0801,68,55,123,253,48.62%,39,74,113
"District Judge, 151st Judicial District",0802,98,58,156,299,52.17%,31,111,142
"District Judge, 151st Judicial District",0803,1305,530,1935,2718,71.19%,1391,443,1834
"District Judge, 151st Judicial District",0804,1806,960,2766,4348,63.62%,1625,994,2619
"District Judge, 151st Judicial District",0805,1509,529,2038,2812,72.48%,1562,358,1920
"District Judge, 151st Judicial District",0806,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0807,652,402,1054,2001,52.67%,152,856,1008
"District Judge, 151st Judicial District",0808,41,26,67,84,79.76%,29,29,58
"District Judge, 151st Judicial District",0809,216,27,86,31.40%,8,16,24
"District Judge, 151st Judicial District",0810,30,48,78,215,36.28%,21,50,71
"District Judge, 151st Judicial District",0811,39,106,145,271,53.51%,25,110,135
"District Judge, 151st Judicial District",0812,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0813,1967,1258,3225,5423,59.47%,1497,1599,3096
"District Judge, 151st Judicial District",0814,1772,955,2727,4503,60.56%,596,2005,2601
"District Judge, 151st Judicial District",0815,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0816,20,13,33,76,43.42%,5,26,31
"District Judge, 151st Judicial District",0817,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0818,134,101,235,527,44.59%,43,185,228
"District Judge, 151st Judicial District",0819,97,45,142,238,59.66%,70,55,125
"District Judge, 151st Judicial District",0820,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0821,354,203,557,1206,46.19%,45,488,533
"District Judge, 151st Judicial District",0822,584,282,866,1544,56.09%,24,816,840
"District Judge, 151st Judicial District",0823,1849,1015,2864,4710,60.81%,1445,1270,2715
"District Judge, 151st Judicial District",0824,984,471,1455,2729,53.32%,316,1090,1406
"District Judge, 151st Judicial District",0825,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0826,153,89,242,342,70.76%,120,105,225
"District Judge, 151st Judicial District",0827,169,186,355,997,35.61%,131,205,336
"District Judge, 151st Judicial District",0828,1074,343,1417,1875,75.57%,1101,237,1338
"District Judge, 151st Judicial District",0829,107,56,163,266,61.28%,33,125,158
"District Judge, 151st Judicial District",0830,0,0,0,1,0.00%,0,0,0
"District Judge, 151st Judicial District",0831,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0832,109,46,155,351,44.16%,42,103,145
"District Judge, 151st Judicial District",0833,8,1,9,20,45.00%,0,9,9
"District Judge, 151st Judicial District",0834,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0835,87,53,140,292,47.95%,35,97,132
"District Judge, 151st Judicial District",0836,8,3,11,19,57.89%,0,9,9
"District Judge, 151st Judicial District",0837,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0838,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0839,353,240,593,1122,52.85%,106,448,554
"District Judge, 151st Judicial District",0840,712,251,963,1621,59.41%,308,615,923
"District Judge, 151st Judicial District",0841,0,2,2,0,0.00%,0,2,2
"District Judge, 151st Judicial District",0842,987,715,1702,3091,55.06%,711,907,1618
"District Judge, 151st Judicial District",0843,0,2,2,0,0.00%,0,2,2
"District Judge, 151st Judicial District",0844,2,4,6,1,3,46.1,5%,1,4,5
"District Judge, 151st Judicial District",0845,85,10,95,100,95.00%,55,33,88
"District Judge, 151st Judicial District",0846,70,29,99,210,47.14%,5,91,96
"District Judge, 151st Judicial District",0847,795,321,1116,1804,61.86%,290,779,1069
"District Judge, 151st Judicial District",0848,782,431,1213,1873,64.76%,370,786,1156
"District Judge, 151st Judicial District",0849,553,514,1067,2073,51.47%,327,666,993
"District Judge, 151st Judicial District",0850,87,38,125,205,60.98%,50,70,120
"District Judge, 151st Judicial District",0851,2192,816,3008,4317,69.68%,1894,964,2858
"District Judge, 151st Judicial District",0852,0,4,4,2,200.00%,0,4,4
"District Judge, 151st Judicial District",0853,1412,605,2017,2773,72.74%,1490,415,1905
"District Judge, 151st Judicial District",0854,41,30,71,175,40.57%,4,65,69
"District Judge, 151st Judicial District",0855,4,13,17,18,94.44%,9,8,17
"District Judge, 151st Judicial District",0856,0,4,4,0,0.00%,1,2,3
"District Judge, 151st Judicial District",0857,0,0,0,1,0.00%,0,0,0
"District Judge, 151st Judicial District",0858,132,18,150,372,40.32%,4,140,144
"District Judge, 151st Judicial District",0859,309,201,510,860,59.30%,102,397,499
"District Judge, 151st Judicial District",0860,0,1,1,0,0.00%,1,0,1
"District Judge, 151st Judicial District",0861,705,319,1024,1786,57.33%,183,812,995
"District Judge, 151st Judicial District",0862,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0863,210,69,279,620,45.00%,9,263,272
"District Judge, 151st Judicial District",0864,497,609,1106,2464,44.89%,266,777,1043
"District Judge, 151st Judicial District",0865,9,2,11,23,47.83%,0,11,11
"District Judge, 151st Judicial District",0866,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0867,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0868,573,586,1159,2292,50.57%,340,752,1092
"District Judge, 151st Judicial District",0869,153,76,229,473,48.41%,31,189,220
"District Judge, 151st Judicial District",0870,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0871,3,0,3,4,75.00%,0,3,3
"District Judge, 151st Judicial District",0872,13,5,18,66,27.27%,8,8,16
"District Judge, 151st Judicial District",0873,253,125,378,701,53.92%,88,284,372
"District Judge, 151st Judicial District",0874,1534,748,2282,3107,73.45%,1690,479,2169
"District Judge, 151st Judicial District",0875,1719,927,2646,4031,65.64%,1228,1305,2533
"District Judge, 151st Judicial District",0876,1629,639,2268,3013,75.27%,1600,567,2167
"District Judge, 151st Judicial District",0877,1030,542,1672,2480,67.42%,687,927,1614
"District Judge, 151st Judicial District",0878,853,350,1203,1641,73.31%,969,171,1140
"District Judge, 151st Judicial District",0879,890,527,1417,2334,60.71%,640,714,1354
"District Judge, 151st Judicial District",0880,1068,472,1540,2007,76.73%,1140,315,1455
"District Judge, 151st Judicial District",0881,1510,877,2387,3619,65.96%,734,1563,2297
"District Judge, 151st Judicial District",0882,940,457,1397,2328,60.01%,757,578,1335
"District Judge, 151st Judicial District",0883,1918,1042,2960,4651,63.64%,513,2354,2867
"District Judge, 151st Judicial District",0884,118,37,155,330,46.97%,21,129,150
"District Judge, 151st Judicial District",0885,1222,541,1763,2466,71.49%,1022,658,1680
"District Judge, 151st Judicial District",0886,301,154,455,713,63.81%,224,185,409
"District Judge, 151st Judicial District",0887,138,83,221,313,70.61%,117,79,196
"District Judge, 151st Judicial District",0888,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0889,22,0,22,61,36.07%,12,9,21
"District Judge, 151st Judicial District",0890,319,118,437,994,43.96%,149,261,410
"District Judge, 151st Judicial District",0891,539,392,931,1413,65.89%,342,527,869
"District Judge, 151st Judicial District",0892,193,130,323,696,46.41%,87,213,300
"District Judge, 151st Judicial District",0893,1,0,1,5,20.00%,0,1,1
"District Judge, 151st Judicial District",0894,0,31,31,0,0.00%,8,20,28
"District Judge, 151st Judicial District",0895,335,325,660,784,84.18%,250,339,589
"District Judge, 151st Judicial District",0896,670,303,973,1437,67.71%,356,533,889
"District Judge, 151st Judicial District",0897,742,375,1117,1624,68.78%,605,460,1065
"District Judge, 151st Judicial District",0898,0,0,0,2,0.00%,0,0,0
"District Judge, 151st Judicial District",0899,4,0,4,8,50.00%,1,3,4
"District Judge, 151st Judicial District",0900,5,0,5,12,41.67%,1,3,4
"District Judge, 151st Judicial District",0901,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0902,865,621,1486,2065,71.96%,812,558,1370
"District Judge, 151st Judicial District",0903,10,1,11,41,26.83%,6,4,10
"District Judge, 151st Judicial District",0904,0,1,1,1,100.00%,0,1,1
"District Judge, 151st Judicial District",0905,290,1,68,458,908,50.44%,174,246,420
"District Judge, 151st Judicial District",0906,12,6,18,26,69.23%,9,8,17
"District Judge, 151st Judicial District",0907,60,43,103,134,76.87%,21,80,101
"District Judge, 151st Judicial District",0908,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0909,5,7,12,19,63.16%,5,5,10
"District Judge, 151st Judicial District",0910,55,34,89,226,39.38%,32,51,83
"District Judge, 151st Judicial District",0911,227,79,306,570,53.68%,191,93,284
"District Judge, 151st Judicial District",0912,675,221,896,1235,72.55%,537,292,829
"District Judge, 151st Judicial District",0913,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0914,169,67,236,221,106.79%,178,44,222
"District Judge, 151st Judicial District",0915,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0916,604,182,786,1045,75.22%,626,121,747
"District Judge, 151st Judicial District",0917,280,137,417,481,86.69%,286,101,387
"District Judge, 151st Judicial District",0918,489,135,624,883,70.67%,456,129,585
"District Judge, 151st Judicial District",0919,0,3,3,3,100.00%,1,2,3
"District Judge, 151st Judicial District",0920,6,0,6,13,46.15%,6,0,6
"District Judge, 151st Judicial District",0921,71,9,80,87,91.95%,62,17,79
"District Judge, 151st Judicial District",0922,0,2,2,0,0.00%,1,1,2
"District Judge, 151st Judicial District",0923,663,87,750,826,90.80%,563,159,722
"District Judge, 151st Judicial District",0924,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0925,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0926,351,1,20,481,621,77.46%,356,100,456
"District Judge, 151st Judicial District",0927,84,74,158,262,60.31%,75,73,148
"District Judge, 151st Judicial District",0928,4,2,6,9,66.67%,0,6,6
"District Judge, 151st Judicial District",0929,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0930,200,77,277,567,48.85%,3,267,270
"District Judge, 151st Judicial District",0931,48,53,101,122,82.79%,42,49,91
"District Judge, 151st Judicial District",0932,0,5,5,0,0.00%,1,4,5
"District Judge, 151st Judicial District",0933,233,1,21,354,566,62.54%,90,247,337
"District Judge, 151st Judicial District",0934,12,1,13,41,31.71%,5,8,13
"District Judge, 151st Judicial District",0935,8,17,25,65,38.46%,11,13,24
"District Judge, 151st Judicial District",0936,12,10,22,70,31.43%,7,12,19
"District Judge, 151st Judicial District",0937,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0938,73,14,87,256,33.98%,25,59,84
"District Judge, 151st Judicial District",0939,1,0,1,1,100.00%,0,1,1
"District Judge, 151st Judicial District",0940,1,0,1,13,7.69%,0,1,1
"District Judge, 151st Judicial District",0941,13,9,22,25,88.00%,18,4,22
"District Judge, 151st Judicial District",0942,68,24,92,159,57.86%,69,16,85
"District Judge, 151st Judicial District",0943,296,63,359,536,66.98%,233,97,330
"District Judge, 151st Judicial District",0944,30,6,36,39,92.31%,27,7,34
"District Judge, 151st Judicial District",0945,4,7,11,16,68.75%,0,8,8
"District Judge, 151st Judicial District",0946,3,3,6,14,42.86%,0,4,4
"District Judge, 151st Judicial District",0947,320,292,612,822,74.45%,298,251,549
"District Judge, 151st Judicial District",0948,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0949,59,37,96,201,47.76%,42,49,91
"District Judge, 151st Judicial District",0950,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0951,79,44,123,218,56.42%,23,96,119
"District Judge, 151st Judicial District",0952,24,16,40,70,57.14%,16,21,37
"District Judge, 151st Judicial District",0953,59,52,111,420,28.43%,8,104,110
"District Judge, 151st Judicial District",0954,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0955,5,20,25,18,138.89%,14,9,23
"District Judge, 151st Judicial District",0958,5,2,7,12,58.33%,4,3,7
"District Judge, 151st Judicial District",0957,281,115,378,551,88.24%,54,307,381
"District Judge, 151st Judicial District",0958,289,288,555,989,58.12%,117,410,527
"District Judge, 151st Judicial District",0959,0,4,4,0,0.00%,0,4,4
"District Judge, 151st Judicial District",0980,382,143,505,588,88.18%,135,358,491
"District Judge, 151st Judicial District",0981,23,11,34,53,84.15%,8,28,34
"District Judge, 151st Judicial District",0982,24,13,37,73,50.88%,8,25,33
"District Judge, 151st Judicial District",0983,129,89,198,353,58.09%,108,78,184
"District Judge, 151st Judicial District",0984,945,447,1392,1571,88.81%,828,508,1334
"District Judge, 151st Judicial District",0985,93,27,120,355,33.80%,75,38,111
"District Judge, 151st Judicial District",0988,305,180,485,1073,43.34%,123,315,438
"District Judge, 151st Judicial District",0987,48,15,83,98,84.29%,27,35,82
"District Judge, 151st Judicial District",0988,243,83,328,517,83.08%,82,254,318
"District Judge, 151st Judicial District",0989,335,82,417,584,71.40%,1,401,402
"District Judge, 151st Judicial District",0970,212,78,288,704,40.91%,27,241,288
"District Judge, 151st Judicial District",0971,27,21,48,129,37.21%,1,47,48
"District Judge, 151st Judicial District",0972,10,7,17,29,58.82%,11,5,18
"District Judge, 151st Judicial District",0973,49,24,73,107,88.22%,38,30,88
"District Judge, 151st Judicial District",0974,100,71,171,299,57.19%,101,82,183
"District Judge, 151st Judicial District",0975,72,41,113,170,88.47%,52,51,103
"District Judge, 151st Judicial District",0978,159,131,290,884,42.40%,180,108,288
"District Judge, 151st Judicial District",0977,104,83,187,535,34.95%,88,110,178
"District Judge, 151st Judicial District",0978,201,102,303,508,59.88%,48,244,292
"District Judge, 151st Judicial District",0979,56,11,28,42.31%,11,0,11
"District Judge, 151st Judicial District",0980,595,358,951,1323,71.88%,883,228,891
"District Judge, 151st Judicial District",0981,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0982,534,218,752,1021,73.85%,571,140,711
"District Judge, 151st Judicial District",0983,41,28,89,185,41.82%,37,28,85
"District Judge, 151st Judicial District",0984,43,49,92,198,48.48%,8,83,89
"District Judge, 151st Judicial District",0985,172,87,239,338,71.13%,118,108,222
"District Judge, 151st Judicial District",0988,129,88,215,404,53.22%,18,183,201
"District Judge, 151st Judicial District",0987,465,191,656,1138,57.64%,49,587,636
"District Judge, 151st Judicial District",0988,44,21,65,111,58.56%,51,10,61
"District Judge, 151st Judicial District",0989,18,8,26,36,72.22%,11,14,25
"District Judge, 151st Judicial District",0990,37,15,52,154,33.77%,15,29,44
"District Judge, 151st Judicial District",0991,0,0,0,1,0.00%,0,0,0
"District Judge, 151st Judicial District",0992,309,202,511,1015,50.34%,276,211,487
"District Judge, 151st Judicial District",0993,272,91,363,551,65.88%,282,59,341
"District Judge, 151st Judicial District",0994,6,5,11,8,137.50%,2,8,10
"District Judge, 151st Judicial District",0995,596,190,786,1269,61.94%,33,721,754
"District Judge, 151st Judicial District",0996,297,125,422,699,60.37%,228,165,393
"District Judge, 151st Judicial District",0997,429,328,757,1439,52.61%,123,608,731
"District Judge, 151st Judicial District",0998,15,9,24,35,68.57%,16,7,23
"District Judge, 151st Judicial District",0999,30,16,46,65,70.77%,37,7,44
"District Judge, 151st Judicial District",1000,105,0,105,458,22.93%,17,81,98
"District Judge, 151st Judicial District",1001,496,294,790,1566,50.45%,146,600,746
"District Judge, 151st Judicial District",1002,464,314,778,1738,44.76%,84,660,744
"District Judge, 151st Judicial District",1003,0,0,0,1,0.00%,0,0,0
"District Judge, 151st Judicial District",1004,224,153,377,656,57.47%,190,143,333
"District Judge, 151st Judicial District",1005,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",1006,3,0,3,5,60.00%,3,0,3
"District Judge, 151st Judicial District",1007,555,295,850,1371,62.00%,198,619,817
"District Judge, 151st Judicial District",1008,86,21,107,150,71.33%,82,19,101
"District Judge, 151st Judicial District",1009,3,1,4,8,50.00%,2,1,3
"District Judge, 151st Judicial District",1010,124,74,198,317,62.46%,30,159,189
"District Judge, 151st Judicial District",1011,12,3,15,29,51.72%,3,9,12
"District Judge, 151st Judicial District",1012,395,318,713,1235,57.73%,191,496,687
"District Judge, 151st Judicial District",1013,8,14,22,60,36.67%,15,7,22
"District Judge, 151st Judicial District",1014,9,7,16,36,44.44%,3,13,16
"District Judge, 151st Judicial District",1015,11,7,18,29,62.07%,4,13,17
"District Judge, 151st Judicial District",1016,591,364,955,1626,58.73%,416,493,909
"District Judge, 151st Judicial District",1017,127,50,177,232,76.29%,47,121,168
"District Judge, 151st Judicial District",1018,209,92,301,468,64.32%,138,154,292
"District Judge, 151st Judicial District",1019,426,4,430,1518,28.33%,14,397,411
"District Judge, 151st Judicial District",1020,0,0,0,1,0.00%,0,0,0
"District Judge, 151st Judicial District",1021,1,0,1,2,50.00%,0,1,1
"District Judge, 151st Judicial District",1022,190,30,220,426,51.64%,167,41,208
"District Judge, 151st Judicial District",1023,894,401,1295,1964,65.94%,815,406,1221
"District Judge, 151st Judicial District",1024,113,77,190,259,73.36%,94,77,171
"District Judge, 151st Judicial District",1025,4,0,4,18,22.22%,1,3,4
"District Judge, 151st Judicial District",1026,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",1027,0,1,1,1,100.00%,0,0,0
"District Judge, 151st Judicial District",1028,0,1,1,0,0.00%,1,0,1
"District Judge, 151st Judicial District",1029,1021,641,1662,1802,92.23%,1258,305,1563
"District Judge, 151st Judicial District",1030,397,105,502,655,76.64%,428,53,481
"District Judge, 151st Judicial District",1031,3,3,6,6,100.00%,5,1,6
"District Judge, 151st Judicial District",1032,59,80,139,241,57.68%,96,33,129
"District Judge, 151st Judicial District",1033,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",1034,0,0,0,1,0.00%,0,0,0
"District Judge, 151st Judicial District",1035,24,13,37,139,26.62%,4,32,36
"District Judge, 151st Judicial District",1036,144,46,190,433,43.88%,143,37,180
"District Judge, 151st Judicial District",1037,27,16,43,73,58.90%,21,15,36
"District Judge, 151st Judicial District",1038,133,43,176,266,66.17%,10,162,172
"District Judge, 151st Judicial District",1039,3,5,8,20,40.00%,2,6,8
"District Judge, 151st Judicial District",1040,192,146,338,607,55.68%,177,139,316
"District Judge, 151st Judicial District",1041,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",1042,227,50,277,498,55.62%,79,192,271
"District Judge, 151st Judicial District",1043,12,2,14,31,45.16%,3,11,14
"District Judge, 151st Judicial District",1044,29,5,34,59,57.63%,9,24,33
"District Judge, 151st Judicial District",1045,611,321,932,1439,64.77%,122,781,903
"District Judge, 151st Judicial District",1046,19,18,37,54,68.52%,4,32,36
"District Judge, 151st Judicial District",1047,553,288,851,1242,68.52%,255,559,814
"District Judge, 151st Judicial District",1048,3,1,4,18,22.22%,2,2,4
"District Judge, 151st Judicial District",1049,57,71,128,266,48.12%,40,83,123
"District Judge, 151st Judicial District",1050,148,153,301,506,59.49%,61,227,288
"District Judge, 151st Judicial District",1,051,0,1,2,1,2,0,0.00%,9,3,1,2
"District Judge, 151st Judicial District",1052,0,2,2,0,0.00%,1,0,1
"District Judge, 151st Judicial District",1053,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",1054,0,0,0,1,0.00%,0,0,0
