Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Wittenmyer,DEM Mike Engelhart,Totals
"District Judge, 151st Judicial District",0140,1311,683,1994,3104,64.24%,267,1601,1868
"District Judge, 151st Judicial District",0141,181,143,324,872,37.16%,191,111,302
"District Judge, 151st Judicial District",0142,212,171,383,870,44.02%,95,262,357
"District Judge, 151st Judicial District",0143,2993,660,3653,4598,79.45%,2513,989,3502
"District Judge, 151st Judicial District",0144,476,204,680,1143,59.49%,10,651,661
"District Judge, 151st Judicial District",0145,663,245,908,1580,57.47%,17,873,890
"District Judge, 151st Judicial District",0146,759,614,1373,1953,70.30%,555,713,1268
"District Judge, 151st Judicial District",0147,1255,485,1740,2813,61.86%,197,1503,1700
"District Judge, 151st Judicial District",0148,908,924,1832,2467,74.26%,657,1013,1670
"District Judge, 151st Judicial District",0149,2859,1322,4181,6103,68.51%,1824,2174,3998
"District Judge, 151st Judicial District",0150,539,207,746,1212,61.55%,17,712,729
"District Judge, 151st Judicial District",0151,316,148,464,846,54.85%,18,420,438
"District Judge, 151st Judicial District",0152,483,602,1085,2701,40.17%,225,796,1021
"District Judge, 151st Judicial District",0153,328,437,765,1755,43.59%,188,522,710
"District Judge, 151st Judicial District",0154,593,360,953,2133,44.68%,207,644,851
"District Judge, 151st Judicial District",0155,1957,834,2791,4087,68.29%,1812,819,2631
"District Judge, 151st Judicial District",0156,1427,457,1884,3134,60.11%,40,1763,1803
"District Judge, 151st Judicial District",0157,881,382,1263,2311,54.65%,42,1187,1229
"District Judge, 151st Judicial District",0158,1304,435,1739,3016,57.66%,27,1672,1699
"District Judge, 151st Judicial District",0159,313,187,500,976,51.23%,61,416,477
"District Judge, 151st Judicial District",0160,246,140,386,688,56.10%,11,359,370
"District Judge, 151st Judicial District",0161,395,190,585,1030,56.80%,7,559,566
"District Judge, 151st Judicial District",0162,232,262,494,1249,39.55%,131,312,443
"District Judge, 151st Judicial District",0163,778,635,1413,3054,46.27%,390,856,1246
"District Judge, 151st Judicial District",0164,505,304,809,1434,56.42%,10,776,786
"District Judge, 151st Judicial District",0165,918,557,1475,2284,64.58%,898,491,1389
"District Judge, 151st Judicial District",0166,281,311,592,1016,58.27%,182,365,547
"District Judge, 151st Judicial District",0167,5,2,7,23,30.43%,0,7,7
"District Judge, 151st Judicial District",0168,188,126,314,519,60.50%,7,293,300
"District Judge, 151st Judicial District",0169,1059,433,1492,2531,58.95%,20,1436,1456
"District Judge, 151st Judicial District",0170,481,353,834,1887,44.20%,385,387,772
"District Judge, 151st Judicial District",0171,514,294,808,1613,50.09%,27,749,776
"District Judge, 151st Judicial District",0172,161,147,308,600,51.33%,96,184,280
"District Judge, 151st Judicial District",0173,1798,619,2417,3105,77.84%,1811,482,2293
"District Judge, 151st Judicial District",0174,1554,767,2321,3159,73.47%,1511,642,2153
"District Judge, 151st Judicial District",0175,1064,867,1931,2506,77.06%,906,851,1757
"District Judge, 151st Judicial District",0176,626,530,1156,1581,73.12%,511,542,1053
"District Judge, 151st Judicial District",0177,672,385,1057,1478,71.52%,589,397,986
"District Judge, 151st Judicial District",0178,913,368,1281,1718,74.56%,779,396,1175
"District Judge, 151st Judicial District",0179,449,321,770,1508,51.06%,336,380,716
"District Judge, 151st Judicial District",0180,966,552,1518,2795,54.31%,37,1416,1453
"District Judge, 151st Judicial District",0181,416,514,930,1968,47.26%,252,610,862
"District Judge, 151st Judicial District",0182,1321,1081,2402,3289,73.03%,1264,933,2197
"District Judge, 151st Judicial District",0183,970,943,1913,2451,78.05%,1135,624,1759
"District Judge, 151st Judicial District",0184,214,256,470,969,48.50%,133,299,432
"District Judge, 151st Judicial District",0185,592,494,1086,1910,56.86%,332,676,1008
"District Judge, 151st Judicial District",0186,204,170,374,795,47.04%,46,304,350
"District Judge, 151st Judicial District",0187,48,65,113,309,36.57%,27,81,108
"District Judge, 151st Judicial District",0188,307,378,685,1616,42.39%,234,414,648
"District Judge, 151st Judicial District",0189,492,473,965,1453,66.41%,493,385,878
"District Judge, 151st Judicial District",0190,275,401,676,1720,39.30%,220,410,630
"District Judge, 151st Judicial District",0191,196,313,509,1391,36.59%,170,314,484
"District Judge, 151st Judicial District",0192,746,332,1078,2045,52.71%,37,1005,1042
"District Judge, 151st Judicial District",0193,341,269,610,1050,58.10%,10,579,589
"District Judge, 151st Judicial District",0194,704,504,1208,1735,69.63%,330,787,1117
"District Judge, 151st Judicial District",0195,539,419,958,1721,55.67%,25,897,922
"District Judge, 151st Judicial District",0196,121,55,176,323,54.49%,9,160,169
"District Judge, 151st Judicial District",0197,1109,497,1606,2895,55.47%,32,1526,1558
"District Judge, 151st Judicial District",0198,143,158,301,657,45.81%,6,284,290
"District Judge, 151st Judicial District",0199,1407,773,2180,3159,69.01%,1573,496,2069
"District Judge, 151st Judicial District",0200,1638,585,2223,3222,68.99%,963,1069,2032
"District Judge, 151st Judicial District",0201,229,125,354,728,48.63%,10,335,345
"District Judge, 151st Judicial District",0202,488,332,820,1479,55.44%,14,772,786
"District Judge, 151st Judicial District",0203,266,156,422,900,46.89%,84,314,398
"District Judge, 151st Judicial District",0204,1489,914,2403,3462,69.41%,1299,920,2219
"District Judge, 151st Judicial District",0205,856,201,1057,1667,63.41%,20,1006,1026
"District Judge, 151st Judicial District",0206,651,659,1310,2662,49.21%,379,845,1224
"District Judge, 151st Judicial District",0207,409,310,719,1144,62.85%,220,431,651
"District Judge, 151st Judicial District",0208,806,364,1170,2201,53.16%,296,797,1093
"District Judge, 151st Judicial District",0209,0,4,4,0,0.00%,4,0,4
"District Judge, 151st Judicial District",0210,1013,542,1555,2300,67.61%,157,1315,1472
"District Judge, 151st Judicial District",0211,710,686,1396,2797,49.91%,467,822,1289
"District Judge, 151st Judicial District",0212,218,314,532,1266,42.02%,87,414,501
"District Judge, 151st Judicial District",0213,1603,939,2542,3308,76.84%,1826,549,2375
"District Judge, 151st Judicial District",0214,798,544,1342,1795,74.76%,755,467,1222
"District Judge, 151st Judicial District",0215,844,786,1630,2168,75.18%,876,623,1499
"District Judge, 151st Judicial District",0216,784,320,1104,1917,57.59%,71,986,1057
"District Judge, 151st Judicial District",0217,1396,651,2047,2637,77.63%,1181,704,1885
"District Judge, 151st Judicial District",0218,690,608,1298,2274,57.08%,349,842,1191
"District Judge, 151st Judicial District",0219,1117,587,1704,2654,64.20%,133,1477,1610
"District Judge, 151st Judicial District",0220,711,353,1064,2360,45.08%,709,295,1004
"District Judge, 151st Judicial District",0221,699,611,1310,2489,52.63%,512,691,1203
"District Judge, 151st Judicial District",0222,1000,792,1792,2384,75.17%,724,884,1608
"District Judge, 151st Judicial District",0223,1350,760,2110,3528,59.81%,564,1363,1927
"District Judge, 151st Judicial District",0224,894,649,1543,2259,68.30%,639,772,1411
"District Judge, 151st Judicial District",0225,1109,720,1829,3155,57.97%,757,984,1741
"District Judge, 151st Judicial District",0226,529,545,1074,2393,44.88%,207,775,982
"District Judge, 151st Judicial District",0227,947,451,1398,1767,79.12%,918,363,1281
"District Judge, 151st Judicial District",0228,583,165,748,1073,69.71%,27,698,725
"District Judge, 151st Judicial District",0229,152,207,359,811,44.27%,102,236,338
"District Judge, 151st Judicial District",0230,421,153,574,1096,52.37%,11,537,548
"District Judge, 151st Judicial District",0231,562,471,1033,2219,46.55%,246,728,974
"District Judge, 151st Judicial District",0232,685,546,1231,1696,72.58%,631,496,1127
"District Judge, 151st Judicial District",0233,1826,1063,2889,4132,69.92%,1391,1265,2656
"District Judge, 151st Judicial District",0234,2088,885,2973,3854,77.14%,2062,709,2771
"District Judge, 151st Judicial District",0235,466,242,708,1305,54.25%,23,666,689
"District Judge, 151st Judicial District",0236,779,342,1121,2144,52.29%,23,1047,1070
"District Judge, 151st Judicial District",0237,793,441,1234,2181,56.58%,16,1190,1206
"District Judge, 151st Judicial District",0238,640,422,1062,1901,55.87%,17,1005,1022
"District Judge, 151st Judicial District",0239,765,357,1122,1997,56.18%,28,1058,1086
"District Judge, 151st Judicial District",0240,1157,402,1559,2688,58.00%,17,1487,1504
"District Judge, 151st Judicial District",0241,494,479,973,2296,42.38%,364,553,917
"District Judge, 151st Judicial District",0242,363,323,686,1570,43.69%,346,303,649
"District Judge, 151st Judicial District",0243,254,50,304,452,67.26%,4,292,296
"District Judge, 151st Judicial District",0244,1100,656,1756,2912,60.30%,883,789,1672
"District Judge, 151st Judicial District",0245,2340,1115,3455,5240,65.94%,2250,1059,3309
"District Judge, 151st Judicial District",0246,1,1584,624,2208,2999,73.62%,1448,648,2096
"District Judge, 151st Judicial District",0247,421,403,824,1607,51.28%,12,787,799
"District Judge, 151st Judicial District",0248,408,405,813,2122,38.31%,187,581,768
"District Judge, 151st Judicial District",0249,1028,481,1509,2676,56.39%,956,474,1430
"District Judge, 151st Judicial District",0250,306,247,553,951,58.15%,12,533,545
"District Judge, 151st Judicial District",0251,809,529,1338,2072,64.58%,51,1233,1284
"District Judge, 151st Judicial District",0252,1111,356,1467,2350,62.43%,20,1401,1421
"District Judge, 151st Judicial District",0253,923,325,1248,2252,55.42%,14,1211,1225
"District Judge, 151st Judicial District",0254,220,282,502,1476,34.01%,116,349,465
"District Judge, 151st Judicial District",0255,995,797,1792,2411,74.33%,756,907,1663
"District Judge, 151st Judicial District",0256,1059,766,1825,3226,56.57%,674,1013,1687
"District Judge, 151st Judicial District",0257,553,571,1124,2403,46.77%,256,807,1063
"District Judge, 151st Judicial District",0258,1577,888,2465,3286,75.02%,1695,569,2264
"District Judge, 151st Judicial District",0259,1,1210,460,1670,2408,69.35%,23,1608,1631
"District Judge, 151st Judicial District",0260,420,290,710,1187,59.81%,358,312,670
"District Judge, 151st Judicial District",0261,176,133,309,749,41.26%,93,200,293
"District Judge, 151st Judicial District",0262,1470,906,2376,4232,56.14%,1309,887,2196
"District Judge, 151st Judicial District",0263,1785,719,2504,3319,75.44%,1813,582,2395
"District Judge, 151st Judicial District",0264,936,639,1575,2939,53.59%,804,648,1452
"District Judge, 151st Judicial District",0265,1936,674,2610,3617,72.16%,1781,635,2416
"District Judge, 151st Judicial District",0266,552,542,1094,2119,51.63%,478,556,1034
"District Judge, 151st Judicial District",0267,294,305,599,1346,44.50%,259,296,555
"District Judge, 151st Judicial District",0268,931,810,1741,2387,72.94%,920,655,1575
"District Judge, 151st Judicial District",0269,1143,444,1587,1981,80.11%,1130,354,1484
"District Judge, 151st Judicial District",0270,1401,870,2271,3517,64.57%,1203,897,2100
"District Judge, 151st Judicial District",0271,1303,371,1674,2469,67.80%,19,1613,1632
"District Judge, 151st Judicial District",0272,610,484,1094,2112,51.80%,390,642,1032
"District Judge, 151st Judicial District",0273,1139,634,1773,2426,73.08%,1344,322,1666
"District Judge, 151st Judicial District",0274,1049,364,1413,2063,68.49%,869,463,1332
"District Judge, 151st Judicial District",0275,567,410,977,1730,56.47%,158,776,934
"District Judge, 151st Judicial District",0276,1139,404,1543,2532,60.94%,13,1491,1504
"District Judge, 151st Judicial District",0277,342,305,647,1473,43.92%,265,359,624
"District Judge, 151st Judicial District",0278,756,607,1363,2405,56.67%,689,594,1283
"District Judge, 151st Judicial District",0279,548,383,931,1899,49.03%,543,334,877
"District Judge, 151st Judicial District",0280,303,360,663,1515,43.76%,217,398,615
"District Judge, 151st Judicial District",0281,1087,903,1990,2610,76.25%,805,991,1796
"District Judge, 151st Judicial District",0282,690,591,1281,1988,64.44%,704,504,1208
"District Judge, 151st Judicial District",0283,0,0,0,0,0.00%,0,0,0
"District Judge, 151st Judicial District",0284,1135,595,1730,3262,53.03%,615,1025,1640
"District Judge, 151st Judicial District",0285,988,509,1497,2505,59.76%,101,1335,1436
"District Judge, 151st Judicial District",0286,2657,1053,3710,5719,64.87%,313,3235,3548
"District Judge, 151st Judicial District",0287,647,542,1189,1616,73.58%,573,526,1099
"District Judge, 151st Judicial District",0288,1036,380,1416,2259,62.68%,21,1346,1367
"District Judge, 151st Judicial District",0289,374,397,771,1510,51.06%,299,415,714
"District Judge, 151st Judicial District",0290,577,429,1006,1567,64.20%,752,216,968
"District Judge, 151st Judicial District",0291,541,298,839,1203,69.74%,374,406,780
"District Judge, 151st Judicial District",0292,477,236,713,1272,56.05%,87,595,682
"District Judge, 151st Judicial District",0293,620,557,1177,1733,67.92%,495,591,1086
"District Judge, 151st Judicial District",0294,989,298,1287,2107,61.08%,12,1226,1238
"District Judge, 151st Judicial District",0295,314,189,503,862,58.35%,5,485,490
"District Judge, 151st Judicial District",0296,602,432,1034,1693,61.08%,557,376,933
"District Judge, 151st Judicial District",0297,576,445,1021,1978,51.62%,359,587,946
"District Judge, 151st Judicial District",0298,847,475,1322,2083,63.47%,690,538,1228
"District Judge, 151st Judicial District",0299,328,213,541,1231,43.95%,163,341,504
"District Judge, 151st Judicial District",0300,3013,922,3935,5040,78.08%,2928,773,3701
"District Judge, 151st Judicial District",0301,450,655,1105,2397,46.10%,389,655,1044
"District Judge, 151st Judicial District",0302,713,635,1348,2724,49.49%,695,564,1259
"District Judge, 151st Judicial District",0303,1772,755,2527,3172,79.67%,1886,483,2369
"District Judge, 151st Judicial District",0304,970,648,1618,2266,71.40%,813,668,1481
"District Judge, 151st Judicial District",0305,1319,858,2177,3621,60.12%,781,1294,2075
"District Judge, 151st Judicial District",0306,1013,323,1336,1847,72.33%,917,330,1247
"District Judge, 151st Judicial District",0307,1242,876,2118,2931,72.26%,1417,574,1991
"District Judge, 151st Judicial District",0308,444,238,682,1266,53.87%,178,465,643
"District Judge, 151st Judicial District",0309,1385,612,1997,2529,78.96%,1484,382,1866
"District Judge, 151st Judicial District",0310,517,348,965,1437,67.15%,613,287,900
"District Judge, 151st Judicial District",0311,862,699,1561,2997,52.09%,641,751,1392
"District Judge, 151st Judicial District",0312,1600,718,2318,3669,63.18%,1198,967,2165
"District Judge, 151st Judicial District",0313,22,1,23,60,38.33%,12,8,20
"District Judge, 151st Judicial District",0314,2494,1221,3715,5225,71.10%,2188,1370,3558
"District Judge, 151st Judicial District",0315,711,479,1190,1618,73.55%,639,457,1096
"District Judge, 151st Judicial District",0316,682,411,1093,1522,71.81%,527,483,1010
"District Judge, 151st Judicial District",0317,551,336,887,1469,60.38%,252,597,849
"District Judge, 151st Judicial District",0318,1708,611,2319,3531,65.68%,86,2144,2230
"District Judge, 151st Judicial District",0319,965,290,1255,2081,60.31%,68,1137,1205
"District Judge, 151st Judicial District",0320,464,300,764,1505,50.76%,323,394,717
"District Judge, 151st Judicial District",0321,442,305,748,2029,36.87%,240,466,706
"District Judge, 151st Judicial District",0322,397,237,634,1322,47.96%,154,455,609
"District Judge, 151st Judicial District",0323,482,332,814,1719,47.35%,314,436,750
"District Judge, 151st Judicial District",0324,967,718,1685,2339,72.04%,1023,527,1550
