Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mitt Romney l Paul Ryan,DEM Barack Obama I Joe Biden,LIB Gary Johnson I Jim Gray,GRN Jill Stein l Cheri Honkala,Stewart Alexanderl Alex Mendoza,Rocky Anderson I Luis J. Rodriguez,Avery Ayers l Alejandrina Cabrera,Andre N. Barnettl Kenneth R. Cross
President and Vice President,0135,1438,634,2072,2750,75.35%,1366,657,27,8,0,0,0,0
President and Vice President,0136,986,451,1437,2111,68.07%,44,1353,13,8,0,0,0,0
President and Vice President,0137,305,193,498,740,67.30%,256,222,9,5,0,0,0,0
President and Vice President,0138,661,259,920,1749,52.60%,15,885,1,1,0,0,0,0
President and Vice President,0139,1307,747,2054,2746,74.80%,1027,965,31,14,0,0,0,0
President and Vice President,0140,1317,683,2000,3104,64.43%,287,1663,15,11,0,0,0,0
President and Vice President,0141,181,143,324,872,37.16%,212,103,1,1,0,0,0,0
President and Vice President,0142,212,171,383,870,44.02%,104,266,3,1,0,0,0,0
President and Vice President,0143,3002,660,3662,4598,79.64%,2602,1016,18,3,0,0,0,0
President and Vice President,0144,477,204,681,1143,59.58%,8,662,1,1,0,0,0,0
President and Vice President,0145,663,245,908,1580,57.47%,17,878,0,1,0,0,0,0
President and Vice President,0146,760,614,1374,1953,70.35%,620,707,22,11,0,1,0,0
President and Vice President,0147,1259,485,1744,2813,62.00%,203,1501,5,3,0,0,0,0
President and Vice President,0148,917,924,1841,2467,74.63%,773,1021,23,17,0,0,0,0
President and Vice President,0149,2868,1322,4190,6103,68.65%,1854,2245,33,9,0,0,0,0
President and Vice President,0150,539,207,746,1212,61.55%,17,717,2,1,0,0,0,0
President and Vice President,0151,316,148,464,846,54.85%,21,429,1,1,0,0,0,0
President and Vice President,0152,484,602,1086,2701,40.21%,242,793,14,10,0,0,0,0
President and Vice President,0153,328,437,765,1755,43.59%,206,526,6,4,0,0,0,0
