Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Massengale,DEM Nile Copeland,Totals
"Justice, 1st Court of Appeals District, Place 8",0136,981,451,1432,2111,67.84%,54,1325,1379
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Massengale,DEM Nile Copeland,Totals
"Justice, 1st Court of Appeals District, Place 8",0137,305,193,498,740,67.30%,261,188,449
"Justice, 1st Court of Appeals District, Place 8",0138,661,259,920,1749,52.60%,18,869,887
"Justice, 1st Court of Appeals District, Place 8",0139,1290,747,2037,2746,74.18%,1016,844,1860
"Justice, 1st Court of Appeals District, Place 8",0140,1315,683,1998,3104,64.37%,294,1592,1886
"Justice, 1st Court of Appeals District, Place 8",0141,181,143,324,872,37.16%,192,112,304
"Justice, 1st Court of Appeals District, Place 8",0142,212,171,383,870,44.02%,105,253,358
"Justice, 1st Court of Appeals District, Place 8",0143,2994,660,3654,4598,79.47%,2550,958,3508
"Justice, 1st Court of Appeals District, Place 8",0144,477,204,681,1143,59.58%,9,651,660
"Justice, 1st Court of Appeals District, Place 8",0145,663,245,908,1580,57.47%,16,873,889
"Justice, 1st Court of Appeals District, Place 8",0146,759,614,1373,1953,70.30%,615,658,1273
"Justice, 1st Court of Appeals District, Place 8",0147,1255,485,1740,2813,61.86%,200,1495,1695
"Justice, 1st Court of Appeals District, Place 8",0148,908,924,1832,2467,74.26%,824,854,1678
"Justice, 1st Court of Appeals District, Place 8",0149,2860,1322,4182,6103,68.52%,1851,2150,4001
"Justice, 1st Court of Appeals District, Place 8",0150,539,207,746,1212,61.55%,17,708,725
"Justice, 1st Court of Appeals District, Place 8",0151,316,148,464,846,54.85%,18,419,437
"Justice, 1st Court of Appeals District, Place 8",0152,483,602,1085,2701,40.17%,237,785,1022
"Justice, 1st Court of Appeals District, Place 8",0153,328,437,765,1755,43.59%,191,515,706
"Justice, 1st Court of Appeals District, Place 8",0154,593,360,953,2133,44.68%,212,650,862
"Justice, 1st Court of Appeals District, Place 8",0155,1957,834,2791,4087,68.29%,1876,768,2644
"Justice, 1st Court of Appeals District, Place 8",0156,1427,457,1884,3134,60.11%,48,1753,1801
"Justice, 1st Court of Appeals District, Place 8",0157,881,382,1263,2311,54.65%,40,1187,1227
"Justice, 1st Court of Appeals District, Place 8",0158,1304,435,1739,3016,57.66%,27,1671,1698
"Justice, 1st Court of Appeals District, Place 8",0159,313,187,500,976,51.23%,60,417,477
