Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",0116,1626,747,2373,3014,78.73%,1790,444,2234
"Justice, 1st Court of Appeals District, Place 9",0117,398,462,860,1878,45.79%,351,464,815
"Justice, 1st Court of Appeals District, Place 9",0118,460,148,608,743,81.83%,477,98,575
"Justice, 1st Court of Appeals District, Place 9",0119,1924,1265,3189,4892,65.19%,2490,587,3077
"Justice, 1st Court of Appeals District, Place 9",0120,1198,632,1830,2986,61.29%,1094,622,1716
"Justice, 1st Court of Appeals District, Place 9",0121,193,244,437,679,64.36%,288,126,414
"Justice, 1st Court of Appeals District, Place 9",0122,895,349,1244,2199,56.57%,32,1159,1191
"Justice, 1st Court of Appeals District, Place 9",0123,440,350,790,1356,58.26%,225,507,732
"Justice, 1st Court of Appeals District, Place 9",0124,3522,1281,4803,5952,80.70%,3749,828,4577
"Justice, 1st Court of Appeals District, Place 9",0125,896,534,1430,2281,62.69%,809,555,1364
"Justice, 1st Court of Appeals District, Place 9",0126,1630,407,2037,2799,72.78%,1724,219,1943
"Justice, 1st Court of Appeals District, Place 9",0127,854,182,1036,1703,60.83%,710,280,990
"Justice, 1st Court of Appeals District, Place 9",0128,936,736,1672,2257,74.08%,1054,457,1511
"Justice, 1st Court of Appeals District, Place 9",0129,2294,1449,3743,5495,68.12%,2308,1207,3515
"Justice, 1st Court of Appeals District, Place 9",0130,1203,523,1726,2240,77.05%,1256,362,1618
"Justice, 1st Court of Appeals District, Place 9",0131,604,374,978,1721,56.83%,229,708,937
"Justice, 1st Court of Appeals District, Place 9",0132,1119,397,1516,2449,61.90%,27,1434,1461
"Justice, 1st Court of Appeals District, Place 9",0133,1088,940,2028,2605,77.85%,1227,621,1848
"Justice, 1st Court of Appeals District, Place 9",0134,420,392,812,1444,56.23%,355,409,764
"Justice, 1st Court of Appeals District, Place 9",0135,1425,634,2059,2750,74.87%,1324,574,1898
"Justice, 1st Court of Appeals District, Place 9",0136,981,451,1432,2111,67.84%,50,1331,1381
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",0137,305,193,498,740,67.30%,257,196,453
"Justice, 1st Court of Appeals District, Place 9",0138,661,259,920,1749,52.60%,22,863,885
"Justice, 1st Court of Appeals District, Place 9",0139,1290,747,2037,2746,74.18%,1006,859,1865
"Justice, 1st Court of Appeals District, Place 9",0140,1315,683,1998,3104,64.37%,280,1609,1889
"Justice, 1st Court of Appeals District, Place 9",0141,181,143,324,872,37.16%,194,109,303
"Justice, 1st Court of Appeals District, Place 9",0142,212,171,383,870,44.02%,97,258,355
"Justice, 1st Court of Appeals District, Place 9",0143,2994,660,3654,4598,79.47%,2535,974,3509
"Justice, 1st Court of Appeals District, Place 9",0144,477,204,681,1143,59.58%,9,653,662
"Justice, 1st Court of Appeals District, Place 9",0145,663,245,908,1580,57.47%,15,874,889
"Justice, 1st Court of Appeals District, Place 9",0146,759,614,1373,1953,70.30%,589,683,1272
"Justice, 1st Court of Appeals District, Place 9",0147,1255,485,1740,2813,61.86%,202,1497,1699
"Justice, 1st Court of Appeals District, Place 9",0148,908,924,1832,2467,74.26%,789,888,1677
"Justice, 1st Court of Appeals District, Place 9",0149,2860,1322,4182,6103,68.52%,1836,2173,4009
"Justice, 1st Court of Appeals District, Place 9",0150,539,207,746,1212,61.55%,15,709,724
"Justice, 1st Court of Appeals District, Place 9",0151,316,148,464,846,54.85%,21,417,438
"Justice, 1st Court of Appeals District, Place 9",0152,483,602,1085,2701,40.17%,233,792,1025
"Justice, 1st Court of Appeals District, Place 9",0153,328,437,765,1755,43.59%,182,528,710
"Justice, 1st Court of Appeals District, Place 9",0154,593,360,953,2133,44.68%,203,657,860
"Justice, 1st Court of Appeals District, Place 9",0155,1957,834,2791,4087,68.29%,1842,806,2648
"Justice, 1st Court of Appeals District, Place 9",0156,1427,457,1884,3134,60.11%,49,1754,1803
