Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,"DEM Lawrence Allen, Jr.",Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,"DEM Lawrence Allen, Jr.",Totals
"Member, State Board of Education, District 4",0207,409,310,719,1144,62.85%,274,387,661
"Member, State Board of Education, District 4",0208,806,364,1170,2201,53.16%,325,778,1103
"Member, State Board of Education, District 4",0210,1015,542,1557,2300,67.70%,168,1317,1485
"Member, State Board of Education, District 4",0211,710,686,1396,2797,49.91%,520,782,1302
"Member, State Board of Education, District 4",0212,218,314,532,1266,42.02%,97,404,501
"Member, State Board of Education, District 4",0216,784,320,1104,1917,57.59%,90,978,1068
"Member, State Board of Education, District 4",0218,690,608,1298,2274,57.08%,422,790,1212
"Member, State Board of Education, District 4",0219,1117,587,1704,2654,64.20%,138,1488,1626
"Member, State Board of Education, District 4",0221,699,611,1310,2489,52.63%,561,651,1212
"Member, State Board of Education, District 4",0223,1350,760,2110,3528,59.81%,592,1368,1960
"Member, State Board of Education, District 4",0226,529,545,1074,2393,44.88%,261,725,986
"Member, State Board of Education, District 4",0228,583,165,748,1073,69.71%,32,688,720
"Member, State Board of Education, District 4",0229,152,207,359,811,44.27%,114,229,343
"Member, State Board of Education, District 4",0230,421,153,574,1096,52.37%,12,536,548
"Member, State Board of Education, District 4",0231,562,471,1033,2219,46.55%,291,690,981
"Member, State Board of Education, District 4",0235,466,242,708,1305,54.25%,23,666,689
"Member, State Board of Education, District 4",0236,779,342,1121,2144,52.29%,31,1041,1072
"Member, State Board of Education, District 4",0237,793,441,1234,2181,56.58%,20,1181,1201
"Member, State Board of Education, District 4",0238,640,422,1062,1901,55.87%,22,1007,1029
"Member, State Board of Education, District 4",0239,765,357,1122,1997,56.18%,30,1056,1086
"Member, State Board of Education, District 4",0240,1158,402,1560,2688,58.04%,20,1486,1506
"Member, State Board of Education, District 4",0241,494,479,973,2296,42.38%,397,530,927
"Member, State Board of Education, District 4",0243,254,50,304,452,67.26%,4,290,294
"Member, State Board of Education, District 4",0247,421,403,824,1607,51.28%,18,790,808
"Member, State Board of Education, District 4",0252,1111,356,1467,2350,62.43%,23,1403,1426
"Member, State Board of Education, District 4",0253,923,325,1248,2252,55.42%,17,1212,1229
"Member, State Board of Education, District 4",0254,220,282,502,1476,34.01%,129,340,469
"Member, State Board of Education, District 4",0255,995,797,1792,2411,74.33%,793,873,1666
"Member, State Board of Education, District 4",0257,553,571,1124,2403,46.77%,276,796,1072
"Member, State Board of Education, District 4",0259,1210,460,1670,2408,69.35%,30,1600,1630
"Member, State Board of Education, District 4",0261,176,133,309,749,41.26%,95,195,290
"Member, State Board of Education, District 4",0266,552,542,1094,2119,51.63%,497,542,1039
"Member, State Board of Education, District 4",0267,294,305,599,1346,44.50%,262,291,553
"Member, State Board of Education, District 4",0270,1401,870,2271,3517,64.57%,1263,855,2118
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,"DEM Lawrence Allen, Jr.",Totals
"Member, State Board of Education, District 4",0271,1303,371,1674,2469,67.80%,16,1606,1622
"Member, State Board of Education, District 4",0275,567,410,977,1730,56.47%,177,764,941
"Member, State Board of Education, District 4",0276,1139,404,1543,2532,60.94%,14,1488,1502
"Member, State Board of Education, District 4",0277,342,305,647,1473,43.92%,273,353,626
"Member, State Board of Education, District 4",0278,756,607,1363,2405,56.67%,711,579,1290
"Member, State Board of Education, District 4",0280,303,360,663,1515,43.76%,234,386,620
"Member, State Board of Education, District 4",0285,988,509,1497,2505,59.76%,112,1331,1443
"Member, State Board of Education, District 4",0286,2658,1053,3711,5719,64.89%,367,3195,3562
"Member, State Board of Education, District 4",0287,647,542,1189,1616,73.58%,624,489,1113
"Member, State Board of Education, District 4",0288,1036,380,1416,2259,62.68%,21,1343,1364
"Member, State Board of Education, District 4",0289,374,397,771,1510,51.06%,321,395,716
"Member, State Board of Education, District 4",0291,541,298,839,1203,69.74%,392,398,790
"Member, State Board of Education, District 4",0292,477,236,713,1272,56.05%,94,595,689
"Member, State Board of Education, District 4",0293,620,557,1177,1733,67.92%,529,578,1107
"Member, State Board of Education, District 4",0294,989,298,1287,2107,61.08%,8,1246,1254
"Member, State Board of Education, District 4",0295,314,189,503,862,58.35%,7,483,490
"Member, State Board of Education, District 4",0301,450,655,1105,2397,46.10%,416,633,1049
"Member, State Board of Education, District 4",0308,444,238,682,1266,53.87%,188,460,648
"Member, State Board of Education, District 4",0313,22,1,23,60,38.33%,12,8,20
"Member, State Board of Education, District 4",0318,1708,611,2319,3531,65.68%,105,2131,2236
"Member, State Board of Education, District 4",0319,965,290,1255,2081,60.31%,87,1120,1207
"Member, State Board of Education, District 4",0320,464,300,764,1505,50.76%,341,378,719
"Member, State Board of Education, District 4",0321,442,306,748,2029,36.87%,260,450,710
"Member, State Board of Education, District 4",0322,397,237,634,1322,47.96%,166,449,615
"Member, State Board of Education, District 4",0323,482,332,814,1719,47.35%,332,421,753
"Member, State Board of Education, District 4",0324,967,718,1685,2339,72.04%,1055,510,1565
"Member, State Board of Education, District 4",0325,656,397,1053,2251,46.78%,244,766,1010
"Member, State Board of Education, District 4",0326,202,128,330,678,48.67%,146,162,308
"Member, State Board of Education, District 4",0327,726,244,970,1751,55.40%,16,916,932
"Member, State Board of Education, District 4",0328,344,270,614,1361,45.11%,239,346,585
"Member, State Board of Education, District 4",0329,405,307,712,1367,52.08%,230,436,666
