Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM Traci Jensen,LIB Gene Clark,GRN G C Molison,Totals
"Member, State Board of Education, District 6",0245,2340,1115,3455,5240,65.94%,2187,1028,95,33,3343
"Member, State Board of Education, District 6",0246,1584,524,2208,2999,73.62%,1417,644,50,11,2122
"Member, State Board of Education, District 6",0256,1059,766,1825,3226,56.57%,655,975,43,28,1701
"Member, State Board of Education, District 6",0258,1577,888,2465,3286,75.02%,1631,614,49,22,2316
"Member, State Board of Education, District 6",0260,420,290,710,1187,59.81%,357,303,15,5,680
"Member, State Board of Education, District 6",0262,1470,906,2376,4232,56.14%,1238,880,88,23,2229
"Member, State Board of Education, District 6",0263,1785,719,2504,3319,75.44%,1763,561,67,15,2406
"Member, State Board of Education, District 6",0264,935,539,1575,2939,53.59%,773,646,42,15,1476
"Member, State Board of Education, District 6",0265,1936,674,2610,3617,72.16%,1760,625,57,8,2450
"Member, State Board of Education, District 6",0268,931,810,1741,2387,72.94%,939,592,46,19,1596
"Member, State Board of Education, District 6",0269,1143,444,1587,1981,80.11%,1159,281,28,5,1473
"Member, State Board of Education, District 6",0272,610,484,1094,2112,51.80%,373,616,40,12,1041
"Member, State Board of Education, District 6",0273,1139,634,1773,2426,73.08%,1328,317,41,6,1692
"Member, State Board of Education, District 6",0274,1049,364,1413,2063,68.49%,854,421,48,19,1342
"Member, State Board of Education, District 6",0281,1087,903,1990,2610,76.25%,866,876,45,21,1808
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM Traci Jensen,LIB Gene Clark,GRN G C Molison,Totals
"Member, State Board of Education, District 6",0282,690,591,1281,1988,64.44%,675,498,51,11,1235
"Member, State Board of Education, District 6",0283,0,0,0,0,0.00%,0,0,0,0,0
"Member, State Board of Education, District 6",0284,1135,595,1730,3262,53.03%,591,1007,28,21,1647
"Member, State Board of Education, District 6",0296,602,432,1034,1693,61.08%,555,363,25,12,955
"Member, State Board of Education, District 6",0297,576,445,1021,1978,51,62%,353,576,22,8,959
"Member, State Board of Education, District 6",0298,847,475,1322,2083,63.47%,656,514,60,27,1257
"Member, State Board of Education, District 6",0299,328,213,541,1231,43.95%,156,333,12,5,506
"Member, State Board of Education, District 6",0300,3013,922,3935,5040,78.08%,2852,772,107,18,3749
"Member, State Board of Education, District 6",0303,1772,755,2527,3172,79.67%,1895,443,35,15,2388
"Member, State Board of Education, District 6",0304,970,648,1618,2266,71.40%,823,616,43,21,1503
