Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chuck Maricle,DEM El Franco Lee,Totals
"County Commissioner, Precinct 1",0350,1112,780,1892,2906,65.11%,730,1003,1733
"County Commissioner, Precinct 1",0355,700,286,986,1384,71.24%,83,877,960
"County Commissioner, Precinct 1",0358,740,464,1204,2297,52.42%,89,1075,1164
"County Commissioner, Precinct 1",0359,706,482,1188,3008,39.49%,87,1058,1145
"County Commissioner, Precinct 1",0361,135,691,826,1585,52.11%,148,551,699
"County Commissioner, Precinct 1",0365,734,245,979,1302,75.19%,84,864,948
"County Commissioner, Precinct 1",0367,328,212,540,1019,52.99%,91,432,523
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chuck Maricle,DEM El Franco Lee,Totals
"County Commissioner, Precinct 1",0371,226,69,295,475,62.11%,6,284,290
"County Commissioner, Precinct 1",0372,498,231,729,1215,60.00%,76,626,702
"County Commissioner, Precinct 1",0373,61,16,77,159,48.43%,0,75,75
"County Commissioner, Precinct 1",0378,559,521,1080,1777,60.78%,646,395,1041
"County Commissioner, Precinct 1",0379,800,338,1138,2017,56.42%,70,1028,1098
"County Commissioner, Precinct 1",0380,2500,1183,3683,4753,77.49%,1995,1536,3531
"County Commissioner, Precinct 1",0382,276,231,507,841,60.29%,330,153,483
"County Commissioner, Precinct 1",0384,1172,505,1677,2596,64.60%,315,1304,1619
"County Commissioner, Precinct 1",0389,283,261,544,975,55.79%,85,413,498
"County Commissioner, Precinct 1",0390,644,368,1012,1565,64.66%,112,861,973
"County Commissioner, Precinct 1",0392,737,197,934,1441,64.82%,7,913,920
"County Commissioner, Precinct 1",0396,1157,219,1376,2073,66.38%,13,1330,1343
"County Commissioner, Precinct 1",0401,723,284,1007,1876,53.68%,40,946,986
"County Commissioner, Precinct 1",0402,891,245,1136,1737,65.40%,46,1067,1113
"County Commissioner, Precinct 1",0406,281,72,353,610,57.87%,5,334,339
"County Commissioner, Precinct 1",0408,154,179,333,933,35.69%,132,182,314
"County Commissioner, Precinct 1",0410,337,102,439,849,51.71%,77,348,425
"County Commissioner, Precinct 1",0412,193,74,267,433,61.66%,11,248,259
"County Commissioner, Precinct 1",0417,777,619,1396,2465,56.63%,536,808,1344
"County Commissioner, Precinct 1",0418,1057,758,1815,3420,53.07%,600,1143,1743
"County Commissioner, Precinct 1",0422,1456,585,2041,3345,61.02%,34,1964,1998
"County Commissioner, Precinct 1",0429,1091,777,1868,3929,47.54%,330,1402,1732
"County Commissioner, Precinct 1",0449,62,37,99,164,60.37%,12,81,93
"County Commissioner, Precinct 1",0450,856,537,1393,2622,53.13%,340,995,1335
"County Commissioner, Precinct 1",0453,559,475,1034,1885,54.85%,324,653,977
"County Commissioner, Precinct 1",0454,1226,311,1537,2571,59.78%,11,1485,1496
"County Commissioner, Precinct 1",0455,748,216,964,1679,57.42%,26,914,940
"County Commissioner, Precinct 1",0457,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 1",0458,908,271,1179,1893,62.28%,44,1105,1149
"County Commissioner, Precinct 1",0462,1318,865,2183,3367,64.84%,744,1315,2059
"County Commissioner, Precinct 1",0472,370,337,707,1027,68.84%,301,335,636
"County Commissioner, Precinct 1",0474,1146,766,1912,3006,63.61%,1257,572,1829
"County Commissioner, Precinct 1",0475,485,473,958,1651,58.03%,384,522,906
"County Commissioner, Precinct 1",0476,809,658,1467,2412,60.82%,713,720,1433
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chuck Maricle,DEM El Franco Lee,Totals
"County Commissioner, Precinct 1",0489,783,378,1161,1823,63.69%,319,780,1099
"County Commissioner, Precinct 1",0494,760,431,1191,2176,54.73%,129,1035,1164
"County Commissioner, Precinct 1",0497,1123,303,1426,2226,64.06%,52,1329,1381
"County Commissioner, Precinct 1",0501,653,487,1140,1647,69.22%,419,629,1048
"County Commissioner, Precinct 1",0506,1470,801,2271,3380,67.19%,360,1837,2197
"County Commissioner, Precinct 1",0520,1542,857,2399,4064,59.03%,371,1950,2321
"County Commissioner, Precinct 1",0525,1380,610,1990,2947,67.53%,370,1542,1912
"County Commissioner, Precinct 1",0528,36,12,48,92,52.17%,2,46,48
"County Commissioner, Precinct 1",0536,1332,1195,2527,4576,55.22%,802,1626,2428
"County Commissioner, Precinct 1",0537,1454,823,2277,2971,76.64%,1539,651,2190
"County Commissioner, Precinct 1",0538,433,237,670,1282,52.26%,18,631,649
"County Commissioner, Precinct 1",0540,666,380,1046,1491,70.15%,428,524,952
"County Commissioner, Precinct 1",0541,1824,779,2603,4183,62.23%,326,2162,2488
"County Commissioner, Precinct 1",0542,997,501,1498,2525,59.33%,76,1385,1461
"County Commissioner, Precinct 1",0544,92,53,145,318,45.60%,16,126,142
"County Commissioner, Precinct 1",0545,1314,857,2171,3339,65.02%,891,1208,2099
"County Commissioner, Precinct 1",0550,1134,629,1763,2847,61.92%,852,855,1707
"County Commissioner, Precinct 1",0554,562,340,902,1731,52.11%,134,708,842
"County Commissioner, Precinct 1",0555,597,447,1044,2119,49.27%,163,831,994
"County Commissioner, Precinct 1",0556,584,421,1005,2249,44.69%,209,754,963
"County Commissioner, Precinct 1",0562,201,146,347,645,53.80%,19,315,334
"County Commissioner, Precinct 1",0564,1150,713,1863,3096,60.17%,481,1256,1737
"County Commissioner, Precinct 1",0573,577,368,945,1618,58.41%,7,916,923
"County Commissioner, Precinct 1",0574,98,79,177,391,45.27%,16,153,169
"County Commissioner, Precinct 1",0576,1050,552,1602,2671,59.98%,46,1513,1559
"County Commissioner, Precinct 1",0579,487,351,838,1806,46.40%,187,607,794
"County Commissioner, Precinct 1",0580,429,146,575,1027,55.99%,11,551,562
"County Commissioner, Precinct 1",0581,510,162,672,1041,64.55%,16,634,650
"County Commissioner, Precinct 1",0582,614,256,870,1613,53.94%,39,804,843
"County Commissioner, Precinct 1",0583,544,127,671,1248,53.77%,8,651,659
"County Commissioner, Precinct 1",0584,392,139,531,971,54.69%,33,495,528
"County Commissioner, Precinct 1",0585,934,304,1238,2403,51.52%,32,1173,1205
"County Commissioner, Precinct 1",0594,1031,535,1566,2361,66.33%,440,1074,1514
"County Commissioner, Precinct 1",0595,497,380,877,1647,53.25%,133,711,844
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chuck Maricle,DEM El Franco Lee,Totals
"County Commissioner, Precinct 1",0606,420,122,542,1053,51.47%,7,525,532
"County Commissioner, Precinct 1",0607,194,118,312,731,42.68%,20,279,299
"County Commissioner, Precinct 1",0608,245,290,535,1256,42.60%,197,305,502
"County Commissioner, Precinct 1",0611,1120,301,1421,2450,58.00%,34,1356,1390
"County Commissioner, Precinct 1",0627,795,647,1442,2964,48.65%,392,972,1364
"County Commissioner, Precinct 1",0629,175,127,302,629,48.01%,20,277,297
"County Commissioner, Precinct 1",0630,2018,535,2553,3190,80.03%,211,2275,2486
"County Commissioner, Precinct 1",0632,12,9,21,231,9.09%,6,12,18
"County Commissioner, Precinct 1",0638,740,684,1424,2078,68.53%,87,1281,1368
"County Commissioner, Precinct 1",0649,1389,854,2243,4426,50.68%,593,1538,2131
"County Commissioner, Precinct 1",0652,1049,653,1702,2633,64.64%,262,1393,1655
"County Commissioner, Precinct 1",0653,0,8,8,0,0.00%,2,6,8
"County Commissioner, Precinct 1",0654,2103,1344,3447,5765,59.79%,1462,1877,3339
"County Commissioner, Precinct 1",0655,2612,1451,4063,6304,64.45%,2453,1422,3875
"County Commissioner, Precinct 1",0656,1198,421,1619,2622,61.75%,46,1526,1572
"County Commissioner, Precinct 1",0657,490,268,758,1200,63.17%,287,436,723
"County Commissioner, Precinct 1",0660,2460,932,3392,5048,67.19%,310,2982,3292
"County Commissioner, Precinct 1",0693,303,116,419,651,64.36%,101,285,386
"County Commissioner, Precinct 1",0705,358,238,596,1520,39.21%,54,521,575
"County Commissioner, Precinct 1",0722,1892,642,2534,4357,58.16%,139,2317,2456
"County Commissioner, Precinct 1",0723,747,329,1076,1760,61.14%,217,822,1039
"County Commissioner, Precinct 1",0729,208,93,301,446,67.49%,172,117,289
"County Commissioner, Precinct 1",0733,25,62,87,172,50.58%,29,51,80
"County Commissioner, Precinct 1",0738,470,219,689,1294,53.25%,80,589,669
"County Commissioner, Precinct 1",0743,27,4,31,199,15.58%,14,15,29
"County Commissioner, Precinct 1",0757,1416,690,2106,3498,60.21%,324,1719,2043
"County Commissioner, Precinct 1",0767,20,15,35,90,38.89%,22,11,33
"County Commissioner, Precinct 1",0774,116,74,190,301,63.12%,39,145,184
"County Commissioner, Precinct 1",0775,33,1,34,83,40.96%,1,32,33
"County Commissioner, Precinct 1",0779,295,221,516,1146,45.03%,152,332,484
"County Commissioner, Precinct 1",0780,136,114,250,579,43.18%,104,132,236
"County Commissioner, Precinct 1",0782,851,532,1383,2188,63.21%,797,514,1311
"County Commissioner, Precinct 1",0784,428,156,584,1071,54.53%,7,563,570
"County Commissioner, Precinct 1",0794,575,484,1059,2602,40.70%,76,944,1020
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chuck Maricle,DEM El Franco Lee,Totals
"County Commissioner, Precinct 1",0798,178,283,439,498,88.51%,128,280,408
"County Commissioner, Precinct 1",0801,88,55,123,253,48.82%,35,83,118
"County Commissioner, Precinct 1",0802,98,58,158,299,52.17%,35,110,145
"County Commissioner, Precinct 1",0808,41,28,87,84,79.78%,30,30,80
"County Commissioner, Precinct 1",0812,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 1",0815,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 1",0818,20,13,33,78,43.42%,8,28,32
"County Commissioner, Precinct 1",0820,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 1",0822,584,282,888,1544,58.09%,22,822,844
"County Commissioner, Precinct 1",0825,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 1",0830,0,0,0,1,0.00%,0,0,0
"County Commissioner, Precinct 1",0831,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 1",0832,109,48,155,351,44.18%,41,108,147
"County Commissioner, Precinct 1",0837,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 1",0840,712,251,983,1821,59.41%,308,817,925
"County Commissioner, Precinct 1",0842,987,715,1702,3091,55.08%,872,978,1848
"County Commissioner, Precinct 1",0843,0,2,2,0,0.00%,0,2,2
"County Commissioner, Precinct 1",0845,85,10,95,100,95.00%,58,33,89
"County Commissioner, Precinct 1",0848,70,29,99,210,47.14%,5,91,98
"County Commissioner, Precinct 1",0848,782,431,1213,1873,84.78%,381,811,1172
"County Commissioner, Precinct 1",0849,553,514,1087,2073,51.47%,313,899,1012
"County Commissioner, Precinct 1",0852,0,4,4,2,200.00%,0,4,4
"County Commissioner, Precinct 1",0854,41,30,71,175,40.57%,5,84,89
"County Commissioner, Precinct 1",0855,4,13,17,18,94.44%,8,9,17
"County Commissioner, Precinct 1",0857,0,0,0,1,0.00%,0,0,0
"County Commissioner, Precinct 1",0858,132,18,150,372,40.32%,4,142,148
"County Commissioner, Precinct 1",0859,309,201,510,880,59.30%,102,399,501
"County Commissioner, Precinct 1",0881,705,319,1024,1788,57.33%,172,824,998
"County Commissioner, Precinct 1",0883,210,89,279,820,45.00%,9,285,274
"County Commissioner, Precinct 1",0884,497,809,1108,2484,44.89%,248,801,1049
"County Commissioner, Precinct 1",0885,9,2,11,23,47.83%,0,11,11
"County Commissioner, Precinct 1",0883,1918,1042,2980,4851,83.84%,500,2377,2877
"County Commissioner, Precinct 1",0888,301,154,455,713,83.81%,224,192,418
"County Commissioner, Precinct 1",0887,138,83,221,313,70.81%,125,89,194
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chuck Maricle,DEM El Franco Lee,Totals
"County Commissioner, Precinct 1",0890,319,118,437,994,43.96%,160,249,409
"County Commissioner, Precinct 1",0891,539,392,931,1413,65.89%,362,514,876
"County Commissioner, Precinct 1",0892,193,130,323,696,46.41%,91,207,298
"County Commissioner, Precinct 1",0893,1,0,1,5,20.00%,0,1,1
"County Commissioner, Precinct 1",0894,0,31,31,0,0.00%,8,20,28
"County Commissioner, Precinct 1",0895,335,325,660,784,84.18%,262,336,598
"County Commissioner, Precinct 1",0896,670,303,973,1437,67.71%,370,521,891
"County Commissioner, Precinct 1",0900,5,0,5,12,41.67%,1,3,4
"County Commissioner, Precinct 1",0922,0,2,2,0,0.00%,1,1,2
"County Commissioner, Precinct 1",0924,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 1",0928,4,2,6,9,66.67%,0,6,6
"County Commissioner, Precinct 1",0929,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 1",0931,48,53,101,122,82.79%,47,43,90
"County Commissioner, Precinct 1",0932,0,5,5,0,0.00%,1,4,5
"County Commissioner, Precinct 1",0933,233,1,21,354,566,62.54%,91,247,338
"County Commissioner, Precinct 1",0947,320,292,612,822,74.45%,304,247,551
"County Commissioner, Precinct 1",0948,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 1",0949,59,37,96,201,47.76%,42,49,91
"County Commissioner, Precinct 1",0956,5,2,7,12,58.33%,4,3,7
"County Commissioner, Precinct 1",0959,0,4,4,0,0.00%,0,4,4
"County Commissioner, Precinct 1",0964,945,447,1392,1571,88.61%,826,515,1341
"County Commissioner, Precinct 1",0965,93,27,120,355,33.80%,76,38,114
"County Commissioner, Precinct 1",0969,335,82,417,584,71.40%,5,399,404
"County Commissioner, Precinct 1",0975,72,41,113,170,66.47%,51,52,103
"County Commissioner, Precinct 1",0987,465,191,656,1138,57.64%,46,589,635
"County Commissioner, Precinct 1",0994,6,5,11,8,137.50%,2,8,10
"County Commissioner, Precinct 1",0995,595,190,786,1269,61.94%,32,727,759
"County Commissioner, Precinct 1",0996,297,125,422,699,60.37%,198,212,410
"County Commissioner, Precinct 1",0997,429,328,757,1439,52.61%,128,609,737
"County Commissioner, Precinct 1",1000,105,0,105,458,22.93%,16,83,99
"County Commissioner, Precinct 1",1010,124,74,198,317,62.46%,32,162,194
"County Commissioner, Precinct 1",1019,426,4,430,1518,28.33%,17,398,415
"County Commissioner, Precinct 1",1020,0,0,0,1,0.00%,0,0,0
"County Commissioner, Precinct 1",1038,133,43,176,266,66.17%,9,163,172
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chuck Maricle,DEM El Franco Lee,Totals
"County Commissioner, Precinct 1",1045,611,321,932,1439,64.77%,118,787,905
"County Commissioner, Precinct 1",1050,148,153,301,506,59.49%,62,230,292
"County Commissioner, Precinct 1",1055,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 1",1056,4,0,4,6,66.67%,0,4,4
"County Commissioner, Precinct 1",1057,34,7,41,115,35.65%,2,36,38
"County Commissioner, Precinct 1",1058,540,246,786,1190,66.05%,112,658,770
"County Commissioner, Precinct 1",1059,7,3,10,23,43.48%,0,10,10
"County Commissioner, Precinct 1",Totals:,194730,106010,300740,499797,64032,223654,287686
