Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Brett Busby,DEM Barbara Gardner,Totals
"Justice, 14th Court of Appeals District, Place 3",0291,541,298,839,1203,69.74%,384,400,784
"Justice, 14th Court of Appeals District, Place 3",0292,478,236,714,1272,56.13%,87,597,684
"Justice, 14th Court of Appeals District, Place 3",0293,620,557,1177,1733,67.92%,505,590,1095
"Justice, 14th Court of Appeals District, Place 3",0294,989,298,1287,2107,61.08%,11,1239,1250
"Justice, 14th Court of Appeals District, Place 3",0295,314,189,503,862,58.35%,6,486,492
"Justice, 14th Court of Appeals District, Place 3",0296,602,432,1034,1693,61.08%,562,378,940
"Justice, 14th Court of Appeals District, Place 3",0297,579,445,1024,1978,51.77%,354,602,956
"Justice, 14th Court of Appeals District, Place 3",0298,848,475,1323,2083,63.51%,693,540,1233
"Justice, 14th Court of Appeals District, Place 3",0299,328,213,541,1231,43.95%,166,343,509
"Justice, 14th Court of Appeals District, Place 3",0300,3014,922,3936,5040,78.10%,2937,772,3709
"Justice, 14th Court of Appeals District, Place 3",0301,450,655,1105,2397,46.10%,392,653,1045
"Justice, 14th Court of Appeals District, Place 3",0302,713,635,1348,2724,49.49%,692,570,1262
"Justice, 14th Court of Appeals District, Place 3",0303,1773,755,2528,3172,79.70%,1945,426,2371
"Justice, 14th Court of Appeals District, Place 3",0304,970,648,1618,2266,71.40%,869,608,1477
"Justice, 14th Court of Appeals District, Place 3",0305,1319,858,2177,3621,60.12%,768,1312,2080
"Justice, 14th Court of Appeals District, Place 3",0306,1013,323,1336,1847,72.33%,912,337,1249
"Justice, 14th Court of Appeals District, Place 3",0307,1242,876,2118,2931,72.26%,1400,593,1993
"Justice, 14th Court of Appeals District, Place 3",0308,444,238,682,1266,53.87%,176,465,641
"Justice, 14th Court of Appeals District, Place 3",0309,1385,612,1997,2529,78.96%,1525,350,1875
"Justice, 14th Court of Appeals District, Place 3",0310,619,348,967,1437,67.29%,611,293,904
"Justice, 14th Court of Appeals District, Place 3",0311,862,699,1561,2997,52.09%,647,753,1400
"Justice, 14th Court of Appeals District, Place 3",0312,1600,718,2318,3669,63.18%,1223,958,2181
"Justice, 14th Court of Appeals District, Place 3",0313,22,1,23,60,38.33%,11,9,20
"Justice, 14th Court of Appeals District, Place 3",0314,2494,1221,3715,5225,71.10%,2204,1364,3568
"Justice, 14th Court of Appeals District, Place 3",0315,711,479,1190,1618,73.55%,677,423,1100
"Justice, 14th Court of Appeals District, Place 3",0316,682,411,1093,1522,71.81%,573,429,1002
"Justice, 14th Court of Appeals District, Place 3",0317,552,336,888,1469,60.45%,258,589,847
"Justice, 14th Court of Appeals District, Place 3",0318,1708,611,2319,3531,65.68%,81,2153,2234
"Justice, 14th Court of Appeals District, Place 3",0319,965,290,1255,2081,60.31%,75,1131,1206
"Justice, 14th Court of Appeals District, Place 3",0320,464,300,764,1505,50.76%,320,397,717
"Justice, 14th Court of Appeals District, Place 3",0321,442,306,748,2029,36.87%,241,468,709
"Justice, 14th Court of Appeals District, Place 3",0322,397,237,634,1322,47.96%,158,455,613
"Justice, 14th Court of Appeals District, Place 3",0323,482,332,814,1719,47.35%,314,437,751
"Justice, 14th Court of Appeals District, Place 3",0324,967,718,1685,2339,72.04%,1039,517,1556
"Justice, 14th Court of Appeals District, Place 3",0325,657,397,1054,2251,46.82%,223,782,1005
"Justice, 14th Court of Appeals District, Place 3",0326,202,128,330,678,48.67%,130,173,303
"Justice, 14th Court of Appeals District, Place 3",0327,726,244,970,1751,55.40%,17,922,939
"Justice, 14th Court of Appeals District, Place 3",0328,344,270,614,1361,45.11%,216,368,584
"Justice, 14th Court of Appeals District, Place 3",0329,405,307,712,1367,52.08%,205,458,663
"Justice, 14th Court of Appeals District, Place 3",0330,590,376,966,1849,52.24%,418,480,898
"Justice, 14th Court of Appeals District, Place 3",0331,0,1,1,0,0.00%,1,0,1
"Justice, 14th Court of Appeals District, Place 3",0332,23,4,27,128,21.09%,9,16,25
"Justice, 14th Court of Appeals District, Place 3",0333,1018,939,1957,2901,67.46%,1349,503,1852
"Justice, 14th Court of Appeals District, Place 3",0334,255,114,369,755,48.87%,73,281,354
"Justice, 14th Court of Appeals District, Place 3",0335,285,246,531,1227,43.28%,148,328,476
"Justice, 14th Court of Appeals District, Place 3",0336,1820,588,2408,3161,76.18%,203,2128,2331
"Justice, 14th Court of Appeals District, Place 3",0337,310,207,517,951,54.36%,83,420,503
"Justice, 14th Court of Appeals District, Place 3",0338,1541,824,2365,4673,50.61%,638,1567,2205
"Justice, 14th Court of Appeals District, Place 3",0339,369,373,742,1716,43.24%,140,536,676
"Justice, 14th Court of Appeals District, Place 3",0340,1778,833,2611,3717,70.24%,1855,592,2447
"Justice, 14th Court of Appeals District, Place 3",0341,246,316,562,1248,45.03%,123,411,534
"Justice, 14th Court of Appeals District, Place 3",0342,2029,1113,3142,5718,54.95%,419,2625,3044
"Justice, 14th Court of Appeals District, Place 3",0343,436,483,919,1904,48.27%,206,623,829
"Justice, 14th Court of Appeals District, Place 3",0344,395,245,640,1207,53.02%,22,592,614
"Justice, 14th Court of Appeals District, Place 3",0345,428,357,785,1708,45.96%,155,589,744
"Justice, 14th Court of Appeals District, Place 3",0346,1,2,3,1,300.00%,3,0,3
"Justice, 14th Court of Appeals District, Place 3",0347,1250,614,1864,3299,56.50%,1104,674,1778
"Justice, 14th Court of Appeals District, Place 3",0348,751,280,1031,1740,59.25%,707,272,979
"Justice, 14th Court of Appeals District, Place 3",0349,405,407,812,1315,61.75%,460,311,771
"Justice, 14th Court of Appeals District, Place 3",0350,1115,780,1895,2906,65.21%,739,1001,1740
"Justice, 14th Court of Appeals District, Place 3",0351,2495,793,3288,4537,72.47%,2517,640,3157
"Justice, 14th Court of Appeals District, Place 3",0352,1152,583,1735,3193,54.34%,1158,500,1658
"Justice, 14th Court of Appeals District, Place 3",0353,1544,703,2247,3697,60.78%,362,1798,2160
"Justice, 14th Court of Appeals District, Place 3",0354,1476,517,1993,3193,62.42%,427,1479,1906
"Justice, 14th Court of Appeals District, Place 3",0355,701,286,987,1384,71.32%,88,869,957
"Justice, 14th Court of Appeals District, Place 3",0356,1382,618,2000,2836,70.52%,1117,747,1864
"Justice, 14th Court of Appeals District, Place 3",0357,1633,709,2342,3371,69.47%,1677,548,2225
"Justice, 14th Court of Appeals District, Place 3",0358,740,464,1204,2297,52.42%,84,1077,1161
"Justice, 14th Court of Appeals District, Place 3",0359,706,482,1188,3008,39.49%,92,1055,1147
"Justice, 14th Court of Appeals District, Place 3",0360,971,515,1486,2190,67.85%,780,571,1351
"Justice, 14th Court of Appeals District, Place 3",0361,135,691,826,1585,52.11%,147,554,701
"Justice, 14th Court of Appeals District, Place 3",0362,2131,1200,3331,4952,67.27%,2349,803,3152
"Justice, 14th Court of Appeals District, Place 3",0363,1347,687,2034,3291,61.80%,862,1104,1966
"Justice, 14th Court of Appeals District, Place 3",0364,912,602,1514,2539,59.63%,729,706,1435
"Justice, 14th Court of Appeals District, Place 3",0365,735,245,980,1302,75.27%,79,874,953
"Justice, 14th Court of Appeals District, Place 3",0366,638,466,1104,2089,52.85%,221,845,1066
"Justice, 14th Court of Appeals District, Place 3",0367,328,212,540,1019,52.99%,93,426,519
"Justice, 14th Court of Appeals District, Place 3",0368,418,143,561,929,60.39%,140,403,543
"Justice, 14th Court of Appeals District, Place 3",0369,107,53,160,490,32.65%,56,98,154
"Justice, 14th Court of Appeals District, Place 3",0370,3144,1178,4322,5781,74.76%,3184,944,4128
"Justice, 14th Court of Appeals District, Place 3",0371,226,69,295,475,62.11%,5,281,286
"Justice, 14th Court of Appeals District, Place 3",0372,498,231,729,1215,60.00%,74,624,698
"Justice, 14th Court of Appeals District, Place 3",0373,61,16,77,159,48.43%,1,75,76
"Justice, 14th Court of Appeals District, Place 3",0374,139,187,326,748,43.58%,87,220,307
"Justice, 14th Court of Appeals District, Place 3",0375,577,524,1101,2607,42.23%,427,613,1040
"Justice, 14th Court of Appeals District, Place 3",0376,629,334,963,1916,50.26%,380,525,905
"Justice, 14th Court of Appeals District, Place 3",0377,1055,707,1762,2871,61.37%,1263,386,1649
"Justice, 14th Court of Appeals District, Place 3",0378,559,521,1080,1777,60.78%,649,379,1028
"Justice, 14th Court of Appeals District, Place 3",0379,801,338,1139,2017,56.47%,75,1017,1092
"Justice, 14th Court of Appeals District, Place 3",0380,2502,1183,3685,4753,77.53%,2041,1469,3510
"Justice, 14th Court of Appeals District, Place 3",0381,957,424,1381,2715,50.87%,541,776,1317
"Justice, 14th Court of Appeals District, Place 3",0382,276,231,507,841,60.29%,346,136,482
"Justice, 14th Court of Appeals District, Place 3",0383,599,493,1092,2076,52.60%,324,715,1039
"Justice, 14th Court of Appeals District, Place 3",0384,1173,505,1678,2596,64.64%,325,1286,1611
"Justice, 14th Court of Appeals District, Place 3",0385,1099,621,1720,2175,79.08%,1240,359,1599
"Justice, 14th Court of Appeals District, Place 3",0386,1464,460,1924,2872,66.99%,1346,493,1839
"Justice, 14th Court of Appeals District, Place 3",0387,1369,802,2171,3727,58.25%,1434,623,2057
"Justice, 14th Court of Appeals District, Place 3",0388,2780,1222,4002,5329,75.10%,2176,1661,3837
"Justice, 14th Court of Appeals District, Place 3",0389,285,261,546,975,56.00%,86,424,510
"Justice, 14th Court of Appeals District, Place 3",0390,644,368,1012,1565,64.66%,116,849,965
"Justice, 14th Court of Appeals District, Place 3",0391,856,355,1211,1805,67.09%,736,410,1146
"Justice, 14th Court of Appeals District, Place 3",0392,737,197,934,1441,64.82%,7,906,913
"Justice, 14th Court of Appeals District, Place 3",0393,346,318,664,1206,55.06%,275,349,624
"Justice, 14th Court of Appeals District, Place 3",0394,166,176,342,860,39.77%,126,197,323
"Justice, 14th Court of Appeals District, Place 3",0395,830,491,1321,1820,72.58%,884,350,1234
"Justice, 14th Court of Appeals District, Place 3",0396,1157,219,1376,2073,66.38%,13,1321,1334
"Justice, 14th Court of Appeals District, Place 3",0397,163,148,311,750,41.47%,114,175,289
"Justice, 14th Court of Appeals District, Place 3",0398,1439,840,2279,3816,59.72%,1076,1106,2182
"Justice, 14th Court of Appeals District, Place 3",0399,897,593,1490,2542,58.62%,697,743,1440
"Justice, 14th Court of Appeals District, Place 3",0400,1051,506,1557,2238,69.57%,1068,401,1469
"Justice, 14th Court of Appeals District, Place 3",0401,723,284,1007,1876,53.68%,39,942,981
"Justice, 14th Court of Appeals District, Place 3",0402,892,245,1137,1737,65.46%,51,1055,1106
"Justice, 14th Court of Appeals District, Place 3",0403,791,527,1318,1703,77.39%,705,484,1189
"Justice, 14th Court of Appeals District, Place 3",0404,778,552,1330,2589,51.37%,656,600,1256
"Justice, 14th Court of Appeals District, Place 3",0405,0,1,1,0,0.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 3",0406,281,72,353,610,57.87%,7,330,337
"Justice, 14th Court of Appeals District, Place 3",0407,1317,1000,2317,3652,63.44%,1394,766,2160
"Justice, 14th Court of Appeals District, Place 3",0408,154,179,333,933,35.69%,130,181,311
"Justice, 14th Court of Appeals District, Place 3",0409,277,289,566,1371,41.28%,161,366,527
"Justice, 14th Court of Appeals District, Place 3",0410,337,102,439,849,51.71%,83,342,425
"Justice, 14th Court of Appeals District, Place 3",0411,542,462,1004,2302,43.61%,276,660,936
"Justice, 14th Court of Appeals District, Place 3",0412,193,74,267,433,61.66%,9,251,260
"Justice, 14th Court of Appeals District, Place 3",0413,1493,525,2018,3023,66.75%,733,1169,1902
"Justice, 14th Court of Appeals District, Place 3",0414,1452,593,2045,3457,59.16%,1403,506,1909
"Justice, 14th Court of Appeals District, Place 3",0415,950,633,1583,2124,74.53%,1040,444,1484
"Justice, 14th Court of Appeals District, Place 3",0416,1177,916,2093,3582,58.43%,1032,938,1970
"Justice, 14th Court of Appeals District, Place 3",0417,777,619,1396,2465,56.63%,584,738,1322
"Justice, 14th Court of Appeals District, Place 3",0418,1057,758,1815,3420,53.07%,634,1081,1715
"Justice, 14th Court of Appeals District, Place 3",0419,1006,578,1584,2697,58.73%,970,536,1506
"Justice, 14th Court of Appeals District, Place 3",0420,2174,1089,3263,4639,70.34%,2589,508,3097
"Justice, 14th Court of Appeals District, Place 3",0421,124,92,216,467,46.25%,43,165,208
"Justice, 14th Court of Appeals District, Place 3",0422,1456,585,2041,3345,61.02%,41,1944,1985
"Justice, 14th Court of Appeals District, Place 3",0423,190,309,499,894,55.82%,198,264,462
"Justice, 14th Court of Appeals District, Place 3",0424,435,1,57,592,888,66.67%,325,249,574
"Justice, 14th Court of Appeals District, Place 3",0425,227,234,461,875,52.69%,145,288,433
"Justice, 14th Court of Appeals District, Place 3",0426,415,283,698,1224,57.03%,367,270,637
"Justice, 14th Court of Appeals District, Place 3",0427,325,249,574,1115,51.48%,196,338,534
"Justice, 14th Court of Appeals District, Place 3",0428,1284,907,2191,4316,50.76%,616,1430,2046
"Justice, 14th Court of Appeals District, Place 3",0429,1093,777,1870,3929,47.59%,329,1397,1726
"Justice, 14th Court of Appeals District, Place 3",0430,405,335,740,1654,44.74%,144,538,682
"Justice, 14th Court of Appeals District, Place 3",0431,820,403,1223,3188,38.36%,307,843,1150
"Justice, 14th Court of Appeals District, Place 3",0432,312,271,583,1344,43.38%,155,400,555
"Justice, 14th Court of Appeals District, Place 3",0433,139,106,245,573,42.76%,40,193,233
"Justice, 14th Court of Appeals District, Place 3",0434,628,371,999,1386,72.08%,606,328,934
"Justice, 14th Court of Appeals District, Place 3",0435,1534,768,2302,3097,74.33%,1458,693,2151
"Justice, 14th Court of Appeals District, Place 3",0436,1334,709,2043,3012,67.83%,1159,744,1903
"Justice, 14th Court of Appeals District, Place 3",0437,951,542,1493,2007,74.39%,1009,389,1398
"Justice, 14th Court of Appeals District, Place 3",0438,1046,387,1433,1802,79.52%,1016,303,1319
"Justice, 14th Court of Appeals District, Place 3",0439,1526,905,2431,3416,71.17%,1647,617,2264
"Justice, 14th Court of Appeals District, Place 3",0440,1326,876,2202,2867,76.81%,1665,383,2048
"Justice, 14th Court of Appeals District, Place 3",0441,698,513,1211,1616,74.94%,862,271,1133
"Justice, 14th Court of Appeals District, Place 3",0442,1366,513,1879,2504,75.04%,1484,305,1789
"Justice, 14th Court of Appeals District, Place 3",0443,335,148,483,605,79.83%,341,104,445
"Justice, 14th Court of Appeals District, Place 3",0444,1258,731,1989,3172,62.70%,1139,711,1850
"Justice, 14th Court of Appeals District, Place 3",0445,860,443,1303,1938,67.23%,768,450,1218
"Justice, 14th Court of Appeals District, Place 3",0446,70,52,122,268,45.52%,42,73,115
"Justice, 14th Court of Appeals District, Place 3",0447,271,108,379,583,65.01%,124,226,350
"Justice, 14th Court of Appeals District, Place 3",0448,1239,869,2108,3081,68.42%,1188,752,1940
"Justice, 14th Court of Appeals District, Place 3",0449,62,37,99,164,60.37%,11,82,93
"Justice, 14th Court of Appeals District, Place 3",0450,856,537,1393,2622,53.13%,335,994,1329
"Justice, 14th Court of Appeals District, Place 3",0451,1575,515,2090,2674,78.16%,1643,351,1994
"Justice, 14th Court of Appeals District, Place 3",0452,1109,639,1748,2810,62.21%,1262,418,1680
"Justice, 14th Court of Appeals District, Place 3",0453,559,475,1034,1885,54.85%,326,644,970
"Justice, 14th Court of Appeals District, Place 3",0454,1227,311,1538,2571,59.82%,9,1484,1493
"Justice, 14th Court of Appeals District, Place 3",0455,748,216,964,1679,57.42%,27,902,929
"Justice, 14th Court of Appeals District, Place 3",0456,1266,593,1859,3350,55.49%,952,805,1757
"Justice, 14th Court of Appeals District, Place 3",0457,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0458,909,271,1180,1893,62.33%,46,1093,1139
"Justice, 14th Court of Appeals District, Place 3",0459,1637,476,2113,2950,71.63%,1612,389,2001
"Justice, 14th Court of Appeals District, Place 3",0460,1250,402,1652,2346,70.42%,412,1169,1581
"Justice, 14th Court of Appeals District, Place 3",0461,1959,828,2787,3733,74.66%,1734,842,2576
"Justice, 14th Court of Appeals District, Place 3",0462,1319,865,2184,3367,64.86%,739,1300,2039
"Justice, 14th Court of Appeals District, Place 3",0463,1124,656,1780,2962,60.09%,689,1004,1693
"Justice, 14th Court of Appeals District, Place 3",0464,787,612,1399,2126,65.80%,923,403,1326
"Justice, 14th Court of Appeals District, Place 3",0465,1465,702,2167,3343,64.82%,1098,1006,2104
"Justice, 14th Court of Appeals District, Place 3",0466,2052,729,2781,4072,68.30%,1498,1171,2669
"Justice, 14th Court of Appeals District, Place 3",0467,478,229,707,1230,57.48%,161,512,673
"Justice, 14th Court of Appeals District, Place 3",0468,985,793,1778,3354,53.01%,491,1190,1681
"Justice, 14th Court of Appeals District, Place 3",0469,2039,638,2677,3779,70.84%,2008,532,2540
"Justice, 14th Court of Appeals District, Place 3",0470,443,323,766,1349,56.78%,515,206,721
"Justice, 14th Court of Appeals District, Place 3",0471,792,597,1389,2349,59.13%,1030,301,1331
"Justice, 14th Court of Appeals District, Place 3",0472,371,337,708,1027,68.94%,314,331,645
"Justice, 14th Court of Appeals District, Place 3",0473,914,442,1356,1827,74.22%,890,376,1266
"Justice, 14th Court of Appeals District, Place 3",0474,1146,766,1912,3006,63.61%,1264,547,1811
"Justice, 14th Court of Appeals District, Place 3",0475,485,473,958,1651,58.03%,397,500,897
"Justice, 14th Court of Appeals District, Place 3",0476,809,658,1467,2412,60.82%,795,603,1398
"Justice, 14th Court of Appeals District, Place 3",0477,1441,742,2183,3195,68.33%,1579,512,2091
"Justice, 14th Court of Appeals District, Place 3",0478,1959,898,2857,4150,68.84%,1810,901,2711
"Justice, 14th Court of Appeals District, Place 3",0479,1298,588,1886,2648,71.22%,1328,479,1807
"Justice, 14th Court of Appeals District, Place 3",0480,936,555,1491,2267,65.77%,1008,400,1408
"Justice, 14th Court of Appeals District, Place 3",0481,1464,852,2316,3298,70.22%,1661,532,2193
"Justice, 14th Court of Appeals District, Place 3",0482,1964,836,2800,4129,67.81%,1865,817,2682
"Justice, 14th Court of Appeals District, Place 3",0483,1868,759,2627,4141,63.44%,1341,1155,2496
"Justice, 14th Court of Appeals District, Place 3",0484,2237,1008,3245,4594,70.64%,2231,863,3094
"Justice, 14th Court of Appeals District, Place 3",0485,2421,990,3411,4838,70.50%,2452,818,3270
"Justice, 14th Court of Appeals District, Place 3",0486,1843,805,2648,3572,74.13%,1995,532,2527
"Justice, 14th Court of Appeals District, Place 3",0487,1005,612,1617,3318,48.73%,451,1038,1489
"Justice, 14th Court of Appeals District, Place 3",0488,580,440,1020,1713,59.54%,325,617,942
"Justice, 14th Court of Appeals District, Place 3",0489,784,378,1162,1823,63.74%,307,788,1095
"Justice, 14th Court of Appeals District, Place 3",0490,877,439,1316,1944,67.70%,453,780,1233
"Justice, 14th Court of Appeals District, Place 3",0491,667,489,1156,1782,64.87%,635,443,1078
"Justice, 14th Court of Appeals District, Place 3",0492,1070,504,1574,2351,66.95%,787,674,1461
"Justice, 14th Court of Appeals District, Place 3",0493,858,400,1258,1804,69.73%,775,394,1169
"Justice, 14th Court of Appeals District, Place 3",0494,761,431,1192,2176,54.78%,135,1016,1151
"Justice, 14th Court of Appeals District, Place 3",0495,1120,494,1614,2284,70.67%,1100,425,1525
"Justice, 14th Court of Appeals District, Place 3",0496,496,571,1067,2086,51.15%,371,627,998
"Justice, 14th Court of Appeals District, Place 3",0497,1124,303,1427,2226,64.11%,47,1333,1380
"Justice, 14th Court of Appeals District, Place 3",0498,759,499,1258,2123,59.26%,497,701,1198
"Justice, 14th Court of Appeals District, Place 3",0499,1301,517,1818,2304,78.91%,1274,429,1703
"Justice, 14th Court of Appeals District, Place 3",0500,1507,746,2253,3175,70.96%,1476,667,2143
"Justice, 14th Court of Appeals District, Place 3",0501,653,487,1140,1647,69.22%,425,627,1052
"Justice, 14th Court of Appeals District, Place 3",0502,1151,332,1483,2364,62.73%,1105,300,1405
"Justice, 14th Court of Appeals District, Place 3",0503,359,273,632,1363,46.37%,182,403,585
"Justice, 14th Court of Appeals District, Place 3",0504,1129,538,1667,2197,75.88%,1041,532,1573
"Justice, 14th Court of Appeals District, Place 3",0505,1209,829,2038,3654,55.77%,867,1034,1901
"Justice, 14th Court of Appeals District, Place 3",0506,1471,801,2272,3380,67.22%,343,1840,2183
"Justice, 14th Court of Appeals District, Place 3",0507,582,385,967,2435,39.71%,141,694,835
"Justice, 14th Court of Appeals District, Place 3",0508,946,760,1706,3248,52.52%,520,1053,1573
"Justice, 14th Court of Appeals District, Place 3",0509,1340,864,2204,3536,62.33%,1481,610,2091
"Justice, 14th Court of Appeals District, Place 3",0510,1492,682,2174,3511,61.92%,927,1124,2051
"Justice, 14th Court of Appeals District, Place 3",0511,0,6,6,0,0.00%,1,5,6
"Justice, 14th Court of Appeals District, Place 3",0512,1560,1127,2687,4582,58.64%,1177,1397,2574
"Justice, 14th Court of Appeals District, Place 3",0513,1605,507,2112,2752,76.74%,1541,462,2003
"Justice, 14th Court of Appeals District, Place 3",0514,1967,860,2827,3941,71.73%,2006,696,2702
"Justice, 14th Court of Appeals District, Place 3",0515,1692,708,2400,3173,75.64%,1863,411,2274
"Justice, 14th Court of Appeals District, Place 3",0516,2179,1066,3245,4934,65.77%,1534,1534,3068
"Justice, 14th Court of Appeals District, Place 3",0517,1208,653,1861,3320,56.05%,933,833,1766
"Justice, 14th Court of Appeals District, Place 3",0518,1478,919,2397,3755,63.83%,1451,818,2269
"Justice, 14th Court of Appeals District, Place 3",0519,1234,645,1879,2951,63.67%,1314,487,1801
"Justice, 14th Court of Appeals District, Place 3",0520,1542,857,2399,4064,59.03%,370,1941,2311
"Justice, 14th Court of Appeals District, Place 3",0521,1014,694,1708,2725,62.68%,824,800,1624
"Justice, 14th Court of Appeals District, Place 3",0522,1171,658,1829,2682,68.20%,1326,415,1741
"Justice, 14th Court of Appeals District, Place 3",0523,1339,689,2028,3060,66.27%,1302,586,1888
"Justice, 14th Court of Appeals District, Place 3",0524,1238,675,1913,3292,58.11%,534,1292,1826
"Justice, 14th Court of Appeals District, Place 3",0525,1381,610,1991,2947,67.56%,373,1522,1895
"Justice, 14th Court of Appeals District, Place 3",0526,167,171,338,731,46.24%,78,241,319
"Justice, 14th Court of Appeals District, Place 3",0527,80,24,104,569,18.28%,44,54,98
"Justice, 14th Court of Appeals District, Place 3",0528,36,12,48,92,52.17%,3,44,47
"Justice, 14th Court of Appeals District, Place 3",0529,1988,441,2429,3616,67.17%,1969,356,2325
"Justice, 14th Court of Appeals District, Place 3",0530,259,235,494,1196,41.30%,91,368,459
"Justice, 14th Court of Appeals District, Place 3",0531,672,113,785,1094,71.76%,591,147,738
"Justice, 14th Court of Appeals District, Place 3",0532,452,184,636,1039,61.21%,417,193,610
"Justice, 14th Court of Appeals District, Place 3",0533,317,207,524,1069,49.02%,252,243,495
"Justice, 14th Court of Appeals District, Place 3",0534,1658,675,2333,3795,61.48%,1624,592,2216
"Justice, 14th Court of Appeals District, Place 3",0535,80,94,174,421,41.33%,57,105,162
"Justice, 14th Court of Appeals District, Place 3",0536,1332,1195,2527,4576,55.22%,889,1511,2400
"Justice, 14th Court of Appeals District, Place 3",0537,1454,823,2277,2971,76.64%,1601,562,2163
"Justice, 14th Court of Appeals District, Place 3",0538,433,237,670,1282,52.26%,18,632,650
"Justice, 14th Court of Appeals District, Place 3",0539,26,209,235,71,330.99%,43,169,212
"Justice, 14th Court of Appeals District, Place 3",0540,666,380,1046,1491,70.15%,425,522,947
"Justice, 14th Court of Appeals District, Place 3",0541,1826,779,2605,4183,62.28%,339,2152,2491
"Justice, 14th Court of Appeals District, Place 3",0542,997,501,1498,2525,59.33%,78,1366,1444
"Justice, 14th Court of Appeals District, Place 3",0543,287,378,665,1528,43.52%,192,434,626
"Justice, 14th Court of Appeals District, Place 3",0544,92,53,145,318,45.60%,16,126,142
"Justice, 14th Court of Appeals District, Place 3",0545,1314,857,2171,3339,65.02%,998,1064,2062
"Justice, 14th Court of Appeals District, Place 3",0546,4,4,8,30,26.67%,2,5,7
"Justice, 14th Court of Appeals District, Place 3",0547,877,647,1524,2408,63.29%,1015,434,1449
"Justice, 14th Court of Appeals District, Place 3",0548,720,476,1196,2129,56.18%,514,632,1146
"Justice, 14th Court of Appeals District, Place 3",0549,944,586,1530,2530,60.47%,200,1273,1473
"Justice, 14th Court of Appeals District, Place 3",0550,1134,629,1763,2847,61.92%,832,870,1702
"Justice, 14th Court of Appeals District, Place 3",0551,3088,1527,4615,6135,75.22%,3245,1144,4389
"Justice, 14th Court of Appeals District, Place 3",0552,1621,844,2465,3241,76.06%,1970,381,2351
"Justice, 14th Court of Appeals District, Place 3",0553,1465,951,2416,4355,55.48%,1001,1313,2314
"Justice, 14th Court of Appeals District, Place 3",0554,562,340,902,1731,52.11%,133,710,843
"Justice, 14th Court of Appeals District, Place 3",0555,598,447,1045,2119,49.32%,168,825,993
"Justice, 14th Court of Appeals District, Place 3",0556,584,421,1005,2249,44.69%,197,759,956
"Justice, 14th Court of Appeals District, Place 3",0557,822,556,1378,2726,50.55%,413,854,1267
"Justice, 14th Court of Appeals District, Place 3",0558,1589,824,2413,4084,59.08%,725,1566,2291
"Justice, 14th Court of Appeals District, Place 3",0559,1787,899,2686,4633,57.98%,612,1930,2542
"Justice, 14th Court of Appeals District, Place 3",0560,172,289,461,1176,39.20%,78,346,424
"Justice, 14th Court of Appeals District, Place 3",0561,837,759,1596,3033,52.62%,838,680,1518
"Justice, 14th Court of Appeals District, Place 3",0562,201,146,347,645,53.80%,22,310,332
"Justice, 14th Court of Appeals District, Place 3",0563,1699,415,2114,2969,71.20%,1581,414,1995
"Justice, 14th Court of Appeals District, Place 3",0564,1150,713,1863,3096,60.17%,480,1250,1730
"Justice, 14th Court of Appeals District, Place 3",0565,315,194,509,1373,37.07%,86,391,477
"Justice, 14th Court of Appeals District, Place 3",0566,1123,478,1601,2950,54.27%,404,1133,1537
"Justice, 14th Court of Appeals District, Place 3",0567,672,394,1066,2198,48.50%,263,708,971
"Justice, 14th Court of Appeals District, Place 3",0568,1628,837,2465,3487,70.69%,1521,762,2283
"Justice, 14th Court of Appeals District, Place 3",0569,1294,865,2159,3249,66.45%,1116,881,1997
"Justice, 14th Court of Appeals District, Place 3",0570,527,409,936,1473,63.54%,396,457,853
"Justice, 14th Court of Appeals District, Place 3",0571,333,312,645,1758,36.69%,188,410,598
"Justice, 14th Court of Appeals District, Place 3",0572,1283,574,1857,2998,61.94%,845,919,1764
"Justice, 14th Court of Appeals District, Place 3",0573,578,368,946,1618,58.47%,10,916,926
"Justice, 14th Court of Appeals District, Place 3",0574,98,79,177,391,45.27%,18,148,166
"Justice, 14th Court of Appeals District, Place 3",0575,27,9,36,79,45.57%,32,3,35
"Justice, 14th Court of Appeals District, Place 3",0576,1051,552,1603,2671,60.01%,43,1509,1552
"Justice, 14th Court of Appeals District, Place 3",0577,231,113,344,573,60.03%,181,143,324
"Justice, 14th Court of Appeals District, Place 3",0578,745,553,1298,1689,76.85%,769,416,1185
"Justice, 14th Court of Appeals District, Place 3",0579,488,351,839,1806,46.46%,182,608,790
"Justice, 14th Court of Appeals District, Place 3",0580,429,146,575,1027,55.99%,12,548,560
"Justice, 14th Court of Appeals District, Place 3",0581,510,162,672,1041,64.55%,17,634,651
"Justice, 14th Court of Appeals District, Place 3",0582,615,256,871,1613,54.00%,45,797,842
"Justice, 14th Court of Appeals District, Place 3",0583,544,127,671,1248,53.77%,14,645,659
"Justice, 14th Court of Appeals District, Place 3",0584,392,139,531,971,54.69%,29,497,526
"Justice, 14th Court of Appeals District, Place 3",0585,934,304,1238,2403,51.52%,33,1170,1203
