Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Brett Busby,DEM Barbara Gardner,Totals
"Justice, 14th Court of Appeals District, Place 3",0235,466,242,708,1305,54.25%,17,670,687
"Justice, 14th Court of Appeals District, Place 3",0236,779,342,1121,2144,52.29%,20,1053,1073
"Justice, 14th Court of Appeals District, Place 3",0237,793,441,1234,2181,56.58%,15,1193,1208
"Justice, 14th Court of Appeals District, Place 3",0238,640,422,1062,1901,55.87%,14,1010,1024
"Justice, 14th Court of Appeals District, Place 3",0239,765,357,1122,1997,56.18%,26,1064,1090
"Justice, 14th Court of Appeals District, Place 3",0240,1157,402,1559,2688,58.00%,17,1496,1513
"Justice, 14th Court of Appeals District, Place 3",0241,494,479,973,2296,42.38%,358,564,922
"Justice, 14th Court of Appeals District, Place 3",0242,363,323,686,1570,43.69%,341,311,652
"Justice, 14th Court of Appeals District, Place 3",0243,254,50,304,452,67.26%,3,291,294
"Justice, 14th Court of Appeals District, Place 3",0244,1100,656,1756,2912,60.30%,891,792,1683
"Justice, 14th Court of Appeals District, Place 3",0245,2340,1115,3455,5240,65.94%,2258,1070,3328
"Justice, 14th Court of Appeals District, Place 3",0246,1584,624,2208,2999,73.62%,1441,665,2106
"Justice, 14th Court of Appeals District, Place 3",0247,421,403,824,1607,51.28%,12,791,803
"Justice, 14th Court of Appeals District, Place 3",0248,408,405,813,2122,38.31%,177,591,768
"Justice, 14th Court of Appeals District, Place 3",0249,1028,481,1509,2676,56.39%,958,480,1438
"Justice, 14th Court of Appeals District, Place 3",0250,306,247,553,951,58.15%,8,534,542
"Justice, 14th Court of Appeals District, Place 3",0251,809,529,1338,2072,64.58%,45,1242,1287
"Justice, 14th Court of Appeals District, Place 3",0252,1111,356,1467,2350,62.43%,19,1409,1428
"Justice, 14th Court of Appeals District, Place 3",0253,923,325,1248,2252,55.42%,15,1213,1228
"Justice, 14th Court of Appeals District, Place 3",0254,220,282,502,1476,34.01%,115,350,465
"Justice, 14th Court of Appeals District, Place 3",0255,995,797,1792,2411,74.33%,784,881,1665
"Justice, 14th Court of Appeals District, Place 3",0256,1059,766,1825,3226,56.57%,662,1024,1686
"Justice, 14th Court of Appeals District, Place 3",0257,553,571,1124,2403,46.77%,252,819,1071
