Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Theresa Chang,DEM Damon Crenshaw,Totals
"Judge, County Court at Law No. 2, Unexpired Term",0848,782,431,1213,1873,64.76%,383,776,1159
"Judge, County Court at Law No. 2, Unexpired Term",0849,553,514,1067,2073,51.47%,345,651,996
"Judge, County Court at Law No. 2, Unexpired Term",0850,87,38,125,205,60.98%,48,71,119
"Judge, County Court at Law No. 2, Unexpired Term",0851,2192,816,3008,4317,69.68%,1909,945,2854
"Judge, County Court at Law No. 2, Unexpired Term",0852,0,4,4,2,200.00%,0,4,4
"Judge, County Court at Law No. 2, Unexpired Term",0853,1412,605,2017,2773,72.74%,1514,382,1896
"Judge, County Court at Law No. 2, Unexpired Term",0854,41,30,71,175,40.57%,5,64,69
"Judge, County Court at Law No. 2, Unexpired Term",0855,4,13,17,18,94.44%,9,8,17
"Judge, County Court at Law No. 2, Unexpired Term",0856,0,4,4,0,0.00%,2,1,3
"Judge, County Court at Law No. 2, Unexpired Term",0857,0,0,0,1,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",0858,132,18,150,372,40.32%,4,141,145
"Judge, County Court at Law No. 2, Unexpired Term",0859,309,201,510,860,59.30%,106,392,498
"Judge, County Court at Law No. 2, Unexpired Term",0860,0,1,1,0,0.00%,0,1,1
"Judge, County Court at Law No. 2, Unexpired Term",0861,705,319,1024,1786,57.33%,175,816,991
"Judge, County Court at Law No. 2, Unexpired Term",0862,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",0863,210,69,279,620,45.00%,10,263,273
"Judge, County Court at Law No. 2, Unexpired Term",0864,497,609,1106,2464,44.89%,274,773,1047
"Judge, County Court at Law No. 2, Unexpired Term",0865,9,2,11,23,47.83%,0,11,11
"Judge, County Court at Law No. 2, Unexpired Term",0866,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",0867,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",0868,573,586,1159,2292,50.57%,347,751,1098
"Judge, County Court at Law No. 2, Unexpired Term",0869,153,76,229,473,48.41%,38,182,220
"Judge, County Court at Law No. 2, Unexpired Term",0870,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",0871,3,0,3,4,75.00%,0,3,3
"Judge, County Court at Law No. 2, Unexpired Term",0872,13,5,18,66,27.27%,10,6,16
"Judge, County Court at Law No. 2, Unexpired Term",0873,253,125,378,701,53.92%,93,278,371
"Judge, County Court at Law No. 2, Unexpired Term",0874,1534,748,2282,3107,73.45%,1716,453,2169
"Judge, County Court at Law No. 2, Unexpired Term",0875,1719,927,2646,4031,65.64%,1238,1294,2532
"Judge, County Court at Law No. 2, Unexpired Term",0876,1629,639,2268,3013,75.27%,1613,556,2169
"Judge, County Court at Law No. 2, Unexpired Term",0877,1030,542,1672,2480,67.42%,692,923,1615
"Judge, County Court at Law No. 2, Unexpired Term",0878,853,350,1203,1641,73.31%,995,145,1140
"Judge, County Court at Law No. 2, Unexpired Term",0879,890,527,1417,2334,60.71%,648,707,1355
"Judge, County Court at Law No. 2, Unexpired Term",0880,1068,472,1540,2007,76.73%,1153,298,1451
"Judge, County Court at Law No. 2, Unexpired Term",0881,1510,877,2387,3619,65.96%,755,1544,2299
"Judge, County Court at Law No. 2, Unexpired Term",0882,940,457,1397,2328,60.01%,766,567,1333
"Judge, County Court at Law No. 2, Unexpired Term",0883,1918,1042,2960,4651,63.64%,529,2336,2865
"Judge, County Court at Law No. 2, Unexpired Term",0884,118,37,155,330,46.97%,22,128,150
"Judge, County Court at Law No. 2, Unexpired Term",0885,1222,541,1763,2466,71.49%,1046,635,1681
"Judge, County Court at Law No. 2, Unexpired Term",0886,301,154,455,713,63.81%,236,171,407
"Judge, County Court at Law No. 2, Unexpired Term",0887,138,83,221,313,70.61%,120,74,194
"Judge, County Court at Law No. 2, Unexpired Term",0888,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",0889,22,0,22,61,36.07%,13,8,21
"Judge, County Court at Law No. 2, Unexpired Term",0890,319,118,437,994,43.96%,167,239,406
"Judge, County Court at Law No. 2, Unexpired Term",0891,539,392,931,1413,65.89%,389,475,864
"Judge, County Court at Law No. 2, Unexpired Term",0892,193,130,323,696,46.41%,97,202,299
"Judge, County Court at Law No. 2, Unexpired Term",0893,1,0,1,5,20.00%,0,1,1
"Judge, County Court at Law No. 2, Unexpired Term",0894,0,31,31,0,0.00%,7,21,28
"Judge, County Court at Law No. 2, Unexpired Term",0895,335,325,660,784,84.18%,330,263,593
"Judge, County Court at Law No. 2, Unexpired Term",0896,670,303,973,1437,67.71%,399,484,883
"Judge, County Court at Law No. 2, Unexpired Term",0897,742,375,1117,1624,68.78%,609,456,1065
"Judge, County Court at Law No. 2, Unexpired Term",0898,0,0,0,2,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",0899,4,0,4,8,50.00%,1,3,4
"Judge, County Court at Law No. 2, Unexpired Term",0900,5,0,5,12,41.67%,1,3,4
"Judge, County Court at Law No. 2, Unexpired Term",0901,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",0902,865,621,1486,2065,71.96%,873,494,1367
"Judge, County Court at Law No. 2, Unexpired Term",0903,10,1,11,41,26.83%,6,4,10
"Judge, County Court at Law No. 2, Unexpired Term",0904,0,1,1,1,100.00%,0,1,1
"Judge, County Court at Law No. 2, Unexpired Term",0905,290,158,458,908,50.44%,178,237,415
"Judge, County Court at Law No. 2, Unexpired Term",0906,12,6,18,26,69.23%,8,9,17
"Judge, County Court at Law No. 2, Unexpired Term",0907,60,43,103,134,76.87%,18,83,101
"Judge, County Court at Law No. 2, Unexpired Term",0908,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",0909,5,7,12,19,63.16%,6,5,11
"Judge, County Court at Law No. 2, Unexpired Term",0910,55,34,89,226,39.38%,35,47,82
"Judge, County Court at Law No. 2, Unexpired Term",0911,227,79,306,570,53.68%,190,94,284
"Judge, County Court at Law No. 2, Unexpired Term",0912,675,221,896,1235,72.55%,542,284,826
"Judge, County Court at Law No. 2, Unexpired Term",0913,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",0914,169,67,236,221,106.79%,184,39,223
"Judge, County Court at Law No. 2, Unexpired Term",0915,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",0916,504,182,786,1045,75.22%,633,114,747
"Judge, County Court at Law No. 2, Unexpired Term",0917,280,137,417,481,86.69%,297,89,386
"Judge, County Court at Law No. 2, Unexpired Term",0918,489,135,624,883,70.67%,484,97,581
"Judge, County Court at Law No. 2, Unexpired Term",0919,0,3,3,3,100.00%,1,2,3
"Judge, County Court at Law No. 2, Unexpired Term",0920,6,0,6,13,46.15%,6,0,6
"Judge, County Court at Law No. 2, Unexpired Term",0921,71,9,80,87,91.95%,62,17,79
"Judge, County Court at Law No. 2, Unexpired Term",0922,0,2,2,0,0.00%,1,1,2
"Judge, County Court at Law No. 2, Unexpired Term",0923,663,87,750,826,90.80%,566,152,718
"Judge, County Court at Law No. 2, Unexpired Term",0924,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",0925,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",0926,351,1,20,481,621,77.46%,360,95,455
"Judge, County Court at Law No. 2, Unexpired Term",0927,84,74,158,262,60.31%,78,71,149
"Judge, County Court at Law No. 2, Unexpired Term",0928,4,2,6,9,66.67%,0,6,6
"Judge, County Court at Law No. 2, Unexpired Term",0929,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",0930,200,77,277,567,48.85%,4,265,269
"Judge, County Court at Law No. 2, Unexpired Term",0931,48,53,101,122,82.79%,51,34,85
"Judge, County Court at Law No. 2, Unexpired Term",0932,0,5,5,0,0.00%,1,4,5
"Judge, County Court at Law No. 2, Unexpired Term",0933,233,1,21,354,566,62.54%,93,242,335
"Judge, County Court at Law No. 2, Unexpired Term",0934,12,1,13,41,31.71%,6,7,13
"Judge, County Court at Law No. 2, Unexpired Term",0935,8,17,25,65,38.46%,12,11,23
"Judge, County Court at Law No. 2, Unexpired Term",0936,12,10,22,70,31.43%,6,13,19
"Judge, County Court at Law No. 2, Unexpired Term",0937,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",0938,73,14,87,256,33.98%,28,56,84
"Judge, County Court at Law No. 2, Unexpired Term",0939,1,0,1,1,100.00%,0,1,1
"Judge, County Court at Law No. 2, Unexpired Term",0940,1,0,1,13,7.69%,0,1,1
"Judge, County Court at Law No. 2, Unexpired Term",0941,13,9,22,25,88.00%,19,2,21
"Judge, County Court at Law No. 2, Unexpired Term",0942,68,24,92,159,57.86%,74,12,86
"Judge, County Court at Law No. 2, Unexpired Term",0943,296,63,359,536,66.98%,247,80,327
"Judge, County Court at Law No. 2, Unexpired Term",0944,30,6,36,39,92.31%,30,3,33
"Judge, County Court at Law No. 2, Unexpired Term",0945,4,7,11,16,68.75%,0,8,8
"Judge, County Court at Law No. 2, Unexpired Term",0946,3,3,6,14,42.86%,0,4,4
"Judge, County Court at Law No. 2, Unexpired Term",0947,320,292,612,822,74.45%,326,216,542
"Judge, County Court at Law No. 2, Unexpired Term",0948,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",0949,59,37,96,201,47.76%,46,44,90
"Judge, County Court at Law No. 2, Unexpired Term",0950,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",0951,79,44,123,218,56.42%,26,95,121
"Judge, County Court at Law No. 2, Unexpired Term",0952,24,16,40,70,57.14%,20,16,36
"Judge, County Court at Law No. 2, Unexpired Term",0953,59,52,111,420,26.43%,6,104,110
"Judge, County Court at Law No. 2, Unexpired Term",0954,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",0955,5,20,25,18,138.89%,13,10,23
"Judge, County Court at Law No. 2, Unexpired Term",0956,5,2,7,12,58.33%,5,2,7
"Judge, County Court at Law No. 2, Unexpired Term",0957,261,115,376,551,68.24%,54,309,363
"Judge, County Court at Law No. 2, Unexpired Term",0958,289,266,555,989,56.12%,120,405,525
"Judge, County Court at Law No. 2, Unexpired Term",0959,0,4,4,0,0.00%,0,4,4
"Judge, County Court at Law No. 2, Unexpired Term",0960,362,143,505,586,86.18%,142,349,491
"Judge, County Court at Law No. 2, Unexpired Term",0961,23,11,34,53,64.15%,6,28,34
"Judge, County Court at Law No. 2, Unexpired Term",0962,24,13,37,73,50.68%,10,23,33
"Judge, County Court at Law No. 2, Unexpired Term",0963,129,69,198,353,56.09%,104,80,184
"Judge, County Court at Law No. 2, Unexpired Term",0964,945,447,1392,1571,88.61%,842,493,1335
"Judge, County Court at Law No. 2, Unexpired Term",0965,93,27,120,355,33.80%,76,37,113
"Judge, County Court at Law No. 2, Unexpired Term",0966,305,160,465,1073,43.34%,129,312,441
"Judge, County Court at Law No. 2, Unexpired Term",0967,48,15,63,98,64.29%,25,36,61
"Judge, County Court at Law No. 2, Unexpired Term",0968,243,83,326,517,63.06%,64,253,317
"Judge, County Court at Law No. 2, Unexpired Term",0969,335,82,417,584,71.40%,4,399,403
"Judge, County Court at Law No. 2, Unexpired Term",0970,212,76,288,704,40.91%,27,240,267
"Judge, County Court at Law No. 2, Unexpired Term",0971,27,21,48,129,37.21%,1,47,48
"Judge, County Court at Law No. 2, Unexpired Term",0972,10,7,17,29,58.62%,11,5,16
"Judge, County Court at Law No. 2, Unexpired Term",0973,49,24,73,107,68.22%,38,31,69
"Judge, County Court at Law No. 2, Unexpired Term",0974,100,71,171,299,57.19%,107,56,163
"Judge, County Court at Law No. 2, Unexpired Term",0975,72,41,113,170,66.47%,51,54,105
"Judge, County Court at Law No. 2, Unexpired Term",0976,159,131,290,684,42.40%,164,106,270
"Judge, County Court at Law No. 2, Unexpired Term",0977,104,83,187,535,34.95%,71,106,177
"Judge, County Court at Law No. 2, Unexpired Term",0978,201,102,303,506,59.88%,50,241,291
"Judge, County Court at Law No. 2, Unexpired Term",0979,56,11,26,42.31%,10,1,11
"Judge, County Court at Law No. 2, Unexpired Term",0980,595,356,951,1323,71.88%,685,207,892
"Judge, County Court at Law No. 2, Unexpired Term",0981,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",0982,534,218,752,1021,73.65%,573,140,713
"Judge, County Court at Law No. 2, Unexpired Term",0983,41,28,69,165,41.82%,37,27,64
"Judge, County Court at Law No. 2, Unexpired Term",0984,43,49,92,198,46.46%,7,82,89
"Judge, County Court at Law No. 2, Unexpired Term",0985,172,67,239,336,71.13%,123,99,222
"Judge, County Court at Law No. 2, Unexpired Term",0986,129,86,215,404,53.22%,20,182,202
"Judge, County Court at Law No. 2, Unexpired Term",0987,465,191,656,1138,57.64%,45,591,636
"Judge, County Court at Law No. 2, Unexpired Term",0988,44,21,65,111,58.56%,55,7,62
"Judge, County Court at Law No. 2, Unexpired Term",0989,18,8,26,36,72.22%,12,13,25
"Judge, County Court at Law No. 2, Unexpired Term",0990,37,15,52,154,33.77%,17,29,46
"Judge, County Court at Law No. 2, Unexpired Term",0991,0,0,0,1,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",0992,309,202,511,1015,50.34%,279,209,488
"Judge, County Court at Law No. 2, Unexpired Term",0993,272,91,363,551,65.88%,285,55,340
"Judge, County Court at Law No. 2, Unexpired Term",0994,6,5,11,8,137.50%,2,8,10
"Judge, County Court at Law No. 2, Unexpired Term",0995,596,190,786,1269,61.94%,36,717,753
"Judge, County Court at Law No. 2, Unexpired Term",0996,297,125,422,699,60.37%,231,163,394
"Judge, County Court at Law No. 2, Unexpired Term",0997,429,328,757,1439,52.61%,124,610,734
"Judge, County Court at Law No. 2, Unexpired Term",0998,15,9,24,35,68.57%,16,7,23
"Judge, County Court at Law No. 2, Unexpired Term",0999,30,16,46,65,70.77%,36,7,43
"Judge, County Court at Law No. 2, Unexpired Term",1000,105,0,105,458,22.93%,19,78,97
"Judge, County Court at Law No. 2, Unexpired Term",1001,496,294,790,1566,50.45%,156,593,749
"Judge, County Court at Law No. 2, Unexpired Term",1002,464,314,778,1738,44.76%,96,649,745
"Judge, County Court at Law No. 2, Unexpired Term",1003,0,0,0,1,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",1004,224,153,377,656,57.47%,190,140,330
"Judge, County Court at Law No. 2, Unexpired Term",1005,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",1006,3,0,3,5,60.00%,3,0,3
"Judge, County Court at Law No. 2, Unexpired Term",1007,555,295,850,1371,62.00%,207,614,821
"Judge, County Court at Law No. 2, Unexpired Term",1008,86,21,107,150,71.33%,80,21,101
"Judge, County Court at Law No. 2, Unexpired Term",1009,3,1,4,8,50.00%,1,2,3
"Judge, County Court at Law No. 2, Unexpired Term",1010,124,74,198,317,62.46%,32,159,191
"Judge, County Court at Law No. 2, Unexpired Term",1011,12,3,15,29,51.72%,5,7,12
"Judge, County Court at Law No. 2, Unexpired Term",1012,395,318,713,1235,57.73%,196,488,684
"Judge, County Court at Law No. 2, Unexpired Term",1013,8,14,22,60,36.67%,15,7,22
"Judge, County Court at Law No. 2, Unexpired Term",1014,9,7,16,36,44.44%,4,12,16
"Judge, County Court at Law No. 2, Unexpired Term",1015,11,7,18,29,62.07%,4,13,17
"Judge, County Court at Law No. 2, Unexpired Term",1016,591,364,955,1626,58.73%,423,487,910
"Judge, County Court at Law No. 2, Unexpired Term",1017,127,50,177,232,76.29%,50,120,170
"Judge, County Court at Law No. 2, Unexpired Term",1018,209,92,301,468,64.32%,141,151,292
"Judge, County Court at Law No. 2, Unexpired Term",1019,426,4,430,1518,28.33%,17,395,412
"Judge, County Court at Law No. 2, Unexpired Term",1020,0,0,0,1,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",1021,1,0,1,2,50.00%,0,1,1
"Judge, County Court at Law No. 2, Unexpired Term",1022,190,30,220,426,51.64%,168,41,209
"Judge, County Court at Law No. 2, Unexpired Term",1023,894,401,1295,1964,65.94%,830,394,1224
"Judge, County Court at Law No. 2, Unexpired Term",1024,113,77,190,259,73.36%,104,68,172
"Judge, County Court at Law No. 2, Unexpired Term",1025,4,0,4,18,22.22%,1,3,4
"Judge, County Court at Law No. 2, Unexpired Term",1026,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",1027,0,1,1,1,100.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",1028,0,1,1,0,0.00%,1,0,1
"Judge, County Court at Law No. 2, Unexpired Term",1029,1021,641,1662,1802,92.23%,1275,292,1567
"Judge, County Court at Law No. 2, Unexpired Term",1030,397,105,502,655,76.64%,438,48,486
"Judge, County Court at Law No. 2, Unexpired Term",1031,3,3,6,6,100.00%,5,1,6
"Judge, County Court at Law No. 2, Unexpired Term",1032,59,80,139,241,57.68%,100,31,131
"Judge, County Court at Law No. 2, Unexpired Term",1033,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",1034,0,0,0,1,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",1035,24,13,37,139,26.62%,4,32,36
"Judge, County Court at Law No. 2, Unexpired Term",1036,144,46,190,433,43.88%,147,33,180
"Judge, County Court at Law No. 2, Unexpired Term",1037,27,16,43,73,58.90%,24,13,37
"Judge, County Court at Law No. 2, Unexpired Term",1038,133,43,176,266,66.17%,10,162,172
"Judge, County Court at Law No. 2, Unexpired Term",1039,3,5,8,20,40.00%,2,6,8
"Judge, County Court at Law No. 2, Unexpired Term",1040,192,146,338,607,55.68%,177,139,316
"Judge, County Court at Law No. 2, Unexpired Term",1041,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",1042,227,50,277,498,55.62%,81,191,272
"Judge, County Court at Law No. 2, Unexpired Term",1043,12,2,14,31,45.16%,3,11,14
"Judge, County Court at Law No. 2, Unexpired Term",1044,29,5,34,59,57.63%,8,25,33
"Judge, County Court at Law No. 2, Unexpired Term",1045,611,321,932,1439,64.77%,122,778,900
"Judge, County Court at Law No. 2, Unexpired Term",1046,19,18,37,54,68.52%,4,32,36
"Judge, County Court at Law No. 2, Unexpired Term",1047,553,288,851,1242,68.52%,266,552,818
"Judge, County Court at Law No. 2, Unexpired Term",1048,3,1,4,18,22.22%,2,2,4
"Judge, County Court at Law No. 2, Unexpired Term",1049,57,71,128,266,48.12%,42,81,123
"Judge, County Court at Law No. 2, Unexpired Term",1050,148,153,301,506,59.49%,66,222,288
"Judge, County Court at Law No. 2, Unexpired Term",1,051,0,1,2,1,2,0,0.00%,8,4,1,2
"Judge, County Court at Law No. 2, Unexpired Term",1052,0,2,2,0,0.00%,1,0,1
"Judge, County Court at Law No. 2, Unexpired Term",1053,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",1054,0,0,0,1,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",1055,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2, Unexpired Term",1056,4,0,4,6,66.67%,1,3,4
"Judge, County Court at Law No. 2, Unexpired Term",1057,34,7,41,115,35.65%,2,35,37
"Judge, County Court at Law No. 2, Unexpired Term",1058,540,246,786,1190,66.05%,129,627,756
"Judge, County Court at Law No. 2, Unexpired Term",1059,7,3,10,23,43.48%,0,10,10
"Judge, County Court at Law No. 2, Unexpired Term",1060,13,4,17,49,34.69%,9,8,17
"Judge, County Court at Law No. 2, Unexpired Term",1061,665,300,965,1613,59.83%,519,406,925
"Judge, County Court at Law No. 2, Unexpired Term",1062,59,25,85,168,50.60%,20,61,81
"Judge, County Court at Law No. 2, Unexpired Term",1063,226,63,289,792,36.49%,30,249,279
"Judge, County Court at Law No. 2, Unexpired Term",1064,45,1,46,120,38.33%,34,10,44
"Judge, County Court at Law No. 2, Unexpired Term",Totals:,774640,427100,1201740,1942566,,573915,559189,1133104
