Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Theresa Chang,DEM Damon Crenshaw,Totals
"Judge, County Court at Law No. 2, Unexpired Term",0131,604,374,978,1721,56.83%,229,703,932
"Judge, County Court at Law No. 2, Unexpired Term",0132,1119,397,1516,2449,61.90%,26,1431,1457
"Judge, County Court at Law No. 2, Unexpired Term",0133,1083,940,2023,2605,77.66%,1234,602,1836
"Judge, County Court at Law No. 2, Unexpired Term",0134,419,392,811,1444,56.16%,348,410,758
"Judge, County Court at Law No. 2, Unexpired Term",0135,1424,634,2058,2750,74.84%,1329,554,1883
"Judge, County Court at Law No. 2, Unexpired Term",0136,981,451,1432,2111,67.84%,63,1311,1374
"Judge, County Court at Law No. 2, Unexpired Term",0137,305,193,498,740,67.30%,250,194,444
"Judge, County Court at Law No. 2, Unexpired Term",0138,661,259,920,1749,52.60%,22,859,881
"Judge, County Court at Law No. 2, Unexpired Term",0139,1290,747,2037,2746,74.18%,1008,833,1841
"Judge, County Court at Law No. 2, Unexpired Term",0140,1311,683,1994,3104,64.24%,297,1568,1865
"Judge, County Court at Law No. 2, Unexpired Term",0141,181,143,324,872,37.16%,184,117,301
"Judge, County Court at Law No. 2, Unexpired Term",0142,212,171,383,870,44.02%,98,261,359
"Judge, County Court at Law No. 2, Unexpired Term",0143,2993,660,3653,4598,79.45%,2542,961,3503
"Judge, County Court at Law No. 2, Unexpired Term",0144,476,204,680,1143,59.49%,12,644,656
"Judge, County Court at Law No. 2, Unexpired Term",0145,663,245,908,1580,57.47%,16,872,888
"Judge, County Court at Law No. 2, Unexpired Term",0146,759,614,1373,1953,70.30%,618,649,1267
"Judge, County Court at Law No. 2, Unexpired Term",0147,1255,485,1740,2813,61.86%,205,1488,1693
"Judge, County Court at Law No. 2, Unexpired Term",0148,908,924,1832,2467,74.26%,817,830,1647
"Judge, County Court at Law No. 2, Unexpired Term",0149,2859,1322,4181,6103,68.51%,1844,2156,4000
"Judge, County Court at Law No. 2, Unexpired Term",0150,539,207,746,1212,61.55%,17,710,727
"Judge, County Court at Law No. 2, Unexpired Term",0151,316,148,464,846,54.85%,18,421,439
"Judge, County Court at Law No. 2, Unexpired Term",0152,483,602,1085,2701,40.17%,239,782,1021
"Judge, County Court at Law No. 2, Unexpired Term",0153,328,437,765,1755,43.59%,193,517,710
"Judge, County Court at Law No. 2, Unexpired Term",0154,593,360,953,2133,44.68%,217,640,857
"Judge, County Court at Law No. 2, Unexpired Term",0155,1957,834,2791,4087,68.29%,1880,754,2634
"Judge, County Court at Law No. 2, Unexpired Term",0156,1427,457,1884,3134,60.11%,55,1742,1797
"Judge, County Court at Law No. 2, Unexpired Term",0157,881,382,1263,2311,54.65%,41,1186,1227
"Judge, County Court at Law No. 2, Unexpired Term",0158,1304,435,1739,3016,57.66%,32,1664,1696
"Judge, County Court at Law No. 2, Unexpired Term",0159,313,187,500,976,51.23%,66,410,476
"Judge, County Court at Law No. 2, Unexpired Term",0160,246,140,386,688,56.10%,12,359,371
"Judge, County Court at Law No. 2, Unexpired Term",0161,395,190,585,1030,56.80%,8,556,564
"Judge, County Court at Law No. 2, Unexpired Term",0162,232,262,494,1249,39.55%,138,307,445
"Judge, County Court at Law No. 2, Unexpired Term",0163,778,635,1413,3054,46.27%,397,852,1249
"Judge, County Court at Law No. 2, Unexpired Term",0164,505,304,809,1434,56.42%,15,772,787
"Judge, County Court at Law No. 2, Unexpired Term",0165,918,557,1475,2284,64.58%,938,447,1385
"Judge, County Court at Law No. 2, Unexpired Term",0166,281,311,592,1016,58.27%,187,364,551
