Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0098,874,607,1481,2403,61.63%,1171,249,1420
"County School Trustee, Position 3, At Large",0099,568,311,879,2040,43.09%,386,458,844
"County School Trustee, Position 3, At Large",0100,427,324,751,1754,42.82%,324,396,720
"County School Trustee, Position 3, At Large",0101,203,186,389,941,41.34%,87,294,381
"County School Trustee, Position 3, At Large",0102,493,268,761,1910,39.84%,184,551,735
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0103,1915,1065,2980,4751,62.72%,1523,1331,2854
"County School Trustee, Position 3, At Large",0104,992,238,1230,1847,66.59%,25,1172,1197
"County School Trustee, Position 3, At Large",0105,462,453,915,2153,42.50%,222,624,846
"County School Trustee, Position 3, At Large",0106,49,37,86,284,30.28%,39,42,81
"County School Trustee, Position 3, At Large",0107,412,441,853,1905,44.78%,132,685,817
"County School Trustee, Position 3, At Large",0108,1193,514,1707,3229,52.86%,858,759,1617
"County School Trustee, Position 3, At Large",0109,1160,430,1590,2884,55.13%,25,1517,1542
"County School Trustee, Position 3, At Large",0110,1465,589,2054,2853,71.99%,1203,744,1947
"County School Trustee, Position 3, At Large",0111,1868,848,2716,3638,74.66%,1948,615,2563
"County School Trustee, Position 3, At Large",0112,1262,668,1930,2894,66.69%,1305,534,1839
"County School Trustee, Position 3, At Large",0113,1125,590,1715,2537,67.60%,926,701,1627
"County School Trustee, Position 3, At Large",0114,1454,546,2000,2650,75.47%,1526,398,1924
"County School Trustee, Position 3, At Large",0115,598,305,903,1764,51.19%,95,781,876
"County School Trustee, Position 3, At Large",0116,1626,747,2373,3014,78.73%,1734,496,2230
"County School Trustee, Position 3, At Large",0117,398,452,860,1878,45.79%,329,489,818
"County School Trustee, Position 3, At Large",0118,460,148,608,743,81.83%,464,107,571
"County School Trustee, Position 3, At Large",0119,1924,1265,3189,4892,65.19%,2448,619,3067
"County School Trustee, Position 3, At Large",0120,1197,632,1829,2986,61.25%,1047,664,1711
"County School Trustee, Position 3, At Large",0121,193,244,437,679,64.36%,284,134,418
"County School Trustee, Position 3, At Large",0122,895,349,1244,2199,56.57%,33,1157,1190
"County School Trustee, Position 3, At Large",0123,440,350,790,1356,58.26%,211,518,729
"County School Trustee, Position 3, At Large",0124,3522,1281,4803,5952,80.70%,3710,884,4594
"County School Trustee, Position 3, At Large",0125,896,534,1430,2281,62.69%,798,568,1366
"County School Trustee, Position 3, At Large",0126,1630,407,2037,2799,72.78%,1708,239,1947
"County School Trustee, Position 3, At Large",0127,854,182,1036,1703,60.83%,697,287,984
"County School Trustee, Position 3, At Large",0128,936,736,1672,2257,74.08%,967,524,1491
"County School Trustee, Position 3, At Large",0129,2294,1449,3743,5495,68.12%,2200,1304,3504
