Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Hastings,"DEM Alfred (""Al"") Bennett",Totals
"District Judge, 61st Judicial District",0137,305,193,498,740,87.30%,229,220,449
"District Judge, 61st Judicial District",0138,881,259,920,1749,52.80%,17,885,882
"District Judge, 61st Judicial District",0139,1290,747,2037,2748,74.18%,919,938,1857
"District Judge, 61st Judicial District",0140,1311,883,1994,3104,84.24%,283,1831,1894
"District Judge, 61st Judicial District",0141,181,143,324,872,37.18%,188,118,302
"District Judge, 61st Judicial District",0142,212,171,383,870,44.02%,98,281,357
"District Judge, 61st Judicial District",0143,2993,880,3853,4598,79.45%,2515,988,3503
"District Judge, 61st Judicial District",0144,475,204,880,1143,59.49%,7,853,880
"District Judge, 61st Judicial District",0145,883,245,908,1580,57.47%,14,878,890
"District Judge, 61st Judicial District",0148,759,814,1373,1953,70.30%,570,700,1270
"District Judge, 61st Judicial District",0147,1255,485,1740,2813,81.88%,197,1504,1701
"District Judge, 61st Judicial District",0148,908,924,1832,2487,74.28%,877,992,1889
"District Judge, 61st Judicial District",0149,2859,1322,4181,8103,88.51%,1839,2184,4003
"District Judge, 61st Judicial District",0150,539,207,748,1212,81.55%,18,710,728
"District Judge, 61st Judicial District",0151,318,148,484,848,54.85%,20,420,440
"District Judge, 61st Judicial District",0152,483,802,1085,2701,40.17%,218,805,1023
"District Judge, 61st Judicial District",0153,328,437,785,1755,43.59%,188,524,710
"District Judge, 61st Judicial District",0154,593,380,953,2133,44.88%,199,852,851
"District Judge, 61st Judicial District",0155,1957,834,2791,4087,88.29%,1837,799,2838
"District Judge, 61st Judicial District",0158,1427,457,1884,3134,80.11%,40,1788,1808
"District Judge, 61st Judicial District",0157,881,382,1283,2311,54.85%,40,1189,1229
"District Judge, 61st Judicial District",0158,1304,435,1739,3018,57.88%,28,1878,1704
"District Judge, 61st Judicial District",0159,313,187,500,978,51.23%,59,419,478
"District Judge, 61st Judicial District",0180,248,140,388,888,58.10%,12,358,370
"District Judge, 61st Judicial District",0181,395,190,585,1030,58.80%,8,558,588
"District Judge, 61st Judicial District",0182,232,282,494,1249,39.55%,140,304,444
"District Judge, 61st Judicial District",0183,778,535,1413,3054,48.27%,385,858,1243
"District Judge, 61st Judicial District",0184,505,304,809,1434,58.42%,9,778,787
"District Judge, 61st Judicial District",0185,918,557,1475,2284,84.58%,914,475,1389
"District Judge, 61st Judicial District",0188,281,311,592,1018,58.27%,185,382,547
"District Judge, 61st Judicial District",0187,5,2,7,23,30.43%,0,7,7
"District Judge, 61st Judicial District",0188,188,128,314,519,80.50%,7,293,300
"District Judge, 61st Judicial District",0189,1059,433,1492,2531,58.95%,21,1438,1457
"District Judge, 61st Judicial District",0170,481,353,834,1887,44.20%,398,374,770
"District Judge, 61st Judicial District",0171,514,294,808,1613,50.09%,28,748,776
"District Judge, 61st Judicial District",0172,161,147,308,600,51.33%,93,188,281
"District Judge, 61st Judicial District",0173,1798,619,2417,3105,77.84%,1833,469,2302
"District Judge, 61st Judicial District",0174,1554,767,2321,3159,73.47%,1514,635,2149
"District Judge, 61st Judicial District",0175,1064,867,1931,2506,77.06%,911,849,1760
"District Judge, 61st Judicial District",0176,626,530,1156,1581,73.12%,548,500,1048
"District Judge, 61st Judicial District",0177,672,385,1057,1478,71.52%,591,398,989
"District Judge, 61st Judicial District",0178,913,368,1281,1718,74.56%,773,402,1175
"District Judge, 61st Judicial District",0179,449,321,770,1508,51.06%,335,383,718
"District Judge, 61st Judicial District",0180,966,552,1518,2795,54.31%,31,1419,1450
"District Judge, 61st Judicial District",0181,416,514,930,1968,47.26%,250,615,865
"District Judge, 61st Judicial District",0182,1321,1081,2402,3289,73.03%,1341,821,2162
"District Judge, 61st Judicial District",0183,970,943,1913,2451,78.05%,1153,600,1753
"District Judge, 61st Judicial District",0184,214,256,470,969,48.50%,127,304,431
"District Judge, 61st Judicial District",0185,592,494,1086,1910,56.86%,329,683,1012
"District Judge, 61st Judicial District",0186,204,170,374,795,47.04%,43,305,348
"District Judge, 61st Judicial District",0187,48,65,113,309,36.57%,27,81,108
"District Judge, 61st Judicial District",0188,307,378,685,1616,42.39%,235,415,650
"District Judge, 61st Judicial District",0189,492,473,965,1453,66.41%,496,378,874
"District Judge, 61st Judicial District",0190,275,401,676,1720,39.30%,223,409,632
"District Judge, 61st Judicial District",0191,196,313,509,1391,36.59%,174,311,485
"District Judge, 61st Judicial District",0192,746,332,1078,2045,52.71%,32,1010,1042
"District Judge, 61st Judicial District",0193,341,269,610,1050,58.10%,9,580,589
"District Judge, 61st Judicial District",0194,704,504,1208,1735,69.63%,334,791,1125
"District Judge, 61st Judicial District",0195,539,419,958,1721,55.67%,23,901,924
"District Judge, 61st Judicial District",0196,121,55,176,323,54.49%,7,162,169
"District Judge, 61st Judicial District",0197,1109,497,1606,2895,55.47%,31,1529,1560
"District Judge, 61st Judicial District",0198,143,158,301,657,45.81%,6,284,290
"District Judge, 61st Judicial District",0199,1407,773,2180,3159,69.01%,1591,473,2064
"District Judge, 61st Judicial District",0200,1638,585,2223,3222,68.99%,960,1069,2029
"District Judge, 61st Judicial District",0201,229,125,354,728,48.63%,11,335,346
"District Judge, 61st Judicial District",0202,488,332,820,1479,55.44%,13,777,790
"District Judge, 61st Judicial District",0203,266,156,422,900,46.89%,80,319,399
"District Judge, 61st Judicial District",0204,1489,914,2403,3462,69.41%,1313,913,2226
"District Judge, 61st Judicial District",0205,856,201,1057,1667,63.41%,19,1010,1029
"District Judge, 61st Judicial District",0206,651,659,1310,2662,49.21%,385,836,1221
"District Judge, 61st Judicial District",0207,409,310,719,1144,62.85%,234,424,658
"District Judge, 61st Judicial District",0208,806,364,1170,2201,53.16%,288,806,1094
"District Judge, 61st Judicial District",0209,0,4,4,0,0.00%,4,0,4
"District Judge, 61st Judicial District",0210,1013,542,1555,2300,67.61%,160,1316,1476
"District Judge, 61st Judicial District",0211,710,686,1396,2797,49.91%,468,816,1284
"District Judge, 61st Judicial District",0212,218,314,532,1266,42.02%,94,410,504
"District Judge, 61st Judicial District",0213,1603,939,2542,3308,76.84%,1781,586,2367
"District Judge, 61st Judicial District",0214,798,544,1342,1795,74.76%,782,441,1223
"District Judge, 61st Judicial District",0215,844,786,1630,2168,75.18%,910,585,1495
"District Judge, 61st Judicial District",0216,784,320,1104,1917,57.59%,74,987,1061
"District Judge, 61st Judicial District",0217,1396,651,2047,2637,77.63%,1153,737,1890
"District Judge, 61st Judicial District",0218,690,608,1298,2274,57.08%,355,835,1190
"District Judge, 61st Judicial District",0219,1117,587,1704,2654,64.20%,131,1481,1612
"District Judge, 61st Judicial District",0220,711,353,1064,2360,45.08%,717,286,1003
"District Judge, 61st Judicial District",0221,699,611,1310,2489,52.63%,513,692,1205
"District Judge, 61st Judicial District",0222,1000,792,1792,2384,75.17%,726,879,1605
"District Judge, 61st Judicial District",0223,1350,760,2110,3528,59.81%,576,1361,1937
"District Judge, 61st Judicial District",0224,894,649,1543,2259,68.30%,673,739,1412
"District Judge, 61st Judicial District",0225,1109,720,1829,3155,57.97%,759,978,1737
"District Judge, 61st Judicial District",0226,529,545,1074,2393,44.88%,206,770,976
"District Judge, 61st Judicial District",0227,947,451,1398,1767,79.12%,913,383,1296
"District Judge, 61st Judicial District",0228,583,165,748,1073,69.71%,29,702,731
"District Judge, 61st Judicial District",0229,152,207,359,811,44.27%,102,237,339
"District Judge, 61st Judicial District",0230,421,153,574,1096,52.37%,9,537,546
"District Judge, 61st Judicial District",0231,562,471,1033,2219,46.55%,244,728,972
"District Judge, 61st Judicial District",0232,685,546,1231,1696,72.58%,643,479,1122
"District Judge, 61st Judicial District",0233,1826,1063,2889,4132,69.92%,1412,1241,2653
"District Judge, 61st Judicial District",0234,2088,885,2973,3854,77.14%,2060,705,2765
"District Judge, 61st Judicial District",0235,466,242,708,1305,54.25%,20,664,684
"District Judge, 61st Judicial District",0236,779,342,1121,2144,52.29%,23,1050,1073
"District Judge, 61st Judicial District",0237,793,441,1234,2181,56.58%,15,1191,1206
"District Judge, 61st Judicial District",0238,640,422,1062,1901,55.87%,18,1006,1024
"District Judge, 61st Judicial District",0239,765,357,1122,1997,56.18%,25,1064,1089
"District Judge, 61st Judicial District",0240,1157,402,1559,2688,58.00%,12,1499,1511
"District Judge, 61st Judicial District",0241,494,479,973,2296,42.38%,364,553,917
"District Judge, 61st Judicial District",0242,363,323,686,1570,43.69%,347,304,651
"District Judge, 61st Judicial District",0243,254,50,304,452,67.26%,2,294,296
"District Judge, 61st Judicial District",0244,1100,656,1756,2912,60.30%,903,773,1676
"District Judge, 61st Judicial District",0245,2340,1115,3455,5240,65.94%,2276,1042,3318
"District Judge, 61st Judicial District",0246,1584,624,2208,2999,73.62%,1459,641,2100
"District Judge, 61st Judicial District",0247,421,403,824,1607,51.28%,13,789,802
"District Judge, 61st Judicial District",0248,408,405,813,2122,38.31%,182,585,767
"District Judge, 61st Judicial District",0249,1028,481,1509,2676,56.39%,974,457,1431
"District Judge, 61st Judicial District",0250,306,247,553,951,58.15%,10,532,542
"District Judge, 61st Judicial District",0251,809,529,1338,2072,64.58%,54,1234,1288
"District Judge, 61st Judicial District",0252,1111,356,1467,2350,62.43%,18,1408,1426
"District Judge, 61st Judicial District",0253,923,325,1248,2252,55.42%,14,1215,1229
"District Judge, 61st Judicial District",0254,220,282,502,1476,34.01%,117,351,468
"District Judge, 61st Judicial District",0255,995,797,1792,2411,74.33%,767,894,1661
"District Judge, 61st Judicial District",0256,1059,766,1825,3226,56.57%,681,994,1675
"District Judge, 61st Judicial District",0257,553,571,1124,2403,46.77%,253,812,1065
"District Judge, 61st Judicial District",0258,1577,888,2465,3286,75.02%,1681,584,2265
"District Judge, 61st Judicial District",0259,1210,460,1670,2408,69.35%,24,1604,1628
"District Judge, 61st Judicial District",0260,420,290,710,1187,59.81%,368,305,673
"District Judge, 61st Judicial District",0261,176,133,309,749,41.26%,92,199,291
"District Judge, 61st Judicial District",0262,1470,906,2376,4232,56.14%,1313,882,2195
