Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Hastings,"DEM Alfred (""Al"") Bennett",Totals
"District Judge, 61st Judicial District",0682,1673,912,2585,4134,62.53%,1823,628,2451
"District Judge, 61st Judicial District",0683,48,50,98,261,37.55%,21,69,90
"District Judge, 61st Judicial District",0684,72,24,96,187,51.34%,56,32,88
"District Judge, 61st Judicial District",0685,167,29,196,326,60.12%,86,96,182
"District Judge, 61st Judicial District",0686,46,34,80,196,40.82%,17,58,75
"District Judge, 61st Judicial District",0687,1084,641,1725,2497,69.08%,1128,479,1607
"District Judge, 61st Judicial District",0688,1815,673,2488,3266,76.18%,1939,418,2357
"District Judge, 61st Judicial District",0689,505,651,1156,2276,50.79%,519,540,1059
"District Judge, 61st Judicial District",0690,1965,1116,3081,4184,73.64%,2358,582,2940
"District Judge, 61st Judicial District",0691,10,2,12,34,35.29%,5,7,12
"District Judge, 61st Judicial District",0692,999,717,1716,2626,65.35%,1226,403,1629
"District Judge, 61st Judicial District",0693,303,116,419,651,64.36%,98,284,382
"District Judge, 61st Judicial District",0694,420,137,557,817,68.18%,353,175,528
"District Judge, 61st Judicial District",0695,454,320,774,1646,47.02%,473,260,733
"District Judge, 61st Judicial District",0696,600,373,973,2098,46.38%,581,347,928
"District Judge, 61st Judicial District",0697,1516,941,2457,4307,57.05%,538,1821,2359
"District Judge, 61st Judicial District",0698,1137,659,1796,2948,60.92%,175,1549,1724
"District Judge, 61st Judicial District",0699,1031,566,1597,2288,69.80%,983,469,1452
"District Judge, 61st Judicial District",0700,531,287,818,1313,62.30%,632,141,773
"District Judge, 61st Judicial District",0701,142,115,257,554,46.39%,124,121,245
"District Judge, 61st Judicial District",0702,150,123,273,549,49.73%,28,231,259
"District Judge, 61st Judicial District",0703,742,616,1358,1845,73.60%,930,326,1256
"District Judge, 61st Judicial District",0704,1334,701,2035,2882,70.61%,1609,321,1930
"District Judge, 61st Judicial District",0705,358,238,596,1520,39.21%,54,520,574
"District Judge, 61st Judicial District",0706,222,135,357,529,67.49%,167,181,348
"District Judge, 61st Judicial District",0707,284,136,420,707,59.41%,240,153,393
"District Judge, 61st Judicial District",0708,109,95,204,568,35.92%,94,98,192
"District Judge, 61st Judicial District",0709,2996,1297,4293,6239,68.81%,2524,1596,4120
"District Judge, 61st Judicial District",0710,877,602,1479,2023,73.11%,811,550,1361
"District Judge, 61st Judicial District",0711,1492,701,2193,3351,65.44%,1266,785,2051
"District Judge, 61st Judicial District",0712,1200,858,2058,3348,61.47%,829,1165,1994
"District Judge, 61st Judicial District",0713,665,436,1101,1827,60.26%,566,480,1046
"District Judge, 61st Judicial District",0714,77,3,80,304,26.32%,52,23,75
"District Judge, 61st Judicial District",0715,405,326,731,1380,52.97%,356,334,690
"District Judge, 61st Judicial District",0716,977,522,1599,2670,59.89%,1104,423,1527
"District Judge, 61st Judicial District",0717,826,362,1188,1927,61.65%,150,989,1139
"District Judge, 61st Judicial District",0718,1844,1019,2863,4050,70.69%,1831,814,2645
"District Judge, 61st Judicial District",0719,508,260,768,1617,47.50%,407,308,715
"District Judge, 61st Judicial District",0720,1575,1044,2619,3903,67.10%,1856,656,2512
"District Judge, 61st Judicial District",0721,1334,637,1971,2842,69.35%,1266,569,1835
"District Judge, 61st Judicial District",0722,1892,542,2534,4357,58.16%,139,2298,2437
"District Judge, 61st Judicial District",0723,747,329,1076,1760,61.14%,214,811,1025
"District Judge, 61st Judicial District",0724,325,170,495,716,69.13%,326,141,467
"District Judge, 61st Judicial District",0725,953,329,1282,2124,60.36%,509,700,1209
"District Judge, 61st Judicial District",0726,1141,304,1445,1987,72.72%,1235,148,1383
"District Judge, 61st Judicial District",0727,931,466,1397,2488,56.15%,329,1010,1339
"District Judge, 61st Judicial District",0728,343,208,551,881,62.54%,294,219,513
"District Judge, 61st Judicial District",0729,208,93,301,446,67.49%,175,110,285
"District Judge, 61st Judicial District",0730,800,437,1237,1630,75.89%,782,355,1137
"District Judge, 61st Judicial District",0731,121,36,157,373,42.09%,26,119,145
"District Judge, 61st Judicial District",0732,701,543,1244,1895,65.65%,719,442,1161
"District Judge, 61st Judicial District",0733,25,62,87,172,50.58%,31,48,79
"District Judge, 61st Judicial District",0734,3209,1114,4323,5952,72.63%,2859,1300,4159
"District Judge, 61st Judicial District",0735,9,0,9,23,39.13%,9,0,9
"District Judge, 61st Judicial District",0736,6,1,7,21,33.33%,0,6,6
"District Judge, 61st Judicial District",0737,25,5,30,53,56.60%,24,6,30
"District Judge, 61st Judicial District",0738,470,219,689,1294,53.25%,83,585,668
"District Judge, 61st Judicial District",0739,1005,490,1495,2872,52.05%,648,786,1434
"District Judge, 61st Judicial District",0740,233,205,438,935,46.84%,223,197,420
"District Judge, 61st Judicial District",0741,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0742,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0743,27,4,31,199,15.58%,15,14,29
"District Judge, 61st Judicial District",0744,848,509,1357,2024,67.05%,845,426,1271
"District Judge, 61st Judicial District",0745,1066,542,1608,2396,67.11%,979,527,1506
"District Judge, 61st Judicial District",0746,230,151,381,707,53.89%,174,174,348
"District Judge, 61st Judicial District",0747,1200,873,2073,3490,59.40%,956,1031,1987
"District Judge, 61st Judicial District",0748,420,307,727,1319,55.12%,314,369,683
"District Judge, 61st Judicial District",0749,99,57,156,359,43.45%,28,116,144
"District Judge, 61st Judicial District",0750,264,147,411,720,57.08%,229,160,389
"District Judge, 61st Judicial District",0751,1664,1254,2918,4451,65.56%,1915,867,2782
"District Judge, 61st Judicial District",0752,571,277,848,1511,56.12%,582,214,796
"District Judge, 61st Judicial District",0753,106,61,167,260,64.23%,110,53,163
"District Judge, 61st Judicial District",0754,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0755,1048,896,1944,3569,54.47%,702,1135,1837
"District Judge, 61st Judicial District",0756,582,300,882,1539,57.31%,293,544,837
"District Judge, 61st Judicial District",0757,1416,690,2106,3498,60.21%,323,1713,2036
"District Judge, 61st Judicial District",0758,1996,783,2779,3781,73.50%,2173,434,2607
"District Judge, 61st Judicial District",0759,1109,590,1699,2625,64.72%,1001,594,1595
"District Judge, 61st Judicial District",0760,2346,647,2993,4154,72.05%,2408,425,2833
"District Judge, 61st Judicial District",0761,917,219,1136,1464,77.60%,775,282,1057
"District Judge, 61st Judicial District",0762,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0763,255,308,563,1184,47.55%,184,344,528
"District Judge, 61st Judicial District",0764,2270,1050,3320,4931,67.33%,2050,1122,3172
"District Judge, 61st Judicial District",0765,1390,815,2205,3967,55.58%,748,1359,2107
"District Judge, 61st Judicial District",0766,71,92,163,383,42.56%,37,107,144
"District Judge, 61st Judicial District",0767,20,15,35,90,38.89%,22,10,32
"District Judge, 61st Judicial District",0768,2854,1159,4013,5364,74.81%,3092,751,3843
"District Judge, 61st Judicial District",0769,117,5,122,161,75.78%,5,113,118
"District Judge, 61st Judicial District",0770,58,48,106,262,40.46%,42,58,100
"District Judge, 61st Judicial District",0771,701,537,1238,2378,52.06%,607,565,1172
"District Judge, 61st Judicial District",0772,2927,1002,3929,5617,69.95%,2861,883,3744
"District Judge, 61st Judicial District",0773,892,550,1442,2648,54.46%,343,1016,1359
"District Judge, 61st Judicial District",0774,116,74,190,301,63.12%,40,143,183
"District Judge, 61st Judicial District",0775,33,1,34,83,40.96%,0,33,33
"District Judge, 61st Judicial District",0776,1113,741,1854,2855,64.94%,1055,713,1768
"District Judge, 61st Judicial District",0777,83,123,206,642,32.09%,53,145,198
"District Judge, 61st Judicial District",0778,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0779,295,221,516,1146,45.03%,159,323,482
"District Judge, 61st Judicial District",0780,136,114,250,579,43.18%,105,127,232
"District Judge, 61st Judicial District",0781,1152,655,1807,3716,48.63%,644,979,1623
"District Judge, 61st Judicial District",0782,851,532,1383,2188,63.21%,813,477,1290
"District Judge, 61st Judicial District",0783,103,43,146,265,55.09%,77,58,135
"District Judge, 61st Judicial District",0784,428,156,584,1071,54.53%,6,560,566
"District Judge, 61st Judicial District",0785,66,55,121,310,39.03%,63,55,118
"District Judge, 61st Judicial District",0786,193,277,470,1297,36.24%,138,308,446
"District Judge, 61st Judicial District",0787,154,76,230,487,47.23%,71,140,211
"District Judge, 61st Judicial District",0788,156,58,214,481,44.49%,67,135,202
"District Judge, 61st Judicial District",0789,3,1,4,4,100.00%,0,3,3
"District Judge, 61st Judicial District",0790,1,0,1,4,25.00%,0,1,1
"District Judge, 61st Judicial District",0791,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0792,549,409,958,1834,52.24%,208,697,905
"District Judge, 61st Judicial District",0793,889,338,1227,2437,50.35%,675,494,1169
"District Judge, 61st Judicial District",0794,575,484,1059,2602,40.70%,76,945,1021
"District Judge, 61st Judicial District",0795,265,255,520,1207,43.08%,144,323,467
"District Judge, 61st Judicial District",0796,145,92,237,485,48.87%,114,109,223
"District Judge, 61st Judicial District",0797,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0798,176,263,439,496,88.51%,126,272,398
"District Judge, 61st Judicial District",0799,65,12,77,146,52.74%,17,56,73
"District Judge, 61st Judicial District",0800,1188,795,1983,2817,70.39%,1301,575,1876
"District Judge, 61st Judicial District",0801,68,55,123,253,48.62%,38,76,114
"District Judge, 61st Judicial District",0802,98,58,156,299,52.17%,29,113,142
"District Judge, 61st Judicial District",0803,1305,530,1935,2718,71.19%,1409,436,1845
"District Judge, 61st Judicial District",0804,1806,960,2766,4348,63.62%,1636,988,2624
"District Judge, 61st Judicial District",0805,1509,529,2038,2812,72.48%,1578,350,1928
"District Judge, 61st Judicial District",0806,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0807,652,402,1054,2001,52.67%,154,854,1008
"District Judge, 61st Judicial District",0808,41,26,67,84,79.76%,29,29,58
"District Judge, 61st Judicial District",0809,216,27,86,31.40%,8,16,24
"District Judge, 61st Judicial District",0810,30,48,78,215,36.28%,16,54,70
"District Judge, 61st Judicial District",0811,39,106,145,271,53.51%,26,110,136
"District Judge, 61st Judicial District",0812,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0813,1967,1258,3225,5423,59.47%,1527,1573,3100
"District Judge, 61st Judicial District",0814,1772,955,2727,4503,60.56%,600,2008,2608
"District Judge, 61st Judicial District",0815,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0816,20,13,33,76,43.42%,6,26,32
"District Judge, 61st Judicial District",0817,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0818,134,101,235,527,44.59%,44,184,228
"District Judge, 61st Judicial District",0819,97,45,142,238,59.66%,77,47,124
"District Judge, 61st Judicial District",0820,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0821,354,203,557,1206,46.19%,46,489,535
"District Judge, 61st Judicial District",0822,584,282,866,1544,56.09%,25,819,844
"District Judge, 61st Judicial District",0823,1849,1015,2864,4710,60.81%,1450,1265,2715
"District Judge, 61st Judicial District",0824,984,471,1455,2729,53.32%,308,1090,1398
"District Judge, 61st Judicial District",0825,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0826,153,89,242,342,70.76%,118,109,227
"District Judge, 61st Judicial District",0827,169,186,355,997,35.61%,127,209,336
"District Judge, 61st Judicial District",0828,1074,343,1417,1875,75.57%,1114,222,1336
"District Judge, 61st Judicial District",0829,107,56,163,266,61.28%,33,126,159
"District Judge, 61st Judicial District",0830,0,0,0,1,0.00%,0,0,0
"District Judge, 61st Judicial District",0831,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0832,109,46,155,351,44.16%,42,103,145
"District Judge, 61st Judicial District",0833,8,1,9,20,45.00%,0,9,9
"District Judge, 61st Judicial District",0834,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0835,87,53,140,292,47.95%,39,94,133
"District Judge, 61st Judicial District",0836,8,3,11,19,57.89%,0,9,9
"District Judge, 61st Judicial District",0837,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0838,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0839,353,240,593,1122,52.85%,111,447,558
"District Judge, 61st Judicial District",0840,712,251,963,1621,59.41%,310,616,926
"District Judge, 61st Judicial District",0841,0,2,2,0,0.00%,0,2,2
"District Judge, 61st Judicial District",0842,987,715,1702,3091,55.06%,723,899,1622
"District Judge, 61st Judicial District",0843,0,2,2,0,0.00%,0,2,2
"District Judge, 61st Judicial District",0844,2,4,6,1,3,46.1,5%,1,4,5
"District Judge, 61st Judicial District",0845,85,10,95,100,95.00%,54,35,89
"District Judge, 61st Judicial District",0846,70,29,99,210,47.14%,6,90,96
"District Judge, 61st Judicial District",0847,795,321,1116,1804,61.86%,291,776,1067
"District Judge, 61st Judicial District",0848,782,431,1213,1873,64.76%,364,797,1161
"District Judge, 61st Judicial District",0849,553,514,1067,2073,51.47%,332,665,997
"District Judge, 61st Judicial District",0850,87,38,125,205,60.98%,51,69,120
"District Judge, 61st Judicial District",0851,2192,816,3008,4317,69.68%,1923,939,2862
"District Judge, 61st Judicial District",0852,0,4,4,2,200.00%,0,4,4
"District Judge, 61st Judicial District",0853,1412,605,2017,2773,72.74%,1501,407,1908
"District Judge, 61st Judicial District",0854,41,30,71,175,40.57%,5,64,69
"District Judge, 61st Judicial District",0855,4,13,17,18,94.44%,9,8,17
"District Judge, 61st Judicial District",0856,0,4,4,0,0.00%,2,1,3
"District Judge, 61st Judicial District",0857,0,0,0,1,0.00%,0,0,0
"District Judge, 61st Judicial District",0858,132,18,150,372,40.32%,4,141,145
"District Judge, 61st Judicial District",0859,309,201,510,860,59.30%,101,398,499
"District Judge, 61st Judicial District",0860,0,1,1,0,0.00%,0,1,1
"District Judge, 61st Judicial District",0861,705,319,1024,1786,57.33%,177,818,995
"District Judge, 61st Judicial District",0862,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0863,210,69,279,620,45.00%,9,262,271
"District Judge, 61st Judicial District",0864,497,609,1106,2464,44.89%,265,774,1039
"District Judge, 61st Judicial District",0865,9,2,11,23,47.83%,0,11,11
"District Judge, 61st Judicial District",0866,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0867,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0868,573,586,1159,2292,50.57%,342,757,1099
"District Judge, 61st Judicial District",0869,153,76,229,473,48.41%,31,188,219
"District Judge, 61st Judicial District",0870,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0871,3,0,3,4,75.00%,0,3,3
"District Judge, 61st Judicial District",0872,13,5,18,66,27.27%,9,7,16
"District Judge, 61st Judicial District",0873,253,125,378,701,53.92%,90,282,372
"District Judge, 61st Judicial District",0874,1534,748,2282,3107,73.45%,1709,457,2166
"District Judge, 61st Judicial District",0875,1719,927,2646,4031,65.64%,1265,1273,2538
"District Judge, 61st Judicial District",0876,1629,639,2268,3013,75.27%,1609,561,2170
"District Judge, 61st Judicial District",0877,1030,542,1672,2480,67.42%,695,927,1622
"District Judge, 61st Judicial District",0878,853,350,1203,1641,73.31%,984,160,1144
"District Judge, 61st Judicial District",0879,890,527,1417,2334,60.71%,651,705,1356
"District Judge, 61st Judicial District",0880,1068,472,1540,2007,76.73%,1147,312,1459
"District Judge, 61st Judicial District",0881,1510,877,2387,3619,65.96%,752,1549,2301
"District Judge, 61st Judicial District",0882,940,457,1397,2328,60.01%,769,568,1337
"District Judge, 61st Judicial District",0883,1918,1042,2960,4651,63.64%,504,2365,2869
"District Judge, 61st Judicial District",0884,118,37,155,330,46.97%,20,128,148
"District Judge, 61st Judicial District",0885,1222,541,1763,2466,71.49%,1022,654,1676
"District Judge, 61st Judicial District",0886,301,154,455,713,63.81%,223,187,410
"District Judge, 61st Judicial District",0887,138,83,221,313,70.61%,116,79,195
"District Judge, 61st Judicial District",0888,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0889,22,0,22,61,36.07%,12,9,21
"District Judge, 61st Judicial District",0890,319,118,437,994,43.96%,158,250,408
"District Judge, 61st Judicial District",0891,539,392,931,1413,65.89%,335,529,864
"District Judge, 61st Judicial District",0892,193,130,323,696,46.41%,88,210,298
"District Judge, 61st Judicial District",0893,1,0,1,5,20.00%,0,1,1
"District Judge, 61st Judicial District",0894,0,31,31,0,0.00%,6,22,28
"District Judge, 61st Judicial District",0895,335,325,660,784,84.1,8%,246,345,591
"District Judge, 61st Judicial District",0896,670,303,973,1437,67.71%,356,531,887
"District Judge, 61st Judicial District",0897,742,375,1117,1624,68.78%,604,464,1068
"District Judge, 61st Judicial District",0898,0,0,0,2,0.00%,0,0,0
"District Judge, 61st Judicial District",0899,4,0,4,8,50.00%,1,3,4
"District Judge, 61st Judicial District",0900,5,0,5,12,41.67%,1,3,4
"District Judge, 61st Judicial District",0901,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0902,865,621,1486,2065,71.96%,813,553,1366
"District Judge, 61st Judicial District",0903,10,1,11,41,26.83%,6,4,10
"District Judge, 61st Judicial District",0904,0,1,1,1,100.00%,0,1,1
"District Judge, 61st Judicial District",0905,290,168,458,908,50.44%,166,248,414
"District Judge, 61st Judicial District",0906,12,6,18,26,69.23%,9,8,17
"District Judge, 61st Judicial District",0907,60,43,103,134,76.87%,22,79,101
"District Judge, 61st Judicial District",0908,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0909,5,7,12,19,63.16%,6,5,11
"District Judge, 61st Judicial District",0910,55,34,89,226,39.38%,33,50,83
"District Judge, 61st Judicial District",0911,227,79,306,570,53.68%,197,89,286
"District Judge, 61st Judicial District",0912,675,221,896,1235,72.55%,538,293,831
"District Judge, 61st Judicial District",0913,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0914,169,67,236,221,106.79%,177,45,222
"District Judge, 61st Judicial District",0915,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0916,604,182,786,1045,75.22%,636,113,749
"District Judge, 61st Judicial District",0917,280,137,417,481,86.69%,283,102,385
"District Judge, 61st Judicial District",0918,489,135,624,883,70.67%,453,129,582
"District Judge, 61st Judicial District",0919,0,3,3,3,100.00%,1,2,3
"District Judge, 61st Judicial District",0920,6,0,6,13,46.15%,6,0,6
"District Judge, 61st Judicial District",0921,71,9,80,87,91.95%,61,18,79
"District Judge, 61st Judicial District",0922,0,2,2,0,0.00%,1,1,2
"District Judge, 61st Judicial District",0923,663,87,750,826,90.80%,558,162,720
"District Judge, 61st Judicial District",0924,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0925,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0926,351,1,20,481,621,77.46%,356,99,455
"District Judge, 61st Judicial District",0927,84,74,158,262,60.31%,80,69,149
"District Judge, 61st Judicial District",0928,4,2,6,9,66.67%,0,6,6
"District Judge, 61st Judicial District",0929,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0930,200,77,277,567,48.85%,3,267,270
"District Judge, 61st Judicial District",0931,48,53,101,122,82.79%,45,41,86
"District Judge, 61st Judicial District",0932,0,5,5,0,0.00%,1,4,5
"District Judge, 61st Judicial District",0933,233,1,21,354,566,62.54%,89,248,337
"District Judge, 61st Judicial District",0934,12,1,13,41,31.71%,6,7,13
"District Judge, 61st Judicial District",0935,8,17,25,65,38.46%,12,11,23
"District Judge, 61st Judicial District",0936,12,10,22,70,31.43%,6,13,19
"District Judge, 61st Judicial District",0937,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0938,73,14,87,256,33.98%,27,56,83
"District Judge, 61st Judicial District",0939,1,0,1,1,100.00%,0,1,1
"District Judge, 61st Judicial District",0940,1,0,1,13,7.69%,0,1,1
"District Judge, 61st Judicial District",0941,13,9,22,25,88.00%,19,3,22
"District Judge, 61st Judicial District",0942,68,24,92,159,57.86%,67,19,86
"District Judge, 61st Judicial District",0943,296,63,359,536,66.98%,228,99,327
"District Judge, 61st Judicial District",0944,30,6,36,39,92.31%,27,6,33
"District Judge, 61st Judicial District",0945,4,7,11,16,68.75%,0,9,9
"District Judge, 61st Judicial District",0946,3,3,6,14,42.86%,0,4,4
"District Judge, 61st Judicial District",0947,320,292,612,822,74.45%,302,246,548
"District Judge, 61st Judicial District",0948,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0949,59,37,96,201,47.76%,42,49,91
"District Judge, 61st Judicial District",0950,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0951,79,44,123,218,56.42%,25,94,119
"District Judge, 61st Judicial District",0952,24,16,40,70,57.14%,17,19,36
"District Judge, 61st Judicial District",0953,59,52,111,420,26.43%,7,103,110
"District Judge, 61st Judicial District",0954,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0955,5,20,25,18,138.89%,14,9,23
"District Judge, 61st Judicial District",0956,5,2,7,12,58.33%,4,3,7
"District Judge, 61st Judicial District",0957,261,115,376,551,68.24%,57,308,365
"District Judge, 61st Judicial District",0958,289,266,555,989,56.12%,117,408,525
"District Judge, 61st Judicial District",0959,0,4,4,0,0.00%,0,4,4
"District Judge, 61st Judicial District",0960,362,143,505,586,86.18%,133,356,489
"District Judge, 61st Judicial District",0961,23,11,34,53,64.15%,8,26,34
"District Judge, 61st Judicial District",0962,24,13,37,73,50.68%,8,25,33
"District Judge, 61st Judicial District",0963,129,69,198,353,56.09%,105,79,184
"District Judge, 61st Judicial District",0964,945,447,1392,1571,88.61%,832,507,1339
"District Judge, 61st Judicial District",0965,93,27,120,355,33.80%,77,36,113
"District Judge, 61st Judicial District",0966,305,160,465,1073,43.34%,123,315,438
"District Judge, 61st Judicial District",0967,48,15,63,98,64.29%,26,36,62
"District Judge, 61st Judicial District",0968,243,83,326,517,63.06%,62,254,316
"District Judge, 61st Judicial District",0969,335,82,417,584,71.40%,1,403,404
"District Judge, 61st Judicial District",0970,212,76,288,704,40.91%,27,238,265
"District Judge, 61st Judicial District",0971,27,21,48,129,37.21%,1,46,47
"District Judge, 61st Judicial District",0972,10,7,17,29,58.62%,11,5,16
"District Judge, 61st Judicial District",0973,49,24,73,107,68.22%,40,29,69
"District Judge, 61st Judicial District",0974,100,71,171,299,57.19%,103,59,162
"District Judge, 61st Judicial District",0975,72,41,113,170,66.47%,52,52,104
"District Judge, 61st Judicial District",0976,159,131,290,684,42.40%,161,108,269
"District Judge, 61st Judicial District",0977,104,83,187,535,34.95%,68,108,176
"District Judge, 61st Judicial District",0978,201,102,303,506,59.88%,51,242,293
"District Judge, 61st Judicial District",0979,56,11,26,42.31%,10,1,11
"District Judge, 61st Judicial District",0980,595,356,951,1323,71.88%,679,215,894
"District Judge, 61st Judicial District",0981,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0982,534,218,752,1021,73.65%,580,132,712
"District Judge, 61st Judicial District",0983,41,28,69,165,41.82%,39,26,65
"District Judge, 61st Judicial District",0984,43,49,92,198,46.46%,6,83,89
"District Judge, 61st Judicial District",0985,172,67,239,336,71.13%,111,112,223
"District Judge, 61st Judicial District",0986,129,86,215,404,53.22%,19,182,201
"District Judge, 61st Judicial District",0987,465,191,656,1138,57.64%,47,586,633
"District Judge, 61st Judicial District",0988,44,21,65,111,58.56%,53,9,62
"District Judge, 61st Judicial District",0989,18,8,26,36,72.22%,11,14,25
"District Judge, 61st Judicial District",0990,37,15,52,154,33.77%,15,30,45
"District Judge, 61st Judicial District",0991,0,0,0,1,0.00%,0,0,0
"District Judge, 61st Judicial District",0992,309,202,511,1015,50.34%,282,206,488
"District Judge, 61st Judicial District",0993,272,91,363,551,65.88%,281,58,339
"District Judge, 61st Judicial District",0994,6,5,11,8,137.50%,2,9,11
"District Judge, 61st Judicial District",0995,596,190,786,1269,61.94%,32,725,757
"District Judge, 61st Judicial District",0996,297,125,422,699,60.37%,227,167,394
"District Judge, 61st Judicial District",0997,429,328,757,1439,52.61%,123,611,734
"District Judge, 61st Judicial District",0998,15,9,24,35,68.57%,16,7,23
"District Judge, 61st Judicial District",0999,30,16,46,65,70.77%,36,7,43
"District Judge, 61st Judicial District",1000,105,0,105,458,22.93%,17,81,98
"District Judge, 61st Judicial District",1001,496,294,790,1566,50.45%,151,596,747
"District Judge, 61st Judicial District",1002,464,314,778,1738,44.76%,83,662,745
"District Judge, 61st Judicial District",1003,0,0,0,1,0.00%,0,0,0
"District Judge, 61st Judicial District",1004,224,153,377,656,57.47%,187,144,331
"District Judge, 61st Judicial District",1005,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",1006,3,0,3,5,60.00%,3,0,3
"District Judge, 61st Judicial District",1007,555,295,850,1371,62.00%,194,628,822
"District Judge, 61st Judicial District",1008,86,21,107,150,71.33%,82,19,101
"District Judge, 61st Judicial District",1009,3,1,4,8,50.00%,4,0,4
"District Judge, 61st Judicial District",1010,124,74,198,317,62.46%,27,161,188
"District Judge, 61st Judicial District",1011,12,3,15,29,51.72%,4,8,12
"District Judge, 61st Judicial District",1012,395,318,713,1235,57.73%,188,498,686
"District Judge, 61st Judicial District",1013,8,14,22,60,36.67%,15,7,22
"District Judge, 61st Judicial District",1014,9,7,16,36,44.44%,3,13,16
"District Judge, 61st Judicial District",1015,11,7,18,29,62.07%,4,13,17
"District Judge, 61st Judicial District",1016,591,364,955,1626,58.73%,426,484,910
"District Judge, 61st Judicial District",1017,127,50,177,232,76.29%,49,120,169
"District Judge, 61st Judicial District",1018,209,92,301,468,64.32%,139,152,291
"District Judge, 61st Judicial District",1019,426,4,430,1518,28.33%,14,400,414
"District Judge, 61st Judicial District",1020,0,0,0,1,0.00%,0,0,0
"District Judge, 61st Judicial District",1021,1,0,1,2,50.00%,0,1,1
"District Judge, 61st Judicial District",1022,190,30,220,426,51.64%,171,39,210
"District Judge, 61st Judicial District",1023,894,401,1295,1964,65.94%,825,399,1224
"District Judge, 61st Judicial District",1024,113,77,190,259,73.36%,95,76,171
"District Judge, 61st Judicial District",1025,4,0,4,18,22.22%,1,3,4
"District Judge, 61st Judicial District",1026,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",1027,0,1,1,1,100.00%,0,0,0
"District Judge, 61st Judicial District",1028,0,1,1,0,0.00%,1,0,1
"District Judge, 61st Judicial District",1029,1021,641,1662,1802,92.23%,1267,301,1568
"District Judge, 61st Judicial District",1030,397,105,502,655,76.64%,430,53,483
"District Judge, 61st Judicial District",1031,3,3,6,6,100.00%,5,1,6
"District Judge, 61st Judicial District",1032,59,80,139,241,57.68%,98,33,131
"District Judge, 61st Judicial District",1033,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",1034,0,0,0,1,0.00%,0,0,0
"District Judge, 61st Judicial District",1035,24,13,37,139,26.62%,3,33,36
"District Judge, 61st Judicial District",1036,144,46,190,433,43.88%,147,33,180
"District Judge, 61st Judicial District",1037,27,16,43,73,58.90%,22,14,36
"District Judge, 61st Judicial District",1038,133,43,176,266,66.17%,10,162,172
"District Judge, 61st Judicial District",1039,3,5,8,20,40.00%,2,6,8
"District Judge, 61st Judicial District",1040,192,146,338,607,55.68%,182,136,318
"District Judge, 61st Judicial District",1041,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",1042,227,50,277,498,55.62%,79,193,272
"District Judge, 61st Judicial District",1043,12,2,14,31,45.16%,3,11,14
"District Judge, 61st Judicial District",1044,29,5,34,59,57.63%,7,26,33
"District Judge, 61st Judicial District",1045,611,321,932,1439,64.77%,120,782,902
