Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP R. W. Bray,"DEM Mario V. Gallegos, Jr.",Totals
"State Senator, District 6",0608,245,290,535,1256,42.60%,192,316,508
"State Senator, District 6",0637,739,509,1248,2471,50.51%,255,922,1177
"State Senator, District 6",0664,681,607,1288,2801,45.98%,256,972,1228
"State Senator, District 6",0676,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0677,220,239,459,954,48.11%,112,330,442
"State Senator, District 6",0681,1,0,1,5,20.00%,0,1,1
"State Senator, District 6",0683,48,50,98,261,37.55%,15,77,92
"State Senator, District 6",0702,150,123,273,549,49.73%,24,236,260
"State Senator, District 6",0708,109,95,204,568,35.92%,90,105,195
"State Senator, District 6",0714,77,3,80,304,26.32%,52,25,77
"State Senator, District 6",0719,508,260,768,1617,47.50%,407,325,732
"State Senator, District 6",0733,25,62,87,172,50.58%,29,52,81
"State Senator, District 6",0736,6,1,7,21,33.33%,1,5,6
"State Senator, District 6",0740,233,205,438,935,46.84%,226,201,427
"State Senator, District 6",0742,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0743,27,4,31,199,15.58%,12,17,29
"State Senator, District 6",0749,99,57,156,359,43.45%,27,118,145
"State Senator, District 6",0754,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0755,1048,896,1944,3569,54.47%,661,1205,1866
"State Senator, District 6",0762,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0763,255,308,563,1184,47.55%,170,366,536
"State Senator, District 6",0766,71,92,163,383,42.56%,33,115,148
"State Senator, District 6",0770,58,48,106,262,40.46%,41,60,101
"State Senator, District 6",0774,116,74,190,301,63.12%,42,142,184
"State Senator, District 6",0775,33,1,34,83,40.96%,1,32,33
"State Senator, District 6",0777,83,123,206,642,32.09%,51,151,202
"State Senator, District 6",0778,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0779,295,221,516,1146,45.03%,147,340,487
"State Senator, District 6",0780,136,114,250,579,43.18%,103,129,232
"State Senator, District 6",0785,66,55,121,310,39.03%,58,63,121
"State Senator, District 6",0786,193,277,470,1297,36.24%,122,329,451
"State Senator, District 6",0787,154,76,230,487,47.23%,66,151,217
"State Senator, District 6",0790,1,0,1,4,25.00%,0,1,1
"State Senator, District 6",0792,549,409,958,1834,52.24%,202,723,925
"State Senator, District 6",0794,575,484,1059,2602,40.70%,73,951,1024
"State Senator, District 6",0795,265,255,520,1207,43.08%,138,350,488
"State Senator, District 6",0796,145,92,237,485,48.87%,114,112,226
"State Senator, District 6",0797,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0798,176,263,439,496,88.51%,122,289,411
"State Senator, District 6",0801,58,55,123,253,48.62%,35,83,118
"State Senator, District 6",0806,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0810,30,48,78,215,36.28%,18,52,70
"State Senator, District 6",0811,39,106,145,271,53.51%,21,121,142
"State Senator, District 6",0812,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0816,20,13,33,76,43.42%,5,26,31
"State Senator, District 6",0817,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0821,354,203,557,1206,46.19%,50,485,535
"State Senator, District 6",0824,984,471,1455,2729,53.32%,285,1119,1404
"State Senator, District 6",0827,169,186,355,997,35.61%,123,212,335
"State Senator, District 6",0832,109,46,155,351,44.16%,42,105,147
"State Senator, District 6",0833,8,1,9,20,45.00%,0,9,9
"State Senator, District 6",0838,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0842,987,715,1702,3091,55.06%,700,937,1637
"State Senator, District 6",0844,2,4,6,1,3,46.1,5%,1,4,5
"State Senator, District 6",0846,70,29,99,210,47.14%,5,92,97
"State Senator, District 6",0849,553,514,1067,2073,51.47%,293,726,1019
"State Senator, District 6",0850,87,38,125,205,60.98%,44,76,120
"State Senator, District 6",0852,0,4,4,2,200.00%,0,4,4
"State Senator, District 6",0857,0,0,0,1,0.00%,0,0,0
"State Senator, District 6",0860,0,1,1,0,0.00%,1,0,1
"State Senator, District 6",0862,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0864,497,609,1106,2464,44.89%,240,811,1051
"State Senator, District 6",0871,3,0,3,4,75.00%,0,3,3
"State Senator, District 6",0872,13,5,18,66,27.27%,9,7,16
"State Senator, District 6",0889,22,0,22,61,36.07%,14,8,22
"State Senator, District 6",0899,4,0,4,8,50.00%,1,3,4
"State Senator, District 6",0908,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0909,5,7,12,19,63.16%,6,6,12
"State Senator, District 6",0910,55,34,89,226,39.38%,28,56,84
"State Senator, District 6",0924,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0925,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0928,4,2,6,9,66.67%,0,6,6
"State Senator, District 6",0930,200,77,277,567,48.85%,7,265,272
"State Senator, District 6",0936,12,10,22,70,31.43%,7,15,22
"State Senator, District 6",0937,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0945,4,7,11,1,6,68.75%,0,9,9
"State Senator, District 6",0946,3,3,6,14,42.86%,0,4,4
"State Senator, District 6",0950,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0957,261,115,376,551,68.24%,57,311,368
"State Senator, District 6",0958,289,266,555,989,56.12%,107,423,530
"State Senator, District 6",0959,0,4,4,0,0.00%,0,4,4
"State Senator, District 6",0970,212,76,288,704,40.91%,29,239,268
"State Senator, District 6",0996,297,125,422,699,60.37%,220,183,403
"State Senator, District 6",1039,3,5,8,20,40.00%,1,7,8
"State Senator, District 6",1,041,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",1046,19,18,37,54,68.52%,4,32,36
"State Senator, District 6",1,048,3,1,4,1,8,22.22%,2,2,4
"State Senator, District 6",1049,57,71,128,266,48.12%,31,92,123
"State Senator, District 6",1050,148,153,301,506,59.49%,64,226,290
"State Senator, District 6",1053,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",1055,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",1056,4,0,4,6,66.67%,0,4,4
"State Senator, District 6",1057,34,7,41,115,35.65%,1,37,38
"State Senator, District 6",1058,540,246,786,1190,66.05%,117,647,764
"State Senator, District 6",1059,7,3,10,23,43.48%,1,9,10
"State Senator, District 6",1060,13,4,17,49,34.69%,9,8,17
"State Senator, District 6",Totals:,77704,60289,137993,284248,,38201,93289,131490
