Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0094,148,104,252,537,46.93%,74,38,26,138
"Justice, Supreme Court, Place 4",0095,1585,571,2357,3179,74.14%,1647,227,152,2026
"Justice, Supreme Court, Place 4",0096,365,237,602,1241,48.51%,83,160,62,305
"Justice, Supreme Court, Place 4",0097,2395,764,3159,4566,69.19%,2328,230,93,2651
"Justice, Supreme Court, Place 4",0098,875,607,1482,2403,61.67%,1205,86,42,1333
"Justice, Supreme Court, Place 4",0099,568,311,879,2040,43.09%,420,93,43,556
"Justice, Supreme Court, Place 4",0100,427,324,751,1754,42.82%,358,101,31,490
"Justice, Supreme Court, Place 4",0101,204,186,390,941,41.45%,103,56,30,189
"Justice, Supreme Court, Place 4",0102,493,268,761,1910,39.84%,216,93,43,352
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0103,1915,1065,2980,4751,62.72%,1640,307,131,2078
"Justice, Supreme Court, Place 4",0104,993,238,1231,1847,66.65%,51,143,72,266
"Justice, Supreme Court, Place 4",0105,462,453,915,2153,42.50%,314,140,72,526
"Justice, Supreme Court, Place 4",0106,49,37,86,284,30.28%,43,11,5,59
"Justice, Supreme Court, Place 4",0107,412,441,853,1905,44.78%,175,95,72,342
"Justice, Supreme Court, Place 4",0108,1194,514,1708,3229,52.90%,947,193,96,1236
"Justice, Supreme Court, Place 4",0109,1161,430,1591,2884,55.17%,71,222,115,408
"Justice, Supreme Court, Place 4",0110,1465,589,2054,2853,71.99%,1284,262,116,1662
"Justice, Supreme Court, Place 4",0111,1869,848,2717,3638,74.68%,2025,207,118,2350
"Justice, Supreme Court, Place 4",0112,1262,668,1930,2894,66.69%,1383,206,89,1678
"Justice, Supreme Court, Place 4",0113,1125,590,1715,2537,67.60%,1026,182,116,1324
"Justice, Supreme Court, Place 4",0114,1457,546,2003,2650,75.58%,1561,132,57,1750
"Justice, Supreme Court, Place 4",0115,598,305,903,1764,51.19%,123,136,58,317
"Justice, Supreme Court, Place 4",0116,1628,747,2375,3014,78.80%,1836,183,114,2133
"Justice, Supreme Court, Place 4",0117,398,462,860,1878,45.79%,399,122,78,599
"Justice, Supreme Court, Place 4",0118,460,148,608,743,81.83%,496,31,19,546
"Justice, Supreme Court, Place 4",0119,1924,1265,3189,4892,65.19%,2519,187,98,2804
"Justice, Supreme Court, Place 4",0120,1200,632,1832,2986,61.35%,1156,202,130,1488
"Justice, Supreme Court, Place 4",0121,193,244,437,679,64.36%,290,31,22,343
"Justice, Supreme Court, Place 4",0122,895,349,1244,2199,56.57%,87,177,85,349
"Justice, Supreme Court, Place 4",0123,441,350,791,1356,58.33%,242,172,162,576
"Justice, Supreme Court, Place 4",0124,3523,1281,4804,5952,80.71%,3823,285,165,4273
"Justice, Supreme Court, Place 4",0125,897,534,1431,2281,62.74%,858,183,90,1131
"Justice, Supreme Court, Place 4",0126,1630,407,2037,2799,72.78%,1738,92,38,1868
"Justice, Supreme Court, Place 4",0127,854,182,1036,1703,60.83%,739,57,33,829
"Justice, Supreme Court, Place 4",0128,936,736,1672,2257,74.08%,1113,149,146,1408
"Justice, Supreme Court, Place 4",0129,2296,1449,3745,5495,68.15%,2380,447,298,3125
"Justice, Supreme Court, Place 4",0130,1204,523,1727,2240,77.10%,1305,120,94,1519
"Justice, Supreme Court, Place 4",0131,607,374,981,1721,57.00%,278,172,112,562
"Justice, Supreme Court, Place 4",0132,1121,397,1518,2449,61.98%,72,210,130,412
"Justice, Supreme Court, Place 4",0133,1088,940,2028,2605,77.85%,1278,230,167,1675
"Justice, Supreme Court, Place 4",0134,420,392,812,1444,56.23%,381,122,80,583
"Justice, Supreme Court, Place 4",0135,1431,634,2065,2750,75.09%,1356,234,160,1750
"Justice, Supreme Court, Place 4",0136,985,451,1436,2111,68.02%,111,282,174,567
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0137,305,193,498,740,67.30%,268,72,70,410
"Justice, Supreme Court, Place 4",0138,661,259,920,1749,52.60%,42,104,46,192
"Justice, Supreme Court, Place 4",0139,1297,747,2044,2746,74.44%,1050,299,270,1619
"Justice, Supreme Court, Place 4",0140,1317,583,2000,3104,64.43%,387,381,259,1027
"Justice, Supreme Court, Place 4",0141,181,143,324,872,37.16%,204,27,15,246
"Justice, Supreme Court, Place 4",0142,212,171,383,870,44.02%,130,56,35,221
"Justice, Supreme Court, Place 4",0143,2999,660,3659,4598,79.58%,2628,299,155,3082
"Justice, Supreme Court, Place 4",0144,477,204,681,1143,59.58%,23,88,45,156
"Justice, Supreme Court, Place 4",0145,663,245,908,1580,57.47%,32,93,62,187
"Justice, Supreme Court, Place 4",0146,759,614,1373,1953,70.30%,643,232,197,1072
"Justice, Supreme Court, Place 4",0147,1256,485,1741,2813,61.89%,270,273,152,695
"Justice, Supreme Court, Place 4",0148,911,924,1835,2467,74.38%,847,247,338,1432
"Justice, Supreme Court, Place 4",0149,2866,1322,4188,6103,68.62%,1987,586,307,2880
"Justice, Supreme Court, Place 4",0150,539,207,746,1212,61.55%,31,114,48,193
"Justice, Supreme Court, Place 4",0151,31,e,148,464,846,54.85%,38,57,37,132
"Justice, Supreme Court, Place 4",0152,483,602,1085,2701,40.17%,299,159,107,565
"Justice, Supreme Court, Place 4",0153,328,437,765,1755,43.59%,249,112,60,421
"Justice, Supreme Court, Place 4",0154,593,360,953,2133,44.68%,279,143,90,512
"Justice, Supreme Court, Place 4",0155,1957,834,2791,4087,68.29%,1963,215,145,2323
"Justice, Supreme Court, Place 4",0156,1428,457,1885,3134,60.15%,120,291,164,575
"Justice, Supreme Court, Place 4",0157,881,382,1263,2311,54.65%,81,167,85,333
"Justice, Supreme Court, Place 4",0158,1304,435,1739,3016,57.66%,84,273,152,509
"Justice, Supreme Court, Place 4",0159,313,187,500,976,51.23%,83,71,43,197
"Justice, Supreme Court, Place 4",0160,246,140,386,688,56.10%,22,62,26,110
"Justice, Supreme Court, Place 4",0161,395,190,585,1030,56.80%,16,73,40,129
"Justice, Supreme Court, Place 4",0162,232,262,494,1249,39.55%,162,73,35,270
"Justice, Supreme Court, Place 4",0163,778,535,1413,3054,46.27%,502,130,90,722
"Justice, Supreme Court, Place 4",0164,505,304,809,1434,56.42%,32,83,59,174
"Justice, Supreme Court, Place 4",0165,919,557,1476,2284,64.62%,950,165,117,1232
"Justice, Supreme Court, Place 4",0166,281,311,592,1016,58.27%,220,123,98,441
"Justice, Supreme Court, Place 4",0167,5,2,7,23,30.43%,1,1,2,4
"Justice, Supreme Court, Place 4",0168,189,126,315,519,60.69%,16,26,13,55
"Justice, Supreme Court, Place 4",0169,1060,433,1493,2531,58.99%,58,181,96,335
"Justice, Supreme Court, Place 4",0170,481,353,834,1887,44.20%,437,91,43,571
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0171,514,294,808,1613,50.09%,42,100,46,188
"Justice, Supreme Court, Place 4",0172,161,147,308,600,51.33%,116,44,31,191
"Justice, Supreme Court, Place 4",0173,1799,619,2418,3105,77.87%,1880,145,101,2126
"Justice, Supreme Court, Place 4",0174,1554,767,2321,3159,73.47%,1617,190,122,1929
"Justice, Supreme Court, Place 4",0175,1066,867,1933,2506,77.13%,1069,244,214,1527
"Justice, Supreme Court, Place 4",0176,627,530,1157,1581,73.18%,656,129,127,912
"Justice, Supreme Court, Place 4",0177,676,385,1061,1478,71.79%,655,161,80,896
"Justice, Supreme Court, Place 4",0178,914,368,1282,1718,74.62%,878,142,72,1092
"Justice, Supreme Court, Place 4",0179,449,321,770,1508,51.06%,363,127,69,559
"Justice, Supreme Court, Place 4",0180,966,552,1518,2795,54.31%,75,220,93,388
"Justice, Supreme Court, Place 4",0181,418,514,932,1968,47.36%,345,133,79,557
"Justice, Supreme Court, Place 4",0182,1326,1081,2407,3289,73.18%,1533,258,221,2012
"Justice, Supreme Court, Place 4",0183,973,943,1916,2451,78.17%,1342,181,129,1652
"Justice, Supreme Court, Place 4",0184,214,256,470,969,48.50%,162,60,37,259
"Justice, Supreme Court, Place 4",0185,593,494,1087,1910,56.91%,383,139,78,600
"Justice, Supreme Court, Place 4",0186,204,170,374,795,47.04%,55,48,18,121
"Justice, Supreme Court, Place 4",0187,48,65,113,309,36.57%,32,18,12,62
"Justice, Supreme Court, Place 4",0188,307,378,685,1616,42.39%,286,72,40,398
"Justice, Supreme Court, Place 4",0189,493,473,966,1453,66.48%,531,135,102,768
"Justice, Supreme Court, Place 4",0190,275,401,676,1720,39.30%,266,80,60,406
"Justice, Supreme Court, Place 4",0191,197,313,510,1391,36.66%,204,61,27,292
"Justice, Supreme Court, Place 4",0192,746,332,1078,2045,52.71%,78,139,64,281
"Justice, Supreme Court, Place 4",0193,341,269,610,1050,58.10%,31,91,71,193
"Justice, Supreme Court, Place 4",0194,709,504,1213,1735,69.91%,387,228,224,839
"Justice, Supreme Court, Place 4",0195,539,419,958,1721,55.67%,47,117,70,234
"Justice, Supreme Court, Place 4",0196,121,55,176,323,54.49%,16,36,8,60
"Justice, Supreme Court, Place 4",0197,1109,497,1606,2895,55.47%,75,215,101,391
"Justice, Supreme Court, Place 4",0198,143,158,301,657,45.81%,11,25,18,54
"Justice, Supreme Court, Place 4",0199,1408,773,2181,3159,69.04%,1652,164,88,1904
"Justice, Supreme Court, Place 4",0200,1643,585,2228,3222,69.15%,1082,339,329,1750
"Justice, Supreme Court, Place 4",0201,229,125,354,728,48.63%,14,50,19,83
"Justice, Supreme Court, Place 4",0202,488,332,820,1479,55.44%,35,98,57,190
"Justice, Supreme Court, Place 4",0203,266,156,422,900,46.89%,106,69,31,206
"Justice, Supreme Court, Place 4",0204,1496,914,2410,3462,69.61%,1457,310,242,2009
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0205,856,201,1057,1667,63.41%,47,128,60,235
"Justice, Supreme Court, Place 4",0206,652,659,1311,2662,49.25%,450,253,209,912
"Justice, Supreme Court, Place 4",0207,410,310,720,1144,62.94%,292,124,85,501
"Justice, Supreme Court, Place 4",0208,808,364,1172,2201,53.25%,368,132,65,565
"Justice, Supreme Court, Place 4",0209,0,4,4,0,0.00%,4,0,0,4
"Justice, Supreme Court, Place 4",0210,1018,542,1560,2300,67.83%,217,286,216,719
"Justice, Supreme Court, Place 4",0211,710,686,1396,2797,49.91%,580,180,129,889
"Justice, Supreme Court, Place 4",0212,219,314,533,1266,42.10%,135,77,38,250
"Justice, Supreme Court, Place 4",0213,1603,939,2542,3308,76.84%,2025,196,80,2301
"Justice, Supreme Court, Place 4",0214,800,544,1344,1795,74.87%,844,164,117,1125
"Justice, Supreme Court, Place 4",0215,845,786,1631,2168,75.23%,1032,173,152,1357
"Justice, Supreme Court, Place 4",0216,784,320,1104,1917,57.59%,123,185,102,410
"Justice, Supreme Court, Place 4",0217,1399,651,2050,2637,77.74%,1385,208,156,1749
"Justice, Supreme Court, Place 4",0218,690,608,1298,2274,57.08%,483,206,182,871
"Justice, Supreme Court, Place 4",0219,1119,587,1706,2654,64.28%,185,279,141,605
"Justice, Supreme Court, Place 4",0220,711,353,1064,2360,45.08%,751,81,45,877
"Justice, Supreme Court, Place 4",0221,700,611,1311,2489,52.67%,623,170,96,889
"Justice, Supreme Court, Place 4",0222,1001,792,1793,2384,75.21%,913,247,242,1402
"Justice, Supreme Court, Place 4",0223,1361,760,2121,3528,60.12%,705,486,326,1517
"Justice, Supreme Court, Place 4",0224,898,649,1547,2259,68.48%,778,198,224,1200
"Justice, Supreme Court, Place 4",0225,1113,720,1833,3155,58.10%,847,268,151,1266
"Justice, Supreme Court, Place 4",0226,529,545,1074,2393,44.88%,308,161,103,572
"Justice, Supreme Court, Place 4",0227,949,451,1400,1767,79.23%,1065,110,63,1238
"Justice, Supreme Court, Place 4",0228,584,165,749,1073,69.80%,64,142,100,306
"Justice, Supreme Court, Place 4",0229,152,207,359,811,44.27%,126,41,28,195
"Justice, Supreme Court, Place 4",0230,421,153,574,1096,52.37%,18,72,42,132
"Justice, Supreme Court, Place 4",0231,563,471,1034,2219,46.60%,314,185,94,593
"Justice, Supreme Court, Place 4",0232,686,546,1232,1696,72.64%,739,150,121,1010
"Justice, Supreme Court, Place 4",0233,1835,1063,2898,4132,70.14%,1523,466,360,2349
"Justice, Supreme Court, Place 4",0234,2093,885,2978,3854,77.27%,2328,166,95,2589
"Justice, Supreme Court, Place 4",0235,466,242,708,1305,54.25%,51,103,46,200
"Justice, Supreme Court, Place 4",0236,779,342,1121,2144,52.29%,67,134,57,258
"Justice, Supreme Court, Place 4",0237,793,441,1234,2181,56.58%,42,162,72,276
"Justice, Supreme Court, Place 4",0238,641,422,1063,1901,55.92%,36,155,77,268
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0239,765,357,1122,1997,56.18%,73,172,91,336
"Justice, Supreme Court, Place 4",0240,1158,402,1560,2688,58.04%,63,245,138,446
"Justice, Supreme Court, Place 4",0241,494,479,973,2296,42.38%,436,95,51,582
"Justice, Supreme Court, Place 4",0242,363,323,686,1570,43.69%,383,53,34,470
"Justice, Supreme Court, Place 4",0243,254,50,304,452,67.26%,14,40,36,90
"Justice, Supreme Court, Place 4",0244,1102,656,1758,2912,60.37%,971,242,121,1334
