Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0598,335,103,438,724,60.50%,337,21,18,376
"Justice, Supreme Court, Place 4",0599,1895,855,2761,4135,66.77%,1014,469,220,1703
"Justice, Supreme Court, Place 4",0600,1383,869,2252,3820,58.95%,846,353,173,1372
"Justice, Supreme Court, Place 4",0601,2028,858,2886,3990,72.33%,2173,220,143,2536
"Justice, Supreme Court, Place 4",0602,563,296,859,1237,69.44%,606,70,46,722
"Justice, Supreme Court, Place 4",0603,1438,1163,2601,3917,66.40%,1603,292,136,2031
"Justice, Supreme Court, Place 4",0604,1446,528,1974,2910,67.84%,1614,129,53,1796
"Justice, Supreme Court, Place 4",0605,2228,889,3117,5251,59.36%,927,459,253,1639
"Justice, Supreme Court, Place 4",0606,420,122,542,1053,51.47%,21,52,32,105
"Justice, Supreme Court, Place 4",0607,194,118,312,731,42.68%,23,32,26,81
"Justice, Supreme Court, Place 4",0608,245,290,535,1256,42.60%,257,60,32,349
"Justice, Supreme Court, Place 4",0609,1365,844,2209,3261,67.74%,1422,237,141,1800
"Justice, Supreme Court, Place 4",0610,403,398,801,1825,43.89%,401,104,56,561
"Justice, Supreme Court, Place 4",0611,1122,301,1423,2450,58.08%,61,136,83,280
"Justice, Supreme Court, Place 4",0612,1702,579,2281,3272,69.71%,1744,171,138,2053
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0613,495,309,804,1450,55.45%,150,132,46,328
"Justice, Supreme Court, Place 4",0614,1632,812,2444,3932,62.16%,908,319,161,1388
"Justice, Supreme Court, Place 4",0615,931,404,1335,1926,69.31%,799,147,70,1016
"Justice, Supreme Court, Place 4",0616,1353,970,2323,3378,68.77%,1626,211,150,1987
"Justice, Supreme Court, Place 4",0617,1322,849,2171,3546,61.22%,869,383,168,1420
"Justice, Supreme Court, Place 4",0618,1924,1021,2945,5344,55.11%,1384,383,169,1936
"Justice, Supreme Court, Place 4",0619,2134,857,2991,4266,70.11%,2245,244,135,2624
"Justice, Supreme Court, Place 4",0620,2387,856,3243,5271,61.53%,1669,431,245,2345
"Justice, Supreme Court, Place 4",0621,398,203,601,1173,51.24%,325,95,49,469
"Justice, Supreme Court, Place 4",0622,1724,829,2553,4305,59.30%,1549,294,165,2008
"Justice, Supreme Court, Place 4",0623,1709,626,2335,3481,67.08%,1518,230,129,1877
"Justice, Supreme Court, Place 4",0624,9,0,9,16,56.25%,5,1,0,6
"Justice, Supreme Court, Place 4",0625,865,454,1319,1796,73.44%,772,179,121,1072
"Justice, Supreme Court, Place 4",0626,1150,655,1805,2838,63.60%,939,261,158,1358
"Justice, Supreme Court, Place 4",0627,795,647,1442,2964,48.65%,483,208,115,806
"Justice, Supreme Court, Place 4",0628,292,456,748,1600,46.75%,353,105,56,514
"Justice, Supreme Court, Place 4",0629,177,127,304,629,48.33%,38,66,21,125
"Justice, Supreme Court, Place 4",0630,2023,535,2558,3190,80.19%,348,616,333,1297
"Justice, Supreme Court, Place 4",0631,1490,392,1882,2733,68.86%,1359,150,92,1601
"Justice, Supreme Court, Place 4",0632,12,9,21,231,9.09%,6,5,3,14
"Justice, Supreme Court, Place 4",0633,1783,678,2461,3257,75.56%,1839,196,114,2149
"Justice, Supreme Court, Place 4",0634,1022,734,1756,2922,60.10%,1114,203,101,1418
"Justice, Supreme Court, Place 4",0635,1328,706,2034,3280,62.01%,1549,168,104,1821
"Justice, Supreme Court, Place 4",0636,1793,974,2767,3881,71.30%,2353,146,66,2565
"Justice, Supreme Court, Place 4",0637,740,509,1249,2471,50.55%,375,188,124,687
"Justice, Supreme Court, Place 4",0638,741,684,1425,2078,68.58%,154,245,150,549
"Justice, Supreme Court, Place 4",0639,833,711,1544,2501,61.74%,1217,81,52,1350
"Justice, Supreme Court, Place 4",0640,1385,723,2108,3548,59.41%,1241,281,125,1647
"Justice, Supreme Court, Place 4",0641,1265,878,2143,3375,63.50%,1340,229,108,1677
"Justice, Supreme Court, Place 4",0642,873,447,1320,1779,74.20%,1095,56,46,1197
"Justice, Supreme Court, Place 4",0643,2160,994,3154,5310,59.40%,1341,513,283,2137
"Justice, Supreme Court, Place 4",0644,2125,1204,3329,5261,63.28%,2149,369,202,2720
"Justice, Supreme Court, Place 4",0645,1648,895,2543,4035,63.02%,1255,414,231,1900
"Justice, Supreme Court, Place 4",0646,708,456,1164,2163,53.81%,401,177,93,671
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0647,1771,1020,2791,5593,49.90%,794,413,197,1404
"Justice, Supreme Court, Place 4",0648,1591,668,2259,3197,70.66%,1613,210,102,1925
"Justice, Supreme Court, Place 4",0649,1390,854,2244,4426,50.70%,713,364,201,1278
"Justice, Supreme Court, Place 4",0650,1329,939,2268,3151,71.98%,1704,200,83,1987
"Justice, Supreme Court, Place 4",0651,2087,1070,3157,4931,64.02%,2051,353,160,2564
"Justice, Supreme Court, Place 4",0652,1054,653,1707,2633,64.83%,365,303,175,843
"Justice, Supreme Court, Place 4",0653,0,8,8,0,0.00%,3,1,2,6
"Justice, Supreme Court, Place 4",0654,2106,1344,3450,5765,59.84%,1913,409,213,2535
"Justice, Supreme Court, Place 4",0655,2614,1451,4065,6304,64.48%,2560,440,230,3230
"Justice, Supreme Court, Place 4",0656,1199,421,1620,2622,61.78%,86,175,95,356
"Justice, Supreme Court, Place 4",0657,491,268,759,1200,63.25%,336,105,39,480
"Justice, Supreme Court, Place 4",0658,986,708,1694,2824,59.99%,1068,200,93,1361
"Justice, Supreme Court, Place 4",0659,2143,1091,3234,4588,70.49%,2334,296,135,2765
"Justice, Supreme Court, Place 4",0660,2461,932,3393,5048,67.21%,437,599,274,1310
"Justice, Supreme Court, Place 4",0661,1515,1012,2628,4179,62.89%,1491,348,173,2012
"Justice, Supreme Court, Place 4",0662,2477,999,3476,4807,72.31%,2813,160,97,3070
"Justice, Supreme Court, Place 4",0663,1304,913,2217,3232,68.60%,1241,274,242,1757
"Justice, Supreme Court, Place 4",0664,681,607,1288,2801,45.98%,351,128,88,567
"Justice, Supreme Court, Place 4",0665,951,394,1345,2007,67.02%,1102,58,34,1194
"Justice, Supreme Court, Place 4",0666,0,1,1,0,0.00%,0,1,0,1
"Justice, Supreme Court, Place 4",0667,990,547,1537,2181,70.47%,1195,108,58,1361
"Justice, Supreme Court, Place 4",0668,928,655,1583,2458,64.40%,1010,184,83,1277
"Justice, Supreme Court, Place 4",0669,1609,823,2432,3243,74.99%,1755,217,135,2107
"Justice, Supreme Court, Place 4",0670,1567,518,2085,2952,70.63%,1639,136,102,1877
"Justice, Supreme Court, Place 4",0671,1091,773,1864,2942,63.36%,1119,228,117,1464
"Justice, Supreme Court, Place 4",0672,2303,1078,3381,4710,71.78%,2260,311,135,2706
"Justice, Supreme Court, Place 4",0673,1377,543,2020,2988,67.60%,1580,104,59,1743
"Justice, Supreme Court, Place 4",0674,2092,813,2905,4055,71.64%,2200,207,120,2527
"Justice, Supreme Court, Place 4",0675,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0676,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0677,220,239,459,954,48.11%,161,68,33,262
"Justice, Supreme Court, Place 4",0678,297,164,461,756,60.98%,308,52,24,384
"Justice, Supreme Court, Place 4",0679,1469,661,2130,3331,63.94%,1596,150,53,1799
"Justice, Supreme Court, Place 4",0680,57,22,79,181,43.65%,38,17,10,65
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0681,1,0,1,5,20.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0682,1674,912,2586,4134,62.55%,1870,187,93,2150
"Justice, Supreme Court, Place 4",0683,48,50,98,261,37.55%,29,13,11,53
"Justice, Supreme Court, Place 4",0684,73,24,97,187,51.87%,62,14,5,81
"Justice, Supreme Court, Place 4",0685,167,29,196,326,60.12%,94,12,17,123
"Justice, Supreme Court, Place 4",0686,46,34,80,196,40.82%,16,18,5,39
"Justice, Supreme Court, Place 4",0687,1088,641,1729,2497,69.24%,1201,156,91,1448
"Justice, Supreme Court, Place 4",0688,1818,673,2491,3266,76.27%,2009,139,98,2246
"Justice, Supreme Court, Place 4",0689,506,651,1157,2276,50.83%,569,162,78,809
"Justice, Supreme Court, Place 4",0690,1959,1115,3085,4184,73.73%,2421,205,101,2727
"Justice, Supreme Court, Place 4",0691,10,2,12,34,35.29%,4,2,1,7
"Justice, Supreme Court, Place 4",0692,1001,717,1718,2626,65.42%,1266,140,78,1484
"Justice, Supreme Court, Place 4",0693,303,116,419,651,64.36%,116,68,58,242
"Justice, Supreme Court, Place 4",0694,420,137,557,817,68.18%,383,56,36,475
"Justice, Supreme Court, Place 4",0695,455,320,775,1646,47.08%,507,65,44,616
"Justice, Supreme Court, Place 4",0696,600,373,973,2098,46.38%,610,89,48,747
"Justice, Supreme Court, Place 4",0697,1517,941,2458,4307,57.07%,655,346,167,1168
"Justice, Supreme Court, Place 4",0698,1137,659,1796,2948,60.92%,237,233,120,590
"Justice, Supreme Court, Place 4",0699,1032,566,1598,2288,69.84%,1068,135,93,1296
"Justice, Supreme Court, Place 4",0700,531,287,818,1313,62.30%,672,53,18,743
"Justice, Supreme Court, Place 4",0701,142,115,257,554,46.39%,144,31,22,197
"Justice, Supreme Court, Place 4",0702,150,123,273,549,49.73%,47,41,16,104
"Justice, Supreme Court, Place 4",0703,743,616,1359,1845,73.66%,988,118,58,1164
"Justice, Supreme Court, Place 4",0704,1336,701,2037,2882,70.68%,1645,111,38,1794
"Justice, Supreme Court, Place 4",0705,358,238,596,1520,39.21%,76,54,44,174
"Justice, Supreme Court, Place 4",0706,222,135,357,529,67.49%,165,65,32,262
"Justice, Supreme Court, Place 4",0707,284,135,420,707,59.41%,254,55,42,351
"Justice, Supreme Court, Place 4",0708,109,95,204,568,35.92%,107,30,7,144
"Justice, Supreme Court, Place 4",0709,2997,1297,4294,6239,68.83%,2688,540,243,3471
"Justice, Supreme Court, Place 4",0710,881,602,1483,2023,73.31%,890,213,154,1257
"Justice, Supreme Court, Place 4",0711,1493,701,2194,3351,65.47%,1366,265,142,1773
"Justice, Supreme Court, Place 4",0712,1205,858,2063,3348,61.62%,942,346,151,1439
"Justice, Supreme Court, Place 4",0713,666,436,1102,1827,60.32%,607,140,58,805
"Justice, Supreme Court, Place 4",0714,77,3,80,304,26.32%,54,6,2,62
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0715,405,326,731,1380,52.97%,377,105,56,538
"Justice, Supreme Court, Place 4",0716,977,522,1599,2670,59.89%,1129,106,72,1307
"Justice, Supreme Court, Place 4",0717,826,362,1188,1927,61.65%,196,155,94,445
"Justice, Supreme Court, Place 4",0718,1844,1019,2863,4050,70.69%,1958,247,138,2343
"Justice, Supreme Court, Place 4",0719,508,260,768,1617,47.50%,449,80,30,559
"Justice, Supreme Court, Place 4",0720,1575,1044,2619,3903,67.10%,1912,233,80,2225
"Justice, Supreme Court, Place 4",0721,1335,637,1972,2842,69.39%,1336,192,137,1665
"Justice, Supreme Court, Place 4",0722,1895,542,2537,4357,58.23%,234,491,277,1002
"Justice, Supreme Court, Place 4",0723,749,329,1078,1760,61.25%,266,140,80,486
"Justice, Supreme Court, Place 4",0724,325,170,495,716,69.13%,348,37,25,410
"Justice, Supreme Court, Place 4",0725,953,329,1282,2124,60.36%,554,119,85,758
"Justice, Supreme Court, Place 4",0726,1141,304,1445,1987,72.72%,1243,55,35,1333
"Justice, Supreme Court, Place 4",0727,935,466,1401,2488,56.31%,397,292,161,850
"Justice, Supreme Court, Place 4",0728,343,208,551,881,62.54%,318,70,63,451
"Justice, Supreme Court, Place 4",0729,208,93,301,446,67.49%,182,26,19,227
"Justice, Supreme Court, Place 4",0730,808,437,1245,1630,76.38%,869,119,58,1046
"Justice, Supreme Court, Place 4",0731,122,36,158,373,42.36%,43,27,16,86
"Justice, Supreme Court, Place 4",0732,701,543,1244,1895,65.65%,765,146,102,1013
"Justice, Supreme Court, Place 4",0733,25,62,87,172,50.58%,35,6,5,46
"Justice, Supreme Court, Place 4",0734,3213,1114,4327,5952,72.70%,2976,406,192,3574
"Justice, Supreme Court, Place 4",0735,9,0,9,23,39.13%,7,1,0,8
"Justice, Supreme Court, Place 4",0736,6,1,7,21,33.33%,0,1,0,1
"Justice, Supreme Court, Place 4",0737,25,5,30,53,56.60%,25,2,0,27
"Justice, Supreme Court, Place 4",0738,470,219,689,1294,53.25%,101,90,50,241
"Justice, Supreme Court, Place 4",0739,1006,490,1496,2872,52.09%,687,166,92,945
"Justice, Supreme Court, Place 4",0740,233,205,438,935,46.84%,229,42,22,293
"Justice, Supreme Court, Place 4",0741,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0742,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0743,27,4,31,199,15.58%,15,4,2,21
"Justice, Supreme Court, Place 4",0744,848,509,1357,2024,67.05%,888,141,84,1113
"Justice, Supreme Court, Place 4",0745,1068,542,1610,2396,67.20%,1028,157,127,1312
"Justice, Supreme Court, Place 4",0746,230,151,381,707,53.89%,193,40,35,268
"Justice, Supreme Court, Place 4",0747,1200,873,2073,3490,59.40%,1032,261,156,1449
"Justice, Supreme Court, Place 4",0748,421,307,728,1319,55.19%,338,125,75,538
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0749,99,57,156,359,43.45%,31,18,17,66
"Justice, Supreme Court, Place 4",0750,264,147,411,720,57.08%,231,61,28,320
"Justice, Supreme Court, Place 4",0751,1668,1254,2922,4451,65.65%,1960,289,150,2399
"Justice, Supreme Court, Place 4",0752,572,277,849,1511,56.19%,617,61,36,714
"Justice, Supreme Court, Place 4",0753,106,61,167,260,64.23%,110,15,9,134
"Justice, Supreme Court, Place 4",0754,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0755,1050,896,1946,3569,54.53%,849,305,154,1308
"Justice, Supreme Court, Place 4",0756,582,300,882,1539,57.31%,318,109,53,480
"Justice, Supreme Court, Place 4",0757,1417,690,2107,3498,60.23%,429,365,161,955
"Justice, Supreme Court, Place 4",0758,1996,783,2779,3781,73.50%,2209,187,107,2503
"Justice, Supreme Court, Place 4",0759,1112,590,1702,2625,64.84%,1076,200,100,1376
"Justice, Supreme Court, Place 4",0760,2347,647,2994,4154,72.08%,2494,181,98,2773
"Justice, Supreme Court, Place 4",0761,917,219,1136,1464,77.60%,832,93,66,991
"Justice, Supreme Court, Place 4",0762,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0763,255,308,564,1184,47.64%,222,77,43,342
"Justice, Supreme Court, Place 4",0764,2274,1050,3324,4931,67.41%,2134,326,193,2653
"Justice, Supreme Court, Place 4",0765,1393,815,2208,3967,55.66%,843,376,240,1459
"Justice, Supreme Court, Place 4",0766,72,92,164,383,42.82%,49,24,17,90
"Justice, Supreme Court, Place 4",0767,20,15,35,90,38.89%,23,1,3,27
"Justice, Supreme Court, Place 4",0768,2855,1159,4014,5364,74.83%,3163,266,152,3581
"Justice, Supreme Court, Place 4",0769,117,5,122,161,75.78%,6,11,6,23
"Justice, Supreme Court, Place 4",0770,58,48,106,262,40.46%,45,17,7,69
"Justice, Supreme Court, Place 4",0771,703,537,1240,2378,52.14%,660,161,100,921
"Justice, Supreme Court, Place 4",0772,2932,1002,3934,5617,70.04%,2989,309,177,3475
"Justice, Supreme Court, Place 4",0773,892,550,1442,2648,54.46%,416,228,117,761
"Justice, Supreme Court, Place 4",0774,117,74,191,301,63.46%,45,39,17,101
"Justice, Supreme Court, Place 4",0775,33,1,34,83,40.96%,2,0,0,2
"Justice, Supreme Court, Place 4",0776,1115,741,1856,2855,65.01%,1131,214,104,1449
"Justice, Supreme Court, Place 4",0777,83,123,206,642,32.09%,67,25,18,110
"Justice, Supreme Court, Place 4",0778,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0779,295,221,516,1146,45.03%,195,66,42,303
"Justice, Supreme Court, Place 4",0780,136,114,250,579,43.18%,125,25,14,164
"Justice, Supreme Court, Place 4",0781,1152,655,1807,3716,48.63%,769,225,131,1125
"Justice, Supreme Court, Place 4",0782,851,532,1383,2188,63.21%,866,145,96,1107
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0783,103,43,146,265,55.09%,81,14,10,105
"Justice, Supreme Court, Place 4",0784,430,156,586,1071,54.72%,22,61,27,110
"Justice, Supreme Court, Place 4",0785,66,55,121,310,39.03%,72,13,4,89
"Justice, Supreme Court, Place 4",0786,193,277,470,1297,36.24%,171,50,37,258
"Justice, Supreme Court, Place 4",0787,154,76,230,487,47.23%,93,24,15,132
"Justice, Supreme Court, Place 4",0788,156,58,214,481,44.49%,77,42,25,144
"Justice, Supreme Court, Place 4",0789,3,1,4,4,100.00%,0,1,2,3
"Justice, Supreme Court, Place 4",0790,1,0,1,4,25.00%,0,0,1,1
"Justice, Supreme Court, Place 4",0791,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0792,549,409,958,1834,52.24%,269,106,60,435
"Justice, Supreme Court, Place 4",0793,890,338,1228,2437,50.39%,727,123,60,910
"Justice, Supreme Court, Place 4",0794,575,484,1059,2602,40.70%,112,184,81,377
"Justice, Supreme Court, Place 4",0795,265,255,520,1207,43.08%,197,69,42,308
"Justice, Supreme Court, Place 4",0796,145,92,237,485,48.87%,135,26,11,172
"Justice, Supreme Court, Place 4",0797,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0798,176,263,439,496,88.51%,148,70,57,275
"Justice, Supreme Court, Place 4",0799,65,12,77,146,52.74%,17,13,10,40
"Justice, Supreme Court, Place 4",0800,1188,795,1983,2817,70.39%,1349,204,143,1696
"Justice, Supreme Court, Place 4",0801,68,55,123,253,48.62%,45,25,13,83
"Justice, Supreme Court, Place 4",0802,98,58,156,299,52.17%,39,33,48,120
"Justice, Supreme Court, Place 4",0803,1305,530,1935,2718,71.19%,1451,141,80,1672
"Justice, Supreme Court, Place 4",0804,1810,960,2770,4348,63.71%,1740,303,162,2205
"Justice, Supreme Court, Place 4",0805,1509,529,2038,2812,72.48%,1613,140,76,1829
"Justice, Supreme Court, Place 4",0806,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0807,653,402,1055,2001,52.72%,213,270,128,611
"Justice, Supreme Court, Place 4",0808,42,26,68,84,80.95%,27,15,10,52
"Justice, Supreme Court, Place 4",0809,21,e,27,86,31.40%,10,2,1,13
"Justice, Supreme Court, Place 4",0810,30,48,78,215,36.28%,22,9,5,36
"Justice, Supreme Court, Place 4",0811,39,106,145,271,53.51%,37,29,15,81
"Justice, Supreme Court, Place 4",0812,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0813,1969,1258,3227,5423,59.51%,1653,414,173,2240
"Justice, Supreme Court, Place 4",0814,1774,955,2729,4503,60.60%,732,498,251,1481
"Justice, Supreme Court, Place 4",0815,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0816,20,13,33,76,43.42%,7,8,6,21
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0817,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0818,134,101,235,527,44.59%,60,33,22,115
"Justice, Supreme Court, Place 4",0819,97,45,142,238,59.68%,89,11,16,118
"Justice, Supreme Court, Place 4",0820,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0821,354,203,557,1206,46.19%,68,81,47,196
"Justice, Supreme Court, Place 4",0822,584,282,868,1544,58.09%,47,121,45,213
"Justice, Supreme Court, Place 4",0823,1854,1015,2869,4710,80.91%,1579,400,189,2168
"Justice, Supreme Court, Place 4",0824,985,471,1456,2729,53.35%,377,193,130,700
"Justice, Supreme Court, Place 4",0825,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0826,153,89,242,342,70.78%,142,33,25,200
"Justice, Supreme Court, Place 4",0827,169,186,355,997,35.61%,143,48,19,210
"Justice, Supreme Court, Place 4",0828,1074,343,1417,1875,75.57%,1148,93,43,1282
"Justice, Supreme Court, Place 4",0829,107,58,183,268,61.28%,33,31,20,84
"Justice, Supreme Court, Place 4",0830,0,0,0,1,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0831,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0832,109,46,155,351,44.16%,49,16,12,77
"Justice, Supreme Court, Place 4",0833,8,1,9,20,45.00%,0,1,0,1
"Justice, Supreme Court, Place 4",0834,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0835,87,53,140,292,47.95%,54,20,12,88
"Justice, Supreme Court, Place 4",0836,8,3,11,19,57.89%,3,0,3,8
"Justice, Supreme Court, Place 4",0837,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0838,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0839,355,240,595,1122,53.03%,139,123,90,352
"Justice, Supreme Court, Place 4",0840,712,251,963,1821,59.41%,350,120,59,529
"Justice, Supreme Court, Place 4",0841,0,2,2,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0842,989,715,1704,3091,55.13%,835,257,125,1217
"Justice, Supreme Court, Place 4",0843,0,2,2,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0844,2,4,8,13,46.15%,1,1,0,2
"Justice, Supreme Court, Place 4",0845,86,10,98,100,98.00%,81,8,2,71
"Justice, Supreme Court, Place 4",0846,70,29,99,210,47.14%,7,16,12,35
"Justice, Supreme Court, Place 4",0847,797,321,1118,1804,81.97%,332,181,77,590
"Justice, Supreme Court, Place 4",0848,782,431,1213,1873,84.78%,423,176,115,714
"Justice, Supreme Court, Place 4",0849,553,514,1067,2073,51.47%,408,147,104,659
"Justice, Supreme Court, Place 4",0850,87,38,125,205,80.98%,59,11,10,80
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0851,2194,818,3010,4317,89.72%,1980,278,180,2418
"Justice, Supreme Court, Place 4",0852,0,4,4,2,200.00%,0,0,1,1
"Justice, Supreme Court, Place 4",0853,1414,805,2019,2773,72.81%,1585,148,81,1792
"Justice, Supreme Court, Place 4",0854,41,30,71,175,40.57%,8,10,3,19
"Justice, Supreme Court, Place 4",0855,4,13,17,18,94.44%,9,0,1,10
"Justice, Supreme Court, Place 4",0858,0,4,4,0,0.00%,1,1,1,3
"Justice, Supreme Court, Place 4",0857,0,0,0,1,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0858,132,18,150,372,40.32%,8,20,7,33
"Justice, Supreme Court, Place 4",0859,309,201,510,880,59.30%,118,74,38,230
"Justice, Supreme Court, Place 4",0880,0,1,1,0,0.00%,1,0,0,1
"Justice, Supreme Court, Place 4",0881,705,319,1024,1788,57.33%,220,138,70,428
"Justice, Supreme Court, Place 4",0882,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0883,210,89,279,820,45.00%,18,37,24,77
"Justice, Supreme Court, Place 4",0884,497,809,1108,2484,44.89%,335,118,81,514
"Justice, Supreme Court, Place 4",0885,9,2,11,23,47.83%,0,2,1,3
"Justice, Supreme Court, Place 4",0888,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0887,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0888,573,588,1159,2292,50.57%,380,130,80,590
"Justice, Supreme Court, Place 4",0889,153,78,229,473,48.41%,42,38,20,98
"Justice, Supreme Court, Place 4",0870,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0871,3,0,3,4,75.00%,0,2,1,3
"Justice, Supreme Court, Place 4",0872,13,5,18,88,27.27%,10,1,1,12
"Justice, Supreme Court, Place 4",0873,253,125,378,701,53.92%,112,58,30,200
"Justice, Supreme Court, Place 4",0874,1535,748,2283,3107,73.48%,1782,185,97,2024
"Justice, Supreme Court, Place 4",0875,1721,927,2848,4031,85.89%,1351,407,203,1981
"Justice, Supreme Court, Place 4",0878,1830,839,2289,3013,75.31%,1883,192,72,1947
"Justice, Supreme Court, Place 4",0877,1032,542,1874,2480,87.50%,781,293,143,1197
"Justice, Supreme Court, Place 4",0878,853,350,1203,1841,73.31%,1007,88,37,1112
"Justice, Supreme Court, Place 4",0879,890,527,1417,2334,80.71%,714,214,105,1033
"Justice, Supreme Court, Place 4",0880,1070,472,1542,2007,78.83%,1208,112,47,1385
"Justice, Supreme Court, Place 4",0881,1511,877,2388,3819,85.99%,889,452,197,1518
"Justice, Supreme Court, Place 4",0882,941,457,1398,2328,80.05%,810,182,99,1091
"Justice, Supreme Court, Place 4",0883,1920,1042,2982,4851,83.89%,873,480,231,1384
"Justice, Supreme Court, Place 4",0884,119,37,158,330,47.27%,25,15,8,48
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0885,1222,541,1763,2466,71.49%,1099,182,85,1366
"Justice, Supreme Court, Place 4",0886,301,154,455,713,63.81%,242,81,41,364
"Justice, Supreme Court, Place 4",0887,142,83,225,313,71.88%,125,47,10,182
"Justice, Supreme Court, Place 4",0888,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0889,22,0,22,61,36.07%,14,2,2,18
"Justice, Supreme Court, Place 4",0890,325,118,443,994,44.57%,169,84,58,311
"Justice, Supreme Court, Place 4",0891,540,392,932,1413,65.96%,414,136,130,680
"Justice, Supreme Court, Place 4",0892,195,130,325,696,46.70%,100,56,38,194
"Justice, Supreme Court, Place 4",0893,1,0,1,5,20.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0894,0,31,31,0,0.00%,5,10,7,22
"Justice, Supreme Court, Place 4",0895,337,325,662,784,84.44%,313,96,114,523
"Justice, Supreme Court, Place 4",0896,670,303,973,1437,67.71%,405,158,193,756
"Justice, Supreme Court, Place 4",0897,742,375,1117,1624,68.78%,636,121,62,819
"Justice, Supreme Court, Place 4",0898,0,0,0,2,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0899,4,0,4,8,50.00%,1,0,0,1
"Justice, Supreme Court, Place 4",0900,5,0,5,12,41.67%,2,1,0,3
"Justice, Supreme Court, Place 4",0901,0,0,0,0,0.00%,0,0,0,0
