Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Rodney Ellis,Totals
"State Senator, District 13",0606,420,122,542,1053,51.47%,527,527
"State Senator, District 13",0607,194,118,312,731,42.68%,286,286
"State Senator, District 13",0611,1121,301,1422,2450,58.04%,1366,1366
"State Senator, District 13",0620,2383,856,3239,5271,61.45%,1760,1760
"State Senator, District 13",0627,795,647,1442,2964,48.65%,1048,1048
"State Senator, District 13",0630,2019,535,2554,3190,80.06%,2336,2336
"State Senator, District 13",0632,12,9,21,231,9.09%,16,16
"State Senator, District 13",0638,740,684,1424,2078,68.53%,1300,1300
"State Senator, District 13",0652,1050,653,1703,2633,64.68%,1445,1445
"State Senator, District 13",0653,0,8,8,0,0.00%,6,6
"State Senator, District 13",0656,1198,421,1619,2622,61.75%,1531,1531
"State Senator, District 13",0675,0,0,0,0,0.00%,0,0
"State Senator, District 13",0686,46,34,80,196,40.82%,60,60
"State Senator, District 13",0693,303,116,419,651,64.36%,312,312
"State Senator, District 13",0722,1893,642,2535,4357,58.18%,2345,2345
"State Senator, District 13",0731,122,36,158,373,42.36%,130,130
"State Senator, District 13",0781,1152,655,1807,3716,48.63%,1105,1105
"State Senator, District 13",0784,428,156,584,1071,54.53%,561,561
"State Senator, District 13",0788,156,58,214,481,44.49%,153,153
"State Senator, District 13",0807,652,402,1054,2001,52.67%,889,889
"State Senator, District 13",0815,0,0,0,0,0.00%,0,0
"State Senator, District 13",0820,0,0,0,0,0.00%,0,0
"State Senator, District 13",0822,584,282,866,1544,56.09%,823,823
"State Senator, District 13",0825,0,0,0,0,0.00%,0,0
"State Senator, District 13",0829,107,56,163,266,61.28%,131,131
"State Senator, District 13",0830,0,0,0,1,0.00%,0,0
"State Senator, District 13",0831,0,0,0,0,0.00%,0,0
"State Senator, District 13",0835,87,53,140,292,47.95%,101,101
"State Senator, District 13",0837,0,0,0,0,0.00%,0,0
"State Senator, District 13",0843,0,2,2,0,0.00%,2,2
"State Senator, District 13",0854,41,30,71,175,40.57%,68,68
"State Senator, District 13",0856,0,4,4,0,0.00%,2,2
"State Senator, District 13",0858,132,18,150,372,40.32%,142,142
"State Senator, District 13",0863,210,69,279,620,45.00%,267,267
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Rodney Ellis,Totals
