Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0646,708,456,1164,2163,53.81%,332,769,1101
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0647,1770,1020,2790,5593,49.88%,670,1896,2566
"District Judge, 129th Judicial District",0648,1590,668,2258,3197,70.63%,1549,604,2153
"District Judge, 129th Judicial District",0649,1389,854,2243,4426,50.68%,603,1519,2122
"District Judge, 129th Judicial District",0650,1328,939,2267,3151,71.95%,1639,514,2153
"District Judge, 129th Judicial District",0651,2085,1070,3155,4931,63.98%,1913,1077,2990
"District Judge, 129th Judicial District",0652,1049,653,1702,2633,64.64%,266,1374,1640
"District Judge, 129th Judicial District",0653,0,8,8,0,0.00%,2,6,8
"District Judge, 129th Judicial District",0654,2103,1344,3447,5765,59.79%,1655,1602,3257
"District Judge, 129th Judicial District",0655,2612,1451,4063,6304,64.45%,2483,1351,3834
"District Judge, 129th Judicial District",0656,1198,421,1619,2622,61.75%,47,1521,1568
"District Judge, 129th Judicial District",0657,490,268,758,1200,63.17%,282,434,716
"District Judge, 129th Judicial District",0658,985,708,1693,2824,59.95%,1008,611,1619
"District Judge, 129th Judicial District",0659,2141,1091,3232,4588,70.44%,2244,853,3097
"District Judge, 129th Judicial District",0660,2460,932,3392,5048,67.19%,307,2965,3272
"District Judge, 129th Judicial District",0661,1614,1012,2626,4179,62.84%,1360,1112,2472
"District Judge, 129th Judicial District",0662,2477,999,3476,4807,72.31%,2730,595,3325
"District Judge, 129th Judicial District",0663,1302,913,2215,3232,68.53%,1163,884,2047
"District Judge, 129th Judicial District",0664,681,607,1288,2801,45.98%,253,975,1228
"District Judge, 129th Judicial District",0665,951,394,1345,2007,67.02%,1074,200,1274
"District Judge, 129th Judicial District",0666,0,1,1,0,0.00%,0,1,1
"District Judge, 129th Judicial District",0657,989,547,1536,2181,70.43%,1146,299,1445
"District Judge, 129th Judicial District",0668,927,655,1582,2458,64.36%,962,543,1505
"District Judge, 129th Judicial District",0669,1606,823,2429,3243,74.90%,1681,613,2294
"District Judge, 129th Judicial District",0670,1566,518,2084,2952,70.60%,1608,346,1954
"District Judge, 129th Judicial District",0671,1090,773,1863,2942,63.32%,1046,702,1748
"District Judge, 129th Judicial District",0672,2301,1078,3379,4710,71.74%,2178,1058,3236
"District Judge, 129th Judicial District",0673,1376,643,2019,2988,67.57%,1555,350,1905
"District Judge, 129th Judicial District",0674,2092,813,2905,4055,71.64%,2125,664,2789
"District Judge, 129th Judicial District",0675,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0676,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0677,220,239,459,954,48.11%,117,321,438
"District Judge, 129th Judicial District",0678,297,164,461,756,60.98%,301,123,424
"District Judge, 129th Judicial District",0679,1466,661,2127,3331,63.85%,1522,480,2002
"District Judge, 129th Judicial District",0680,56,22,78,181,43.09%,34,37,71
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0681,1,0,1,5,20.00%,0,1,1
"District Judge, 129th Judicial District",0682,1673,912,2585,4134,62.53%,1804,652,2456
"District Judge, 129th Judicial District",0683,48,50,98,261,37.55%,20,72,92
"District Judge, 129th Judicial District",0684,72,24,96,187,51.34%,57,31,88
"District Judge, 129th Judicial District",0685,167,29,196,326,60.12%,84,98,182
"District Judge, 129th Judicial District",0686,46,34,80,196,40.82%,16,59,75
"District Judge, 129th Judicial District",0687,1084,641,1725,2497,69.08%,1135,470,1605
"District Judge, 129th Judicial District",0688,1815,673,2488,3266,76.18%,1969,394,2363
"District Judge, 129th Judicial District",0689,505,651,1156,2276,50.79%,518,544,1062
"District Judge, 129th Judicial District",0690,1965,1116,3081,4184,73.64%,2365,581,2946
"District Judge, 129th Judicial District",0691,10,2,12,34,35.29%,5,7,12
"District Judge, 129th Judicial District",0692,999,717,1716,2626,65.35%,1247,381,1628
"District Judge, 129th Judicial District",0693,303,116,419,651,64.36%,102,281,383
"District Judge, 129th Judicial District",0694,420,137,557,817,68.18%,367,158,525
"District Judge, 129th Judicial District",0695,454,320,774,1646,47.02%,466,267,733
"District Judge, 129th Judicial District",0696,600,373,973,2098,46.38%,587,340,927
"District Judge, 129th Judicial District",0697,1516,941,2457,4307,57.05%,528,1837,2365
"District Judge, 129th Judicial District",0698,1137,659,1796,2948,60.92%,157,1571,1728
"District Judge, 129th Judicial District",0699,1031,566,1597,2288,69.80%,1006,450,1456
"District Judge, 129th Judicial District",0700,531,287,818,1313,62.30%,645,134,779
"District Judge, 129th Judicial District",0701,142,115,257,554,46.39%,127,116,243
"District Judge, 129th Judicial District",0702,150,123,273,549,49.73%,23,236,259
"District Judge, 129th Judicial District",0703,742,616,1358,1845,73.60%,961,295,1256
"District Judge, 129th Judicial District",0704,1334,701,2035,2882,70.61%,1603,327,1930
"District Judge, 129th Judicial District",0705,358,238,596,1520,39.21%,58,516,574
"District Judge, 129th Judicial District",0706,222,135,357,529,67.49%,172,175,347
"District Judge, 129th Judicial District",0707,284,136,420,707,59.41%,241,154,395
"District Judge, 129th Judicial District",0708,109,95,204,568,35.92%,94,98,192
"District Judge, 129th Judicial District",0709,2996,1297,4293,6239,68.81%,2500,1607,4107
"District Judge, 129th Judicial District",0710,877,602,1479,2023,73.11%,845,510,1355
"District Judge, 129th Judicial District",0711,1492,701,2193,3351,65.44%,1290,759,2049
"District Judge, 129th Judicial District",0712,1200,858,2058,3348,61.47%,801,1192,1993
"District Judge, 129th Judicial District",0713,665,436,1101,1827,60.26%,563,483,1046
"District Judge, 129th Judicial District",0714,77,3,80,304,26.32%,51,24,75
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0715,405,326,731,1380,52.97%,339,351,690
"District Judge, 129th Judicial District",0716,977,622,1599,2670,59.89%,1102,428,1530
"District Judge, 129th Judicial District",0717,826,362,1188,1927,61.65%,143,999,1142
"District Judge, 129th Judicial District",0718,1844,1019,2863,4050,70.69%,1892,752,2644
"District Judge, 129th Judicial District",0719,508,260,768,1617,47.50%,398,318,716
"District Judge, 129th Judicial District",0720,1575,1044,2619,3903,67.10%,1860,651,2511
"District Judge, 129th Judicial District",0721,1334,637,1971,2842,69.35%,1301,529,1830
"District Judge, 129th Judicial District",0722,1892,642,2534,4357,58.16%,151,2284,2435
"District Judge, 129th Judicial District",0723,747,329,1076,1760,61.14%,218,810,1028
"District Judge, 129th Judicial District",0724,325,170,495,716,69.13%,331,137,468
"District Judge, 129th Judicial District",0725,953,329,1282,2124,60.36%,505,707,1212
"District Judge, 129th Judicial District",0726,1141,304,1445,1987,72.72%,1242,140,1382
"District Judge, 129th Judicial District",0727,931,466,1397,2488,56.15%,337,997,1334
"District Judge, 129th Judicial District",0728,343,208,551,881,62.54%,303,211,514
"District Judge, 129th Judicial District",0729,208,93,301,446,67.49%,171,115,286
"District Judge, 129th Judicial District",0730,800,437,1237,1630,75.89%,818,317,1135
"District Judge, 129th Judicial District",0731,121,36,157,373,42.09%,29,116,145
"District Judge, 129th Judicial District",0732,701,543,1244,1895,65.65%,731,429,1160
"District Judge, 129th Judicial District",0733,25,62,87,172,50.58%,28,52,80
"District Judge, 129th Judicial District",0734,3209,1114,4323,5952,72.63%,2863,1303,4166
"District Judge, 129th Judicial District",0735,9,0,9,23,39.1,3%,9,0,9
"District Judge, 129th Judicial District",0736,6,1,7,21,33.33%,0,6,6
"District Judge, 129th Judicial District",0737,25,5,30,53,56.60%,25,5,30
"District Judge, 129th Judicial District",0738,470,219,689,1294,53.25%,78,590,668
"District Judge, 129th Judicial District",0739,1005,490,1495,2872,52.05%,639,800,1439
"District Judge, 129th Judicial District",0740,233,205,438,935,46.84%,227,195,422
"District Judge, 129th Judicial District",0741,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0742,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0743,27,4,31,199,15.58%,14,15,29
"District Judge, 129th Judicial District",0744,848,509,1357,2024,67.05%,861,412,1273
"District Judge, 129th Judicial District",0745,1066,542,1608,2396,67.11%,1000,507,1507
"District Judge, 129th Judicial District",0746,230,151,381,707,53.89%,178,169,347
"District Judge, 129th Judicial District",0747,1200,873,2073,3490,59.40%,937,1048,1985
"District Judge, 129th Judicial District",0748,420,307,727,1319,55.12%,322,360,682
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0749,99,57,156,359,43.45%,27,115,142
"District Judge, 129th Judicial District",0750,264,147,411,720,57.08%,224,161,385
"District Judge, 129th Judicial District",0751,1664,1254,2918,4451,65.56%,1912,867,2779
"District Judge, 129th Judicial District",0752,571,277,848,1511,56.12%,592,207,799
"District Judge, 129th Judicial District",0753,106,61,167,260,64.23%,111,53,164
"District Judge, 129th Judicial District",0754,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0755,1048,896,1944,3569,54.47%,655,1195,1850
"District Judge, 129th Judicial District",0756,582,300,882,1539,57.31%,299,537,836
"District Judge, 129th Judicial District",0757,1416,690,2106,3498,60.21%,322,1715,2037
"District Judge, 129th Judicial District",0758,1996,783,2779,3781,73.50%,2180,430,2610
"District Judge, 129th Judicial District",0759,1109,590,1699,2625,64.72%,993,596,1589
"District Judge, 129th Judicial District",0760,2346,647,2993,4154,72.05%,2465,370,2835
"District Judge, 129th Judicial District",0761,917,219,1136,1464,77.60%,814,240,1054
"District Judge, 129th Judicial District",0762,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0763,255,308,563,1184,47.55%,171,364,535
"District Judge, 129th Judicial District",0764,2270,1050,3320,4931,67.33%,2039,1132,3171
"District Judge, 129th Judicial District",0765,1390,815,2205,3967,55.58%,754,1355,2109
"District Judge, 129th Judicial District",0766,71,92,163,383,42.56%,31,117,148
"District Judge, 129th Judicial District",0767,20,15,35,90,38.89%,23,9,32
"District Judge, 129th Judicial District",0768,2854,1159,4013,5364,74.81%,3114,731,3845
"District Judge, 129th Judicial District",0769,117,5,122,161,75.78%,6,112,118
"District Judge, 129th Judicial District",0770,58,48,106,262,40.46%,44,56,100
"District Judge, 129th Judicial District",0771,701,537,1238,2378,52.06%,605,567,1172
"District Judge, 129th Judicial District",0772,2927,1002,3929,5617,69.95%,2918,836,3754
"District Judge, 129th Judicial District",0773,892,550,1442,2648,54.46%,336,1025,1361
"District Judge, 129th Judicial District",0774,116,74,190,301,63.12%,42,142,184
"District Judge, 129th Judicial District",0775,33,1,34,83,40.96%,2,31,33
"District Judge, 129th Judicial District",0776,1113,741,1854,2855,64.94%,1060,704,1764
"District Judge, 129th Judicial District",0777,83,123,206,642,32.09%,47,153,200
"District Judge, 129th Judicial District",0778,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0779,295,221,516,1146,45.03%,154,328,482
"District Judge, 129th Judicial District",0780,136,114,250,579,43.18%,104,128,232
"District Judge, 129th Judicial District",0781,1152,655,1807,3716,48.63%,643,986,1629
"District Judge, 129th Judicial District",0782,851,532,1383,2188,63.21%,828,470,1298
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0783,103,43,146,265,55.09%,78,58,136
"District Judge, 129th Judicial District",0784,428,156,584,1071,54.53%,6,558,564
"District Judge, 129th Judicial District",0785,66,55,121,310,39.03%,63,56,119
"District Judge, 129th Judicial District",0786,193,277,470,1297,36.24%,137,312,449
"District Judge, 129th Judicial District",0787,154,76,230,487,47.23%,69,144,213
"District Judge, 129th Judicial District",0788,156,58,214,481,44.49%,67,134,201
"District Judge, 129th Judicial District",0789,3,1,4,4,100.00%,0,3,3
"District Judge, 129th Judicial District",0790,1,0,1,4,25.00%,0,1,1
"District Judge, 129th Judicial District",0791,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0792,549,409,958,1834,52.24%,193,718,911
"District Judge, 129th Judicial District",0793,889,338,1227,2437,50.35%,679,497,1176
"District Judge, 129th Judicial District",0794,575,484,1059,2602,40.70%,70,952,1022
"District Judge, 129th Judicial District",0795,265,255,520,1207,43.08%,136,342,478
"District Judge, 129th Judicial District",0796,145,92,237,485,48.87%,116,108,224
"District Judge, 129th Judicial District",0797,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0798,176,263,439,496,88.51%,121,278,399
"District Judge, 129th Judicial District",0799,65,12,77,146,52.74%,16,58,74
"District Judge, 129th Judicial District",0800,1188,795,1983,2817,70.39%,1307,569,1876
"District Judge, 129th Judicial District",0801,68,55,123,253,48.62%,36,78,114
"District Judge, 129th Judicial District",0802,98,58,156,299,52.17%,31,112,143
"District Judge, 129th Judicial District",0803,1305,530,1935,2718,71.19%,1406,432,1838
"District Judge, 129th Judicial District",0804,1806,960,2766,4348,63.62%,1614,1009,2623
"District Judge, 129th Judicial District",0805,1509,529,2038,2812,72.48%,1609,319,1928
"District Judge, 129th Judicial District",0806,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0807,652,402,1054,2001,52.67%,153,853,1006
"District Judge, 129th Judicial District",0808,41,26,67,84,79.76%,27,31,58
"District Judge, 129th Judicial District",0809,21,e,27,86,31.40%,8,16,24
"District Judge, 129th Judicial District",0810,30,48,78,215,36.28%,16,54,70
"District Judge, 129th Judicial District",0811,39,106,145,271,53.51%,26,111,137
"District Judge, 129th Judicial District",0812,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0813,1967,1258,3225,5423,59.47%,1494,1608,3102
"District Judge, 129th Judicial District",0814,1772,955,2727,4503,60.56%,588,2014,2602
"District Judge, 129th Judicial District",0815,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0816,20,13,33,76,43.42%,5,27,32
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0817,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0818,134,101,235,527,44.59%,46,182,228
"District Judge, 129th Judicial District",0819,97,45,142,238,59.66%,84,39,123
"District Judge, 129th Judicial District",0820,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0821,354,203,557,1206,46.19%,47,483,530
"District Judge, 129th Judicial District",0822,584,282,866,1544,56.09%,25,816,841
"District Judge, 129th Judicial District",0823,1849,1015,2864,4710,60.81%,1449,1270,2719
"District Judge, 129th Judicial District",0824,984,471,1455,2729,53.32%,296,1105,1401
"District Judge, 129th Judicial District",0825,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0826,153,89,242,342,70.76%,133,88,221
"District Judge, 129th Judicial District",0827,169,186,355,997,35.61%,121,216,337
"District Judge, 129th Judicial District",0828,1074,343,1417,1875,75.57%,1112,220,1332
"District Judge, 129th Judicial District",0829,107,56,163,266,61.28%,32,127,159
"District Judge, 129th Judicial District",0830,0,0,0,1,0.00%,0,0,0
"District Judge, 129th Judicial District",0831,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0832,109,46,155,351,44.16%,43,102,145
"District Judge, 129th Judicial District",0833,8,1,9,20,45.00%,0,9,9
"District Judge, 129th Judicial District",0834,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0835,87,53,140,292,47.95%,37,97,134
"District Judge, 129th Judicial District",0836,8,3,11,19,57.89%,0,10,10
"District Judge, 129th Judicial District",0837,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0838,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0839,353,240,593,1122,52.85%,103,448,551
"District Judge, 129th Judicial District",0840,712,251,963,1621,59.41%,305,617,922
"District Judge, 129th Judicial District",0841,0,2,2,0,0.00%,0,2,2
"District Judge, 129th Judicial District",0842,987,715,1702,3091,55.06%,715,915,1630
"District Judge, 129th Judicial District",0843,0,2,2,0,0.00%,0,2,2
"District Judge, 129th Judicial District",0844,2,4,6,1,3,46.1,5%,1,4,5
"District Judge, 129th Judicial District",0845,85,10,95,100,95.00%,56,32,88
"District Judge, 129th Judicial District",0846,70,29,99,210,47.14%,7,89,96
"District Judge, 129th Judicial District",0847,795,321,1116,1804,61.86%,281,785,1066
"District Judge, 129th Judicial District",0848,782,431,1213,1873,64.76%,366,790,1156
"District Judge, 129th Judicial District",0849,553,514,1067,2073,51.47%,298,708,1006
"District Judge, 129th Judicial District",0850,87,38,125,205,60.98%,46,73,119
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0851,2192,816,3008,4317,69.68%,1923,933,2856
"District Judge, 129th Judicial District",0852,0,4,4,2,200.00%,0,4,4
"District Judge, 129th Judicial District",0853,1412,605,2017,2773,72.74%,1516,387,1903
"District Judge, 129th Judicial District",0854,41,30,71,175,40.57%,2,67,69
"District Judge, 129th Judicial District",0855,4,13,17,18,94.44%,9,8,17
"District Judge, 129th Judicial District",0856,0,4,4,0,0.00%,1,2,3
"District Judge, 129th Judicial District",0857,0,0,0,1,0.00%,0,0,0
"District Judge, 129th Judicial District",0858,132,18,150,372,40.32%,4,141,145
"District Judge, 129th Judicial District",0859,309,201,510,860,59.30%,100,397,497
"District Judge, 129th Judicial District",0860,0,1,1,0,0.00%,1,0,1
"District Judge, 129th Judicial District",0861,705,319,1024,1786,57.33%,178,818,996
"District Judge, 129th Judicial District",0862,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0863,210,69,279,620,45.00%,7,264,271
"District Judge, 129th Judicial District",0864,497,609,1106,2464,44.89%,246,799,1045
"District Judge, 129th Judicial District",0865,9,2,11,23,47.83%,0,11,11
"District Judge, 129th Judicial District",0866,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0867,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0868,573,586,1159,2292,50.57%,330,774,1104
"District Judge, 129th Judicial District",0869,153,76,229,473,48.41%,32,186,218
"District Judge, 129th Judicial District",0870,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0871,3,0,3,4,75.00%,0,3,3
"District Judge, 129th Judicial District",0872,13,5,18,66,27.27%,10,6,16
"District Judge, 129th Judicial District",0873,253,125,378,701,53.92%,92,280,372
"District Judge, 129th Judicial District",0874,1534,748,2282,3107,73.45%,1716,456,2172
"District Judge, 129th Judicial District",0875,1719,927,2646,4031,65.64%,1221,1316,2537
"District Judge, 129th Judicial District",0876,1629,639,2268,3013,75.27%,1606,562,2168
"District Judge, 129th Judicial District",0877,1030,542,1672,2480,67.42%,693,926,1619
"District Judge, 129th Judicial District",0878,853,350,1203,1641,73.31%,994,148,1142
"District Judge, 129th Judicial District",0879,890,527,1417,2334,60.71%,629,730,1359
"District Judge, 129th Judicial District",0880,1068,472,1540,2007,76.73%,1143,315,1458
"District Judge, 129th Judicial District",0881,1510,877,2387,3619,65.96%,745,1552,2297
"District Judge, 129th Judicial District",0882,940,457,1397,2328,60.01%,758,577,1335
"District Judge, 129th Judicial District",0883,1918,1042,2960,4651,63.64%,477,2392,2869
"District Judge, 129th Judicial District",0884,118,37,155,330,46.97%,19,130,149
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0885,1222,541,1763,2466,71.49%,1024,658,1682
"District Judge, 129th Judicial District",0886,301,154,455,713,63.81%,238,173,411
"District Judge, 129th Judicial District",0887,138,83,221,313,70.61%,121,73,194
"District Judge, 129th Judicial District",0888,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0889,22,0,22,61,36.07%,13,8,21
"District Judge, 129th Judicial District",0890,319,118,437,994,43.96%,155,253,408
"District Judge, 129th Judicial District",0891,539,392,931,1413,65.89%,369,493,862
"District Judge, 129th Judicial District",0892,193,130,323,696,46.41%,94,203,297
"District Judge, 129th Judicial District",0893,1,0,1,5,20.00%,0,1,1
"District Judge, 129th Judicial District",0894,0,31,31,0,0.00%,8,20,28
"District Judge, 129th Judicial District",0895,335,325,660,784,84.18%,308,278,586
"District Judge, 129th Judicial District",0896,670,303,973,1437,67.71%,395,494,889
"District Judge, 129th Judicial District",0897,742,375,1117,1624,68.78%,598,467,1065
"District Judge, 129th Judicial District",0898,0,0,0,2,0.00%,0,0,0
"District Judge, 129th Judicial District",0899,4,0,4,8,50.00%,1,3,4
"District Judge, 129th Judicial District",0900,5,0,5,12,41.67%,1,3,4
"District Judge, 129th Judicial District",0901,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0902,865,621,1486,2065,71.96%,845,521,1366
"District Judge, 129th Judicial District",0903,10,1,11,41,26.83%,5,5,10
"District Judge, 129th Judicial District",0904,0,1,1,1,100.00%,0,1,1
"District Judge, 129th Judicial District",0905,290,168,458,908,50.44%,155,265,420
"District Judge, 129th Judicial District",0906,12,6,18,26,69.23%,9,8,17
"District Judge, 129th Judicial District",0907,60,43,103,134,76.87%,23,78,101
"District Judge, 129th Judicial District",0908,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0909,5,7,12,19,63.16%,4,7,11
"District Judge, 129th Judicial District",0910,55,34,89,226,39.38%,28,56,84
"District Judge, 129th Judicial District",0911,227,79,306,570,53.68%,195,91,286
"District Judge, 129th Judicial District",0912,675,221,896,1235,72.55%,545,292,837
"District Judge, 129th Judicial District",0913,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0914,169,67,236,221,106.79%,179,43,222
"District Judge, 129th Judicial District",0915,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0916,604,182,786,1045,75.22%,640,110,750
"District Judge, 129th Judicial District",0917,280,137,417,481,86.69%,297,90,387
"District Judge, 129th Judicial District",0918,489,135,624,883,70.67%,487,93,580
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0919,0,3,3,3,100.00%,1,2,3
"District Judge, 129th Judicial District",0920,6,0,6,13,46.15%,6,0,6
"District Judge, 129th Judicial District",0921,71,9,80,87,91.95%,62,17,79
"District Judge, 129th Judicial District",0922,0,2,2,0,0.00%,1,1,2
"District Judge, 129th Judicial District",0923,663,87,750,826,90.80%,564,155,719
"District Judge, 129th Judicial District",0924,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0925,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0926,351,1,20,481,621,77.46%,362,95,457
"District Judge, 129th Judicial District",0927,84,74,158,262,60.31%,77,71,148
"District Judge, 129th Judicial District",0928,4,2,6,9,66.67%,0,6,6
"District Judge, 129th Judicial District",0929,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0930,200,77,277,567,48.85%,5,265,270
"District Judge, 129th Judicial District",0931,48,53,101,122,82.79%,51,35,86
"District Judge, 129th Judicial District",0932,0,5,5,0,0.00%,1,4,5
"District Judge, 129th Judicial District",0933,233,1,21,354,566,62.54%,88,250,338
"District Judge, 129th Judicial District",0934,12,1,13,41,31.71%,5,8,13
"District Judge, 129th Judicial District",0935,8,17,25,65,38.46%,11,13,24
"District Judge, 129th Judicial District",0936,12,10,22,70,31.43%,7,13,20
"District Judge, 129th Judicial District",0937,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0938,73,14,87,256,33.98%,26,56,82
"District Judge, 129th Judicial District",0939,1,0,1,1,100.00%,0,1,1
"District Judge, 129th Judicial District",0940,1,0,1,13,7.69%,0,1,1
"District Judge, 129th Judicial District",0941,13,9,22,25,88.00%,21,1,22
"District Judge, 129th Judicial District",0942,68,24,92,159,57.86%,75,11,86
"District Judge, 129th Judicial District",0943,296,63,359,536,66.98%,253,73,326
"District Judge, 129th Judicial District",0944,30,6,36,39,92.31%,31,3,34
"District Judge, 129th Judicial District",0945,4,7,11,16,68.75%,0,10,10
"District Judge, 129th Judicial District",0946,3,3,6,14,42.86%,0,4,4
"District Judge, 129th Judicial District",0947,320,292,612,822,74.45%,314,234,548
"District Judge, 129th Judicial District",0948,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0949,59,37,96,201,47.76%,41,50,91
"District Judge, 129th Judicial District",0950,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0951,79,44,123,218,56.42%,22,98,120
"District Judge, 129th Judicial District",0952,24,16,40,70,57.14%,19,17,36
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0953,59,52,111,420,26.43%,7,103,110
"District Judge, 129th Judicial District",0954,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0955,5,20,25,18,138.89%,14,10,24
"District Judge, 129th Judicial District",0956,5,2,7,12,58.33%,4,3,7
"District Judge, 129th Judicial District",0957,261,115,376,551,68.24%,52,313,365
"District Judge, 129th Judicial District",0958,289,266,555,989,56.12%,108,418,526
"District Judge, 129th Judicial District",0959,0,4,4,0,0.00%,0,4,4
"District Judge, 129th Judicial District",0960,362,143,505,586,86.18%,129,358,487
"District Judge, 129th Judicial District",0961,23,11,34,53,64.15%,6,28,34
"District Judge, 129th Judicial District",0962,24,13,37,73,50.68%,8,26,34
"District Judge, 129th Judicial District",0963,129,69,198,353,56.09%,106,77,183
"District Judge, 129th Judicial District",0964,945,447,1392,1571,88.61%,832,508,1340
"District Judge, 129th Judicial District",0965,93,27,120,355,33.80%,81,32,113
"District Judge, 129th Judicial District",0966,305,160,465,1073,43.34%,125,314,439
"District Judge, 129th Judicial District",0967,48,15,63,98,64.29%,26,36,62
"District Judge, 129th Judicial District",0968,243,83,326,517,63.06%,59,258,317
"District Judge, 129th Judicial District",0969,335,82,417,584,71.40%,3,401,404
"District Judge, 129th Judicial District",0970,212,76,288,704,40.91%,29,239,268
"District Judge, 129th Judicial District",0971,27,21,48,129,37.21%,1,47,48
"District Judge, 129th Judicial District",0972,10,7,17,29,58.62%,11,5,16
"District Judge, 129th Judicial District",0973,49,24,73,107,68.22%,41,28,69
"District Judge, 129th Judicial District",0974,100,71,171,299,57.19%,110,54,164
"District Judge, 129th Judicial District",0975,72,41,113,170,66.47%,50,53,103
"District Judge, 129th Judicial District",0976,159,131,290,684,42.40%,165,104,269
"District Judge, 129th Judicial District",0977,104,83,187,535,34.95%,66,110,176
"District Judge, 129th Judicial District",0978,201,102,303,506,59.88%,53,242,295
"District Judge, 129th Judicial District",0979,5,e,11,26,42.31%,11,0,11
"District Judge, 129th Judicial District",0980,595,356,951,1323,71.88%,684,208,892
"District Judge, 129th Judicial District",0981,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0982,534,218,752,1021,73.65%,575,135,710
"District Judge, 129th Judicial District",0983,41,28,69,165,41.82%,39,26,65
"District Judge, 129th Judicial District",0984,43,49,92,198,46.46%,6,83,89
"District Judge, 129th Judicial District",0985,172,67,239,336,71.13%,125,99,224
