Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0168,188,126,314,519,60.50%,3,296,299
"District Judge, 129th Judicial District",0169,1059,433,1492,2531,58.95%,24,1434,1458
"District Judge, 129th Judicial District",0170,481,353,834,1887,44.20%,383,393,776
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0171,514,294,808,1613,50.09%,22,760,782
"District Judge, 129th Judicial District",0172,161,147,308,600,51.33%,87,197,284
"District Judge, 129th Judicial District",0173,1798,619,2417,3105,77.84%,1830,470,2300
"District Judge, 129th Judicial District",0174,1554,767,2321,3159,73.47%,1565,587,2152
"District Judge, 129th Judicial District",0175,1064,867,1931,2506,77.06%,1003,745,1748
"District Judge, 129th Judicial District",0176,626,530,1156,1581,73.12%,604,433,1037
"District Judge, 129th Judicial District",0177,672,385,1057,1478,71.52%,632,350,982
"District Judge, 129th Judicial District",0178,913,368,1281,1718,74.56%,853,316,1169
"District Judge, 129th Judicial District",0179,449,321,770,1508,51.06%,347,371,718
"District Judge, 129th Judicial District",0180,966,552,1518,2795,54.31%,32,1418,1450
"District Judge, 129th Judicial District",0181,416,514,930,1968,47.26%,230,637,867
"District Judge, 129th Judicial District",0182,1321,1081,2402,3289,73.03%,1441,720,2161
"District Judge, 129th Judicial District",0183,970,943,1913,2451,78.05%,1278,474,1752
"District Judge, 129th Judicial District",0184,214,256,470,969,48.50%,123,310,433
"District Judge, 129th Judicial District",0185,592,494,1086,1910,56.86%,320,693,1013
"District Judge, 129th Judicial District",0186,204,170,374,795,47.04%,39,313,352
"District Judge, 129th Judicial District",0187,48,65,113,309,36.57%,22,88,110
"District Judge, 129th Judicial District",0188,307,378,685,1616,42.39%,234,421,655
"District Judge, 129th Judicial District",0189,492,473,965,1453,66.41%,501,375,876
"District Judge, 129th Judicial District",0190,275,401,676,1720,39.30%,209,424,633
"District Judge, 129th Judicial District",0191,196,313,509,1391,36.59%,165,322,487
"District Judge, 129th Judicial District",0192,746,332,1078,2045,52.71%,33,1009,1042
"District Judge, 129th Judicial District",0193,341,269,610,1050,58.10%,12,574,586
"District Judge, 129th Judicial District",0194,704,504,1208,1735,69.63%,364,756,1120
"District Judge, 129th Judicial District",0195,539,419,958,1721,55.67%,28,896,924
"District Judge, 129th Judicial District",0196,121,55,176,323,54.49%,6,164,170
"District Judge, 129th Judicial District",0197,1109,497,1606,2895,55.47%,36,1519,1555
"District Judge, 129th Judicial District",0198,143,158,301,657,45.81%,7,283,290
"District Judge, 129th Judicial District",0199,1407,773,2180,3159,69.01%,1625,446,2071
"District Judge, 129th Judicial District",0200,1638,585,2223,3222,68.99%,1038,986,2024
"District Judge, 129th Judicial District",0201,229,125,354,728,48.63%,11,334,345
"District Judge, 129th Judicial District",0202,488,332,820,1479,55.44%,17,768,785
"District Judge, 129th Judicial District",0203,266,156,422,900,46.89%,74,328,402
"District Judge, 129th Judicial District",0204,1489,914,2403,3462,69.41%,1349,875,2224
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0205,856,201,1057,1667,63.41%,21,1003,1024
"District Judge, 129th Judicial District",0206,651,659,1310,2662,49.21%,378,859,1237
"District Judge, 129th Judicial District",0207,409,310,719,1144,62.85%,235,431,666
"District Judge, 129th Judicial District",0208,806,364,1170,2201,53.16%,271,824,1095
"District Judge, 129th Judicial District",0209,0,4,4,0,0.00%,4,0,4
"District Judge, 129th Judicial District",0210,1013,542,1555,2300,67.61%,166,1303,1469
"District Judge, 129th Judicial District",0211,710,686,1396,2797,49.91%,444,852,1296
"District Judge, 129th Judicial District",0212,218,314,532,1266,42.02%,87,413,500
"District Judge, 129th Judicial District",0213,1603,939,2542,3308,76.84%,1980,403,2383
"District Judge, 129th Judicial District",0214,798,544,1342,1795,74.76%,831,392,1223
"District Judge, 129th Judicial District",0215,844,786,1630,2168,75.18%,990,502,1492
"District Judge, 129th Judicial District",0216,784,320,1104,1917,57.59%,73,989,1062
"District Judge, 129th Judicial District",0217,1396,651,2047,2637,77.63%,1362,518,1880
"District Judge, 129th Judicial District",0218,690,608,1298,2274,57.08%,336,865,1201
"District Judge, 129th Judicial District",0219,1117,587,1704,2654,64.20%,133,1477,1610
"District Judge, 129th Judicial District",0220,711,353,1064,2360,45.08%,727,278,1005
"District Judge, 129th Judicial District",0221,699,611,1310,2489,52.63%,482,725,1207
"District Judge, 129th Judicial District",0222,1000,792,1792,2384,75.17%,866,730,1596
"District Judge, 129th Judicial District",0223,1350,760,2110,3528,59.81%,600,1326,1926
"District Judge, 129th Judicial District",0224,894,649,1543,2259,68.30%,716,686,1402
"District Judge, 129th Judicial District",0225,1109,720,1829,3155,57.97%,775,967,1742
"District Judge, 129th Judicial District",0226,529,545,1074,2393,44.88%,181,807,988
"District Judge, 129th Judicial District",0227,947,451,1398,1767,79.12%,1051,243,1294
"District Judge, 129th Judicial District",0228,583,165,748,1073,69.71%,30,693,723
"District Judge, 129th Judicial District",0229,152,207,359,811,44.27%,91,247,338
"District Judge, 129th Judicial District",0230,421,153,574,1096,52.37%,9,538,547
"District Judge, 129th Judicial District",0231,562,471,1033,2219,46.55%,228,756,984
"District Judge, 129th Judicial District",0232,685,546,1231,1696,72.58%,708,412,1120
"District Judge, 129th Judicial District",0233,1826,1063,2889,4132,69.92%,1486,1161,2647
"District Judge, 129th Judicial District",0234,2088,885,2973,3854,77.14%,2249,517,2766
"District Judge, 129th Judicial District",0235,466,242,708,1305,54.25%,20,667,687
"District Judge, 129th Judicial District",0236,779,342,1121,2144,52.29%,23,1050,1073
"District Judge, 129th Judicial District",0237,793,441,1234,2181,56.58%,16,1190,1206
"District Judge, 129th Judicial District",0238,640,422,1062,1901,55.87%,12,1009,1021
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0239,765,357,1122,1997,56.18%,26,1062,1088
"District Judge, 129th Judicial District",0240,1157,402,1559,2688,58.00%,21,1484,1505
"District Judge, 129th Judicial District",0241,494,479,973,2296,42.38%,349,574,923
"District Judge, 129th Judicial District",0242,363,323,686,1570,43.69%,345,307,652
"District Judge, 129th Judicial District",0243,254,50,304,452,67.26%,3,293,296
"District Judge, 129th Judicial District",0244,1100,656,1756,2912,60.30%,886,793,1679
"District Judge, 129th Judicial District",0245,2340,1115,3455,5240,65.94%,2255,1065,3320
"District Judge, 129th Judicial District",0246,1584,624,2208,2999,73.62%,1452,649,2101
"District Judge, 129th Judicial District",0247,421,403,824,1607,51.28%,11,789,800
"District Judge, 129th Judicial District",0248,408,405,813,2122,38.31%,175,594,769
"District Judge, 129th Judicial District",0249,1028,481,1509,2676,56.39%,987,444,1431
"District Judge, 129th Judicial District",0250,306,247,553,951,58.15%,10,534,544
"District Judge, 129th Judicial District",0251,809,529,1338,2072,64.58%,55,1231,1286
"District Judge, 129th Judicial District",0252,1111,356,1467,2350,62.43%,22,1400,1422
"District Judge, 129th Judicial District",0253,923,325,1248,2252,55.42%,17,1208,1225
"District Judge, 129th Judicial District",0254,220,282,502,1476,34.01%,106,364,470
"District Judge, 129th Judicial District",0255,995,797,1792,2411,74.33%,832,827,1659
