Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0649,1389,854,2243,4426,50.68%,583,1527,2110
"District Judge, 215th Judicial District",0650,1328,939,2267,3151,71.95%,1634,510,2144
"District Judge, 215th Judicial District",0651,2085,1070,3155,4931,63.98%,1899,1078,2977
"District Judge, 215th Judicial District",0652,1049,653,1702,2633,64.64%,254,1377,1631
"District Judge, 215th Judicial District",0653,0,8,8,0,0.00%,2,6,8
"District Judge, 215th Judicial District",0654,2103,1344,3447,5765,59.79%,1670,1562,3232
"District Judge, 215th Judicial District",0655,2612,1451,4063,6304,64.45%,2429,1390,3819
"District Judge, 215th Judicial District",0656,1198,421,1619,2622,61.75%,46,1522,1568
"District Judge, 215th Judicial District",0657,490,268,758,1200,63.17%,286,427,713
"District Judge, 215th Judicial District",0658,985,708,1693,2824,59.95%,1005,606,1611
"District Judge, 215th Judicial District",0659,2141,1091,3232,4588,70.44%,2221,854,3075
"District Judge, 215th Judicial District",0660,2460,932,3392,5048,67.19%,313,2954,3267
"District Judge, 215th Judicial District",0661,1614,1012,2626,4179,62.84%,1345,1119,2464
"District Judge, 215th Judicial District",0662,2477,999,3476,4807,72.31%,2705,602,3307
"District Judge, 215th Judicial District",0663,1302,913,2215,3232,68.53%,1150,864,2014
"District Judge, 215th Judicial District",0664,681,607,1288,2801,45.98%,264,953,1217
"District Judge, 215th Judicial District",0665,951,394,1345,2007,67.02%,1056,211,1267
"District Judge, 215th Judicial District",0666,0,1,1,0,0.00%,0,1,1
"District Judge, 215th Judicial District",0657,989,547,1536,2181,70.43%,1132,312,1444
"District Judge, 215th Judicial District",0668,927,655,1582,2458,64.36%,952,547,1499
"District Judge, 215th Judicial District",0669,1606,823,2429,3243,74.90%,1660,628,2288
"District Judge, 215th Judicial District",0670,1566,518,2084,2952,70.60%,1585,356,1941
"District Judge, 215th Judicial District",0671,1090,773,1863,2942,63.32%,1037,702,1739
"District Judge, 215th Judicial District",0672,2301,1078,3379,4710,71.74%,2158,1076,3234
"District Judge, 215th Judicial District",0673,1376,643,2019,2988,67.57%,1515,383,1898
"District Judge, 215th Judicial District",0674,2092,813,2905,4055,71.64%,2114,669,2783
"District Judge, 215th Judicial District",0675,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0676,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0677,220,239,459,954,48.11%,119,314,433
"District Judge, 215th Judicial District",0678,297,164,461,756,60.98%,297,126,423
"District Judge, 215th Judicial District",0679,1466,661,2127,3331,63.85%,1513,482,1995
"District Judge, 215th Judicial District",0680,56,22,78,181,43.09%,33,38,71
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0681,1,0,1,5,20.00%,0,1,1
"District Judge, 215th Judicial District",0682,1673,912,2585,4134,62.53%,1777,673,2450
"District Judge, 215th Judicial District",0683,48,50,98,261,37.55%,21,70,91
"District Judge, 215th Judicial District",0684,72,24,96,187,51.34%,57,31,88
"District Judge, 215th Judicial District",0685,167,29,196,326,60.12%,85,95,180
"District Judge, 215th Judicial District",0686,46,34,80,196,40.82%,17,58,75
"District Judge, 215th Judicial District",0687,1084,641,1725,2497,69.08%,1119,471,1590
"District Judge, 215th Judicial District",0688,1815,673,2488,3266,76.18%,1931,415,2346
"District Judge, 215th Judicial District",0689,505,651,1156,2276,50.79%,503,550,1053
"District Judge, 215th Judicial District",0690,1965,1116,3081,4184,73.64%,2322,599,2921
"District Judge, 215th Judicial District",0691,10,2,12,34,35.29%,4,8,12
"District Judge, 215th Judicial District",0692,999,717,1716,2626,65.35%,1222,401,1623
"District Judge, 215th Judicial District",0693,303,116,419,651,64.36%,99,278,377
"District Judge, 215th Judicial District",0694,420,137,557,817,68.18%,365,158,523
"District Judge, 215th Judicial District",0695,454,320,774,1646,47.02%,450,280,730
"District Judge, 215th Judicial District",0696,600,373,973,2098,46.38%,561,359,920
"District Judge, 215th Judicial District",0697,1516,941,2457,4307,57.05%,523,1831,2354
"District Judge, 215th Judicial District",0698,1137,659,1796,2948,60.92%,159,1568,1727
"District Judge, 215th Judicial District",0699,1031,566,1597,2288,69.80%,997,451,1448
"District Judge, 215th Judicial District",0700,531,287,818,1313,62.30%,631,143,774
"District Judge, 215th Judicial District",0701,142,115,257,554,46.39%,121,124,245
"District Judge, 215th Judicial District",0702,150,123,273,549,49.73%,27,231,258
"District Judge, 215th Judicial District",0703,742,616,1358,1845,73.60%,953,294,1247
"District Judge, 215th Judicial District",0704,1334,701,2035,2882,70.61%,1593,331,1924
"District Judge, 215th Judicial District",0705,358,238,596,1520,39.21%,53,522,575
"District Judge, 215th Judicial District",0706,222,135,357,529,67.49%,165,180,345
"District Judge, 215th Judicial District",0707,284,136,420,707,59.41%,236,154,390
"District Judge, 215th Judicial District",0708,109,95,204,568,35.92%,92,100,192
"District Judge, 215th Judicial District",0709,2996,1297,4293,6239,68.81%,2467,1638,4105
"District Judge, 215th Judicial District",0710,877,602,1479,2023,73.11%,832,502,1334
"District Judge, 215th Judicial District",0711,1492,701,2193,3351,65.44%,1259,786,2045
"District Judge, 215th Judicial District",0712,1200,858,2058,3348,61.47%,795,1195,1990
"District Judge, 215th Judicial District",0713,665,436,1101,1827,60.26%,559,485,1044
"District Judge, 215th Judicial District",0714,77,3,80,304,26.32%,49,25,74
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0715,405,326,731,1380,52.97%,344,340,684
"District Judge, 215th Judicial District",0716,977,622,1599,2670,59.89%,1081,437,1518
"District Judge, 215th Judicial District",0717,826,362,1188,1927,61.65%,143,988,1131
"District Judge, 215th Judicial District",0718,1844,1019,2863,4050,70.69%,1849,781,2630
"District Judge, 215th Judicial District",0719,508,260,768,1617,47.50%,396,316,712
"District Judge, 215th Judicial District",0720,1575,1044,2619,3903,67.10%,1843,662,2505
"District Judge, 215th Judicial District",0721,1334,637,1971,2842,69.35%,1282,537,1819
"District Judge, 215th Judicial District",0722,1892,642,2534,4357,58.16%,145,2286,2431
"District Judge, 215th Judicial District",0723,747,329,1076,1760,61.14%,208,815,1023
"District Judge, 215th Judicial District",0724,325,170,495,716,69.13%,331,139,470
"District Judge, 215th Judicial District",0725,953,329,1282,2124,60.36%,502,701,1203
"District Judge, 215th Judicial District",0726,1141,304,1445,1987,72.72%,1225,151,1376
"District Judge, 215th Judicial District",0727,931,466,1397,2488,56.15%,327,1003,1330
"District Judge, 215th Judicial District",0728,343,208,551,881,62.54%,303,209,512
"District Judge, 215th Judicial District",0729,208,93,301,446,67.49%,166,117,283
"District Judge, 215th Judicial District",0730,800,437,1237,1630,75.89%,800,332,1132
"District Judge, 215th Judicial District",0731,121,36,157,373,42.09%,28,116,144
"District Judge, 215th Judicial District",0732,701,543,1244,1895,65.65%,709,442,1151
"District Judge, 215th Judicial District",0733,25,62,87,172,50.58%,29,50,79
"District Judge, 215th Judicial District",0734,3209,1114,4323,5952,72.63%,2831,1316,4147
"District Judge, 215th Judicial District",0735,9,0,9,23,39.1,3%,9,0,9
"District Judge, 215th Judicial District",0736,6,1,7,21,33.33%,0,7,7
"District Judge, 215th Judicial District",0737,25,5,30,53,56.60%,24,6,30
"District Judge, 215th Judicial District",0738,470,219,689,1294,53.25%,77,591,668
"District Judge, 215th Judicial District",0739,1005,490,1495,2872,52.05%,634,798,1432
"District Judge, 215th Judicial District",0740,233,205,438,935,46.84%,221,195,416
"District Judge, 215th Judicial District",0741,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0742,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0743,27,4,31,199,15.58%,13,16,29
"District Judge, 215th Judicial District",0744,848,509,1357,2024,67.05%,848,421,1269
"District Judge, 215th Judicial District",0745,1066,542,1608,2396,67.11%,984,508,1492
"District Judge, 215th Judicial District",0746,230,151,381,707,53.89%,171,173,344
"District Judge, 215th Judicial District",0747,1200,873,2073,3490,59.40%,924,1062,1986
"District Judge, 215th Judicial District",0748,420,307,727,1319,55.12%,310,367,677
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0749,99,57,156,359,43.45%,24,117,141
"District Judge, 215th Judicial District",0750,264,147,411,720,57.08%,225,161,386
"District Judge, 215th Judicial District",0751,1664,1254,2918,4451,65.56%,1883,888,2771
"District Judge, 215th Judicial District",0752,571,277,848,1511,56.12%,577,221,798
"District Judge, 215th Judicial District",0753,106,61,167,260,64.23%,109,54,163
"District Judge, 215th Judicial District",0754,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0755,1048,896,1944,3569,54.47%,687,1150,1837
"District Judge, 215th Judicial District",0756,582,300,882,1539,57.31%,290,546,836
"District Judge, 215th Judicial District",0757,1416,690,2106,3498,60.21%,314,1721,2035
"District Judge, 215th Judicial District",0758,1996,783,2779,3781,73.50%,2153,441,2594
"District Judge, 215th Judicial District",0759,1109,590,1699,2625,64.72%,980,610,1590
"District Judge, 215th Judicial District",0760,2346,647,2993,4154,72.05%,2437,380,2817
"District Judge, 215th Judicial District",0761,917,219,1136,1464,77.60%,790,247,1037
"District Judge, 215th Judicial District",0762,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0763,255,308,563,1184,47.55%,177,349,526
"District Judge, 215th Judicial District",0764,2270,1050,3320,4931,67.33%,2029,1133,3162
"District Judge, 215th Judicial District",0765,1390,815,2205,3967,55.58%,745,1352,2097
"District Judge, 215th Judicial District",0766,71,92,163,383,42.56%,34,111,145
"District Judge, 215th Judicial District",0767,20,15,35,90,38.89%,22,10,32
"District Judge, 215th Judicial District",0768,2854,1159,4013,5364,74.81%,3096,744,3840
"District Judge, 215th Judicial District",0769,117,5,122,161,75.78%,5,112,117
"District Judge, 215th Judicial District",0770,58,48,106,262,40.46%,41,59,100
"District Judge, 215th Judicial District",0771,701,537,1238,2378,52.06%,596,568,1164
"District Judge, 215th Judicial District",0772,2927,1002,3929,5617,69.95%,2873,853,3726
"District Judge, 215th Judicial District",0773,892,550,1442,2648,54.46%,335,1026,1361
"District Judge, 215th Judicial District",0774,116,74,190,301,63.12%,40,143,183
"District Judge, 215th Judicial District",0775,33,1,34,83,40.96%,0,33,33
"District Judge, 215th Judicial District",0776,1113,741,1854,2855,64.94%,1041,721,1762
"District Judge, 215th Judicial District",0777,83,123,206,642,32.09%,53,145,198
"District Judge, 215th Judicial District",0778,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0779,295,221,516,1146,45.03%,150,331,481
"District Judge, 215th Judicial District",0780,136,114,250,579,43.18%,100,132,232
"District Judge, 215th Judicial District",0781,1152,655,1807,3716,48.63%,642,979,1621
"District Judge, 215th Judicial District",0782,851,532,1383,2188,63.21%,811,481,1292
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0783,103,43,146,265,55.09%,74,61,135
"District Judge, 215th Judicial District",0784,428,156,584,1071,54.53%,6,560,566
"District Judge, 215th Judicial District",0785,66,55,121,310,39.03%,60,59,119
"District Judge, 215th Judicial District",0786,193,277,470,1297,36.24%,131,315,446
"District Judge, 215th Judicial District",0787,154,76,230,487,47.23%,69,143,212
"District Judge, 215th Judicial District",0788,156,58,214,481,44.49%,68,133,201
"District Judge, 215th Judicial District",0789,3,1,4,4,100.00%,0,3,3
"District Judge, 215th Judicial District",0790,1,0,1,4,25.00%,0,1,1
"District Judge, 215th Judicial District",0791,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0792,549,409,958,1834,52.24%,206,700,906
"District Judge, 215th Judicial District",0793,889,338,1227,2437,50.35%,680,491,1171
"District Judge, 215th Judicial District",0794,575,484,1059,2602,40.70%,72,947,1019
"District Judge, 215th Judicial District",0795,265,255,520,1207,43.08%,147,319,466
"District Judge, 215th Judicial District",0796,145,92,237,485,48.87%,111,112,223
"District Judge, 215th Judicial District",0797,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0798,176,263,439,496,88.51%,124,270,394
"District Judge, 215th Judicial District",0799,65,12,77,146,52.74%,17,57,74
"District Judge, 215th Judicial District",0800,1188,795,1983,2817,70.39%,1290,570,1860
"District Judge, 215th Judicial District",0801,68,55,123,253,48.62%,36,79,115
"District Judge, 215th Judicial District",0802,98,58,156,299,52.17%,28,112,140
"District Judge, 215th Judicial District",0803,1305,530,1935,2718,71.19%,1394,436,1830
"District Judge, 215th Judicial District",0804,1806,960,2766,4348,63.62%,1593,1018,2611
"District Judge, 215th Judicial District",0805,1509,529,2038,2812,72.48%,1584,343,1927
"District Judge, 215th Judicial District",0806,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0807,652,402,1054,2001,52.67%,149,854,1003
"District Judge, 215th Judicial District",0808,41,26,67,84,79.76%,29,29,58
"District Judge, 215th Judicial District",0809,21,e,27,86,31.40%,8,16,24
"District Judge, 215th Judicial District",0810,30,48,78,215,36.28%,17,54,71
"District Judge, 215th Judicial District",0811,39,106,145,271,53.51%,24,110,134
"District Judge, 215th Judicial District",0812,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0813,1967,1258,3225,5423,59.47%,1489,1612,3101
"District Judge, 215th Judicial District",0814,1772,955,2727,4503,60.56%,575,2025,2600
"District Judge, 215th Judicial District",0815,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0816,20,13,33,76,43.42%,6,26,32
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0817,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0818,134,101,235,527,44.59%,41,186,227
"District Judge, 215th Judicial District",0819,97,45,142,238,59.66%,84,36,120
"District Judge, 215th Judicial District",0820,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0821,354,203,557,1206,46.19%,42,490,532
"District Judge, 215th Judicial District",0822,584,282,866,1544,56.09%,22,816,838
"District Judge, 215th Judicial District",0823,1849,1015,2864,4710,60.81%,1440,1282,2722
"District Judge, 215th Judicial District",0824,984,471,1455,2729,53.32%,299,1103,1402
"District Judge, 215th Judicial District",0825,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0826,153,89,242,342,70.76%,140,83,223
"District Judge, 215th Judicial District",0827,169,186,355,997,35.61%,124,213,337
"District Judge, 215th Judicial District",0828,1074,343,1417,1875,75.57%,1115,214,1329
"District Judge, 215th Judicial District",0829,107,56,163,266,61.28%,32,126,158
"District Judge, 215th Judicial District",0830,0,0,0,1,0.00%,0,0,0
"District Judge, 215th Judicial District",0831,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0832,109,46,155,351,44.16%,42,104,146
"District Judge, 215th Judicial District",0833,8,1,9,20,45.00%,0,9,9
"District Judge, 215th Judicial District",0834,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0835,87,53,140,292,47.95%,36,97,133
"District Judge, 215th Judicial District",0836,8,3,11,19,57.89%,0,9,9
"District Judge, 215th Judicial District",0837,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0838,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0839,353,240,593,1122,52.85%,105,447,552
"District Judge, 215th Judicial District",0840,712,251,963,1621,59.41%,304,621,925
"District Judge, 215th Judicial District",0841,0,2,2,0,0.00%,0,2,2
"District Judge, 215th Judicial District",0842,987,715,1702,3091,55.06%,703,912,1615
"District Judge, 215th Judicial District",0843,0,2,2,0,0.00%,0,2,2
"District Judge, 215th Judicial District",0844,2,4,6,1,3,46.1,5%,1,4,5
"District Judge, 215th Judicial District",0845,85,10,95,100,95.00%,54,34,88
"District Judge, 215th Judicial District",0846,70,29,99,210,47.14%,5,91,96
"District Judge, 215th Judicial District",0847,795,321,1116,1804,61.86%,283,782,1065
"District Judge, 215th Judicial District",0848,782,431,1213,1873,64.76%,359,791,1150
"District Judge, 215th Judicial District",0849,553,514,1067,2073,51.47%,316,677,993
"District Judge, 215th Judicial District",0850,87,38,125,205,60.98%,49,69,118
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0851,2192,816,3008,4317,69.68%,1889,959,2848
"District Judge, 215th Judicial District",0852,0,4,4,2,200.00%,0,4,4
"District Judge, 215th Judicial District",0853,1412,605,2017,2773,72.74%,1506,391,1897
"District Judge, 215th Judicial District",0854,41,30,71,175,40.57%,4,65,69
"District Judge, 215th Judicial District",0855,4,13,17,18,94.44%,8,9,17
"District Judge, 215th Judicial District",0856,0,4,4,0,0.00%,1,2,3
"District Judge, 215th Judicial District",0857,0,0,0,1,0.00%,0,0,0
"District Judge, 215th Judicial District",0858,132,18,150,372,40.32%,4,141,145
"District Judge, 215th Judicial District",0859,309,201,510,860,59.30%,99,398,497
"District Judge, 215th Judicial District",0860,0,1,1,0,0.00%,1,0,1
"District Judge, 215th Judicial District",0861,705,319,1024,1786,57.33%,172,818,990
"District Judge, 215th Judicial District",0862,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0863,210,69,279,620,45.00%,10,262,272
"District Judge, 215th Judicial District",0864,497,609,1106,2464,44.89%,253,787,1040
"District Judge, 215th Judicial District",0865,9,2,11,23,47.83%,0,11,11
"District Judge, 215th Judicial District",0866,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0867,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0868,573,586,1159,2292,50.57%,334,761,1095
"District Judge, 215th Judicial District",0869,153,76,229,473,48.41%,31,186,217
"District Judge, 215th Judicial District",0870,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0871,3,0,3,4,75.00%,0,3,3
"District Judge, 215th Judicial District",0872,13,5,18,66,27.27%,8,8,16
"District Judge, 215th Judicial District",0873,253,125,378,701,53.92%,88,283,371
"District Judge, 215th Judicial District",0874,1534,748,2282,3107,73.45%,1682,475,2157
"District Judge, 215th Judicial District",0875,1719,927,2646,4031,65.64%,1213,1322,2535
"District Judge, 215th Judicial District",0876,1629,639,2268,3013,75.27%,1599,561,2160
"District Judge, 215th Judicial District",0877,1030,642,1672,2480,67.42%,669,945,1614
"District Judge, 215th Judicial District",0878,853,350,1203,1641,73.31%,978,163,1141
"District Judge, 215th Judicial District",0879,890,527,1417,2334,60.71%,633,721,1354
"District Judge, 215th Judicial District",0880,1068,472,1540,2007,76.73%,1145,310,1455
"District Judge, 215th Judicial District",0881,1510,877,2387,3619,65.96%,727,1572,2299
"District Judge, 215th Judicial District",0882,940,457,1397,2328,60.01%,749,584,1333
"District Judge, 215th Judicial District",0883,1918,1042,2960,4651,63.64%,489,2372,2861
"District Judge, 215th Judicial District",0884,118,37,155,330,46.97%,19,129,148
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0885,1222,541,1763,2466,71.49%,1012,662,1674
"District Judge, 215th Judicial District",0886,301,154,455,713,63.81%,239,162,401
"District Judge, 215th Judicial District",0887,138,83,221,313,70.61%,116,73,189
"District Judge, 215th Judicial District",0888,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0889,22,0,22,61,36.07%,13,8,21
"District Judge, 215th Judicial District",0890,319,118,437,994,43.96%,162,241,403
"District Judge, 215th Judicial District",0891,539,392,931,1413,65.89%,365,496,861
"District Judge, 215th Judicial District",0892,193,130,323,696,46.41%,90,206,296
"District Judge, 215th Judicial District",0893,1,0,1,5,20.00%,0,1,1
"District Judge, 215th Judicial District",0894,0,31,31,0,0.00%,8,20,28
"District Judge, 215th Judicial District",0895,335,325,660,784,84.18%,310,264,574
"District Judge, 215th Judicial District",0896,670,303,973,1437,67.71%,401,459,860
"District Judge, 215th Judicial District",0897,742,375,1117,1624,68.78%,593,467,1060
"District Judge, 215th Judicial District",0898,0,0,0,2,0.00%,0,0,0
"District Judge, 215th Judicial District",0899,4,0,4,8,50.00%,1,3,4
"District Judge, 215th Judicial District",0900,5,0,5,12,41.67%,1,3,4
"District Judge, 215th Judicial District",0901,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0902,865,621,1486,2065,71.96%,832,514,1346
"District Judge, 215th Judicial District",0903,10,1,11,41,26.83%,6,4,10
"District Judge, 215th Judicial District",0904,0,1,1,1,100.00%,0,1,1
"District Judge, 215th Judicial District",0905,290,168,458,908,50.44%,160,253,413
"District Judge, 215th Judicial District",0906,12,6,18,26,69.23%,9,8,17
"District Judge, 215th Judicial District",0907,60,43,103,134,76.87%,20,81,101
"District Judge, 215th Judicial District",0908,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0909,5,7,12,19,63.16%,3,7,10
"District Judge, 215th Judicial District",0910,55,34,89,226,39.38%,33,50,83
"District Judge, 215th Judicial District",0911,227,79,306,570,53.68%,194,92,286
"District Judge, 215th Judicial District",0912,675,221,896,1235,72.55%,531,296,827
"District Judge, 215th Judicial District",0913,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0914,169,67,236,221,106.79%,179,41,220
"District Judge, 215th Judicial District",0915,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0916,604,182,786,1045,75.22%,629,117,746
"District Judge, 215th Judicial District",0917,280,137,417,481,86.69%,283,95,378
"District Judge, 215th Judicial District",0918,489,135,624,883,70.67%,477,100,577
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0919,0,3,3,3,100.00%,1,2,3
"District Judge, 215th Judicial District",0920,6,0,6,13,46.15%,6,0,6
"District Judge, 215th Judicial District",0921,71,9,80,87,91.95%,63,16,79
"District Judge, 215th Judicial District",0922,0,2,2,0,0.00%,1,1,2
"District Judge, 215th Judicial District",0923,663,87,750,826,90.80%,558,160,718
"District Judge, 215th Judicial District",0924,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0925,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0926,351,1,20,481,621,77.46%,356,97,453
"District Judge, 215th Judicial District",0927,84,74,158,262,60.31%,75,70,145
"District Judge, 215th Judicial District",0928,4,2,6,9,66.67%,0,6,6
"District Judge, 215th Judicial District",0929,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0930,200,77,277,567,48.85%,2,268,270
"District Judge, 215th Judicial District",0931,48,53,101,122,82.79%,48,35,83
"District Judge, 215th Judicial District",0932,0,5,5,0,0.00%,1,4,5
"District Judge, 215th Judicial District",0933,233,1,21,354,566,62.54%,90,244,334
"District Judge, 215th Judicial District",0934,12,1,13,41,31.71%,5,8,13
"District Judge, 215th Judicial District",0935,8,17,25,65,38.46%,10,13,23
"District Judge, 215th Judicial District",0936,12,10,22,70,31.43%,6,13,19
"District Judge, 215th Judicial District",0937,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0938,73,14,87,256,33.98%,25,58,83
"District Judge, 215th Judicial District",0939,1,0,1,1,100.00%,0,1,1
"District Judge, 215th Judicial District",0940,1,0,1,13,7.69%,0,1,1
"District Judge, 215th Judicial District",0941,13,9,22,25,88.00%,20,2,22
"District Judge, 215th Judicial District",0942,68,24,92,159,57.86%,70,14,84
"District Judge, 215th Judicial District",0943,296,63,359,536,66.98%,244,80,324
"District Judge, 215th Judicial District",0944,30,6,36,39,92.31%,29,4,33
"District Judge, 215th Judicial District",0945,4,7,11,16,68.75%,0,8,8
"District Judge, 215th Judicial District",0946,3,3,6,14,42.86%,0,4,4
"District Judge, 215th Judicial District",0947,320,292,612,822,74.45%,304,231,535
"District Judge, 215th Judicial District",0948,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0949,59,37,96,201,47.76%,40,50,90
"District Judge, 215th Judicial District",0950,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0951,79,44,123,218,56.42%,24,95,119
"District Judge, 215th Judicial District",0952,24,16,40,70,57.14%,21,15,36
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0953,59,52,111,420,26.43%,7,103,110
"District Judge, 215th Judicial District",0954,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0955,5,20,25,18,138.89%,14,9,23
"District Judge, 215th Judicial District",0956,5,2,7,12,58.33%,4,3,7
"District Judge, 215th Judicial District",0957,261,115,376,551,68.24%,50,315,365
"District Judge, 215th Judicial District",0958,289,266,555,989,56.12%,113,410,523
"District Judge, 215th Judicial District",0959,0,4,4,0,0.00%,0,4,4
"District Judge, 215th Judicial District",0960,362,143,505,586,86.18%,133,355,488
"District Judge, 215th Judicial District",0961,23,11,34,53,64.15%,7,27,34
"District Judge, 215th Judicial District",0962,24,13,37,73,50.68%,8,23,31
"District Judge, 215th Judicial District",0963,129,69,198,353,56.09%,102,82,184
"District Judge, 215th Judicial District",0964,945,447,1392,1571,88.61%,822,508,1330
"District Judge, 215th Judicial District",0965,93,27,120,355,33.80%,73,39,112
"District Judge, 215th Judicial District",0966,305,160,465,1073,43.34%,124,314,438
"District Judge, 215th Judicial District",0967,48,15,63,98,64.29%,26,36,62
"District Judge, 215th Judicial District",0968,243,83,326,517,63.06%,60,257,317
"District Judge, 215th Judicial District",0969,335,82,417,584,71.40%,1,404,405
"District Judge, 215th Judicial District",0970,212,76,288,704,40.91%,28,240,268
"District Judge, 215th Judicial District",0971,27,21,48,129,37.21%,1,47,48
"District Judge, 215th Judicial District",0972,10,7,17,29,58.62%,11,5,16
"District Judge, 215th Judicial District",0973,49,24,73,107,68.22%,40,28,68
"District Judge, 215th Judicial District",0974,100,71,171,299,57.19%,105,58,163
"District Judge, 215th Judicial District",0975,72,41,113,170,66.47%,51,52,103
"District Judge, 215th Judicial District",0976,159,131,290,684,42.40%,160,107,267
"District Judge, 215th Judicial District",0977,104,83,187,535,34.95%,65,111,176
"District Judge, 215th Judicial District",0978,201,102,303,506,59.88%,50,242,292
"District Judge, 215th Judicial District",0979,5,e,11,26,42.31%,10,0,10
"District Judge, 215th Judicial District",0980,595,356,951,1323,71.88%,657,235,892
"District Judge, 215th Judicial District",0981,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0982,534,218,752,1021,73.65%,579,133,712
"District Judge, 215th Judicial District",0983,41,28,69,165,41.82%,40,25,65
"District Judge, 215th Judicial District",0984,43,49,92,198,46.46%,6,82,88
"District Judge, 215th Judicial District",0985,172,67,239,336,71.13%,112,109,221
"District Judge, 215th Judicial District",0986,129,86,215,404,53.22%,19,183,202
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0987,465,191,656,1138,57.64%,47,588,635
