Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0185,592,494,1086,1910,56.86%,325,688,1013
"District Judge, 215th Judicial District",0186,204,170,374,795,47.04%,40,306,346
"District Judge, 215th Judicial District",0187,48,65,113,309,36.57%,25,83,108
"District Judge, 215th Judicial District",0188,307,378,685,1616,42.39%,228,420,648
"District Judge, 215th Judicial District",0189,492,473,965,1453,66.41%,501,366,867
"District Judge, 215th Judicial District",0190,275,401,676,1720,39.30%,220,413,633
"District Judge, 215th Judicial District",0191,195,313,509,1391,36.59%,165,317,482
"District Judge, 215th Judicial District",0192,746,332,1078,2045,52.71%,32,1009,1041
"District Judge, 215th Judicial District",0193,341,269,610,1050,58.10%,11,577,588
"District Judge, 215th Judicial District",0194,704,504,1208,1735,69.63%,360,746,1106
"District Judge, 215th Judicial District",0195,539,419,958,1721,55.67%,24,894,918
"District Judge, 215th Judicial District",0196,121,55,176,323,54.49%,8,161,169
"District Judge, 215th Judicial District",0197,1109,497,1606,2895,55.47%,30,1528,1558
"District Judge, 215th Judicial District",0198,143,158,301,657,45.81%,5,281,286
"District Judge, 215th Judicial District",0199,1407,773,2180,3159,69.01%,1600,446,2046
"District Judge, 215th Judicial District",0200,1638,585,2223,3222,68.99%,1029,951,1980
"District Judge, 215th Judicial District",0201,229,125,354,728,48.63%,10,334,344
"District Judge, 215th Judicial District",0202,488,332,820,1479,55.44%,15,770,785
"District Judge, 215th Judicial District",0203,266,156,422,900,46.89%,80,317,397
"District Judge, 215th Judicial District",0204,1489,914,2403,3462,69.41%,1330,863,2193
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0205,856,201,1057,1667,63.41%,19,1006,1025
"District Judge, 215th Judicial District",0206,651,659,1310,2662,49.21%,381,825,1206
"District Judge, 215th Judicial District",0207,409,310,719,1144,62.85%,243,402,645
"District Judge, 215th Judicial District",0208,806,364,1170,2201,53.16%,275,818,1093
"District Judge, 215th Judicial District",0209,0,4,4,0,0.00%,4,0,4
"District Judge, 215th Judicial District",0210,1013,542,1555,2300,67.61%,167,1301,1468
"District Judge, 215th Judicial District",0211,710,686,1396,2797,49.91%,455,829,1284
"District Judge, 215th Judicial District",0212,218,314,532,1266,42.02%,87,417,504
"District Judge, 215th Judicial District",0213,1603,939,2542,3308,76.84%,1919,425,2344
"District Judge, 215th Judicial District",0214,798,544,1342,1795,74.76%,812,397,1209
"District Judge, 215th Judicial District",0215,844,786,1630,2168,75.18%,980,501,1481
"District Judge, 215th Judicial District",0216,784,320,1104,1917,57.59%,67,986,1053
"District Judge, 215th Judicial District",0217,1396,651,2047,2637,77.63%,1329,513,1842
"District Judge, 215th Judicial District",0218,690,608,1298,2274,57.08%,371,808,1179
"District Judge, 215th Judicial District",0219,1117,587,1704,2654,64.20%,127,1486,1613
"District Judge, 215th Judicial District",0220,711,353,1064,2360,45.08%,705,294,999
"District Judge, 215th Judicial District",0221,699,611,1310,2489,52.63%,502,696,1198
"District Judge, 215th Judicial District",0222,1000,792,1792,2384,75.17%,856,701,1557
"District Judge, 215th Judicial District",0223,1350,760,2110,3528,59.81%,579,1340,1919
"District Judge, 215th Judicial District",0224,894,649,1543,2259,68.30%,706,678,1384
"District Judge, 215th Judicial District",0225,1109,720,1829,3155,57.97%,743,996,1739
"District Judge, 215th Judicial District",0226,529,545,1074,2393,44.88%,193,786,979
"District Judge, 215th Judicial District",0227,947,451,1398,1767,79.12%,1047,220,1267
"District Judge, 215th Judicial District",0228,583,165,748,1073,69.71%,37,690,727
"District Judge, 215th Judicial District",0229,152,207,359,811,44.27%,93,245,338
"District Judge, 215th Judicial District",0230,421,153,574,1096,52.37%,10,537,547
"District Judge, 215th Judicial District",0231,562,471,1033,2219,46.55%,235,740,975
"District Judge, 215th Judicial District",0232,685,546,1231,1696,72.58%,689,416,1105
"District Judge, 215th Judicial District",0233,1826,1063,2889,4132,69.92%,1458,1152,2610
"District Judge, 215th Judicial District",0234,2088,885,2973,3854,77.14%,2228,511,2739
"District Judge, 215th Judicial District",0235,466,242,708,1305,54.25%,21,667,688
"District Judge, 215th Judicial District",0236,779,342,1121,2144,52.29%,21,1051,1072
"District Judge, 215th Judicial District",0237,793,441,1234,2181,56.58%,18,1187,1205
"District Judge, 215th Judicial District",0238,640,422,1062,1901,55.87%,13,1011,1024
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0239,765,357,1122,1997,56.18%,25,1061,1086
"District Judge, 215th Judicial District",0240,1157,402,1559,2688,58.00%,14,1495,1509
"District Judge, 215th Judicial District",0241,494,479,973,2296,42.38%,357,561,918
"District Judge, 215th Judicial District",0242,363,323,686,1570,43.69%,335,316,651
"District Judge, 215th Judicial District",0243,254,50,304,452,67.26%,2,295,297
"District Judge, 215th Judicial District",0244,1100,656,1756,2912,60.30%,881,796,1677
"District Judge, 215th Judicial District",0245,2340,1115,3455,5240,65.94%,2233,1069,3302
