Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Nathan Hecht,DEM Michele Petty,LIB Mark Ash,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 6",0594,1032,535,1567,2361,66.37%,421,1067,21,17,1526
"Justice, Supreme Court, Place 6",0595,497,380,877,1647,53.25%,126,703,11,11,851
"Justice, Supreme Court, Place 6",0596,947,690,1637,2848,57.48%,797,723,39,26,1585
"Justice, Supreme Court, Place 6",0597,1067,719,1786,3267,54.67%,572,1125,16,8,1721
"Justice, Supreme Court, Place 6",0598,335,103,438,724,60.50%,321,80,5,6,412
"Justice, Supreme Court, Place 6",0599,1895,855,2761,4135,66.77%,860,1746,44,24,2674
"Justice, Supreme Court, Place 6",0600,1383,869,2252,3820,58.95%,724,1377,35,21,2157
"Justice, Supreme Court, Place 6",0601,2028,858,2886,3990,72.33%,2062,642,66,26,2796
"Justice, Supreme Court, Place 6",0602,563,296,859,1237,69.44%,568,239,23,4,834
"Justice, Supreme Court, Place 6",0603,1438,1163,2601,3917,66.40%,1479,948,68,25,2520
"Justice, Supreme Court, Place 6",0604,1446,528,1974,2910,67.84%,1542,298,49,14,1903
"Justice, Supreme Court, Place 6",0605,2228,889,3117,5251,59.36%,678,2268,40,30,3016
"Justice, Supreme Court, Place 6",0606,420,122,542,1053,51.47%,6,516,2,2,526
"Justice, Supreme Court, Place 6",0607,194,118,312,731,42.68%,18,278,1,2,299
"Justice, Supreme Court, Place 6",0608,245,290,535,1256,42.60%,199,289,10,6,504
"Justice, Supreme Court, Place 6",0609,1365,844,2209,3261,67.74%,1305,737,45,18,2105
"Justice, Supreme Court, Place 6",0610,403,398,801,1825,43.89%,326,405,19,8,758
"Justice, Supreme Court, Place 6",0611,1122,301,1423,2450,58.08%,30,1338,6,5,1379
"Justice, Supreme Court, Place 6",0612,1702,579,2281,3272,69.71%,1644,461,58,21,2184
"Justice, Supreme Court, Place 6",0613,495,309,804,1450,55.45%,111,658,6,4,779
"Justice, Supreme Court, Place 6",0614,1632,812,2444,3932,62.16%,750,1537,44,25,2356
"Justice, Supreme Court, Place 6",0615,931,404,1335,1926,69.31%,744,509,31,13,1297
"Justice, Supreme Court, Place 6",0616,1353,970,2323,3378,68.77%,1502,640,61,28,2231
"Justice, Supreme Court, Place 6",0617,1322,849,2171,3546,61.22%,710,1317,39,21,2087
"Justice, Supreme Court, Place 6",0618,1924,1021,2945,5344,55.11%,1203,1558,61,24,2846
"Justice, Supreme Court, Place 6",0619,2134,857,2991,4266,70.11%,2091,688,82,22,2883
"Justice, Supreme Court, Place 6",0620,2387,856,3243,5271,61.53%,1477,1523,47,31,3078
"Justice, Supreme Court, Place 6",0621,398,203,601,1173,51.24%,274,273,12,14,573
"Justice, Supreme Court, Place 6",0622,1724,829,2553,4305,59.30%,1396,976,55,23,2450
"Justice, Supreme Court, Place 6",0623,1709,626,2335,3481,67.08%,1413,732,47,17,2209
"Justice, Supreme Court, Place 6",0624,9,0,9,16,56.25%,4,5,0,0,9
"Justice, Supreme Court, Place 6",0625,865,454,1319,1796,73.44%,692,497,30,18,1237
"Justice, Supreme Court, Place 6",0626,1150,655,1805,2838,63.60%,853,808,43,17,1721
"Justice, Supreme Court, Place 6",0627,795,547,1442,2964,48.65%,380,941,17,11,1349
"Justice, Supreme Court, Place 6",0628,292,456,748,1600,46.75%,290,401,11,9,711
"Justice, Supreme Court, Place 6",0629,177,127,304,629,48.33%,21,272,5,1,299
"Justice, Supreme Court, Place 6",0630,2023,535,2558,3190,80.19%,199,2243,18,11,2471
"Justice, Supreme Court, Place 6",0631,1490,392,1882,2733,68.86%,1280,468,46,15,1809
"Justice, Supreme Court, Place 6",0632,12,9,21,231,9.09%,4,11,2,1,18
"Justice, Supreme Court, Place 6",0633,1783,578,2461,3257,75.56%,1706,590,44,29,2369
"Justice, Supreme Court, Place 6",0634,1022,734,1756,2922,60.10%,1018,619,41,18,1696
"Justice, Supreme Court, Place 6",0635,1328,706,2034,3280,62.01%,1465,414,57,32,1968
"Justice, Supreme Court, Place 6",0636,1793,974,2767,3881,71.30%,2272,338,57,19,2686
"Justice, Supreme Court, Place 6",0637,740,509,1249,2471,50.55%,271,838,21,27,1157
"Justice, Supreme Court, Place 6",0638,741,684,1425,2078,68.58%,87,1269,9,7,1372
"Justice, Supreme Court, Place 6",0639,833,711,1544,2501,61.74%,1154,297,37,13,1501
"Justice, Supreme Court, Place 6",0640,1385,723,2108,3548,59.41%,1116,833,59,23,2031
"Justice, Supreme Court, Place 6",0641,1265,878,2143,3375,63.50%,1250,745,54,18,2067
"Justice, Supreme Court, Place 6",0642,873,447,1320,1779,74.20%,1035,210,19,8,1272
"Justice, Supreme Court, Place 6",0643,2160,994,3154,5310,59.40%,1113,1826,59,24,3022
"Justice, Supreme Court, Place 6",0644,2125,1204,3329,5261,63.28%,1963,1109,91,33,3196
"Justice, Supreme Court, Place 6",0645,1648,895,2543,4035,63.02%,1091,1235,70,38,2434
"Justice, Supreme Court, Place 6",0646,708,456,1164,2163,53.81%,317,769,11,9,1106
"Justice, Supreme Court, Place 6",0647,1771,1020,2791,5593,49.90%,652,1891,21,18,2582
"Justice, Supreme Court, Place 6",0648,1591,668,2259,3197,70.66%,1500,622,44,18,2184
"Justice, Supreme Court, Place 6",0649,1390,854,2244,4426,50.70%,568,1499,39,21,2127
"Justice, Supreme Court, Place 6",0650,1329,939,2268,3151,71.98%,1581,540,46,17,2184
"Justice, Supreme Court, Place 6",0651,2087,1070,3157,4931,64.02%,1853,1080,78,22,3033
"Justice, Supreme Court, Place 6",0652,1054,653,1707,2633,64.83%,257,1371,10,12,1650
"Justice, Supreme Court, Place 6",0653,0,8,8,0,0.00%,2,6,0,0,8
"Justice, Supreme Court, Place 6",0654,2106,1344,3450,5765,59.84%,1648,1538,53,37,3276
"Justice, Supreme Court, Place 6",0655,2614,1451,4065,6304,64.48%,2394,1368,86,34,3882
"Justice, Supreme Court, Place 6",0656,1199,421,1620,2622,61.78%,45,1511,5,10,1571
"Justice, Supreme Court, Place 6",0657,491,268,759,1200,63.25%,283,421,13,7,724
"Justice, Supreme Court, Place 6",0658,986,708,1694,2824,59.99%,977,595,46,21,1639
"Justice, Supreme Court, Place 6",0659,2143,1091,3234,4588,70.49%,2182,834,76,27,3119
"Justice, Supreme Court, Place 6",0660,2461,932,3393,5048,67.21%,305,2941,28,20,3294
"Justice, Supreme Court, Place 6",0661,1616,1012,2628,4179,62.89%,1304,1125,60,32,2521
"Justice, Supreme Court, Place 6",0662,2477,999,3476,4807,72.31%,2688,600,49,29,3366
"Justice, Supreme Court, Place 6",0663,1304,913,2217,3232,68.60%,1127,848,72,42,2089
"Justice, Supreme Court, Place 6",0664,681,607,1288,2801,45.98%,253,924,15,24,1216
"Justice, Supreme Court, Place 6",0665,951,394,1345,2007,67.02%,1034,218,27,8,1287
"Justice, Supreme Court, Place 6",0666,0,1,1,0,0.00%,0,1,0,0,1
"Justice, Supreme Court, Place 6",0667,990,547,1537,2181,70.47%,1122,316,33,10,1481
"Justice, Supreme Court, Place 6",0668,928,655,1583,2458,64.40%,924,536,45,19,1524
"Justice, Supreme Court, Place 6",0669,1609,823,2432,3243,74.99%,1643,626,45,19,2333
"Justice, Supreme Court, Place 6",0670,1567,518,2085,2952,70.63%,1548,358,57,25,1988
"Justice, Supreme Court, Place 6",0671,1091,773,1864,2942,63.36%,998,700,58,11,1767
"Justice, Supreme Court, Place 6",0672,2303,1078,3381,4710,71.78%,2124,1046,85,27,3282
"Justice, Supreme Court, Place 6",0673,1377,643,2020,2988,67.60%,1481,384,41,23,1929
"Justice, Supreme Court, Place 6",0674,2092,813,2905,4055,71.64%,2066,668,56,23,2813
"Justice, Supreme Court, Place 6",0675,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0676,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0677,220,239,459,954,48.11%,115,308,7,5,435
"Justice, Supreme Court, Place 6",0678,297,164,461,756,60.98%,288,123,13,7,431
"Justice, Supreme Court, Place 6",0679,1469,661,2130,3331,63.94%,1503,468,46,10,2027
"Justice, Supreme Court, Place 6",0680,57,22,79,181,43.65%,32,34,5,2,73
"Justice, Supreme Court, Place 6",0681,1,0,1,5,20.00%,0,1,0,0,1
"Justice, Supreme Court, Place 6",0682,1674,912,2586,4134,62.55%,1762,646,48,36,2492
"Justice, Supreme Court, Place 6",0683,48,50,98,261,37.55%,20,67,2,2,91
"Justice, Supreme Court, Place 6",0684,73,24,97,187,51.87%,56,35,1,0,92
"Justice, Supreme Court, Place 6",0685,167,29,196,326,60.12%,89,93,2,4,188
"Justice, Supreme Court, Place 6",0686,46,34,80,196,40.82%,15,56,3,1,75
"Justice, Supreme Court, Place 6",0687,1088,641,1729,2497,69.24%,1095,475,42,16,1628
"Justice, Supreme Court, Place 6",0688,1818,673,2491,3266,76.27%,1910,410,56,29,2405
"Justice, Supreme Court, Place 6",0689,506,651,1157,2276,50.83%,498,538,21,7,1064
"Justice, Supreme Court, Place 6",0690,1959,1115,3085,4184,73.73%,2305,587,65,29,2986
"Justice, Supreme Court, Place 6",0691,10,2,12,34,35.29%,3,7,0,2,12
"Justice, Supreme Court, Place 6",0692,1001,717,1718,2626,65.42%,1192,395,55,22,1664
"Justice, Supreme Court, Place 6",0693,303,116,419,651,64.36%,101,279,10,6,396
"Justice, Supreme Court, Place 6",0694,420,137,557,817,68.18%,350,166,7,6,529
"Justice, Supreme Court, Place 6",0695,455,320,775,1646,47.08%,445,265,23,11,744
"Justice, Supreme Court, Place 6",0696,600,373,973,2098,46.38%,555,344,27,14,940
"Justice, Supreme Court, Place 6",0697,1517,941,2458,4307,57.07%,519,1804,28,24,2375
"Justice, Supreme Court, Place 6",0698,1137,659,1796,2948,60.92%,157,1541,19,14,1731
"Justice, Supreme Court, Place 6",0699,1032,566,1598,2288,69.84%,969,473,47,8,1497
"Justice, Supreme Court, Place 6",0700,531,287,818,1313,62.30%,625,135,20,4,784
"Justice, Supreme Court, Place 6",0701,142,115,257,554,46.39%,123,114,5,4,246
"Justice, Supreme Court, Place 6",0702,150,123,273,549,49.73%,26,228,5,2,261
"Justice, Supreme Court, Place 6",0703,743,616,1359,1845,73.66%,920,298,52,13,1283
"Justice, Supreme Court, Place 6",0704,1336,701,2037,2882,70.68%,1580,328,36,15,1959
"Justice, Supreme Court, Place 6",0705,358,238,596,1520,39.21%,53,519,3,3,578
"Justice, Supreme Court, Place 6",0706,222,135,357,529,67.49%,155,184,10,1,350
"Justice, Supreme Court, Place 6",0707,284,135,420,707,59.41%,232,150,14,4,400
"Justice, Supreme Court, Place 6",0708,109,95,204,568,35.92%,89,96,5,4,194
"Justice, Supreme Court, Place 6",0709,2997,1297,4294,6239,68.83%,2415,1628,80,32,4155
"Justice, Supreme Court, Place 6",0710,881,602,1483,2023,73.31%,820,505,54,16,1395
"Justice, Supreme Court, Place 6",0711,1493,701,2194,3351,65.47%,1241,769,46,25,2081
"Justice, Supreme Court, Place 6",0712,1205,858,2063,3348,61.62%,783,1178,37,18,2016
"Justice, Supreme Court, Place 6",0713,666,436,1102,1827,60.32%,536,489,33,8,1066
"Justice, Supreme Court, Place 6",0714,77,3,80,304,26.32%,50,25,2,0,77
"Justice, Supreme Court, Place 6",0715,405,326,731,1380,52.97%,340,335,13,12,700
"Justice, Supreme Court, Place 6",0716,977,522,1599,2670,59.89%,1071,415,37,15,1538
"Justice, Supreme Court, Place 6",0717,826,362,1188,1927,61.65%,141,985,6,15,1147
"Justice, Supreme Court, Place 6",0718,1844,1019,2863,4050,70.69%,1835,767,78,21,2701
"Justice, Supreme Court, Place 6",0719,508,260,768,1617,47.50%,399,306,14,7,726
"Justice, Supreme Court, Place 6",0720,1575,1044,2619,3903,67.10%,1792,663,64,17,2536
"Justice, Supreme Court, Place 6",0721,1335,637,1972,2842,69.39%,1239,553,64,21,1877
"Justice, Supreme Court, Place 6",0722,1895,542,2537,4357,58.23%,137,2280,23,11,2451
"Justice, Supreme Court, Place 6",0723,749,329,1078,1760,61.25%,210,805,9,10,1034
"Justice, Supreme Court, Place 6",0724,325,170,495,716,69.13%,333,131,7,5,476
"Justice, Supreme Court, Place 6",0725,953,329,1282,2124,60.36%,489,695,19,15,1218
"Justice, Supreme Court, Place 6",0726,1141,304,1445,1987,72.72%,1201,153,32,13,1399
"Justice, Supreme Court, Place 6",0727,935,466,1401,2488,56.31%,313,1000,25,20,1358
"Justice, Supreme Court, Place 6",0728,343,208,551,881,62.54%,289,207,20,8,524
"Justice, Supreme Court, Place 6",0729,208,93,301,446,67.49%,170,115,2,3,290
"Justice, Supreme Court, Place 6",0730,808,437,1245,1630,76.38%,806,332,34,8,1180
"Justice, Supreme Court, Place 6",0731,122,36,158,373,42.36%,25,116,5,0,146
"Justice, Supreme Court, Place 6",0732,701,543,1244,1895,65.65%,679,434,53,15,1181
"Justice, Supreme Court, Place 6",0733,25,62,87,172,50.58%,26,49,0,5,80
"Justice, Supreme Court, Place 6",0734,3213,1114,4327,5952,72.70%,2793,1298,93,25,4209
"Justice, Supreme Court, Place 6",0735,9,0,9,23,39.13%,7,0,1,1,9
"Justice, Supreme Court, Place 6",0736,6,1,7,21,33.33%,1,5,0,0,6
"Justice, Supreme Court, Place 6",0737,25,5,30,53,56.60%,24,6,0,0,30
"Justice, Supreme Court, Place 6",0738,470,219,689,1294,53.25%,71,585,5,11,672
"Justice, Supreme Court, Place 6",0739,1006,490,1496,2872,52.09%,612,787,28,21,1448
"Justice, Supreme Court, Place 6",0740,233,205,438,935,46.84%,221,191,8,6,426
"Justice, Supreme Court, Place 6",0741,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0742,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0743,27,4,31,199,15.58%,12,17,0,1,30
"Justice, Supreme Court, Place 6",0744,848,509,1357,2024,67.05%,825,427,41,10,1303
"Justice, Supreme Court, Place 6",0745,1068,542,1610,2396,67.20%,953,513,45,22,1533
"Justice, Supreme Court, Place 6",0746,230,151,381,707,53.89%,168,170,16,6,360
"Justice, Supreme Court, Place 6",0747,1200,873,2073,3490,59.40%,903,1031,36,33,2003
"Justice, Supreme Court, Place 6",0748,421,307,728,1319,55.19%,293,364,32,13,702
"Justice, Supreme Court, Place 6",0749,99,57,156,359,43.45%,25,114,2,2,143
"Justice, Supreme Court, Place 6",0750,264,147,411,720,57.08%,215,160,9,3,387
"Justice, Supreme Court, Place 6",0751,1668,1254,2922,4451,65.65%,1845,862,83,34,2824
"Justice, Supreme Court, Place 6",0752,572,277,849,1511,56.19%,569,212,21,10,812
"Justice, Supreme Court, Place 6",0753,106,61,167,260,64.23%,103,52,5,3,163
"Justice, Supreme Court, Place 6",0754,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0755,1050,896,1946,3569,54.53%,669,1128,46,19,1862
"Justice, Supreme Court, Place 6",0756,582,300,882,1539,57.31%,286,531,15,10,842
"Justice, Supreme Court, Place 6",0757,1417,690,2107,3498,60.23%,318,1689,20,23,2050
"Justice, Supreme Court, Place 6",0758,1996,783,2779,3781,73.50%,2117,455,67,16,2655
"Justice, Supreme Court, Place 6",0759,1112,590,1702,2625,64.84%,966,596,40,14,1616
"Justice, Supreme Court, Place 6",0760,2347,647,2994,4154,72.08%,2402,388,74,15,2879
"Justice, Supreme Court, Place 6",0761,917,219,1136,1464,77.60%,795,250,27,9,1081
"Justice, Supreme Court, Place 6",0762,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0763,255,308,564,1184,47.64%,176,344,9,8,537
"Justice, Supreme Court, Place 6",0764,2274,1050,3324,4931,67.41%,1991,1118,78,27,3214
"Justice, Supreme Court, Place 6",0765,1393,815,2208,3967,55.66%,722,1332,45,30,2129
"Justice, Supreme Court, Place 6",0766,72,92,164,383,42.82%,34,105,3,4,146
"Justice, Supreme Court, Place 6",0767,20,15,35,90,38.89%,22,9,0,2,33
"Justice, Supreme Court, Place 6",0768,2855,1159,4014,5364,74.83%,3035,726,98,25,3884
"Justice, Supreme Court, Place 6",0769,117,5,122,161,75.78%,5,113,1,0,119
"Justice, Supreme Court, Place 6",0770,58,48,106,262,40.46%,39,58,3,2,102
"Justice, Supreme Court, Place 6",0771,703,537,1240,2378,52.14%,571,564,32,20,1187
"Justice, Supreme Court, Place 6",0772,2932,1002,3934,5617,70.04%,2844,847,88,22,3801
"Justice, Supreme Court, Place 6",0773,892,550,1442,2648,54.46%,336,1008,11,6,1361
"Justice, Supreme Court, Place 6",0774,117,74,191,301,63.46%,41,145,0,1,187
"Justice, Supreme Court, Place 6",0775,33,1,34,83,40.96%,0,33,0,0,33
"Justice, Supreme Court, Place 6",0776,1115,741,1856,2855,65.01%,1025,702,35,24,1786
"Justice, Supreme Court, Place 6",0777,83,123,206,642,32.09%,47,142,5,4,198
"Justice, Supreme Court, Place 6",0778,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0779,295,221,516,1146,45.03%,154,320,5,4,483
"Justice, Supreme Court, Place 6",0780,136,114,250,579,43.18%,100,129,5,4,238
"Justice, Supreme Court, Place 6",0781,1152,655,1807,3716,48.63%,618,970,35,16,1639
"Justice, Supreme Court, Place 6",0782,851,532,1383,2188,63.21%,772,486,41,17,1316
"Justice, Supreme Court, Place 6",0783,103,43,146,265,55.09%,78,58,1,0,137
"Justice, Supreme Court, Place 6",0784,430,156,586,1071,54.72%,7,557,1,0,565
"Justice, Supreme Court, Place 6",0785,66,55,121,310,39.03%,63,53,1,2,119
"Justice, Supreme Court, Place 6",0786,193,277,470,1297,36.24%,127,303,7,15,452
"Justice, Supreme Court, Place 6",0787,154,76,230,487,47.23%,74,141,3,0,218
"Justice, Supreme Court, Place 6",0788,156,58,214,481,44.49%,64,130,8,2,204
"Justice, Supreme Court, Place 6",0789,3,1,4,4,100.00%,0,3,0,1,4
"Justice, Supreme Court, Place 6",0790,1,0,1,4,25.00%,0,1,0,0,1
"Justice, Supreme Court, Place 6",0791,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0792,549,409,958,1834,52.24%,206,691,8,8,913
"Justice, Supreme Court, Place 6",0793,890,338,1228,2437,50.39%,663,489,21,14,1187
"Justice, Supreme Court, Place 6",0794,575,484,1059,2602,40.70%,71,936,12,7,1026
"Justice, Supreme Court, Place 6",0795,265,255,520,1207,43.08%,145,329,7,5,486
"Justice, Supreme Court, Place 6",0796,145,92,237,485,48.87%,110,110,7,2,229
"Justice, Supreme Court, Place 6",0797,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0798,176,263,439,496,88.51%,118,270,7,8,403
"Justice, Supreme Court, Place 6",0799,65,12,77,146,52.74%,14,57,2,1,74
"Justice, Supreme Court, Place 6",0800,1188,795,1983,2817,70.39%,1252,566,55,25,1898
"Justice, Supreme Court, Place 6",0801,68,55,123,253,48.62%,36,77,4,0,117
"Justice, Supreme Court, Place 6",0802,98,58,156,299,52.17%,29,106,7,8,150
"Justice, Supreme Court, Place 6",0803,1305,530,1935,2718,71.19%,1381,437,23,15,1856
"Justice, Supreme Court, Place 6",0804,1810,960,2770,4348,63.71%,1576,1006,45,32,2659
"Justice, Supreme Court, Place 6",0805,1509,529,2038,2812,72.48%,1556,333,55,22,1966
"Justice, Supreme Court, Place 6",0806,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0807,653,402,1055,2001,52.72%,146,849,17,10,1022
"Justice, Supreme Court, Place 6",0808,42,26,68,84,80.95%,25,26,7,3,61
"Justice, Supreme Court, Place 6",0809,216,27,86,31.40%,9,16,0,0,25
"Justice, Supreme Court, Place 6",0810,30,48,78,215,36.28%,18,48,1,2,69
"Justice, Supreme Court, Place 6",0811,39,106,145,271,53.51%,25,110,3,1,139
"Justice, Supreme Court, Place 6",0812,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0813,1969,1258,3227,5423,59.51%,1449,1581,70,32,3132
"Justice, Supreme Court, Place 6",0814,1774,955,2729,4503,60.60%,560,2011,39,17,2627
"Justice, Supreme Court, Place 6",0815,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0816,20,13,33,76,43.42%,6,25,1,0,32
"Justice, Supreme Court, Place 6",0817,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0818,134,101,235,527,44.59%,42,181,1,4,228
"Justice, Supreme Court, Place 6",0819,97,45,142,238,59.66%,94,33,2,2,131
"Justice, Supreme Court, Place 6",0820,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0821,354,203,557,1206,46.19%,44,481,5,5,535
"Justice, Supreme Court, Place 6",0822,584,282,866,1544,56.09%,26,805,7,3,841
"Justice, Supreme Court, Place 6",0823,1854,1015,2869,4710,60.91%,1378,1283,63,30,2754
"Justice, Supreme Court, Place 6",0824,985,471,1456,2729,53.35%,285,1071,25,20,1401
"Justice, Supreme Court, Place 6",0825,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0826,153,89,242,342,70.76%,133,87,7,2,229
"Justice, Supreme Court, Place 6",0827,169,186,355,997,35.61%,121,202,8,8,339
"Justice, Supreme Court, Place 6",0828,1074,343,1417,1875,75.57%,1101,212,37,9,1359
"Justice, Supreme Court, Place 6",0829,107,56,163,266,61.28%,32,124,5,1,162
"Justice, Supreme Court, Place 6",0830,0,0,0,1,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0831,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0832,109,46,155,351,44.16%,42,103,0,3,148
"Justice, Supreme Court, Place 6",0833,8,1,9,20,45.00%,0,9,0,0,9
"Justice, Supreme Court, Place 6",0834,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0835,87,53,140,292,47.95%,33,98,2,1,134
"Justice, Supreme Court, Place 6",0836,8,3,11,19,57.89%,0,10,0,0,10
"Justice, Supreme Court, Place 6",0837,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0838,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0839,355,240,595,1122,53.03%,97,445,14,6,562
"Justice, Supreme Court, Place 6",0840,712,251,963,1621,59.41%,294,618,15,7,934
"Justice, Supreme Court, Place 6",0841,0,2,2,0,0.00%,0,2,0,0,2
"Justice, Supreme Court, Place 6",0842,989,715,1704,3091,55.13%,691,891,37,18,1637
"Justice, Supreme Court, Place 6",0843,0,2,2,0,0.00%,0,2,0,0,2
"Justice, Supreme Court, Place 6",0844,2,4,6,1,3,46.1,5%,1,4,0,0,5
"Justice, Supreme Court, Place 6",0845,86,10,96,100,96.00%,56,33,1,1,91
"Justice, Supreme Court, Place 6",0846,70,29,99,210,47.14%,3,89,1,2,95
"Justice, Supreme Court, Place 6",0847,797,321,1118,1804,61.97%,279,781,15,7,1082
"Justice, Supreme Court, Place 6",0848,782,431,1213,1873,64.76%,366,779,10,13,1168
"Justice, Supreme Court, Place 6",0849,553,514,1067,2073,51.47%,312,665,8,17,1002
"Justice, Supreme Court, Place 6",0850,87,38,125,205,60.98%,47,70,2,0,119
"Justice, Supreme Court, Place 6",0851,2194,816,3010,4317,69.72%,1846,941,80,40,2907
"Justice, Supreme Court, Place 6",0852,0,4,4,2,200.00%,0,4,0,0,4
"Justice, Supreme Court, Place 6",0853,1414,605,2019,2773,72.81%,1476,401,51,11,1939
"Justice, Supreme Court, Place 6",0854,41,30,71,175,40.57%,6,64,0,0,70
"Justice, Supreme Court, Place 6",0855,4,13,17,18,94.44%,9,8,0,0,17
"Justice, Supreme Court, Place 6",0856,0,4,4,0,0.00%,1,2,0,0,3
"Justice, Supreme Court, Place 6",0857,0,0,0,1,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0858,132,18,150,372,40.32%,4,138,1,1,144
"Justice, Supreme Court, Place 6",0859,309,201,510,860,59.30%,97,394,7,3,501
"Justice, Supreme Court, Place 6",0860,0,1,1,0,0.00%,1,0,0,0,1
"Justice, Supreme Court, Place 6",0861,705,319,1024,1786,57.33%,167,803,18,7,995
"Justice, Supreme Court, Place 6",0862,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0863,210,69,279,620,45.00%,9,263,0,1,273
"Justice, Supreme Court, Place 6",0864,497,609,1106,2464,44.89%,254,781,15,13,1063
"Justice, Supreme Court, Place 6",0865,9,2,11,23,47.83%,0,11,0,0,11
"Justice, Supreme Court, Place 6",0866,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0867,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0868,573,586,1159,2292,50.57%,321,751,20,19,1111
"Justice, Supreme Court, Place 6",0869,153,76,229,473,48.41%,31,184,5,0,220
"Justice, Supreme Court, Place 6",0870,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0871,3,0,3,4,75.00%,0,3,0,0,3
"Justice, Supreme Court, Place 6",0872,13,5,18,66,27.27%,9,6,0,1,16
"Justice, Supreme Court, Place 6",0873,253,125,378,701,53.92%,89,274,5,3,371
"Justice, Supreme Court, Place 6",0874,1535,748,2283,3107,73.48%,1648,494,52,16,2210
"Justice, Supreme Court, Place 6",0875,1721,927,2648,4031,65.69%,1183,1299,47,22,2551
"Justice, Supreme Court, Place 6",0876,1630,639,2269,3013,75.31%,1578,568,37,16,2199
"Justice, Supreme Court, Place 6",0877,1032,542,1674,2480,67.50%,660,928,30,15,1633
"Justice, Supreme Court, Place 6",0878,853,350,1203,1641,73.31%,956,161,33,16,1166
"Justice, Supreme Court, Place 6",0879,890,527,1417,2334,60.71%,605,721,28,17,1371
"Justice, Supreme Court, Place 6",0880,1070,472,1542,2007,76.83%,1126,318,30,8,1482
"Justice, Supreme Court, Place 6",0881,1511,877,2388,3619,65.99%,701,1557,37,19,2314
"Justice, Supreme Court, Place 6",0882,941,457,1398,2328,60.05%,729,584,30,11,1354
"Justice, Supreme Court, Place 6",0883,1920,1042,2962,4651,63.69%,466,2348,41,25,2880
"Justice, Supreme Court, Place 6",0884,119,37,156,330,47.27%,20,127,0,2,149
"Justice, Supreme Court, Place 6",0885,1222,541,1763,2466,71.49%,993,665,30,10,1698
"Justice, Supreme Court, Place 6",0886,301,154,455,713,63.81%,220,168,20,8,416
"Justice, Supreme Court, Place 6",0887,142,83,225,313,71.88%,108,79,18,3,208
"Justice, Supreme Court, Place 6",0888,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0889,22,0,22,61,36.07%,14,7,1,0,22
"Justice, Supreme Court, Place 6",0890,325,118,443,994,44.57%,159,238,15,7,419
"Justice, Supreme Court, Place 6",0891,540,392,932,1413,65.96%,357,492,21,12,882
"Justice, Supreme Court, Place 6",0892,195,130,325,696,46.70%,81,206,15,5,307
"Justice, Supreme Court, Place 6",0893,1,0,1,5,20.00%,0,1,0,0,1
"Justice, Supreme Court, Place 6",0894,0,31,31,0,0.00%,4,18,6,0,28
"Justice, Supreme Court, Place 6",0895,337,325,662,784,84.44%,299,283,20,15,617
"Justice, Supreme Court, Place 6",0896,670,303,973,1437,67.71%,365,489,30,18,902
"Justice, Supreme Court, Place 6",0897,742,375,1117,1624,68.78%,576,468,25,12,1081
"Justice, Supreme Court, Place 6",0898,0,0,0,2,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0899,4,0,4,8,50.00%,0,3,1,0,4
