Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Nathan Hecht,DEM Michele Petty,LIB Mark Ash,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 6",0131,607,374,981,1721,57.00%,220,698,17,10,945
"Justice, Supreme Court, Place 6",0132,1121,397,1518,2449,61.98%,27,1431,7,6,1471
"Justice, Supreme Court, Place 6",0133,1088,940,2028,2605,77.85%,1193,629,54,26,1902
"Justice, Supreme Court, Place 6",0134,420,392,812,1444,56.23%,327,407,26,10,770
"Justice, Supreme Court, Place 6",0135,1431,634,2065,2750,75.09%,1284,585,64,18,1951
"Justice, Supreme Court, Place 6",0136,985,451,1436,2111,68.02%,42,1319,19,12,1392
"Justice, Supreme Court, Place 6",0137,305,193,498,740,67.30%,232,205,16,10,463
"Justice, Supreme Court, Place 6",0138,661,259,920,1749,52.60%,17,866,5,5,893
"Justice, Supreme Court, Place 6",0139,1297,747,2044,2746,74.44%,963,844,67,28,1902
"Justice, Supreme Court, Place 6",0140,1317,683,2000,3104,64.43%,276,1570,45,19,1910
"Justice, Supreme Court, Place 6",0141,181,143,324,872,37.16%,183,110,4,8,305
"Justice, Supreme Court, Place 6",0142,212,171,383,870,44.02%,94,255,5,8,362
"Justice, Supreme Court, Place 6",0143,2999,660,3659,4598,79.58%,2468,995,62,20,3545
"Justice, Supreme Court, Place 6",0144,477,204,681,1143,59.58%,10,650,2,1,663
"Justice, Supreme Court, Place 6",0145,663,245,908,1580,57.47%,13,868,4,5,890
"Justice, Supreme Court, Place 6",0146,759,614,1373,1953,70.30%,558,678,46,18,1300
"Justice, Supreme Court, Place 6",0147,1256,485,1741,2813,61.89%,189,1489,16,10,1704
"Justice, Supreme Court, Place 6",0148,911,924,1835,2467,74.38%,755,893,48,27,1723
"Justice, Supreme Court, Place 6",0149,2866,1322,4188,6103,68.62%,1771,2152,88,41,4052
"Justice, Supreme Court, Place 6",0150,539,207,746,1212,61.55%,15,699,3,7,724
"Justice, Supreme Court, Place 6",0151,316,148,464,846,54.85%,18,420,0,4,442
"Justice, Supreme Court, Place 6",0152,483,602,1085,2701,40.17%,208,782,18,23,1031
"Justice, Supreme Court, Place 6",0153,328,437,765,1755,43.59%,172,514,17,14,717
"Justice, Supreme Court, Place 6",0154,593,360,953,2133,44.68%,192,648,14,19,873
"Justice, Supreme Court, Place 6",0155,1957,834,2791,4087,68.29%,1815,803,37,21,2676
"Justice, Supreme Court, Place 6",0156,1428,457,1885,3134,60.15%,44,1735,17,9,1805
"Justice, Supreme Court, Place 6",0157,881,382,1263,2311,54.65%,39,1171,8,8,1226
"Justice, Supreme Court, Place 6",0158,1304,435,1739,3016,57.66%,20,1662,6,5,1693
"Justice, Supreme Court, Place 6",0159,313,187,500,976,51.23%,59,408,7,3,477
"Justice, Supreme Court, Place 6",0160,246,140,386,688,56.10%,9,358,3,0,370
"Justice, Supreme Court, Place 6",0161,395,190,585,1030,56.80%,8,555,3,1,567
"Justice, Supreme Court, Place 6",0162,232,262,494,1249,39.55%,126,302,13,9,450
"Justice, Supreme Court, Place 6",0163,778,635,1413,3054,46.27%,377,846,20,24,1267
"Justice, Supreme Court, Place 6",0164,505,304,809,1434,56.42%,7,776,3,2,788
"Justice, Supreme Court, Place 6",0165,919,557,1476,2284,64.62%,869,474,42,28,1413
"Justice, Supreme Court, Place 6",0166,281,311,592,1016,58.27%,178,353,21,15,567
"Justice, Supreme Court, Place 6",0167,5,2,7,23,30.43%,0,7,0,0,7
"Justice, Supreme Court, Place 6",0168,189,126,315,519,60.69%,4,287,5,1,297
"Justice, Supreme Court, Place 6",0169,1060,433,1493,2531,58.99%,24,1424,5,5,1458
"Justice, Supreme Court, Place 6",0170,481,353,834,1887,44.20%,377,384,16,13,790
"Justice, Supreme Court, Place 6",0171,514,294,808,1613,50.09%,21,745,5,8,779
"Justice, Supreme Court, Place 6",0172,161,147,308,600,51.33%,91,176,12,7,286
"Justice, Supreme Court, Place 6",0173,1799,619,2418,3105,77.87%,1788,472,54,15,2329
"Justice, Supreme Court, Place 6",0174,1554,767,2321,3159,73.47%,1493,621,58,20,2192
