Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Richard Risinger,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0684,72,24,96,187,51.34%,54,34,88
"District Judge, 80th Judicial District",0685,167,29,196,326,60.12%,84,98,182
"District Judge, 80th Judicial District",0686,46,34,80,196,40.82%,18,57,75
"District Judge, 80th Judicial District",0687,1084,641,1725,2497,69.08%,1121,482,1603
"District Judge, 80th Judicial District",0688,1815,673,2488,3266,76.18%,1937,421,2358
"District Judge, 80th Judicial District",0689,505,651,1156,2276,50.79%,514,546,1060
"District Judge, 80th Judicial District",0690,1955,1115,3081,4184,73.64%,2355,584,2939
"District Judge, 80th Judicial District",0691,10,2,12,34,35.29%,3,9,12
"District Judge, 80th Judicial District",0692,999,717,1716,2626,65.35%,1224,405,1629
"District Judge, 80th Judicial District",0693,303,116,419,651,64.36%,99,282,381
"District Judge, 80th Judicial District",0694,420,137,557,817,68.18%,353,175,528
"District Judge, 80th Judicial District",0695,454,320,774,1646,47.02%,470,265,735
"District Judge, 80th Judicial District",0696,600,373,973,2098,46.38%,588,346,934
"District Judge, 80th Judicial District",0697,1516,941,2457,4307,57.05%,538,1818,2356
"District Judge, 80th Judicial District",0698,1137,659,1796,2948,60.92%,167,1560,1727
"District Judge, 80th Judicial District",0699,1031,566,1597,2288,69.80%,988,466,1454
"District Judge, 80th Judicial District",0700,531,287,818,1313,62.30%,637,136,773
"District Judge, 80th Judicial District",0701,142,115,257,554,46.39%,124,119,243
"District Judge, 80th Judicial District",0702,150,123,273,549,49.73%,28,231,259
"District Judge, 80th Judicial District",0703,742,616,1358,1845,73.60%,929,329,1258
"District Judge, 80th Judicial District",0704,1334,701,2035,2882,70.61%,1616,315,1931
"District Judge, 80th Judicial District",0705,358,238,596,1520,39.21%,56,516,572
"District Judge, 80th Judicial District",0706,222,135,357,529,67.49%,162,186,348
"District Judge, 80th Judicial District",0707,284,135,420,707,59.41%,233,161,394
"District Judge, 80th Judicial District",0708,109,95,204,568,35.92%,96,96,192
"District Judge, 80th Judicial District",0709,2996,1297,4293,6239,68.81%,2492,1619,4111
"District Judge, 80th Judicial District",0710,877,602,1479,2023,73.11%,809,545,1354
"District Judge, 80th Judicial District",0711,1492,701,2193,3351,65.44%,1250,797,2047
"District Judge, 80th Judicial District",0712,1200,858,2058,3348,61.47%,812,1179,1991
"District Judge, 80th Judicial District",0713,665,436,1101,1827,60.26%,565,483,1048
"District Judge, 80th Judicial District",0714,77,3,80,304,26.32%,50,24,74
"District Judge, 80th Judicial District",0715,405,326,731,1380,52.97%,353,335,688
"District Judge, 80th Judicial District",0716,977,522,1599,2670,59.89%,1107,420,1527
"District Judge, 80th Judicial District",0717,826,362,1188,1927,61.65%,148,989,1137
"District Judge, 80th Judicial District",0718,1844,1019,2863,4050,70.69%,1835,812,2647
"District Judge, 80th Judicial District",0719,508,260,768,1617,47.50%,408,309,717
"District Judge, 80th Judicial District",0720,1575,1044,2619,3903,67.10%,1846,665,2511
"District Judge, 80th Judicial District",0721,1334,637,1971,2842,69.35%,1264,569,1833
"District Judge, 80th Judicial District",0722,1892,542,2534,4357,58.16%,144,2288,2432
"District Judge, 80th Judicial District",0723,747,329,1076,1760,61.14%,218,805,1023
"District Judge, 80th Judicial District",0724,325,170,495,716,69.13%,326,142,468
"District Judge, 80th Judicial District",0725,953,329,1282,2124,60.36%,506,702,1208
"District Judge, 80th Judicial District",0726,1141,304,1445,1987,72.72%,1239,143,1382
"District Judge, 80th Judicial District",0727,931,466,1397,2488,56.15%,334,1003,1337
"District Judge, 80th Judicial District",0728,343,208,551,881,62.54%,293,219,512
"District Judge, 80th Judicial District",0729,208,93,301,446,67.49%,172,113,285
"District Judge, 80th Judicial District",0730,800,437,1237,1630,75.89%,781,359,1140
"District Judge, 80th Judicial District",0731,121,36,157,373,42.09%,26,119,145
"District Judge, 80th Judicial District",0732,701,543,1244,1895,65.65%,725,436,1161
"District Judge, 80th Judicial District",0733,25,62,87,172,50.58%,25,54,79
"District Judge, 80th Judicial District",0734,3209,1114,4323,5952,72.63%,2849,1309,4158
"District Judge, 80th Judicial District",0735,9,0,9,23,39.13%,9,0,9
"District Judge, 80th Judicial District",0736,6,1,7,21,33.33%,1,5,6
"District Judge, 80th Judicial District",0737,25,5,30,53,56.60%,24,6,30
"District Judge, 80th Judicial District",0738,470,219,689,1294,53.25%,80,589,669
"District Judge, 80th Judicial District",0739,1005,490,1495,2872,52.05%,643,788,1431
"District Judge, 80th Judicial District",0740,233,205,438,935,46.84%,224,194,418
"District Judge, 80th Judicial District",0741,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0742,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0743,27,4,31,199,15.58%,12,17,29
"District Judge, 80th Judicial District",0744,848,509,1357,2024,67.05%,855,420,1275
"District Judge, 80th Judicial District",0745,1066,542,1608,2396,67.11%,978,529,1507
"District Judge, 80th Judicial District",0746,230,151,381,707,53.89%,176,172,348
"District Judge, 80th Judicial District",0747,1200,873,2073,3490,59.40%,945,1043,1988
"District Judge, 80th Judicial District",0748,420,307,727,1319,55.12%,314,370,684
"District Judge, 80th Judicial District",0749,99,57,156,359,43.45%,30,114,144
"District Judge, 80th Judicial District",0750,264,147,411,720,57.08%,228,162,390
"District Judge, 80th Judicial District",0751,1664,1254,2918,4451,65.56%,1909,872,2781
"District Judge, 80th Judicial District",0752,571,277,848,1511,56.12%,595,212,807
"District Judge, 80th Judicial District",0753,106,61,167,260,64.23%,107,56,163
"District Judge, 80th Judicial District",0754,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0755,1048,896,1944,3569,54.47%,725,1113,1838
"District Judge, 80th Judicial District",0756,582,300,882,1539,57.31%,295,541,836
"District Judge, 80th Judicial District",0757,1416,690,2106,3498,60.21%,324,1711,2035
"District Judge, 80th Judicial District",0758,1996,783,2779,3781,73.50%,2160,447,2607
"District Judge, 80th Judicial District",0759,1109,590,1699,2625,64.72%,993,599,1592
"District Judge, 80th Judicial District",0760,2346,647,2993,4154,72.05%,2407,421,2828
"District Judge, 80th Judicial District",0761,917,219,1136,1464,77.60%,774,277,1051
"District Judge, 80th Judicial District",0762,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0763,255,308,563,1184,47.55%,194,337,531
"District Judge, 80th Judicial District",0764,2270,1050,3320,4931,67.33%,2052,1119,3171
"District Judge, 80th Judicial District",0765,1390,815,2205,3967,55.58%,749,1355,2104
"District Judge, 80th Judicial District",0766,71,92,163,383,42.56%,38,106,144
"District Judge, 80th Judicial District",0767,20,15,35,90,38.89%,22,10,32
"District Judge, 80th Judicial District",0768,2854,1159,4013,5364,74.81%,3099,741,3840
"District Judge, 80th Judicial District",0769,117,5,122,161,75.78%,4,114,118
"District Judge, 80th Judicial District",0770,58,48,106,262,40.46%,44,56,100
"District Judge, 80th Judicial District",0771,701,537,1238,2378,52.06%,600,567,1167
"District Judge, 80th Judicial District",0772,2927,1002,3929,5617,69.95%,2853,892,3745
"District Judge, 80th Judicial District",0773,892,550,1442,2648,54.46%,332,1023,1355
"District Judge, 80th Judicial District",0774,116,74,190,301,63.12%,39,143,182
"District Judge, 80th Judicial District",0775,33,1,34,83,40.96%,0,33,33
"District Judge, 80th Judicial District",0776,1113,741,1854,2855,64.94%,1048,718,1766
"District Judge, 80th Judicial District",0777,83,123,206,642,32.09%,56,142,198
"District Judge, 80th Judicial District",0778,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0779,295,221,516,1146,45.03%,160,318,478
"District Judge, 80th Judicial District",0780,136,114,250,579,43.18%,104,127,231
"District Judge, 80th Judicial District",0781,1152,655,1807,3716,48.63%,640,982,1622
"District Judge, 80th Judicial District",0782,851,532,1383,2188,63.21%,813,479,1292
"District Judge, 80th Judicial District",0783,103,43,146,265,55.09%,78,57,135
"District Judge, 80th Judicial District",0784,428,156,584,1071,54.53%,6,561,567
"District Judge, 80th Judicial District",0785,66,55,121,310,39.03%,62,57,119
"District Judge, 80th Judicial District",0786,193,277,470,1297,36.24%,143,305,448
"District Judge, 80th Judicial District",0787,154,76,230,487,47.23%,74,139,213
"District Judge, 80th Judicial District",0788,156,58,214,481,44.49%,70,131,201
"District Judge, 80th Judicial District",0789,3,1,4,4,100.00%,0,3,3
"District Judge, 80th Judicial District",0790,1,0,1,4,25.00%,0,1,1
"District Judge, 80th Judicial District",0791,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0792,549,409,958,1834,52.24%,214,694,908
"District Judge, 80th Judicial District",0793,889,338,1227,2437,50.35%,691,486,1177
"District Judge, 80th Judicial District",0794,575,484,1059,2602,40.70%,68,952,1020
"District Judge, 80th Judicial District",0795,265,255,520,1207,43.08%,146,323,469
"District Judge, 80th Judicial District",0796,145,92,237,485,48.87%,117,107,224
"District Judge, 80th Judicial District",0797,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0798,176,263,439,496,88.51%,126,267,393
"District Judge, 80th Judicial District",0799,65,12,77,146,52.74%,17,56,73
"District Judge, 80th Judicial District",0800,1188,795,1983,2817,70.39%,1296,575,1871
"District Judge, 80th Judicial District",0801,68,55,123,253,48.62%,40,74,114
"District Judge, 80th Judicial District",0802,98,58,156,299,52.17%,29,113,142
"District Judge, 80th Judicial District",0803,1305,530,1935,2718,71.19%,1406,433,1839
"District Judge, 80th Judicial District",0804,1806,960,2766,4348,63.62%,1622,999,2621
"District Judge, 80th Judicial District",0805,1509,529,2038,2812,72.48%,1571,352,1923
"District Judge, 80th Judicial District",0806,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0807,652,402,1054,2001,52.67%,156,851,1007
"District Judge, 80th Judicial District",0808,41,26,67,84,79.76%,29,29,58
"District Judge, 80th Judicial District",0809,216,27,86,31.40%,8,16,24
"District Judge, 80th Judicial District",0810,30,48,78,215,36.28%,21,49,70
"District Judge, 80th Judicial District",0811,39,106,145,271,53.51%,28,108,136
"District Judge, 80th Judicial District",0812,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0813,1967,1258,3225,5423,59.47%,1511,1589,3100
"District Judge, 80th Judicial District",0814,1772,955,2727,4503,60.56%,590,2016,2606
"District Judge, 80th Judicial District",0815,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0816,20,13,33,76,43.42%,6,26,32
"District Judge, 80th Judicial District",0817,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0818,134,101,235,527,44.59%,45,184,229
"District Judge, 80th Judicial District",0819,97,45,142,238,59.66%,80,44,124
"District Judge, 80th Judicial District",0820,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0821,354,203,557,1206,46.19%,44,490,534
"District Judge, 80th Judicial District",0822,584,282,866,1544,56.09%,25,818,843
"District Judge, 80th Judicial District",0823,1849,1015,2864,4710,60.81%,1451,1267,2718
"District Judge, 80th Judicial District",0824,984,471,1455,2729,53.32%,313,1084,1397
"District Judge, 80th Judicial District",0825,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0826,153,89,242,342,70.76%,122,105,227
"District Judge, 80th Judicial District",0827,169,186,355,997,35.61%,133,204,337
"District Judge, 80th Judicial District",0828,1074,343,1417,1875,75.57%,1106,228,1334
"District Judge, 80th Judicial District",0829,107,56,163,266,61.28%,33,128,161
"District Judge, 80th Judicial District",0830,0,0,0,1,0.00%,0,0,0
"District Judge, 80th Judicial District",0831,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0832,109,46,155,351,44.16%,44,101,145
"District Judge, 80th Judicial District",0833,8,1,9,20,45.00%,0,9,9
"District Judge, 80th Judicial District",0834,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0835,87,53,140,292,47.95%,37,96,133
"District Judge, 80th Judicial District",0836,8,3,11,19,57.89%,0,9,9
"District Judge, 80th Judicial District",0837,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0838,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0839,353,240,593,1122,52.85%,106,448,554
"District Judge, 80th Judicial District",0840,712,251,963,1621,59.41%,313,611,924
"District Judge, 80th Judicial District",0841,0,2,2,0,0.00%,0,2,2
"District Judge, 80th Judicial District",0842,987,715,1702,3091,55.06%,741,886,1627
"District Judge, 80th Judicial District",0843,0,2,2,0,0.00%,0,2,2
"District Judge, 80th Judicial District",0844,2,4,6,1,3,46.1,5%,1,4,5
"District Judge, 80th Judicial District",0845,85,10,95,100,95.00%,53,35,88
"District Judge, 80th Judicial District",0846,70,29,99,210,47.14%,5,91,96
"District Judge, 80th Judicial District",0847,795,321,1116,1804,61.86%,292,773,1065
"District Judge, 80th Judicial District",0848,782,431,1213,1873,64.76%,367,787,1154
"District Judge, 80th Judicial District",0849,553,514,1067,2073,51.47%,336,654,990
"District Judge, 80th Judicial District",0850,87,38,125,205,60.98%,49,71,120
"District Judge, 80th Judicial District",0851,2192,816,3008,4317,69.68%,1913,937,2850
"District Judge, 80th Judicial District",0852,0,4,4,2,200.00%,0,4,4
"District Judge, 80th Judicial District",0853,1412,605,2017,2773,72.74%,1493,412,1905
"District Judge, 80th Judicial District",0854,41,30,71,175,40.57%,6,63,69
"District Judge, 80th Judicial District",0855,4,13,17,18,94.44%,9,8,17
"District Judge, 80th Judicial District",0856,0,4,4,0,0.00%,1,2,3
"District Judge, 80th Judicial District",0857,0,0,0,1,0.00%,0,0,0
"District Judge, 80th Judicial District",0858,132,18,150,372,40.32%,4,141,145
"District Judge, 80th Judicial District",0859,309,201,510,860,59.30%,100,397,497
"District Judge, 80th Judicial District",0860,0,1,1,0,0.00%,1,0,1
"District Judge, 80th Judicial District",0861,705,319,1024,1786,57.33%,177,818,995
"District Judge, 80th Judicial District",0862,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0863,210,69,279,620,45.00%,9,262,271
"District Judge, 80th Judicial District",0864,497,609,1106,2464,44.89%,264,777,1041
"District Judge, 80th Judicial District",0865,9,2,11,23,47.83%,0,11,11
"District Judge, 80th Judicial District",0866,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0867,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0868,573,586,1159,2292,50.57%,337,764,1101
"District Judge, 80th Judicial District",0869,153,76,229,473,48.41%,30,187,217
"District Judge, 80th Judicial District",0870,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0871,3,0,3,4,75.00%,0,3,3
"District Judge, 80th Judicial District",0872,13,5,18,66,27.27%,10,6,16
"District Judge, 80th Judicial District",0873,253,125,378,701,53.92%,90,283,373
"District Judge, 80th Judicial District",0874,1534,748,2282,3107,73.45%,1695,472,2167
"District Judge, 80th Judicial District",0875,1719,927,2646,4031,65.64%,1243,1294,2537
"District Judge, 80th Judicial District",0876,1629,639,2268,3013,75.27%,1608,560,2168
"District Judge, 80th Judicial District",0877,1030,542,1672,2480,67.42%,688,929,1617
"District Judge, 80th Judicial District",0878,853,350,1203,1641,73.31%,979,166,1145
"District Judge, 80th Judicial District",0879,890,527,1417,2334,60.71%,642,715,1357
"District Judge, 80th Judicial District",0880,1068,472,1540,2007,76.73%,1141,317,1458
"District Judge, 80th Judicial District",0881,1510,877,2387,3619,65.96%,746,1552,2298
"District Judge, 80th Judicial District",0882,940,457,1397,2328,60.01%,759,576,1335
"District Judge, 80th Judicial District",0883,1918,1042,2960,4651,63.64%,514,2352,2866
"District Judge, 80th Judicial District",0884,118,37,155,330,46.97%,20,129,149
"District Judge, 80th Judicial District",0885,1222,541,1763,2466,71.49%,1025,648,1673
"District Judge, 80th Judicial District",0886,301,154,455,713,63.81%,225,186,411
"District Judge, 80th Judicial District",0887,138,83,221,313,70.61%,120,76,196
"District Judge, 80th Judicial District",0888,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0889,22,0,22,61,36.07%,12,9,21
"District Judge, 80th Judicial District",0890,319,118,437,994,43.96%,153,253,406
"District Judge, 80th Judicial District",0891,539,392,931,1413,65.89%,342,523,865
"District Judge, 80th Judicial District",0892,193,130,323,696,46.41%,87,210,297
"District Judge, 80th Judicial District",0893,1,0,1,5,20.00%,0,1,1
"District Judge, 80th Judicial District",0894,0,31,31,0,0.00%,9,19,28
"District Judge, 80th Judicial District",0895,335,325,660,784,84.18%,247,341,588
"District Judge, 80th Judicial District",0896,670,303,973,1437,67.71%,349,537,886
"District Judge, 80th Judicial District",0897,742,375,1117,1624,68.78%,605,460,1065
"District Judge, 80th Judicial District",0898,0,0,0,2,0.00%,0,0,0
"District Judge, 80th Judicial District",0899,4,0,4,8,50.00%,1,3,4
"District Judge, 80th Judicial District",0900,5,0,5,12,41.67%,1,3,4
"District Judge, 80th Judicial District",0901,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0902,865,621,1486,2065,71.96%,831,536,1367
"District Judge, 80th Judicial District",0903,10,1,11,41,26.83%,6,4,10
"District Judge, 80th Judicial District",0904,0,1,1,1,100.00%,0,1,1
"District Judge, 80th Judicial District",0905,290,168,458,908,50.44%,172,244,416
"District Judge, 80th Judicial District",0906,12,6,18,26,69.23%,9,8,17
"District Judge, 80th Judicial District",0907,60,43,103,134,76.87%,24,77,101
"District Judge, 80th Judicial District",0908,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0909,5,7,12,19,63.16%,5,6,11
"District Judge, 80th Judicial District",0910,55,34,89,226,39.38%,31,51,82
"District Judge, 80th Judicial District",0911,227,79,306,570,53.68%,195,90,285
"District Judge, 80th Judicial District",0912,675,221,896,1235,72.55%,543,289,832
"District Judge, 80th Judicial District",0913,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0914,169,67,236,221,106.79%,177,46,223
"District Judge, 80th Judicial District",0915,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0916,604,182,786,1045,75.22%,629,120,749
"District Judge, 80th Judicial District",0917,280,137,417,481,86.69%,283,100,383
"District Judge, 80th Judicial District",0918,489,135,624,883,70.67%,460,122,582
"District Judge, 80th Judicial District",0919,0,3,3,3,100.00%,1,2,3
"District Judge, 80th Judicial District",0920,6,0,6,13,46.15%,6,0,6
"District Judge, 80th Judicial District",0921,71,9,80,87,91.95%,61,18,79
"District Judge, 80th Judicial District",0922,0,2,2,0,0.00%,1,1,2
"District Judge, 80th Judicial District",0923,663,87,750,826,90.80%,563,158,721
"District Judge, 80th Judicial District",0924,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0925,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0926,351,1,20,481,621,77.46%,356,98,454
"District Judge, 80th Judicial District",0927,84,74,158,262,60.31%,76,73,149
"District Judge, 80th Judicial District",0928,4,2,6,9,66.67%,0,6,6
"District Judge, 80th Judicial District",0929,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0930,200,77,277,567,48.85%,4,264,268
"District Judge, 80th Judicial District",0931,48,53,101,122,82.79%,45,42,87
"District Judge, 80th Judicial District",0932,0,5,5,0,0.00%,1,4,5
"District Judge, 80th Judicial District",0933,233,1,21,354,566,62.54%,89,248,337
"District Judge, 80th Judicial District",0934,12,1,13,41,31.71%,6,7,13
"District Judge, 80th Judicial District",0935,8,17,25,65,38.46%,12,12,24
"District Judge, 80th Judicial District",0936,12,10,22,70,31.43%,6,13,19
"District Judge, 80th Judicial District",0937,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0938,73,14,87,256,33.98%,23,60,83
"District Judge, 80th Judicial District",0939,1,0,1,1,100.00%,0,1,1
"District Judge, 80th Judicial District",0940,1,0,1,13,7.69%,0,1,1
"District Judge, 80th Judicial District",0941,13,9,22,25,88.00%,18,4,22
"District Judge, 80th Judicial District",0942,68,24,92,159,57.86%,67,18,85
"District Judge, 80th Judicial District",0943,296,63,359,536,66.98%,229,98,327
"District Judge, 80th Judicial District",0944,30,6,36,39,92.31%,30,4,34
"District Judge, 80th Judicial District",0945,4,7,11,16,68.75%,1,8,9
"District Judge, 80th Judicial District",0946,3,3,6,14,42.86%,0,4,4
"District Judge, 80th Judicial District",0947,320,292,612,822,74.45%,299,245,544
"District Judge, 80th Judicial District",0948,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0949,59,37,96,201,47.76%,43,48,91
"District Judge, 80th Judicial District",0950,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0951,79,44,123,218,56.42%,25,94,119
"District Judge, 80th Judicial District",0952,24,16,40,70,57.14%,18,19,37
"District Judge, 80th Judicial District",0953,59,52,111,420,26.43%,6,104,110
"District Judge, 80th Judicial District",0954,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0955,5,20,25,18,138.89%,15,8,23
"District Judge, 80th Judicial District",0956,5,2,7,12,58.33%,4,3,7
"District Judge, 80th Judicial District",0957,261,115,376,551,68.24%,58,305,363
"District Judge, 80th Judicial District",0958,289,266,555,989,56.12%,119,406,525
"District Judge, 80th Judicial District",0959,0,4,4,0,0.00%,0,4,4
"District Judge, 80th Judicial District",0960,362,143,505,586,86.18%,133,355,488
"District Judge, 80th Judicial District",0961,23,11,34,53,64.15%,7,27,34
"District Judge, 80th Judicial District",0962,24,13,37,73,50.68%,8,25,33
"District Judge, 80th Judicial District",0963,129,69,198,353,56.09%,106,80,186
"District Judge, 80th Judicial District",0964,945,447,1392,1571,88.61%,831,505,1336
"District Judge, 80th Judicial District",0965,93,27,120,355,33.80%,76,37,113
"District Judge, 80th Judicial District",0966,305,160,465,1073,43.34%,124,316,440
"District Judge, 80th Judicial District",0967,48,15,63,98,64.29%,27,35,62
"District Judge, 80th Judicial District",0968,243,83,326,517,63.06%,61,255,316
"District Judge, 80th Judicial District",0969,335,82,417,584,71.40%,3,399,402
"District Judge, 80th Judicial District",0970,212,76,288,704,40.91%,30,238,268
"District Judge, 80th Judicial District",0971,27,21,48,129,37.21%,1,46,47
"District Judge, 80th Judicial District",0972,10,7,17,29,58.62%,11,6,17
"District Judge, 80th Judicial District",0973,49,24,73,107,68.22%,35,33,68
"District Judge, 80th Judicial District",0974,100,71,171,299,57.19%,108,54,162
"District Judge, 80th Judicial District",0975,72,41,113,170,66.47%,52,52,104
"District Judge, 80th Judicial District",0976,159,131,290,684,42.40%,163,105,268
"District Judge, 80th Judicial District",0977,104,83,187,535,34.95%,66,111,177
"District Judge, 80th Judicial District",0978,201,102,303,506,59.88%,51,242,293
"District Judge, 80th Judicial District",0979,56,11,26,42.31%,11,0,11
"District Judge, 80th Judicial District",0980,595,356,951,1323,71.88%,674,218,892
"District Judge, 80th Judicial District",0981,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0982,534,218,752,1021,73.65%,575,137,712
"District Judge, 80th Judicial District",0983,41,28,69,165,41.82%,39,26,65
"District Judge, 80th Judicial District",0984,43,49,92,198,46.46%,7,82,89
"District Judge, 80th Judicial District",0985,172,67,239,336,71.13%,111,110,221
"District Judge, 80th Judicial District",0986,129,86,215,404,53.22%,19,182,201
"District Judge, 80th Judicial District",0987,465,191,656,1138,57.64%,49,585,634
"District Judge, 80th Judicial District",0988,44,21,65,111,58.56%,52,9,61
"District Judge, 80th Judicial District",0989,18,8,26,36,72.22%,12,13,25
"District Judge, 80th Judicial District",0990,37,15,52,154,33.77%,16,29,45
"District Judge, 80th Judicial District",0991,0,0,0,1,0.00%,0,0,0
"District Judge, 80th Judicial District",0992,309,202,511,1015,50.34%,278,208,486
"District Judge, 80th Judicial District",0993,272,91,363,551,65.88%,278,60,338
"District Judge, 80th Judicial District",0994,6,5,11,8,137.50%,2,8,10
"District Judge, 80th Judicial District",0995,596,190,786,1269,61.94%,30,724,754
"District Judge, 80th Judicial District",0996,297,125,422,699,60.37%,227,166,393
"District Judge, 80th Judicial District",0997,429,328,757,1439,52.61%,118,615,733
"District Judge, 80th Judicial District",0998,15,9,24,35,68.57%,16,7,23
"District Judge, 80th Judicial District",0999,30,16,46,65,70.77%,36,7,43
"District Judge, 80th Judicial District",1000,105,0,105,458,22.93%,18,81,99
"District Judge, 80th Judicial District",1001,496,294,790,1566,50.45%,151,593,744
"District Judge, 80th Judicial District",1002,464,314,778,1738,44.76%,82,662,744
"District Judge, 80th Judicial District",1003,0,0,0,1,0.00%,0,0,0
"District Judge, 80th Judicial District",1004,224,153,377,656,57.47%,185,146,331
"District Judge, 80th Judicial District",1005,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",1006,3,0,3,5,60.00%,3,0,3
"District Judge, 80th Judicial District",1007,555,295,850,1371,62.00%,197,623,820
"District Judge, 80th Judicial District",1008,86,21,107,150,71.33%,82,19,101
"District Judge, 80th Judicial District",1009,3,1,4,8,50.00%,4,0,4
"District Judge, 80th Judicial District",1010,124,74,198,317,62.46%,32,159,191
"District Judge, 80th Judicial District",1011,12,3,15,29,51.72%,4,8,12
"District Judge, 80th Judicial District",1012,395,318,713,1235,57.73%,189,498,687
"District Judge, 80th Judicial District",1013,8,14,22,60,36.67%,15,7,22
"District Judge, 80th Judicial District",1014,9,7,16,36,44.44%,4,12,16
"District Judge, 80th Judicial District",1015,11,7,18,29,62.07%,4,13,17
"District Judge, 80th Judicial District",1016,591,364,955,1626,58.73%,422,489,911
"District Judge, 80th Judicial District",1017,127,50,177,232,76.29%,46,123,169
"District Judge, 80th Judicial District",1018,209,92,301,468,64.32%,136,154,290
"District Judge, 80th Judicial District",1019,426,4,430,1518,28.33%,13,402,415
"District Judge, 80th Judicial District",1020,0,0,0,1,0.00%,0,0,0
"District Judge, 80th Judicial District",1021,1,0,1,2,50.00%,0,1,1
"District Judge, 80th Judicial District",1022,190,30,220,426,51.64%,170,40,210
"District Judge, 80th Judicial District",1023,894,401,1295,1964,65.94%,824,398,1222
"District Judge, 80th Judicial District",1024,113,77,190,259,73.36%,93,78,171
"District Judge, 80th Judicial District",1025,4,0,4,18,22.22%,1,3,4
"District Judge, 80th Judicial District",1026,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",1027,0,1,1,1,100.00%,0,0,0
"District Judge, 80th Judicial District",1028,0,1,1,0,0.00%,1,0,1
"District Judge, 80th Judicial District",1029,1021,641,1662,1802,92.23%,1268,297,1565
"District Judge, 80th Judicial District",1030,397,105,502,655,76.64%,429,52,481
"District Judge, 80th Judicial District",1031,3,3,6,6,100.00%,5,1,6
"District Judge, 80th Judicial District",1032,59,80,139,241,57.68%,99,30,129
"District Judge, 80th Judicial District",1033,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",1034,0,0,0,1,0.00%,0,0,0
"District Judge, 80th Judicial District",1035,24,13,37,139,26.62%,4,32,36
"District Judge, 80th Judicial District",1036,144,46,190,433,43.88%,145,35,180
"District Judge, 80th Judicial District",1037,27,16,43,73,58.90%,22,14,36
"District Judge, 80th Judicial District",1038,133,43,176,266,66.17%,11,162,173
"District Judge, 80th Judicial District",1039,3,5,8,20,40.00%,2,6,8
"District Judge, 80th Judicial District",1040,192,146,338,607,55.68%,177,140,317
"District Judge, 80th Judicial District",1041,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",1042,227,50,277,498,55.62%,78,194,272
"District Judge, 80th Judicial District",1043,12,2,14,31,45.16%,3,11,14
"District Judge, 80th Judicial District",1044,29,5,34,59,57.63%,8,25,33
"District Judge, 80th Judicial District",1045,611,321,932,1439,64.77%,121,782,903
"District Judge, 80th Judicial District",1046,19,18,37,54,68.52%,4,31,35
"District Judge, 80th Judicial District",1047,553,288,851,1242,68.52%,256,559,815
"District Judge, 80th Judicial District",1048,3,1,4,18,22.22%,2,2,4
