Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Richard Risinger,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0103,1915,1065,2980,4751,62.72%,1527,1317,2844
"District Judge, 80th Judicial District",0104,992,238,1230,1847,66.59%,21,1176,1197
"District Judge, 80th Judicial District",0105,462,453,915,2153,42.50%,220,626,846
"District Judge, 80th Judicial District",0106,49,37,86,284,30.28%,40,44,84
"District Judge, 80th Judicial District",0107,412,441,853,1905,44.78%,134,680,814
"District Judge, 80th Judicial District",0108,1193,514,1707,3229,52.86%,873,739,1612
"District Judge, 80th Judicial District",0109,1160,430,1590,2884,55.13%,24,1521,1545
"District Judge, 80th Judicial District",0110,1465,589,2054,2853,71.99%,1217,723,1940
"District Judge, 80th Judicial District",0111,1868,848,2716,3638,74.66%,1956,595,2551
"District Judge, 80th Judicial District",0112,1262,668,1930,2894,66.69%,1328,509,1837
"District Judge, 80th Judicial District",0113,1125,590,1715,2537,67.60%,939,678,1617
"District Judge, 80th Judicial District",0114,1454,546,2000,2650,75.47%,1537,379,1916
"District Judge, 80th Judicial District",0115,598,305,903,1764,51.19%,97,778,875
"District Judge, 80th Judicial District",0116,1626,747,2373,3014,78.73%,1721,507,2228
"District Judge, 80th Judicial District",0117,398,462,860,1878,45.79%,344,468,812
"District Judge, 80th Judicial District",0118,460,148,608,743,81.83%,460,113,573
"District Judge, 80th Judicial District",0119,1924,1265,3189,4892,65.19%,2454,617,3071
"District Judge, 80th Judicial District",0120,1197,632,1829,2986,61.25%,1066,640,1706
"District Judge, 80th Judicial District",0121,193,244,437,679,64.36%,280,135,415
"District Judge, 80th Judicial District",0122,895,349,1244,2199,56.57%,33,1159,1192
"District Judge, 80th Judicial District",0123,440,350,790,1356,58.26%,215,511,726
"District Judge, 80th Judicial District",0124,3522,1281,4803,5952,80.70%,3736,836,4572
"District Judge, 80th Judicial District",0125,896,534,1430,2281,62.69%,805,558,1363
"District Judge, 80th Judicial District",0126,1630,407,2037,2799,72.78%,1726,218,1944
"District Judge, 80th Judicial District",0127,854,182,1036,1703,60.83%,708,279,987
"District Judge, 80th Judicial District",0128,936,736,1672,2257,74.08%,964,543,1507
"District Judge, 80th Judicial District",0129,2294,1449,3743,5495,68.12%,2175,1334,3509
"District Judge, 80th Judicial District",0130,1201,523,1724,2240,76.96%,1208,404,1612
"District Judge, 80th Judicial District",0131,604,374,978,1721,56.83%,222,712,934
"District Judge, 80th Judicial District",0132,1119,397,1516,2449,61.90%,26,1439,1465
"District Judge, 80th Judicial District",0133,1083,940,2023,2605,77.66%,1122,717,1839
"District Judge, 80th Judicial District",0134,419,392,811,1444,56.16%,343,411,754
"District Judge, 80th Judicial District",0135,1424,634,2058,2750,74.84%,1203,687,1890
"District Judge, 80th Judicial District",0136,981,451,1432,2111,67.84%,45,1330,1375
