Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP JuLuette Bartlett-Pack,DEM Erica S. Lee,Totals
"County School Trustee, Position 6, Precinct 1",0410,337,102,439,849,51.71%,78,343,421
"County School Trustee, Position 6, Precinct 1",0412,193,74,267,433,61.66%,12,247,259
"County School Trustee, Position 6, Precinct 1",0417,777,619,1396,2465,56.63%,579,731,1310
"County School Trustee, Position 6, Precinct 1",0418,1057,758,1815,3420,53.07%,628,1091,1719
"County School Trustee, Position 6, Precinct 1",0422,1456,585,2041,3345,61.02%,37,1951,1988
"County School Trustee, Position 6, Precinct 1",0429,1091,777,1868,3929,47.54%,331,1403,1734
"County School Trustee, Position 6, Precinct 1",0449,62,37,99,164,60.37%,12,81,93
"County School Trustee, Position 6, Precinct 1",0450,856,537,1393,2622,53.13%,326,1002,1328
"County School Trustee, Position 6, Precinct 1",0453,559,475,1034,1885,54.85%,313,657,970
"County School Trustee, Position 6, Precinct 1",0454,1226,311,1537,2571,59.78%,11,1483,1494
"County School Trustee, Position 6, Precinct 1",0455,748,216,964,1679,57.42%,23,912,935
"County School Trustee, Position 6, Precinct 1",0457,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 6, Precinct 1",0458,908,271,1179,1893,62.28%,41,1099,1140
"County School Trustee, Position 6, Precinct 1",0462,1318,865,2183,3367,64.84%,727,1318,2045
"County School Trustee, Position 6, Precinct 1",0472,370,337,707,1027,68.84%,283,350,633
"County School Trustee, Position 6, Precinct 1",0474,1146,766,1912,3006,63.61%,1267,542,1809
"County School Trustee, Position 6, Precinct 1",0475,485,473,958,1651,58.03%,393,498,891
"County School Trustee, Position 6, Precinct 1",0476,809,658,1467,2412,60.82%,796,600,1396
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP JuLuette Bartlett-Pack,DEM Erica S. Lee,Totals
"County School Trustee, Position 6, Precinct 1",0489,783,378,1161,1823,63.69%,315,773,1088
"County School Trustee, Position 6, Precinct 1",0494,760,431,1191,2176,54.73%,129,1030,1159
"County School Trustee, Position 6, Precinct 1",0497,1123,303,1426,2226,64.06%,49,1324,1373
"County School Trustee, Position 6, Precinct 1",0501,653,487,1140,1647,69.22%,406,633,1039
"County School Trustee, Position 6, Precinct 1",0506,1470,801,2271,3380,67.19%,341,1839,2180
"County School Trustee, Position 6, Precinct 1",0520,1542,857,2399,4064,59.03%,360,1949,2309
"County School Trustee, Position 6, Precinct 1",0525,1380,610,1990,2947,67.53%,355,1539,1894
"County School Trustee, Position 6, Precinct 1",0528,36,12,48,92,52.17%,3,44,47
"County School Trustee, Position 6, Precinct 1",0536,1332,1195,2527,4576,55.22%,876,1528,2404
"County School Trustee, Position 6, Precinct 1",0537,1454,823,2277,2971,76.64%,1594,555,2149
"County School Trustee, Position 6, Precinct 1",0538,433,237,670,1282,52.26%,16,631,647
"County School Trustee, Position 6, Precinct 1",0540,666,380,1046,1491,70.15%,398,540,938
"County School Trustee, Position 6, Precinct 1",0541,1824,779,2603,4183,62.23%,336,2150,2486
"County School Trustee, Position 6, Precinct 1",0542,997,501,1498,2525,59.33%,80,1371,1451
"County School Trustee, Position 6, Precinct 1",0544,92,53,145,318,45.60%,16,126,142
"County School Trustee, Position 6, Precinct 1",0545,1314,857,2171,3339,65.02%,970,1086,2056
"County School Trustee, Position 6, Precinct 1",0550,1134,629,1763,2847,61.92%,824,874,1698
"County School Trustee, Position 6, Precinct 1",0554,562,340,902,1731,52.11%,135,709,844
"County School Trustee, Position 6, Precinct 1",0555,597,447,1044,2119,49.27%,169,820,989
"County School Trustee, Position 6, Precinct 1",0556,584,421,1005,2249,44.69%,197,761,958
"County School Trustee, Position 6, Precinct 1",0562,201,146,347,645,53.80%,23,308,331
"County School Trustee, Position 6, Precinct 1",0564,1150,713,1863,3096,60.17%,456,1274,1730
"County School Trustee, Position 6, Precinct 1",0573,577,368,945,1618,58.41%,11,910,921
"County School Trustee, Position 6, Precinct 1",0574,98,79,177,391,45.27%,17,147,164
"County School Trustee, Position 6, Precinct 1",0576,1050,552,1602,2671,59.98%,43,1513,1556
"County School Trustee, Position 6, Precinct 1",0579,487,351,838,1806,46.40%,174,613,787
"County School Trustee, Position 6, Precinct 1",0580,429,146,575,1027,55.99%,10,550,560
"County School Trustee, Position 6, Precinct 1",0581,510,162,672,1041,64.55%,17,630,647
"County School Trustee, Position 6, Precinct 1",0582,614,256,870,1613,53.94%,42,802,844
"County School Trustee, Position 6, Precinct 1",0583,544,127,671,1248,53.77%,12,646,658
"County School Trustee, Position 6, Precinct 1",0584,392,139,531,971,54.69%,31,496,527
"County School Trustee, Position 6, Precinct 1",0585,934,304,1238,2403,51.52%,30,1170,1200
"County School Trustee, Position 6, Precinct 1",0594,1031,535,1566,2361,66.33%,421,1096,1517
"County School Trustee, Position 6, Precinct 1",0595,497,380,877,1647,53.25%,130,716,846
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP JuLuette Bartlett-Pack,DEM Erica S. Lee,Totals
"County School Trustee, Position 6, Precinct 1",0606,420,122,542,1053,51.47%,8,520,528
"County School Trustee, Position 6, Precinct 1",0607,194,118,312,731,42.68%,19,277,296
"County School Trustee, Position 6, Precinct 1",0608,245,290,535,1256,42.60%,191,307,498
"County School Trustee, Position 6, Precinct 1",0611,1120,301,1421,2450,58.00%,35,1351,1386
"County School Trustee, Position 6, Precinct 1",0627,795,647,1442,2964,48.65%,386,968,1354
"County School Trustee, Position 6, Precinct 1",0629,175,127,302,629,48.01%,21,275,296
"County School Trustee, Position 6, Precinct 1",0630,2018,535,2553,3190,80.03%,198,2271,2469
"County School Trustee, Position 6, Precinct 1",0632,12,9,21,231,9.09%,4,14,18
"County School Trustee, Position 6, Precinct 1",0638,740,684,1424,2078,68.53%,91,1271,1362
"County School Trustee, Position 6, Precinct 1",0649,1389,854,2243,4426,50.68%,591,1524,2115
"County School Trustee, Position 6, Precinct 1",0652,1049,653,1702,2633,64.64%,248,1396,1644
"County School Trustee, Position 6, Precinct 1",0653,0,8,8,0,0.00%,2,6,8
"County School Trustee, Position 6, Precinct 1",0654,2103,1344,3447,5765,59.79%,1656,1596,3252
"County School Trustee, Position 6, Precinct 1",0655,2612,1451,4063,6304,64.45%,2424,1420,3844
"County School Trustee, Position 6, Precinct 1",0656,1198,421,1619,2622,61.75%,44,1522,1566
"County School Trustee, Position 6, Precinct 1",0657,490,268,758,1200,63.17%,280,442,722
"County School Trustee, Position 6, Precinct 1",0660,2460,932,3392,5048,67.19%,299,2975,3274
"County School Trustee, Position 6, Precinct 1",0693,303,116,419,651,64.36%,96,288,384
"County School Trustee, Position 6, Precinct 1",0705,358,238,596,1520,39.21%,56,518,574
"County School Trustee, Position 6, Precinct 1",0722,1892,642,2534,4357,58.16%,144,2294,2438
"County School Trustee, Position 6, Precinct 1",0723,747,329,1076,1760,61.14%,213,810,1023
"County School Trustee, Position 6, Precinct 1",0729,208,93,301,446,67.49%,166,120,286
"County School Trustee, Position 6, Precinct 1",0733,25,62,87,172,50.58%,27,53,80
"County School Trustee, Position 6, Precinct 1",0738,470,219,689,1294,53.25%,80,589,669
"County School Trustee, Position 6, Precinct 1",0743,27,4,31,199,15.58%,14,15,29
"County School Trustee, Position 6, Precinct 1",0757,1416,690,2106,3498,60.21%,318,1717,2035
"County School Trustee, Position 6, Precinct 1",0767,20,15,35,90,38.89%,21,11,32
"County School Trustee, Position 6, Precinct 1",0774,116,74,190,301,63.12%,41,144,185
"County School Trustee, Position 6, Precinct 1",0775,33,1,34,83,40.96%,0,33,33
"County School Trustee, Position 6, Precinct 1",0779,295,221,516,1146,45.03%,148,330,478
"County School Trustee, Position 6, Precinct 1",0780,136,114,250,579,43.18%,101,131,232
"County School Trustee, Position 6, Precinct 1",0782,851,532,1383,2188,63.21%,794,494,1288
"County School Trustee, Position 6, Precinct 1",0784,428,156,584,1071,54.53%,7,558,565
"County School Trustee, Position 6, Precinct 1",0794,575,484,1059,2602,40.70%,72,947,1019
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP JuLuette Bartlett-Pack,DEM Erica S. Lee,Totals
"County School Trustee, Position 6, Precinct 1",0798,178,283,439,498,88.51%,127,271,398
"County School Trustee, Position 6, Precinct 1",0801,88,55,123,253,48.82%,35,81,118
"County School Trustee, Position 6, Precinct 1",0802,98,58,158,299,52.17%,38,109,145
"County School Trustee, Position 6, Precinct 1",0808,41,28,87,84,79.78%,25,34,59
"County School Trustee, Position 6, Precinct 1",0812,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 6, Precinct 1",0815,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 6, Precinct 1",0818,20,13,33,78,43.42%,8,28,32
"County School Trustee, Position 6, Precinct 1",0820,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 6, Precinct 1",0822,584,282,888,1544,58.09%,22,823,845
"County School Trustee, Position 6, Precinct 1",0825,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 6, Precinct 1",0830,0,0,0,1,0.00%,0,0,0
"County School Trustee, Position 6, Precinct 1",0831,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 6, Precinct 1",0832,109,48,155,351,44.18%,43,102,145
"County School Trustee, Position 6, Precinct 1",0837,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 6, Precinct 1",0840,712,251,983,1821,59.41%,308,819,925
"County School Trustee, Position 6, Precinct 1",0842,987,715,1702,3091,55.08%,708,912,1820
"County School Trustee, Position 6, Precinct 1",0843,0,2,2,0,0.00%,0,2,2
"County School Trustee, Position 6, Precinct 1",0845,85,10,95,100,95.00%,51,37,88
"County School Trustee, Position 6, Precinct 1",0848,70,29,99,210,47.14%,5,91,98
"County School Trustee, Position 6, Precinct 1",0848,782,431,1213,1873,84.78%,358,802,1180
"County School Trustee, Position 6, Precinct 1",0849,553,514,1087,2073,51.47%,317,878,995
"County School Trustee, Position 6, Precinct 1",0852,0,4,4,2,200.00%,0,4,4
"County School Trustee, Position 6, Precinct 1",0854,41,30,71,175,40.57%,5,84,89
"County School Trustee, Position 6, Precinct 1",0855,4,13,17,18,94.44%,8,9,17
"County School Trustee, Position 6, Precinct 1",0857,0,0,0,1,0.00%,0,0,0
"County School Trustee, Position 6, Precinct 1",0858,132,18,150,372,40.32%,4,141,145
"County School Trustee, Position 6, Precinct 1",0859,309,201,510,880,59.30%,98,402,500
"County School Trustee, Position 6, Precinct 1",0881,705,319,1024,1788,57.33%,171,823,994
"County School Trustee, Position 6, Precinct 1",0883,210,89,279,820,45.00%,10,284,274
"County School Trustee, Position 6, Precinct 1",0884,497,809,1108,2484,44.89%,247,795,1042
"County School Trustee, Position 6, Precinct 1",0885,9,2,11,23,47.83%,0,11,11
"County School Trustee, Position 6, Precinct 1",0883,1918,1042,2980,4851,83.84%,489,2380,2889
"County School Trustee, Position 6, Precinct 1",0888,301,154,455,713,83.81%,225,182,407
"County School Trustee, Position 6, Precinct 1",0887,138,83,221,313,70.81%,119,74,193
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP JuLuette Bartlett-Pack,DEM Erica S. Lee,Totals
"County School Trustee, Position 6, Precinct 1",0890,319,118,437,994,43.96%,156,251,407
"County School Trustee, Position 6, Precinct 1",0891,539,392,931,1413,65.89%,340,528,868
"County School Trustee, Position 6, Precinct 1",0892,193,130,323,696,46.41%,83,211,294
"County School Trustee, Position 6, Precinct 1",0893,1,0,1,5,20.00%,0,1,1
"County School Trustee, Position 6, Precinct 1",0894,0,31,31,0,0.00%,8,19,27
"County School Trustee, Position 6, Precinct 1",0895,335,325,660,784,84.18%,247,334,581
"County School Trustee, Position 6, Precinct 1",0896,670,303,973,1437,67.71%,348,540,888
"County School Trustee, Position 6, Precinct 1",0900,5,0,5,12,41.67%,1,3,4
"County School Trustee, Position 6, Precinct 1",0922,0,2,2,0,0.00%,1,1,2
"County School Trustee, Position 6, Precinct 1",0924,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 6, Precinct 1",0928,4,2,6,9,66.67%,0,6,6
"County School Trustee, Position 6, Precinct 1",0929,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 6, Precinct 1",0931,48,53,101,122,82.79%,45,41,86
"County School Trustee, Position 6, Precinct 1",0932,0,5,5,0,0.00%,1,4,5
"County School Trustee, Position 6, Precinct 1",0933,233,1,21,354,566,62.54%,88,250,338
"County School Trustee, Position 6, Precinct 1",0947,320,292,612,822,74.45%,290,250,540
"County School Trustee, Position 6, Precinct 1",0948,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 6, Precinct 1",0949,59,37,96,201,47.76%,41,49,90
"County School Trustee, Position 6, Precinct 1",0956,5,2,7,12,58.33%,4,3,7
"County School Trustee, Position 6, Precinct 1",0959,0,4,4,0,0.00%,0,4,4
"County School Trustee, Position 6, Precinct 1",0964,945,447,1392,1571,88.61%,810,525,1335
"County School Trustee, Position 6, Precinct 1",0965,93,27,120,355,33.80%,74,37,111
"County School Trustee, Position 6, Precinct 1",0969,335,82,417,584,71.40%,3,401,404
