Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Steve Radack,DEM Glorice McPherson,Totals
"County Commissioner, Precinct 3",0570,525,409,934,1473,63.41%,428,427,855
"County Commissioner, Precinct 3",0572,1283,574,1857,2998,61.94%,883,882,1765
"County Commissioner, Precinct 3",0577,231,113,344,573,60.03%,199,129,328
"County Commissioner, Precinct 3",0589,1033,738,1771,3130,56.58%,950,767,1717
"County Commissioner, Precinct 3",0600,1383,869,2252,3820,58.95%,805,1349,2154
"County Commissioner, Precinct 3",0602,562,296,858,1237,69.36%,602,230,832
"County Commissioner, Precinct 3",0603,1437,1163,2600,3917,66.38%,1587,946,2533
"County Commissioner, Precinct 3",0616,1352,970,2322,3378,68.74%,1630,596,2226
"County Commissioner, Precinct 3",0618,1920,1021,2941,5344,55.03%,1300,1533,2833
"County Commissioner, Precinct 3",0619,2133,857,2990,4266,70.09%,2250,642,2892
"County Commissioner, Precinct 3",0620,2382,856,3238,5271,61.43%,1574,1490,3064
"County Commissioner, Precinct 3",0621,397,203,600,1173,51.15%,306,270,576
"County Commissioner, Precinct 3",0625,862,454,1316,1796,73.27%,783,454,1237
"County Commissioner, Precinct 3",0626,1148,655,1803,2838,63.53%,940,784,1724
"County Commissioner, Precinct 3",0639,828,711,1539,2501,61.54%,1226,261,1487
"County Commissioner, Precinct 3",0640,1382,723,2105,3548,59.33%,1214,815,2029
"County Commissioner, Precinct 3",0641,1265,878,2143,3375,63.50%,1325,747,2072
"County Commissioner, Precinct 3",0644,2123,1204,3327,5261,63.24%,2118,1060,3178
"County Commissioner, Precinct 3",0645,1639,895,2534,4035,62.80%,1204,1210,2414
"County Commissioner, Precinct 3",0646,708,456,1164,2163,53.81%,355,752,1107
"County Commissioner, Precinct 3",0647,1770,1020,2790,5593,49.88%,715,1872,2587
"County Commissioner, Precinct 3",0650,1328,939,2267,3151,71.95%,1712,486,2198
"County Commissioner, Precinct 3",0651,2085,1070,3155,4931,63.98%,1993,1053,3046
"County Commissioner, Precinct 3",0667,989,547,1536,2181,70.43%,1189,294,1483
"County Commissioner, Precinct 3",0684,72,24,96,187,51.34%,57,32,89
"County Commissioner, Precinct 3",0685,167,29,196,326,60.12%,100,85,185
"County Commissioner, Precinct 3",0686,46,34,80,196,40.82%,20,55,75
"County Commissioner, Precinct 3",0688,1815,673,2488,3266,76.18%,2027,380,2407
"County Commissioner, Precinct 3",0691,10,2,12,34,35.29%,5,7,12
"County Commissioner, Precinct 3",0694,420,137,557,817,68.18%,386,149,535
"County Commissioner, Precinct 3",0706,222,135,357,529,67.49%,178,172,350
"County Commissioner, Precinct 3",0707,284,136,420,707,59.41%,251,145,396
"County Commissioner, Precinct 3",0709,2996,1297,4293,6239,68.81%,2568,1579,4147
"County Commissioner, Precinct 3",0711,1492,701,2193,3351,65.44%,1367,722,2089
"County Commissioner, Precinct 3",0712,1200,858,2058,3348,61.47%,844,1162,2006
"County Commissioner, Precinct 3",0713,665,436,1101,1827,60.26%,580,481,1061
"County Commissioner, Precinct 3",0720,1575,1044,2619,3903,67.10%,1925,625,2550
"County Commissioner, Precinct 3",0727,931,466,1397,2488,56.15%,355,990,1345
"County Commissioner, Precinct 3",0730,800,437,1237,1630,75.89%,843,313,1156
"County Commissioner, Precinct 3",0731,121,36,157,373,42.09%,36,111,147
"County Commissioner, Precinct 3",0734,3209,1114,4323,5952,72.63%,2920,1270,4190
"County Commissioner, Precinct 3",0751,1664,1254,2918,4451,65.56%,1974,837,2811
"County Commissioner, Precinct 3",0761,917,219,1136,1464,77.60%,878,214,1092
"County Commissioner, Precinct 3",0765,1390,815,2205,3967,55.58%,806,1309,2115
"County Commissioner, Precinct 3",0772,2927,1002,3929,5617,69.95%,2993,813,3806
"County Commissioner, Precinct 3",0773,892,550,1442,2648,54.46%,374,996,1370
"County Commissioner, Precinct 3",0781,1152,555,1807,3716,48.63%,684,961,1645
"County Commissioner, Precinct 3",0788,156,58,214,481,44.49%,74,130,204
"County Commissioner, Precinct 3",0800,1188,795,1983,2817,70.39%,1367,539,1906
"County Commissioner, Precinct 3",0803,1305,630,1935,2718,71.19%,1444,423,1867
"County Commissioner, Precinct 3",0804,1806,960,2766,4348,63.62%,1685,972,2657
"County Commissioner, Precinct 3",0807,652,402,1054,2001,52.67%,162,843,1005
"County Commissioner, Precinct 3",0813,1957,1258,3225,5423,59.47%,1580,1542,3122
"County Commissioner, Precinct 3",0814,1772,955,2727,4503,60.56%,626,1987,2613
"County Commissioner, Precinct 3",0819,97,45,142,238,59.66%,90,39,129
"County Commissioner, Precinct 3",0826,153,89,242,342,70.76%,149,83,232
"County Commissioner, Precinct 3",0829,107,56,163,266,61.28%,38,123,161
"County Commissioner, Precinct 3",0835,87,53,140,292,47.95%,43,91,134
"County Commissioner, Precinct 3",0836,8,3,11,19,57.89%,1,8,9
"County Commissioner, Precinct 3",0839,353,240,593,1122,52.85%,112,441,553
"County Commissioner, Precinct 3",0869,153,76,229,473,48.41%,39,183,222
