Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Louis Guthrie,DEM Adrian Garcia,GRN Remington Alessi,Totals
Sheriff,0130,1201,523,1724,2240,76.96%,1160,478,21,1659
Sheriff,0131,604,374,978,1721,56.83%,206,730,14,950
Sheriff,0132,1119,397,1516,2449,61.90%,25,1435,17,1477
Sheriff,0133,1083,940,2023,2605,77.66%,1056,797,51,1904
Sheriff,0134,419,392,811,1444,56.16%,306,456,20,782
Sheriff,0135,1424,634,2058,2750,74.84%,1128,766,34,1928
Sheriff,0136,981,451,1432,2111,67.84%,43,1323,26,1392
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Louis Guthrie,DEM Adrian Garcia,GRN Remington Alessi,Totals
Sheriff,0137,305,193,498,740,67.30%,216,236,20,472
Sheriff,0138,661,259,920,1749,52.60%,17,868,7,892
Sheriff,0139,1290,747,2037,2746,74.18%,882,988,48,1918
Sheriff,0140,1311,683,1994,3104,64.24%,263,1607,38,1908
Sheriff,0141,181,143,324,872,37.16%,187,118,3,308
Sheriff,0142,212,171,383,870,44.02%,74,282,9,365
Sheriff,0143,2993,660,3653,4598,79.45%,2379,1134,51,3564
Sheriff,0144,476,204,680,1143,59.49%,7,648,6,661
Sheriff,0145,663,245,908,1580,57.47%,11,873,8,892
Sheriff,0146,759,614,1373,1953,70.30%,525,751,36,1312
Sheriff,0147,1255,485,1740,2813,61.86%,178,1500,24,1702
Sheriff,0148,908,924,1832,2467,74.26%,646,1047,48,1741
Sheriff,0149,2859,1322,4181,6103,68.51%,1685,2314,76,4075
Sheriff,0150,539,207,746,1212,61.55%,16,703,8,727
Sheriff,0151,316,148,464,846,54.85%,18,420,6,444
Sheriff,0152,483,602,1085,2701,40.17%,181,841,22,1044
Sheriff,0153,328,437,765,1755,43.59%,147,581,9,737
Sheriff,0154,593,360,953,2133,44.68%,146,741,16,903
Sheriff,0155,1957,834,2791,4087,68.29%,1709,946,30,2685
Sheriff,0156,1427,457,1884,3134,60.11%,41,1763,24,1828
Sheriff,0157,881,382,1263,2311,54.65%,35,1193,7,1235
Sheriff,0158,1304,435,1739,3016,57.66%,27,1667,13,1707
Sheriff,0159,313,187,500,976,51.23%,54,417,9,480
Sheriff,0160,246,140,386,688,56.10%,6,361,4,371
Sheriff,0161,395,190,585,1030,56.80%,7,562,2,571
Sheriff,0162,232,262,494,1249,39.55%,118,333,10,461
Sheriff,0163,778,635,1413,3054,46.27%,312,984,21,1317
Sheriff,0164,505,304,809,1434,56.42%,11,777,4,792
Sheriff,0165,918,557,1475,2284,64.58%,853,526,40,1419
Sheriff,0166,281,311,592,1016,58.27%,158,386,27,571
Sheriff,0167,5,2,7,23,30.43%,0,7,0,7
Sheriff,0168,188,126,314,519,60.50%,2,300,1,303
Sheriff,0169,1059,433,1492,2531,58.95%,18,1436,13,1467
Sheriff,0170,481,353,834,1887,44.20%,361,418,15,794
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Louis Guthrie,DEM Adrian Garcia,GRN Remington Alessi,Totals
Sheriff,0171,514,294,808,1613,50.09%,22,764,7,793
Sheriff,0172,161,147,308,600,51.33%,73,216,7,296
Sheriff,0173,1798,619,2417,3105,77.84%,1776,543,33,2352
Sheriff,0174,1554,767,2321,3159,73.47%,1436,723,46,2205
Sheriff,0175,1064,867,1931,2506,77.06%,842,943,44,1829
Sheriff,0176,626,530,1156,1581,73.12%,508,545,29,1082
Sheriff,0177,672,385,1057,1478,71.52%,556,427,20,1003
Sheriff,0178,913,368,1281,1718,74.56%,734,461,14,1209
Sheriff,0179,449,321,770,1508,51.06%,301,411,25,737
Sheriff,0180,966,552,1518,2795,54.31%,30,1416,12,1458
Sheriff,0181,416,514,930,1968,47.26%,204,674,12,890
Sheriff,0182,1321,1081,2402,3289,73.03%,1269,927,44,2240
Sheriff,0183,970,943,1913,2451,78.05%,1101,666,27,1794
Sheriff,0184,214,256,470,969,48.50%,104,337,8,449
Sheriff,0185,592,494,1086,1910,56.86%,286,749,10,1045
Sheriff,0186,204,170,374,795,47.04%,33,323,3,359
Sheriff,0187,48,65,113,309,36.57%,21,88,1,110
Sheriff,0188,307,378,685,1616,42.39%,215,437,12,664
Sheriff,0189,492,473,965,1453,66.41%,467,420,32,919
Sheriff,0190,275,401,676,1720,39.30%,193,446,9,648
Sheriff,0191,195,313,509,1391,36.59%,141,343,7,491
Sheriff,0192,746,332,1078,2045,52.71%,35,1008,14,1057
Sheriff,0193,341,269,610,1050,58.10%,11,570,12,593
Sheriff,0194,704,504,1208,1735,69.63%,326,774,46,1146
Sheriff,0195,539,419,958,1721,55.67%,24,893,13,930
Sheriff,0196,121,55,176,323,54.49%,6,162,4,172
Sheriff,0197,1109,497,1606,2895,55.47%,33,1511,22,1566
Sheriff,0198,143,158,301,657,45.81%,4,290,1,295
Sheriff,0199,1407,773,2180,3159,69.01%,1519,546,43,2108
Sheriff,0200,1638,585,2223,3222,68.99%,929,1109,56,2094
Sheriff,0201,229,125,354,728,48.63%,10,331,5,346
Sheriff,0202,488,332,820,1479,55.44%,11,773,12,796
Sheriff,0203,266,156,422,900,46.89%,68,336,5,409
Sheriff,0204,1489,914,2403,3462,69.41%,1206,1047,55,2308
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Louis Guthrie,DEM Adrian Garcia,GRN Remington Alessi,Totals
Sheriff,0205,856,201,1057,1667,63.41%,20,1009,6,1035
Sheriff,0206,651,659,1310,2662,49.21%,314,897,56,1267
Sheriff,0207,409,310,719,1144,62.85%,169,522,14,705
Sheriff,0208,806,364,1170,2201,53.16%,252,862,10,1124
Sheriff,0209,0,4,4,0,0.00%,2,2,0,4
Sheriff,0210,1013,542,1555,2300,67.61%,160,1293,43,1496
Sheriff,0211,710,686,1396,2797,49.91%,403,902,24,1329
Sheriff,0212,218,314,532,1266,42.02%,72,433,7,512
Sheriff,0213,1603,939,2542,3308,76.84%,1768,625,28,2421
