Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Houston |.S.D., PROPOSITION",0156,1427,457,1884,3134,60.11%,1107,332,1439
"Houston |.S.D., PROPOSITION",0158,1304,435,1739,3016,57.66%,1017,247,1264
"Houston |.S.D., PROPOSITION",0159,313,187,500,976,51.23%,327,64,391
"Houston |.S.D., PROPOSITION",0160,246,140,386,688,56.10%,207,49,256
"Houston |.S.D., PROPOSITION",0161,395,190,585,1030,56.80%,338,69,407
"Houston |.S.D., PROPOSITION",0162,29,14,43,133,32.33%,19,6,25
"Houston |.S.D., PROPOSITION",0163,1,0,1,11,0,0.00%,2,6,8
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Houston |.S.D., PROPOSITION",0164,265,171,436,732,59.56%,237,64,301
"Houston |.S.D., PROPOSITION",0166,281,311,592,1016,58.27%,333,168,501
"Houston |.S.D., PROPOSITION",0167,5,2,7,23,30.43%,5,0,5
"Houston |.S.D., PROPOSITION",0168,188,126,314,519,60.50%,136,56,192
"Houston |.S.D., PROPOSITION",0169,454,189,643,1102,58.35%,357,89,446
"Houston |.S.D., PROPOSITION",0171,514,294,808,1613,50.09%,407,117,524
"Houston |.S.D., PROPOSITION",0172,161,147,308,600,51.33%,178,88,266
"Houston |.S.D., PROPOSITION",0175,1064,867,1931,2506,77.06%,1147,598,1745
"Houston |.S.D., PROPOSITION",0176,626,530,1156,1581,73.12%,636,386,1022
"Houston |.S.D., PROPOSITION",0177,672,385,1057,1478,71.52%,587,315,902
"Houston |.S.D., PROPOSITION",0178,913,368,1281,1718,74.56%,626,500,1126
"Houston |.S.D., PROPOSITION",0179,0,0,0,0,0.00%,0,0,0
"Houston |.S.D., PROPOSITION",0180,966,552,1518,2795,54.31%,884,225,1109
"Houston |.S.D., PROPOSITION",0181,415,510,925,1964,47.10%,513,199,712
"Houston |.S.D., PROPOSITION",0182,1321,1081,2402,3289,73.03%,1468,702,2170
"Houston |.S.D., PROPOSITION",0183,970,943,1913,2451,78.05%,1143,580,1723
"Houston |.S.D., PROPOSITION",0184,214,256,470,969,48.50%,249,90,339
"Houston |.S.D., PROPOSITION",0185,1,455,456,2,2800.00%,199,117,316
"Houston |.S.D., PROPOSITION",0186,204,170,374,795,47.04%,190,46,236
"Houston |.S.D., PROPOSITION",0187,48,65,113,309,36.57%,68,15,83
"Houston |.S.D., PROPOSITION",0189,492,473,965,1453,66.41%,520,322,842
"Houston |.S.D., PROPOSITION",0192,746,332,1078,2045,52.71%,635,159,794
"Houston |.S.D., PROPOSITION",0193,341,269,610,1050,58.10%,339,97,436
"Houston |.S.D., PROPOSITION",0194,704,504,1208,1735,69.63%,736,306,1042
"Houston |.S.D., PROPOSITION",0195,539,419,958,1721,55.67%,611,117,728
"Houston |.S.D., PROPOSITION",0196,121,55,176,323,54.49%,107,33,140
"Houston |.S.D., PROPOSITION",0197,997,431,1428,2514,56.80%,768,207,975
"Houston |.S.D., PROPOSITION",0198,143,158,301,657,45.81%,154,32,186
"Houston |.S.D., PROPOSITION",0200,1638,585,2223,3222,68.99%,1281,646,1927
"Houston |.S.D., PROPOSITION",0201,229,125,354,728,48.63%,191,59,250
"Houston |.S.D., PROPOSITION",0202,488,332,820,1479,55.44%,494,86,580
"Houston |.S.D., PROPOSITION",0203,266,156,422,900,46.89%,244,73,317
"Houston |.S.D., PROPOSITION",0204,1489,914,2403,3462,69.41%,1142,952,2094
"Houston |.S.D., PROPOSITION",0206,651,659,1310,2662,49.21%,785,330,1115
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Houston |.S.D., PROPOSITION",0207,409,310,719,1144,62.85%,401,229,630
"Houston |.S.D., PROPOSITION",0210,1013,542,1555,2300,67.61%,997,289,1286
"Houston |.S.D., PROPOSITION",0211,710,683,1393,2797,49.80%,704,345,1049
"Houston |.S.D., PROPOSITION",0212,35,1s,53,158,33.54%,38,7,45
"Houston |.S.D., PROPOSITION",0213,79,36,115,156,73.72%,54,46,100
"Houston |.S.D., PROPOSITION",0214,798,544,1342,1795,74.76%,764,433,1197
"Houston |.S.D., PROPOSITION",0215,844,786,1630,2168,75.18%,923,526,1449
"Houston |.S.D., PROPOSITION",0216,784,320,1104,1917,57.59%,642,195,837
"Houston |.S.D., PROPOSITION",0217,1396,651,2047,2637,77.63%,1093,707,1800
"Houston |.S.D., PROPOSITION",0218,690,608,1298,2274,57.08%,775,326,1101
"Houston |.S.D., PROPOSITION",0219,1117,587,1704,2654,64.20%,1010,255,1265
"Houston |.S.D., PROPOSITION",0221,489,391,880,1588,55.42%,427,283,710
"Houston |.S.D., PROPOSITION",0222,1000,792,1792,2384,75.17%,1118,501,1619
"Houston |.S.D., PROPOSITION",0223,1350,760,2110,3528,59.81%,1398,382,1780
"Houston |.S.D., PROPOSITION",0224,894,649,1543,2259,68.30%,876,454,1330
"Houston |.S.D., PROPOSITION",0226,529,545,1074,2393,44.88%,673,188,861
"Houston |.S.D., PROPOSITION",0227,947,451,1398,1767,79.12%,654,552,1206
"Houston |.S.D., PROPOSITION",0228,583,165,748,1073,69.71%,467,192,659
"Houston |.S.D., PROPOSITION",0229,152,207,359,811,44.27%,177,78,255
"Houston |.S.D., PROPOSITION",0230,322,134,456,882,51.70%,229,67,296
"Houston |.S.D., PROPOSITION",0231,552,471,1033,2219,46.55%,553,255,808
"Houston |.S.D., PROPOSITION",0232,685,546,1231,1696,72.58%,665,441,1106
"Houston |.S.D., PROPOSITION",0233,1826,1063,2889,4132,69.92%,1668,762,2430
"Houston |.S.D., PROPOSITION",0234,2088,885,2973,3854,77.14%,1331,1118,2449
"Houston |.S.D., PROPOSITION",0235,466,242,708,1305,54.25%,408,132,540
"Houston |.S.D., PROPOSITION",0236,779,342,1121,2144,52.29%,619,153,772
"Houston |.S.D., PROPOSITION",0237,793,441,1234,2181,56.58%,713,168,881
"Houston |.S.D., PROPOSITION",0238,640,422,1062,1901,55.87%,627,116,743
"Houston |.S.D., PROPOSITION",0239,765,357,1122,1997,56.18%,603,188,791
"Houston |.S.D., PROPOSITION",0240,1157,402,1559,2688,58.00%,831,295,1126
"Houston |.S.D., PROPOSITION",0243,254,50,304,452,67.26%,177,50,227
"Houston |.S.D., PROPOSITION",0247,421,403,824,1607,51.28%,492,118,610
"Houston |.S.D., PROPOSITION",0255,995,797,1792,2411,74.33%,986,588,1574
"Houston |.S.D., PROPOSITION",0256,1059,755,1825,3226,56.57%,971,513,1484
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Houston |.S.D., PROPOSITION",0259,1210,460,1670,2408,69.35%,905,368,1273
"Houston |.S.D., PROPOSITION",0261,176,133,309,749,41.26%,180,80,260
"Houston |.S.D., PROPOSITION",0268,931,810,1741,2387,72.94%,1127,441,1568
"Houston |.S.D., PROPOSITION",0269,1143,444,1587,1981,80.11%,710,630,1340
"Houston |.S.D., PROPOSITION",0270,1401,863,2264,3517,64.37%,1084,871,1955
"Houston |.S.D., PROPOSITION",0271,1303,371,1674,2469,67.80%,1009,280,1289
"Houston |.S.D., PROPOSITION",0272,610,484,1094,2112,51.80%,617,276,893
"Houston |.S.D., PROPOSITION",0274,0,0,0,0,0.00%,0,0,0
"Houston |.S.D., PROPOSITION",0275,551,302,853,1696,50.29%,536,130,666
"Houston |.S.D., PROPOSITION",0276,1139,404,1543,2532,60.94%,890,245,1135
"Houston |.S.D., PROPOSITION",0281,1087,903,1990,2610,76.25%,1193,600,1793
"Houston |.S.D., PROPOSITION",0282,690,591,1281,1988,64.44%,641,443,1084
"Houston |.S.D., PROPOSITION",0284,1135,595,1730,3262,53.03%,908,439,1347
"Houston |.S.D., PROPOSITION",0285,988,509,1497,2505,59.76%,873,267,1140
"Houston |.S.D., PROPOSITION",0286,2657,1053,3710,5719,64.87%,2294,651,2945
"Houston |.S.D., PROPOSITION",0287,647,542,1189,1616,73.58%,627,420,1047
"Houston |.S.D., PROPOSITION",0288,1036,380,1416,2259,62.68%,792,243,1035
"Houston |.S.D., PROPOSITION",0291,541,298,839,1203,69.74%,473,269,742
"Houston |.S.D., PROPOSITION",0292,477,236,713,1272,56.05%,379,128,507
"Houston |.S.D., PROPOSITION",0293,620,557,1177,1733,67.92%,645,348,993
"Houston |.S.D., PROPOSITION",0294,989,298,1287,2107,61.08%,761,202,963
"Houston |.S.D., PROPOSITION",0295,314,189,503,862,58.35%,285,63,348
"Houston |.S.D., PROPOSITION",0296,602,432,1034,1693,61.08%,479,360,839
"Houston |.S.D., PROPOSITION",0297,576,445,1021,1978,51.62%,506,242,748
"Houston |.S.D., PROPOSITION",0298,847,475,1322,2083,63.47%,605,472,1077
"Houston |.S.D., PROPOSITION",0299,1,0,1,0,0.00%,1,0,1
"Houston |.S.D., PROPOSITION",0303,1772,755,2527,3172,79.67%,1169,946,2115
"Houston |.S.D., PROPOSITION",0304,970,648,1618,2266,71.40%,844,577,1421
"Houston |.S.D., PROPOSITION",0308,279,119,398,713,55.82%,224,80,304
"Houston |.S.D., PROPOSITION",0311,666,573,1239,2280,54.34%,515,417,932
