Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Republican Party,DEM Democratic Party,LIB Libertarian Party,GRN Green Party,Totals
Straight Party,0377,1056,707,1763,2871,61.41%,1022,223,9,3,1257
Straight Party,0378,561,521,1082,1777,60.89%,478,226,8,3,715
Straight Party,0379,802,338,1140,2017,56.52%,54,795,4,2,855
Straight Party,0380,2508,1183,3691,4753,77.66%,1432,976,12,3,2423
Straight Party,0381,957,424,1381,2715,50.87%,360,539,5,4,908
Straight Party,0382,275,231,507,841,60.29%,257,94,2,2,355
Straight Party,0383,601,493,1094,2076,52.70%,251,573,3,0,827
Straight Party,0384,1179,505,1684,2596,64.87%,226,955,1,1,1183
Straight Party,0385,1101,621,1722,2175,79.17%,851,149,12,3,1015
Straight Party,0386,1468,460,1928,2872,67.13%,953,328,5,2,1288
Straight Party,0387,1369,802,2171,3727,58.25%,1036,402,7,2,1447
Straight Party,0388,2784,1222,4006,5329,75.17%,1600,1176,19,2,2797
Straight Party,0389,290,251,551,975,56.51%,52,326,11,3,392
Straight Party,0390,652,368,1020,1565,65.18%,69,615,3,2,689
Straight Party,0391,856,355,1211,1805,67.09%,580,243,6,1,830
Straight Party,0392,737,197,934,1441,64.82%,2,756,1,1,760
Straight Party,0393,346,318,664,1206,55.06%,200,235,7,1,443
Straight Party,0394,166,176,342,860,39.77%,96,143,0,1,240
Straight Party,0395,833,491,1324,1820,72.75%,609,150,10,3,772
Straight Party,0396,1158,219,1377,2073,66.43%,7,1135,1,0,1143
Straight Party,0397,163,148,311,750,41.47%,81,126,0,2,209
Straight Party,0398,1444,840,2284,3816,59.85%,829,788,5,3,1625
Straight Party,0399,898,593,1491,2542,58.65%,534,543,2,2,1081
Straight Party,0400,1056,506,1562,2238,69.79%,830,246,5,1,1082
Straight Party,0401,724,284,1008,1876,53.73%,32,826,1,0,859
Straight Party,0402,892,245,1137,1737,65.46%,34,843,2,3,882
