Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0143,2999,660,3659,4598,79.58%,2665,403,3068
"Judge, Court of Criminal Appeals, Place 8",0144,477,204,681,1143,59.58%,29,124,153
"Judge, Court of Criminal Appeals, Place 8",0145,663,245,908,1580,57.47%,46,137,183
"Judge, Court of Criminal Appeals, Place 8",0146,759,614,1373,1953,70.30%,687,318,1005
"Judge, Court of Criminal Appeals, Place 8",0147,1256,485,1741,2813,61.89%,298,385,683
"Judge, Court of Criminal Appeals, Place 8",0148,911,924,1835,2467,74.38%,924,383,1307
"Judge, Court of Criminal Appeals, Place 8",0149,2866,1322,4188,6103,68.62%,2091,754,2845
"Judge, Court of Criminal Appeals, Place 8",0150,539,207,746,1212,61.55%,47,147,194
"Judge, Court of Criminal Appeals, Place 8",0151,316,148,464,846,54.85%,43,80,123
"Judge, Court of Criminal Appeals, Place 8",0152,483,602,1085,2701,40.17%,379,182,561
"Judge, Court of Criminal Appeals, Place 8",0153,328,437,765,1755,43.59%,314,114,428
"Judge, Court of Criminal Appeals, Place 8",0154,593,360,953,2133,44.68%,358,163,521
"Judge, Court of Criminal Appeals, Place 8",0155,1957,834,2791,4087,68.29%,1978,286,2264
"Judge, Court of Criminal Appeals, Place 8",0156,1428,457,1885,3134,60.15%,136,423,559
"Judge, Court of Criminal Appeals, Place 8",0157,881,382,1263,2311,54.65%,96,226,322
"Judge, Court of Criminal Appeals, Place 8",0158,1304,435,1739,3016,57.66%,95,379,474
"Judge, Court of Criminal Appeals, Place 8",0159,313,187,500,976,51.23%,87,105,192
"Judge, Court of Criminal Appeals, Place 8",0160,246,140,386,688,56.10%,27,76,103
"Judge, Court of Criminal Appeals, Place 8",0161,395,190,585,1030,56.80%,23,107,130
"Judge, Court of Criminal Appeals, Place 8",0162,232,262,494,1249,39.55%,189,88,277
"Judge, Court of Criminal Appeals, Place 8",0163,778,635,1413,3054,46.27%,579,155,734
"Judge, Court of Criminal Appeals, Place 8",0164,505,304,809,1434,56.42%,37,125,162
"Judge, Court of Criminal Appeals, Place 8",0165,919,557,1476,2284,64.62%,967,228,1195
"Judge, Court of Criminal Appeals, Place 8",0166,281,311,592,1016,58.27%,251,183,434
"Judge, Court of Criminal Appeals, Place 8",0167,5,2,7,23,30.43%,1,3,4
"Judge, Court of Criminal Appeals, Place 8",0168,189,126,315,519,60.69%,16,37,53
"Judge, Court of Criminal Appeals, Place 8",0169,1060,433,1493,2531,58.99%,60,260,320
"Judge, Court of Criminal Appeals, Place 8",0170,481,353,834,1887,44.20%,448,117,565
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0171,514,294,808,1613,50.09%,53,128,181
"Judge, Court of Criminal Appeals, Place 8",0172,161,147,308,600,51.33%,134,58,192
"Judge, Court of Criminal Appeals, Place 8",0173,1799,619,2418,3105,77.87%,1882,213,2095
"Judge, Court of Criminal Appeals, Place 8",0174,1554,767,2321,3159,73.47%,1630,260,1890
"Judge, Court of Criminal Appeals, Place 8",0175,1066,867,1933,2506,77.13%,1141,323,1464
"Judge, Court of Criminal Appeals, Place 8",0176,627,530,1157,1581,73.18%,694,165,859
"Judge, Court of Criminal Appeals, Place 8",0177,676,385,1061,1478,71.79%,677,198,875
"Judge, Court of Criminal Appeals, Place 8",0178,914,368,1282,1718,74.62%,902,161,1063
"Judge, Court of Criminal Appeals, Place 8",0179,449,321,770,1508,51.06%,382,157,539
"Judge, Court of Criminal Appeals, Place 8",0180,966,552,1518,2795,54.31%,91,292,383
"Judge, Court of Criminal Appeals, Place 8",0181,418,514,932,1968,47.36%,391,164,555
"Judge, Court of Criminal Appeals, Place 8",0182,1326,1081,2407,3289,73.18%,1586,319,1905
"Judge, Court of Criminal Appeals, Place 8",0183,973,943,1916,2451,78.17%,1388,219,1607
"Judge, Court of Criminal Appeals, Place 8",0184,214,256,470,969,48.50%,180,73,253
"Judge, Court of Criminal Appeals, Place 8",0185,593,494,1087,1910,56.91%,428,164,592
"Judge, Court of Criminal Appeals, Place 8",0186,204,170,374,795,47.04%,70,44,114
"Judge, Court of Criminal Appeals, Place 8",0187,48,65,113,309,36.57%,46,15,61
"Judge, Court of Criminal Appeals, Place 8",0188,307,378,685,1616,42.39%,299,101,400
"Judge, Court of Criminal Appeals, Place 8",0189,493,473,966,1453,66.48%,549,196,745
"Judge, Court of Criminal Appeals, Place 8",0190,275,401,676,1720,39.30%,305,95,400
"Judge, Court of Criminal Appeals, Place 8",0191,197,313,510,1391,36.66%,217,72,289
"Judge, Court of Criminal Appeals, Place 8",0192,746,332,1078,2045,52.71%,76,204,280
"Judge, Court of Criminal Appeals, Place 8",0193,341,269,610,1050,58.10%,36,146,182
"Judge, Court of Criminal Appeals, Place 8",0194,709,504,1213,1735,69.91%,445,342,787
"Judge, Court of Criminal Appeals, Place 8",0195,539,419,958,1721,55.67%,58,168,226
"Judge, Court of Criminal Appeals, Place 8",0196,121,55,176,323,54.49%,22,39,61
"Judge, Court of Criminal Appeals, Place 8",0197,1109,497,1606,2895,55.47%,81,301,382
"Judge, Court of Criminal Appeals, Place 8",0198,143,158,301,657,45.81%,13,39,52
"Judge, Court of Criminal Appeals, Place 8",0199,1408,773,2181,3159,69.04%,1655,226,1881
"Judge, Court of Criminal Appeals, Place 8",0200,1643,585,2228,3222,69.15%,1157,502,1659
"Judge, Court of Criminal Appeals, Place 8",0201,229,125,354,728,48.63%,20,64,84
"Judge, Court of Criminal Appeals, Place 8",0202,488,332,820,1479,55.44%,34,146,180
"Judge, Court of Criminal Appeals, Place 8",0203,266,156,422,900,46.89%,126,71,197
"Judge, Court of Criminal Appeals, Place 8",0204,1496,914,2410,3462,69.61%,1483,448,1931
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0205,856,201,1057,1667,63.41%,55,178,233
"Judge, Court of Criminal Appeals, Place 8",0206,652,659,1311,2662,49.25%,538,351,889
"Judge, Court of Criminal Appeals, Place 8",0207,410,310,720,1144,62.94%,350,137,487
"Judge, Court of Criminal Appeals, Place 8",0208,808,364,1172,2201,53.25%,410,162,572
"Judge, Court of Criminal Appeals, Place 8",0209,0,4,4,0,0.00%,4,0,4
"Judge, Court of Criminal Appeals, Place 8",0210,1018,542,1560,2300,67.83%,258,438,696
"Judge, Court of Criminal Appeals, Place 8",0211,710,686,1396,2797,49.91%,645,235,880
"Judge, Court of Criminal Appeals, Place 8",0212,219,314,533,1266,42.10%,159,96,255
"Judge, Court of Criminal Appeals, Place 8",0213,1603,939,2542,3308,76.84%,2061,189,2250
"Judge, Court of Criminal Appeals, Place 8",0214,800,544,1344,1795,74.87%,885,205,1090
"Judge, Court of Criminal Appeals, Place 8",0215,845,786,1631,2168,75.23%,1062,243,1305
"Judge, Court of Criminal Appeals, Place 8",0216,784,320,1104,1917,57.59%,153,238,391
"Judge, Court of Criminal Appeals, Place 8",0217,1399,651,2050,2637,77.74%,1446,239,1685
"Judge, Court of Criminal Appeals, Place 8",0218,690,608,1298,2274,57.08%,566,278,844
"Judge, Court of Criminal Appeals, Place 8",0219,1119,587,1706,2654,64.28%,199,379,578
"Judge, Court of Criminal Appeals, Place 8",0220,711,353,1064,2360,45.08%,744,120,864
"Judge, Court of Criminal Appeals, Place 8",0221,700,611,1311,2489,52.67%,677,205,882
"Judge, Court of Criminal Appeals, Place 8",0222,1001,792,1793,2384,75.21%,990,301,1291
"Judge, Court of Criminal Appeals, Place 8",0223,1361,760,2121,3528,60.12%,768,680,1448
"Judge, Court of Criminal Appeals, Place 8",0224,898,649,1547,2259,68.48%,834,298,1132
"Judge, Court of Criminal Appeals, Place 8",0225,1113,720,1833,3155,58.10%,873,356,1229
"Judge, Court of Criminal Appeals, Place 8",0226,529,545,1074,2393,44.88%,386,193,579
"Judge, Court of Criminal Appeals, Place 8",0227,949,451,1400,1767,79.23%,1089,119,1208
"Judge, Court of Criminal Appeals, Place 8",0228,584,165,749,1073,69.80%,78,212,290
"Judge, Court of Criminal Appeals, Place 8",0229,152,207,359,811,44.27%,147,50,197
"Judge, Court of Criminal Appeals, Place 8",0230,421,153,574,1096,52.37%,26,95,121
"Judge, Court of Criminal Appeals, Place 8",0231,563,471,1034,2219,46.60%,398,189,587
"Judge, Court of Criminal Appeals, Place 8",0232,686,546,1232,1696,72.64%,796,169,965
"Judge, Court of Criminal Appeals, Place 8",0233,1835,1063,2898,4132,70.14%,1603,651,2254
"Judge, Court of Criminal Appeals, Place 8",0234,2093,885,2978,3854,77.27%,2356,190,2546
"Judge, Court of Criminal Appeals, Place 8",0235,466,242,708,1305,54.25%,50,137,187
"Judge, Court of Criminal Appeals, Place 8",0236,779,342,1121,2144,52.29%,83,164,247
"Judge, Court of Criminal Appeals, Place 8",0237,793,441,1234,2181,56.58%,57,212,269
"Judge, Court of Criminal Appeals, Place 8",0238,641,422,1063,1901,55.92%,58,205,263
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0239,765,357,1122,1997,56.18%,83,235,318
"Judge, Court of Criminal Appeals, Place 8",0240,1158,402,1560,2688,58.04%,69,341,410
"Judge, Court of Criminal Appeals, Place 8",0241,494,479,973,2296,42.38%,466,120,586
"Judge, Court of Criminal Appeals, Place 8",0242,363,323,686,1570,43.69%,399,71,470
"Judge, Court of Criminal Appeals, Place 8",0243,254,50,304,452,67.26%,15,70,85
"Judge, Court of Criminal Appeals, Place 8",0244,1102,656,1758,2912,60.37%,1015,290,1305
"Judge, Court of Criminal Appeals, Place 8",0245,2344,1115,3459,5240,66.01%,2371,407,2778
"Judge, Court of Criminal Appeals, Place 8",0246,1584,624,2208,2999,73.62%,1556,238,1794
"Judge, Court of Criminal Appeals, Place 8",0247,422,403,825,1607,51.34%,42,156,198
"Judge, Court of Criminal Appeals, Place 8",0248,408,405,813,2122,38.31%,243,133,376
"Judge, Court of Criminal Appeals, Place 8",0249,1031,481,1512,2676,56.50%,1010,193,1203
"Judge, Court of Criminal Appeals, Place 8",0250,306,247,553,951,58.15%,26,93,119
"Judge, Court of Criminal Appeals, Place 8",0251,809,529,1338,2072,64.58%,101,223,324
"Judge, Court of Criminal Appeals, Place 8",0252,1111,356,1467,2350,62.43%,62,206,268
"Judge, Court of Criminal Appeals, Place 8",0253,923,325,1248,2252,55.42%,62,195,257
"Judge, Court of Criminal Appeals, Place 8",0254,220,282,502,1476,34.01%,174,69,243
"Judge, Court of Criminal Appeals, Place 8",0255,996,797,1793,2411,74.37%,954,370,1324
"Judge, Court of Criminal Appeals, Place 8",0256,1060,766,1826,3226,56.60%,869,347,1216
"Judge, Court of Criminal Appeals, Place 8",0257,554,571,1125,2403,46.82%,363,192,555
"Judge, Court of Criminal Appeals, Place 8",0258,1578,888,2466,3286,75.05%,1854,227,2081
"Judge, Court of Criminal Appeals, Place 8",0259,1210,460,1670,2408,69.35%,90,276,366
"Judge, Court of Criminal Appeals, Place 8",0260,420,290,710,1187,59.81%,411,110,521
"Judge, Court of Criminal Appeals, Place 8",0261,176,133,309,749,41.26%,127,53,180
"Judge, Court of Criminal Appeals, Place 8",0262,1472,906,2378,4232,56.19%,1439,402,1841
"Judge, Court of Criminal Appeals, Place 8",0263,1787,719,2506,3319,75.50%,1884,227,2111
"Judge, Court of Criminal Appeals, Place 8",0264,938,639,1577,2939,53.66%,918,238,1156
"Judge, Court of Criminal Appeals, Place 8",0265,1937,674,2611,3617,72.19%,1958,210,2168
"Judge, Court of Criminal Appeals, Place 8",0266,552,542,1094,2119,51.63%,578,162,740
"Judge, Court of Criminal Appeals, Place 8",0267,294,305,599,1346,44.50%,304,75,379
"Judge, Court of Criminal Appeals, Place 8",0268,932,810,1742,2387,72.98%,1158,217,1375
"Judge, Court of Criminal Appeals, Place 8",0269,1143,444,1587,1981,80.11%,1267,116,1383
"Judge, Court of Criminal Appeals, Place 8",0270,1403,870,2273,3517,64.63%,1402,365,1767
"Judge, Court of Criminal Appeals, Place 8",0271,1303,371,1674,2469,67.80%,75,344,419
"Judge, Court of Criminal Appeals, Place 8",0272,614,484,1098,2112,51.99%,466,299,765
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0273,1141,634,1775,2426,73.17%,1457,119,1576
"Judge, Court of Criminal Appeals, Place 8",0274,1054,364,1418,2063,68.73%,994,199,1193
"Judge, Court of Criminal Appeals, Place 8",0275,570,410,980,1730,56.65%,233,184,417
"Judge, Court of Criminal Appeals, Place 8",0276,1139,404,1543,2532,60.94%,67,315,382
"Judge, Court of Criminal Appeals, Place 8",0277,342,305,647,1473,43.92%,323,89,412
"Judge, Court of Criminal Appeals, Place 8",0278,756,607,1363,2405,56.67%,810,149,959
"Judge, Court of Criminal Appeals, Place 8",0279,548,383,931,1899,49.03%,599,120,719
"Judge, Court of Criminal Appeals, Place 8",0280,303,360,663,1515,43.76%,301,101,402
"Judge, Court of Criminal Appeals, Place 8",0281,1088,903,1991,2610,76.28%,1186,285,1471
