Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0565,316,194,510,1373,37.14%,120,95,215
"Judge, Court of Criminal Appeals, Place 8",0566,1126,478,1604,2950,54.37%,512,478,990
"Judge, Court of Criminal Appeals, Place 8",0567,673,394,1067,2198,48.54%,333,204,537
"Judge, Court of Criminal Appeals, Place 8",0568,1630,837,2467,3487,70.75%,1668,310,1978
"Judge, Court of Criminal Appeals, Place 8",0569,1295,865,2160,3249,66.48%,1258,429,1687
"Judge, Court of Criminal Appeals, Place 8",0570,527,409,936,1473,63.54%,464,242,706
"Judge, Court of Criminal Appeals, Place 8",0571,334,312,646,1758,36.75%,275,72,347
"Judge, Court of Criminal Appeals, Place 8",0572,1288,574,1862,2998,62.11%,941,400,1341
"Judge, Court of Criminal Appeals, Place 8",0573,578,368,946,1618,58.47%,34,170,204
"Judge, Court of Criminal Appeals, Place 8",0574,98,79,177,391,45.27%,36,23,59
"Judge, Court of Criminal Appeals, Place 8",0575,27,9,36,79,45.57%,30,4,34
"Judge, Court of Criminal Appeals, Place 8",0576,1051,552,1603,2671,60.01%,97,282,379
"Judge, Court of Criminal Appeals, Place 8",0577,231,113,344,573,60.03%,214,59,273
"Judge, Court of Criminal Appeals, Place 8",0578,745,553,1298,1689,76.85%,839,209,1048
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0579,489,351,840,1806,46.51%,285,147,432
"Judge, Court of Criminal Appeals, Place 8",0580,430,146,576,1027,56.09%,28,118,146
"Judge, Court of Criminal Appeals, Place 8",0581,510,162,672,1041,64.55%,35,128,163
"Judge, Court of Criminal Appeals, Place 8",0582,615,256,871,1613,54.00%,78,139,217
"Judge, Court of Criminal Appeals, Place 8",0583,544,127,671,1248,53.77%,33,94,127
"Judge, Court of Criminal Appeals, Place 8",0584,393,139,532,971,54.79%,53,73,126
"Judge, Court of Criminal Appeals, Place 8",0585,934,304,1238,2403,51.52%,63,237,300
"Judge, Court of Criminal Appeals, Place 8",0585,1307,1189,2496,4230,59.01%,1580,355,1935
"Judge, Court of Criminal Appeals, Place 8",0587,934,465,1399,2174,64.35%,555,233,788
"Judge, Court of Criminal Appeals, Place 8",0588,1539,871,2410,3468,69.49%,1724,316,2040
"Judge, Court of Criminal Appeals, Place 8",0589,1034,738,1772,3130,56.61%,1009,321,1330
"Judge, Court of Criminal Appeals, Place 8",0590,1158,463,1621,2136,75.89%,1276,148,1424
"Judge, Court of Criminal Appeals, Place 8",0591,420,449,869,2114,41.11%,325,119,444
"Judge, Court of Criminal Appeals, Place 8",0592,370,288,658,1258,52.31%,199,102,301
"Judge, Court of Criminal Appeals, Place 8",0593,1149,999,2148,4059,52.92%,1113,352,1465
"Judge, Court of Criminal Appeals, Place 8",0594,1032,535,1567,2361,66.37%,514,317,831
"Judge, Court of Criminal Appeals, Place 8",0595,497,380,877,1647,53.25%,207,152,359
"Judge, Court of Criminal Appeals, Place 8",0596,947,690,1637,2848,57.48%,896,285,1181
"Judge, Court of Criminal Appeals, Place 8",0597,1067,719,1786,3267,54.67%,735,350,1085
"Judge, Court of Criminal Appeals, Place 8",0598,335,103,438,724,60.50%,334,37,371
"Judge, Court of Criminal Appeals, Place 8",0599,1895,866,2761,4135,66.77%,1067,588,1655
"Judge, Court of Criminal Appeals, Place 8",0600,1383,869,2252,3820,58.95%,904,437,1341
"Judge, Court of Criminal Appeals, Place 8",0601,2028,858,2886,3990,72.33%,2193,299,2492
"Judge, Court of Criminal Appeals, Place 8",0602,563,296,859,1237,69.44%,613,100,713
"Judge, Court of Criminal Appeals, Place 8",0603,1438,1163,2601,3917,66.40%,1640,364,2004
"Judge, Court of Criminal Appeals, Place 8",0604,1446,528,1974,2910,67.84%,1601,172,1773
"Judge, Court of Criminal Appeals, Place 8",0605,2228,889,3117,5251,59.36%,1021,595,1616
"Judge, Court of Criminal Appeals, Place 8",0606,420,122,542,1053,51.47%,28,77,105
"Judge, Court of Criminal Appeals, Place 8",0607,194,118,312,731,42.68%,27,48,75
"Judge, Court of Criminal Appeals, Place 8",0608,245,290,535,1256,42.60%,279,76,355
"Judge, Court of Criminal Appeals, Place 8",0609,1365,844,2209,3261,67.74%,1453,310,1763
"Judge, Court of Criminal Appeals, Place 8",0610,403,398,801,1825,43.89%,421,119,540
"Judge, Court of Criminal Appeals, Place 8",0611,1122,301,1423,2450,58.08%,65,214,279
"Judge, Court of Criminal Appeals, Place 8",0612,1702,579,2281,3272,69.71%,1756,247,2003
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0613,495,309,804,1450,55.45%,161,162,323
"Judge, Court of Criminal Appeals, Place 8",0614,1632,812,2444,3932,62.16%,957,405,1362
"Judge, Court of Criminal Appeals, Place 8",0615,931,404,1335,1926,69.31%,820,183,1003
"Judge, Court of Criminal Appeals, Place 8",0616,1353,970,2323,3378,68.77%,1647,304,1951
"Judge, Court of Criminal Appeals, Place 8",0617,1322,849,2171,3546,61.22%,914,478,1392
"Judge, Court of Criminal Appeals, Place 8",0618,1924,1021,2945,5344,55.11%,1437,498,1935
"Judge, Court of Criminal Appeals, Place 8",0619,2134,857,2991,4266,70.11%,2262,315,2577
"Judge, Court of Criminal Appeals, Place 8",0620,2387,856,3243,5271,61.53%,1721,554,2275
"Judge, Court of Criminal Appeals, Place 8",0621,398,203,601,1173,51.24%,341,120,461
"Judge, Court of Criminal Appeals, Place 8",0622,1724,829,2553,4305,59.30%,1591,382,1973
"Judge, Court of Criminal Appeals, Place 8",0623,1709,626,2335,3481,67.08%,1526,301,1827
"Judge, Court of Criminal Appeals, Place 8",0624,9,0,9,16,56.25%,5,1,6
"Judge, Court of Criminal Appeals, Place 8",0625,865,454,1319,1796,73.44%,788,239,1027
"Judge, Court of Criminal Appeals, Place 8",0626,1150,655,1805,2838,63.60%,960,354,1314
"Judge, Court of Criminal Appeals, Place 8",0627,795,647,1442,2964,48.65%,507,266,773
"Judge, Court of Criminal Appeals, Place 8",0628,292,456,748,1600,46.75%,379,129,508
"Judge, Court of Criminal Appeals, Place 8",0629,177,127,304,629,48.33%,50,72,122
"Judge, Court of Criminal Appeals, Place 8",0630,2023,535,2558,3190,80.19%,403,815,1218
"Judge, Court of Criminal Appeals, Place 8",0631,1490,392,1882,2733,68.86%,1371,201,1572
"Judge, Court of Criminal Appeals, Place 8",0632,12,9,21,231,9.09%,5,8,13
"Judge, Court of Criminal Appeals, Place 8",0633,1783,678,2461,3257,75.56%,1843,258,2101
"Judge, Court of Criminal Appeals, Place 8",0634,1022,734,1756,2922,60.10%,1130,264,1394
"Judge, Court of Criminal Appeals, Place 8",0635,1328,706,2034,3280,62.01%,1566,224,1790
"Judge, Court of Criminal Appeals, Place 8",0636,1793,974,2767,3881,71.30%,2346,183,2529
"Judge, Court of Criminal Appeals, Place 8",0637,740,509,1249,2471,50.55%,445,238,683
"Judge, Court of Criminal Appeals, Place 8",0638,741,684,1425,2078,68.58%,181,345,526
"Judge, Court of Criminal Appeals, Place 8",0539,833,711,1544,2501,61.74%,1217,120,1337
"Judge, Court of Criminal Appeals, Place 8",0640,1385,723,2108,3548,59.41%,1278,331,1609
"Judge, Court of Criminal Appeals, Place 8",0641,1265,878,2143,3375,63.50%,1350,295,1645
"Judge, Court of Criminal Appeals, Place 8",0642,873,447,1320,1779,74.20%,1090,84,1174
"Judge, Court of Criminal Appeals, Place 8",0643,2160,994,3154,5310,59.40%,1413,653,2066
"Judge, Court of Criminal Appeals, Place 8",0644,2125,1204,3329,5261,63.28%,2189,472,2661
"Judge, Court of Criminal Appeals, Place 8",0645,1648,895,2543,4035,63.02%,1314,524,1838
"Judge, Court of Criminal Appeals, Place 8",0646,708,456,1164,2163,53.81%,421,230,651
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0647,1771,1020,2791,5593,49.90%,840,533,1373
"Judge, Court of Criminal Appeals, Place 8",0648,1591,668,2259,3197,70.66%,1622,264,1886
"Judge, Court of Criminal Appeals, Place 8",0649,1390,854,2244,4426,50.70%,759,470,1229
"Judge, Court of Criminal Appeals, Place 8",0650,1329,939,2268,3151,71.98%,1730,219,1949
"Judge, Court of Criminal Appeals, Place 8",0651,2087,1070,3157,4931,64.02%,2079,437,2516
"Judge, Court of Criminal Appeals, Place 8",0652,1054,653,1707,2633,64.83%,393,401,794
"Judge, Court of Criminal Appeals, Place 8",0653,0,8,8,0,0.00%,4,2,6
"Judge, Court of Criminal Appeals, Place 8",0654,2106,1344,3450,5765,59.84%,1970,515,2485
"Judge, Court of Criminal Appeals, Place 8",0655,2614,1451,4065,6304,64.48%,2612,544,3156
"Judge, Court of Criminal Appeals, Place 8",0656,1199,421,1620,2622,61.78%,110,251,361
"Judge, Court of Criminal Appeals, Place 8",0657,491,268,759,1200,63.25%,345,125,470
"Judge, Court of Criminal Appeals, Place 8",0658,986,708,1694,2824,59.99%,1091,246,1337
"Judge, Court of Criminal Appeals, Place 8",0659,2143,1091,3234,4588,70.49%,2321,396,2717
"Judge, Court of Criminal Appeals, Place 8",0660,2461,932,3393,5048,67.21%,485,810,1295
"Judge, Court of Criminal Appeals, Place 8",0661,1616,1012,2628,4179,62.89%,1529,444,1973
"Judge, Court of Criminal Appeals, Place 8",0662,2477,999,3476,4807,72.31%,2808,238,3046
"Judge, Court of Criminal Appeals, Place 8",0663,1304,913,2217,3232,68.60%,1321,378,1699
"Judge, Court of Criminal Appeals, Place 8",0664,681,607,1288,2801,45.98%,401,172,573
"Judge, Court of Criminal Appeals, Place 8",0665,951,394,1345,2007,67.02%,1107,81,1188
"Judge, Court of Criminal Appeals, Place 8",0666,0,1,1,0,0.00%,0,1,1
"Judge, Court of Criminal Appeals, Place 8",0667,990,547,1537,2181,70.47%,1206,129,1335
"Judge, Court of Criminal Appeals, Place 8",0668,928,655,1583,2458,64.40%,1038,214,1252
"Judge, Court of Criminal Appeals, Place 8",0669,1609,823,2432,3243,74.99%,1772,288,2060
"Judge, Court of Criminal Appeals, Place 8",0670,1567,518,2085,2952,70.63%,1647,175,1822
"Judge, Court of Criminal Appeals, Place 8",0671,1091,773,1864,2942,63.36%,1131,309,1440
"Judge, Court of Criminal Appeals, Place 8",0672,2303,1078,3381,4710,71.78%,2285,406,2691
"Judge, Court of Criminal Appeals, Place 8",0673,1377,643,2020,2988,67.60%,1568,153,1721
"Judge, Court of Criminal Appeals, Place 8",0674,2092,813,2905,4055,71.64%,2214,279,2493
"Judge, Court of Criminal Appeals, Place 8",0675,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0676,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0677,220,239,459,954,48.11%,196,68,264
"Judge, Court of Criminal Appeals, Place 8",0678,297,164,461,756,60.98%,324,54,378
"Judge, Court of Criminal Appeals, Place 8",0679,1469,661,2130,3331,63.94%,1612,180,1792
"Judge, Court of Criminal Appeals, Place 8",0680,57,22,79,181,43.65%,43,20,63
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0681,1,0,1,5,20.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0682,1674,912,2586,4134,62.55%,1879,245,2124
"Judge, Court of Criminal Appeals, Place 8",0683,48,50,98,261,37.55%,39,17,56
"Judge, Court of Criminal Appeals, Place 8",0684,73,24,97,187,51.87%,61,16,77
"Judge, Court of Criminal Appeals, Place 8",0685,167,29,196,326,60.12%,95,23,118
"Judge, Court of Criminal Appeals, Place 8",0686,46,34,80,196,40.82%,20,17,37
"Judge, Court of Criminal Appeals, Place 8",0687,1088,641,1729,2497,69.24%,1214,203,1417
"Judge, Court of Criminal Appeals, Place 8",0688,1818,673,2491,3266,76.27%,2003,205,2208
"Judge, Court of Criminal Appeals, Place 8",0689,506,651,1157,2276,50.83%,613,179,792
"Judge, Court of Criminal Appeals, Place 8",0690,1969,1116,3085,4184,73.73%,2416,287,2703
"Judge, Court of Criminal Appeals, Place 8",0691,10,2,12,34,35.29%,4,3,7
"Judge, Court of Criminal Appeals, Place 8",0692,1001,717,1718,2626,65.42%,1278,181,1459
"Judge, Court of Criminal Appeals, Place 8",0693,303,116,419,651,64.36%,136,97,233
"Judge, Court of Criminal Appeals, Place 8",0694,420,137,557,817,68.18%,397,72,469
"Judge, Court of Criminal Appeals, Place 8",0695,455,320,775,1646,47.08%,516,91,607
"Judge, Court of Criminal Appeals, Place 8",0696,600,373,973,2098,46.38%,615,127,742
"Judge, Court of Criminal Appeals, Place 8",0697,1517,941,2458,4307,57.07%,693,450,1143
"Judge, Court of Criminal Appeals, Place 8",0698,1137,659,1796,2948,60.92%,279,301,580
"Judge, Court of Criminal Appeals, Place 8",0699,1032,566,1598,2288,69.84%,1089,181,1270
"Judge, Court of Criminal Appeals, Place 8",0700,531,287,818,1313,62.30%,659,72,731
"Judge, Court of Criminal Appeals, Place 8",0701,142,115,257,554,46.39%,157,33,190
"Judge, Court of Criminal Appeals, Place 8",0702,150,123,273,549,49.73%,58,41,99
"Judge, Court of Criminal Appeals, Place 8",0703,743,616,1359,1845,73.66%,998,146,1144
"Judge, Court of Criminal Appeals, Place 8",0704,1336,701,2037,2882,70.68%,1641,146,1787
"Judge, Court of Criminal Appeals, Place 8",0705,358,238,596,1520,39.21%,83,86,169
"Judge, Court of Criminal Appeals, Place 8",0706,222,135,357,529,67.49%,179,78,257
"Judge, Court of Criminal Appeals, Place 8",0707,284,136,420,707,59.41%,260,82,342
"Judge, Court of Criminal Appeals, Place 8",0708,109,95,204,568,35.92%,113,32,145
"Judge, Court of Criminal Appeals, Place 8",0709,2997,1297,4294,6239,68.83%,2744,657,3401
"Judge, Court of Criminal Appeals, Place 8",0710,881,602,1483,2023,73.31%,929,291,1220
"Judge, Court of Criminal Appeals, Place 8",0711,1493,701,2194,3351,65.47%,1404,334,1738
"Judge, Court of Criminal Appeals, Place 8",0712,1205,858,2063,3348,61.62%,979,425,1404
"Judge, Court of Criminal Appeals, Place 8",0713,666,436,1102,1827,60.32%,606,182,788
"Judge, Court of Criminal Appeals, Place 8",0714,77,3,80,304,26.32%,56,5,61
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0715,405,326,731,1380,52.97%,381,145,526
"Judge, Court of Criminal Appeals, Place 8",0716,977,622,1599,2670,59.89%,1132,162,1294
"Judge, Court of Criminal Appeals, Place 8",0717,826,362,1188,1927,61.65%,216,222,438
"Judge, Court of Criminal Appeals, Place 8",0718,1844,1019,2863,4050,70.69%,1994,304,2298
"Judge, Court of Criminal Appeals, Place 8",0719,508,260,768,1617,47.50%,479,83,562
"Judge, Court of Criminal Appeals, Place 8",0720,1575,1044,2619,3903,67.10%,1928,279,2207
"Judge, Court of Criminal Appeals, Place 8",0721,1335,637,1972,2842,69.39%,1368,260,1628
"Judge, Court of Criminal Appeals, Place 8",0722,1895,642,2537,4357,58.23%,303,638,941
"Judge, Court of Criminal Appeals, Place 8",0723,749,329,1078,1760,61.25%,285,194,479
"Judge, Court of Criminal Appeals, Place 8",0724,325,170,495,716,69.13%,358,51,409
"Judge, Court of Criminal Appeals, Place 8",0725,953,329,1282,2124,60.36%,579,170,749
"Judge, Court of Criminal Appeals, Place 8",0726,1141,304,1445,1987,72.72%,1238,84,1322
"Judge, Court of Criminal Appeals, Place 8",0727,935,466,1401,2488,56.31%,442,380,822
"Judge, Court of Criminal Appeals, Place 8",0728,343,208,551,881,62.54%,334,95,429
"Judge, Court of Criminal Appeals, Place 8",0729,208,93,301,446,67.49%,186,36,222
"Judge, Court of Criminal Appeals, Place 8",0730,808,437,1245,1630,76.38%,871,143,1014
"Judge, Court of Criminal Appeals, Place 8",0731,122,36,158,373,42.36%,42,39,81
"Judge, Court of Criminal Appeals, Place 8",0732,701,543,1244,1895,65.65%,766,216,982
"Judge, Court of Criminal Appeals, Place 8",0733,25,62,87,172,50.58%,36,8,44
"Judge, Court of Criminal Appeals, Place 8",0734,3213,1114,4327,5952,72.70%,3027,512,3539
"Judge, Court of Criminal Appeals, Place 8",0735,9,0,9,23,39.1,3%,6,3,9
"Judge, Court of Criminal Appeals, Place 8",0736,6,1,7,21,33.33%,1,0,1
"Judge, Court of Criminal Appeals, Place 8",0737,25,5,30,53,56.60%,25,2,27
"Judge, Court of Criminal Appeals, Place 8",0738,470,219,689,1294,53.25%,105,135,240
"Judge, Court of Criminal Appeals, Place 8",0739,1006,490,1496,2872,52.09%,721,219,940
"Judge, Court of Criminal Appeals, Place 8",0740,233,205,438,935,46.84%,237,54,291
"Judge, Court of Criminal Appeals, Place 8",0741,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0742,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0743,27,4,31,199,15.58%,16,4,20
"Judge, Court of Criminal Appeals, Place 8",0744,848,509,1357,2024,67.05%,918,172,1090
"Judge, Court of Criminal Appeals, Place 8",0745,1068,542,1610,2396,67.20%,1044,239,1283
"Judge, Court of Criminal Appeals, Place 8",0746,230,151,381,707,53.89%,198,60,258
"Judge, Court of Criminal Appeals, Place 8",0747,1200,873,2073,3490,59.40%,1079,359,1438
"Judge, Court of Criminal Appeals, Place 8",0748,421,307,728,1319,55.19%,369,154,523
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0749,99,57,156,359,43.45%,35,28,63
"Judge, Court of Criminal Appeals, Place 8",0750,264,147,411,720,57.08%,237,76,313
"Judge, Court of Criminal Appeals, Place 8",0751,1668,1254,2922,4451,65.65%,1998,386,2384
"Judge, Court of Criminal Appeals, Place 8",0752,572,277,849,1511,56.19%,639,73,712
"Judge, Court of Criminal Appeals, Place 8",0753,106,61,167,260,64.23%,116,20,136
"Judge, Court of Criminal Appeals, Place 8",0754,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0755,1050,896,1946,3569,54.53%,918,385,1303
"Judge, Court of Criminal Appeals, Place 8",0756,582,300,882,1539,57.31%,333,144,477
"Judge, Court of Criminal Appeals, Place 8",0757,1417,690,2107,3498,60.23%,457,485,942
"Judge, Court of Criminal Appeals, Place 8",0758,1996,783,2779,3781,73.50%,2218,241,2459
"Judge, Court of Criminal Appeals, Place 8",0759,1112,590,1702,2625,64.84%,1075,260,1335
"Judge, Court of Criminal Appeals, Place 8",0760,2347,647,2994,4154,72.08%,2504,220,2724
"Judge, Court of Criminal Appeals, Place 8",0761,917,219,1136,1464,77.60%,859,112,971
"Judge, Court of Criminal Appeals, Place 8",0762,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0763,256,308,564,1184,47.64%,265,81,346
"Judge, Court of Criminal Appeals, Place 8",0764,2274,1050,3324,4931,67.41%,2183,429,2612
"Judge, Court of Criminal Appeals, Place 8",0765,1393,815,2208,3967,55.66%,891,525,1416
"Judge, Court of Criminal Appeals, Place 8",0766,72,92,164,383,42.82%,62,26,88
"Judge, Court of Criminal Appeals, Place 8",0767,20,15,35,90,38.89%,25,2,27
"Judge, Court of Criminal Appeals, Place 8",0768,2855,1159,4014,5364,74.83%,3194,350,3544
"Judge, Court of Criminal Appeals, Place 8",0769,117,5,122,161,75.78%,6,14,20
"Judge, Court of Criminal Appeals, Place 8",0770,58,48,106,262,40.46%,50,19,69
"Judge, Court of Criminal Appeals, Place 8",0771,703,537,1240,2378,52.14%,690,210,900
"Judge, Court of Criminal Appeals, Place 8",0772,2932,1002,3934,5617,70.04%,3007,377,3384
"Judge, Court of Criminal Appeals, Place 8",0773,892,550,1442,2648,54.46%,443,299,742
"Judge, Court of Criminal Appeals, Place 8",0774,117,74,191,301,63.46%,52,44,96
"Judge, Court of Criminal Appeals, Place 8",0775,33,1,34,83,40.96%,1,1,2
"Judge, Court of Criminal Appeals, Place 8",0776,1115,741,1856,2855,65.01%,1159,269,1428
"Judge, Court of Criminal Appeals, Place 8",0777,83,123,206,642,32.09%,78,28,106
"Judge, Court of Criminal Appeals, Place 8",0778,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0779,295,221,516,1146,45.03%,225,79,304
"Judge, Court of Criminal Appeals, Place 8",0780,136,114,250,579,43.18%,133,33,166
"Judge, Court of Criminal Appeals, Place 8",0781,1152,655,1807,3716,48.63%,830,266,1096
"Judge, Court of Criminal Appeals, Place 8",0782,851,532,1383,2188,63.21%,864,214,1078
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0783,103,43,146,265,55.09%,80,21,101
"Judge, Court of Criminal Appeals, Place 8",0784,430,156,586,1071,54.72%,24,79,103
"Judge, Court of Criminal Appeals, Place 8",0785,66,55,121,310,39.03%,72,17,89
"Judge, Court of Criminal Appeals, Place 8",0786,193,277,470,1297,36.24%,196,59,255
"Judge, Court of Criminal Appeals, Place 8",0787,154,76,230,487,47.23%,99,34,133
"Judge, Court of Criminal Appeals, Place 8",0788,156,58,214,481,44.49%,79,56,135
"Judge, Court of Criminal Appeals, Place 8",0789,3,1,4,4,100.00%,0,2,2
"Judge, Court of Criminal Appeals, Place 8",0790,1,0,1,4,25.00%,0,1,1
"Judge, Court of Criminal Appeals, Place 8",0791,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0792,549,409,958,1834,52.24%,302,127,429
"Judge, Court of Criminal Appeals, Place 8",0793,890,338,1228,2437,50.39%,763,143,906
"Judge, Court of Criminal Appeals, Place 8",0794,575,484,1059,2602,40.70%,146,227,373
"Judge, Court of Criminal Appeals, Place 8",0795,265,255,520,1207,43.08%,224,87,311
"Judge, Court of Criminal Appeals, Place 8",0796,145,92,237,485,48.87%,131,39,170
"Judge, Court of Criminal Appeals, Place 8",0797,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0798,176,263,439,496,88.51%,162,100,262
"Judge, Court of Criminal Appeals, Place 8",0799,65,12,77,146,52.74%,22,18,40
"Judge, Court of Criminal Appeals, Place 8",0800,1188,795,1983,2817,70.39%,1385,273,1658
"Judge, Court of Criminal Appeals, Place 8",0801,68,55,123,253,48.62%,49,36,85
"Judge, Court of Criminal Appeals, Place 8",0802,98,58,156,299,52.17%,45,57,102
"Judge, Court of Criminal Appeals, Place 8",0803,1305,530,1935,2718,71.19%,1449,188,1637
"Judge, Court of Criminal Appeals, Place 8",0804,1810,960,2770,4348,63.71%,1771,380,2151
"Judge, Court of Criminal Appeals, Place 8",0805,1509,529,2038,2812,72.48%,1618,190,1808
"Judge, Court of Criminal Appeals, Place 8",0806,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0807,653,402,1055,2001,52.72%,228,356,584
"Judge, Court of Criminal Appeals, Place 8",0808,42,26,68,84,80.95%,32,16,48
"Judge, Court of Criminal Appeals, Place 8",0809,21,e,27,86,31.40%,11,3,14
"Judge, Court of Criminal Appeals, Place 8",0810,30,48,78,215,36.28%,25,11,36
"Judge, Court of Criminal Appeals, Place 8",0811,39,106,145,271,53.51%,49,30,79
"Judge, Court of Criminal Appeals, Place 8",0812,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0813,1969,1258,3227,5423,59.51%,1705,523,2228
"Judge, Court of Criminal Appeals, Place 8",0814,1774,955,2729,4503,60.60%,786,645,1431
"Judge, Court of Criminal Appeals, Place 8",0815,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0816,20,13,33,76,43.42%,12,9,21
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0817,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0818,134,101,235,527,44.59%,85,48,111
"Judge, Court of Criminal Appeals, Place 8",0819,97,45,142,238,59.88%,98,15,111
"Judge, Court of Criminal Appeals, Place 8",0820,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0821,354,203,557,1208,48.19%,81,107,188
"Judge, Court of Criminal Appeals, Place 8",0822,584,282,888,1544,58.09%,57,148,205
"Judge, Court of Criminal Appeals, Place 8",0823,1854,1015,2889,4710,80.91%,1813,511,2124
"Judge, Court of Criminal Appeals, Place 8",0824,985,471,1458,2729,53.35%,417,281,898
"Judge, Court of Criminal Appeals, Place 8",0825,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0828,153,89,242,342,70.78%,148,44,190
"Judge, Court of Criminal Appeals, Place 8",0827,189,188,355,997,35.81%,182,44,208
"Judge, Court of Criminal Appeals, Place 8",0828,1074,343,1417,1875,75.57%,1158,104,1282
"Judge, Court of Criminal Appeals, Place 8",0829,107,58,183,288,81.28%,38,39,77
"Judge, Court of Criminal Appeals, Place 8",0830,0,0,0,1,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0831,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0832,109,48,155,351,44.18%,54,23,77
"Judge, Court of Criminal Appeals, Place 8",0833,8,1,9,20,45.00%,0,2,2
"Judge, Court of Criminal Appeals, Place 8",0834,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0835,87,53,140,292,47.95%,55,27,82
"Judge, Court of Criminal Appeals, Place 8",0838,8,3,11,19,57.89%,2,2,4
"Judge, Court of Criminal Appeals, Place 8",0837,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0838,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0839,355,240,595,1122,53.03%,181,178,337
"Judge, Court of Criminal Appeals, Place 8",0840,712,251,983,1821,59.41%,385,154,519
"Judge, Court of Criminal Appeals, Place 8",0841,0,2,2,0,0.00%,1,0,1
"Judge, Court of Criminal Appeals, Place 8",0842,989,715,1704,3091,55.13%,873,314,1187
"Judge, Court of Criminal Appeals, Place 8",0843,0,2,2,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0844,2,4,8,13,48.15%,1,1,2
"Judge, Court of Criminal Appeals, Place 8",0845,88,10,98,100,98.00%,59,12,71
"Judge, Court of Criminal Appeals, Place 8",0848,70,29,99,210,47.14%,9,20,29
"Judge, Court of Criminal Appeals, Place 8",0847,797,321,1118,1804,81.97%,387,210,577
"Judge, Court of Criminal Appeals, Place 8",0848,782,431,1213,1873,84.78%,454,233,887
"Judge, Court of Criminal Appeals, Place 8",0849,553,514,1087,2073,51.47%,472,191,883
"Judge, Court of Criminal Appeals, Place 8",0850,87,38,125,205,80.98%,81,15,78
