Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0201,229,125,354,728,48.63%,11,334,1,346
"Presiding Judge, Court of Criminal Appeals",0202,488,332,820,1479,55.44%,16,770,2,788
"Presiding Judge, Court of Criminal Appeals",0203,266,156,422,900,46.89%,82,312,10,404
"Presiding Judge, Court of Criminal Appeals",0204,1496,914,2410,3462,69.61%,1310,885,70,2265
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0205,856,201,1057,1667,63.41%,18,1009,3,1030
"Presiding Judge, Court of Criminal Appeals",0206,652,659,1311,2662,49.25%,375,814,52,1241
"Presiding Judge, Court of Criminal Appeals",0207,410,310,720,1144,62.94%,239,403,22,664
"Presiding Judge, Court of Criminal Appeals",0208,808,364,1172,2201,53.25%,304,787,15,1106
"Presiding Judge, Court of Criminal Appeals",0209,0,4,4,0,0.00%,4,0,0,4
"Presiding Judge, Court of Criminal Appeals",0210,1018,542,1560,2300,67.83%,152,1311,28,1491
"Presiding Judge, Court of Criminal Appeals",0211,710,686,1396,2797,49.91%,474,799,31,1304
"Presiding Judge, Court of Criminal Appeals",0212,219,314,533,1266,42.10%,92,403,9,504
"Presiding Judge, Court of Criminal Appeals",0213,1603,939,2542,3308,76.84%,1855,524,40,2419
"Presiding Judge, Court of Criminal Appeals",0214,800,544,1344,1795,74.87%,795,420,37,1252
"Presiding Judge, Court of Criminal Appeals",0215,845,786,1631,2168,75.23%,921,550,58,1529
"Presiding Judge, Court of Criminal Appeals",0216,784,320,1104,1917,57.59%,79,981,10,1070
"Presiding Judge, Court of Criminal Appeals",0217,1399,651,2050,2637,77.74%,1183,688,52,1923
"Presiding Judge, Court of Criminal Appeals",0218,690,608,1298,2274,57.08%,364,813,35,1212
"Presiding Judge, Court of Criminal Appeals",0219,1119,587,1706,2654,64.28%,129,1475,21,1625
"Presiding Judge, Court of Criminal Appeals",0220,711,353,1064,2360,45.08%,696,294,22,1012
"Presiding Judge, Court of Criminal Appeals",0221,700,611,1311,2489,52.67%,499,680,37,1216
"Presiding Judge, Court of Criminal Appeals",0222,1001,792,1793,2384,75.21%,740,852,51,1643
"Presiding Judge, Court of Criminal Appeals",0223,1361,760,2121,3528,60.12%,574,1344,68,1986
"Presiding Judge, Court of Criminal Appeals",0224,898,649,1547,2259,68.48%,671,732,34,1437
"Presiding Judge, Court of Criminal Appeals",0225,1113,720,1833,3155,58.10%,754,985,24,1763
"Presiding Judge, Court of Criminal Appeals",0226,529,545,1074,2393,44.88%,218,748,21,987
"Presiding Judge, Court of Criminal Appeals",0227,949,451,1400,1767,79.23%,946,337,42,1325
"Presiding Judge, Court of Criminal Appeals",0228,584,165,749,1073,69.80%,27,693,7,727
"Presiding Judge, Court of Criminal Appeals",0229,152,207,359,811,44.27%,107,235,3,345
"Presiding Judge, Court of Criminal Appeals",0230,421,153,574,1096,52.37%,10,534,6,550
"Presiding Judge, Court of Criminal Appeals",0231,563,471,1034,2219,46.60%,247,717,19,983
"Presiding Judge, Court of Criminal Appeals",0232,686,546,1232,1696,72.64%,648,473,27,1148
"Presiding Judge, Court of Criminal Appeals",0233,1835,1063,2898,4132,70.14%,1372,1211,134,2717
"Presiding Judge, Court of Criminal Appeals",0234,2093,885,2978,3854,77.27%,2121,651,41,2813
"Presiding Judge, Court of Criminal Appeals",0235,466,242,708,1305,54.25%,21,665,5,691
"Presiding Judge, Court of Criminal Appeals",0236,779,342,1121,2144,52.29%,26,1047,2,1075
"Presiding Judge, Court of Criminal Appeals",0237,793,441,1234,2181,56.58%,21,1183,4,1208
"Presiding Judge, Court of Criminal Appeals",0238,641,422,1063,1901,55.92%,20,998,10,1028
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0239,765,357,1122,1997,56.18%,27,1057,4,1088
"Presiding Judge, Court of Criminal Appeals",0240,1158,402,1560,2688,58.04%,12,1491,12,1515
"Presiding Judge, Court of Criminal Appeals",0241,494,479,973,2296,42.38%,367,544,19,930
"Presiding Judge, Court of Criminal Appeals",0242,363,323,686,1570,43.69%,344,296,15,655
"Presiding Judge, Court of Criminal Appeals",0243,254,50,304,452,67.26%,2,293,3,298
"Presiding Judge, Court of Criminal Appeals",0244,1102,656,1758,2912,60.37%,890,756,46,1692
"Presiding Judge, Court of Criminal Appeals",0245,2344,1115,3459,5240,66.01%,2246,1009,91,3346
"Presiding Judge, Court of Criminal Appeals",0246,1584,624,2208,2999,73.62%,1441,639,41,2121
"Presiding Judge, Court of Criminal Appeals",0247,422,403,825,1607,51.34%,12,787,7,806
"Presiding Judge, Court of Criminal Appeals",0248,408,405,813,2122,38.31%,178,570,19,767
"Presiding Judge, Court of Criminal Appeals",0249,1031,481,1512,2676,56.50%,964,461,26,1451
"Presiding Judge, Court of Criminal Appeals",0250,306,247,553,951,58.15%,11,531,1,543
"Presiding Judge, Court of Criminal Appeals",0251,809,529,1338,2072,64.58%,53,1229,6,1288
"Presiding Judge, Court of Criminal Appeals",0252,1111,356,1467,2350,62.43%,22,1402,4,1428
"Presiding Judge, Court of Criminal Appeals",0253,923,325,1248,2252,55.42%,15,1209,4,1228
"Presiding Judge, Court of Criminal Appeals",0254,220,282,502,1476,34.01%,122,344,6,472
"Presiding Judge, Court of Criminal Appeals",0255,996,797,1793,2411,74.37%,769,881,41,1691
"Presiding Judge, Court of Criminal Appeals",0256,1060,766,1826,3226,56.60%,688,975,45,1708
"Presiding Judge, Court of Criminal Appeals",0257,554,571,1125,2403,46.82%,263,797,17,1077
"Presiding Judge, Court of Criminal Appeals",0258,1578,888,2466,3286,75.05%,1701,555,59,2315
"Presiding Judge, Court of Criminal Appeals",0259,1210,460,1670,2408,69.35%,23,1609,7,1639
"Presiding Judge, Court of Criminal Appeals",0260,420,290,710,1187,59.81%,361,303,14,678
"Presiding Judge, Court of Criminal Appeals",0261,176,133,309,749,41.26%,91,200,4,295
"Presiding Judge, Court of Criminal Appeals",0262,1472,906,2378,4232,56.19%,1286,863,82,2231
"Presiding Judge, Court of Criminal Appeals",0263,1787,719,2506,3319,75.50%,1800,556,62,2418
"Presiding Judge, Court of Criminal Appeals",0264,938,639,1577,2939,53.66%,811,626,44,1481
"Presiding Judge, Court of Criminal Appeals",0265,1937,674,2611,3617,72.19%,1815,587,61,2463
"Presiding Judge, Court of Criminal Appeals",0266,552,542,1094,2119,51.63%,467,538,40,1045
"Presiding Judge, Court of Criminal Appeals",0267,294,305,599,1346,44.50%,253,290,16,559
"Presiding Judge, Court of Criminal Appeals",0268,932,810,1742,2387,72.98%,969,606,36,1611
"Presiding Judge, Court of Criminal Appeals",0269,1143,444,1587,1981,80.11%,1144,325,29,1498
"Presiding Judge, Court of Criminal Appeals",0270,1403,870,2273,3517,64.63%,1238,853,60,2151
"Presiding Judge, Court of Criminal Appeals",0271,1303,371,1674,2469,67.80%,17,1609,6,1632
"Presiding Judge, Court of Criminal Appeals",0272,614,484,1098,2112,51.99%,380,626,37,1043
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
