Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0547,877,647,1524,2408,63.29%,999,412,53,1464
"Presiding Judge, Court of Criminal Appeals",0548,720,476,1196,2129,56.18%,520,614,18,1152
"Presiding Judge, Court of Criminal Appeals",0549,944,586,1530,2530,60.47%,201,1251,27,1479
"Presiding Judge, Court of Criminal Appeals",0550,1134,629,1763,2847,61.92%,832,834,40,1706
"Presiding Judge, Court of Criminal Appeals",0551,3092,1527,4619,6135,75.29%,3231,1102,100,4433
"Presiding Judge, Court of Criminal Appeals",0552,1521,844,2465,3241,76.06%,1956,357,65,2378
"Presiding Judge, Court of Criminal Appeals",0553,1465,951,2416,4355,55.48%,978,1288,57,2323
"Presiding Judge, Court of Criminal Appeals",0554,562,340,902,1731,52.11%,137,706,6,849
"Presiding Judge, Court of Criminal Appeals",0555,598,447,1045,2119,49.32%,177,813,13,1003
"Presiding Judge, Court of Criminal Appeals",0556,585,421,1006,2249,44.73%,204,737,13,954
"Presiding Judge, Court of Criminal Appeals",0557,822,556,1378,2726,50.55%,425,823,18,1266
"Presiding Judge, Court of Criminal Appeals",0558,1592,824,2416,4084,59.16%,736,1518,57,2311
"Presiding Judge, Court of Criminal Appeals",0559,1794,899,2693,4633,58.13%,595,1909,81,2585
"Presiding Judge, Court of Criminal Appeals",0560,172,289,461,1176,39.20%,96,327,9,432
"Presiding Judge, Court of Criminal Appeals",0561,837,759,1596,3033,52.62%,843,644,32,1519
"Presiding Judge, Court of Criminal Appeals",0562,201,146,347,645,53.80%,24,303,4,331
"Presiding Judge, Court of Criminal Appeals",0563,1700,415,2115,2969,71.24%,1560,411,55,2026
"Presiding Judge, Court of Criminal Appeals",0564,1159,713,1872,3096,60.47%,478,1236,51,1765
"Presiding Judge, Court of Criminal Appeals",0565,31,e,194,510,1373,37.14%,90,380,6,476
"Presiding Judge, Court of Criminal Appeals",0566,1126,478,1604,2950,54.37%,400,1112,36,1548
"Presiding Judge, Court of Criminal Appeals",0567,673,394,1067,2198,48.54%,263,691,21,975
"Presiding Judge, Court of Criminal Appeals",0568,1630,837,2467,3487,70.75%,1515,745,72,2332
"Presiding Judge, Court of Criminal Appeals",0569,1295,865,2160,3249,66.48%,1086,867,71,2024
"Presiding Judge, Court of Criminal Appeals",0570,527,409,936,1473,63.54%,379,445,41,865
"Presiding Judge, Court of Criminal Appeals",0571,334,312,646,1758,36.75%,196,400,8,604
"Presiding Judge, Court of Criminal Appeals",0572,1288,574,1862,2998,62.11%,825,914,45,1784
"Presiding Judge, Court of Criminal Appeals",0573,578,368,946,1618,58.47%,10,913,1,924
"Presiding Judge, Court of Criminal Appeals",0574,98,79,177,391,45.27%,17,147,2,166
"Presiding Judge, Court of Criminal Appeals",0575,27,9,36,79,45.57%,32,2,1,35
"Presiding Judge, Court of Criminal Appeals",0576,1051,552,1603,2671,60.01%,52,1496,6,1554
"Presiding Judge, Court of Criminal Appeals",0577,231,113,344,573,60.03%,178,139,10,327
"Presiding Judge, Court of Criminal Appeals",0578,745,553,1298,1689,76.85%,756,413,35,1204
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0579,489,351,840,1806,46.51%,194,591,11,796
"Presiding Judge, Court of Criminal Appeals",0580,430,146,576,1027,56.09%,15,546,2,563
"Presiding Judge, Court of Criminal Appeals",0581,510,162,672,1041,64.55%,18,626,2,646
"Presiding Judge, Court of Criminal Appeals",0582,615,256,871,1613,54.00%,45,794,6,845
"Presiding Judge, Court of Criminal Appeals",0583,544,127,671,1248,53.77%,15,634,6,655
"Presiding Judge, Court of Criminal Appeals",0584,393,139,532,971,54.79%,29,493,3,525
"Presiding Judge, Court of Criminal Appeals",0585,934,304,1238,2403,51.52%,31,1174,2,1207
"Presiding Judge, Court of Criminal Appeals",0586,1307,1189,2496,4230,59.01%,1443,911,62,2416
"Presiding Judge, Court of Criminal Appeals",0587,934,465,1399,2174,64.35%,488,849,18,1355
"Presiding Judge, Court of Criminal Appeals",0588,1539,871,2410,3468,69.49%,1628,634,73,2335
"Presiding Judge, Court of Criminal Appeals",0589,1034,738,1772,3130,56.61%,887,763,56,1706
"Presiding Judge, Court of Criminal Appeals",0590,1158,463,1621,2136,75.89%,1176,341,37,1554
"Presiding Judge, Court of Criminal Appeals",0591,420,449,869,2114,41.11%,234,577,11,822
"Presiding Judge, Court of Criminal Appeals",0592,370,288,658,1258,52.31%,147,470,11,628
"Presiding Judge, Court of Criminal Appeals",0593,1149,999,2148,4059,52.92%,928,1076,47,2051
"Presiding Judge, Court of Criminal Appeals",0594,1032,535,1567,2361,66.37%,430,1060,30,1520
"Presiding Judge, Court of Criminal Appeals",0595,497,380,877,1647,53.25%,144,698,8,850
"Presiding Judge, Court of Criminal Appeals",0596,947,690,1637,2848,57.48%,814,715,49,1578
"Presiding Judge, Court of Criminal Appeals",0597,1067,719,1786,3267,54.67%,599,1101,23,1723
"Presiding Judge, Court of Criminal Appeals",0598,335,103,438,724,60.50%,326,78,9,413
"Presiding Judge, Court of Criminal Appeals",0599,1895,855,2761,4135,66.77%,904,1725,44,2673
"Presiding Judge, Court of Criminal Appeals",0600,1383,869,2252,3820,58.95%,758,1365,31,2154
"Presiding Judge, Court of Criminal Appeals",0601,2028,858,2886,3990,72.33%,2096,633,67,2796
"Presiding Judge, Court of Criminal Appeals",0602,563,296,859,1237,69.44%,581,228,28,837
"Presiding Judge, Court of Criminal Appeals",0603,1438,1163,2601,3917,66.40%,1509,941,71,2521
"Presiding Judge, Court of Criminal Appeals",0604,1446,528,1974,2910,67.84%,1577,275,54,1906
"Presiding Judge, Court of Criminal Appeals",0605,2228,889,3117,5251,59.36%,707,2260,52,3019
"Presiding Judge, Court of Criminal Appeals",0606,420,122,542,1053,51.47%,8,514,4,526
"Presiding Judge, Court of Criminal Appeals",0607,194,118,312,731,42.68%,18,277,2,297
"Presiding Judge, Court of Criminal Appeals",0608,245,290,535,1256,42.60%,202,297,10,509
"Presiding Judge, Court of Criminal Appeals",0609,1365,844,2209,3261,67.74%,1322,722,57,2101
"Presiding Judge, Court of Criminal Appeals",0610,403,398,801,1825,43.89%,329,412,22,763
"Presiding Judge, Court of Criminal Appeals",0611,1122,301,1423,2450,58.08%,37,1349,3,1389
"Presiding Judge, Court of Criminal Appeals",0612,1702,579,2281,3272,69.71%,1654,467,58,2179
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0613,495,309,804,1450,55.45%,117,652,6,775
"Presiding Judge, Court of Criminal Appeals",0614,1632,812,2444,3932,62.16%,794,1527,41,2362
"Presiding Judge, Court of Criminal Appeals",0615,931,404,1335,1926,69.31%,753,498,39,1290
"Presiding Judge, Court of Criminal Appeals",0616,1353,970,2323,3378,68.77%,1530,626,68,2224
"Presiding Judge, Court of Criminal Appeals",0617,1322,849,2171,3546,61.22%,730,1309,52,2091
"Presiding Judge, Court of Criminal Appeals",0618,1924,1021,2945,5344,55.11%,1246,1540,59,2845
"Presiding Judge, Court of Criminal Appeals",0619,2134,857,2991,4266,70.11%,2127,669,84,2880
"Presiding Judge, Court of Criminal Appeals",0620,2387,856,3243,5271,61.53%,1502,1526,52,3080
"Presiding Judge, Court of Criminal Appeals",0621,398,203,601,1173,51.24%,289,267,17,573
"Presiding Judge, Court of Criminal Appeals",0622,1724,829,2553,4305,59.30%,1430,966,61,2457
"Presiding Judge, Court of Criminal Appeals",0623,1709,626,2335,3481,67.08%,1426,742,50,2218
"Presiding Judge, Court of Criminal Appeals",0624,9,0,9,16,56.25%,5,4,0,9
"Presiding Judge, Court of Criminal Appeals",0625,865,454,1319,1796,73.44%,711,484,40,1235
"Presiding Judge, Court of Criminal Appeals",0626,1150,655,1805,2838,63.60%,838,822,50,1710
"Presiding Judge, Court of Criminal Appeals",0627,795,647,1442,2964,48.65%,406,935,19,1360
"Presiding Judge, Court of Criminal Appeals",0628,292,456,748,1600,46.75%,295,396,16,707
"Presiding Judge, Court of Criminal Appeals",0629,177,127,304,629,48.33%,23,271,3,297
"Presiding Judge, Court of Criminal Appeals",0630,2023,535,2558,3190,80.19%,215,2239,27,2481
"Presiding Judge, Court of Criminal Appeals",0631,1490,392,1882,2733,68.86%,1282,471,48,1801
"Presiding Judge, Court of Criminal Appeals",0632,12,9,21,231,9.09%,6,12,0,18
"Presiding Judge, Court of Criminal Appeals",0633,1783,678,2461,3257,75.56%,1735,581,53,2369
"Presiding Judge, Court of Criminal Appeals",0634,1022,734,1756,2922,60.10%,1048,598,48,1694
"Presiding Judge, Court of Criminal Appeals",0635,1328,706,2034,3280,62.01%,1493,402,64,1959
"Presiding Judge, Court of Criminal Appeals",0636,1793,974,2767,3881,71.30%,2290,340,47,2677
"Presiding Judge, Court of Criminal Appeals",0637,740,509,1249,2471,50.55%,290,836,27,1153
"Presiding Judge, Court of Criminal Appeals",0638,741,684,1425,2078,68.58%,92,1268,12,1372
"Presiding Judge, Court of Criminal Appeals",0639,833,711,1544,2501,61.74%,1176,279,43,1498
"Presiding Judge, Court of Criminal Appeals",0640,1385,723,2108,3548,59.41%,1153,814,60,2027
"Presiding Judge, Court of Criminal Appeals",0641,1265,878,2143,3375,63.50%,1266,735,60,2061
"Presiding Judge, Court of Criminal Appeals",0642,873,447,1320,1779,74.20%,1048,203,20,1271
"Presiding Judge, Court of Criminal Appeals",0643,2160,994,3154,5310,59.40%,1149,1811,64,3024
"Presiding Judge, Court of Criminal Appeals",0644,2125,1204,3329,5261,63.28%,1989,1095,106,3190
"Presiding Judge, Court of Criminal Appeals",0645,1648,895,2543,4035,63.02%,1110,1247,70,2427
"Presiding Judge, Court of Criminal Appeals",0646,708,456,1164,2163,53.81%,330,757,15,1102
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0647,1771,1020,2791,5593,49.90%,678,1877,32,2587
"Presiding Judge, Court of Criminal Appeals",0648,1591,668,2259,3197,70.66%,1530,598,52,2180
"Presiding Judge, Court of Criminal Appeals",0649,1390,854,2244,4426,50.70%,603,1488,35,2126
"Presiding Judge, Court of Criminal Appeals",0650,1329,939,2268,3151,71.98%,1596,544,46,2186
"Presiding Judge, Court of Criminal Appeals",0651,2087,1070,3157,4931,64.02%,1911,1051,74,3036
"Presiding Judge, Court of Criminal Appeals",0652,1054,653,1707,2633,64.83%,273,1365,13,1651
"Presiding Judge, Court of Criminal Appeals",0653,0,8,8,0,0.00%,2,6,0,8
"Presiding Judge, Court of Criminal Appeals",0654,2106,1344,3450,5765,59.84%,1720,1490,62,3272
"Presiding Judge, Court of Criminal Appeals",0655,2614,1451,4065,6304,64.48%,2444,1344,97,3885
"Presiding Judge, Court of Criminal Appeals",0656,1199,421,1620,2622,61.78%,50,1514,6,1570
"Presiding Judge, Court of Criminal Appeals",0657,491,268,759,1200,63.25%,288,421,13,722
"Presiding Judge, Court of Criminal Appeals",0658,986,708,1694,2824,59.99%,1003,588,52,1643
"Presiding Judge, Court of Criminal Appeals",0659,2143,1091,3234,4588,70.49%,2220,815,87,3122
"Presiding Judge, Court of Criminal Appeals",0660,2461,932,3393,5048,67.21%,324,2947,24,3295
"Presiding Judge, Court of Criminal Appeals",0661,1515,1012,2628,4179,62.89%,1353,1097,71,2521
"Presiding Judge, Court of Criminal Appeals",0662,2477,999,3476,4807,72.31%,2725,590,50,3365
"Presiding Judge, Court of Criminal Appeals",0663,1304,913,2217,3232,68.60%,1155,850,83,2088
"Presiding Judge, Court of Criminal Appeals",0664,681,607,1288,2801,45.98%,283,919,18,1220
"Presiding Judge, Court of Criminal Appeals",0665,951,394,1345,2007,67.02%,1061,200,26,1287
"Presiding Judge, Court of Criminal Appeals",0666,0,1,1,0,0.00%,0,1,0,1
"Presiding Judge, Court of Criminal Appeals",0667,990,547,1537,2181,70.47%,1146,300,31,1477
"Presiding Judge, Court of Criminal Appeals",0668,928,655,1583,2458,64.40%,945,535,44,1524
"Presiding Judge, Court of Criminal Appeals",0669,1609,823,2432,3243,74.99%,1644,639,49,2332
"Presiding Judge, Court of Criminal Appeals",0670,1567,518,2085,2952,70.63%,1548,380,59,1987
"Presiding Judge, Court of Criminal Appeals",0671,1091,773,1864,2942,63.36%,1024,686,60,1770
"Presiding Judge, Court of Criminal Appeals",0672,2303,1078,3381,4710,71.78%,2160,1040,74,3274
"Presiding Judge, Court of Criminal Appeals",0673,1377,543,2020,2988,67.60%,1516,365,44,1925
"Presiding Judge, Court of Criminal Appeals",0674,2092,813,2905,4055,71.64%,2101,639,72,2812
"Presiding Judge, Court of Criminal Appeals",0675,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0676,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0677,220,239,459,954,48.11%,128,303,8,439
"Presiding Judge, Court of Criminal Appeals",0678,297,164,461,756,60.98%,289,133,12,434
"Presiding Judge, Court of Criminal Appeals",0679,1469,661,2130,3331,63.94%,1536,450,46,2032
"Presiding Judge, Court of Criminal Appeals",0680,57,22,79,181,43.65%,32,35,6,73
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0681,1,0,1,5,20.00%,0,1,0,1
"Presiding Judge, Court of Criminal Appeals",0682,1674,912,2586,4134,62.55%,1824,621,47,2492
"Presiding Judge, Court of Criminal Appeals",0683,48,50,98,261,37.55%,24,65,2,91
"Presiding Judge, Court of Criminal Appeals",0684,73,24,97,187,51.87%,56,34,1,91
"Presiding Judge, Court of Criminal Appeals",0685,167,29,196,326,60.12%,83,98,5,186
"Presiding Judge, Court of Criminal Appeals",0686,46,34,80,196,40.82%,14,58,4,76
"Presiding Judge, Court of Criminal Appeals",0687,1088,641,1729,2497,69.24%,1117,468,48,1633
"Presiding Judge, Court of Criminal Appeals",0688,1818,673,2491,3266,76.27%,1913,424,63,2400
"Presiding Judge, Court of Criminal Appeals",0689,506,651,1157,2276,50.83%,511,526,28,1065
"Presiding Judge, Court of Criminal Appeals",0690,1959,1115,3085,4184,73.73%,2342,574,70,2986
"Presiding Judge, Court of Criminal Appeals",0691,10,2,12,34,35.29%,5,7,0,12
"Presiding Judge, Court of Criminal Appeals",0692,1001,717,1718,2626,65.42%,1204,393,57,1654
"Presiding Judge, Court of Criminal Appeals",0693,303,116,419,651,64.36%,105,278,8,391
"Presiding Judge, Court of Criminal Appeals",0694,420,137,557,817,68.18%,350,173,11,534
"Presiding Judge, Court of Criminal Appeals",0695,455,320,775,1646,47.08%,463,258,21,742
"Presiding Judge, Court of Criminal Appeals",0696,600,373,973,2098,46.38%,567,334,37,938
"Presiding Judge, Court of Criminal Appeals",0697,1517,941,2458,4307,57.07%,541,1799,26,2366
"Presiding Judge, Court of Criminal Appeals",0698,1137,659,1796,2948,60.92%,174,1545,15,1734
"Presiding Judge, Court of Criminal Appeals",0699,1032,566,1598,2288,69.84%,979,467,43,1489
"Presiding Judge, Court of Criminal Appeals",0700,531,287,818,1313,62.30%,630,136,18,784
"Presiding Judge, Court of Criminal Appeals",0701,142,115,257,554,46.39%,129,113,5,247
"Presiding Judge, Court of Criminal Appeals",0702,150,123,273,549,49.73%,27,230,4,261
"Presiding Judge, Court of Criminal Appeals",0703,743,616,1359,1845,73.66%,915,317,44,1276
"Presiding Judge, Court of Criminal Appeals",0704,1336,701,2037,2882,70.68%,1604,322,32,1958
"Presiding Judge, Court of Criminal Appeals",0705,358,238,596,1520,39.21%,60,515,2,577
"Presiding Judge, Court of Criminal Appeals",0706,222,135,357,529,67.49%,165,177,9,351
"Presiding Judge, Court of Criminal Appeals",0707,284,135,420,707,59.41%,229,156,15,400
"Presiding Judge, Court of Criminal Appeals",0708,109,95,204,568,35.92%,91,93,8,192
"Presiding Judge, Court of Criminal Appeals",0709,2997,1297,4294,6239,68.83%,2473,1589,89,4151
"Presiding Judge, Court of Criminal Appeals",0710,881,602,1483,2023,73.31%,817,515,53,1385
"Presiding Judge, Court of Criminal Appeals",0711,1493,701,2194,3351,65.47%,1267,762,57,2086
"Presiding Judge, Court of Criminal Appeals",0712,1205,858,2063,3348,61.62%,815,1159,41,2015
"Presiding Judge, Court of Criminal Appeals",0713,666,436,1102,1827,60.32%,556,479,28,1063
"Presiding Judge, Court of Criminal Appeals",0714,77,3,80,304,26.32%,52,23,1,76
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0715,405,326,731,1380,52.97%,349,332,19,700
"Presiding Judge, Court of Criminal Appeals",0716,977,522,1599,2670,59.89%,1087,418,35,1540
"Presiding Judge, Court of Criminal Appeals",0717,826,362,1188,1927,61.65%,154,984,6,1144
"Presiding Judge, Court of Criminal Appeals",0718,1844,1019,2863,4050,70.69%,1821,794,75,2690
"Presiding Judge, Court of Criminal Appeals",0719,508,260,768,1617,47.50%,407,304,15,726
"Presiding Judge, Court of Criminal Appeals",0720,1575,1044,2619,3903,67.10%,1821,651,62,2534
"Presiding Judge, Court of Criminal Appeals",0721,1335,637,1972,2842,69.39%,1249,546,69,1864
"Presiding Judge, Court of Criminal Appeals",0722,1895,542,2537,4357,58.23%,143,2284,20,2447
"Presiding Judge, Court of Criminal Appeals",0723,749,329,1078,1760,61.25%,224,803,8,1035
"Presiding Judge, Court of Criminal Appeals",0724,325,170,495,716,69.13%,323,147,7,477
"Presiding Judge, Court of Criminal Appeals",0725,953,329,1282,2124,60.36%,501,698,20,1219
"Presiding Judge, Court of Criminal Appeals",0726,1141,304,1445,1987,72.72%,1217,139,36,1392
"Presiding Judge, Court of Criminal Appeals",0727,935,466,1401,2488,56.31%,334,994,27,1355
"Presiding Judge, Court of Criminal Appeals",0728,343,208,551,881,62.54%,292,210,21,523
"Presiding Judge, Court of Criminal Appeals",0729,208,93,301,446,67.49%,178,109,3,290
"Presiding Judge, Court of Criminal Appeals",0730,808,437,1245,1630,76.38%,797,342,36,1175
"Presiding Judge, Court of Criminal Appeals",0731,122,36,158,373,42.36%,30,115,2,147
"Presiding Judge, Court of Criminal Appeals",0732,701,543,1244,1895,65.65%,700,430,50,1180
"Presiding Judge, Court of Criminal Appeals",0733,25,62,87,172,50.58%,26,51,2,79
"Presiding Judge, Court of Criminal Appeals",0734,3213,1114,4327,5952,72.70%,2825,1292,87,4204
"Presiding Judge, Court of Criminal Appeals",0735,9,0,9,23,39.13%,7,0,1,8
"Presiding Judge, Court of Criminal Appeals",0736,6,1,7,21,33.33%,0,5,1,6
"Presiding Judge, Court of Criminal Appeals",0737,25,5,30,53,56.60%,24,6,0,30
"Presiding Judge, Court of Criminal Appeals",0738,470,219,689,1294,53.25%,77,586,6,669
"Presiding Judge, Court of Criminal Appeals",0739,1006,490,1496,2872,52.09%,639,771,37,1447
"Presiding Judge, Court of Criminal Appeals",0740,233,205,438,935,46.84%,228,182,14,424
"Presiding Judge, Court of Criminal Appeals",0741,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0742,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0743,27,4,31,199,15.58%,13,16,0,29
"Presiding Judge, Court of Criminal Appeals",0744,848,509,1357,2024,67.05%,841,414,48,1303
"Presiding Judge, Court of Criminal Appeals",0745,1068,542,1610,2396,67.20%,958,516,59,1533
"Presiding Judge, Court of Criminal Appeals",0746,230,151,381,707,53.89%,176,163,16,355
"Presiding Judge, Court of Criminal Appeals",0747,1200,873,2073,3490,59.40%,937,1011,53,2001
"Presiding Judge, Court of Criminal Appeals",0748,421,307,728,1319,55.19%,309,356,35,700
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0749,99,57,156,359,43.45%,25,113,4,142
"Presiding Judge, Court of Criminal Appeals",0750,264,147,411,720,57.08%,221,155,13,389
"Presiding Judge, Court of Criminal Appeals",0751,1668,1254,2922,4451,65.65%,1876,845,94,2815
"Presiding Judge, Court of Criminal Appeals",0752,572,277,849,1511,56.19%,579,208,24,811
"Presiding Judge, Court of Criminal Appeals",0753,106,61,167,260,64.23%,104,52,6,162
"Presiding Judge, Court of Criminal Appeals",0754,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0755,1050,896,1946,3569,54.53%,727,1095,41,1863
"Presiding Judge, Court of Criminal Appeals",0756,582,300,882,1539,57.31%,296,538,11,845
"Presiding Judge, Court of Criminal Appeals",0757,1417,690,2107,3498,60.23%,336,1684,23,2043
"Presiding Judge, Court of Criminal Appeals",0758,1996,783,2779,3781,73.50%,2155,433,63,2651
"Presiding Judge, Court of Criminal Appeals",0759,1112,590,1702,2625,64.84%,975,595,46,1616
"Presiding Judge, Court of Criminal Appeals",0760,2347,647,2994,4154,72.08%,2376,423,80,2879
"Presiding Judge, Court of Criminal Appeals",0761,917,219,1136,1464,77.60%,783,272,29,1084
"Presiding Judge, Court of Criminal Appeals",0762,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0763,255,308,564,1184,47.64%,190,332,14,536
"Presiding Judge, Court of Criminal Appeals",0764,2274,1050,3324,4931,67.41%,2036,1099,76,3211
"Presiding Judge, Court of Criminal Appeals",0765,1393,815,2208,3967,55.66%,738,1320,56,2114
"Presiding Judge, Court of Criminal Appeals",0766,72,92,164,383,42.82%,34,102,7,143
"Presiding Judge, Court of Criminal Appeals",0767,20,15,35,90,38.89%,22,9,1,32
"Presiding Judge, Court of Criminal Appeals",0768,2855,1159,4014,5364,74.83%,3063,723,96,3882
"Presiding Judge, Court of Criminal Appeals",0769,117,5,122,161,75.78%,6,111,1,118
"Presiding Judge, Court of Criminal Appeals",0770,58,48,106,262,40.46%,42,57,4,103
"Presiding Judge, Court of Criminal Appeals",0771,703,537,1240,2378,52.14%,598,548,35,1181
"Presiding Judge, Court of Criminal Appeals",0772,2932,1002,3934,5617,70.04%,2838,863,90,3791
"Presiding Judge, Court of Criminal Appeals",0773,892,550,1442,2648,54.46%,341,1003,15,1359
"Presiding Judge, Court of Criminal Appeals",0774,117,74,191,301,63.46%,43,142,1,186
"Presiding Judge, Court of Criminal Appeals",0775,33,1,34,83,40.96%,1,32,0,33
"Presiding Judge, Court of Criminal Appeals",0776,1115,741,1856,2855,65.01%,1063,682,44,1789
"Presiding Judge, Court of Criminal Appeals",0777,83,123,206,642,32.09%,52,142,3,197
"Presiding Judge, Court of Criminal Appeals",0778,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0779,295,221,516,1146,45.03%,165,316,4,485
"Presiding Judge, Court of Criminal Appeals",0780,136,114,250,579,43.18%,107,125,2,234
"Presiding Judge, Court of Criminal Appeals",0781,1152,655,1807,3716,48.63%,641,966,32,1639
"Presiding Judge, Court of Criminal Appeals",0782,851,532,1383,2188,63.21%,800,471,39,1310
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0783,103,43,146,265,55.09%,75,62,2,139
"Presiding Judge, Court of Criminal Appeals",0784,430,156,586,1071,54.72%,9,558,0,567
"Presiding Judge, Court of Criminal Appeals",0785,66,55,121,310,39.03%,64,56,0,120
"Presiding Judge, Court of Criminal Appeals",0786,193,277,470,1297,36.24%,141,302,8,451
"Presiding Judge, Court of Criminal Appeals",0787,154,76,230,487,47.23%,74,140,4,218
"Presiding Judge, Court of Criminal Appeals",0788,156,58,214,481,44.49%,67,132,5,204
"Presiding Judge, Court of Criminal Appeals",0789,3,1,4,4,100.00%,0,3,0,3
"Presiding Judge, Court of Criminal Appeals",0790,1,0,1,4,25.00%,0,1,0,1
"Presiding Judge, Court of Criminal Appeals",0791,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0792,549,409,958,1834,52.24%,216,681,16,913
"Presiding Judge, Court of Criminal Appeals",0793,890,338,1228,2437,50.39%,677,477,31,1185
"Presiding Judge, Court of Criminal Appeals",0794,575,484,1059,2602,40.70%,69,948,8,1025
"Presiding Judge, Court of Criminal Appeals",0795,265,255,520,1207,43.08%,147,326,10,483
"Presiding Judge, Court of Criminal Appeals",0796,145,92,237,485,48.87%,115,108,7,230
"Presiding Judge, Court of Criminal Appeals",0797,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0798,176,263,439,496,88.51%,130,262,13,405
"Presiding Judge, Court of Criminal Appeals",0799,65,12,77,146,52.74%,14,57,2,73
"Presiding Judge, Court of Criminal Appeals",0800,1188,795,1983,2817,70.39%,1276,569,55,1900
"Presiding Judge, Court of Criminal Appeals",0801,68,55,123,253,48.62%,41,70,6,117
"Presiding Judge, Court of Criminal Appeals",0802,98,58,156,299,52.17%,31,110,9,150
"Presiding Judge, Court of Criminal Appeals",0803,1305,530,1935,2718,71.19%,1399,424,28,1851
"Presiding Judge, Court of Criminal Appeals",0804,1810,960,2770,4348,63.71%,1626,974,59,2659
"Presiding Judge, Court of Criminal Appeals",0805,1509,529,2038,2812,72.48%,1554,339,64,1957
"Presiding Judge, Court of Criminal Appeals",0806,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0807,653,402,1055,2001,52.72%,148,847,21,1016
"Presiding Judge, Court of Criminal Appeals",0808,42,26,68,84,80.95%,28,27,6,61
"Presiding Judge, Court of Criminal Appeals",0809,21,e,27,86,31.40%,8,17,0,25
"Presiding Judge, Court of Criminal Appeals",0810,30,48,78,215,36.28%,19,46,3,68
"Presiding Judge, Court of Criminal Appeals",0811,39,106,145,271,53.51%,29,107,0,136
"Presiding Judge, Court of Criminal Appeals",0812,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0813,1969,1258,3227,5423,59.51%,1483,1581,67,3131
"Presiding Judge, Court of Criminal Appeals",0814,1774,955,2729,4503,60.60%,592,1991,43,2626
"Presiding Judge, Court of Criminal Appeals",0815,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0816,20,13,33,76,43.42%,5,26,1,32
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0817,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0818,134,101,235,527,44.59%,49,178,0,227
"Presiding Judge, Court of Criminal Appeals",0819,97,45,142,238,59.88%,81,45,2,128
"Presiding Judge, Court of Criminal Appeals",0820,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0821,354,203,557,1208,48.19%,44,482,10,538
"Presiding Judge, Court of Criminal Appeals",0822,584,282,888,1544,58.09%,27,812,2,841
