Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0183,970,943,1913,2451,78.05%,1281,457,45,1783
County Tax Assessor-Collector,0184,214,256,470,969,48.50%,129,298,13,440
County Tax Assessor-Collector,0185,592,494,1086,1910,56.86%,341,674,14,1029
County Tax Assessor-Collector,0186,204,170,374,795,47.04%,45,302,4,351
County Tax Assessor-Collector,0187,48,65,113,309,36.57%,26,81,3,110
County Tax Assessor-Collector,0188,307,378,685,1616,42.39%,232,408,24,664
County Tax Assessor-Collector,0189,492,473,965,1453,66.41%,514,349,42,905
County Tax Assessor-Collector,0190,275,401,676,1720,39.30%,220,408,13,641
County Tax Assessor-Collector,0191,195,313,509,1391,36.59%,174,305,8,487
County Tax Assessor-Collector,0192,746,332,1078,2045,52.71%,33,1007,5,1045
County Tax Assessor-Collector,0193,341,269,610,1050,58.10%,12,572,9,593
County Tax Assessor-Collector,0194,704,504,1208,1735,69.63%,355,743,39,1137
County Tax Assessor-Collector,0195,539,419,958,1721,55.67%,26,891,13,930
County Tax Assessor-Collector,0196,121,55,176,323,54.49%,8,160,2,170
County Tax Assessor-Collector,0197,1109,497,1606,2895,55.47%,27,1527,10,1564
County Tax Assessor-Collector,0198,143,158,301,657,45.81%,6,283,3,292
County Tax Assessor-Collector,0199,1407,773,2180,3159,69.01%,1619,426,63,2108
County Tax Assessor-Collector,0200,1638,585,2223,3222,68.99%,1048,965,82,2095
County Tax Assessor-Collector,0201,229,125,354,728,48.63%,9,331,5,345
County Tax Assessor-Collector,0202,488,332,820,1479,55.44%,16,768,7,791
County Tax Assessor-Collector,0203,266,156,422,900,46.89%,85,310,8,403
County Tax Assessor-Collector,0204,1489,914,2403,3462,69.41%,1361,869,74,2304
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0205,856,201,1057,1667,63.41%,21,1006,4,1031
