Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0647,1770,1020,2790,5593,49.88%,668,1886,37,2591
County Tax Assessor-Collector,0648,1590,668,2258,3197,70.63%,1542,599,47,2188
County Tax Assessor-Collector,0649,1389,854,2243,4426,50.68%,596,1498,40,2134
County Tax Assessor-Collector,0650,1328,939,2267,3151,71.95%,1635,520,42,2197
County Tax Assessor-Collector,0651,2085,1070,3155,4931,63.98%,1906,1073,69,3048
County Tax Assessor-Collector,0652,1049,653,1702,2633,64.64%,261,1368,18,1647
County Tax Assessor-Collector,0653,0,8,8,0,0.00%,2,6,0,8
County Tax Assessor-Collector,0654,2103,1344,3447,5765,59.79%,1715,1510,79,3304
County Tax Assessor-Collector,0655,2612,1451,4063,6304,64.45%,2470,1324,101,3895
County Tax Assessor-Collector,0656,1198,421,1619,2622,61.75%,49,1515,6,1570
County Tax Assessor-Collector,0657,490,268,758,1200,63.17%,279,433,14,726
County Tax Assessor-Collector,0658,985,708,1693,2824,59.95%,1002,590,53,1645
County Tax Assessor-Collector,0659,2141,1091,3232,4588,70.44%,2235,823,77,3135
County Tax Assessor-Collector,0660,2460,932,3392,5048,67.19%,305,2956,30,3291
County Tax Assessor-Collector,0661,1514,1012,2626,4179,62.84%,1358,1087,72,2517
County Tax Assessor-Collector,0662,2477,999,3476,4807,72.31%,2744,563,60,3367
County Tax Assessor-Collector,0663,1302,913,2215,3232,68.53%,1156,863,81,2100
County Tax Assessor-Collector,0664,681,607,1288,2801,45.98%,279,933,15,1227
County Tax Assessor-Collector,0665,951,394,1345,2007,67.02%,1055,204,31,1290
County Tax Assessor-Collector,0666,0,1,1,0,0.00%,0,1,0,1
County Tax Assessor-Collector,0667,989,547,1536,2181,70.43%,1141,307,32,1480
County Tax Assessor-Collector,0668,927,655,1582,2458,64.36%,935,541,48,1524
County Tax Assessor-Collector,0669,1606,823,2429,3243,74.90%,1670,626,43,2339
County Tax Assessor-Collector,0670,1566,518,2084,2952,70.60%,1627,342,54,2023
County Tax Assessor-Collector,0671,1090,773,1863,2942,63.32%,1033,683,56,1772
County Tax Assessor-Collector,0672,2301,1078,3379,4710,71.74%,2154,1042,81,3277
County Tax Assessor-Collector,0673,1375,543,2019,2988,67.57%,1527,361,42,1930
County Tax Assessor-Collector,0674,2092,813,2905,4055,71.64%,2107,646,76,2829
County Tax Assessor-Collector,0675,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0676,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0677,220,239,459,954,48.11%,121,304,14,439
County Tax Assessor-Collector,0678,297,164,461,756,60.98%,304,121,17,442
County Tax Assessor-Collector,0679,1466,661,2127,3331,63.85%,1528,471,38,2037
County Tax Assessor-Collector,0680,55,22,78,181,43.09%,32,34,7,73
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0681,1,0,1,5,20.00%,0,1,0,1
County Tax Assessor-Collector,0682,1673,912,2585,4134,62.53%,1810,634,56,2500
County Tax Assessor-Collector,0683,48,50,98,261,37.55%,24,68,2,94
County Tax Assessor-Collector,0684,72,24,96,187,51.34%,57,32,2,91
County Tax Assessor-Collector,0685,167,29,196,326,60.12%,91,92,4,187
County Tax Assessor-Collector,0686,46,34,80,196,40.82%,14,57,6,77
County Tax Assessor-Collector,0687,1084,641,1725,2497,69.08%,1148,464,37,1649
County Tax Assessor-Collector,0688,1815,673,2488,3266,76.18%,1954,408,43,2405
County Tax Assessor-Collector,0689,505,651,1156,2276,50.79%,510,539,26,1075
County Tax Assessor-Collector,0690,1955,1115,3081,4184,73.64%,2358,561,69,2988
County Tax Assessor-Collector,0691,10,2,12,34,35.29%,4,8,0,12
County Tax Assessor-Collector,0692,999,717,1716,2626,65.35%,1222,378,56,1656
County Tax Assessor-Collector,0693,303,116,419,651,64.36%,101,285,6,392
County Tax Assessor-Collector,0694,420,137,557,817,68.18%,372,156,9,537
County Tax Assessor-Collector,0695,454,320,774,1646,47.02%,455,269,19,743
County Tax Assessor-Collector,0696,600,373,973,2098,46.38%,567,341,31,939
County Tax Assessor-Collector,0697,1516,941,2457,4307,57.05%,523,1824,30,2377
County Tax Assessor-Collector,0698,1137,659,1796,2948,60.92%,161,1557,19,1737
County Tax Assessor-Collector,0699,1031,566,1597,2288,69.80%,1024,442,49,1515
County Tax Assessor-Collector,0700,531,287,818,1313,62.30%,632,144,15,791
County Tax Assessor-Collector,0701,142,115,257,554,46.39%,125,117,5,247
County Tax Assessor-Collector,0702,150,123,273,549,49.73%,27,232,2,261
County Tax Assessor-Collector,0703,742,616,1358,1845,73.60%,959,292,42,1293
County Tax Assessor-Collector,0704,1334,701,2035,2882,70.61%,1592,332,33,1957
County Tax Assessor-Collector,0705,358,238,596,1520,39.21%,54,519,4,577
County Tax Assessor-Collector,0706,222,135,357,529,67.49%,163,175,11,349
County Tax Assessor-Collector,0707,284,135,420,707,59.41%,237,143,16,396
County Tax Assessor-Collector,0708,109,95,204,568,35.92%,93,92,10,195
County Tax Assessor-Collector,0709,2996,1297,4293,6239,68.81%,2440,1628,86,4154
County Tax Assessor-Collector,0710,877,602,1479,2023,73.11%,842,486,62,1390
County Tax Assessor-Collector,0711,1492,701,2193,3351,65.44%,1279,760,59,2098
County Tax Assessor-Collector,0712,1200,858,2058,3348,61.47%,804,1174,38,2016
County Tax Assessor-Collector,0713,665,436,1101,1827,60.26%,557,482,29,1068
County Tax Assessor-Collector,0714,77,3,80,304,26.32%,53,23,1,77
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0715,405,326,731,1380,52.97%,351,330,16,697
County Tax Assessor-Collector,0716,977,522,1599,2670,59.89%,1086,413,38,1537
County Tax Assessor-Collector,0717,826,362,1188,1927,61.65%,149,979,15,1143
County Tax Assessor-Collector,0718,1844,1019,2863,4050,70.69%,1915,739,72,2726
County Tax Assessor-Collector,0719,508,260,768,1617,47.50%,400,315,17,732
County Tax Assessor-Collector,0720,1575,1044,2619,3903,67.10%,1827,656,61,2544
County Tax Assessor-Collector,0721,1334,637,1971,2842,69.35%,1307,519,57,1883
County Tax Assessor-Collector,0722,1892,542,2534,4357,58.16%,145,2281,24,2450
County Tax Assessor-Collector,0723,747,329,1076,1760,61.14%,218,811,14,1043
County Tax Assessor-Collector,0724,325,170,495,716,69.13%,339,128,10,477
County Tax Assessor-Collector,0725,953,329,1282,2124,60.36%,500,706,19,1225
County Tax Assessor-Collector,0726,1141,304,1445,1987,72.72%,1221,141,37,1399
County Tax Assessor-Collector,0727,931,466,1397,2488,56.15%,320,992,39,1351
County Tax Assessor-Collector,0728,343,208,551,881,62.54%,304,204,21,529
County Tax Assessor-Collector,0729,208,93,301,446,67.49%,172,116,2,290
County Tax Assessor-Collector,0730,800,437,1237,1630,75.89%,821,322,25,1168
County Tax Assessor-Collector,0731,121,36,157,373,42.09%,28,119,1,148
County Tax Assessor-Collector,0732,701,543,1244,1895,65.65%,721,410,61,1192
County Tax Assessor-Collector,0733,25,62,87,172,50.58%,24,53,2,79
County Tax Assessor-Collector,0734,3209,1114,4323,5952,72.63%,2822,1279,94,4195
County Tax Assessor-Collector,0735,9,0,9,23,39.13%,6,0,3,9
County Tax Assessor-Collector,0736,6,1,7,21,33.33%,1,5,0,6
County Tax Assessor-Collector,0737,25,5,30,53,56.60%,24,6,0,30
County Tax Assessor-Collector,0738,470,219,689,1294,53.25%,81,585,5,671
County Tax Assessor-Collector,0739,1005,490,1495,2872,52.05%,628,789,33,1450
County Tax Assessor-Collector,0740,233,205,438,935,46.84%,223,191,10,424
County Tax Assessor-Collector,0741,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0742,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0743,27,4,31,199,15.58%,13,15,1,29
County Tax Assessor-Collector,0744,848,509,1357,2024,67.05%,871,393,48,1312
County Tax Assessor-Collector,0745,1066,542,1608,2396,67.11%,1010,487,49,1546
County Tax Assessor-Collector,0746,230,151,381,707,53.89%,179,160,13,352
County Tax Assessor-Collector,0747,1200,873,2073,3490,59.40%,918,1026,65,2009
County Tax Assessor-Collector,0748,420,307,727,1319,55.12%,307,348,38,693
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0749,99,57,156,359,43.45%,28,114,3,145
County Tax Assessor-Collector,0750,264,147,411,720,57.08%,226,157,13,396
County Tax Assessor-Collector,0751,1664,1254,2918,4451,65.56%,1842,873,99,2814
County Tax Assessor-Collector,0752,571,277,848,1511,56.12%,588,205,23,816
County Tax Assessor-Collector,0753,106,61,167,260,64.23%,104,56,4,164
County Tax Assessor-Collector,0754,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0755,1048,896,1944,3569,54.47%,717,1102,50,1869
County Tax Assessor-Collector,0756,582,300,882,1539,57.31%,296,540,14,850
County Tax Assessor-Collector,0757,1416,690,2106,3498,60.21%,314,1703,32,2049
County Tax Assessor-Collector,0758,1996,783,2779,3781,73.50%,2189,412,78,2679
County Tax Assessor-Collector,0759,1109,590,1699,2625,64.72%,987,586,42,1615
County Tax Assessor-Collector,0760,2346,647,2993,4154,72.05%,2483,355,66,2904
County Tax Assessor-Collector,0761,917,219,1136,1464,77.60%,831,222,28,1081
County Tax Assessor-Collector,0762,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0763,255,308,563,1184,47.55%,184,343,12,539
County Tax Assessor-Collector,0764,2270,1050,3320,4931,67.33%,2034,1109,73,3216
County Tax Assessor-Collector,0765,1390,815,2205,3967,55.58%,741,1316,63,2120
County Tax Assessor-Collector,0766,71,92,163,383,42.56%,38,103,4,145
County Tax Assessor-Collector,0767,20,15,35,90,38.89%,22,10,0,32
County Tax Assessor-Collector,0768,2854,1159,4013,5364,74.81%,3082,721,85,3888
County Tax Assessor-Collector,0769,117,5,122,161,75.78%,6,111,1,118
County Tax Assessor-Collector,0770,58,48,106,262,40.46%,41,58,4,103
County Tax Assessor-Collector,0771,701,537,1238,2378,52.06%,588,558,35,1181
County Tax Assessor-Collector,0772,2927,1002,3929,5617,69.95%,2915,797,93,3805
County Tax Assessor-Collector,0773,892,550,1442,2648,54.46%,333,1023,16,1372
County Tax Assessor-Collector,0774,116,74,190,301,63.12%,41,141,2,184
County Tax Assessor-Collector,0775,33,1,34,83,40.96%,0,33,0,33
County Tax Assessor-Collector,0776,1113,741,1854,2855,64.94%,1050,704,42,1796
County Tax Assessor-Collector,0777,83,123,206,642,32.09%,48,149,2,199
County Tax Assessor-Collector,0778,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0779,295,221,516,1146,45.03%,155,324,5,484
County Tax Assessor-Collector,0780,136,114,250,579,43.18%,105,128,2,235
County Tax Assessor-Collector,0781,1152,655,1807,3716,48.63%,655,959,36,1650
County Tax Assessor-Collector,0782,851,532,1383,2188,63.21%,804,474,39,1317
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0783,103,43,146,265,55.09%,74,60,4,138
County Tax Assessor-Collector,0784,428,156,584,1071,54.53%,5,559,1,565
County Tax Assessor-Collector,0785,66,55,121,310,39.03%,64,55,0,119
County Tax Assessor-Collector,0786,193,277,470,1297,36.24%,135,305,10,450
County Tax Assessor-Collector,0787,154,76,230,487,47.23%,73,141,3,217
County Tax Assessor-Collector,0788,156,58,214,481,44.49%,70,129,7,206
County Tax Assessor-Collector,0789,3,1,4,4,100.00%,0,3,0,3
County Tax Assessor-Collector,0790,1,0,1,4,25.00%,0,1,0,1
County Tax Assessor-Collector,0791,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0792,549,409,958,1834,52.24%,209,690,15,914
County Tax Assessor-Collector,0793,889,338,1227,2437,50.35%,679,494,20,1193
County Tax Assessor-Collector,0794,575,484,1059,2602,40.70%,67,941,14,1022
County Tax Assessor-Collector,0795,265,255,520,1207,43.08%,146,321,8,475
County Tax Assessor-Collector,0796,145,92,237,485,48.87%,112,108,8,228
County Tax Assessor-Collector,0797,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0798,176,263,439,496,88.51%,135,263,9,407
County Tax Assessor-Collector,0799,65,12,77,146,52.74%,15,56,3,74
County Tax Assessor-Collector,0800,1188,795,1983,2817,70.39%,1280,574,57,1911
County Tax Assessor-Collector,0801,68,55,123,253,48.62%,37,75,6,118
County Tax Assessor-Collector,0802,98,58,156,299,52.17%,31,106,12,149
County Tax Assessor-Collector,0803,1305,530,1935,2718,71.19%,1399,430,33,1862
County Tax Assessor-Collector,0804,1806,960,2766,4348,63.62%,1605,992,65,2662
County Tax Assessor-Collector,0805,1509,529,2038,2812,72.48%,1584,317,63,1964
County Tax Assessor-Collector,0806,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0807,652,402,1054,2001,52.67%,150,830,32,1012
County Tax Assessor-Collector,0808,41,26,67,84,79.76%,30,25,5,60
County Tax Assessor-Collector,0809,21,e,27,86,31.40%,10,16,0,26
County Tax Assessor-Collector,0810,30,48,78,215,36.28%,19,51,1,71
County Tax Assessor-Collector,0811,39,106,145,271,53.51%,25,108,4,137
County Tax Assessor-Collector,0812,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0813,1967,1258,3225,5423,59.47%,1460,1579,80,3119
County Tax Assessor-Collector,0814,1772,955,2727,4503,60.56%,578,2001,47,2626
County Tax Assessor-Collector,0815,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0816,20,13,33,76,43.42%,6,25,1,32
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0817,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0818,134,101,235,527,44.59%,48,177,3,228
County Tax Assessor-Collector,0819,97,45,142,238,59.88%,84,39,1,124
County Tax Assessor-Collector,0820,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0821,354,203,557,1208,48.19%,48,487,8,539
County Tax Assessor-Collector,0822,584,282,888,1544,58.09%,23,813,8,842
County Tax Assessor-Collector,0823,1849,1015,2884,4710,80.81%,1434,1284,80,2758
County Tax Assessor-Collector,0824,984,471,1455,2729,53.32%,303,1084,22,1409
County Tax Assessor-Collector,0825,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0828,153,89,242,342,70.78%,135,88,8,229
County Tax Assessor-Collector,0827,189,188,355,997,35.81%,128,208,5,341
County Tax Assessor-Collector,0828,1074,343,1417,1875,75.57%,1137,193,41,1371
County Tax Assessor-Collector,0829,107,58,183,288,81.28%,34,124,3,181
County Tax Assessor-Collector,0830,0,0,0,1,0.00%,0,0,0,0
County Tax Assessor-Collector,0831,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0832,109,48,155,351,44.18%,41,108,1,148
County Tax Assessor-Collector,0833,8,1,9,20,45.00%,0,9,0,9
County Tax Assessor-Collector,0834,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0835,87,53,140,292,47.95%,37,94,4,135
County Tax Assessor-Collector,0838,8,3,11,19,57.89%,1,8,0,9
County Tax Assessor-Collector,0837,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0838,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0839,353,240,593,1122,52.85%,102,443,18,581
County Tax Assessor-Collector,0840,712,251,983,1821,59.41%,310,815,11,938
County Tax Assessor-Collector,0841,0,2,2,0,0.00%,0,2,0,2
County Tax Assessor-Collector,0842,987,715,1702,3091,55.08%,734,888,42,1844
County Tax Assessor-Collector,0843,0,2,2,0,0.00%,0,2,0,2
County Tax Assessor-Collector,0844,2,4,8,13,48.15%,1,4,0,5
County Tax Assessor-Collector,0845,85,10,95,100,95.00%,55,32,2,89
County Tax Assessor-Collector,0848,70,29,99,210,47.14%,7,89,1,97
County Tax Assessor-Collector,0847,795,321,1118,1804,81.88%,284,774,18,1074
County Tax Assessor-Collector,0848,782,431,1213,1873,84.78%,370,788,17,1175
County Tax Assessor-Collector,0849,553,514,1087,2073,51.47%,332,883,14,1009
County Tax Assessor-Collector,0850,87,38,125,205,80.98%,49,70,2,121
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0851,2192,816,3008,4317,69.68%,1868,940,85,2893
County Tax Assessor-Collector,0852,0,4,4,2,200.00%,0,4,0,4
County Tax Assessor-Collector,0853,1412,605,2017,2773,72.74%,1507,388,45,1940
County Tax Assessor-Collector,0854,41,30,71,175,40.57%,5,64,0,69
County Tax Assessor-Collector,0855,4,13,17,18,94.44%,8,9,0,17
County Tax Assessor-Collector,0856,0,4,4,0,0.00%,1,2,0,3
County Tax Assessor-Collector,0857,0,0,0,1,0.00%,0,0,0,0
County Tax Assessor-Collector,0858,132,18,150,372,40.32%,4,139,2,145
County Tax Assessor-Collector,0859,309,201,510,860,59.30%,102,395,5,502
County Tax Assessor-Collector,0860,0,1,1,0,0.00%,1,0,0,1
County Tax Assessor-Collector,0861,705,319,1024,1786,57.33%,168,816,16,1000
County Tax Assessor-Collector,0862,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0863,210,69,279,620,45.00%,11,259,4,274
County Tax Assessor-Collector,0864,497,609,1106,2464,44.89%,252,784,18,1054
County Tax Assessor-Collector,0865,9,2,11,23,47.83%,0,11,0,11
County Tax Assessor-Collector,0866,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0867,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0868,573,586,1159,2292,50.57%,325,757,24,1106
County Tax Assessor-Collector,0869,153,76,229,473,48.41%,32,184,5,221
County Tax Assessor-Collector,0870,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0871,3,0,3,4,75.00%,0,3,0,3
County Tax Assessor-Collector,0872,13,5,18,66,27.27%,8,8,0,16
County Tax Assessor-Collector,0873,253,125,378,701,53.92%,93,272,7,372
County Tax Assessor-Collector,0874,1534,748,2282,3107,73.45%,1701,461,56,2218
County Tax Assessor-Collector,0875,1719,927,2646,4031,65.64%,1199,1304,53,2556
County Tax Assessor-Collector,0876,1629,639,2268,3013,75.27%,1605,553,40,2198
County Tax Assessor-Collector,0877,1030,542,1672,2480,67.42%,680,917,31,1628
County Tax Assessor-Collector,0878,853,350,1203,1641,73.31%,984,148,31,1163
County Tax Assessor-Collector,0879,890,527,1417,2334,60.71%,618,717,33,1368
County Tax Assessor-Collector,0880,1068,472,1540,2007,76.73%,1138,301,41,1480
County Tax Assessor-Collector,0881,1510,877,2387,3619,65.96%,724,1550,40,2314
County Tax Assessor-Collector,0882,940,457,1397,2328,60.01%,748,563,34,1345
County Tax Assessor-Collector,0883,1918,1042,2960,4651,63.64%,502,2340,42,2884
County Tax Assessor-Collector,0884,118,37,155,330,46.97%,19,132,0,151
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0885,1222,541,1763,2466,71.49%,1021,646,43,1710
County Tax Assessor-Collector,0886,301,154,455,713,63.81%,242,159,14,415
County Tax Assessor-Collector,0887,138,83,221,313,70.61%,116,69,16,201
County Tax Assessor-Collector,0888,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0889,22,0,22,61,36.07%,14,8,0,22
County Tax Assessor-Collector,0890,319,118,437,994,43.96%,160,235,21,416
County Tax Assessor-Collector,0891,539,392,931,1413,65.89%,371,492,28,891
County Tax Assessor-Collector,0892,193,130,323,696,46.41%,93,196,17,306
County Tax Assessor-Collector,0893,1,0,1,5,20.00%,0,1,0,1
County Tax Assessor-Collector,0894,0,31,31,0,0.00%,6,18,5,29
County Tax Assessor-Collector,0895,335,325,660,784,84.18%,300,290,20,610
County Tax Assessor-Collector,0896,670,303,973,1437,67.71%,393,490,30,913
County Tax Assessor-Collector,0897,742,375,1117,1624,68.78%,588,454,33,1075
County Tax Assessor-Collector,0898,0,0,0,2,0.00%,0,0,0,0
County Tax Assessor-Collector,0899,4,0,4,8,50.00%,0,4,0,4
County Tax Assessor-Collector,0900,5,0,5,12,41.67%,1,3,0,4
County Tax Assessor-Collector,0901,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0902,865,621,1486,2065,71.96%,856,488,62,1406
County Tax Assessor-Collector,0903,10,1,11,41,26.83%,7,4,0,11
County Tax Assessor-Collector,0904,0,1,1,1,100.00%,0,1,0,1
County Tax Assessor-Collector,0905,290,158,458,908,50.44%,171,249,5,425
County Tax Assessor-Collector,0906,12,6,18,26,69.23%,9,9,0,18
County Tax Assessor-Collector,0907,60,43,103,134,76.87%,20,80,1,101
County Tax Assessor-Collector,0908,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0909,5,7,12,19,63.16%,7,5,0,12
County Tax Assessor-Collector,0910,55,34,89,226,39.38%,32,53,3,88
County Tax Assessor-Collector,0911,227,79,306,570,53.68%,194,93,6,293
County Tax Assessor-Collector,0912,675,221,896,1235,72.55%,538,290,16,844
County Tax Assessor-Collector,0913,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0914,169,67,236,221,106.79%,180,40,6,226
County Tax Assessor-Collector,0915,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0916,504,182,786,1045,75.22%,631,115,14,760
County Tax Assessor-Collector,0917,280,137,417,481,86.69%,293,93,12,398
County Tax Assessor-Collector,0918,489,135,624,883,70.67%,488,97,11,596
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0919,0,3,3,3,100.00%,1,1,1,3
County Tax Assessor-Collector,0920,6,0,6,13,46.15%,6,0,0,6
County Tax Assessor-Collector,0921,71,9,80,87,91.95%,61,16,3,80
County Tax Assessor-Collector,0922,0,2,2,0,0.00%,1,1,0,2
County Tax Assessor-Collector,0923,663,87,750,826,90.80%,557,159,10,726
County Tax Assessor-Collector,0924,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0925,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0926,351,1,20,481,621,77.46%,358,103,6,467
County Tax Assessor-Collector,0927,84,74,158,262,60.31%,75,73,3,151
County Tax Assessor-Collector,0928,4,2,6,9,66.67%,0,6,0,6
County Tax Assessor-Collector,0929,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0930,200,77,277,567,48.85%,5,266,1,272
County Tax Assessor-Collector,0931,48,53,101,122,82.79%,57,34,1,92
County Tax Assessor-Collector,0932,0,5,5,0,0.00%,1,4,0,5
County Tax Assessor-Collector,0933,233,1,21,354,566,62.54%,87,244,12,343
County Tax Assessor-Collector,0934,12,1,13,41,31.71%,4,8,1,13
County Tax Assessor-Collector,0935,8,17,25,65,38.46%,13,11,0,24
County Tax Assessor-Collector,0936,12,10,22,70,31.43%,7,13,0,20
County Tax Assessor-Collector,0937,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0938,73,14,87,256,33.98%,26,55,4,85
County Tax Assessor-Collector,0939,1,0,1,1,100.00%,0,1,0,1
County Tax Assessor-Collector,0940,1,0,1,13,7.69%,0,1,0,1
County Tax Assessor-Collector,0941,13,9,22,25,88.00%,21,1,0,22
County Tax Assessor-Collector,0942,68,24,92,159,57.86%,74,12,1,87
County Tax Assessor-Collector,0943,296,63,359,536,66.98%,265,71,2,338
County Tax Assessor-Collector,0944,30,6,36,39,92.31%,30,3,0,33
County Tax Assessor-Collector,0945,4,7,11,16,68.75%,0,9,0,9
County Tax Assessor-Collector,0946,3,3,6,14,42.86%,0,4,0,4
County Tax Assessor-Collector,0947,320,292,612,822,74.45%,315,229,19,563
County Tax Assessor-Collector,0948,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0949,59,37,96,201,47.76%,42,45,3,90
County Tax Assessor-Collector,0950,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0951,79,44,123,218,56.42%,21,97,1,119
County Tax Assessor-Collector,0952,24,16,40,70,57.14%,24,14,1,39
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0953,59,52,111,420,26.43%,7,103,0,110
County Tax Assessor-Collector,0954,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0955,5,20,25,18,138.89%,14,8,2,24
County Tax Assessor-Collector,0956,5,2,7,12,58.33%,4,3,0,7
County Tax Assessor-Collector,0957,261,115,376,551,68.24%,58,305,1,364
County Tax Assessor-Collector,0958,289,266,555,989,56.12%,112,412,6,530
County Tax Assessor-Collector,0959,0,4,4,0,0.00%,0,4,0,4
County Tax Assessor-Collector,0960,362,143,505,586,86.18%,128,350,14,492
County Tax Assessor-Collector,0961,23,11,34,53,64.15%,6,28,0,34
County Tax Assessor-Collector,0962,24,13,37,73,50.68%,7,25,2,34
County Tax Assessor-Collector,0963,129,69,198,353,56.09%,105,78,4,187
County Tax Assessor-Collector,0964,945,447,1392,1571,88.61%,822,513,18,1353
County Tax Assessor-Collector,0965,93,27,120,355,33.80%,78,35,2,115
County Tax Assessor-Collector,0966,305,160,465,1073,43.34%,126,303,15,444
County Tax Assessor-Collector,0967,48,15,63,98,64.29%,25,35,2,62
County Tax Assessor-Collector,0968,243,83,326,517,63.06%,61,255,3,319
County Tax Assessor-Collector,0969,335,82,417,584,71.40%,4,399,2,405
County Tax Assessor-Collector,0970,212,76,288,704,40.91%,27,240,1,268
County Tax Assessor-Collector,0971,27,21,48,129,37.21%,1,47,0,48
County Tax Assessor-Collector,0972,10,7,17,29,58.62%,11,4,1,16
County Tax Assessor-Collector,0973,49,24,73,107,68.22%,39,31,1,71
County Tax Assessor-Collector,0974,100,71,171,299,57.19%,107,55,7,169
County Tax Assessor-Collector,0975,72,41,113,170,66.47%,55,48,3,106
County Tax Assessor-Collector,0976,159,131,290,684,42.40%,165,108,4,277
County Tax Assessor-Collector,0977,104,83,187,535,34.95%,64,112,3,179
County Tax Assessor-Collector,0978,201,102,303,506,59.88%,50,239,3,292
County Tax Assessor-Collector,0979,5,e,11,26,42.31%,11,0,0,11
County Tax Assessor-Collector,0980,595,356,951,1323,71.88%,691,202,16,909
County Tax Assessor-Collector,0981,0,0,0,0,0.00%,0,0,0,0
